"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","AJP","MJP","TOK","KYO","KAG","NAS","SHU","HAT","YON","COMMENTS"
  41,"*pá",1683,"leaf","лист","pa","fá","hà","hā́","há","há","Fā́","pā̀","hā́","JLTT 394."
  42,"*ná-",1445,"1 to lie  2 to sleep","1 лежать  2 спать","na- 1, wi-na- 2","na- 1, i-na-, né-búr- 2","nè- 1, nè-mur- 2","nê- 1, 2","né- 1, némur- 2","nɨ̀-Fùt- 1, nɨ̀burj- 2","ní-ńtṑ- 1, nínǯ- 2","nù-ffìbìr- 1, nùff- 1","nì-ndídú- 1, ǹtúr- `sit', nínd- 2","JLTT 734."
  43,"*kìmuà",1002,"liver","печень","kjimwo","kìmò","kimó","kímò","kímò","k`imu","čimu","","","JLTT 450. The Kagoshima tone is irregular."
  44,"*nànkà-",1546,"long","длинный","naga-","nàgà-","nagá-","nága-","náge","nàgà-","nágá-","nà-","nā́-","JLTT 836. The Kagoshima tone is irregular."
  45,"*sìrám(u)í",1982,"louse","вошь","siram(j)i","sìrámí","shìrami","sìràmí","sìràmí","šĳan","širaN","","","JLTT 525."
  46,"*bə̀", 115,"man","мужчина","wo(nokwo), wotokwo","wo(noko), wòtòkò","otokó","ótoko","otokó","jìNgá","jíkígá","bìdùmù","bìNgà","JLTT 507, 513. A compound *bə̀-nə-kua, *bə̀-tu-kua lit. 'male child'. The root is attested also separately as OJ \Iwo\i 'male', as well as in the compound *bə-su (OJ wosu, modern osu 'male')."
  47,"*manai-",1249,"many","много, многочисленный","\Imane-\i","","","","","","","","",""
  48,"*dàmà", 364,"mountain","гора","jama","jàmà","yamá","jámà","jamá","jàmá","jámá","jàmá","dama","JLTT 571."
  49,"*kútí", 805,"mouth","рот","kuti","kútí","kùchi","kúchí","kúchi ( = kúT)","kù̲čí","kúčì","fù̲cɨ̀","thī́","JLTT 467."
  50,"*ná(N)",1213,"name","имя","\Ina\i","nà","nà(mae)","\Inā̂\i","ná, namáe","ná","nā́","nàN","nā́","JLTT 490. RJ has nà, but all modern dialects point unanimously to *ná(N). Final -N is indicated by Hateruma nàN."
  51,"*kúmpí", 874,"neck","шея","kubji","kúbí","kùbi","kúbí","kúbi  ( = kúT)","k`ùbí","kúbì","","","JLTT 461."
  52,"*àrà-(ta-)",  81,"new","новый","arata-","àtàrà-si","atarashí-","átáráshì-","atarashí-","","","","àrà-","JLTT 383, 677, 826. The MJ and most modern form present a metathesis atarasi- < arata-si- (but cf. Yonakuni àrà-  `new'); the stem *àràtà itself is preserved as a nominal and verbal stem (cf. *àràtà-ma- > Tokyo aratamé- 'to renew' etc.)."
  53,"*sàrá",2002,"additionally, also, newly","еще, к тому же, снова","sara-sara","sàrá","sára","sàrá","","","","","","JLTT 518."
  54,"*duà, *duà-rû", 401,"night","ночь","jwo(ru)","jò(rú)","yóru","yòru","yorú","jùrú","júrú","jùrú","duru","JLTT 575, 577."
  55,"*páná",1679,"nose","нос","pana","fáná","hàna","háná","hána","hàná","hánà","pà̲ṉà","hàná-búrú","JLTT 397."
  56,"*nà-, \I*-(a)n-,\i *ìná",  74,"1 not (verbal negation) 2 lacking, non-existent 3 not, negation 4 to negate, dismiss","1 не (глагольное отрицание) 2 нет, отсутствующий, несуществующий 3 не, несогласие 4 отрицать, не допускать","\I-(a)n-\i 1, na- 2, ina 3, ina-b- 4","\I-(a)n-\i 1, na- 2, ìná 3, ìnà-b- 4","ná- 2, \I-na-\i 1, ína 3, inam- 4","nà-","nà-","-N,né-","-N,nḗ-","nḕ-","-núN","JLTT 424, 697, 835. \I*-(a)n-\i is a verbal negation, probably reflecting the original first vowel of the root *an- (preserved because of the loss of final -i in an auxiliary verbal morpheme). *ìná is a regular reflex of *ā̀ni, while the adjective *nà- 'lacking, non-existent' reveals a secondary loss of initial vowel."
  57,"*pitə", 169,"one","один","pjito","fító-, fìtó-, fìtò-","hitótsu","hîtótsu","hitótsu (xi̲tóT)","thí-","tī́-","pɨ̲̀tù-","thù-","JLTT 411."
  58,"*pítə̀",1672,"person","человек","pjito","fítò","hitó","hítò","híto","","tčú","","","JLTT 410. The root *pí- may be also observed in OJ pjí-kwo 'great-grandson; prince', pjí-mje 'princess'."
  59,"*àmâi",1526,"sky; rain","небо; дождь","ame","àmè","áme","àmê","amé","àmɨ́","ámí","àmí","àmì","JLTT 381."
  60,"*áká-", 634,"red","красный","aka-","áká-","àka-","ákà-","ákà-","hā́-","àká-","ágà-","àgá-ntárí","JLTT 825."
  61,"*mítí",1319,"road","дорога","mjiti","mítí","mìchi","míchí","míti  ( = míT)","mìčí","míčì","mìcɨ̀","àmítí","JLTT 481."
  62,"*nài ( ~ nìa)",1428,"root","корень","ne","nè","nè","nḕ","né","nɨ̀-gùrí","nī́","nī́","nī̀","JLTT 495."
  63,"*sú",2045,"shallow place, sandbank","отмель","su","sù","sú, sù","sú","sú","","","","","JLTT 531. RJ sù points to *sù, supported by the Tokyo variant sú; however, Tokyo sù and all other dialect forms go back to *sú. A possibility of being borrowed from Middle Chinese 州 ćü is not excluded - although not very significant (the word is attested in archaic texts containing very few Chinese loanwords)."
  64,"*íp-", 606,"say","сказать, говорить","ip-","íf-","yù-","yú-","yū́-","ʔj-","í-","èn-","ǹdú-","JLTT 700."
  65,"*màpiâ",1483,"front, before","перед, впереди","mapje","màfè","máe","màê","maé","","","","","JLTT 469."
  66,"*tànài",  -3,"seed","семя","tane","","táne","tàne","tané","tànɨ́","","tà̲ṉí","tànì","[Vovin BSOAS 1993, 257 compares MKor. čằńắ 'kernel'; see also Robbeets 2000, 107.]"
  67,"*súwá-",2026,"1 to plant, insert  2 to sit","1 сажать, всаживать  2 сидеть","suwa- 1","suwa- (RJ súfù) 1, suwar- 2","sùe- 1, sùwar- 2","súé- 1, súwár- 2","sué- 1, suwár- 2","","","","","JLTT 757, 760."
  68,"*tìpì-sà-", 299,"small","маленький","tip(j)isa-","tìfìsa-","chīsá-","chī̂sa-","chī́sa-","","","","","JLTT 842. Kagoshima has an irregular reflex; otherwise all dialects point to low tone."
  69,"*káiN-púri ( ~ *kiá-)", 809,"smoke","дым","k(j)eburi","kébúri","kèmuri","kémúrí","kemúi","kɨ̀bùší","kìbúšì","kì̲pù̲sɨ̀","kìbúnčí","JLTT 448. Historically a compound with *pur- 'to wave' (or *pur- 'to snow, rain'); the Ryukyu variant *kaiNpusi may reflect a different suffixation (or the influence of *mus- 'to boil, steam'). Simple *kai is also attested in OJ as \Ike\i 'vapour, breath'; the word is traditionally regarded as borrowed < MChin. khɨ̀j id., but the vocalism is somewhat strange (one would rather expect OJ \Iki\i - which, as a matter of fact, is also attested and is the normal Goon / Kanon reading of the character 氣)."
  70,"*tàt-", 252,"to stand","стоять","tat-","tàt-","tát-","tàt-","tàt-","tač-","tač-","","","JLTT 765."
  71,"*pə́sí",1802,"star","звезда","p(w)osi","fósí","hòshi","hóshí","hóshi","Fù̲šì","Fúšì","pù̲cù","Fùtčí","JLTT 415."
  72,"*(d)ísì",2246,"stone","камень","isi","ísì","ishí","íshi","íshi","ìší","íšì","ìšì","","JLTT 426."
  73,"*pí",1774,"sun, day","солнце, день","pji","fí","hì","hī̂","hí","","","","","JLTT 404. RJ has also a variant fì (besides the normal fí), but high tone is supported by the accent of the derived *pí-rù 'day, daytime' (RJ fírù, Tokyo hirú, Kyoto hírù, Kagoshima híru)."
  74,"*ə̀jə̀nk- (*ə̀juànk-)",1559,"to swim","плавать, плыть","","òjòg-","oyóg-","ójóg-","òjòg-","ṑgj-","ʔwī́ǯ-","ù-","ùN-","JLTT 744."
  75,"*bə̀ (*buà)",1545,"tail","хвост","wo","wò","\Ió\i","ṑ","\Ió\i","","jū","","","JLTT 503."
  76,"*á-", 406,"that","тот","","\Ia-\i","à-re, à-no","áre","","á-Ǹ","á-nù","","","JLTT 376."
  77,"*kə́-", 895,"1 this 2 that","1 этот 2 тот","ko- 1","kó- 1; ka- 2","kòre 1; ká-re 'he'","kóré 1; ká-rè 'he'","kói 1","kú-Ǹ 1","kú-nù 1","kù-nù 1; kà̲-ṉù 2","kù-nú 1; kà-nú 2","JLTT 430, 452. High tone in Tokyo ká-re is not clear (the stem *ka- appears to be a merger of *kə́- and *á-)."
  78,"*sə́-",2145,"a deictic root (this)","дейктическая основа (этот)","so-","só-","sò-re","só-ré","sói","","","","","JLTT 529. Cf. also the widely used OJ deictic / emphatic particle and pronoun si."
  79,"*ə́m(p)ə́-",  35,"heavy","тяжелый","om(w)o-","ómó-","òmo-","ómó-","ómo-","ùbù-","ʔm̀bú-","ń-sà-","ín-sá-","JLTT 838."
  80,"*sìtà",2153,"tongue","язык","sita","sìtà","shitá","shítà","shitá","","","sɨ̲̀tá","thā̀","JLTT 527."
  81,"*pa",1615,"tooth","зуб","\Ipa\i","fa","há","hā̂","há","há","hā́","pā́","hā̀","JLTT 394. The PJ accent is not quite clear: Tokyo and Kagoshima point to *pà, but Kyoto has hā̂ (pointing rather to *pá), and RJ has a special tone mark (fá, but with the upper dot to the right)."
  82,"*kə̀i",  -5,"tree","дерево","kji","","kí","kìi","kí","kɨ́","kī́","kī́","kī̀",""
  83,"*puta-",1675,"two","два","puta-","fútà-, fútá-","fùta-","hùtá-","fúta-","thā̀-","tā́-","fù̲tā̀-","thā̀-","JLTT 419. Original accentuation, as with other numerals, is hard to reconstruct."
  84,"*àrùk-",  22,"to walk","ходить, гулять","aruk-","àrík-","arúk-","àrùk-","àruk-","àkkj-","átč-","àrùg-","àìg-","JLTT 677."
  85,"*àtà- / *àtù-",1609,"1 warm  2 hot","1 теплый  2 горячий","atatake- 1, atu- 2","àtàtáka 1, atu- 2","atataká- 1, atsú- 2","átátáka- 1, átsù- 2","atataká- 1, atsú- 2","","","","","JLTT 387, 826."
  86,"*nùkù-",1231,"warm","теплый","","nukuto-, nuku- (Edo)","nukú-","núku-","nukí","núkù-","núkú-","nṑ-","nùkú-","JLTT 854."
  87,"*mí(-n-tú)",1335,"water","вода","mjidu","mídú","mìzu","mízú","mízu ( = míT)","mùǯí","míǯì","mìʒɨ̀","míŃ","JLTT 483."
  88,"*nV̀",1552,"what","что","nani","nàní","náni","nàni","náí","nú","nū́","nū́","nū́","JLTT 493."
  89,"*sìruà-",2036,"white","белый","sirwo-","sìrò-","shiró-","shíro-","shiro-","šìrù-","šírú-","ssò-","tzʔù-","JLTT 840."
  90,"*tá",2204,"who","кто","ta(re)","tá(ré)","dáre","dáré","dái","tàrú","tā́","tā̀","tā́",""
  91,"*bəmina",  -5,"woman","женщина","womina","","ònna","óna-go","oná-go","ùnàgú","wínágú","","",""
  92,"*kú-i", 825,"yellow","желтый","\Iki\i","kí","kì-iro-","kîíro-","kīre","k`ī́-","čī́rū̀","kɨ̀-N-kɨ̄̀","kìrú-čí̲čí","JLTT 449. The root *kú-  is proved by compounds like OJ ku-gane 'yellow metal, gold'."
  93,"*túmái",2404,"finger-nail, claw","ноготь, коготь","tume","túmé","tsùme","tsúmé","tsúme","čìmɨ́","čímì","sɨ̲̀m̲ì","m̀mí","JLTT 555. Cf. also OJ tubu-busi  ( ~ -p-) 'ankle'."
  94,"*mìt-",1294,"full, be filled","полный, наполняться","mjit-","mìt-","michí-","mìchì-","mìchì-","mič-","mī-","nc-","","JLTT 725."
  95,"*tùnuá",  -7,"horn","рог","tunwo","","tsunó","cúno","cunó","čìnó","čínú","sɨ̀nó","ǹnùN",""
  96,"*pínsá", 133,"knee","колено","pjiza","fízá","hìza","hízá","híza","","Físà 'foot'","","","JLTT 412."
  97,"*tùkùi",2394,"moon","луна","tuki","tuki","tsukí","tsúkì","tsúT","čìkí","čìčí","sɨ̲̀kéŃ","thī̀","JLTT 554."
  98,"*márə́",1369,"round","круглый","maro","máró","màru-","máru-","mári","màrù-","màrú","múrù-","màrú-Nká","JLTT 834."
  99,"*tə́pə́-",2373,"far","далекий","top(w)o-","tófó-","tṑ-","tṓ-","tṓ-","tū-","tū-","","","JLTT 842."
 100,"*tìkà-", 351,"near","близкий","tika-","tìkà-","chiká-","chíka-","chiká-","čì̲kjá-","číká-","sɨ̲ká-","tā́-","JLTT 842."
 101,"*tùkàm-",2379,"to grasp, seize","хватать","tukam-","tùkàm-","tsukám-","tsùkàm-, tsúkám-","tsùkàm-","","","","","JLTT 773."
 102,"*mìnsìkà-",1456,"short","короткий","mjizika-","mìzìkà-","mĳiká-","míjíká-","mĳiká- [ = miši̲ké]","ìkkjá-","ínčá-","","","JLTT 835."
 103,"*pàim(p)V̂",1876,"snake","змея","pemji","fèmí","hébi","hèbí","héT","hàbú","hábù","pà̲kù","","JLTT 404."
 104,"*úsú-",1544,"thin","тонкий","usu-","úsú-","ùsu-","úsu-","úsu- [= úši-]","ùsú-","","","","JLTT 843."
 105,"*kánsá-i", 718,"wind","ветер","kaze","kázé","kàze","kázé","káze","kaǯé","káǯi","kà̲čì","kadí","JLTT 447. OJ kaza- in compounds, which allows to reconstruct *kánsá-i."
 106,"*músí",1380,"worm, insect","червь, насекомое","musi","músí","mùshi","múshí","múshi","mùší","múšì","mùsɨ̀","mùtčí","JLTT 489."
 107,"*tə̀sì", 382,"year","год","tosi","tòsì","toshí","tóshì","toshí́","tùší","túší","tù̲sɨ́","tùtčì","JLTT 551."
 108,"*tì, *tìtí", 260,"breast (fem.)","грудь (женская)","\Iti\i","","chichí","chìchí","chichí","čí","čī́","cɨ̄́","čī̀","JLTT 545, 546."
 109,"*dák-", 367,"to burn (tr.)","жечь","jak-","ják-","yàk-","ják-","jáT","jàkj-","jàč-","jàg-","dàg-","JLTT 784."
 110,"*àmà-", 427,"1 plenty 2 all 3 to stay, be left","1 повсюду, в изобилии 2 весь 3 оставаться","amane- 1, ama-r- 3","àmànè- 1, àmà-r- 3","amanéku 1, amár- 3","ámánékú 1, ámár- 3","amanekú 1, àmàr- 3","áŃkari 2","","","","JLTT 676."
 111,"*mə́rə́, *múrà",1260,"1 all, every 2 crowd 3 mountain","все, каждый","m(w)oro, m(w)orom(w)oro 1, mura 2, mure 3","mórómóró 1, múrà 2","mòromoro 1, mùre 2","mórómóró 1, múré 2","moromóro 1, múre 2","","","mùrù 1","bū́rú 1","JLTT 485, 488."
 112,"*kàsìrà", 756,"head","голова","kasira","kàsìrá, kàsìrà","kashirá","káshìrà","kashirá","","","","","JLTT 441 ('head; chief'). The word means 'head' (also 'head part', 'chief part') in most modern and Middle Japanese sources (explicitly so in Wamyōshō); KKJ (p. 232) also lists the meaning 'hair of head' (attested in Tosa Nikki), obviously secondary, with a rather natural semantic transition. IKJ (p. 297) glosses the word as "denoting the whole head including the hair and face", as opposed to kaube ( = kami-be) denoting only the top of the head and to atama "fontanelle". The only clear OJ (Man'yōshū 4346) example (kasira kakinade...) may be well translated (and usually is translated) as 'stroking the head'. Therefore the idea (see Vovin 2000) that the original meaning of kasira was 'hair of head' (the meaning that was always expressed in Japanese as kami) is most certainly wrong - just as his attempt to link it with the rather obscure Old Korean 麻帝核試 (MC mạ-tìej-xạ̈ik-śì) `hair of head'. The latter should be probably read as [məri-ɣak-si], where məri- is `head', while -ɣak-si may stand for kark-[si] - with kark- being identical to MKor. kārki `mane', modern məri-kharak `hair of head'. Despite the uncertainty of Old Korean readings in general and of -si in Old Korean -ɣak-si, it seems much more reasonable to link the Old Korean and later Korean sources than to invent a new Old Korean word *kasi `hair' and compare it with a wrongly interpreted Old Japanese word."
 113,"*kàm(p)-", 812,"1 top  2 head","1 верх, верхушка  2 голова","kamji 1","kàmí 1, kabu(ri) 2","kámi 1, káburi, kàburi 2","kàmí 1, kábúrí 2","kamí 1, kaburí 2","kàmàčí  2","","","","JLTT 431, 435."
 114,"*tum-",2464,"top; head","верх, вершина; голова","","tuburi, tumuri","tsumurí","tsúmúrí","tsumurí","","číbúrú","","","JLTT 556. Accent reconstruction is not quite clear (although most of the forms point to high tone)."
 115,"*kárá(n)tá", 770,"body","тело","","","kàrada","kárádá","karáda","","","","","JLTT 438. The meaning 'body' is attested late, but there are some attestations of kara 'stem, stalk' ( = 'body') already in Man'yōshū, apparently different from kara 'shell'."
 116,"*kájuáp-", 807,"to walk, go back and forth","ходить","kajwop-","kájóf-","kàyo-","káyó-","kayó-","","","","","JLTT 707."
 117,"*átápá-", 635,"1 to give 2 price","1 давать 2 цена","atapa- 1, atapji 2","átáfá- 1, átáfi 2","àtae- 1","átáé- 1","ataé- 1","","","","","JLTT 387, 678."
 118,"*tə̀r- ( ~ -ua-)",2791,"to take","брать","t(w)or-","tòr-","tór-","tòr-","tòr-","","","","tùrà- 'to give'","JLTT 771."
 119,"*kùp-", 787,"to eat","есть","kup-","kùf-","kú-","kù-","kù-","","","hò-","Fú-","JLTT 718."
 120,"*mía", 428,"1 woman  2 female","1 женщина  2 самка","mje 1","mé 1","me-sú 2","mé-sù","me-sú","","","mìdùmú 1","mìnúNà 1","JLTT 474, 476. Although modern dialects point to *mià-sù, RJ has explicitly mé with a high tone."
 121,"*bàtà", 176,"1 intestines  2 belly","1 внутренности, кишки 2 живот","wata 1","","watá 1","wátà 1","watá 1","wàtá 2","wátá 2","bàtá 2","bàtà 2","JLTT 569."
 122,"*mita ( ~ -u-)",1357,"earth","земля","","","","","","mìčá","n̄́čá","ǹtá","ǹtà","JLTT 481. A Ryukyu isolate: cf. Nase mìčá, Hateruma ǹtá etc."
 123,"*tə́ká-",2203,"lizard","ящерица","","tókágè","tòkage","tòkágè","tokáge","","","","tùgárà 'snake'","JLTT 548. RJ, Tokyo and Kagoshima point to *tə́ká-, but Kyoto - to *tə̀ká-. Cf. also Ryukyu: Yonaguni tùgárà 'snake'."
 124,"*tu(m)pu-",2433,"knee","колено","","","","","","čìbùší","číńšì","sù̲pùšìN","m̀bùčí","JLTT 553. A Ryukyu root: cf. Nase čìbùší,  Hateruma sù̲pùšìN etc."
 125,"*marV-",1342,"short","короткий","","","","","","","","márù-","màrá-","The root is attested only in Ryukyu: Hateruma márù-, Yonaguni màrá-."
 126,"*ina-(?)",2636,"small(?)","маленький(?)","","","","","","inja-","","","",""
 127,"*kə̀má-",1004,"small, thin","мелкий, тонкий","","kòmáka-","komaká-i","kómákà-","komaká-","","guma- 'small'","","gumá- 'small'","JLTT 455."
 128,"*sìsì",2169,"meat","мясо","sisi","sìsì","","","","šìší","šíší","","čìčì","JLTT 527."
 129,"*dapa-",2596,"hungry","голодный","japa-","","","","","","","","","JLTT 844."
 130,"*nípí-",1418,"new","новый","nipji-","nífí-","nìi-","níí-","ní-ke","mī́-","mī́-","nɨ̄̀-","","JLTT 497."
 131,"*pànkì",1616,"shin","голень","pagji","fàgì","hagí","hágì","hagí","hágì 'foot, leg'","","páN 'foot, leg'","háN 'foot, leg'","JLTT 395. In Ryukyu dialects the word means 'foot, leg': cf. Nase hágì, Hateruma páN, Yonaguni háN 'foot, leg' etc."
 132,"*dár-",2582,"1 to send  2 to give","1 посылать  2 давать","\Ijar-\i 1","jár- 1","yàr- 1, 2","yár- 1, 2","jár- 1","","","","","JLTT 785."
 133,"*umati (?)",2524,"fire(?)","огонь(?)","","","","","","ʔmáčì","","","","A Ryukyu word: cf. Nase ʔmáčì."
 134,"*mana-n-kua",1268,"sand","песок","mana-gwo","","","","","","","","","The world is attested already in Manyōshū, and its derivation < *ma-suna-gwo (JLTT 473) seems hardly possible."
 135,"*nàità-m- ( ~ -ia-)",2643,"to envy, be jealous of","завидовать, ревновать","netam-","nètàm-","netam-","","","","","","","JLTT 734."
 136,"*mit-",2637,"bird(?)","птица(?)","","","","","","","","","mìttà",""
 137,"*sànài",2135,"kernel, seed","ядро, косточка","\Isane\i","sànè","\Isane\i","","","","sánì 'seed'","","","JLTT 518."
 138,"*kə̀kə̀rə", 867,"heart","сердце","kokoro","kòkòró","kokóro","kókòrò","kokoró","kṑró","kúkúrú","kù̲kùrú","kùgùrù","JLTT 454. Accent is not quite clear: all dialects and RJ point probably to a low tone on first syllable (except Tokyo: the origin of type 2 in trisyllables is obscure); Kagoshima can reflect any structure with this characteristics; Kyoto points rather to *kə̀kə̀rə̀, as opposed to the attested kə̀kə̀rə́."
