"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","WMO","MMO","HAL","BUR","KAL","ORD","DUN","BAO","DAG","YUY","MGR","MOGH","REFERENCE"
  11,"*čisu", 249,"blood","кровь","čisu (L 192)","čisun (HY 48, SH), čiṣun (IM), čisun (MA)","cus","šuha(n)","cusṇ","ǯusu","čusun","čisoŋ","čos (Тод. Даг. 182), čose (MD 130)","čusun, čüsən","cəʒu, cəʒə (SM 438), (MGCD čisə)","čusun; ZM čosun (3-7b)","KW 434, MGCD 582."
  12,"*ja-su",1735,"bone","кость","jasu(n) (L 430)","jasun (HY 15, 48, SH), jāṣon (IM), jasun (MA)","jas(an)","jaha(n); jangarxaj 'shin-bone'","jasṇ","jasu","jasun","jasoŋ","jas (Тод. Даг. 147), jase (MD 169)","jasən","jasə (SM 490)","jōsun; KT jɔ̄sun (6-4b)","KW 217, MGCD 737, TMN 1, 553. Cf. also Kalm. jan-dəɣər 'bony', Bur. jandagar 'bony'."
  13,"*kökön", 867,"breast (fem.), nipple","грудь (женская), сосок","kökü(n), köke(n) (L 482, 483)","kokan (SH), keuke (IM), kukän (MA)","xöx","xüxe(n)","kökṇ","göχö","gogo","kugo","","hgön","kugo (SM 208)","kökä; ZM kukä (2-8a)","KW 237, MGCD 403. Mong. > Manchu (sp.) xuxuŋ (see TMN 1, 481), probably also Jurch. xuxun (541)."
  14,"*tüle-",2461,"to burn","жечь","tüle- (L 852)","tulɛ- (IM), tulä- (MA), tulē- (SH), tūle- (Lig.VMI)","tüle-","tüli-, tüle-","tül-","tüle-, tüli-","tulie-","tule-","tule- (Тод. Даг. 169, MD 227), tulu-","telee-","tulē- (SM 431)","tülēn 'firewood'; ZM tulän (19-2a) id.","KW 414, MGCD 658. Mong. > Oyr. tül- etc. (Лексика 364)."
  15,"*kimul-su",1080,"claw, finger-nail","ноготь, коготь","kimusu(n), qumusu(n) (L 469)","kimusun (HY 46, SH), kimul (SH), qəmərṣən (IM), qimusun (MA)","xums(an)","x́umha(n)","xumsṇ","xumusu","\IGəmusun\i (MGCD \IGɨmusun)\i","\IGomsoŋ\i","kimči (Тод. Даг. 150), kimeči (MD 183)","xəməsən","ćimuʒə (SM 450), (MGCD ćimusə)","qimsun; ZM qemsun (2-9a)","KW 197, MGCD 389."
  16,"*eɣüle", 463,"cloud","облако","egüle(n) (L 300)","e'ulen (HY 1, SH), ulät (IM), iulän (MA)","ǖl(en)","ǖle(n)","ǖlṇ","ǖle, üjle","olien","ōloŋ, uloŋ","eulen (Тод. Даг. 141, MD 146)","","ulin, uliŋ, uloŋ (SM 470)","","KW 461, MGCD 685."
  17,"*köji-ten",1054,"cold","холодный","köiten (L 498: küiten, küitün)","kojiten (HY 5), kojiten (SH), kuitän (MA)","xüjten","xüjten","kītṇ","\Ikǖ,\i kǖtö, kǖton, küjten","kuičien","kitaŋ","kuiten (Тод. Даг.151, MD 185), xuiten (Тод. Даг. 151), kuitun","kǖten","kwīden (SM 210), kuiden","","KW 234, MGCD 397."
  18,"*ire-", 686,"to come","приходить","\Iire-\i (L 413)","jire- (HY 34, SH), irä-, iro- (IM), irä-, irä̆- (MA)","\Iire-\i","jere-","ir-","\Iire-\i","\Iire-\i","\Ire-\i","\Iire-\i (Тод. Даг. 146, MD 173)","\Iere-\i","\Ire-\i (SM 313), \Iire-\i","irä-; ZM eirä  (40-7)","KW 209, MGCD 412."
  19,"*ükü-",2502,"to die","умирать","ügü- (L 1003: ükü-)","ugu- (HYt), uku- (SH), ukɛ- (IM), uku- (MA)","üxe-","üxe-","ükə-","üχü-","fugu-","hgude-, fgu-","ugu- (Тод. Даг. 170), ū- (MD 233)","hgu-","fugu- (SM 103)","ükü-; ZM oku (5-8a)","KW 456, MGCD 698."
  20,"*nokaj",1540,"dog","собака","noqai (L 592)","noxai (HY 11), noqai (SH), noɣaj (IM), nuqaj (MA)","noxoj","noxoj","noxǟ, noxā","noxȫ","noGi, noɣəi","noGui","nogo, nogu, nog (Тод. Даг. 158) nohe (MD 200)","noxGui","noxwə (SM 282), noxui (Huzu)","noqɛi; ZM noqei (21-5)","KW 278, MGCD 513, TMN 1, 520."
  21,"*uw(u)-",1601,"to drink","пить","\Iu-,\i uu- (L 864: uu-, aɣu-, uuɣu-)","\Iu-\i (IM, MA), ū-, u'u- (SH), au- (LH)","ū-","ū-","ū-","ū- 'to drink, to smoke'","\Io-\i","ū-, ō-, \Iu-\i","ō- (Тод. Даг. 159, MD 201)","ū-","ụ̄- (SM 462), u-, ōći- 'boire, prendre (repas du midi)' (SM 299)","","KW 454, MGCD 664, 665."
  22,"*kawra-",1050,"dry","сухой","qaɣurai, quɣurai (L 910), qawraj (MXTTT)","","xūraj","xūraj","xǖrǟ","xūrǟ","","","xuārī (MGCD xuare)","xūrā- (MGCD χūʁa-)","xō- 'devenir sec, tarir' (SM 168)","","Cf. also *ku(w)ar- > *ku(w)a- in MMong. qoṣon 'dryness' (ИМ); qusun, quasun (MA); Dag. xua-, S.-Yugh. χū-, Dong. \IGo-,\i qosu-, Bao. χo-. KW 204, 317, MGCD 335. Mong. > Tat. qawrai etc. (ЭСТЯ 5, 171-172)."
  23,"*čiki", 345,"ear","ухо","čike, čiki(n) (L 181)","čikin (HY 45, SH), ček[ä]n (IM), čiqin (MA)","čix(en)","šexe(n)","čikṇ","ǯike(n)","čəqeŋ, čəGən, čɨGɨn","čixaŋ, čixoŋ","čiki (Тод. Даг. 181, MD 129)","čəGən, čiGən","ćigi (SM 448)","čekin, čikin; ZM čeqin (2-1b)","KW 439, MGCD 573."
  24,"*gaǯar",   0,"1 earth, 2 land","1 земля, почва 2 местность","gaǯar 1 (L 355)","qaǯar (HY 2, SH), qaǯar (IM), ɣaǯar (MA) 1","gaʒar 1","gazar 1, 2","ɣazṛ 1","\IGaǯar\i 1, 2","\IGaǯa\i 2, 1","\IGaǯir\i (MGCD \IGačir)\i 2, 1","gaǯir (Тод. Даг. 130), gaǯire (MD 147) 2, 1","\IGaǯar\i 1, 2","\IGaʒ́ar\i (SM 117), \IGaǯar\i 2, 1","ɣaǯar; ZM ɣažar (18-1a)","KW 148, MGCD 277. For possible etymology see under *gar-."
  25,"*siro-",2034,"earth","земля","siraɣu, siruɣa(i), siroi (L 719)","šira'u (HY 2), širo'ai (SH), širu (IM), širăw, šira- (MA)","šorō, šoroj","šorōj","šorǟ, šorā","šorō","šəura","širo, śiru","širō, širtal (Тод. Даг. 184), širetele (MD 217)","šərū","śirū (SM 400)","","KW 365, MGCD 722. Cf. also WMong. sirke, sirki, Kalm. širkə 'hard earth (with sand)' (KW 360)."
  26,"*ide-", 612,"to eat","есть","ide- (L 398)","jide- (HY 25, SH), idä- (IM), idä- (MA)","ide-","ede-","idə-","ide-","iǯie-","nde-","ide- (Тод. Даг. 146, MD 173)","ede-","ide- (SM 188)","idä-; ZM idä (16-2b)","KW 205, MGCD 407, TMN 1, 188."
  27,"*ömdege, *emdüge",2522,"egg","яйцо","öndege(n), ömdege(n), öndüge, ömdüge (L 636)","amdegan (HY 16), əndogɛ (IM), undägä (MA)","öndög","ündege(n)","öndəgə","öndögö","endeGi","ndegi","enduge (Тод. Даг. 140, MD 143)","","ndige (SM 263)","ündäɣōn (Ramstedt 1906); ZM ondägän (22-1a)","KW 296. Mong. > Chuv. (nursery word) mad́ak 'egg'."
  28,"*nidü",1473,"eye","глаз","nidü(n) (L 578)","nidun (HY 45, SH), neidun (IM), nidun (MA)","nüd","ńüde(n)","nüdṇ","nüdü(n)","nuduŋ, -n","nedoŋ","nide (MD 199, Тод. Даг. 157), nid (Тод. Даг. 157)","nudun","nudu (SM 287)","nüdün; ZM nodun (2-3a)","KW 282, MGCD 520."
  29,"*eɣükü, *öɣekü", 632,"fat","жир","ügekü, ögekü(n) (L 631)","e'ukun (HY 24, SH), o'ukun (SH), ukon (IM), ukun- (MA)","ȫx(ön)","ȫxe(n)","ȫkṇ","ȫχö, ȫχü","fugun","\Igum\i (MGCD šgum)","eugu, ēge (Тод. Даг. 138), euwe (MD 147)","ǖkön (MGCD ǖgon)","ōke (SM 296), (MGCD ōku)","","KW 304, MGCD 535."
  30,"*hödü",1858,"feather","перо","ödü","odun (HY 15, SH), odon (IM), udun (LH), hudun (MA), eudūn (Lig.VMI)","öd(ön)","üde(n)","ödə, ödṇ","üdü","xodun","hotoŋ","xudus(u) (Тод. Даг. 179), hude (MD 165)","hodən, χödön","fōdi (SM 99)","","KW 293, MGCD 539."
  31,"*gal", 526,"fire","огонь","ɣal (L 346)","qal (HY 22, SH), qal (IM), ɣal (MA)","\Igal\i","\Igal\i","ɣal","\IGal\i","qan","xal","gali, gaĺ (Тод. Даг. 130, MD 148)","\IGal\i","\IGar\i (SM 118)","ɣōl; ɣɔ̄l (18-2a)","KW 141-142, MGCD 279."
  32,"*ǯiɣa-",2611,"fish","рыба","ǯiɣasu(n) (L 1050)","ǯiqasun (HY 12, SH), ǯixuči 'fisher' (HY 30), ǯanɣāṣu (IM), ǯiɣasun, ǯiqasuni (Partit.) (MA)","ʒagas","zagaha(n)","zaɣъsṇ","ǯaGasu","ǯaGasun","ǯil(G)asoŋ","ǯagas, ǯaus (Тод. Даг. 141), ǯause (MD 176)","ǯaɣasən","ʒ́aGasə (SM 78)","","KW 463, MGCD 423. -g- is probably secondary ( < *ǯigag-?); with *-ɣ- cf. *ǯiɣarčag 'косяк рыб' (Khalkha ʒārcag)."
  33,"*hunis- / *nis-",1859,"fly","лететь","nis- (L 585)","nisi-qu (HY 16), nis- (SH), nisu- (IM), nis- (MA)","nis-","? nīde-","nes-, nis-","nis-","misə-, musə-","mose-, məsə-","","hunəs-","nesə-, nesʒ́in 'les oiseaux en genéral' (SM 274)","ZM neso- (21-8)","KW 277, MGCD 508."
  34,"*köl",1112,"foot","нога","köl (L 483-484)","kol (HY 47, SH, IM, LH), kul (MA)","xöl","xül","köl","köl","kuan (MGCD kon)","kul (MGCD kuol)","kuli (Тод. Даг. 150, MD 185)","köl","kor (SM 214), (MGCD kol)","köl; ZM kol (4-3a)","KW 237, MGCD 372."
  35,"*düɣüre-", 347,"1 to be full, complete 2 full","1 быть полным, совершенным 2 полный","dügürü-, degüre-, (L 278: dügür-, degür-) 1, dügüreŋ, degüreŋ, degüren 2 (L 279)","du'uren (HY 53) 2, du'ur- (SH) 1, dorun (IM), duran (MA) 2","dǖr- 1","dǖren 2","dǖr- 1","dǖrge- (caus.)","duru- 1","derge- (caus.)","dūre- 1 (Тод. Даг. 138, MD 139)","dǖre-, dūr- 1","dǖri- (SM 57), (MGCD diurə-) 1","dur- 1 (Weiers); ZM dorgɔ̄n (24-11a) 2","KW 107, MGCD 243."
  36,"*ök-, *ög-",1594,"to give","давать","ög- (L 630)","ok- (HY 39, SH), ok-su (IM), ug(i)- (MA)","ög-","üge-","ög-","ög-","ogi-","oke-","ug-, uk-, (Тод. Даг. 170), uke (MD 232), uke-, uku-","og-","uGo- (SM 466)","ögü-; ZM ug- (40-12)","KW 294, MGCD 541."
  37,"*saji(n)",1976,"1 good 2 beautiful","1 хороший 2 красивый","sajin 1 (L 660), sajiqan 2 (L 661)","sajin (HY 55, SH), ṣājn 'healthy' (IM), sajn (MA)","sajn 1, sajxan 2","hajn 1 hajxa(n) 2","sǟn 1","sǟn","sain 1, saiGan 2","saŋ 1, sexaŋ 2","sain 1, saixan (saikan) 2 (Тод. Даг. 161, (MD 204, 205)","sain 1, saiχGan 2","sə̄n (SM 343), (MGCD: sain ) 1; sə̄Gan (SM 341) (MGCD saixan) 2","sōīn","KW 319, MGCD 588, 589, TMN 1, 371. Mong. > Manchu, Jurchen sain (see Rozycki 173);  > Chuv. sajъ (Róna-Tas 1973-1974)."
  38,"*nogoɣan",1211,"green; vegetables","зеленый","noguɣan (L 588)","noxo'an (HY 41), noqo'an (SH), nuɣan (MA)","nogōn","nogōn","noɣān","noGōn","noGon, noɣon","noGoŋ","nugā (Тод. Даг. 158), nuguo; nuā(n) (MD 200)","noɣōn","noGōn (SM 281), nuGōn","","KW 278, MGCD 511."
  39,"*hü-sü",1858,"hair","волос","üsü(n) (L 1013)","xüsun (HY 45, SH), häson (IM), usun (MA)","üs(en)","ühen","üsṇ","üsü","usuŋ, usun","suŋ","xusu (Тод. Даг. 180), huse (MD 167), xus","həsun","fuʒə (SM 102), (Huzu) sʒə (MGCD šʒu)","üsün; ZM oṣu","KW 460, MGCD 697."
  40,"*gar", 482,"hand, arm","рука","ɣar (L 350)","qar (HY 46, SH), qār (IM), ɣar (MA)","gar","gar","ɣar","\IGar\i","qa","xar","gari, gaŕ (Тод. Даг. 130, MD 148)","\IGar\i","\IGar\i (SM 118)","ɣar; ZM ɣar (2-9a)","KW 144-145, MGCD 284."
  41,"*teriɣün",2374,"1 head 2 before, first","1 голова 2 первый, впереди","terigün 1, 2 (L 805)","teri'un (HY 45, SH), tīrgɛn (IM), tirun / tirūn (LH)  1","türǖ, tergǖn 2","türǖ(n) 2","türǖn 2","terigǖn 2 <lit.","čiaurun, čiərun 1, 2","teroŋ 1","turūn 1, 2 (Тод. Даг. 169), teregun (MD 224) <lit.","turǖn 1, 2","turū (SM 435) 2, turoŋ (SM 436) 1","","KW 416, MGCD 634, 639, 660."
  42,"*heki",1739,"1 head 2 front","1 голова 2 начало, перед","eki(n) 2 (L 305)","xeki (SH, HYt), hikin (MA) 1","\Iex\i 2","exi(n) 1","ekṇ 2","eχe 1, 2","","","xeki (Тод. Даг. 175), heki 1 (MD 159)","šəgən 1","xəgi 'source, commencement' 2 (SM 166)","ekin 1; ZM ekin (2-1a)","KW 118, MGCD 274."
  43,"*sonos-",2075,"hear","слышать","sonus-","sonos- (HY 32, SH), ṣonāṣ- (IM), sunas- (MA)","sonso-","honor 'с чутким слухом'","sonəs-","sonos-","sonosu-","","sonso- (Тод. Даг. 163), sonse- (MD 211), sonsu-","","sunosə- (SM 362)","sonusu-; ZM sonasā (7-4b)","KW 331, MGCD 606. Cf. also WMong. sonin, Kalm. sońn 'interesting, peculiar' (KW 331), MMong. (SH) sonin 'new', Dag. sonin 'fresh, virgin, strange, new' (MD 211) ( > Evk. sonin etc., see Doerfer MT 104, Rozycki 187)."
  44,"*ǯirüke ~ *ǯürike",2624,"heart","сердце","ǯirüke(n) (L 1062)","ǯurokan (HY), ǯiruge(n), ǯuruge (SH), ǯeorke (IM), ǯurukän (MA) 1","ʒürx","zürxe(n)","zürkṇ","ǯüreχe","ǯuGe (MGCD ǯuɣə)","ǯirge","ǯurug, ǯurgu (Тод. Даг. 145), ǯurugu, ǯurehe (MD 180)","ǯürgen","ʒ́erge (SM 87), ǯirge 1","ǯürkä","KW 483-484, MGCD 469."
  45,"*eber", 646,"horn","рог","eber (L 286)","eber (HY 15, SH), äbär (IM), ibär, hibär (MA)","\Iever\i","eber, über","ewṛ, öwṛ","\Iewer\i","\Ieve,\i uve","ver","xeur (Тод. Даг. 176), heure (MD 161)","\Iewer,\i eber, wer","ujer (SM 480), wer","ZM ebär (20-8)","KW 129,303, MGCD 249. Initial x- in Dagur is quite unclear."
  46,"*bi, *min-; *ba, *man-", 126,"1 I 2 we","1 я  2 мы","\Ibi,\i minu (gen.) 1; \Ibide,\i \Iba,\i \Iman-\i 2","\Ibi,\i mino (gen.) (HY 31, SH), \Ibi,\i m[e]ni (gen.) (IM), \Ibi,\i minu, mini (gen.) (MA) 1; bida (HY 31), \Iba,\i mano (HYt, SH), \Iba,\i \Iman-\i (IM) 2 etc.","\Ibi,\i minĳ (gen.) 1; \Ibid,\i \Iba,\i \Iman-\i 2","\Ibi,\i menī (gen.) 1; \Iman-\i 2","\Ibi,\i minɛ̄ (gen.) 1; bid(ṇ), \Iman-\i 2","\Ibi,\i mini (gen.) 1; \Iman-\i 2","\Ibi,\i mini (gen.) 1; biǯien, \Ima-\i 2","\Ibe,\i mene (gen.) 1; bede, \Iman-\i 2","\Ibī,\i minī (gen.) 1; \Ibed,\i \Ibā,\i mān- 2 (Тод. Даг. 123, 125, 126, 154)","\Ibə\i","\Ibu\i (SM 30), muni (gen.), ndā (D) (SM 247, 260) 1; buda (SM 30) 2","\Ibi\i 'I', nami, \Iname,\i mini (gen), bidä, mōn- 'we'; ZM \Ibi\i (26-2), mennɛi (gen.) (26-10a)","KW 44, MGCD 151."
  47,"*ala-",  69,"to kill","убивать","ala- (L 26)","ala- (SH 4), ala- (HYt), ala- (IM 432), alā- (MA 97).","ala-","ala-","al-","ala-","ala- (Тод. Дн. 109)","\Iale-\i (Тод. Бн. 133), alə- (MGCD)","ala- (Тод. Даг. 119), \Iale\i (MD 112)","ala-","ala- (SM 3)","olā-, āla-; ZM ɔ̄la- (24-10b)","KW 7, MGCD 102."
  48,"*eb-", 645,"1 to bend, fold 2 knee 3 to roll","1 гнуть, сгибать, складывать 2 колено 3 вертеть","ebke- 1 (L 288), ebüdüg 2 (L 290), ebkere- 3 (L 288)","ebkä- 1 (IM), ibkä- 1 (MA),ebuduk 2 (SH), äbdäk  2 (IM), ubuduk 2 (MA),","evxe- 1, övdög 2, evxre- 3","ebxe- 1, übdeg 2","epkə- 1, öwdəg 2","ebχe-, ewχʷe- 1, öwödök 2","odəu 2","ebdəg, vedeg 2","ebke- 1 (Тод. Даг. 138), ebeke- (MD 139)","wədəg 2","udiG, idiG (SM 464), wedeG (Huzu) 2","ündük","KW 302, MGCD 251, 536."
  49,"*mede-",1383,"to know","знать","mede- (L 531)","mede- (HY 33, SH), mēdɛ-, mīdɛ- (IM), midä̆- (MA)","mede-","mede-","medə-","mede-","meǯie-, meiǯie-","\Imade-,\i mede-","mede- (Тод. Даг. 154, MD 189)","mede-","mude- (SM 244)","mede- (Weiers)","KW 259, MGCD 483. Mong. > Evk. mede-, Nan. mede- etc. (ТМС 1, 563-564), see TMN 1, 512-513, Poppe 1966, 191, Doerfer MT 24, Rozycki 155."
  50,"*labči",1209,"leaf","лист","nabči(n) (L 555)","nabučin (HY 7), nabčin (MA), nabčīn (Lig.VMI)","navč","nabša","napčə","nabči","lačən","labčoŋ","larči (Тод. Даг. 152), lariči (MD 185) 1","łabǯəg","la(b)śʒ́i (SM 218), (MGCD labǯi)","","KW 272, MGCD 497. Mong. > Evk. napči, see Doerfer MT 127."
  51,"*keb-", 750,"1 to lie 2 to bow down","1 лежать 2 склоняться, нагибаться","kebte- 1 (L 439), kebĳi- 2","kibtä-, kä̆btä- (MA), kebte-, kebde-, gebte- (SH) 1","xevt- 2, xevĳ- 2","xebte-","keptə-","gebte-","kiǯie-","","kert-, kerte- 1 (Тод. Даг. 150), kerete- 1 (MD 183)","","kidē- (SM 200) 'to lie (of animals)'","teftä-; KT tebtä (11-1a)","KW 226, MGCD 339."
  52,"*helige",1632,"liver","печень","elige (L 309)","xeligan (HY 47), xelige(n) (SH), hilgä (IM), iligän (MA)","eleg, elgen","eĺge(n)","elkṇ, elgṇ","elege","","helgə, xelge","xeleg (Тод. Даг. 175), helehe (MD 159)","heleɣe","xalege (SM 152), xelige, xalige (Huzu), xelge (MGCD)","ilkan 'Herz' (Weiers), elkän; ZM elkan (4-2a)","KW 119, MGCD 257."
  53,"*urtu, *uri-du",2545,"1 long 2 formerly","1 длинный 2 прежде","urtu 1 (L 884), uri-du 2 (L 883)","urdu (HY 52), urtu (SH), uruxši jire 'to come before' (HY 40), ortu (IM), urtu (MA) 1, urida (HY 50), urit 2 (HY 28, SH)","urt 1, uŕd 2","u(r)ta 1","utə 1","urtu 1","fudu 1","fdu (MGCD ftə) 1","orto (Тод. Даг. 160), ortu 1; warda (Тод. Даг. 129), ordōn (Тод. Даг. 160) 2, orete 1 (MD 202)","rdə 1","fudur (SM 101), (MGCD šdur) 1","urtu; ZM orṭo (11-6b)","KW 452, MGCD 681. Mong. > Dolg. urut 'formerly' (Stachowski 246)."
  54,"*böɣe-sü", 173,"louse","вошь","bögesü(n) (L 125)","bo'esun (HY 12, SH), buwä̆su-tu 'with lice', buäsun (MA), būsūn (LH)","bȫs(ön)","bȫhe(n)","bȫsṇ","bȫsü","bosun","bosuŋ, bosoŋ","būs (Тод. Даг. 128)","bǖsən","bōsə (SM 29)","busu (Weiers); ZM bosun (21-8)","KW 57, MGCD 160."
  55,"*sirke",1982,"louse (of animals)","вошь (на животных)","sirke (L 718: "a k. of flea")","sərke 'nit' (MA 323)","širx","šerxe","širkə","širχe","","","","","","","KW 360."
  56,"*ere",2764,"male, man","мужчина","\Iere\i (L 321)","\Iere\i (HY 29, SH), ärä (IM), irä̆ (MA)","\Ier\i","\Iere\i","\Ierə\i","\Iere\i","ere","ere","\Ier,\i ergun (Тод. Даг. 140) \Iere\i (MD, 145)","\Iere\i","\Irē\i 'mâle non châtré de certains animaux, masculin' (SM 313)","ZM errä (9-6a)","KW 123, MGCD 264."
  57,"*olon",2517,"many","много","olan (L 607)","olon (HY 44, SH), ulān (IM), ulan (MA)","olon","olon","olṇ","olon","olon","oloŋ","walan (Тод. Даг. 129), ualen (MD 229)","olon","olon (SM 298), (MGCD ulon)","","KW 285, MGCD 116, 527."
  58,"*mikan",1273,"meat","мясо","miqa(n) (L 540)","mixan (HY 24, 48), miqan (SH), mixa (IM), miqan (MA)","max(an)","ḿaxa(n)","maxən","maxa(n)","miGa, miɣa","\ImeGa\i","ḿaga, miag (Тод. Даг. 153), miahe, niahe (MD 191, 198)","maxGan","maxa (SM 230)","miqōn; ZM miqān (4-1a)","KW 254, MGCD 483."
  59,"*sara",2556,"moon","луна","sara(n) (L 674)","sara (HY 1, SH), ṣarā, saran  (IM), sara (MA)","sar","hara","sarə","sara(n)","sara","sare, sera","sarūl 'moon', sar 'month' (Тод. Даг. 162), sare 'month', sareule 'moon' (MD 206)","sara","sara (SM 326)","","KW 313, MGCD 593."
  60,"*aɣula",   9,"mountain","гора","aɣula(n) (L 17)","a'ula (HY 2, SH 10), awla (IM 433), (a)ula, ūla (MA 372, 189)","ūl","ūla","ūlə","ūla","ula (Тод. Дн. 137)","ōle (Тод. Бн. 145), ulə","aul(a) (Тод. Даг. 122), aule (MD 116)","ūla","ula (SM 469), ulā","aula; ZM āwla (17-8b)","KW 454, MGCD 662. Mong. > Sol. aula id."
