"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","ATU","KRH","TRK","TAT","CHG","UZB","UIG","SJG","AZB","TRM","HAK","SHR","ALT","KHAL","CHV","JAK","DOLG","TUV","TOF","KRG","KAZ","NOGX","BAS","BLKX","GAGX","KRMX","KLPX","SAL","QUM","REFERENCE"
  14,"*dɨrŋa-k", 248,"finger-nail, claw","ноготь, коготь","tɨrŋaq (OUygh.)","tɨrŋaq (MK, KB)","tɨrnak","tɨrnaq","tɨrŋaq/tɨrŋaɣ (Sangl.)","tirnɔq","tirnaq","dərmaq","dɨrnaG","dɨrnaq","tɨrɣax","tɨrɣaq","tɨrGaq","tɨrnaq","čərne","tɨŋɨrax","tɨŋɨrak","dɨrɣaq","dɨrɣaq 'comb'","tɨrnaq","tɨrnaq","tɨrnaq","tɨrnaq","tɨrnaq","tɨrnaq","tɨrnax","tɨrnaq","ʒɨrna(:)χ","tɨrnaq","Derived from PT *dɨrŋa- 'to scratch, scrape'. See VEWT 465, 479, TMN 3, 200 (there are no reasons to postulate different roots here: we have obviously  a case of a complicated behaviour of the medial -ŋ-); EDT 551, 549-50, ЭСТЯ III 345-349, Егоров 324, Дыбо 312, 323-325, Лексика 258, Stachowski 238."
  15,"*bulut (*bulɨt)", 209,"cloud","облако","","bulut (MK)","bulut","bolɨt","bulut (MA)","bulut","bulut","pɨlɨt","bulut","bulut","pulut","pulut","bulut","bulɨt","pəʷləʷt 'sky, cloud'","bɨlɨt","bɨlɨt","bulut","bulut","bulut","bu̲lt","bulɨt","bolot","bulut","bulut","bulut","bult","bu(:)lɨt","bulut","VEWT 88 (the connection with PT *bulga- 'to mix' is not obvious at all); TMN 2, 323; EDT 333, ЭСТЯ 2, 262-264, Лексика 24, Stachowski 71. Turk. > MMong. (ИМ) bulut, see Щербак 1997, 163. Derived are Kypch. forms like Kaz., KKalp. buldɨr 'foggy, cloudy', Kirgh. buldur 'fuzzy, cloudy', Nogh. buldɨr 'id.'"
  16,"*sogɨ-k",2173,"cold","холодный","soɣɨq (OUygh.)","soɣɨq (KB)","soɣuk","sɨwɨq","sawuq/sawuɣ (Sangl.)","sɔvuq","soɣaq","soq","sojuG","sovuq","sōx","sōq","sōq","sovuq","sivə","","","sōk","sōq","sūk","suwɨq","suwɨq","hɨwɨq","sūq","sūq","sūq","suwɨq","soχ","sowuq","Derived from PT *sogɨ- 'to cool, get cold', see VEWT 425, EDT 808 (*sogɨ-k), 806 (*sogɨ-), ЭСТЯ 7, Лексика 15."
  17,"*gẹl-", 495,"to come","приходить","kel- (Orkh., Yen., OUygh.)","kel- (MK, KB)","\Igel-\i","kil-","kẹl- (Abush., Pav. C.)","kel-","käl-/kil-","kel-","gäl-","\Igel-\i","kil-","kel- (R)","kel-","käl-","kil-","kel-","kel-","kel-","kel-","kel-","kel-","kel-","kil-","kel-","\Igel-\i","kel-","kel-","\Igel-,\i gej-","\Igel-\i","VEWT 248; EDT 715, ЭСТЯ 3, 14-16, 31-32, Stachowski 143. The Chuv. and Yak. vowels correspond irregularly."
  18,"*öl-",1567,"1 to die  2 (*öl-tür-) to kill","1 умирать  2 (*öl-tür-) убивать","öl- 1 (Yen., OUygh.), ölür- 2 (Orkh., Yen., OUygh.)","öl- 1 (MK, KB), öldür- 2 (MK, KB)","öl- 1, öldür- 2","ül- 1, üter- 2","öl- 1 (Sangl.), ölür- 2 (Abush.), öltür- 2 (Abush.)","ụl-, ụldir- 2","öl- 1, öltür- 2","jül- 1, jülɨr- 2","öl- 1, öldür- 2","öl- 1, öldür- 2","öl- 1, öder- 2","öl- 1, ödür- 2","öl- 1, öltür- 2","hil-/he.l-, öl- 'to die (of animals)' ( < Az.)","vil- 1, vəʷler- 2","öl- 1, ölör- 2","öl- 1, ölör- 2","öl- 1, ölür- 2","öl- 1, ölür- 2","öl- 1, öltür- 2","öl- 1, ölti̲r- 2","öl- 1, öltir- 2","ül- 1, ülter- 2","öl- 1, öltür- 2","jöl- 1, öldür- 2","oĺ- 1, oĺder- 2","öl- 1, öltir- 2","ül- 1, üldyr- 2","öl- 1, öltür- 2","VEWT 371; ЭСТЯ 1, 525-527, TMN 2, 112, 162-3; EDT 125-126, 133-134, 151, Stachowski 199."
  19,"*köpek",   0,"1 dog  2 hound 3 sheep-dog 4 yard dog 5 puppy","1 собака 2 охотничий пес 3 овчарка 4 дворовая собака 5 щенок","","köpek 1 (KB)","köpek 1, göbelek 5","","köpek (Pav. C., AH) 1, köbelek 2 (OKypch.)","kọppäk 1; köpäk 1 (dial.)","","","köpäk 1","köpek 1","","","köbök 'ethnonym; name of a hero'","","","","","","","","köpek 1","","","","köpek 1","köpe 1 (K)","köpek 1","","köbelek 3, göben it 4","VEWT 291, TMN 3, 646-647, ЭСТЯ 5, 111-112, Лексика 189. Basically an Oghuz word, but cf. also Kum. göben, OKypch. köbelek 'shepherd's dog' (Bulgat, ad-Durr., Houts., AH)  =  Tur. dial. göbelek 'puppy' (possibly < Kypch.), see ЭСТЯ ibid. Despite ЭСТЯ, Kirgh. qara köbölök 'evil spirit appearing as a girl dressed in black and with a black greyhound' is rather = köbölök 'butterfly' (cf. the archaic mythological motive of evil spirit appearing as a butterfly), but a contamination with the word for dog attested in Old Kypchak also cannot be excluded. However, Kalm. köwləg 'greyhound'  is not < Kirgh., but from Old Kypchak. The same source is probable for Russ. кобель, dimin. кобелёк (a re-analysis?) - the word is absent in other Slavic languages, the list of absolutely hopeless etymological attempts can be found in Фасмер II 267. It was attested for the first time in 1599 as a term for a hounting hound: у государевы царевы охоты у кобелей у меделянскихъ; the form кобелек  (attested in 1673)  see in  СРЯ XI-XVIII, 7, 208. Turk. > Hung. kopó 'bloodhound', see Gombocz 1912 (Doerfer in TMN 3, 647 objects, but the word has no Finno-Ugric etymology)."
  20,"*ič-",1759,"to drink","пить","ič- (Orkh., OUygh.)","ič- (MK)","ič-","eč-","ič- (Бор. Бад., Pav. C.)","ič-","ič-","ɨš-","ič-","ič-","əs-","iš-, eš- (R., Верб.)","ič-","ič-","əś-","\Iis-\i","\Iis-\i","iš-","iš-","ič-","iš-","iš-","\Ies-\i","ič-","ič-","ič-","iš-","īč-","ič-","VEWT 168, EDT 19, ЭСТЯ 1, 391, Егоров 66, Stachowski 129."
  21,"*Kūrɨ-k,-gak",1050,"1 dry 2 dry (crumbs, bread)","1 сухой 2 черствый","qurɨ- 'to dry' (OUygh.)","quruɣ, qur 1 (MK)","kuru 1","qorɨ 1","qurɨ- 'to dry' (MA)","quruq 1","quruq, qurɣaq 1","quruɣ, quruq 2","\IGuru\i 1","\IGūrɨ\i 1","xuruɣ 1","quru- 'to dry' (R.)","quru- 'to dry'","qurru- 'to dry'","xъʷrъʷk 2","kurānaq 1","kurānak 1","qurɣaɣ 1","qurɣaɣ 1","qurɣaq 1","qu̲rɣaq 1","qurɨ, qurlaj 1","qoro 1","quru 1","quru 1","quru 1","qurɣaq 1","\IGuru,\i \IGurɨ\i 1","quru- 'to dry'","Derived from PT *Kūr(ɨ)- 'to dry up'. See VEWT 302, 303; EDT 652-3, 646, 658, ЭСТЯ 6, 154-155, Stachowski 162, 163. Turk. qūrut 'dry cheese' > Mong. qurud > Manchu kuru etc., see Doerfer MT 131; Turk. > Hung. kóró 'dry stalk', see Gombocz 1912."
  22,"*Kul-kak",1156,"ear","ухо","qulqaq (Orkh., OUygh.)","qulaq, qulqaq, qulxaq (MK), qulaq, qulɣaq (KB)","kulak","qolaq","qulaq (MA), qulaɣ (Sangl.)","qulɔq","qulaq","qulaq","\IGulaG\i","\IGulaq\i","xulax","qulaq","qulaq","qulaq","xъʷlɣa","kulgāk","kulgāk","qulaq","qulaq","qulaq","qulaq","qulaq","qolaq","qulaq","qulaq","qulax","qulaq","\IGulaχ\i","qulaq","VEWT 298, EDT 620, Лексика 204-205, ЭСТЯ 6, 124-127, Stachowski 160."
  23,"*jẹr",1441,"earth, land","земля","jer (Orkh., Yen., OUygh.)","jẹr (MK), jer (KB)","jer","ǯir","jẹr (MA)","jer","jär","jer","jer","jer","čir","čer (R.)","d́er","jer","śər","\Isir\i","\Ihir\i","čer","čer","ǯer","žer","jer","jer","žer","jeŕ","jer","žer","jer","jer","VEWT 198, EDT 954, ЭСТЯ 4, 191-192, Лексика 53, Stachowski 104-105. Bulg. > Hung. szer 'place' (in toponyms), see Sinor 1990."
  24,"*topra-k",2313,"earth, soil","земля, почва","topraq (OUygh.)","topraq (MK, KB)","toprak","tufraq","topraɣ/q, tofraɣ/q (Sangl.)","tuprɔq","tofraq, topraq","durvaq","torpaG","topraq","tobɨrax","tobraq","tobraq","turpaq","tъʷpra","toburax","","dovuraq","to'praq","topuraq","topɨraq","topɨraq","tupraq","topraq","topraq","topraq, toprax","topɨraq","to(:)rɨχ","topraq","Derived from PT *topra- 'to turn into dust, dry out'. See VEWT 489, EDT 443, 444, Лексика 99. Turk. > WMong. tobrag, Kalm. towrəg (KW 404)."
  25,"*jē-",2596,"to eat","есть","je- (OUygh.)","je-, jẹ- (MK, KB)","je-","ǯim 'food'","je- (Abush., Sangl.)","je-","jä-","ji-","je-","ĳ-","če-","čī-","d́e-","jiē-","śi-","sie-","\Ihie-\i","či-","či-","ǯe-","že-","je-","je-","ǯeje- (arch.)","\Ii-\i","je-","že-","ji-","je-","VEWT 194, EDT 869-70, ЭСТЯ 1, 333-335, Stachowski 102."
  26,"*jumurtka",2522,"egg","яйцо","jumurtɣa, jumurɣa (OUygh.)","jumurtɣa (MK)","jumurta","jomɨrqa","jumurtɣa  (Sangl.)","jumurtqa (dial.)","","jomut","jumurta","jumurtGa","nɨmɨrxa","nɨbɨrtqa, nuburtqa (Верб.)","d́ɨmɨrtqa","jumurqa","śъʷmarda","sɨmɨ̄t","hɨmɨ̄t","čuurɣa","ńumurxa","ǯumurtqa","žu̲mɨrtqa","jumɨrtqa","jomortqa","zumurtqa","jɨmɨrta","jɨmɨrta, imɨrtxa","žumurtqa","jymū(r)dda","jɨmɨrtqa","VEWT 211, EDT 938, ЭСТЯ 4, 250-251, Лексика 149, Stachowski 118."
  27,"*göŕ ( = *gör-s) / *gör-", 554,"1 eye (*göŕ) 2 to see, look (*gör-)","1 глаз  2 видеть","köz 1, kör- 2 (Orkh., Yen.,OUygh.)","köz 1, kör- 2 (MK, KB)","göz 1, gör- 2","küz 1, kür- 2","göz (Sangl., Pav. C.), köz (Vamb.) 1, kör- (MA, Abush., Sangl.) 2","kụz 1, kụr-  2","köz 1, kör- 2","köz 1, gör- 1","göz 1, gör- 2","göz 1, gör- 2","kös (Sag.) 1, közenek (Kɨzil.) 'window',  kör- 2","kös (R) 1","kös, dial. köz 1, kör- 2","kẹr- 2","koś 1, kor- 2","kör- 2; köhün- 'to be seen'","kör- 2; köhün- 'to be seen'","köstük 'eye-glass', köskü 'visible, good-eyed', köskenek 'window', kör- 2","kösküt- 'to show', kör- 2","köz 1, kör- 2","köz 1, kör- 2","köz 1, kör- 2","küδ 1, kür- 2","köz 1, kör- 2","göz 1, gör- 2","goz/koz 1, kor- 2","köz 1, kör- 2","gö(:)z 1, gör- 2","göz 1, gör- 2","VEWT 292, TMN 3, 637f, EDT 756 (*göŕ), 736 (*gör-), Федотов 1, 310, 314, ЭСТЯ 3, 60-64 (*göŕ), 77-79, 81-84 (*gör-), Лексика 209, Stachowski 155, 156. The Chuv. reflex requires a supposition of a final cluster (*rs) in the nominal stem; this may be a suffixed deverbative. OT körüg 'glance; image' > MMo, WMong. körüg 'image'."
  28,"*jāg", 632,"1 fat n., butter  2 lard  3 thick, fat (adj.)","1 жир, масло  2 сало  3 толстый, жирный","jaɣ 1 (OUygh.)","jaɣ (MK)","jaɣ 1","","jaɣ 1 (MA)","jɔɣ 1","jaɣ 1","jaɣ 1","jaɣ 1","jāɣ 1","čaɣ 1","čaɣ 1","d́ū 1","jāɣ 1","śu, śъʷv 1","sɨa 1","hɨa 1","čaɣ 2","čaɣ 2","ǯoo-n 3","","","","žau 1","\Ijā\i 1","jaɣ 1","","jaɣ 1","jav 1","VEWT 177, EDT 895, ЭСТЯ 4, 58-59, Лексика 453, Федотов 2, 127, Stachowski 117."
  29,"*tǖk",2408,"1 feather 2 (animal's) hair 3 (body) hair 4 fur 5 hair","1 перо 2 шерсть (животного) 3 волос (на теле) 4 мех 5 волос","\Itü\i 1, 3 (OUygh.)","\Itü\i 3 (MK, KB)","tüj 1-5","tök 1, 2, 3","tük, tüj, tüg 3 (Sangl.)","tuk 3","tük 2, 3","","tük 1,2,3,5","tüj 2,3","tük 1, 2, 3","tük 1","tük 1, 2, 3","tīk 3","təʷk 1, 3","\Itǖ\i 1, 2, 3, 4","\Itǖ\i 1, 2","dük 3, 5","dük (Рас. ФиЛ), tük 2, 3, 5","tük 2, 3","tük 3","tük 1, 2, 3","tök 2, 3","tük 1, 2, 3","tüj 1, 2, 3","tik, t́uk 2, 3","tük 1, 2, 3","tüx, ʒ́üx 2 (ССЯ)","tük 3","VEWT 503; EDT 433 (: originally only 'body hair', opposed to sač 'hair of head', kɨl 'hair (in general)' and jüg 'feather'); Лексика 197-198; Stachowski 236. Loss of *-k in OT and Yak. is not quite clear (perhaps a rather unique development of the final *-ǖk)."
  30,"*bālɨk",1624,"fish","рыба","balɨq (OUygh.)","balɨq (MK)","balɨk","balɨq","balɨq, balɨɣ (MA, Pav. C., Бор. Бад.)","baliq","beliq","","balɨG","bālɨq","palɨx","palɨq (R.)","balɨq","","polъ","balɨk","balɨk","balɨq","balɨq","balɨq","balɨq","balɨq","balɨq","balɨq","balɨq","balɨx","balɨq","baluχ","balɨq","EDT 335, ЭСТЯ 2, 59-60, Лексика 177, Федотов 1, 443, Stachowski 52."
  31,"*uč-",2484,"fly v.","лететь, летать","uč- (OUygh.)","uč- (MK,KB)","uč-","oč-","uč- (Abush., Pav. C.)","uč-","uč-","uč-","uč-","uč-","učux-","učuq-","uč-","uč-, učɣur-","vəʷś-","uhun- 'float'","uhun- 'float, swim'","u'š-","u'š-","uč-","uš-","uš-","os-","uč-","uč-","uč-","uš-","uš-","uč-","VEWT 509, EDT 19, ЭСТЯ 1, 612-613, Stachowski 241."
  32,"*adak",1700,"foot","нога","adaq (Orkh., OUygh.)","aδaq (MK)","ajak","ajaq","ajaq (Abush., Sangl.)","ɔjɔq","ajaq","azaq","ajaG","ajaG","azax","azaq","ad́aq","hada:q, hadaq","ora","ataq","atak","adaq 'bottom part'","adaq 'сошки; нижняя часть'","ajaq","ajaq","ajaq","ajaq","ajaq","ajaq","ajax","ajaq","aja(:)χ","ajaq","VEWT 5, EDT 45, ЭСТЯ 1, 103-105, Лексика 288, Федотов 2, 283, Stachowski 38."
  33,"*dōl-", 229,"full","полный","tolu (OUygh.)","tolu (MK)","dolu","tulɨ","\Itola\i (Abush., Pav. C.)","tụla","tola, tolɣan","tolo","dolu","dōlɨ","tol- (v.)","tol-dɨr- (v.)","tolo","tūol- (v.)","tol- (v.), tolli","tuol- (v.), toloru","tuol- (v.), toloru","dolu","dolu","tolo","tolɨ","tolɨ","tulɨ","tolu","dolu","tolɨ","tolɨ","doli(:); t`olɨ (Kakuk); tōl- v. (ССЯ)","tolu","VEWT 486, EDT 491-492, ЭСТЯ 3, 257-259, Федотов 2, 242-243, Stachowski 226, 231. PT *dōl-ɨ is derived from *dōl- 'to get filled'."
  34,"*bēr-", 154,"to give","давать","ber- (Orkh., OUygh.)","ber- (MK, KB, IM)","ver-","bir-","ber- (Abush., Sangl.)","ber-","bär-","\Iper-\i","ver-","ber-","pir-","\Iper-\i","ber-","ver- (< Az.)","\Ipar-\i","\Ibier-\i","\Ibier-\i","ber-","ber-","ber-","ber-","ber-","bir-","ber-","ver-","ver-","ber-","be(r)-,ve(r)-, vē(r)-","ber-","VEWT 70, ЭСТЯ 2, 114-116, EDT 354-5, Stachowski 59."
  35,"*ed, *ed-gü", 413,"1 thing, goods 2  good, excellent  3 good action, benefit","1 вещь, добро, имущество 2 хороший, отличный  3 благодеяние","\Ied\i 1 (OUygh.), edgü 2","\Ieδ\i 1, eδgü 2 (MK, KB)","ĳi 2","ige, ĳge","","","","","","ejgi-lik 3","","","","","","ütüö 2","ötüö 2","eki 2","e'kki 2","ĳgi-lig 3","","ĳgi 1","","igi,izgi 1","","","","\Iī\i 1","","ЭСТЯ 1, 245-247, 248-249, 329-330, VEWT 35-36, EDT 33, 51, Stachowski 201. PT *ed-gü is derived from PT \I*ed\i 'thing, goods' (Лексика 326) ( > Mong. \Ied,\i MMong. (SH etc.) \Ied,\i see Щербак 1997, 113). Mong. edege- 'to feel better, recover' (Dag. \Iedge-)\i is also possibly < Turkic."
  36,"*jāĺ-ɨl",1485,"1 green  2 yellow","1 зеленый 2 желтый","jašɨl (Orkh., OUygh.) 1","jašɨl (MK, KB) 1","ješil 1","jɛšel 1","jašɨl (MA) 1","jašil 1","ješil 1","jahsɨl 1","jašɨl 1","jāšɨl 1","čazɨl 1","čažɨl (R.) 1","d́ažɨl 1","ja:šɨl 1","śulźa, śulǯa, śъvъlś 'leaf' ( = Bashk. jäšelsä 'greens, vegetables')","saha-r- 2","haha-r- 2","","","ǯašɨl 1","žasɨl 1","jasɨl 1","jäšel 1","žašil 1","ješil 1","ješli 1","žasɨl 1","jäšil 1","jašɨl 1","Derived from PT *jāĺ 'young, green vegetables' (OUygh. jaš, MK jaš, Turkm. jāš, see ЭСТЯ 4, 162, EDT 975, 976, Федотов 2, 134, Stachowski 93). This root is often mixed with homophonous *jāĺ 'tear' and *jāĺ 'age, year', see ЭСТЯ 4, 161-164 (all three roots have different Altaic etymologies). Turk. > Mong. jasil 'buckthorn' (Clark 1980, 41)."
  37,"*Kɨl(k)",1027,"hair","волос","qɨl (OUygh.)","qɨl (MK, KB)","kɨl","qɨl","qɨl (IM)","qil","qil","qɨl","\IGɨl\i","\IGɨl\i","xɨl","qɨl (R.)","qɨl","qɨl","xələx","kɨl","kɨl 'sealine'","xɨl","xɨl","qɨl","qɨl","qɨl","qɨl","qɨl","qɨl","qɨl","qɨl","","qɨl","VEWT 262, TMN 3, 574-5, EDT 614, Лексика 196, ЭСТЯ 6, 204-205, Stachowski 168."
  38,"*el, -ig",1527,"hand","рука","elig (Orkh., OUygh.)","elig (MK)","\Iel\i","","\Iel,\i elig (Abush., MA, Бор. Бад., Sangl.)","ilik (arch.)","ilik (dial.)","ɨlɨɣ","äl","\Iel\i","","ilik (Верб.), ilgilik 'mitten'","","ä̇l","alъ","ilī, elī","ilī","","eldik 'mitten'","","","","","","\Ijeĺ\i","","","\Iel\i","","VEWT 39, EDT 140-1, ЭСТЯ 1, 260-261, Лексика 251, Егоров 24, Stachowski 125-126."
