NUMBER|PROTO|PRNUM|MEANING|RUSMEAN|PHN|AKO|REFERENCE
99|*mɨ̀|1379|what|что|muət|mɨ̀-|Nam 225, KED 663.
100|*hắi-|2036|white|белый|\Ihi-\i|hắi-|Nam 482, KED 1898.
101|*nú-|1552|who|кто|nu-gu|nú-|Nam 114, KED 356.
102|*kjə̄-čìp|422|woman|женщина|kjēǯip|kjə̄čìp|Nam 42, KED 132. Historically a compound (*'woman' + 'house, family'), with čip 'house' in the second part.
103|*nùrɨ́-|1541|yellow|желтый|nurɨ-, norɨ-|nùrɨ́-|Nam 114, KED 357.
104|*mə̄r-|1257|far|далекий|mə̄l-|mə̄r-|Nam 211, KED 613.
105|*mɨ̀-|35|heavy|тяжелый|mugəp- (mugəw-)|mɨ̀-kə́p- (mɨ̀-kə́w-)|Nam 225, KED 652.
106|*kə̀čh|2653|outer appearance, exterior|внешний вид, внешность|kəǯuk, kət [kəth]|kə̀čh|Nam 40, KED 87, 104.
107|*sòkòm|1895|salt|соль|sogɨm|sòkòm|Nam 306, KED 970.
108|*tjə̀r-|2244|short|короткий|č:ap- [č:alp-], č:əp- [č:əlp-]|tjə̀rằ-, tjə̀rɨ̀-|Nam 154, KED 1395.
109|*pắjàm|1876|snake|змея|pǟm|pắjàm|Nam 242, KED 756.
110|*jə̄rp-|1437|thin|тонкий|jə̄lp-, jālp-|jə̄rp-|Nam 376, KED 1182.
111|*pằrằm|194|wind|ветер|param|pằrằm|Nam 241, KED 704.
112|*pə̄r-|1755|bee|пчела|pə̄l|pə̄r, pə̄ri|Liu 375, 379, HMCH 50, Nam 254, KED 764.
113|*tə̄r-|2364|dirty, become dirty|грязный, пачкаться||tə̄r-m-|Nam 153.
114|*čhắ-|265|to be full, fill|быть полным, наполнять|čha-|čhắ-|Nam 447, KED 1561.
115|*kār(h)-|1027|1 hair  2 horse's mane|1 волос 2 лошадиная грива|məri-kharak, məri-khal 1, kālgi 2|kārki 2|Liu 28, HMCH 308, KED 43, 608.
116|*sìp-|2555|to hold in mouth, to chew|держать во рту, жевать|\Is:ip-\i|sìp-|Nam 327, KED 1064.
117|*čəŋk-|324|1 knee 2 shin, shank|1 колено 2 голень|čəŋgaŋi, čəŋgäŋi 2||KED 1450.
118|*òkóm|2507|1 inner angle of knee 2 knee|1 подколенная ямка  2 колено|ogɨm 1, 2|òkóm 1|Nam 378, KED 1195. The deriving stem appears to be ok- / uk- 'to bend in, turn in' (KED 1204); the verb is, however, attested very late and may be a back-formation from the noun.
119|*číčh|2172|feather|перо||čís, číčh|Nam 445, 446.
120|*sù'ɨ̀r|2101|wine, alcoholic drink|вино, алкогольный напиток|sul|sù'ɨ̀r, sù'ùr|Nam 314, KED 1018.
121|*kūr-|1105|to treat, concern|обращаться, обходиться|kūl-||KED 217.
122|*sari-|1946|1 to beware, be careful, spare oneself 2 wisdom|1 быть осторожным, беречься 2 мудрость|\Isari-\i 1, sɨlgi 2|sɨrkɨi 2|Nam 321, KED 873, 1027. The -ɨ-vowel in sɨrkɨi is probably a secondary result of assimilation.
123|*nắr-|1546|be extended, extend|растягивать(ся), увеличиваться|nɨl-|nắrí-|Nam 92, KED 372.
124|*sə̄r-|2037|raw, unripe|сырой, недозрелый, недоваренный|sə̄l-||KED 950.
125|*pìrɨ́-|169|at first, begin|сначала, впервые, начинать|piroso|pìrɨ́s, pìrɨ́só|Nam 276, 277, KED 852.
126|*mōr-|1319|to pursue, drive|преследовать, гнать|mol-|mōr-|Liu 325, HMCH 307, KED 641.
127|*par|1615|tooth (in comp. with *ni-)|зуб (в слож. с *ni-)|ip:al|ni-s-par|Nam 127, KED 1369.
128|*pča-k|1675|1 pair 2 one of a pair|1 пара  2 один из пары|č:ak 2|pčàk 1, 2|Nam 415, KED 1386.
129|*mɨ̀rɨ̀-|2657|to return, turn around, retreat|возвращать(ся), поворачиваться, отступать|murɨ-|mɨ̀rɨ̀-|Nam 226, KED 657.
130|*ta(h)-|346|following|следующий|taɨ-m||KED 388.
131|*torč (-s)|382|anniversary (cycle)|полный год, годовщина|\Itot\i [tols], tol|\Itors\i|Liu 230, KED 478.
132|*muri, *múr|1260|1 crowd, many 2 every|1 толпа, множество 2 каждый|muri 1|múr 2|Nam 223, KED 657.
133|*kàmá|812|crown of head|верхушка головы|kama|kàmá|Liu 20, HMCH 51, KED 14.
134|*tɨ̀r-|2791|to hold, lift|держать, нести; поднимать|tɨl-|tɨ̀r-|HMCH 336, KED 535.
135|*ámh|428|woman, wife, female|женщина, жена, самка|\Iam\i|ám (ámh-)|Nam 348, KED 1093.
136|*pòsòi- / *pusɨi-|1808|to wash, sprinkle|мыть, брызгать|pusi-|pòsòi- / pusoi-|Nam 261, 265, KED 816.
137|*móm|1293|body|тело|mom|móm|Nam 218, KED 645.
138|*kokăi-|867|heart of wood, pith, core|сердцевина|kogäŋi|kokăĳaŋ|Nam 45, KED 134.
139|*pɨ̀rɨ̀-|113|thick, satiated|толстый, сытый|purɨ-|pɨ̀rɨ̀-|Nam 270, KED 813.
140|*năr|1474|smth. raw, fresh|нечто сырое, свежее|nal|năr|Nam 96, KED 302.
141|*kari|770|rib(s)|ребро, ребра|kalbi|kari-spjə|Nam 3, KED 46.
142|*ɨsɨr-|610|to grind, crush|разбивать, дробить, ломать|ɨsɨrə-(t:ɨrida)||KED 1287.
143|*čūr|248|file|напильник|čūl|čūr|Liu 672, HMCH 251, KED 1507.
144|*čăra-|229|be sufficient, enough|быть достаточным|čara-|čăra-|Nam 412, KED 1375.
145|*tàrí|2410|leg|нога|tari|tàrí|Nam 129, KED 383.
146|*òrá-|2545|late, long ago|поздний, давний|orä-|òrá-|Nam 379, KED 1198.
147|*tə-|2236|still more, moreover|еще больше, сверх|\Itə\i||KED 439.
148|*àk-|13|1 mouth 2 a little open, apart 3 opening, slit|1 рот 2 приоткрытый 3 отверстие|aguri 1, agu 2, agɨt [akɨs] 3|akui, ìp-àkói 1|Nam 333, 407, KED 1067.
149|*pūrì|1686|beak|клюв|pūri|pūrì|Nam 265, KED 814.
150|*pjər-|1793|precipice; road above precipice|обрыв; дорога над обрывом|pjəraŋ, pjəre, pjəru|pjəro, pjər|Nam 258, KED 775.
151|*pə̀kɨ́-|2787|next, following|следующий|pəgɨm|pə̀kɨ́-|Nam 254, KED 758.
152|*ka, *ko|959|interrogative particle|вопросительная частица|\I-ka,\i \I-ga,\i \I-ko,\i \I-go\i|\I-ka,\i \I-kó\i|Nam 45, KED 2, 133.
153|*čjə̄r-|241|to be salty|быть соленым|čə̄l- [čjə̄l-]||KED 1442.
154|*kɨ̀s-|800|1 to press 2 with force, strongly 3 to stop, put an end to smth.|1 давить, угнетать 2 с силой, сильно 3 прекращать|kɨčhi-, k:ɨčhi- 3 ( < *kɨs-čhi-)|kɨ̀s-nùrɨ́- 1, kɨ̀s- 3, kɨ́s 2|Nam 75, KED 241. High tone recorded in the adverb is not quite clear (perhaps expressive; one cannot exclude, however, that it is original, being replaced in the verbal stem by the productive low tone).
155|*sar-|2549|gentle, cool (of wind)|слабый, прохладный (о ветре)|sallaŋ, səlləŋ, salgiraŋ||KED 897.
156|*sik-|2173|to cool off|остывать|sik-||KED 1045.
157|*hằ-|1961|to make, auxiliary verb|делать, служебный глагол|\Iha-\i|hằ-|Nam 470, KED 1781.
158|*àtắr|57|son|сын|adɨl|àtắr|Nam 335, KED 1069.
159|*pə̄r-|108|to earn|зарабатывать|pə̄l-||KED 765.
160|*čùr-kí|224|stalk, branch without leaves|стебель, ветка без листьев|čulgi, čulgəri|čùrkí|Liu 672, HMCH 297, KED 1507.
161|*kubɨr-|1141|roll|катиться|kūl-, kurɨ-|kù'ɨ̀r-, kù'ur-|Nam 60, KED 199, 217.
162|*sár|2097|arrow; sting|стрела; жало|\Isal\i|sár|Liu 436, HMCH 277, KED 895.
163|*náh|1390|age|возраст|\Ina,\i \Inä\i|ná (náh-)|Nam 85, KED 284.
164|*pắi|1775|boat|лодка|\Ipä\i|pắi|Nam 251, KED 743.
165|*hə̀-|2042|1 waist 2 shagreen, skin (of snake etc.)|1 поясница 2 сброшенная кожа, кожа (змеи etc.)|həri, hə-guri 1, həmul 2|hə̀rí 1, hə̀ŋ'ùr 2|Nam 484, 486, KED 1821.
166|*čɨrə|250|before, beforehand|прежде, заранее|čire|čɨrə, čɨrjə|Nam 436, KED 1529.
167|*pùhɨ́i-|86|grey, milky white|серый, молочно-белый|pūjə- [pūjəh-], pōja- [pōjah-]|pùhɨ́i-|Nam 267, KED 792, 818.
168|*korh-|1114|to get stale, rot|черстветь, сгнивать, протухать|kol- [kolh-]||KED 160.
169|*nàráh|1414|country|страна|nara|nàráh|Nam 87, KED 287.
170|*koč|1073|1 spit, skewer; awl, gimlet 2 to stick in|1 вертел; шило 2 втыкать|kot [kos], k:oǯi 1, k:ot- [k:oč-] 2|koč 1, kòč- 2|Nam 54, KED 164, 174. The accent of the noun is unknown; the verbal stem has a usual low tone.
171|*kə̀mɨ́i|916|spider|паук|kəmi|kə̀mɨ́i|Nam 32, KED 84.
172|*más|34|taste|вкус|\Imat\i \I[mas],\i mət [məs]|más|Nam 203, KED 588, 614.
173|*íp|583|door|дверь||íp|Nam 406.
174|*nàń(ắ)-|1533|to go, move forward|идти, двигаться вперед|nāt- [nas-], naa-ka-|nās- (nań-), nań-, nàńắ-|Nam 89, 99, 101, KED 292, 311.
175|*nằmằrh|1204|vegetables, greens|овощи, зелень|namul|nằmằr  (nằmằrh-)|Nam 92, KED 289.
176|*korắ- / *koro-|1091|1 suffering 2 to suffer, be troublesome, hard, painful|1 мука, мучение  2 мучиться, быть трудным, тяжелым|kwerop- (kwerow-) 2,  kwero-um 1|koro-'om 1, koră'oi- 2|Nam 46, KED 189.
177|*korh-|1126|to suffer loss|потерпеть утрату|kol- [kolh-]||KED 160. The root should be probably distinguished from kol(h)- 'to get stale, rot' (although they tend to contaminate).
178|*kòráŋ|1148|embankment, boundary, furrow|насыпь, межа, борозда|kōl, koraŋ|kòráŋ|Liu 63, HMCH 163, KED 138, 156.
179|*mə̀kùrí|1299|frog, toad|лягушка, жаба||mə̀kùrí|Nam 209.
180|*kùrjə̀ŋí|912|adder, viper|гадюка|kurəŋi|kùrjə̀ŋ'í|Nam 58, KED 199.
181|*kúr|1092|shell, oyster|устрица|kul|kúr|Nam 62, KED 216.
182|*nằčh|1538|face|лицо|nat [načh]|nằčh, nằs|Nam 100, 101, KED 313.
183|*čjə̄pì|308|swallow|ласточка|čēbi|čjə̄pì|Nam 425, KED 1464.
184|*mìt-|1383|to believe|верить|mit-|mìt-|Nam 234, KED 695.
185|*kur|1093|soot|сажа, копоть|kul||KED 216.
186|*nár|1439|sun, day, weather|солнце, день, погода|nal|nár|Nam 95, KED 302.
187|*póm|1681|spring|весна|\Ipom\i|póm|Nam 263, KED 804.
188|*pa|102|rope, string|веревка|\Ipa\i||KED 701.
189|*pắrh-|1728|to sell|продавать|phal-|phắr-|Nam 462, KED 1736.
190|*njə̀rɨ́-m|1476|summer|лето|jərɨm|njə̀rɨ́m|Nam 107, KED 1163.
191|*kam-|745|to be unable to, to be insufficient for|быть неспособным, недостаточным для ч.-л.|kam-gi-||SKE 91-92.
192|*ə̀i-|415|to surround, encircle|окружать|e-u-|ə̀i'uə-|Nam 371, KED 1159.
193|*ə̀rjə́-b-|465|to be difficult, hard, in distress|быть трудным, находиться в затруднении|ərjəp- (-w-)|ə̀rjə́p- (-w-)|Nam 360, KED 1127.
194|*pằrh|145|arm|рука (верхняя часть)|phal|phằr|Nam 462, KED 1736.
195|*ìrɨ̀-|467|early|ранний|irɨ-|ìrɨ̀-|Nam 400, KED 1326.
196|*kùm-|918|cavity, hole|впадина, дыра|kuməŋ|kùmk, kùmú (kùmúk-)|Nam 59, 63, KED 201.
197|*tìrɨ̀-|2413|to press, to stick|вдавливать, вставлять|čirɨ-, č:irɨ-|tìrɨ̀-|Nam 179, KED 1530.
198|*kúitə́kí|1070|maggot, worm, grub|личинка, червяк|kudəgi, kudegi|kúitə́kí|Nam 65, KED 197.
199|*pat-|1729|to strike against, push, gore with the horns|ударять, толкать, бодать|\Ipat-\i (-d-)||KED 721.
200|*čắm-|2698|to be closed, shut; to hide, submerge|быть закрытым; прятать, погружать|čam-gi-, čam-gɨ-|čắm-; čằmằ-tì-, čắm(ki)- 'to soak, submerge'|Nam 413, 417, KED 1395, 1396.
201|*sir(h)-|2003|1 to be cold (of hands, feet etc.) 2 to quiver, shake|1 замерзать (о конечностях) 2 дрожать, трястись|siri- 1, silluk ha- 2||KED 1036, 1056.
202|*pə́rh-|1723|fields, meadows|поля, луга|pəl, phəl|phə́rí|Nam 463, KED 764, 1744.
203|*pàrằ-|110|direct, straight; right|прямой; правильный|parɨ-|pàrằ-|Nam 238, KED 706.
204|*čək|310|time|время|čək|čək|Nam 422, KED 1423.
205|*tám|2323|wall|стена|tam|tám|Liu 200, HMCH 230, KED 408.
206|*kắnắrh|878|shadow|тень|kɨnɨl|kắnắr (kắnắrh-)|Nam 9, KED 232.
207|*mằtằi|1320|joint (of bamboo; of body)|коленце (бамбука); сустав|madi|mằtằi|Nam 195, KED 561.
208|*kjə̀ńɨ́r|1054|winter|зима|kjəul|kjə̀ńɨ́r, kjə̀ńắr, kjə'ər|Nam 42, KED 112.
209|*ə̀ńɨ̀r-ɨm|600|1 evening, dusk 2 dark, dusky|1 вечер, сумерки 2 темный|əsɨrɨm 1, əsɨre-hada 2|ə̀ńɨ̀r-ɨm 1|Nam 363, KED 1132.
210|*àčhắm|412|morning|утро|ačhim|àčhắm|Nam 342, KED 1077/
211|*nɨ̀č-|1420|late|поздний|nɨt- [nɨč-]|nɨ̀č- (cf. also nàčòi 'evening')|Nam 90, 118, KED 375.
212|*ps-kɨ́i, *ps-tái|1714|1 time 2 mealtime|1 время 2 время еды|t:ä 1, k:i 2|pskɨ́i, pstái 1|Nam 77, 147, KED 260, 418-419.
213|*pə́nkái|1782|lightning|молния|pəngä|pə́nkái|Nam 256, KED 762.
214|*sə̀rí|2005|frost|иней|səri|sə̀rí|Nam 299, KED 936.
215|*nūn|1232|snow|снег|\Inun\i|nūn|Nam 115, KED 360.
216|*ə̀r-|21|1 to freeze 2 ice|1 замерзать 2 лед|ə̄l- 1, ərɨm 2|ə̄r- 1, ə̀rɨ́m 2|Nam 361, 367, KED 1143, 1146.
217|*múrúi|1333|hail|град|muri (dial.)|múrùi|Nam 221, KED 658.
218|*kắmắr|1120|drought|засуха|kamul|kắmắr|Nam 13, KED 17.
219|*əntək(h)|38|hill|холм|əndək|ənthək|Nam 366, KED 1139.
220|*pàhói|160|rock|скала|pawi|pàhói|Nam 239, KED 708.
221|*kòkái|549|peak, height|пик, вершина|kogä|kòkái|Liu 61, HMCH 156, KED 134.
222|*tɨ̀rɨ́h|2444|field, steppe|поле, степь|tɨ̄l|tɨ̀rɨ́ (tɨ̀rɨ́h-)|Nam 171, KED 533.
223|*mūŋ-|1353|round, small round stone|круглый, маленький круглый камешек|muŋi 'round thing, lump', muŋuri 'round stone'|mūŋ'ɨ́rí-tōr|Nam 224, KED 685.
224|*sjə̄m|2196|island|остров|səm|sjə̄m|Nam 305, KED 953.
225|*kằrắm|1129|lake, big river|озеро, большая река||kằrắm|Nam 11.
226|*pàtá-h, *pàdắr|123|sea|море|pada|pàtá (pàtáh-), pàrắr|Nam 236, 238, KED 703.
227|*mós|1378|pond, lake, swamp|пруд, озеро, болото|\Imot\i [mos]|mós|Nam 218, KED 647.
228|*nāih|1391|river|река|\Inǟ\i|nāi (nāih-)|Nam 101, KED 315.
229|*kā̆ń|1003|edge|край|\Ikā\i|kā̆ń|Nam 28, KED 1.
230|*kjə́r|2786|wave|волна|kjəl|kjə́r|Nam 43, KED 116.
231|*nằrằ|1465|ford; ferry point|брод; паромная переправа|naru|nằrằ|Nam 232, KED 288.
232|*tór|2721|ditch|канава|toraŋ|tór|Nam 159, KED 463.
233|*jə̀hɨ́r|2494|shallow place|отмель|jəul|jə̀hɨ́r|Nam 374, KED 1165.
234|*sā̆i-m|1892|spring, shallow well|источник, мелкий колодец|sǟm|sā̆im, săi'om|Nam 296, 297, KED 926.
235|*kə̀phúm|1124|foam|пена|kəphum|kə̀phúm|Liu 45, HMCH 161, KED 90.
236|*tə́h|2334|edge, border, foundation; yard|край, место, основание; двор|thə|thə́ (thə́h-)|Nam 457, KED 1699.
