"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","TURC","TURCNUM","MONG","MONGNUM","TUNG","TUNGNUM","KOR","KORNUM","JAP","JAPNUM","REFERENCE"
  41,"*aŋt`à", 988,"a k. of fragrant plant","вид пахучего растения","*Aŋduŕ", 871,"*(h)aǯVrgana", 867,"*(x)an(d)ikta", 951,"",   0,"*àntùsà", 747,"Name of a fragrant grass, probably geranium-like. One should also note Mong. inaɣda (Khalkha janagd) 'willow-herb' - looking suspiciously close to some TM forms (a loan from TM?)."
  42,"*oŋne",1196,"same, self; lonely","тот самый, сам; одинокий","*öŋ", 938,"*önü-",1871,"",   0,"",   0,"*ənə",1474,"Ozawa 62-63. The original meaning should be probably reconstructed as "self", with a further development > "lonely" (Mong. "orphan"), typologically a frequent case (cf. Polish sam - samotny etc.), whence Old Turkic "desolate, deserted"."
  43,"*ăŋu",   0,"wild game","дикий зверь, дичь","*Ăŋ",1921,"*(h)oɣuna",2007,"*aŋa-",2234,"",   0,"",   0,"A Western isogloss."
  44,"*aŋV",1720,"separate, different","отдельный, другой","",   0,"*aŋgi-",1877,"*aŋa-",2119,"",   0,"",   0,"A Mong.-Tung. isogloss."
  45,"*àpo", 987,"to wear out, be spoiled","изнашиваться, портиться","*obu-ra- / *obu-n-", 458,"*ebe-", 487,"*abu-", 499,"",   0,"*àpà-",1251,"Cf. \U*ebi.\u"
  46,"*apuči",   0,"elder in-law","старший свойственник","*Abuč-ka",1702,"*(h)abisu-n",1778,"*abusi",1983,"",   0,"",   0,"A Western isogloss. Mong. has -s- (instead of the expected *-č-) probably because of a fusion with the productive suffix -su(n)."
  47,"*apV",1199,"to take","брать","*ạbuč",1199,"*abi-",1166,"*abgu-",1405,"",   0,"",   0,"A Western isogloss. KW 19, Poppe 44. Despite TMN 4, 307-310, PT *abuč (*abut) cannot be regarded as a variant of *adɨ[ĺ] (on which see sub *alda) - although the two roots could have influenced each other. The closed vowel in PT is not quite clear (under the influence of the two following labial phonemes?)."
  48,"*ằra",1213,"back, behind","спина, задняя сторона","*ărka", 882,"*aru", 878,"*arka-", 964,"",   0,"*àtuà", 758,"EAS 139, KW 12, Poppe 78, Колесникова 1972a, 84-87, Дыбо 305, Лексика 268, TMN 2, 29-30, Doerfer MT 46.  PT *arka and PTM *arka go back to a dative-locative formation *ara-k`a."
  49,"*ara",1533,"a k. of insect","вид насекомого","",   0,"*araɣalǯin",1661,"*(x)arabgī",1853,"",   0,"*ari",1340,"The root denotes some small biting insect."
  50,"*àŕì",2014,"thorn, fang","шип, клык","*aŕɨg", 879,"*ariɣa", 875,"*(x)ar- (?)", 962,"",   0,"*ìrà", 756,"KW 12, Владимирцов 361, EAS 111, Poppe 81, Лексика 229. Despite TMN 2, 55-56, Щербак 1997, 103 Mong. is not < Turk. The TM reflexes are weak: the Evk. form is semantically difficult, while Manchu arGan may well be borrowed < Mong.; however, the parallel form ar-sun is hard to explain as a loan (no similar form is attested in Mong.)."
  51,"*àrp`á",1517,"barley, millet","ячмень, просо","*arpa", 883,"*arbaj", 879,"*arpa",2314,"",   0,"*àpá", 759,"EAS 90, KW 15, Poppe 87. АПиПЯЯ 67. The Mong. form cannot be explained as a Turkism (despite TMN 2, 24, Щербак 1997, 100). The Turkic form is sometimes compared with Proto-Iran. *arba- (corresponding to Gr. alphi), cf. East Iranian forms going back to *arpasyā- (or *arbasyā) (Стеблин-Каменский 1982, 23), but it is not identical (loss of the final syllable is hard to explain); on the other hand, the Jpn. parallel is a strong argument in favour of the Altaic origin of the Turkic form."
  52,"*arV ( ~ e-)",1781,"to change, sell","менять, продавать","*Ar-",1791,"*aralǯi-",1274,"",   0,"",   0,"",   0,"A Turk.-Mong. isogloss; not quite reliable. Jpn. *úr- could be a match, but it may also reflect PA \U*úŕi\u q.v."
  53,"*ărV", 203,"witchcraft, craft","волшебство, искусство","*ar-",1731,"*arga",1809,"*ar-", 979,"",   0,"",   0,"A Western isogloss."
  54,"*ase ( ~ p`-)", 306,"to catch fire; hot","загораться; горячий","*ɨsɨg / *isig", 172,"*(h)asa-", 210,"",   0,"",   0,"",   0,"АПиПЯЯ 288. A Turk.-Mong. isogloss; cf. (?) Kor. (SKE 217) s:a-da 'to be hot'; s:ə-da 'to kindle (fire)' (the forms are nowhere to be found except SKE)."
  55,"*ăčV", 984,"elder relative, ancestor","старший родственник, предок","*ăčaj / *ĕčej", 265,"",   0,"*asī", 141,"*àčă-", 976,"",   0,"An expressive kinship "nursery" word with the typical structure *VCV; the root must have denoted some elder relative, both male and female. Deriving TM *asī from a Chinese (ТМС 1,55) or Sino-Korean (SKE 15) source is quite impossible. The Mongolian reflexes are problematic: Mong. eǯei 'mother, elder sister' (whence Yak. eǯīj, Dolg. eǯĳ, see Кал. V 27, Stachowski 43) is probably < Turkic.; Mong. ečige 'father' reflects rather PA *ĕ́t`è (q.v.). One should, however, note an isolated Dagur form ačā 'father' (Тод. Даг. 122), whence certainly Solon ača id. and possibly Evk. (Vit.) ači 'ancestor' (ТМС 1, 59)."
  56,"*ătV",   0,"horse","лошадь","*ăt", 855,"*aduɣu-", 772,"*abdu-",1440,"",   0,"",   0,"Новикова 1972, 108, АПиПЯЯ 15, Doerfer MT 99. A Western isogloss. Cf. also PT *adgɨr (Лексика 442, ЭСТЯ 1, 107-108, Stachowski 40), Mong. aǯirga 'stallion', Dag. adirag, ad́irga, S.-Yugh. aǯirɣa, Mongor aǯirGa (see KW 2, Владимирцов 397, VEWT 6; TMN 2, 186-187, Щербак 1997, 94: Turk. > Mong.; Mong. > Evk. aǯirga etc., see Poppe 1966, 192, Doerfer MT 75, MKor. ačirkəi măr, see Lee 1958, 119). It is possible to reconstruct *atbV or *abtV."
  57,"*at`i",   0,"son, young","сын, детеныш","*Atɨ", 153,"*ači", 382,"",   0,"*àtắr", 158,"*itua",1689,"Владимирцов 324, АПиПЯЯ 287."
  58,"*aǯo",   0,"a k. of salmon","вид лосося","",   0,"*(h)iǯe",1779,"*aǯi-n",1984,"",   0,"*àjû", 709,"The root denotes some salmon-like fish; the meaning of the Mong. form is unfortunately not very well defined."
  59,"*ā̀pi", 173,"to enjoy, rest","быть довольным, праздным","*(i)abɨ-", 606,"*abu-ra-", 524,"*ā(b)-", 651,"*ìpàt-", 516,"*ìpà-p-", 481,"Low tone in Kor. is due to the root's  verbal nature. Semantic development is modified by changes in diathesis (e.g. in Mongolian 'save' < 'comfort' < 'cause to enjoy' etc.)."
  60,"*ā́gi",   0,"acid","кислый","*ạ̄gu",1200,"*eɣe-de-",1896,"*(x)aK-",1406,"",   0,"",   0,"Poppe 57 (Turk.-Mong.). A Western isogloss. The Manchu form is isolated in TM, but seems to be reliable."
  61,"*ā̀gV",   0,"sharp, whet","острый, точить","",   0,"*(h)ag", 774,"*āga-", 711,"",   0,"",   0,"ТМС 1, 13. A Mong.-Tung. isogloss, but borrowing is impossible to suppose. Cf. also notes to *ŏ̀k`a."
  62,"*ā̀ja", 465,"to go, walk","идти, ходить","*Aj-",2000,"*aja-",1318,"*āj-",1514,"",   0,"*àjùm-", 153,"ОСНЯ 1, 243."
  63,"*ā̀jbi", 793,"a k. of duck","вид утки","*Ebür(d)ek",1204,"",   0,"*ābu-",1409,"",   0,"*û", 628,"Лексика 172. Jpn. \I*û\i must be a later contraction < *iw(V); medial *-j- must be reconstructed to explain the spirantization *-b- > -w-."
  64,"*ā́k`a", 649,"elder brother","старший брат","*(i)āka", 257,"*aka", 228,"*akā / *kakā",  73,"",   0,"",   0,"EAS 91, KW 3, Владимирцов 324, Poppe 55, Цинциус 1972a, 40-45. АПиПЯЯ 290. A Western isogloss. The Turkic forms are relatively late attested and could be < Mong., see TMN 1, 137, Щербак 1997, 199, but the Mong.-Tung. parallel still holds."
  65,"*ā́ĺa", 604,"to cross (a mountain)","переваливать (через гору)","*(i)āĺ-", 259,"*alu-s", 229,"*ala-",  80,"",   0,"*asu",1194,"EAS 108, 139, ТМС 1, 28, ЭСТЯ 1, 214, Poppe 96, KW 7, 8, VEWT 30, ОСНЯ 1, 274, АПиПЯЯ 291. Despite Doerfer MT 91, TM cannot be explained as borrowed < Mong."
  66,"*ā́la ( ~ -ē-)", 438,"front side","передняя сторона","*āl", 701,"",   0,"",   0,"*àr-p", 649,"",   0,"A Turk.-Kor. isogloss. Cf. also Evk. \Ialga\i 'Southern mountain slope', algaja 'right river bank', algakačan 'mountain' - in TMC 1, 30 united with \Ialga\i 'blessing' which is somewhat dubious."
  67,"*ā̀le", 650,"weak, tired, confused","слабый, усталый, смущенный","*ăl-", 864,"*al-", 860,"*āli-", 944,"*ə̀rí-", 702,"*ərə-ka", 629,"Martin 243, Whitman 1985, 129, 194, 246. The most probable accent reconstruction is *ā̀le, with regular correspondences between Turk., TM and most Japanese dialects; Kor. has a frequent "verbal" low tone."
  68,"*ā́li", 817,"to deceive, trick","обманывать, подшучивать","*Āl",1591,"*aliɣa", 671,"*ali-, *alak-", 825,"*ìrbə̀ń-",1049,"*ira-p-", 654,"PKE 21. Ramstedt cites Kor. ari- 'angry', but all dictionaries available to us only have ari- 'bitter, pungent'. A suffixed form *ā́li-bV may be probably recovered in Mong. albin, Kor. *ìrbə́ń- (and perhaps also PT *alba-stɨ) and PJ *ira-p-."
  69,"*ā̀lV",   0,"to destroy, kill","уничтожать, убивать","*Alk-", 865,"*ala-",  47,"*āli-",1962,"",   0,"",   0,"A Western isogloss."
  70,"*ā́lV ( ~ *ē-)",1277,"variegated","пестрый","*āla", 732,"*ala-g", 644,"",   0,"*ər-", 706,"",   0,"SKE 7, KW 6-7, Лексика 607. Despite Doerfer TMN 2, 96, Щербак 1997, 97, there is no reason for assuming Turk. > Mong., and even less - Mong. > Turk. (despite Rozycki 16). Cf. also Evn. (Okh.) iler 'variegated' ( < *elir ?; see ТМС 1, 312)."
  71,"*ā̀mú", 390,"river, valley","река, долина","",   0,"*ama-n", 863,"*āmu-", 948,"*omi",1189,"*ùmí", 647,"Cf. Amu-Darya in Turk.; Oyr. Umar 'big river (Ob').?"
  72,"*ā̀mV", 571,"to be quiet; sleep","быть спокойным; спать","*ăm-", 261,"*amu-, *ami-", 234,"*ām-", 114,"",   0,"",   0,"KW 9, VEWT 19, ТМС 1,2-3, АПиПЯЯ 292, Дыбо 13, Rozycki 17. A Western isogloss. The root presents considerable difficulties because of widespread later interlingual borrowings (see TMN 2, 125, Щербак 1997, 97-98).  A specific problem is raised by initial h- in some Southern Mongolian forms (Dong. hamura-, Bao. hamera-, Mongor xamurā- 'to rest'). The aspiration here is evidently secondary, because it is absent both in Dagur and in most attested Middle Mongolian sources (but cf. MA hamisqu). It is, therefore, probable that these forms are in fact borrowed from modern Turkic dialects with secondary aspiration (cf. h- in Khalaj). This would be indeed an argument in favour of the whole *amura- group of words in Mong. to be regarded as borrowed from Turkic (although later reborrowings into modern Turkic languages were, of course, also possible). However, significant semantic and formal differences do not allow us to regard as borrowed, on the one hand, the Turkic forms going back to attested Old Uyghur (e.g. amɨr- 'to love), on the other hand, Mong. \Iami-n\i 'life, soul' and amu- 'to rest'."
  73,"*ā̀ńe(-č`V)",   0,"to be quiet, sit","быть спокойным, сидеть","*Enč", 681,"*eje, *en-",1395,"*āńi-",1593,"*ànč-",  76,"*ə̀ntà-", 233,"АПиПЯЯ 297. Korean has a "verbal" low tone. Deriving Kor. anč- from Sino-Korean an (SKE 11) should of course be rejected. The Turk., Kor. and Jpn. forms reflect a derivative with *-č`V; Mong. eŋke < *ā̀ńe-kV."
  74,"*ā̀ni",1197,"not, negative verb","не, отрицательный глагол","*en", 239,"",   0,"*ā(n)-",  90,"*àn-",  62,"*nà-, *-(a)n-, *ìná",  56,"АПиПЯЯ 95-96, 277, Vovin 1997, 3. Basically an Eastern isogloss, with a Western remnant in Chuvash. Cf. also MKor. àčhjə́t- (-r-) 'not to like' (cf. TM *ān-či-). Korean has a usual verbal low tone."
  75,"*ā́ni",2015,"to hold, present","держать, преподносить","*ēn-čü", 733,"*anǯu", 866,"*anī-", 797,"*ān-", 708,"",   0,"SKE 11, Дыбо 15."
  76,"*ā́nta", 989,"oath; comrade, match","клятва; друг, товарищ","*Ānt", 293,"*anda", 260,"*anda", 323,"",   0,"*ánta", 243,"EAS 153, KW 10, Владимирцов 318, Poppe 83, VEWT, ТМС. Despite TMN 2, 128, Щербак 1997, 98, there is no reason to suppose Turk. > Mong.; for TM, however, a borrowing from Mong. cannot be excluded (see Poppe 1972, 100, TMN 1, 152, Doerfer MT 37, Rozycki 18)."
  77,"*ā́nda",   0,"to do wrong; to accuse, tease","ошибаться, делать неправильно; обвинять","*āt-aĺč-",1806,"*anda-", 869,"*(x)an(d)u-", 954,"",   0,"*áná-", 960,"A different etymology of the Jpn. form (see АПиПЯЯ 18, 81 and *ŋenu) seems less probable because of an obvious parallelism between the Jpn. and TM forms."
