NUMBER|PROTO|PRNUM|MEANING|RUSMEAN|EVK|EVN|NEG|SIB|MAN|CHU|ULC|ORK|NAN|ORC|UDE|SOL|REFERENCE
29|*ŋinda-|1536|dog|собака|ŋinakin, ginakin|ŋịn|ŋinaxin/ninaxin|jonəhuŋ, inəhuŋ (2177)|indaxun|ŋinda-xiun (147)|ịŋda|ŋinda|ịnda|inaki|ina`i (Корм. 238)|ninaxĩ|ТМС 1, 661-662.
30|*um(i)-|642|to drink|пить|um-||om-|iomi- (403)|omi-|umi-La (534)|ụmụwụ|umi-|omi-|imi-|umi-|imê-, imi-, \Iêmu-\i|ТМС 2, 266.
31|*xolga|1114|1 to dry 2 dry|1 сохнуть 2 сухой|olgo- 1, olgokin 2|olgъ̣- 1, olgъ̣qъ̣n 2|olgo- 1, olgokin 2|oləhə-, oləhu-1 (1814), oləhə 2 (1815)|olGo- 1, olꭓon 2||xolǯo(n) 2|xoldoxo 2|ꭓolGo- 1, ꭓolGoqto /ụ 2|oggipta 1|ogo- 1, ogo`u 2 (Корм. 274)|olgo- 1|ТМС 2, 12-13.
32|*sian|2561|ear|ухо|sē̂n||sē̂n|šan, san (25)|šan|siaŋ-ha (497)|sē̂(n)|sē̂(n)|sịã|\Isǟ\i||š́ē̃|ТМС 2, 70-71.
33|*turV|2444|1 earth  2 lump of earth|1 земля  2 ком земли|tur  1(dial.)|tȫr|tūj 1||||||tur-qa 2||||ТМС 2, 217-218.
34|*bia, -gun|131|1 place (in a dwelling) 2 rookery, sealery 3 earth 4 estate 5 servants|1 место (в жилище) 2 лежбище морского зверя 3 земля 4 поместье 5 слуги|\Ibē̂\i 1|bǟ 2||b́ohən, b́ohun 3 (2112)|boiꭓon, boiGon 3, 4|boj-hu (276) 5, boŋ-xoŋ 3||\Ibē̂\i 1|||beä 1||ТМС 1, 78, 89. Man. > Sol. boigõ 'estate'.
35|*nā|1414|earth|земля|||\Inā\i|\Inā\i (2066)|\Ina\i|\Ina\i (37)|\Inā\i|\Inā\i|\Inā\i|\Inā\i|\Inā\i||ТМС 1, 572-573.
36|*ǯe-p-|2596|to eat|есть|ǯep-, ǯeb-|ǯeb-, ǯep-|ǯep-|ǯe- (392)|ǯe-|ǯe-fu (535)|ǯepuwu|deptu-|ǯeb-, ǯep-|ǯepte-|ǯo-, ǯe-, ǯepte-|ǯeg-, ǯeb-|ТМС 1, 279-280.
37|*umū-kta|2522|egg|яйцо|umūkta|ụmtъ̣|omụkta|uməhan (332)|umꭓan, umGan||omụqta||omaqta|umukta|umukta|ụmatta|Formally derived from *umū- 'to lay eggs'. See ТМС 2, 269.
38|*ńia-sa|1473|eye|глаз|ē̂sa|ǟsъ̣l|ē̂sa|jasə (10)|jasa|ŋia-ĉi (496)|ịsal(ị)|isal|\Inasal,\i dial. ńisal(a), ịsal, ŋasar|isa|jehä|īsal|ТМС 1, 291-292. The Nan. and Jurch. forms unmistakeably point to an initial nasal, lost in other languages in the exceptional position before the diphthong *iā. Other traces of initial nasal can be seen in: Man. ńońo 'pupil of the eye', Neg. ńuińaki 'eyebrow', Evn. ńȫŋeti 'one-eyed' (pointing perhaps to a derivative *ńiā-ŋu- with later assimilations > *ńūŋu- ~ *ńūńu-).
39|*ximū-ŋkse|1045|fat|жир, сало, масло|imūkse|imrъn, imdъn|imukse||imeŋgi|ji-miuŋ-ŋu (526)|simse|simure|śimukse|imukse|imoho|imukče, imučče|ТМС 1, 313-314. Formally - derived from PTM *ximū- 'to smear (with fat); to melt'.
40|*dekte-|405|1 feather   2 wing|1 перо  2 крыло|dektenne 1, 2|detle 1, 2|detele 1|detəxə 1 (2294)|detxe 1, 2||dektekte 1|dektekte 1|degdece 1|dektese 1, 2|dektehe 1, 2|dettele 1, 2|ТМС 1,231.
41|*toga|2417|fire|огонь|toɣo|toɣ|toɣo|tuā (476)|tuwa|towi (21)|tawa|tawa|tao|\Itō\i|\Itō\i|togo|ТМС 2, 190.
42|*xol-sa|1042|1 fish  2 boiled fish|1 рыба  2 вареная рыба|ollo 1|olrъ̣ 1|olo 1||||xolto(n) 2|xolto 2|xolto 2|okto 2|oloho 2|ТМС 2, 14.*43|*liamba-|1207|1 salmon  2 fish|1 лосось 2 рыба|lē̂mba 1|||niməhā 2 (331, 2174)|nimaxa 2|limwa-xa (163) 2|ńịmụ 1|loịma 'trout'|ịmaꭓa 2, ńịmo 1||||ТМС 1, 496, 501.
44|*palga-n|1616|1 foot  2 sole|1 нога  2 подошва|halgan 1|halgъ̣n 1|xalgan 1||||palǯa(n) 1|palǯa(n) 1|palgã 2|xaga 'paw'|xaga 'paw; bear's trace'|alɣã 1|ТМС 2, 312.
45|*begdi / *bugdi|218|1 leg  2 foot|1 нога (leg)  2 нога (foot)|begdi 1|bȫdъl 1|begdi 1|betəxə, betəkə 1, 2 (137, 2285)|betxe  2|bodi-xe (505) 2|begdi 1|begǯi 1|begd'i 2|begdi 1|begdi 1|beldīr 1|ТМС 1, 118-119.
46|*ǯalu(-m)|229|full|полный|ǯalum|ǯalụ-|ǯalum|ǯalū (2629)|ǯalu-|ǯaw-lu-xa (726)|ǯalụ(n)|dalụmǯị|ʒalo|ǯalu-||ǯalụ̃|Derived from PTM *ǯalu- 'to fill, be filled'. See. ТМС 1, 247.
47|*bū-|154|to give|давать|bū-|bȫ-|bū-|bu- (1398)|bu-||būwu|bū-|bū-|bū-|bū-|bū-|ТМС 1, 99.
48|*aja, *aju-|11|1 good 2 handsome, beautiful 3 to save, help|1 хороший 2 красивый 3 спасать, помогать|aja 1, aj(ū)- 3|\Iaj\i 1, aj(ị)- 3|aja 1||aj-luŋGa 2, aj-sila- 3|aju-bulu (419) 3|aja 1|aja 1, ajụ- 3|\Iai,\i ajā 1|aja 1, ai-či- 3|aja 1, ai-sigi- 3|\Iai,\i aja 1|ТМС 1, 18-20. Man. > Dag. ajšilā- 'help' (Тод. Даг. 119).
49|*turākī|2437|crow, rook|ворона, грач|turākī|tụrъ̣qị|torāxị̄||||||torākị|tuaxi, tuwaki|tua`i|turāki|ТМС 2,218 (sub тура- 'раскрыть').
50|*čub-rī-|338|green, blue, yellow|зеленый, синий, желтый|čūri-n,-rin|čụ̄rụńa|čojīn|||||||||sụ̄rĩ, (Ивановский) čuɣurin|The root is probably *čub-; see ТМС 2, 417-418.
51|*xiń-ŋa-|1027|hair, fur|волос, пух, шерсть|inŋakta|ịnŋъ̣t|ênńakta||iŋGaꭓa||sịńakta|sịnaqta|sịŋaqta|iŋaqta|iŋakta|iŋakta|ТМС 1, 317.
52|*puńe-|1858|hair|волос(ы)|heńekte 'пыжик (мех молочного олененка)'|||fenixə 'hair, fur'(2, 143, 2282), funiɣe|fuńexe|fun-ir-xie (497)|||||||ТМС 2, 303, 367. A possible derivative is *punu-ktV 'young horns of deer'   reflected in Man. funtu, Nan. puntu, dial. fuŋku (ТМС 2, 47); cf. also Man. fuŋGala 'feather', f́en 'arrow feathers'.
53|*ŋāla|1527|hand|рука|ŋāle|ŋāl|ŋāla, ŋala|Galə (68)|\Igala\i|ŋa-la (504)|ŋāla|ŋāla|ŋāla, ŋala, nala|ŋāla, ŋala|ŋala|nāla, nāli|ТМС 1, 656-657.
54|*dili|1512|1 head  2 horn foundation|1 голова  2 основание рогов|dil, del 1|dịl 1|dịl 1||ǯili 2||dịlị 1|ǯịlị 1|ǯịlị 1|dili 1|dili 1|dẹli, dil(i) 1|ТМС 1, 205-206. The comparison with Mong. ǯiluɣa, Turk. *jular 'halter' (EAS 52, KW 114, Poppe, 23) is hardly acceptable.
55|*irg[ü]|671|1 brain 2 head|1 мозг  2 голова|irge 1|irgъ 1|igge / ĳge 1|uǯu  2 (1)|uǯu  2|(h)u(i)ǯew (492) 2|iǯe 1|īde 1|īge 1|igge 1|igi 1|igge, irge 1|ТМС 1, 326.
56|*dōldī-|2278|to hear|слышать|dōldī-|dōldī-|dōldi-|d́onǯi- (182)|donǯi-|doldi-sun (351), doldi-u (354)|dōldịwu|dolʒi-|dōld'ị-|dōgdī-|dogdi-|dōldi-|ТМС 1, 214-215.
57|*miańam|1315|heart|сердце|mē̂wan||mē̂wan|ńamən (86)|ńaman||mē̂wa(n)|mē̂wa(n)|m'ǟwa(n)|mǟwa(n)|meäwa(n-)|ḿēɣã, mīɣã|ТМС 1, 533-534. All languages except Manchu underwent an assimilative change *miańam > *miawan; however, Manchu ńaman speaks strongly in favour of the original palatal *ń, corresponding well to the external data.
58|*gujā-|525|1 to butt  2 horn 3 fang 4 to play (of animals)|1 бодать 2 рог 3 клык 4 играть (о животных)|gujā- 1|gụj- 1|goja 2||\IGuja-\i 4||\IGụja\i 3|\IGụja-\i 1|\IGoja\i 2|guja 3|guja 3||ТМС 1, 168.
59|*xüj(k)e|1076|horn|рог|ĳe|īj|īje|vīxə (32, 2279)|weixe / uixe|huje-xe (602)|xuje|xuje|xuje|ĳe|\Ijē\i|īje|ТМС 1, 298-299.
60|*bi; *bue, *mü-n-|126|1 I 2 we|1 я  2 мы|\Ibi\i 1; \Ibu,\i mit 2|\Ibi\i 1; \Ibu,\i mut 2|\Ibi\i 1; \Ibu,\i bitta / butta 2|\Ibī\i 1 (2869); \Ibō\i 2 (2871), mesə 2 (2872)|\Ibi\i 1; \Ibe,\i \Imuse\i 2|mi-n (853) 1|\Ibi\i 1; \Ibū,\i bue 2|\Ibi\i 1; \Ibu\i 2|\Imi,\i dial. \Ibi\i 1; \Ibū,\i bue 2|\Ibi\i 1; \Ibu,\i biti 2|\Ibi\i 1; \Ibu,\i minti 2|\Ibi\i 1; \Ibū,\i miti 2|ТМС 1,79: \I*bi\i 'I', 98: *bue 'we (excl.)', 539: *mü-n- 'we (incl)'.
61|*wā- ( = *ebā-)|464|to kill|убивать|wā-|wā-, mā-|wā-|vā- (739)|wa-|wa-du-lar (459)|wāwụ|wā-|wā-|wā-|wā-|wā-|ТМС 1, 127-129. TM > Dag. wātā- (Тод. Даг. 129).
62|*peń-ŋen|1735|knee|колено|henŋen|henŋen|heńŋen||||peńe(n-)|pene, peŋe(n-)|peiŋẽ|heŋŋe, heŋen|heŋe|eŋẽ|ТМС 2, 366.
63|*top(V)g-|2433|knee|колено|tuwnuke, tuɣunuke 'ankle bone'|||t́ovix́a, t́ovəǵā (136)|tobǵa||||||||ТМС 2, 189, 204.
64|*sā-|1946|to know|знать|sā-|hā-|sā-|sa- (1856)|sa-|ĉaŋ-xi (353)|sāwụ|sā-|sā-|sā-|sā-|sā-|ТМС 2, 49-51.
65|*xabda(-nsa)|988|leaf|лист|abdanna|ebdъnrъ|abdana|afəhə (2137)|abdaxa / afaxa|ha-[bxa] (119)|ꭓabdata|xamdata|ꭓabdata (Nkh.), ꭓaftaca (Bik.)|abdasa|abdehä||ТМС 1, 5. Man. > Dag. abug, abuk 'sheet (of paper)' (Тод. Даг. 118).
66|*pukelē-|1820|1 lie 2 roll down 3 fall|1 лежать 2 катиться 3 падать|huklē- 1, hukēl- 2|huklē- 1, hukъl- 2|xuɣle- 1||fuxese- 2||pulu- 2, 3||fukulgi- (dial.) 1, puelin- 2|xukeli- 3||ugĺa- 1|ТМС 2, 340, 342.
67|*dē-|377|1 to lie  2 bed 3 decking|1 лежать  2 постель 3 настил||||dudu- 1 (522)|dedu- 1|dedu-rie (355)  'to lie, to sleep'|deduxu 3|deduxi 3|dederi 3|\Idē\i 2|||ТМС 1, 227, 230.
68|*pākin|1650|liver|печень|hākin, hakin|hāqъ̣n|xākịn|fahun (91)|faxun||\Ipā\i|pāɣa / pāqa|\Ipā\i|pāɣa, pāqa|xa`i (Корм. 304)|āxĩ|ТМС 2, 310.
69|*ŋōli-|1546|long|длинный|ŋōnim, ŋōnigdi|ŋonъ̣m|ŋonom|Goləmin (2409, 2602, 2844)|golmin|ŋolmi-gi (690)|walmị|ŋonimi|ŋonịmị, wonịmị, onịmị|ŋońimi, ŋońmi|wanimi, wańimi|ninomi, gonóm|ТМС 1, 664-665.
70|*kumke|916|louse|вошь|kumke; kumikēn 'insect'|kumke; kumnilen 'name of a beetle'|kumke||xelmeku, xelmexen 'spider'||||kuŋke (dial.)|kume|kumuge|xuŋkē; xumīxe 'ant'|ТМС 1, 430, 431, 481. -l- in Manchu is probably secondary (tabooistic contamination with xelme 'shadow').
71|*ti-kte|2367|louse|вошь||||čixē (2255)|čixe||tiqte|tikte|čikte||||ТМС 2, 179.  Derived from a root *ti(:)-, cf. PTM *tī-le-/*tī-na- 'to search for lice in one's hair' (see ТМС 2, 181 and SKE 165).
72|*beje|115|person, man|человек|beje|bej|beje||||||beje 'person'|||bei, beje|Homonymic forms in other languages denoting "body" should be probably regarded as mongolisms, but this is hardly plausible for all the forms meaning "man" (since that meaning is absent in Mong.), despite Doerfer MT 20, Rozycki 29. See ТМС 1, 122-123.
73|*ak- / *kaka|64|1 man  2 elder brother|1 мужчина  2 старший брат|akā, akin 2|aqa, aqъ̣n 2|aga / axa 2|hahə 1 (829)|xaxa 1, axun 2|xaxa-aj (298) 1, axun (axun-un) (286) 2|aGa 2|aGa / aqa 2|\Iā\i 2|aka, \Iakin\i 2|aga` 2 (Корм. 203)|axā, axin 2|ТМС 1, 23-24, 459. Forms like Evk. akā can be < Mong. (see TMN 1, 139, Poppe 1972, 100), but this is impossible for *akin and *kaka.
74|*egdi|457|1 big  2 many|1 большой  2 много||eɣdъ 1|egdi 2||||egdi 2|egǯi 2|egǯi 2|egdi 2|egdi 2|egdūɣ 1|See ТМС 2, 359-360.
75|*gere-n|500|1 many   2 all|1 много  2 все||||gerən 1 (2851)|geren 1||gere(n) 1|gere(n) 1|gere(n) 2|gere(n) 1, 2|gele 2||ТМС 1, 182.
76|*ul-(k)se|2520|meat|мясо|ulle|ulъd|ule||||ulse|ulise|ulekse|ukte|ulehe|uldi, ulde|ТМС 2, 262. Cf. also *ula 'deer' (ТМС 2, 262-263), *uluku- 'elk' (ТМС 2, 264).
77|*ń(i)ali-|1474|1 raw  2 meat|1 сырой  2 мясо|ńalikin 1|ńalъqča 1|ńalị-xịn 1|jali 2 (302)|jali 2|ja-li (511) 2|ńālụ(n) 1|nālụ/ńālụ 1|ńalkị̃ 1||ńaliɣi 1|jali ( < Man.)|ТМС 1,340,630. Length in Ul. and Orok may be secondary (due to the loss of -k-).
78|*biaga|130|moon|луна|bē̂ɣa|bǟɣ|bē̂ɣa|biā (2035)|bĳa|bi(a)ha (4)|bē̂|bē̂|bǟ, bịa|bǟ|beä|bē̂ɣa, b́eɣa|ТМС 1, 78-79.
79|*xurē|1148|mountain|гора|ure|urekčen|ujē|vexē 'stone, rock'(2110)|wexe 'stone'|h(i)ur-xe (52) 'stone'|xure(n)|xure|xure(n)|uwe, \Iue\i|\Iwē\i (Корм. 219), \Iwe,\i \Iue\i|ure|ТМС 2, 289.
80|*ala-|65|1 to cross (a mountain) 2 mountain 3 mountain pass 4 ravine|1 переваливать (гору)  2 гора 3 горный перевал 4 лощина|ala- 1, alakīt, alan 3|alъ̣n- 1, alъ̣n 3|alan- 1, alaxị̄t 3|alin 2 (2067)|alin 2|ali-in (39) 2|||ala 3 (Bik.)||ala 4||ТМС 1, 27-28.
81|*amŋa, *amta-|34|1 mouth 2 to taste|1 рот 2 пробовать на вкус|amŋa 1, amta- 2|amŋъ 1, amtъ- 2|amŋa 1, amta- 2|aŋə 1 (27), aŋa 1|aŋga 1|am-ŋa (494) 1|aŋma 1|amŋa / aŋma 1|amGa 1|amma 1|aŋma 1|amma, angai 1|See ТМС 1, 38-39. PTM *amta- 'to taste' is hardly borrowed from Mong., since Mong. amta(n) is used only as a noun; however, forms like Evk. amta etc. 'taste', as well as -la-derivatives (Evn. amtъ̣l-, Nan. amtala- etc.) are most probably < Mong., see Doerfer MT 19. For PTM *amŋa 'mouth' borrowing is excluded. The stem *amŋa within TM tends to contaminate with *aŋa 'hole' (v. sub *àŋa), which is obviously a secondary development.
82|*gerbǖ|501|name|имя|gerbī|gerbъ|gelbi|gevə (1005, 1356)|gebu|ger-bu (780)|gelbu|gelbu|gerb'i|gebbi|gegbi|gerbī|См. ТМС 1, 180-181.
83|*moń-ga-n, *moń-pen|1336|neck|шея|moŋon, meŋun; meŋer 'counter, scruff'||moŋon|muŋan 'throat' (63), mifin (60)|moŋgon, meifen|mei-fen (509) 'neck, throat'|moŋgo(n)|moŋo(n)|moŋo(n)|moŋo(n)|müö (< *moń-gi?); moŋoli 'necklace; collar'||ТМС 1, 538, 546, 570, Дыбо 1996, 254-255.
84|*mǖre|1331|shoulder|плечо|mīre|mīr|mīje|mirin (65)|meiren||ŋujre|mujre|mejre|mĳe||mīri, mīre|ТМС 1, 538.
85|*xürbe|1089|spawn, to spawn|нерест, метать икру|irbe||||||xulbi-||xurbe-||||ТМС 1, 324. Evk. > Dolg. ɨrba (Stachowski 261).
86|*dolba|401|night|ночь|dolbonī|dolbъ̣|dolbon|d́ovərə 'night, evening' (2661)|dobori|dol-wo (78)|dolbo|dolboni|dolbo|dobbo|dogbo|dolbo|ТМС 1, 213-214.
87|*xoŋa-|1057|1 nose  2 front part (of boat) 3 nose bridge|1 нос 2 нос (лодки) 3 переносица|oŋokto 1|oŋъ̣t 1|oŋokto 1|xoŋqə 2 (1272)|ꭓoŋqo 2||ꭓoŋqo 2||qoŋtoro 1, ꭓondaꭓa 3, ꭓōŋqo 2|xoŋko 2 (possibly < Manchu)||onokto 1|ТМС 1, 413, 470; 2, 22. There is some variation of *x- and *k- (cf. the Nanai and Manchu reflexes; cf. also Neg. koŋtopkī. "nose (of a deer, elk, bear)"; but it is hardly possible to separate these variants.
88|*opora|646|nose|нос||||ofərə (24)|oforo||||oporo||||ТМС 2, 22.
89|*e-|407|not|не (отрицательный глагол)|\Ie-\i|\Ie-\i|\Ie-\i|||ej-xe (476), esi(n)-in (710)|\Ie-\i|\Ie-\i|\Ie-\i|\Ie-\i|\Ie-\i|\Ie-\i|ТМС 2, 432.
90|*ā(n)-|74|not|не, нет|āčin|ān, āč|āčin|aqu (3017)|aqu|a-ĉwi (705)|\Iana\i|\Iana\i|anā|\Iana\i|anči|aš́ĩ|All forms listed must go back to a common negative stem *ān-. See ТМС 1, 41, 60.
91|*ume- / emu-|430|one|один|umūn|ömъn|emen|emə (2734)|\Iemu\i|\Iemu\i (636)|ụm|umūke|emu(n)|\Iom\i|omo|emũ|ТМС 2, 270-272. The old meaning was probably 'front', cf. TM *ume- 'Adam's apple', 'neck foundation' (ТМС 2, 273), *omko-ta / *emko-ta 'forehead' (ТМС 2, 17); *emker 'bank, shore', Orok emiɣe 'edge' (ТМС 2, 450).
92|*ń(i)ari|1471|1 man 2 person 3 young man|1 мужчина 2 человек 3 юноша|nirawī 3|ńarị 1, 3|ńē̂jawị̄ 3|nanə 'person, human being' (827)|ńalma 1, 2|neRma (295) 1, 2|ńī 1|nari 1|naị 1, 2, dial. nịŕa 1|ńǟ, ńī 1|\Inī\i 1|nirō 1|ТМС 1, 598-599.
