"NUMBER","PROTO","PRNUM","MEANING","KET","SYM","KOT","ARI","PUM","NOTES"
  18,"*ʔaLVk (~x-,-g)",   0,"dog team","alək\H5\h / aluk\H5\h , pl. aluk\H6\h","","","","","ССЕ 181. Werner 1, 27. Possibly (after Stachowski 1997) borrowed < Ewk. alag < PTM *xala."
  19,"*ʔama",  11,"mother","ām, pl. aməŋ\H6\h","am, pl. amɨŋ\H5,6\h / ame:ŋ\H3\h","āma, g. āmi, pl. āman, (Бол.) ama; асс. áma (М., Сл., Срсл., Кл.)","amä (Стр.); b́aḿa (М., Сл., Срсл., Кл., Ф.); (Лоск.) ajame","am (Сл., Срсл., Кл.)","ССЕ 181. Werner 1, 95."
  20,"*ʔan-",   0,"haunch","","","ānar; (Бол.) anar","an (Лоск.)","aniŋ (Сл., Срсл., Кл.) "legs"","ССЕ 181. Werner 1, 34."
  21,"*ʔan-",  12,"interrogative stem","anet, ana 'who'; (КРС) anun 'how much', ań 'why'","anet 'who'","","","","ССЕ 181. Werner 1, 34, 36, 38."
  22,"*ʔan[ɨ]ŋ",  13,"to think","aniŋbɛt\H6\h / ańbɛt\H5,6\h 'think', anun\H6\h 'mind'","anɨŋbɛt́\H6\h 'think', anɨŋ\H5\h 'mind'","anaŋaj, pl. anaŋajaŋ "thinking, mind"; anaŋaja "clever"; anaŋajākŋ "think", praet. anaŋajolōkŋ, imp. anaŋajālćek; anaŋaithākŋ "think", praet. -tholōkŋ, imp. -thālćek, pass. -tholāʔuki; (Бол.) angajak "I think"","anɨpänun (Лоск.) "I think"","","ССЕ 181. Werner 1, 38 *anəŋ-."
  23,"*ʔapV",  14,"hotness; sweat","ā; a:ŋ "hot"; a:ŋgət\H3\h "to warm up"; (Кастр.) ābataʁan, (КРС) abataʁan "to sweat"","āp; āfɛ\H1\h "hot(ly)"; afɨŋ\H5\h "hot"; afɨŋet́ "to warm up"; (Кастр.) abbat́aʁan "to sweat"","fal, phal "hot, warm"; pala (Бол.) "hotness"; apīkŋ, pl. apīkŋán "sweat"; apīkŋ uganaŋ "to sweat"; Ass. palá (М., Кл.), pfóltu (Сл., Срсл.), paltu (Кл.) "hot"","pentu (Лоск.) "hotness"","","ССЕ 182. The Pump. (Срсл.) form afam "hot" is in reality Yug. Kottish and Arin display a not quite regular reduction of Anlaut in the derivative *ʔapV-l "warm, hot". Ket, Yug and Kottish reflect a Common Yenisseian compound *ʔapV ʔəqan- 'to sweat', lit. 'to boil hotness'. Werner 1, 92-93 *ap\Hh\hə."
  24,"*ʔapVj (~x-)",  15,"bellows","āj (South.), North. āji\H3\h; plur. ājeŋ\H1\h","āfej\H1\h / afe:j\H3\h, pl. āfejeŋ\H1\h","afu 'forging', afu-het 'smith', afu-ākŋ 'to forge'","","","ССЕ 182. Medial -f- in Kottish is not quite clear (-p- would be expected); a special development in front of -u- cannot be excluded. Werner (1, 94) treats the word as a compound of *ʔapV 'hotness' + *ʔāχ- 'sack' (q.v.); this may be applicable (as a folk etymology) to the Ket and Yug forms, but cannot explain the Kottish form (something like *afak or *apak would be expected)."
  25,"*ʔapVn- (~x-)",  16,"to play","āniŋ\H1\h; āneŋś\H1\h, pl. -in\H1\h 'toy'","afɨnɨŋ\H6\h; afɨnɨŋsi\H6\h, pl. -n  'toy'","","","","ССЕ 182. Werner 1, 95-96 *ap\Hh\hənəŋ (but Kott. ajaŋ cannot be related in any way)."
  26,"*ʔaq-",  17,"to flay","-iɣ-aq (Крейн.) "flay"","","thāx "flaying"; thāgākŋ "to flay", praet. thōnākŋ, imp. thānax, pass. thōnāge","","","ССЕ 182. Ket has a compound with с *ʔik 'skin' q. v. This component is also preseny in the infinitive (iŋ-dɔŋ\H5\h < *ig-dɔŋ) and in Castren's recording: d-ig-ä-dū 'to flay' (praet. d-ig-ōr-dū) [supported by Werner's data, see Werner 1, 371]. See Werner 1, 370-371, 2, 316 (without reconstructions)."
  27,"*ʔaq- (~x-)",   0,"leading strings","aqqəĺ\H5\h // aqqəĺaŋ\H5\h, pl. aqqəĺaŋɨn\H5\h","","","","","Probably a compound, but the components are not clear; see Werner 1, 51. Bouda 1957 compares Selk. ākal', akai id."
  28,"*ʔaq (~x-)",  18,"to hold","ut-aq\H5\h (Кастр.: *duosegaʁoat, praet. duosegoĺoʁat, imp. uosegabat)","ut-ax\H5\h (Кастр.: duotebaq, -boq, praet. duoteberaq, -roq, imp. uotegd́aq, -d́oq)","šiax "holding"; baʔākŋ, *bagākŋ "to hold", praet. balākŋ, imp. alax; f-āgō, f-ōk "to take"","","","ССЕ 183. Werner 2, 369."
  29,"*ʔaq-ɔt-",  19,"to sleep","dittoʁoat, praet. tōĺoʁoat, imp. tallat (Кастр.) [Werner: -ʁot]","dittoʁoat, praet. tōroʁoat,imp. tarroat (Кастр.) [Werner: -χot]","d́agat (М., Сл., Кл.) "I sleep"; Ass. (М., Сл., Кл.) jáhatan id.","áqodoŋ (М., Сл., Кл.) "I sleep"; (Лоск.) axot id.","xotɨk (Срсл., Кл.)  "to sleep"","ССЕ 183. The second part of the stem is also attested by itself (see *tVn-); the first part is independently witnessed perhaps only in Pump. (Срсл.) ak "to lie down".  Werner 1, 359-360 *qot 'to lie', with a clearly unsufficient analysis of the paradigms."
  30,"*ʔar\L1\l- (~x-,-ŕ-)",  20,"debt, be in debt","aĺgit\H5\h","argit\H5\h","","","","ССЕ 183. Werner 1, 31; [Bouda 1957: Chag. alɣit 'Steuer', 'Zins'?]"
  31,"*ʔar(u) (~x-)",  21,"deception, to deceive","aĺ-bet\H5,6\h 'to deceive'","ar-bet́\H5\h / arbɛ:ht́\H4\h; (Castr.) daratāx, praet. diratońāx, daratonāx, imp. aratanĺāx","ārāthačapajaŋ, praet. ārāthalapajaŋ, imp. ārāthala, pass. āruthalāpi 'to deceive'; ārupi "deception" (cf. also āru "cunning")","","","ССЕ 183. Werner 1, 29, 59 (without reconstruction)."
  32,"*ʔas- / *ʔes-",  22,"to shout, call","dɛ:śĳ\H4\h (North.), South. dɛśĳ\H4\h "I shout"; dɛśɔĺej\H6\h 'I shouted'; asanəj\H6\h 'to speak'","dɛ:\Hh\hsi\H4\h "I shout"; dɛsɔri\H5,6\h "I shouted"; ɛ́s-tej 'to call'","ačāʔājaŋ "to call", praet. ačāʔālajaŋ, imp. ačāʔālčex, pass. ačāʔālagi; ače, ači "calling"","","","ССЕ 183. The Pump. forms: desɨgań "shout" (Срсл.), desɨgin (Срсл.) are in reality Yug. Cf. also Ket aś-kʌʔt, Yug as-kɛ:\Hh\ht 'fairy-tale' (a compound with an unclear second component). See Werner 1, 62-63, 241, 258 (without reconstructions)."
  33,"*ʔas- / *sV-",  23,"interrogative stem","aks (Донн.) "what?"; akśej\H5\h, akśejśaŋ\H5\h 'why', aśeś\H5\h 'which', aśka\H6\h 'when'","assa (Донн.) "what?"; (Кастр.) assa id., ases "what a"; asesaŋ\H5\h / asejsaŋ\H5\h 'why', asejs\H3\h 'which', asera\H5\h 'who (of a woman)', āskej\H1\h / āskejsit\H1\h 'when'","šina, šena, g. šinai "what"; ašix 'which, who'","","","ССЕ 183-184. Pump. (Срсл.) jasgej 'when' is in reality Yug. Werner 1, 66."
  34,"*ʔas- (~x-)", 696,"wild deer, wild animal","aśśeĺ\H6\h, pl. aśśen\H6\h; assan-o\H6\h 'to hunt (animals)'","atčɛ:hr\H4\h, pl. atčen\H5,6\h","ačánše, *ačaŋši, g. -ša, pl. -šīn "elk"","","","ССЕ 184. Ket and Yug reflect a compound *ʔas-sēr\L1\le (see *sēr\L1\le). In Kottish the word is formally analyzed as "the one being caught" (see *čɔŋ- "catch"), but this is most probably a result of secondary contamination. The analysis of the Ket/Yug form as "God's deer" (Werner 1, 65)  seems quite artificial."
  35,"*ʔaseĺ (~x-)",   0,"ski","aśeĺ\H5\h / aśĺ\H5\h, pl. aśĺeŋ\H6\h","asĺ\H5\h / asiĺ\H5\h, pl. asĺiŋ\H5\h / asiĺiŋ\H5\h","","","","ССЕ 184. Perhaps derived from *ʔēs- "ski strap" q.v. Werner 1, 69."
  36,"*ʔasVr (~x-,-r\L1\l,-ŕ)",  24,"a large boat","aśeĺ\H6\h, pl. aśeĺeŋ\H6\h; Sul. aśeĺəŋ\H6\h; aśĺin\H6\h / aśĺɛnəŋ\H5\h, pl. aśĺɛnin\H6\h / aśĺinin\H6\h","asour\H3\h / aso:r\H3\h, pl. asorɨŋ\H6\h / asourɨŋ\H3\h","","","jasoru (Срсл) 'ship' ( = Yug.?)","ССЕ 184. Werner 1, 68 <*asəλ>."
  37,"*ʔat / *ta-",  25,"negative particle","āt 'don't' (prohibitive particle), ta:ŋ 'not'","ata 'don't' (prohibitive particle), tāŋə bъ̄ś 'not at all'","","","","ССЕ 184. Werner 1, 72."
  38,"*ʔat- (~x-)",   0,"hunting spear","attas\H6\h, pl. attasn\H5\h","attas\H6\h / atta:\Hh\hs\H4\h, pl. attasn\H5\h","","","","ССЕ 184. Can be a compound (as maintained in Werner 1, 79), but the components are not clear - which is why the criticism of this etymology appears strange ("diese Bedeutung drückte das Kompositum aus, nicht aber nur eines der Bestandteile...". Werner's own attempt (*ʔete 'sharp' + *čɨʔs 'stone') is both semantically and phonetically unacceptable (we would have had -čɨs in the Yug form). Cf. perhaps Kott. ataŋ '(fire) steel'?"
  39,"*ʔat-aq- (~x-)", 928,"to pour","ataq\H6\h","atax\H6\h","at-p-akŋ 'I shall pour'","","","ССЕ 184. Werner 1, 75 *ataq."
  40,"*ʔaw (/*ʔu)",  26,"thou","ū","u","au, pl. auoŋ; асс. au (М., Сл.)","au (М., Сл.)","úe (Сл.)","ССЕ 185. Werner 2, 318 - with an absolutely unacceptable reconstruction *əg(ə) / *ug(ə). All the above forms do not allow reconstructing any medial consonant of any kind, and the 2d p. plural Ket. ъ̄k(ŋ), Yug. ъkŋ / kъkŋ has a quite different, suppletive origin (see *kV- / *ʔVk-)."
  41,"*ʔaχV",  27,"six","ā / aʔ (attr.; less frequently: North. a:\H4\h, South. a\H4\h); pred. North. a:śeń\H4\h, South. aś\H4\h","ā / aʔ / a:\Hh \h(attr.);  pred. a:\Hh\hs / a:hsɛ\H4\h","","ögga (М., Сл., Срсл., Кл., Ф.), ɨga (Стр.), ege (Лоск.); ög-thūŋ (М., Сл., Кл.) "sixty"; uj-tuŋ (Стр.) id.","ággiaŋ (Сл.), agǵaŋ (Срсл., Кл.)","ССЕ 185. Werner 1, 93 <*aʔəgə>."
  42,"*ʔaʒ",  28,"I","āt "I"; ъ̄t (South. ъ̄t / ъ̄tn\H1\h) "we"; ъ̄tna, ъ̄ta "our"","at "I"; ъtn "we"; ъtna "our"","ai, pl. ajoŋ "I"; Ass. ajun (М., Сл., Кл.) "we", aj (М., Сл., Кл.), ja (Кл.) "I"","aj (М., Сл., Кл.), ä (Кл.,) "I"; aiŋ (М., Сл., Кл.) "we"","ádɨŋ (Сл.) "we"; ad (Кл.,) "I"","ССЕ 185. Pump. (Срсл., Кл.) etnɨn "we" is in reality Yug. Werner 1, 72 <*ad(ə) / *ad'(ə)>."
  43,"*ʔakV- (/*ʔikV-)",  29,"to stay","aɣen\H6\h; Kur. aɣɨn\H6\h 'to leave' - but Werner 1, 86 contains only aɣɨnt / aɣɨnd 'to stay, stay behind'","","thīgājaŋ "to stay", praet. thaligājaŋ, imp. thaligai","","","ССЕ 185. In ССЕ and in Werner 1, 50 the root is confused with *ʔāq-, but Werner's more detailed data force us to distinguish between these two roots - for obvious reasons grown very close together in Kottish."
  44,"*ʔ[ā]r\L1\lV (~h-)", 201,"taiga, wilderness","al 'in the wood, in the wilderness'","a:\Hh\hr","","eol (М., Сл., Срсл., Кл.) "field"","ála (Сл., Срсл.) "field"","ССЕ 185. Cf. *hər\L1\l- "outwards". Werner 1, 23 <*aʔəλə>."
  45,"*ʔāχ- (~x-)",  30,"sack","a:ji\H4\h / aj\H4 \h(North.), South. aj\H4\h; мн. ajeŋ\H6\h","a:\Hh\hj, pl. ajeŋ\H5\h","falanč-āk / -āg, pl. falančāgan, -čākŋ","","","ССЕ 185. Kottish has a compound with falanče 'sew', lit. 'sewn sack'. Werner 1, 18 reconstructs <*aʔəjə> and doubts the attribution of the Kottish form. The morphological analysis of the Kottish form seems, however, quite straightforward, and the consonantal correspondence is quite regular (although not frequent) - cf. Ket. ɨ̄ 'bull' : Kott. ig 'male', Yug. ta:\Hh\hr 'otter' : Kott. thēgär etc. (see КС 168 with detailed analysis)."
  46,"*ʔāʒ- (~x-,-ǯ-)",1244,"to be ill","a:də\H4\h / adə\H4\h (Bak., Sur.)","a:\Hh\ht́, ad́ade\H5\h","","","","ССЕ 186. Here also perhaps (with a reduction of Anlaut) - Ket da-jeŋ\H5\h, Yug. d́ajeŋ 'illness, ill', as well as a compound *aʒ-kiń (?)> *aŕgiń > Ket.  ajgiń,  Yug.  ajgin\H5,6\h  / ajgi:n\H3\h  'sore'.  For the second component *kiń  cf. perhaps Kott. hońēla, hońela 'boil, abscess' (although the vocalism is unclear). Cf. Werner 1, 59-60 <*aʔəd'ə>, 170."
  47,"*ʔāŋ (~x-)",  32,"string","āŋə 'string'; aŋ-gej\H6\h, aŋɨn-gej\H5\h 'to bind'","āŋ 'string'","anaŋ 'string'; ōŋaŋ 'bind', praet. olāŋan, imp. ōlaŋ, pass. ōlāŋe","","","ССЕ 186. Werner 1, 39 <*agəŋə / *aʔəŋə>. The reconstruction of *-g- here is based on an old Ket recording högaŋa / hogaŋa 'gewundenes Seil' which - because of h- - is most probably a compound (*pVʔV-ʔāŋ 'woven string', see *pVʔV), so the form *agəŋə cannot be justified."
  48,"*ʔäʔc",  33,"soon","aʔt (South.)","aʔt́","et-paŋ","atɨ (Лоск.)","","ССЕ 186. Werner 1, 80, 81, 271, comparing the Ket and Arin forms (but without reconstruction), and leaving out the Kottish form - evidently because the correspondence (formulated in КС 151) does not fit his system."
  49,"*ʔäń (~x-)", 441,"wave","āńbɔk\H1\h, pl. āńbɔkŋ\H1\h (Imb.)","","en, *ēn, pl. ēnaŋ","","","ССЕ 186. Werner 1, 267 (without reconstruction)."
  50,"*ʔeʔk (~x-)",  34,"twenty","ɛʔk, pred. ɛkśeń\H5\h ; South. ɛkś\H5\h","ɛʔk, pred. ɛksɨ\H5\h","","","","ССЕ 186. Werner 1, 256."
  51,"*ʔeʔǯ- (~x-,-ʒ-)",1070,"damp sand","ɛŕeŋ\H5\h, Bak., Sur. ɛdəŋ\H5\h","","","","","ССЕ 186. Werner 1, 240 *edəŋ. A reconstruction of *-ǯ- (or *-ʒ-) is preferable because the root is probably the same as in the compound *qeʔs-*ʔeʔǯVŋ (see *qeʔs)."
  52,"*ʔej-",   0,"pine","ēj, pl. ɛʔń; aj-git\H6\h "small pine"","ej, pl. ɛʔn; ɛń-git\H5\h "small pine"","ei, pl. en; асс. ej (М., Сл., Кл.)","aja (М., Сл., Кл., Лоск.)","","ССЕ 186-187. Werner 1, 272."
  53,"*ʔej",   0,"tongue","ēj, pl. Kur. ɛ:ji\H4\h, Bak., Sur. ɛ:jə\H4\h / ɛjə\H4\h, South. ɛj\H4\h","ej, pl. ɛ:hj\H4\h; ej-git\H1,6\h 'to lick'","ei, pl. ējaŋ "voice, sound"","","aj (Сл., Срсл.) "tongue"","ССЕ 187. Werner 1, 272 *ej, pl. <*eʔəjə>. Werner prefers to compare the Kottish form with Yug. ɨʔj 'shout' (2, 433), which is not excluded, but dubious phonetically (the vocalic correspondence is quite irregular)."
  54,"*ʔel- (~x-,-r-)",   0,"spider","ɛlɨ:m\H3\h, pl. ɛlɨmɨn\H5\h / ɛllɨmɨn\H5\h","ɛl(l)ɨm\H5,6\h, pl. ɛlɨmɨŋ\H5\h","","","","ССЕ 187. Werner 1, 232 *elləm (supposing a compound *el-(C)əm, but not specifying the nature of the second component)."
  55,"*ʔem- (~x-)",   0,"cone (of a coniferous tree)","ɛmiĺtə\H5\h, pl. ɛmiĺtəŋ\H5\h; ɛmdɔ́ ( < ɛm-dɔ:\H3\h), Kur. also imtet\H5\h "to collect cones"","ɛmči\H5\h, pl. ɛmčaŋɨn\H5\h [Werner 1, 362 also gives a variant imči]","","","","ССЕ 187. Possibly connected with *ʔim "nut" q.v. Werner's remark "diese Rekonstruktion ist kaum annehmbar, denn es handelt sich um *im "Nüsse" in Komposita" lets the reader know that he is much more certain of this connection than I am; phonetically the reconstruction *ʔem-, however, still holds."
  56,"*ʔen",  36,"now","ēn","en","eaŋa","iŋni (М., Сл., Кл.) "today"","eń (Срсл.) "now" (the form can also be Yug)","ССЕ 187. Kott. eaŋa < *ʔen-ŋa. The Ablaut form *ʔan- is contained in compounds: Yug. an-es\H5,6\h 'morning' ('now' + 'God, sky'), an-bɔksɨ\H5\h 'tomorrow' = Ket. anɔkś \H5,6\h (for th second component see *pVk-). Werner 1, 35, 36, 272 *en."
  57,"*ʔen (~x-)",   0,"wedge (for splitting logs)","ēn, pl. ɛnn\H5\h ; South. pl. ɛńin\H5\h","en, pl. ɛnɨŋ\H5\h","kaltap-en, pl. kaltap-anaŋ","","","ССЕ 187. Werner 1, 272, 400. On the first part of the Kott. compound see *gɔʔl."
  58,"*ʔen-sä-",   0,"to forget","ɛnsak\H5\h (Кастр. en-de-sūʁ)","ɛn-suk","ēneŋaiše "to forget", praet. enuŋuiše, imp. enuaiše; ēnšekŋ "forgetfulness"; (Бол.) enoši "I forget"","anči-gɨtpuju "I forget" (Лоск.)","","ССЕ 187. A Proto-Yenisseian interrupted stem. The nature of Ket -k is unclear (a suffix?). Werner 1, 234 *en-sək."
  59,"*ʔepVr(\L1\l) (~x-)",   0,"blue-berry","ɛ:ĺ","ɛfɨr\H5\h","","","","ССЕ 187. Werner 1, 258 <*ep\Hh\həλ>."
  60,"*ʔeqab- (~x-)", 837,"sleigh bow","ɛ:b-okś\H3\h, pl. ɛ:b-aq\H3\h","ɛxab-oksɨ\H5\h, pl. ɛxab-ax\H5\h","","","","ССЕ 187. Werner 1, 257."
  61,"*ʔeŕk-", 801,"door (of the birchbark tent)","ɛllə\H5\h, pl. ɛllán ( < ɛlla:n\H3\h); South. ɛla\H5\h, pl. ɛlɨn\H5\h","ɛrfɔx\H5\h, pl. ɛrfɔxn\H5\h","","","élxan (Сл.), elxan (Срсл.) "door"","ССЕ 187. Yug probably reflects a metathesis: ɛrfɔx < *ɛrxɔp < *erk-op. The word is probably a compound, but details are not quite clear. Werner 1, 230 <*ɛλp\Hh\həq>."
  62,"*ʔes",  37,"God, sky","ēś, pl. eśáŋ / eśa:ŋ\H3\h","es, pl. ese:ŋ\H3\h","ēš, pl. ēčán; (Бол.) eš","es (М, Сл, Кл, Срсл, Ф, Лоск), eš (Стр)","eč (Сл, Срсл, Кл) 'sky', eg (Сл, Срсл, Кл) 'God' [the variation -č / -g reflects an articulation like -ć, cf. also -it in ur-áit 'rain' < *xur-ʔes].","ССЕ 188. Cf. also: Kott. ečā (dat.) 'upwards', ečāl (loc.) 'above'; Ass. öš (М, Сл, Срсл, Кл), eč (Кл), aš-parán (Сл) 'sky', ös, öš (М, Сл, Кл, Ф), eč (Кл), es, eš (Срсл, Ф) 'God'; Kam. eš  (Стр), Koib. eš (Мес, П, Ф), Ed. oješ (Мес) 'God'. In Pump. cf. also lɨcɨ (Стр.) 'devil' =  Ket. Imb. ĺɨtiś  'wood devil'  ('mountain'  +  'God'). Werner 1, 272-273 *es."
  63,"*ʔes-",  38,"to put","ɛśa\H6\h","ɛsiɛ-saŋ\H6\h "in order to put"","śi-ćei "to put, to make"","","","ССЕ 188. The Kottish form (-čei) can be compared if we suppose a reduction (elision): ši-čei < *si-ʔesej. Werner 1, 244-245."
  64,"*ʔese (~x-)",  39,"(fish) scales","iśaŋ (КРС), (Кастр.) ieseŋ, (Донн.) jes: iẹ̀s̀, pl. iẹ̀s̀əŋ [W.: īśa / īśe, pl. -ŋ]","ise, pl. isɨŋ [W.]","ēči, pl. ēčaŋ","","","ССЕ 188. In Ket the root was influenced by īś 'fish', from which it is historically quite separate (cf. in Kottish ēči 'scales' vs. īči 'meat' = Ket. īś, see *ʔise). Werner 1, 396."
  65,"*ʔete",  40,"sharp","ēti\H1\h, South. ēt, pl. ɛtiŋ\H5\h","ēt / ejt, pl. ɛtiŋ\H5\h","ēti, g. ētī, pl. ētaŋ","","etɨkup (Срсл.,) "sharply" [= Yug.?]","ССЕ 189. Werner 1, 273. Despite Bouda and Timonina, similarity to PT *jitig 'sharp' is most probably accidental."
