NUMBER|PROTO|MEANING|PRNUM|KUR|MLT|NOTES|ADDITION|DEDNUM
68|*āq-|to know|97|axnā (axcas, akkhas) "to know, realize, experience, mistake for"|āge (aqqa) "to know, understand"|Отсутствие долготы в курух, по-видимому, вторично (возможно, в глаголе краткий гласный по аналогии с именными производными, где долгота могла сократиться перед кластером). Инлаутные -g-, -g̣- в малто и -x- в курух указывают на ПСД  *-q-  (ПСД  \I*āq-nā\i  >  курух \Iax-nā\i, ПСД претерит  \I*āq-as\i  >  курух  \Iakkh-as\i  с регулярной геминацией *-q- > *-qq- > -kkh-). Не вполне ясна форма претерита в малто (с удвоением!!).|Also KUR \Iaxkā\i, \Iakhkā\i knowledge, experience; MLT \Iāg̣re\i to get accustomed to.|17
69|*ā-r|that man|1|ār|ār|||1
70|*ār-cī|goad, pointed end of goad, point of lance or stick|1943|ārcī||||371
71|*ās|that man|1|ās|āh|Эта и несколько следующих реконструкций являются производными от корня *ā-.||1
72|*ātq-ā|leaf|92|atxā "leaf, blade"|ātg̣e "leaf, palm of the hand"|В курух сокращение долготы, по-видимому, перед кластером.|Also MLT \Iātg̣en ēre\i to divine by looking at a leaf; \Iātg̣o\i a diviner.|141
73|*bac-|to rob; to seize|2121|baccnā "to snatch away, rob by force, carry off, seize, confiscate"|bace "to rob"|||5551
74|*bad|to obey|0|badnā "to obey, defer to, refer the case to"|badye "to submit, be obedient"|||3914
75|*bag-ḍā|shank of the leg|1946|bagṛā|bagḍe||Also MLT \Ibagḍ-poṭi\i calf of the leg.|3816
76|*bakā|claws|1947|bakkā "claws of a crab, forceps, shears"|bake "forceps"|||3814
77|*bal|to slip off, be left behind|0||balre||Also MLT \Ibaltre\i to let escape or slip off|5298
78|*bal-|large|1706|balē, balētī "with the help of"|balehne||Also MLT \Ibalebale\i large ones.|5276
79|*bal-|large|0||balehne||Also MLT \Ibale-bale\i large ones|5304
80|*balī|door, mat|0|balī "door, screen made of bamboo mats"|bali "matted screen for a door"|||5277
81|*ban-|a current or flood of water caused by heavy rain|1748||bani|||5381
82|*baq|to be poured out copiously|0||bag̣-bag̣re|||5334
83|*bar-|to come, arrive, draw near, fall under the perception of the senses or the mind, be forthcoming|1739|barnā|bare|||5270
84|*barndī|ridge beam of a roof|0|barndī||||5264
85|*barq|to snore|0|barAxnā|barg̣e|||3983
86|*baṛ|to prattle|0||baṛ-baṛre|||5230
87|*baṛī|arm|0|baṛī|baṛī|||3855
88|*basg|to peel (by progressive cuts only)|0|basgnā|basge|||5340
89|*bat-|to dry, evaporate|1694|battnā "(liquids) decrease by evaporation, boiling, percolation"|bate "to expose to heat for drying purposes, dry up (as water)"||Also KUR \Ibattaʔānā\i to empty, dry (tr.)|5320
90|*batā|bamboo slips|0|batā "bamboo laths, bamboo slips"|bate "thin slips of bamboo"|Неясно отсутствие удвоения в курух (качество записи? заимствование?)||3917
91|*baṭaŋ-|brinjal|1724||baṭan̲go|||5301
92|*baṭg|virginal, maidenlike|0||baṭg||Also MLT \Ibaṭgni\i virgin, maiden; \Ibaṭgo\i female of birds|4395
93|*baṭṛī|loose rings worn on the toes by women|0|baṭṛī|baṭri|||3880
94|*baŋ|to lie in wait|0||ban̲g̣e|||5533
95|*bāc|to say; to tell|0|baʔanā (bācas) "to say, command, invite, allow, name, call, salute as, by the name or title of, pretend, express as one's own view or idea, say to oneself, imagine, reflect, intend, cry (of animals), sound so-and-so"|bāce "to relate, tell"||Also KUR \Ibārnā\i to be called, termed, have a title.|5514
96|*bāg|to scrape, pare|0|bāgnā "to scrape, peel off the epidermis of eatable bulbs or certain creeper-fruits"|bāge "to pare (as bamboo)"|||5363
97|*bāg|to comb|0|bāgnā|||Also KUR \Ibāgrnā\i to comb oneself; \Ibāgrkā\i, \IbāgLrkā\i wooden comb worn by boys and girls.|5357
98|*bā-ī|mouth (of man and animal), aperture of a vessel, mouthful|1741|baī|||Also KUR \Ibaī-muī̃\i the face.|5352
99|*bāk|to throw, put|0|bāknā "to throw in, put in (a basket, sack, vessel, any dry goods, corn, money, etc. with the hands)"|bāke "to take up (as earth)"|||4051
100|*bāl-|to cut the pulp of fruit or the fleshy part of a joint|1745||bāle||Also MLT \Ibālye\i to cut up flesh|5378
101|*bālk-ā|turmeric; yellow|1744|bālkā|bālke||Also KUR \Ibālkō\i yellow; MLT \Ibālko\i yellow.|4102
102|*bāḍ-|to perceive as by sniffing, scent, discover or track by the smell|1735|bā̃ṛnā||||5343
103|*bār-|to fish out, scoop|1754|bārnā "to fish out (lit. to take out of a liquid any solid object that was plunged into it), bake or fry by dipping for a moment in boiling oil.to gather leaves together (with hand or broom)"|bāre "to take out (as grain)"|||5362
104|*bāj-|to respect|130|bāynā (bāycas) "to respect, keep on a footing of reserve with (elder brothers with younger brothers' wives, elder sisters with younger sisters' husbands, man with wife's elder sisters, woman with husband's elder brothers)"|bāc-naqe "to employ the plural form when relatives by law address one another"||Also KUR \Ibāenā xoenā\i to shun; MLT \Ibāc-naqpo\i a relative by law.|4090
105|*beX|to choke|0|bekkhnā (bikkhyas) "to have the windpipe stopped, be choked, (animals) to cough"|beqe "to be choked"|Праформа - либо *beG-, либо *beq-y-.|Cf. also MLT \Ibusg̣e\i to sob.|5383
106|*bed-|to seek; to marry|1757|beddnā (biddyas) "to seek, search, get (second wife, concubine), find, discover, want, wish, be about to, be liable to"|bede "to seek, marry"||Also MLT \Ibeduwre\i to be married.|5483
107|*beǯ|to cure by repeating spells|0||beje|||5442
108|*beǯ-|blearedness, watery rheum of the eyes|0|bejje|||Also KUR \Ibejgā\i blear-eyed.|4143
109|*bel-|to be gaping (of a wound), open to the quick, be swollen and suppurating|0|belbelrnā||||5432
110|*bens-|to cover, thatch|1776|baĩnā (bańń-), bēnā (bēńń-) "to cover with tiles, thatch, etc."|bese "to thatch"|Гласный и согласный -s- восстанавливается на основании формы малто; на присутствие носового  недвусмысленно указывает курух (ср. также центрально-дравидийские формы типа колами vēnz-, найки vēnj- и др.; см. также ПСД *mesgā).||5532
111|*ber-|to get out of shape by expanding sidewise or falling under one's own weight (as an earthen vessel when unbaked, a mud wall, a ball of wax, a heap of manure when very wet)|138|berrnā (birryā)||||5411
112|*ber-j- (*-i-)|to overflow, as leaven when fermenting (Hahn)|1820|berrnā||||5462
113|*berqā|cat|1778|berxā|berge|||5490
114|*beṛgā|misanthrope, unsociable|0|beṛgā||||5394
115|*bej-|to be|1951|bēʔenā (biccyas) "used as an auxiliary; to be, stay, remain"|behe "to exist, be"|Нерегулярный случай с нетривиальным соответствием (малто -h-!).||4427
116|*bēg-|a kind of tree|1795||bēgasi|||5520
117|*bēk|salt|1973|bēk|bēku||Also MLT \Ibēkbēkre\i to taste saltish.|4428
118|*bēl-|king, zemindar, god|2126|bēlas|||Also KUR \Ibelxā\i kingdom; \Ibelō\i, \Ibēlō\i queen of white-ants.|5545
119|*bēn-c-|to wrap up; to gird|2134|bā̃cnā "to throw (a piece of clothing) on someone's shoulders, wrap it around his body"|benje "to dress, gird"|Условно реконструируемое сочетание *-nc-, по-видимому, в малто озвончилось, в курух же дает ожидаемый рефлекс (назализованность предыдущего долгого гласного + c).|Also KUR \Ibā̃crnā\i to wear, put on (around oneself, as a mantle), wrap or drape oneself in; MLT \Ibāsre\i to cover oneself with clothing|5534
120|*bēŋ-|to reach with outstretched hands|0||bēn̲gle|||5519
121|*bic-|to cook|1812|biʔinā (bicc-) "to be cooked, baked, boiled, parched in heat"|bice "to be cooked, be heated"||Also KUR \Ibītaʔānā\i to cook, broil, bake, dry in heat; \Ibisālī\i earthen vessel for scalding paddy; MLT \Ibite\i to cook|5517
122|*bic-|to let go|1799|bicchrnā "to let go (cattle), release (a prisoner), let go, relax one's grip, let loose (as dog), send (policeman after)"|bicre "to let go, put in, give"|||5393
123|*bid-g-|to open, lay bare|1758|bidIgnā "to lay partly bare the contents by violent action upon the covering, tear open, make a rent, make burst or crack by weighing upon"|bithge "to expand, open (as the lips or eyelids)"||Also KUR \Ibidgrnā\i to be laid bare, get exposed to view.|5484
124|*biḍ-|to be hot|1763|biṛnā (biḍḍ-) "(sun) to be hot"|biḍye "to shine"||Also KUR \Ibīṛī\i sun, time; MLT \Ibiḍe\i to shoot forth (as rays)|5479
125|*bid-ṛ-|to scatter, disperse|1797|bidṛaʔānā (refl. or pass. bidṛārnā) "to scatter about in disorder, spread all over"|biḍrare "to be dispersed"||Also MLT \Ibiḍretre\i to disperse.|5400
126|*biǯ-|to dawn, begin to grow light|1701|bijjnā|bije||Also KUR \Ibijjtaʔānā\i to protract till dawn.|5554
127|*bil-|to shine|1770|bilcnā "to shine, glitter, sparkle, be conspicuous"|bilbilre "to shine brilliantly"||Also KUR \Ibilctaʔānā\i to polish, cause to shine or glitter; be lightning; \Ibilbilrnā\i to sparkle, twinkle, scintillate; \Ibillī\i light, that which is a source of light (lamp, candle), flame, mental or moral illumination; \Ibelbelrnā\i to be an albino, have an unusual or morbid whiteness of the skin.|5496
128|*bin-j-|the name of the god of thunder and lightning|1806||bin̲ye|||5396
129|*bir-q-|to mix, add (esp. food)|141|birxnā (refl. and pass. birxrnā) "to help to some more at meals, cook some accessory ingredient along with the main article of food, mix several kinds of seeds (esp. for sowing)"|birg̣e "to mix, add, join"||Also KUR \Ibirxī\i mixture of rice and marwa used in rice-beer brewing; MLT \Ibirg̣re\i to be mixed, be joined, keep company with.|5407
130|*biṛ-d-|to turn over (tr.), turn round, give back|1774|biṛdnā|||Also KUR \Iānā-biṛdnā\i to answer, retort.|5481
131|*biṭ-ā|a shore|1782||biṭe|||5474
132|*bīǯ|to expand, widen|0||bīje|||5448
133|*bīn|to milk, clean guts (by pressing along), sponge, fleece|0|bīnnā||||4183
134|*bīnḍ-kō|star|862|bīnkō|bīnḍke||Also KUR \Ibincō\i firefly.|4876
135|*bīq-?|to make a gesture|0|bīxrnā "to make the gesture of commencing a certain action, being at the same time within convenient distance for performing it, take one's aim for"|bēn̲g̣re (?) "to lift the arm preparatory to a blow"||KUR and MLT may not be related.|5450
136|*bīs-|to sell|1818|bīsnā (refl. and pass. bīsrnā)|bīse|||5459
137|*boŋ-|to run|1936|boŋgnā "to run, run away, leave a place for good, keep clear of"|bon̲g̣e "to run, flee"||Also KUR \Iboŋgtaʔānā\i to make run, carry about or off with great speed, lose (by death or otherwise); MLT \Ibon̲g̣tre\i to cause to run, carry away.|4473
138|*bōc-a|crocodile|876|bōca|boce|В малто нерегулярное сокращение долготы.||4952
139|*buṭ-ī|navel|144|buṭṭī||||4460
140|*cVlVkī|a k. of grass broom|0|calkī "a special kind of grass from which brooms are made; a broom"|celaki "a broom made of grass"|Вокализм не вполне ясен; по-видимому, в ПСД следует реконструировать трехсложную форму со специфическими метатезой и редукцией в курух.||2375
141|*caX-|to pierce, sting|1838|cakkhnā (cakkhyas/cakkos, refl. cakkhrnā) "to pierce with a prick, prick, penetrate into, puncture, cause a prickly sensation, experience a prickly sensation; refl. to be tattooed, etc."|caqe "to sting, pierce, stab; also applied to the sowing of certain grains for which holes are made in the earth"|Праформа - либо *caq-y-, либо *caG-.|Also MLT \Icaqro\i worm-eaten roots; \Icaqtre\i to have the ears bored; \Icaqu\i shooting pains in the stomach.|2278
142|*cabqā|cock-bird|0||cawg̣e|||2818
143|*cak-|to sharpen, whet|0|caknā "to sharpen an edge instrument, whet"|cake "to sharpen, wet"|||2277
144|*cak-|a slice|235|caktā, caktī|caka||Also KUR \Icaktaʔānā\i to cut in slices; \Iceglā\i chip, splinter; MLT \Icaka\i a slice; \Icagje\i to chop up (as meat).|2748
145|*cal-r-|to continue, go on, be current (as coin), wield power, go away, quit, behave|1395|calrnā|||Also KUR. \Icalābaʔānā\i to set going, guide to a place; \Icalā\i off.|2781
146|*cal-q-|to open; to split|1418|calxnā "to open, uncover"|calge "to split, or break open"||Also KUR \Icalxrnā\i to open (intr.); MLT \Icalgro\i torn asunder.|2377
147|*canǯu|antelope; deer|0|canju "antelope"|canju "a deer"|||2294
148|*canq|stale, rotten|0|canxnā "to turn stale (of cooked things, meat or vegetables), turn mouldy (as bread)"|cang̣e "to be or become rotten (of cooked food)"||Also MLT \Icang̣ro\i rotten.|2424
149|*canṛkā|lightning|0||can̲ṛke||Also MLT \Ican̲ṛkeye\i to flash (as lightning)|2759
150|*can-u|pod, rice-pod|210|cannu "in \Ihessu cannu\i head of rice"|canu "pod"|||2798
151|*cap|to hurry|0|capnā (cappyas)||||2336
152|*caqā|around, near, in the vicinity of|1972|caxā||||2753
153|*car-|to tear, cut|1453|carrnā "to tear, rend, dilacerate with the teeth, plough for the first time in the year"|care "to cut as with the teeth or scissors"||Also MLT \Icartre\i\i to cause to cut with scissors.|2416
154|*caṛ-m-|flaccid; scorched|221|carmnā (Tiga caṛmnā) "to become flaccid, flabby (as a plant cut off from the stem), feel or look weak, enervated (through heat, exertion, illness, cares)"|caṛme "to wither, be scorched"||Also KUR \Icarmtaʔānā\i to weaken, debilitate, unnerve.|2301
155|*cat|to leak, fall in drops|0||cate|||2835
156|*caj|to get wet, be drenched|0|caẽnā (caĩńas), caĩnā|||Als̃o KUR causatives\i \Icaẽdnā\i, \Icaẽdaʔānā\i, \Icaĩdnā\i, \Icaĩdaʔānā\i, \Icaĩtaʔānā\i, \Icaẽtaʔānā\i.|3045
157|*cābār|to get an unpleasant taste|0|cā̃wā̃rnā||||2341
158|*cāc-ā|stone, pebble, rock|169|cācā|cāce|||2435
159|*cāl-ā|grove, sacred grove|255|cālā|cāle|||2891
160|*cāl|voice, act of addressing, answering, shouting, shout|0|cāl||||2486
161|*cālī|free ground; threshing-floor|0|cālī "the 3 or 4 feet of free ground immediately in front of a house"|cāli "a threshing floor"|||2476
162|*cāq|to sow, scatter|0|cā̃xnā "to sow, scatter seed"|cāge "to divide, scatter, sow"|||2431
163|*cā-q-l-|to stretch the legs apart|170||cāqle||Also  MLT  \Icāqlo\i one who walks with legs stretched apart; \Icāqltre\i to cause the legs  to  be stretched apart|2433
164|*cār|a k. of tree from which arrow-shafts are made|209|cār "a tree of the reed kind, which grows to a height of 7 or 8 feet (its wood is very hard and serves to make pen-holders and arrow-shafts); arrow-shaft, arrow"|cāru "arrow"|||2469
165|*cāṭq|to jump over|0|cāṭaxnā (cāṭxyas) "to stride, stride across, jump over"|cāg̣ṭe|Метатеза в малто.||2440
166|*ceḍ|to carry|0|ceṛnā "to raise a burden to one's shoulders, undertake, suffer"|ceḍe "to convey, carry"|||2762
167|*cegVlo|bark, shell|0|cegalo "bark of tree (Mirdha dial.)"|ceglo "shell of fruit"|||2751
168|*cen-c-|to stink|2096|cāʔanā, cāʔnā (cā̃cas) "to stink, give forth an offensive smell; to smell in general"|cen̲ye (cen̲ca) "to emit odour"|Конечное -c корня реконструируется на основании инфинитива в курух.|Also MLT \Icen̲yro\i scented, smelling.|2264
169|*ceql|branches; plants|0|aṛxā-cēxel "the vegetable kingdom, plants in general"|ceg̣lu "small branches"|В курух, по-видимому, удлинение гласного для сохранения стандартной корневой структуры: *ceql > *cexel > *cēxel (долгий в открытом слоге).||2789
170|*cer-|yesterday|183|cerō|cewr||Also KUR \Icerontā\i, \Icertā\i of yesterday; MLT \Icewti\i yesterday's.|2779
171|*cēnd-|to remove in small quantities from a heap|1461||cēnde|||2812
172|*ciṚr-ā|squirrel|241|ciṛrā, ciḍrā||Отсутствие материала в малто не дает нам определить характер ПСД фонемы - *ḍ или *ṛ.||2518
173|*cic|fire|178|cicc|cicu|||1514
174|*cic-|any fruit in its embryonic stage, just after the fall of the blossom; boy or girl under marrigeable age|0|cicī, cicō||||2609
175|*cid-g-|to begin to rain drop by drop|240||cithge|||2524
176|*cidq|to squeeze out the seed or stone from a fruit|0||cithg̣e|||2526
177|*cig-(j)ā|young plant just piercing the soil, small seedling|212|cigā, cigī|||Also KUR \Icigyārnā\i to sprout, shoot, come out.|2489
178|*cil-|to forbid|1445||cile|||2559
179|*cilgā|itching; a caterpillar whose touch causes the hand to itch severely|0|cilgā|cilge||Also KUR \Icilgālagnā\i to feel an itch; MLT \Icilgtre\i to cause to itch.|2573
180|*cinj-|chicken|0|ciʔam, ciyam|cin̲yo|||2636
181|*cirq|to shout, make a noise|0||cirqe|||2631
182|*cit-r-|porcupine|1443||citru|||2776
183|*cij-|to give|1447|ciʔinā (ciccas) "to give, to allow"|ciye (cic-) "to give away"|||2598
184|*ciŋ|to pinch slightly between the finger-ends, give a slight scratch (e.g. to a fruit to see if it is ripe)|0|ciŋgnā (refl.pass. ciŋgrnā)|cinge|||2505
185|*cīc|to rub, wipe, clean|0|cī̃cnā "to rub with something soft for cleaning or drying, wipe away, dry"|cīce "to wipe, clean"||Also KUR \Icī̃crnā\i to wipe off.|2599
186|*cī(n)q|to weep, cry, sob|0|cī̃xnā|||Also KUR caus. \Icīxtaʔānā\i, \Icī̃xcī̃xrnā\i to have a mind to weep, have tears in the eyes.|2494
187|*cīp-|to suck|263|cīpnā (cippyas)|cīpe|||2621
188|*cīr|nit|1448|cīr||||2625
189|*cīr|to divide (by rending, splitting, sawing)|0|cīrnā||||2491
190|*cīr-c-|to scratch|264|cīrnā|circe "to scratch (as a bird with talons)"|Только форма *cīrc- позволяет нам объяснить нерегулярность рефлексов (выпадение -c- в курух и сокращение долготы в малто); впрочем, причиной подобных нерегулярностей может быть очевидная звукоподражательность данного корня).|Also MLT \Icirco\i spurs of a cock.|2601
191|*coX|to pluck|0|coxnā (cokkhas) "to pluck, cull (fruit, flower, useful leaves)"|coge (coq-) "to pluck off, set free"||Also KUR \Icoxrnā\i to fall off as fruits, be plucked; MLT \Icogre\i to drop off, get free, be ransomed.|2644
192|*coḍ|to crack (as the fingers do)|0||coḍe||Also MLT \Icoḍtre\i to crack the fingers|2511
193|*colā|back wall|1933|collā "back wall or back side of a house"|cole "the back of the house"|||2859
194|*col-|pointed (said of the mouth of animals)|1465|colō||||2664
195|*coṇḍō|penis|0|coṇḍō||||2666
196|*cop-|cover, umbrella|0|copī "a cover for the head made of leaves"|copa "umbrella"|||2845
197|*cop-|crawfish|0|coppō, coppō ińjō|cope-mīnu "cuttlefish"|||2848
198|*copṛā|skin of fruits, husk|0|coppā (Tiga coplā) "skin of fruits, husk of grain, shell of pulses"|copṛa "husk, scabbard"|||2846
199|*corg|to move, creep forward|0|corgnā (caus. corgtaʔānā) "to move forward with one's seat on the ground, crawl on the hands and seat, slide on one's seat, move on with difficulty, walk without lifting one's feet"|corge, corgre "to creep along stealthily"||Also MLT \Icorgtre\i to drag the feet, trudge.|2854
200|*cotq|to melt|0|cotOxnā (cutxyas) "to pass from a solid to a liquid or a flowing state, melt"|cothke "to be melted"||Also KUR caus. \Icotxaʔānā\i, \IcotOxtaʔānā\i to reduce from a solid to a liquid state, melt; MLT \Icothktre\i to melt (tr.).|2842
