NUMBER|PROTO|MEANING|PRNUM|KOLAMI|KOL̲KIN|KOL̲SR|NAIKRI|NAIKI|PARJI|OLLARI|SALUR|POYA|S̲3|ADDITION|NOTES|DEDNUM
13|*a-n-|thus, in that way|1|anaŋ "in that way"||ane, anāy "thus"|andhar "so many males"||ana, ani "there"|||||Also Kolami \Iandar\i, \Iandav\i, \Ianiŋ\i that many males, females, things; \Ianṭon\i, \Ianṭor\i, \Ianṭod\i, \Ianṭov\i mane, men, woman or thing, women or things like that; Naikri \Iandharna\i all (men); Parji \Ianat-le\i from there|The \I-n-\ibase of \I*a-\i has two meanings in PKG: a) quantitative 'that many', 'that much'; b) locative 'there', etc.|1
14|*a-poṛ|then, at that time|1|appuḍ, āpuḍ "then"|||aphuṛ, aphunḍ "then"||apoṭ "that time"|apaṛ "like that"||||Also Ollari \Iapaṛi\i in that way; Naikri \Iabhal\i on that side||1
15|*agṛ-|to dig|19|agul- (agult-)||||agul-/agl-|||aḍg-|aṛg-||Also Naiki \Iagulmur\i digging||11
16|*a-t-|there, in that place|1|attan, attar, attad "man, men, woman of that place"|||attin "there"|atan "there"|at "in that direction"|||||Also Kolami \Iattin\i there; \Iattaṭ\i from there; \Iatte\i that much; Naikri \Iade\i thither; \Iaddanḍ\i in that direction; \Ianṭhad\i like that; \Iattiŋ\i thither; \Iattaṭ\i from there; \Iattek\i that much; \Iattekna\i all; Naiki \Iatte\i that much; \Iadaṛin\i therefrom; Parji \Iatni\i so, in that way; \Iadugi\i therefore; \Iadoḍ\i in that direction; \Iāta\i like that (inflected: \Iān āteni\i I am like that, etc.); \Iāte\i, \Iāten\i so, in that way|The base's main function is locative.|1
17|*ak-|elder sister|5|||akkābāī||||||||||23
18|*ak-|grandfather|26||||||akka "mother's father"|||||||24
19|*alaj-|to be tired, ill|34|alay- (alayt-) "to become tired"|||||alac "illness"|||||Also Kolami \Ialp-\i (\Ialapt-\i) to make to become tired||236
20|*ale|[interjection]|0||||||ale "exclamation used as voc. (a form \Ialor\i with the termination of the 2nd pl. is also recorded)"|||||||251
21|*al-|to weave|28|al- (alt-)||all- "to weave, dress (hair)"|all- "to weave, plait"||alc- "to wind round (as snake or creeper round tree)"||all- "to twine"|||Also Parji \Ialṭ-\i to be twined around; \Ialṭayp-\i (\Ialṭayt-\i) to wind round (tr.)||260
22|*al-|to spread|0||||||||all- "to spread as a creeper"|||||207
23|*aḷ-k-|to sprinkle|36|||alk-|aḷk-||alk-|||||||305
24|*al-k-|bowstring|0||||||alka "bow-string"|||||||259
25|*aḷŋ-|to kill|0|alŋg- (alaŋkt-)|||aḷaŋ-|||||||||309
26|*amb|arrow|41||||||amb|amb||||||178
27|*ambal|cooked rice|42|aṃbāl (Haig) "food"|amba|vallambā "rice (\Ival\i rice)"|ambal "boiled rice"|||||||||174
28|*am-|mother; sister|43|amma (pl. ammanev) "mother"|||amma "mother"|amṛo "elder brother's wife"|||ammi "younger sister"|||Also Kolami \Iavre tāk ammaner\i their parents (\Itāk\i father); Naiki \Iamma tāk\i parents||183
29|*anḍ-|bowstring; to attach (bowstring)|51||||||anḍ- "(S) to attach string to bow"|||anḍal "bowstring"||||120
30|*and-il (*-nd̲-)|elder brother's wife|1000||||||andil, tandil|||||||3644
31|*anḍ-k-|to kill|17||||||anḍkip- (anḍkit-), (S) nanḍkip- (nanḍkit-) "to destroy, kill"||anukci key-||anuyp-|Also Salur \Ianuyk-\i to kill, destroy||277
32|*aN-|elder brother|54|annāk "(Haig) elder brother"||||||||||||131
33|*anǯ-||0||||||||anj- "to climb"|||||56
34|*anṭ-|to stick|52|aṭ- (-ṭt-) "to stick (intr.), (child) attaches itself to breast"||aṇṭ-|aṭṭ- "to stick to"||anḍ- (-t-) "to stick to, adhere"|||||Also Kolami \Iaṭip-\i (\Iaṭipt-\i) to stick (tr.), put (child) to breast; Naikri \Iaṭip-\i to stick (tr.)||96
35|*añc-|aunt|0||||||añña "father's sister"|||||||58
36|*ap-|a k. of relative|56|appa "father's sister"|||appo/appok (pl. appokuḷ) "wife's younger brother"|||||||||156
37|*ara-s-/*ara-p- (*-r̲-)||68|raz- (rast-) "to say, speak, talk nonsense"|||arap- "to crow"||||||||Ollari \Iarg-\i 'to bellow' does not belong here, but rather to \I*ār-\i.|319
38|*ar||61|||||ar "half, in: \Iar sōla\i a measure"||||||||229
39|*aṛ-|to cry|459|ar- (art-) "to weep, (crow) caws, (peacock) screams, (tiger) roars"||arr- "to cry, frighten (KR-37)"|ar- "to weep, cry"|al- "to weep"|aṛ- "to weep, cry (of various animals)"|aṛ- "to weep, cry (of various animals)"|āḍ- (āṭ-) "to weep, cry like an animal"|||Also Naiki caus. \Ialup-\i; Parji \Iaṛtip-\i (\Iaṛtit-\i) to cause to weep or cry; Ollari \Iaṛup-\i (\Iaṛut-\i) to make to cry||282
40|*ar̲g-|to be digested|72||||||||||arg-ēr-|||316
41|*ar-k-|to cut, harvest|62|ark- (arakt-) "to harvest"|||ark- "to cut, reap"|ark- "to cut paddy, harvest"||||||Also Naiki \Iarup-/arp-\i to cut||212
42|*argl-|chest|60|aragdi, (Pat.) ārgli "chest of body"|||aragli "chest of body"|argil "chest of body"||argil "chest of body"||||||200
43|*aṛǯ-||0||||||aṛj- "(flavor of something) is perceived (particularly salt, \Icup aṛjoto\i)"|||||Also Parji \Iaṛcip-\i (\Iaṛcit-\i) to add as flavouring||288
44|*aṛñ-|to cross|0||||||aṛñ-|||||Also Parji \Iaṛñip-\i (\Iaṛñit-\i) to make to cross||289
45|*arp-||0|||arpalīpeŋ "to attack (Kamaleswaran)"||||||||||370
46|*aṛŋ-|bellows|0||||||aṛaŋga (pl. -gel)|||||||275
47|*aṭ-|to dry up|80|||||aṭay-/aṭil- "to be dried up"||||||Also Naiki \Iaṭap-\i to dry up (water); \Iaṭ\i bread||76
48|*at-|father's sister|76||||atiak (pl. -ev)|ato bāy||āta|||atta|||142
49|*aṭ-|to strike|9||||||aṭṭ-|aṭ- "to strike, (rain) comes in torrents, (finger) to snap"|aṭṭ- "to strike, beat"|||Also Parji \Imāva aṭṭ-\i to harrow; \Ipoṭkul aṭṭ-\i to clap hands, snap fingers||77
50|*at-k-||77||||||||||atkap- "to mend, join"|Also Gadba̲S3 \Iatku\i a joint||145
51|*aṭ-k-||81|||||aṛka "earthen pot"||||||||75
52|*av-|old woman; grandmother|82||||||avva "father's mother"||||avve "old woman"|||273
53|*av-s-|to knead|0|||||||||avs-||||169
54|*av-paḍ-|to be got|22|opaḍ- (opaṭ-) "to be found, met, (fish) are caught"|||ōbaṛ- (ōbaṭ-)|||||||Also Kolami \Ioparip-\i (\Iopaript-\i) to find||7
55|*a[n]ḍ-|to thirst|7|aḍḍ- (aṭt-) "to thirst for"|||aḍ "thirst"||anḍ- "to be hungry or thirsty, (food or drink) is wanting, (hunger or thirst) is felt"|anḍ- "(hunger or thirst) is felt"||anḍkir "hunger"|aṇ- (aṇḍ-) "(hunger or thirst) is felt"|Also Parji \Ianḍkuḍ\i thirst|! Irregular case.|109
56|*aj|mother|25|ay|||ayma "woman"||ayal (pl. aycil) "woman, wife"|ā̆ya|āya|||Also Naikri \Iayka\i (pl. \I-śikuḷ\i) husband's elder sister; Parji \Iiya\i (pl. \Iiyov\i) mother; Ollari \Iayal\i woman, wife; \Iasmal\i woman; Salur \Iayāl\i wife; \Iāsmal\i woman||364
57|*aj-|to sweep|0|ayk- (ayakt-) "to sweep away"|||ayk-|ay-|ayp- (ayt-)|ays-|ayk- (ayt-)|||Also Kolami \Iayak\i (obl. \Iayk-\i) rubbish; Salur \Iayp-\i to clean, wipe||194
58|*aj-|ancestor|117|||ayyā "mother's father"||||||||Also Kolami̲SR \Iayyāk\i god||196
59|*ajk-|grain, millet|0||||||ayk "(S) a kind of grain"||aykil "a kind of millet"|||||195
60|*aŋāḍ-i|market|86|aŋgaḍi "bazaar"|||aŋgāṛi "bazaar"|aŋgāṛ|aŋgoḍ "courtyard, compound"|||||||35
61|*aŋ-|all|1|aŋgeḍna|||aniŋna "all (things)"|aŋgoṭe(y), aŋgoṭel, aŋgonay, atey|aŋgoṭ "that much, so much"|||||Also Naikri \Iaŋgel\i so much; \Iaŋgelna\i all||1
62|*aŋ-|yawn; to gape|88|aŋgasi "a yawn"|||aŋgāśi "a yawn"||aŋalp- (aŋalt-) "to gape, open the mouth wide"||||||Parji form goes back to \I*aŋ-l-\i (in PGn this is the regular form for this root).|34
63|*aŋl|tongue|84|||||aŋgul, aŋguṛ(u)||||||||33
64|*āć-|to winnow; to choose|110|āseng "(Pat.) to sort, to choose"||||āy- "to winnow with sideways motion"|āc- "to choose, select"|||ayl- "to sift"|ās- "to choose"|||363
65|*āḍ-|to play|91|āḍ- (āḍt-)|||āṛ-|āṛ- (āṭ-)||||||Also Kolami \Iāḍp-\i (\Iāḍapt-\i) to make to play, fondle (a child); Naiki caus. \Iāṛup-/āṛp-\i||347
66|*ād̲r|hail|98||||||ēdir, (S) ēyir||ādur|ādir|ādir|||406
67|*ā-/*an-|to be|95|an- (\Iirregular\i; past anḍ-; imper. ān) "to be in a place, be so-and-so"|||anḍ-|an- (anḍ-)||||||Also Kolami \Ia-\i allomorph of \Ier-\i (\Iedd-\i) to become; \Iāp-\i (\Iāpt-\i) to keep in a place, entrust; Naikri \Iāp-\i to keep; \Iakk-\i to make, do||333
68|*ā-l-|there, thence|1|||ālāḍ "thence"||||āl "there"||||Also Kolami̲SR \Iālāpasāḍ\i beyond, on that side||1
69|*āg-l- (*-ŋ-)|to obstruct|116||||||||||āgulp-|||340
70|*āǯ-|grandfather|1857||||ājak-jaran|||||||||50
71|*āl|pipal tree|99||||||ēl meri||āl|||||382
72|*āls-|to think|0||||||ēlc- "(S) idea occurs to one"||||||Vocalism \Iā-\i confirmed by external data.|388
73|*ām (obl. *am-)|we (excl.)|1032|ām (obl. am-)|||ām (obl. am-)|ām(e) (obl. am-) "we"|ām (obl. am-) "we"|ām (obl. am-) "we"|ām (obl. amm-) "we"|||||5154
74|*āmed-|castor-oil plant|102||āmeda|āmeddā||||||||||360
75|*ām-/*āv-|to yawn|114||||||ām-, āv-|ām-|āmk-||āmk-|Also Parji \Iāmkuḍ\i, \Iāvkuḍ\i, \Iākub\i a yawn; Gadba̲S3 \Iāmkun\i a yawn|External data shows \I*-v-\i to be original. Both variants were probably free, with \I*-v-\i > \I*-m-\i due to expressive character of the form.|392
76|*ān (obl. *an-)|I|1033|ān (obl. an-)|||ān (obl. an-)||ān (obl. an-)|ān (obl. an-)|ān (obl. an-)|||||5160
77|*andug|sāl tree|50|ānduk (pl. āndugul) "sāl tree (the recording uncertain)"|andg|||||||||||151
78|*āN-|to help|103||||||||||ān-ēr- "to come to help"|||408
79|*aran-kej (*-r̲-)|palm|69|árungkei "(Hislop) palm of the hand"||ārankei "palm of the hand (\In\i, not \Iŋ\i)"||||||||||310
80|*ār-|to sound|106||||||ār- "to sound (as bell, etc.)"|arg- "to bellow"|||||Ollari \Iarg-\i < \I*ār-g-\i.|367
81|*ār̲-/*ād̲-|to be dry; to cool down|90|ār- (ārt-) "to become dry"|||ār- "to become dry"|ār- "to be dried, be emaciated"|ēd- "to cool, cool off"||āl- "to cool down, to become cold"|al- "to be cured"||Also Kolami \Iārp-\i (\Iārapt-\i) to make to dry; Naiki \Iārup-/ārp-\i to dry up, heal (tr.); Salur \Iālupp-\i to make something cool; (P) \Ialap-\i to cure||404
82|*āv-|steam|115||||||ākub "steam, vapor"||ākum||āvir|Parji and Salur forms go back to \I*āv-kum\i (second component unclear), while the Kondekor form is comparable with Telugu \Iāviri\i.||393
83|*baḍ-|dovecote|0||||||pārva baḍi|||||||3848
84|*baḍ-|creeper|0||||||||baḍḍu|||||3882
85|*baḍ-j-|club, stick|119|beḍta "club"|||||baṛiya "stick"|||||Also Kolami (Br.) \Ibaḍya\i walking stick||5224
86|*banḍ-|rock|124||||||||||baṇḍa "boulder"|||3903
87|*baṛd-|bamboo door|0||||||baṛda|||||||4009
88|*bar-g- (*-r̲-)|rough|126|bargaṭe "(Pat.) rough"||||||||||||3973
89|*bad-|to live|130|bat- (batt-) "to live in a place"||badk- "to subsist"|batt-||badk-|||||Also Kolami \Ibatkip-\i (\Ibatkipt-\i) to rear; Naikri \Ibadkip-\i to make to live, bring up||5372
90|*baṭ-|bare ground|0||||||baṭṭi|||||||5233
91|*bāvk-|cat|131|||||bagale (pl. -l)|bāvki "wild cat"|||||||4106
92|*baŋk-|resin|128|bakka "resin (BB)"|baŋka "gum"||bakka "gum"||bāk, bākar "gum of tree"||baŋka "gum, stickiness"|||Also Kolami (Pat.) \Ibakka\i sap||3817
93|*bāḷ-|spider|0||||||bāla "(S) spider"|||||||4098
94|*bebḍ-|tomato|0|||bebḍe|bhedre|||||||||4406
95|*bekaḍ-|cowardly|0|bekaḍyak "(Pat.) fearful, cowardly"||||||||||||5465
96|*bel- (*-a-)|spleen|135||||||bella|||||||3995
97|*ber- (*-r̲-)|solid|142|beriv "(Pat.) solid"||||||||||Also Kolami (Pat.) \Ibedir ereng\i to be numb||5439
98|*bē|mother|0|bē "mother!"||||||||||Also Kolami \Idoo bēk\i mother's elder iister||4426
99|*bil-|cat|140|pilli|||pilli||biley|||||||4180
100|*piṛ-ǯ-|to slip|1279|pirs- (pirist-) "to slip, slide"|||||biṛj- "to be slippery"|||||Also Kolami \Ipirsip-\i (\Ipirsipt-\i) to slide (tr.)||4187
101|*biṛk-|to be startled|0||||||biṛk-|||||||4419
102|*biṭ-/*meṭ-|arrow|865||||||biṭṭa "blunt wooden arrow"|||||Also Parji \Imettaḍ\i id.||4854
103|*bīr-|gourd|143|||bīrā|||bīra "Luffa acutangula"|||||||4224
104|*bob-|to shout|0||||bobalip- "to shout, make a noise, (hen) to cackle"|||||||||4526
105|*boc-|eyebrow; hair|149||||bucuṛa "a knot of hair"||bocca "eyebrow"|||||||4477
106|*bod-el|Butea frondosa|0||||||bodel|||||||4512
107|*boḍm-|mushroom|0||buṛma||||boḍḍa "edible fungus"|||||||4499
108|*boḍr-|bubble|0||||||boḍorka|||||||4485
109|*bog|charcoal|145||bogg||||bog (pl. boggul), bogum (pl. bogmul)||bogge|||||4467
110|*bogur|navel|1297|bogur|||bogur|||||||||4460
111|*bokan-|bucket|0|||bokāne||||||||||4458
112|*bok-|big intestine|0||||||bokka "big intestine, large stomach of ruminants"|||||||4478
113|*bok-, *būl-|bone|146|bokka|||bokka||būla|||||||4528
114|*bokṛ-|to scratch|0|||||bokṛip-||||||||4464
115|*bom-|eyeball|147|bomma|||||kan bomma|||||||4530
116|*bonckur|foam|148|boskur|poŋcur||||poyor|||||||4463
117|*bond-|toddy palm|0|bond||||||||||||4520
118|*bonḍ-k-|throat|0||bonḍka|bonḍka||||||||||4501
119|*bor- (*-r̲-)|hole|154||||||||borra "hole in tree"|||||4604
120|*boṭ-|drop|150|||boṭla|||boṭ|||boṭu "drop, spot"||||4492
121|*bojl-|hemp|0|||boilī||||||||||4535
122|*bōk-, *pod̲r-|to be wet|1299|bōk- (bōkt-) "to become wet"|||bōk- "to become wet"|bōk- "to become wet"|pōd- "to get wet"|pondonḍi "wet"||pod-||Also Kolami \Ibōkip-\i (\Ibōkipt-\i) to wet; Naikri \Ibōkip-\i to make wet; Parji̲S \Ipōy-\i to get wet; \Ipōtip-\i (\Ipōtit-\i) to cause to get wet; Ollari \Ibod-\i to swell; Salur \Ipōc-\i to be soaked; \Ipōdk-\i (\Ipōdt-\i) to soak; \Ipōkp-\i (\Ipōkup-\i) to drench; (P) \Ipodup-\i to make wet||4505
123|*bōl-|to resemble|0||||||||bōl-ēr-|||||4597
124|*bōṛ-|dove|0|bōri|||||bōṛa|||||||4602
125|*bōṛ-|bald|155|||||||||bōṛa||||4600
126|*buḍḍ-|genitals|157|buḍḍe "genitals (male or female, esp. penis)"|buḍḍe "testicles"||||buḍḍa|||||||4266
127|*buḍr-|gourd|1301||||||||buḍrugi kāya|||||4250
128|*bugg-i|ashes, earth|158||buggi "ashes"||||||buggi "earth"|||||4243
129|*buk-l-|cheek|159|pukli|||pukli||bukka|||buggal (pl. buggasil)||||4242
130|*buṛd-|ash|163|būḍdi "(Pat.) ash"|||buṛdi||poṛmil, pormil (?) "rubbish"|||||||4316
131|*burd- (*-r̲-)|mud|161||||||burda "(S) mud"|||burda||||4291
132|*bur-|to kiss|0||||||burr-|||||Also Parji (S) \Iburru\i a kiss||4330
133|*burǯ-|mould|165||||||burj- "to go mouldy"|||||Also Parji \Iburja\i mould||4357
134|*burk|basket|160||purug (obl. purg-)||||||burki "a small kind of basket"|||||4289
135|*bur̲-|pumpkin|156|||burrā|burra "pumpkin, gourd"|putte "gourd"|burri "bamboo spoon, ladle"||buṇḍurke "a kind of gourd"|||Also Parji \Iburka\i gourd||4332
136|*buṭ-|basket|164||||||||||buṭṭu|||4263
137|*būr|hair; eyebrow|162|būr (pl. būḍl) "eyelash, eyebrow, (Pat.) fur"|||būr (pl. būḍl) "down, fine feather"||būḍul (pl.) "hair, fine feathers, down"|||burgul "eyebrows"||||4358
138|*būr-g-|silk-cotton tree|166|būrg śeṭṭ|||||būru||būrje|||||4366
139|*cam-|rotten|206|||||sam- "to be rotten"|cam- "to go bad, become rotten"|sam- "to become rotten"|cammi cen- "to rot (as fruit)"||savur (?) "rheum of the eyes"|Also Parji \Icamip-\i (\Icamit-\i) to make to go rotten||2341
140|*ćap-|a slap|1883||||capaṭ|||||||||2335
141|*Savil, *Sav-kol|mortar, pestle|208||cavli "mortar"||savli "mortar"|savli "mortar"|cavil "mortar"|savul "mortar"|savvul "mortar"|||Also Parji \Icavkol\i (pl. \Icavkocil\i) pestle; Ollari \Isavkol\i, Salur \Isavkōl\i pestle|Irregular \Is-\i in Salur (influenced by Ollari?) or irregular \Ic-\i in Kin.|2391
142|*ćaŋ-|to climb|230|||||caŋgay-||||||Also Naiki \Icaŋgap-\i to make to climb||2285
143|*ćāp-|mat|234||||cāpa||cāp|||||||2452
144|*cārp|thorn|209|sār (pl. sāḍl)|cār (pl. cāḍl)||sār (pl. sāḍḷ)|sār|cāka||cappū|sāp (pl. -ul)|sappu "thorn, spine, spike"||The Parji form is plural: \Icāka\i < \I*cārp-ka\i.|2468
145|*Cedal|white ant|729|sēdāl "white ant (Haig)"|ceda||śedal|||||||||1548
146|*ćek- (*c-?)|to chip; chip of wood|235|sek- (sekt-) "to make pointed (piece of wood)"|cekka "bark of tree"||śekk- "to chip, scrape"|sek- "to plough"|cekk- "to chip, scrape, plane"|||||Also Kolami̲P \Isekka\i bark of tree; Kolami̲Br \Icergu\i to chip off (tr.); Naikri \Iśekka\i bark of tree; Parji \Icekka\i piece, slice, chip of wood|Reconstruction \I*ć-\i agrees more with external data; if so, we should eliminate Naiki \Isek-\i (cf. also the semantics).|2748
147|*Cemp-|temple (of head)|0||cempa "temple"|||||||||||1989
148|*ćep-|flesh|261|||||cep, ceppu "flesh, meat"|cep (pl. ceppul) "flesh, game"|seppul "(pl.) meat, game"||||||2773
149|*cer̲- (*-r-)|tank|0||ceru|||saru|ceru|||||||1980
150|*ceṭ|bush, tree|566||śeṭṭ, ceṭṭ "bush, small tree"||śeṭṭ "tree"|seṭ(ṭ), saṭṭ "tree"||||||||1941
151|*ćin-|small|246|sinnam "small, young, younger"|cinni|sinnam "small, young, younger"|śinna(m) "little"||cin "little (in a text: \Icin cin dīṛa ney\i just a little castor oil)"|sini vande "little finger"|cinḍu, sinḍu (pl. cinḍīl, sinḍīl) "son"|||Also Parji \Icind\i, (NE) \Icinḍ\i son; Ollari \Isinḍ\i son; Salur \Icin makil\i children||2594
152|*cint-|evening|247|sittenāṭluŋ "in the evening"||cintevelā|śitte||citta "night"|||||||2528
153|*ćipar-|rib|0|||||ciparta ḍokka "rib bone"||||||||2532
154|*cir|day|183|siḍ "day (\Iok siḍ\i one day; \Iā siḍ\i that day)"||ājīr "that day, day before yesterday"|śir "day (\Iok śir\i one day; \Iāśir\i that day, day before yesterday; \Iēśir\i when?)"|accir "day before yesterday"|ciric|siris|||sirin "on a particular day"|Also Kolami̲SR \Iejīr\i when; Kolami (Pat.) \Iašiḍ\i day before yesterday||2553
155|*cīkaḍ|darkness|185||cīkaṭi|cīkaṭ "dark"|||cīkoḍ (pl. cīkocil) "darkness, night"|sīkaṭ|cīkaṭ|||||2604
156|*cīḷ- (*cuj-ḷ-?)|to rise|0|sūl- (sūlt-) "to get up, wake up"||sull-, sul- "to get up"|sūḷ-|suy- "to be raised"|culp- (cult-) "to rise, get up"|silp- (silt-)|cil-, cinḍ- "to get up, rise (as pain)"|||Also Kolami \Isūlp-\i (\Isūlupt-\i) to make to get up; Kolami̲SR \Isulp-\i to lift; Naiki \Isup-\i to raise, lift; Parji \Icunṭip-\i (\Icunṭit-\i) to raise; Ollari \Isinḍup-\i (\Isinḍut-\i) to make to rise, lift; Salur \Isilk-\i to wake up, rise (as pain)||2742
157|*ćīr-|chironji tree|1464||cīre|sire|śire||cīr "chironji nut"|||||||2628
158|*cod̲-|to send|0|||||sor-|codp- (codt-)|soyp- (soyt-)|cōy-||soyp- (soyup-)|||2866
159|*cuḍ-|to cook, bake|738|suḍ- (suṭṭ-) "to cook"|cuṛ- "to bake (bread)"||suṭ- "to roast"|suṛ-/suḍḍ- (suṭṭ-) "to fry"||||||||2654
160|*ćuk-|star|196|sukka|||cukka|cukkin|cukka||cukka "drop of rain"||sukka|||2646
161|*ćum-|head-pad|739||||cumma "pad on head for carrying"||cumṭal "carrying pad on head"|||sumṭal "head-pad for carrying loads"||||2677
162|*cup|salt|218|sup|||supp|sup|cup|sup|cuppu|||||2674
163|*cur-|whirlwind|1434||curagāli||suraghāḷi|||||||||2743
164|*curnd (*-r̲-)|bee|200|surund (obl. surnd-) "honeycomb"|curund "sp. bee"||surund "bee, honey"||curud, curdi (\Istem\i curd-) "sp. bee"|||||Also Kolami \Isurunt potte\i bee; Kolami̲Kin \Icurund taṭṭa\i honeycomb||2689
165|*ćurp-|to suck|1927||||curpip-|||||||||2712
166|*cuṭ-|to wind|202|suṭ- (suṭt-) "to wind (turban) (< Telugu)"|||suṭṭ-||cutt- "(S) to wind round"||cuṭṭ- "to roll up"|||Also Naikri \Icuṭṭa\i leaf-pipe||2715
167|*Cā-|to die|728||||||cay- (cañ-)|say- (sad-, san-)|cay-||sā- (sāg-, say-)|Also Parji \Icāñ\i corpse||2426
168|*Cel-|younger sister|236|sellay|||||cālal (pl. cālacil) "sister"|sēlal (pl. sēlasil) "sister"|cellāl (pl. cellāsil) "sister"|||||2783
169|*Cen|head of paddy|210||cen||śen (pl. śenkuḷ) "head of jowar"||cen||cennu "ear of corn or paddy"|sen "ear of corn or paddy"||||2798
170|*Cen-/*Ce-|to go|1395|ser- (also stems sa-, se-; past sedd-)|||ca- (caṇḍ-, cam-)|ser-/sen-/se- (sedd-) "to go, creep"|cen- (cend-)|sen- (sey-, senḍ-)|cen- (cey-)|||Also Kolami \Iserp-\i (\Iserept-\i) to let (cattle) get lost; Naikri \Iśer-\i (\Iśedd-\i) to go||2781
171|*Cēr|plough|211||cēr "plough and team of bullocks"||||cereyakul "(pl.) pair of bullocks"|||||Also Parji \Iīrer\i two pairs of bullocks; \Imuccer\i three pairs of bullocks; \Inel cer\i four pairs of bullocks; \Icē̃jer\i five pairs of bullocks||2815
172|*Cīnd-|to blow the nose|187|sindeng "(Pat.) to blow the nose"|||||tī̃d- "to clear the nose"||cīnd-|sīnd-|sīnd-|||2618
173|*Cinḍ-|a k. of rat|198||cinḍrag "musk-rat"|||||||||||2661
174|*Cinp|bracelet|0||||||cī̃dup (pl. cī̃dpul) "bracelet (of men)"||cinup (pl. cinpul)|sinup (pl. sinpul)||||2531
175|*Cir|buffalo|0|sir (pl. siḍl) "female buffalo"|||śir "female buffalo"|sir "buffalo, she-buffalo"|cir (pl. cirkul)|sir (pl. sirkil)|cirru (pl. cirkil)|||||2554
176|*CirmUl|sambar|0||||||cirmol (cirmocil), (S) cirmul|sirmul|cirmul|||||2555
177|*Cit-|to butt, gore|240|sit- (sitt-) "to thrust into hole, gore"|||śitt- "to pierce with horns"||citt- "to butt with horns, gore"||citt- "to insert (as flowers into a braid)"|sit- "to gore with horns"|sit- "to pierce"|||2527
178|*Cīr-|a k. of rat|215||||||cīr el "bandicoot"||cīrel "rat"|||||2630
179|*Cop-|millet|190||coppa "stalk of millet"|||||||||||2847
180|*Cōg-|leaf of peacock|195||cōga namli "male peacock"|||||||||||2875
181|*Cōr-|to be spilled|191|||curīpeŋ "to strain"||tōriy- (tōrilt-)|cōrp- (cōrt-) "to strain off water from boiled rice"|sōrp- (sōrt-) "to pour"|cōr- "to pour (of water)"|||Also Parji (?) \Icōp-\i to overflow||2883
182|*Cunc-|crest, top|266||cuncur "crest of cock"||||cucurka "topknot"|||||||2651
183|*Cup-k-|to suck|217||||||cūk-, cūv-||cupk- (cupt-) "to suck, smack"|||||2621
184|*Cūl-|children|203|sūla "pair-word for \Ibāla\i (\Ibāla sūla\i children)"|||||||||tūl "pregnancy (of animals)"|||2733
185|*Cūṛ-|to see|258||||||cūṛ-|sūṛ-|cūḍ-||sūḍ-|||2735
186|*daḍ-|female|0||||||ḍaḍḍa "female of animals and birds"|||||||3044
187|*daḍ-p-|good|272|||daḍpā|dhaṛapa|||||||||3020
188|*ḍag-|to cough|0|dag- (dakt-)|ḍag "a cough"|ḍagg-|ḍhag-|||||||||2939
189|*danḍ-|upper arm|269||danḍa||danḍ, ḍanḍ||ḍanḍa|||||||3048
190|*dan-|content|0|danit "(Pat) content"||||||||||Also Kolami (Pat.) \Idaniyeng\i to have eaten enough||3045
