NUMBER|PROTO|MEANING|PRNUM|TEL̲1|TEL̲2|TEL̲3|TEL̲4|TEL̲5|TEL̲KR|TEL̲INSCR|MEROLU|ADDITION|NOTES|DEDNUM
66|*aḍādiḍ-|froward, perverse|0|aḍḍādiḍḍi||||||||Also (K., coll.) \Iaḍḍadiḍḍam\i zigzag||94
67|*aḍḍig-|(pl) ornament worn round the neck by women|0|aḍḍigalu||||||||||95
68|*anṭ-|to stick or adhere to, smear or rub over|52|aṇṭu||||||||Also \Iaṇṭincu\i to cause to adhere, attach, paste; \Iaṇṭa\i leaves stitched together so as to serve as a platter for eating on; \Iaṇṭã-gaṭṭu\i to join together, tie up; \Iaṇṭasil(l)u\i to touch, meet; \Iaṇṭrinta\i burgrass||96
69|*aṭṭ-a|sole of shoe or slipper, hide or leather, cardboard|79|aṭṭa||||||||||98
70|*aṭ-a|a headless trunk|0|aṭṭa||||||||||100
71|*aḍḍug-a|two-anna piece, half of a fanam|0|aḍḍuga||||||||||104
72|*aḍ[ḍ]-a|a dry measure|0|aḍḍa||||||||||105
73|*aḍ[ḍ]-a|the tree Bauhinia racemosa|0|aḍḍa||||||||||106
74|*ḍa-pi|thirst|7|ḍappi|dappi|dappika||||||||109
75|*aṇak-|(SAN, VN) to ridicule|0|aḍakincu|aṇakincu|||||||Also (SAN) \Iaṇakamu\i ridicule||111
76|*aṇ-aŋ-|to yield, submit, be humbled|1880|aṇãgu||||||||Also \Iaṇãcu\i to suppress, humble, subject; \Iaṇãkuva\i humility, modesty, submissiveness||112
77|*an-i|battle, war|0|ani||||||||||117
78|*anem-|prow (comm. by Prof. K. S. R. Sharma)|0|annemu||||||||||118
79|*an-aŋ-|to mix or mingle freely|0|anãgu||||||||Also \Ianũgu\i beloved, dear, desired, a friend||120
80|*anṭ-|to touch; n. touch, uncleanness, defilement by touch, impurity, pollution|51|aṇṭu||||||||Also \Iaṇṭalu\i (pl.) crowd, crowds; \Iaṇṭincu\i to unite, join; \Iaṇṭagu\i to be in menses, menstruate; \Iaṇḍa\i nearness, support, assistance, protection, patronage||120
81|*an-a|bank or dam|55|ana||||||||||122
82|*anḍ-|support|0|aṇḍa||||||||||123
83|*anḍem-|one pannier or pack, half of a bullock load|0|aṇḍemu|aṇḍiyamu|||||||Also \Iaḍigamu\i a sort of pannier||127
84|*ann-|elder brother; termination of names of men|54|anna||||||||||131
85|*an-|a woman|0|annu||||||||||132
86|*ad-um-|to press, squeeze|6|adumu|||||adumu|||Also \Iadumuḍu\i pressing, squeezing, pressure||133
87|*adanam-|exceeding, much, great, excessive, too much|0|adanamu||||||||||136
88|*adar-|to tremble, shake, quake, shiver; n. trembling, shaking, tremor|4|adaru||||||||||137
89|*adal-|to start, be alarmed or afraid|0|adalu||||||||Also [1] \Iadalincu\i, [2] \Iadalucu\i, [3] \Iadalupu\i, [4] \Iadalpu\i to frighten, rebuke, reproach; [1] \Iadalupu\i, [2] \Iadalpu\i frightening, rebuke; \Iadiri-paḍu\i to start, be alarmed; \Iadiri-pāṭu\i a start, alarm; adv. suddenly, unexpectedly||137
90|*adaṭ-|pride, arrogance, presumption|0|adaṭu||||||||||140
91|*att-|mother-in-law, father's sister, maternal uncle's wife|76|atta||||||||||142
92|*at-i|Ficus glomerata|78|atti||||||||||144
93|*at-|to be attached or joined|77|attu||||||||Also [1] \Iatuku\i, [2] \Iaduku\i to join, unite, solder; to suit, be fitting; n. junction, union, joint, patch; \Iatikincu\i to join, unite, cement, solder||145
94|*ada-m|mirror, pane of glass|0|addamu||||||||||147
95|*and-|to reach at, take with the hand, obtain, gain, suffer, feel, be within reach|0|andu|||||andu "to hand in, hand over"|||||149
96|*andug-|clearing nut plant, Strychnos potatorum|50|andugu|indugu|||||||||151
97|*aparanǯ-i|fine gold|0|aparañji||||||||||152
98|*app-am|a kind of sweet cake|57|appamu||||||||Also [1] \Iappaci\i, [2] \Iappacci\i a cake||155
99|*app-|father; mother; elder sister; frequently added to names of men as a term of common respect|56|appa||||||||||156
100|*apaḷ-|to slap, touch, tap, strike gently with the open hand, smear, apply|0|appaḷincu||||||||Also \Iappaḷinta\i slapping, etc.; \Iappaḷamu\i clapping, flapping, striking||157
101|*amanǯ-i|(B) unpaid labour, drudgery|0|amanji|aminji|amiji||||||||159
102|*am-aj-/*am-ar-|to be useful or serviceable|45|amayu||||||||Also [1] \Iamaraŋgā\i, [2] \Iamara(n)\i properly, fitly, duly, agreeably; \Iamarika\i fitness, suitability, appropriateness; \Iamaru\i to suit, be fit, suitable, or agreeable, be prepared or ready; [1] \Iamarincu\i, [2] \Iamar(u)cu\i to prepare, make ready, adjust, arrange, provide||162
103|*amara-m|stern of a boat|0|amaramu||||||||||163
104|*an-c-|to oppress, afflict|44||||||ancu|||Also (K) \Iavukku\i to yield to pressure; adj. weak (of wall or soil)||169
105|*ambal-|porridge, pap|42|ambali||||||||Also \Iambakaḷamu\i id.||174
106|*ambār-|(B) a tick which infests animals|0|ambāra-piṇuju||||||||||176
107|*amb-|arrow|41|ambu|ambakamu|ammu||||||Also \Iampa-\i id. (in compounds); \Iampar̲a\i (pl.) arrows; \Iampakā̃ḍu\i archer||178
108|*ǯābil-|moon|0|jābili|jābilli|||||||||179
109|*amb-|to crawl|0||||||||ambāḍu|||180
110|*aman-|game in which a number of balls are thrown in the air, one being caught in the hand descending whilst others are rising|0|ammanalu|ammanamulu|||||||||182
111|*amm-|mother, matron; hon. title of woman; interj. expr. surprise|43|amma|ama|||||||Also [1] \Iammāyi\i, [2] \Iammi\i girl||183
112|*am-|to sell, vend|0|ammu||||||||Also [1] \Iammakamu\i, [2] \Iammuḍu\i sale selling||186
113|*ajj-|father|117|ayya|aya|||||||||196
114|*arus-|king|0|arusu||||||||||201
115|*rāv-i|Ficus religiosa|65|rāvi|rāgi|||||||||202
116|*araṇa-m|a gift of money to a daughter and son-in-law at the time of marriage|0|araṇamu||||||||||203
117|*aranṭ-i|plaintain tree, banana tree|0|araṇṭi|arãṭi|araṭi|||anaṇṭi, anãṭi, aṇṭi|||||205
118|*aral-|to spread (as a creeper), creep|0|allu|||||aralu|||||207
119|*rāḍ-|post, pillar|0|rāḍu||||||||||211
120|*aris-e|a sweetmeat made of rice, flour, and jaggery|66|arise|||||arise|||||215
121|*ar-|tax, tribute|0|ari||||||||Also \Iaruvu\i to pay as taxes; n. a loan of grain, etc., purchase or sale on credit; \Iaccu\i to be in debt, owe, incur or suffer loss; \Iaccu-konu\i to pay, pay what one is not bound to pay; \Iaccu-dala\i debt; \Iaccika\i deficiency, want, defect; \Iappu\i loan||216
122|*ar-ud-|rare, scarce, excellent; n. rarity, marvel, surprise|64|arudu||||||||Also \Iarudandu\i, \Iarudu-paḍu\i to wonder; \Iaridi\i rare, uncommon, difficult, impossible, wonder, surprise, astonishment||221
123|*ar-ug-|to go, pass (of time), come, proceed, walk|63|arugu|||||arugu|||Also \Iar̲u\i nearness; \Iar̲uta(n)\i, \Iaruta(n)\i near, close by; \Iarudencu\i to come, go||222
124|*arul-|tenderness, affection, fondness|0|arulu||||||||||227
125|*r-āj-|to be rubbed|58|rāyu||||||||Also [1] \Irācu\i, [2] \Ir̲ācu\i to rub, grind, smear; \Irāp-āḍu\i to rub against each other; [1] \Irāpiḍi\i, [2] \Irāpu\i, [3] \Ir̲āpu\i, [4] \Irāpuḍu\i rubbing, friction, filing; \Irā-poḍi\i filings; \Irāyiḍi\i rubbing, friction; \Iāku-r̲āyi\i file; ? [1] \Iragulu\i, [2] \Iravulu\i to be kindled, take fire, burn, flame; ? \Irā̃ju\i id., (K. also) (smoke) comes out as an indication of the forming of fire, grieve; [1] \Iaravaralu\i, [2] \Iar̲avar̲alu\i bits, fragments; \Iaravuḍu\i a bit, fragment||228
126|*ar-a|half, a moiety, incomplete, not full|61|ara||||||||Also \Iar̲a\i half, a moiety||229
127|*abb-|to be acquired, gained, come into one's enjoyment, possession, or reach|0|abbu||||||||||232
128|*rāl-|to fall or drop down (of leaves, tears, etc.)|59|rālu||||||||Also [1] \Irāl(u)cu\i, [2] \Irāl(u)pu\i falling or dropping down, causing to fall or drop down||233
129|*al-a-|to be tired, be disgusted|34|alayu||||||||Also \Ialayincu\i to weary (tr.), overwork, disgust; \Ialãgu\i to be displeased, take offense, grieve; \Ialãcu\i to tease, harass; \Ialãta\i fatigue, exhaustion, grief, pain; \Ialãduru\i to grieve; n. grief, sorrow; [1] \Ialakuva\i, [2] \Ialapu\i, [3] \Ialayika\i fatigue; \Ialajaḍi\i sorrow, affliction, grief, calamity; \Ialamaru\i to grieve, sorrow, (K. also) be tired; \Ialamaṭa\i grief, sorrow, affliction; \Ialamaṭincu\i to grieve, sorrow; \Ialasaṭa\i weariness, fatigue, exhaustion; \Ialipiri\i lean, thin, weak; \Iallari\i tumult, confusion, quarrel; \Ilampaṭa\i trouble, (B also) pain, weariness; \Ilampaṭũḍu\i one who is attached to or fond of, a libertine (< Skt?)||236
130|*alug-|tip of an arrow, sword|0|alũgu||||||||||237
131|*al-|a wave, surge, billow, ripple|30|ala||||||||Also [1] \Iallalāḍu\i, [2] \Iallallāḍu\i, [3] \Iallāḍu\i to move, shake, tremble; \Iallārucu\i to shake (tr.), move, wave, agitate||240
132|*alacandal-|a kind of pulse, Dolichos sinensis|0|alacandalu|alasandelu|alasandiyalu||||||||242
133|*ala-m|weeds|0|alamu||||||||||244
134|*al-|noise, sound, disturbance|0|alikiḍi||||||||Also \Ialabalamu\i outcry, noise, uproar||245
135|*al-|to smear, (B) to wash|31|alamu||||||||Also \Ialãdu\i to smear, daub, apply; \Ialuku\i to smear the floor of a house or a mud wall, etc. with macerated cowdung||246
136|*alar-|to open as a flower, expand, shine, glitter, rejoice; n. a flower, blossom, (K. also) splendour, joy; splendid|27|alaru|||||alarcu "to blossom"|||||247
137|*alar-|to shine, glitter; suit well, be proper, fit; rejoice, be pleased|0|alarāru||||||||Also \Ialarincu\i to please, gratify||248
138|*ala-|to be accustomed, be practised in; become a habit|0|ala-vaḍu||||||||Also \Iala-varincu\i to practise, learn; habituate, teach; \Iala-var̲ucu\i to habituate, teach; \Iala-vāṭu\i habit, custom, practice; habitual||249
139|*all-i|the water plant called Nymphaea alba|0|alli||||||||||256
140|*all-i|(B, quoting Roxb.) Memecylon edule|33|alli||||||||||257
141|*all-|bow-string|0|alliya|alle|||||||||259
142|*all-|to plait, braid, weave, wattle, intertwine, compose, fabricate|28|allu||||||||Also \Ialluḍu\i plaiting, braiding, netting||260
143|*āval-|trouble|113|āvali||||||||Also \Iāvaḍi\i trouble, danger, calamity||265
144|*avi-|to be destroyed|83|aviyu||||||||||267
145|*avir-i|indigo plant, Indigofera tinctoria|0|aviri||||||||||269
146|*avv-|mother, grandmother, an old woman|82|avva||||||||||273
147|*aḍal-|to grieve, be sorry; n. grief, misery|73|aḍalu||||||||Also \Iaḍaru\i grief; (B. K.) to burn, shine||276
148|*aṛV-|damage, harm, injury, loss|17|ḍakkā||||||ṛaccu "to destroy"||Also \Iaḍiy-āsa\i vain hopes; \Iaḍuva\i, (coll.) \Iaḍava\i old, damaged (as goods); \Iḍappi\i destruction, ruin; (inscr.) \Iṛassi\i infringing; \Iaṛisina\i which destroys; \Iaṛipuṭa\i n. causing destruction||277
149|*akkar̲-|desire|74|akkar̲a||||||||||281
150|*ēḍ-|to cry, weep, lament, shed tears|459|ēḍucu||||||||Also \Iēḍupu\i weeping, crying, lamentation||282
151|*add-|to dip, dye, print with colours; (B also) to press gently, blot (ink)|75|addu||||||||Also \Iaddakamu\i chintz-printing, dying with colour; \Iaddincu\i to get or have dyed||285
152|*alav-|power, ability, possibility, practicability|37|alavi||||||||Also \Ialavu\i power, ability, strength, exertion; \Ilāvu\i strength, power, ability, bigness, fatness, corpulence, robustness; adj. big, large, stout, corpulent, robust||291
153|*alV-|measure, extent|35|alavi||||||||Also \Ilāvu\i dimensions, magnitude||295
154|*lā-/*al-a-|(B) to approach|40|lāyu|||||lāyu "to approach"|||Also \Ialamu\i to seize, lay hold of, take; (K. also) mix with, be one with||296
155|*aḷa-m|saltpan, salt-works|0|upp-aḷamu||||||||||299
156|*lā-|to long for, desire|0|lā̃cu|||||lā̃cu|||||301
157|*alak-i|an earthen pot|0|alaki||||||||||303
158|*al-|to be angry or displeased, take offence|0|alugu|aluvu|||||||Also [1] \Ialuka\i, [2] \Ialukuva\i anger, displeasure||304
159|*al-uk-|to sprinkle, scatter (rice, etc., in a net to lure birds)|36||||||aluku|||||305
160|*al-uk-|to be afraid; n. fear, dread|39|aluku||||||||Also \Iaḷuku\i = \Ialuku\i n.; \Iaḷukari\i coward||306
161|*alam-|to spread, extend|1931|alamu|||||alamu|||Also \Ilā̃ncu\i to spread (intr.); n. \Ilā̃pu\i||307
162|*lā-ŋ-|hole, burrow|38|lā̃ga||||||||||308
163|*ar̲-|palm of the hand|69|ar̲a-cēyi||||||||Also \Iar̲a-kālu\i sole of the foot||310
164|*ar̲av-|Tamil language|0|ar̲avamu||||||||Also \Iar̲avalu\i Tamilians||313
165|*er̲-|to know, understand, perceive|458|er̲ũgu||||||||Also [1] \Ier̲uka\i, [2] \Ier̲ukuva\i knowledge, understanding; \Ier̲uku\i gypsy, fortune-teller||314
166|*ar̲[V]-|to be destroyed, decrease|70|ar̲u||||||||Also \Iar̲a\i defect, incompleteness; \Iar̲agor̲a\i defect, deficiency; \Ir̲akku\i, (K. also) \Irakku\i to scratch; n. scratching||315
167|*ar̲-ug-|to digest or undergo digestion, wear away, waste away, decrease|72|ar̲ugu||||||||Also \Iar̲upu-konu\i to digest; \Iar̲akamu\i, \Iar̲ukuva\i indigestion||316
168|*ar̲-u-|to keep, preserve, secure|0|ar̲upu||||||||||317
169|*ar̲-a|rag|0|ar̲a||||||||||318
170|*ar̲-a-|to cry or cry out, shout, clamour, shriek, bark, bray, crow, bellow|68|ar̲acu||||||||Also \Iar̲apu\i a cry, shriek, yell, shout, clamour; \Ir̲aŋke\i roar, cry; \Ir̲antu\i noise; \Irajju\i useless talk; (B) vb. to be talkative, prattle; n. boast||319
171|*r̲āj-i|(stem \Ir̲ā-\i, \Irā-\i) stone, rock|71|r̲āyi|rāyi|||||||Also \Ir̲appa\i a small stone||321
172|*ar̲-a|room, chamber, partition or division|0|ar̲a|ar̲r̲a|||||||||322
173|*an-uv-|fitness, convenience, means, contrivance; suitable, fit, convenient|48|anuvu||||||||||328
174|*an-/*amp-|to send|47|anucu|ancu|anupu|ampu|||||Also \Iampakamu\i sending away, dismissal, permission to go or leave||329
175|*a-|(\Iayi\i having become; allomorph \Ikā-\i) to be, become, prove to be, be done, be fit, be agreeable; adj. which is|95|agu|avu|||||||Also \Iayite\i possible, which may be or can be done, convenient; n. possibility, convenience; \Iayina\i which is or has become, agreeable, suitable; \Iavunu\i yes; \Ikāni\i bad, wrong; \Ikādu\i no; \I-gā\i adverbial suffix; \Ikāvincu\i to do, make, perform, produce, cause to be done||333
176|*āv-|cow|94|āvu (\Iold pl.\i ālu)||||||||Also \Iā̃-dōka\i the shape of a cow's tail, a tapering form; \Iā̃basi\i cow; \Iā̃-bōtu\i bull; \Imodavu\i milch cow (Su. 1973, p. 41)||334
177|*āk-|leaf, petal; (VPK also) seedlings of paddy for transplantation|92|āku||||||||||335
178|*āŋ-|order, command, prevention, custody|116|ā̃ka||||||||Also \Iā̃kaṭṭu\i to check, prevent; \Iā̃gu\i to stop, stay, be suppressed or stopped, refrain; prevent, stop, prohibit, (B also) keep, tend, guard, gather as a flock; \Iā̃gincu\i to check, hinder; \Iā̃cu\i to check, hinder, prevent, subdue, keep under control; \Iā̃pu\i to hold back, restrain, stop, prevent; n. stoppage, cessation; \Iaŋkili\i obstacle, impediment||340
179|*as-|small, slender|111|asadu||||||||Also \Iasi\i slight; \Iasi-gāyamu\i a slight or superficial wound; \Iasĩ-bōvu\i to glance off, pass without striking or wounding; (B) \Iasi-vāru\i a gentle walk, stroll; (VPK) \Iasi-mēpu\i, \Iasi-nemaru\i, \Iasi-mēta\i cattle-disease symptom: eating small quantities of grass||341
180|*aḍasara-m|a medicinal shrub, Adhatoda vasica|0|aḍḍasaramu||||||||||346
181|*āḍ-|to play, sport, act on the stage, dance, move, shake, totter, vibrate, throb, play, work, speak, abuse|91|āḍu||||||||Also \Iāḍincu\i to amuse, cause to play, cause to move, shake; \Iāḍika\i evil talk, scandal; \Iāṭa\i play, game, dancing, acting on the stage, jest, gambling; \Iārcu\i to shake (tr.), move, (K. also) cause to say||347
182|*āḍel-|night hawk|0|āḍelu||||||||Also \Iāḍēlu\i night hawk, (B also) Turdus ginginianus||349
183|*ānVg-|the creeper Cucurbita lagenaria, the bottle-gourd creeper|0|ānugamu|ānugu|ānapakāya||||||Also (VPK) [1] \Iānaga\i, [2] \Iānuga\i, [3] \Iānigem\i, [4] \Iāngem\i, [5] \Iāngepukāya\i, [6] \Iānaba\i = \Iānugamu\i||351
184|*anḍar-|religious mendicants of the Saiva sect|0|||||||aṇḍarulu||||356
185|*āmdam-|castor-oil plant|102|āmudamu||||||||||360
186|*t-āj-|mother|25|tāyi||||||||||364
187|*āj-|readiness, preparation; ready|0|āyitamu|āyittamu|||||||Also \Iāyatte\i boundary, limit; \Iāyakaṭṭu\i rate, standard||366
188|*ār-|to cry aloud, shout, roar|106|ārcu|ārucu|||||||Also \Iārpu\i a cry; \Iārbhaṭamu\i, \Iārbhaṭi\i cry, roar, yell, uproar||367
189|*ār-|to become full, be satisfied|109|āru|||||āra- "fully, thoroughly"|||Also ? \Iānu\i to eat, drink||368
190|*ān-|to put on, wear|107|ānu||||||||||369
191|*ār-|Bauhinia spicata|0|āre||||||||||372
