NUMBER|PROTO|MEANING|PRNUM|KUI|KUTTIA|KUWI̲F|KUWI̲S|KUWI̲SU|KUWI̲P|KUWI̲T|KUWI̲D|KUWI̲MAH|KUWI̲ISR|ADDITION|NOTES|DEDNUM
11|*aR-|to be seemly, be proper, be fitting, be suitable, suit, fit, agree, fulfil; n. suitability|6|abga (< ag-b-; agd-)||||||||||||325
12|*aǯ-|to fear|0|aja (aji-) "to fear; fear, dread"||ajjali|ajinai|||||||Also Kui \Iaska\i (\Iaski-\i) pl. action; \Iaji\i fear, terror; \Iajanjāpa\i, \Iajansāpa\i danger, peril, terror; \Iaspa\i (\Iast-\i) to cause to fear; Kuwi̲F \Iajji\i fear|In Kuwi̲S we should have expected \I*ajjinai\i; lack of gemination occurs also in a similar example   (see 5329).|55
13|*akaǯaka|to be dumbfounded, confounded, confused through fear and awe|0|akajaka āva|||||||||||Expressive.|20
14|*akal-|rinsing|0|akali|||||||||||Isolated form with bad SDR parallels.|246
15|*ak-|grandfather|8|ake "grandfather, ancestor"|||akku|||||||Also Kui \Iakenja\i grandfather||24
16|*ale|term of affection addressed to a child|0|ale|||||||||||Expressive.|251
17|*al-|to plait, weave|9|alpa (alt-) "to weave sticks together into fence, interlace, plait, intertwine"|||allinai "to intertangle, plait"|al- (-it-) "to plait (hair)"|||||||Conjugation types do not match here: Kui points to PK \I*-p-\i, while in Kuwi there are no traces of this suffix. Both forms may be original.|260
18|*alg-|tidy, clear|0|alga||||||||||Also Kui \Ialga āva\i to be tidy, clear, be delivered of a child||261
19|*algu|rice obtained from paddy without boiling it|0|algu|||||||||||Possibly borrowed from Telugu.|255
20|*aḷ-nǯ-|to sprinkle; to bail out|10|lānja (lānji-) "to sprinkle, scatter around; n. sprinkling"|lanj- "to bail water with hands"|rānjali "to bail out"|lanjinai "to scatter, speckle"|ṛanj- "to bail out (pool, by sprinkling action)"|||||||Vowel lengthening in Kui and Kuwi̲F is secondary, as shown by external data; the reasons of this, however, are unknown.|305
21|*am-a|maternal relation|11|ama, amali, amadi "father's sister, maternal uncle's wife, lady"||amma "paternal aunt"|amma "aunt, mother-in-law"|||||||||183
22|*amba|there|1|āmba|||||amba|||||Also Kui̲Letchmajee \Iamba\i there.|At least three Kui lexemes with initial PK short \I*a-\i before consonant clusters got an irregular  vowel lengthening: \I*amba\i there, \I*ambu\i arrow, \I*arg-\i to digest (as well as at least one lexeme before a simple consonant: \Iāpo\i son < \I*ap-\i). The first two of them,  however, have variants beginning with a regular short vowel. The reason of such a lengthening is  somewhat unclear, but it can hardly be explained as a misspelling. This phenomenon is undoubtedly closely related to the development \I*aCC-\i (where CC is a geminated consonant) > \I*āC-\i; this development, of course, can be active only in expressive lexics or borrowings, since there are no original geminates in Kui (nor in PK). Cf. Kui \Iāgal\i 'many, much', borrowed from Telugu \Iaggal-\i (note that Khuttia has \Iaggeli\i), where loss of gemination is compensated by vowel lengthening, or, more probable, Telugu gemination is interpreted as vowel length. Expressive \Iā-\i can be present in \Iāmba\i 'there' and \Iāpo\i 'son'.|1
23|*ambeli|porridge prepared with ragi flour|12||||||||||ambeli|||174
24|*amb-u|arrow|13|āmbu (pl. āpka) "arrowhead"||ambū (pl. apka) "arrowhead"|ambu "bow"|ambu (pl. apka)|||||ambu (pl. apka)|Also Kui (Friend-Pereira) \Iambu\i arrow|Winfield has an extremely strange \Iā-\i which is not supported neither by Kuwi forms, nor by external data, nor even by the Friend-Pereira grammar. One of the possible explanations is compensatory lengthening in the plural (resulting from \I*-mbk-\i > \I-pk-\i) which by analogy has been generalized.|178
25|*anḍ- (caus. *aṭ-)|to join, unite|14|||andali "to aid"|andinai "to join, meet"|||anḍ- (-it-) "to join, unite with"||aṇp- "to agree"|aṇḍ- (-it-) "to mix (intr.)"|Also Kuwi̲F \Iaṇḍatasi\i partner; \Iandivi aiyali\i to be friendly; Kuwi̲F \Iantū\i menses; Kuwi̲S \Iaṭhinai\i to add; Kuwi̲Isr \Iaṭ-\i (\I-h-\i) to mix (tr.)|Both Kuwi̲F \Iaṇḍatasi\i and \Iantū\i are probably borrowings. Kuwi̲S \Iandinai\i is probably  misspelled (\I*anḍinai\i should be expected; only one such case). The same problem arises with Kuwi̲S \Iaṭhinai\i: retroflexes are extremely rare in this dialect, and we should expect (at least, in the transcription), a simple dental. This way, the retroflex here is either misspelled or, if the word itself is a new borrowing or influenced by some other dialect or language, probably obligatory in a relatively new word-formation.|120
26|*ap-|grandmother|0||||appa|||||||||156
27|*apka|only|15||||||||||apka|||153
28|*arg-|to digest|16|ārgagāṭi giva "to assimilate one's food"|||||||||arg- (-it-) "to be digested"||Vowel length in Kui is irregular (although cf. DED 178).|316
29|*arn-a|grain, crop|17||||arna "corn, grain"|arna "crop, cultivation"|||||arna "crop, harvest"|||315
30|*as-|to seize|17|ahpa (aht-) "to hold, seize, take, accept, capture, contain"||assali "to hold, catch"|ah'nai "to seize, catch"|ah- (ast-) "to seize, take hold of"|ah- (ast-) "to seize, take hold of"|||||||51
31|*at-|grandmother|18|ata (atali)|||atta "aunt"||||||atu|||142
32|*a[n]ṭ-|to be stuck|19||||attinai "to inhere"|aṭ- (-it-) "to get stuck"|||||aṭ- (-it-) "to get stuck"|Also Kuwi̲S \Iatti kīnai\i to paste||96
33|*aṭ-|to catch fire; to heat|20|aṭa (aṭi-) "to heat or boil a liquid"||||aṭ- "to catch fire"|aṭ- "to catch fire"|||||Also Kui pl. action \Iaṭka\i (\Iaṭki-\i)||76
34|*av-a|female relation|21||ava  "elder brother's wife"|awa "sister-in-law"|||||ava "elder brother's wife"||||In Kuwi̲F \I-v-\i would be expected, since \I-w-\i usually goes back to epenthetic \I*-w-\i; probably a misspelling or positional variant.|273
35|*aj-/*jaj-|mother; woman|22|aia, aiali, aja, ia, ija, ijali "mother, woman"||īya "mother"|īya "mother, woman"|aya (pl. -ska) "woman"|aya (pl. -ska) "woman"||||āya (pl. -ska/-sika) "woman, wife"|Also Kuwi̲F \Imāiya\i my mother, \Imāya\i your mother; \Iaiya\i woman; Kuwi̲S \Imāyia\i my, our mother, \Imīya\i your mother; Kuwi̲Su \Iiya\i (pl. \I-ska\i) mother; \Imīya\i your mother|The forms \I*aya\i and \I*yaya\i actually had different meanings in PK  (as well as in PDR) -     'woman' and 'mother' respectively. However, in modern dialects they have been  often contaminated,     as in Kui. Moreover, some Kuwi dialects have inherited PDR possessive forms, or,  rather, the     tendency of their "possessivisation": the form \Imāiya\i goes back to \I*mā-yaya\i 'us +  mother',      while  Kuwi̲F  \Imāya\i and Kuwi̲S \Imīya\i go back to \I*mī-yaya\i 'you +  mother'.  The initial     \I*y-\i in the form for 'mother' has to be postulated principally because of different vocalism   in     these    two  forms (cf. PK \I*yamb-\i > Kuwi̲F \Iamb-\i, Kuwi̲S \Iimb-\i). In Kuwi̲F  \I*yaya\i >  \I*īya\i (and not \I*āya\i, which would have been regular) because of the influence of  the following  \I-y-\i (like \I*yambi\i > \Iimbi\i because of the following \I-i-\i). In   Kui  the   variants   \I-i-\i  and  \I-j-\i  seem to be free; the variant \I-j-\i should be the regular one,  but  we  may  suggest that the variant with \I-i-\i has been preserved for expressive reasons. As  for other Kui  dialects, it is hard to say whether some of them have lost one of the two forms  (\I*aya\i and  \I*yaya\i), having generalized the other one for both meanings, or whether they have  merged  phonetically,  since  reflexes  of  PK \I*ya-\i are unknown. Thus,  Kuwi̲Isr  \Iāya\i  may   reflect  \Iaya\i, having lost the form \I*yaya\i, or may represent both of them, if we suggest a  development  \I*ya-\i > \Iā-\i (indeed, the second explanation is preferable, since otherwise it is  impossible to  explain the vowel length).|364
36|*aŋl-|to gape|23|angalanga "with mouth agape, with foolish appearance, foolishly, crazily"||angalacali||aŋgala'- (aŋgalat-)||||||Also Kui \Iangali āva/giva\i to open the mouth wide, gape||34
37|*āc-|to sort, choose|24|āska (āski-) "to separate from, choose, weed out, select"|āci ki- [to choose]|acali "to sort out"|||āc- (-it-) "to choose"||||āc- (-it-) "to choose, select"||In Kuwi̲F the vowel is shortened as in \Iakkū\i leaf (does the non-geminated \I-c-\i reflect the original long vowel or is it just misspelled?)|363
38|*ādi|that woman or thing|1|āri||ādi|||||||||External data shows \I*-d-\i is primary here; we may suppose a general development Kui \I-di-\i > \I-ri-\i.|1
39|*āḍ-|to be able|25|āḍa (āḍi-) "to be suitable, fitting, proper, convenient, excellent, good, handsome; to suit, fit, agree"||aṛdali|āḍ-|ā̆ḍ- (-it-)|||||āḍ- (-it-)|Also Kui \Iāṭka\i (\Iāṭki-\i) pl. action|The variant found with a short vowel in Kuwi̲Su seems to stand isolated against the corresponding data of both Kui and other Kuwi dialects. However, external data indicates that it is this variant that is most archaic.  In Kuwi̲F we should expect \I*ādali\i or, at least,  \I*addali\i, but instead find a mysterious -rd-.|78
40|*ā-|to be|26|āva (āt-) "to become, be, happen, be sufficient, finished"||aiyali "to be, become"|ānai "to occur"|ā (āt-) "to become, be"|ā (āt-) "to become, be"||||ā (āt-) "to become, be"|Also Kui \Iāpka\i (\Iāpki-\i) pl. action; \Iā\i, \Iāngo\i yes||333
41|*ā-|a herdsman|1204|ānga gaṭanju|||||||||||The form \Iānga\i is plural from \Iā-\i 'cow'. The root itself probably borrowed from SDR.|334
42|*āɣ-|to bear fruit|27|āga (āgi-) "to bear fruit, yield a harvest"||aiyali (at-) "to yield crops"||||||||||339
43|*āǯ-i|hail|28|āji||ajji|ājinga "hailstones"|āji (pl. -ŋa)|||||||In Kuwi̲F the initial \I*ā-\i is shortened, as in \I*āku\i.|406
44|*āk-ʔoṛi|a species of thorn tree|29|ākoṛi, ākoni||||||||||||338
45|*āk-u|leaf|30|āku||akkū|āku||||||||The shortening of vowel in Kuwi̲F is quasi regular (there is a strong tendency in Kuwi̲F of shortening the initial \I*ā-\i before simple consonants, see also below).|335
46|*āli|noise|0||||hāli||||||hāli ā- "to make noise"||Initial \Ih-\i is prothetic, as external data shows. Expressive.|386
47|*ānǯ-|a circular wicker trap for catching fish|31|ānjo||||||||||||409
48|*ānj-/ǯ-|to agree; to consent, vow|0|ānja (ānji-) "to agree, assent, admit, confess, promise"|||ānjinai "to claim, consent, undertake, vow"|||||||Also Kuwi̲S \Iāsinai\i to undertake|The  correspondence  \I-nj-\i - \I-nj-\i points to PK \I*-nj-\i, but the correspondence \I-nj-\i  - \I-s\i-  is  a clear case of PK \I*-ny-\i (see 1). The forms are isolated, so we cannot  say  which form is primary in Kuwi̲S and which one is borrowed (or at least influenced).|345
49|*āp-|boy, son|32|āpo (pl. āporu)||||||||||Also Kui \Iāpi\i girl, wife|External data points to a short vowel here. We may suggest that the word has once been expressively geminated (\I*app-\i), whereas > \I*āp-\i.|156
50|*ār-[p]-|to call|33|ārpa (ārt-)|||ārnai|||||rāṭ- "to cry out"||Also Kuwi̲S \Iārpinai\i to call; \Iārh'nai\i to invite; Kuwi̲Mah \Irāṭu\i din, noise, uproar|The form in  Kui̲Mah is unclear, but if  we can trace \Irāṭ-\i > \I*ārṭ-\i > \I*ārt-\i,  the latter may historically represent the past tense of \I*ārp-\i.|367
51|*ārg-u|millet|34|ārka "a species of millet"||||ārgu (pl. ārka) "Panicum italicum"|||||||In Kui \Iārka\i is plural (\I*ārg+ka\i).|379
52|*āṛ-|to die|35|āṛi āva||||||||||||277
53|*āṛ-/*āc-|woman, wife|36|āsa (pl. -ska/-saka) "woman, female"|||āḍi "wife"|||āṛu "wife"|āca (pl. āska) "woman"||āṛi|Also Kui \Iāli\i woman, wife (Letchmajee); Kuwi̲S \Iāca\i female||400
54|*āw-|those women or things|1|āvi||āati||||||||||1
55|*āj-|cool|37|āja (āji-) "to become cool, chilled, cool down"||aiyali "to become cool"|āɨ||||||āy- (-it-) "to become cool"|Also Kui \Iāspa\i (\Iāst-\i) to make cold, cool down, reduce a fire;  \Iāska\i good  health, comfort, prosperity; \Iāskaṭi\i idem; adj. in good health, well, comfortable||404
56|*āŋ-|to intercept, prevent|38|ānga (āngi-) "to intercept, hinder, prevent, ward off, defend, herd"||āngali "to check"|ānginai, ānga tuh'nai "to prevent, defend"|||||āngeṇi "lane, alley"|āŋg- (-it-) "to stop one from going"|Also Kui \Iāngēni\i, \Iāngēṛi\i a fence; Kuwi̲S \Iāshinai\i to impede|Kuwi̲S \Iāshinai\i is mysterious (probably borrowed from Telugu \Iā̃cu\i).|340
57|*bVjla|spleen|39|||bella|||balla|bela||||||3995
58|*baḍ-gá|stick|40|||buṛga "stick, club"|badga "walking stick"|baṛga|||||baṛga, baṛiya||Kuwi̲S \Ibadga\i is irregular (\I*barga\i would be expected); probably borrowed from or influenced by other CDR languages (cf. also the semantics 'walking').|5224
59|*bakr-|to scratch, claw|41|verka (verki-) "to scratch a part that irritates or itches; n. scratching"||bakṛali "to claw"|||||||bark- (-it-), brak- (-h-) "to claw"||The cluster in Kuwi̲F is original; otherwise there would be no need for metathese. However, the Kui form is doubtful, since both the vocalism and the consonantism are irregular.|5322
60|*banḍ-i|belly|42|||||banḍi|banḍi||||baṇḍi "stomach"|Also Kuwi̲Isr \Ibaṇḍi ā-\i to have diarrhoea; \Ibaṇḍita ā-\i to be pregnant||3898
61|*bat-k-|to live (happily)|43|bārti "longevity, long life"||batkali "to live"|batkinai "to live"||||||batk- (-it-) "to get on well"|Also Kuwi̲S \Ibatku\i living; Kuwi̲Isr \Ibatki ki-\i to make a good living, live happily|The Kui form is borrowed from SDR; but Kuwi forms are original, with a suffixal \I-k-\i (plural action) that goes back to PDR.|5372
62|*baṭ-a|pasture|44|||||||baṭa|||baṭa|||3874
63|*bāpl-a|bat|44|||bāpla|bāpla|||||||||5370
64|*bāv-li|wild cat|46|bāoḍi, bāoli||||bā̃vli||||bā̃uli|bavuli|||4106
65|*beḍ-a|brick|47||||||||||beḍa|||4394
66|*bēc-|to look, peep|48|||becali "to peep"|bēcinai "to look, see"||||||bēc- (-it-) "to have a glance at"|||5533
67|*bēr-ʔoṛi|conversation|49|bēroṛi||||||||||||4439
68|*bēṭ-a|to hunt|50|||betta kīali|bēta kīnai|bēṭa "hunting"|||||bēṭa "hunting"|||5527
69|*bilej-i|cat|51|||||bileyi|bileyi||||bileyi|||4180
70|*bir-|to grow, swell|52|beri beri inba "to swell, increase in size"|||||||||bir- (-it-) "to grow, multiply"||The vowel is not quite clear. However, the root could be contaminated with \I*pēr-\i 'big' (such a contamination is quite often in other CDR languages).|4411
71|*bisk-i|brain|53||||bhijki, bhiski|biski|biski|biski|||biski|||4247
72|*bḷa-j-u (*-l-)|strong, strength|54|||braiyū "strong"|blāyu "strength"|bṛā̆yu "strength"|||||bṛāyu "strength"|||5304
73|*bog-|charcoal|55|||bogūŋa||||||||||4467
74|*bom-|shoulder|56|bomba "the muscles of the chest and upper part of the back"||bōmi||bommi|bommi||||bomi|||4529
75|*bond-u|toe-ring|57|||būndū|bondu|||||||||4523
76|*boṭ-|thumb|58||||||||boṭa vanju||boṭu, buṭu "thumb impression"|||4493
77|*boj|girl|59||||||||boy (pl. boycka)|||||4532
78|*bojeri|a k. of slab|0|||boiyeri vwalli "currystone"||||boyeri "slab for pounding"|||bõyeri vali "slab for pounding"|||4534
79|*boŋ- (caus. *bok-)|to spill|60|ponga (pongi-) "to be spilled, scattered"||bōkhali|bokh'nai "to shed, spill"||||||bok- (-h-)|Also Kui \Ipopka\i (< \Ipok-p-\i; \Ipokt-\i) to spill, scatter|In Kui \I*b-\i was probably first devoiced in the causative form (before two voiceless consonants), after which it was devoiced by analogy in the simple form as well.|4470
80|*bō-|to overflow, spill|61|||boiyali (bōt-) "to overflow (a vessel)"||bō- (-t-) "to be spilled"|||||bō- (-t-) "to be spilled"|||4407
81|*bōṛ-a|hornless|62|||||bōṛa||||||||4600
82|*bōṭ-i|chaff of millet, broken pieces of straw|63|bōṭi||||||||||||4491
83|*brā|confused, confounded, amazed, bewildered|0|brā||||||||||Also Kui \Ibrā inba\i to be confused, etc.||5443
84|*bRe-ʔe (*-r-)|to be afraid|64|bree inba, brehe inba||||||||||||5489
85|*bre- (*-R-)|stranger|65|breenju||||||||||||5548
86|*bre-ŋ-|to crack, burst|66|prenga (prengi-) "to be cracked, cloven"|bre- "(boil) bursts"||||bre- (-t-) "(2) (boil) bursts"|||||Also Kui \Iprepka\i (< \Iprek-p-\i; \Iprekt-\i) to crack, cleave; \Iprēju\i (pl. \Iprēska\i) cleavage, crevice, crack|In Kui the initial \I*b-\i irregularly devoiced. We may suggest a contamination with \I*piri-/ŋg-/\i 'to be cracked, torn'.|4414
87|*bṛac-|to be tired of|0||||||||||bṛac- (-it-)|||5293
88|*bṛū-|to burst; to explode|0|bṛūva (bṛūt-) "to burst, explode (cooked maize, seed pod, gun)"|||||||||bṛī- (-t-) "to go off (gun, trap, etc.)"|Also Kuwi̲Isr \Ibṛip-\i (\I-h-\i) to shoot with a gun|Burrow and Emeneau put this together with Kuwi̲F \Ibrīali\i 'to go off with a report', but the latter is rather comparable with PK \I*vṛī-\i 'to come down'. So is Kuwi̲Isr, but the regular reflexation of \I*vṛ-\i should be \Iṛ-\i; both roots are probably contaminated.|4614
89|*bṛū- (*-l-, *-ḷ-)|to snatch|67|||brūcali (brūt-)|||||||bṛuʔ- (-t-) "to snatch, grab"|Also Kuwi̲Isr \Ibṛū-\i (\I-t-\i) to touch||4251
90|*buḍ-a|testicle|68|||būdda "testicle (animal)"|||||||buḍa "testicle, penis"|||4266
91|*bur- (?)|mildew|0|buru sūpa (sūpi-) "to become mildewed; n. mildew"||būlūr|||||||||Kuwi̲F \Ibūlūr\i is mysterious.|4357
92|*burk-|a small kind of basket|69|burka, burki||||||||||||4289
93|*buṭ-|tattoo|70|||būttū|||||||buṭu|||4492
94|*bū̆k-|cheek; plump|71|pūkul "round-faced, plump"||būga "cheek"|bugga "cheek"|bugga "cheek"|||||būga "cheek"|Also Kui \Ibūkūli\i fat-faced, with cheeks puffed out; ? \Ibṛūkera\i swollen-faced man or boy; fem. \Ibṛūkeri\i|Progressive assimilation in Kuwi, regressive in Kui. In some dialects the root was probably contaminated with \I*bug-\i 'bubble'.|4242
95|*būr-|hair, fur; eyebrow|72|būri, būru "hair, fur, feather, wool"|pṛuma "feather"||||||kanu būru "eyebrow"|||Also Kuwi̲D \Ibūrka\i (pl.) down|In Kuttia \I*būr-ma\i > \I*būṛ-ma\i > \I*bṛū-ma\i > \I*pṛū-ma\i.|4358
96|*būr-|fine rain, drizzle|0|buru, burku "fine rain"|||būri būri rīnai, būri pīyu rīnai "to misle [i.e. mizzle, drizzle]"|||būri pīyu "drizzle"|||buri buri pīyu "drizzle"|||4288
97|*bū̆g- (*p-)|bubble|0|||||bugga (pl. -ŋa)|||||būga||Gemination in Kuwi̲Su not quite clear, since \I-g-\i is otherwise never geminated.|4455
98|*cal-a|buttermilk|73|||||salla ēyu||||||||2411
99|*cap-|to slap|0|japka japka vēpa "to slap, beat with open hand"||||sapoṛ "a slap"|||||||Expressive voicening in Kui.|2335
100|*capt-|flat|74||||||||||sapta|||2331
101|*cāp-e|mat|75||||cāpe|sāpe||||||||2452
102|*cāṭ-|to block out light, cover up|76||||||||||sāṭ- (-it-)||If not borrowed from Telugu.|2441
103|*ceR-i|male dog|77|||||||sehi neh'uṛi||sehi neh'uṛi||Also Kuwi̲T \Isehi\i male||2820
104|*cek-|to scrape; piece|78|||sekali "to scrape (with a hoe)"|||||||seka "piece"|||2748
105|*cep-u|shoe|1141|||seppū|cepunga "sandals"|seppu|||||||The root was borrowed from Telugu, since it originally < \I*cerp-\i, and \I*-rp-\i does not contract in PK.|1963
106|*sē-ŋ-|(Letchmajee) five; (K) five (fem. neut.)|79|siŋgi|sēngi|||||||||Also Kui (Friend-Pereira; Gumsar dialect) \Isiŋg\i five; \Isiŋgi\i five things; Kui̲K \Isē ganḍi\i five men; \Isē dina\i five days; \Isēŋ gōṛi\i 100|Irregular s- in Kuttia; however, external data shows that *s- is primary.|2826
107|*sēke|to pant|1411|sēke "panting, gasping for breath"|||sēke sēke nēnjinai|||||||Also Kui \Isēke sēke inba\i to be out of breath, pant; \Isēke vahpa\i to pant|In Kuwi̲S the development \I*s-\i > \Is-\i is probably due to expressivisation (or, more likely, \I*sēkesēke\i > \I*hēkesēke\i, then, by analogy, \Isēkesēke\i).|2804
108|*cērk-u|sugarcane|80|||sērkū||||||||||2795
109|*cik-|to grin|81|||sikhali||||palka sik-|||sik- "to bare the teeth"|Also Kuwi̲Isr \Isikla\i one who laughs a lot and for a long time||2492
110|*cik-u|to snare|82|||sikkū aiyali "to be tangled"|cikku kīnai|||||||||2498
111|*cila|dhoti|0||||||||||sila paciya||Probably borrowed from Sanskrit.|2629
112|*cil-k-|to splash (intr.)|83||||||||||silk- (-it-)|||2569
113|*ciṛ-|low|84| "lower"|sīṛta||||||||ṛiʔi "low, lower"|Also Kuwi̲Isr \Iṛiʔika\i lower part (of village, etc.)|In Kuwi̲Isr \Isiṛ-ʔi\i > \I*sṛi-ʔi\i > \I*ṛi-ʔi\i.|2584
114|*ciṭ-|small; mouse|85|siṭuṛi "small, dwarfish"||sitki "a mouse"|||||||siṭʔeṛi orli "a kind of rat"|Also Kuwi̲F \Isita kadda\i a stream||2513
115|*cīm-a|ant|86|||sīma||sīma|hīma|||||||2623
116|*cīnt-i|date-palm|87|sīta "a small date bush"||||sindi "wild date-palm"|||||sīndi marnu "wild date-palm"|||2617
117|*cīp-ṛi|leaf ladle|88|sīpoṛi "a leaf ladle or spoon"|||||||||sipṛi "container made from leaf"|||2619
118|*cīṛi|a bush, the leaves of which are used as soap|0||||||||||sīṛi|||2607
119|*cī̆c-oṛi|to whistle|1147|sisoṛi "whistling"||sīsori kīali|cīcoḍi kīnai|||||cicaṛi "whistle"||Also Kui \Isisoṛi vīka\i to whistle; Kui̲Mah \Ihucuṛi\i whistle; Kuwi̲S \Icīcinai\i to pipe||2610
120|*coro|to hiss (snake)|0||||sorro sorro in-||||||||Expressive.|2714
121|*coṭ-|lame|89|||sōti|sotta, soto|||||soṭā|soṭa "crippled man"|Also Kuwi̲F \Isōta\i lame man; Kuwi̲Isr fem. \Isoṭi\i||2838
122|*crāp- (?)|sour, pungent|0|srahpa (sraht-) "to be acid, sour"|srāpi "sour"||hapne "pungent"|||||||Also Kui \Israpka\i (< \Israk-p-\i; \Israkt-\i) to be brackish|We would expect \Ih-\i in Kuttia; however, the data is so scarce that it is impossible to make precise reconstructions here.|2363
123|*crī- (caus. *cir-)|to rot|0|srīva (srīt-) "to rot, decay"||sirhali|srīnai||||||sir- (sirh-) "to go bad"|Also Kui̲P \Isrihpa\i (\Isriht-\i) to rot, decay|A former bisyllabic base.|1606
124|*srīnd-|to blow the nose|90|srīnda (srīndi-)|hīnd-|sindali||||hīnd-|||sīnd- (-it-)|||2618
125|*crogu|a rough surface, coarse sand or pebbles; rough, coarse, uneven|0|srogu||||||||||Also Kui \Ijrogu\i rough, gravelly; \Isrogu srogu inba\i to be rough, coarse, uneven, pebbly; \Isrāmbu\i gravel||2354
126|*crū-|to be shed, be cast off, fall off (leaves, etc.)|91|srūva (srūt-), jrūva (jrūt-)||||||||||||2900
127|*cṛā-ŋu (*s-)|breast|92|sṛāngu (pl. sṛāka, sṛākaka)|srāŋgu (pl. srākaka)|rāngū|rāngu|rāŋgu||||||Also Kui \Ijrāmbu\i (pl. \Ijrāpka\i) udder|If \Isṛāngu\i and \Ijrāmbu\i are indeed related (which is extremely probable, since both \I-ng-\i and \I-mb-\i are historical suffixes), the reconstruction \I*cṛ-\i would be most likely. We know, however, that PK \I*cr-\i > Kuwi \I*s-\i, and if we are to support the idea of an affricate here, we should suggest a different development in case of PK \I*cṛ-\i > Kuwi \I*sr-\i > \I*r-\i.|2364
128|*cus-n- (*s-)|stale|93|||||||||suhnadi|||External data points to \I*s-\i; the form may be dialectal.|2745
129|*cup-|shrew, musk-rat|94|supa, supenji, superi "shrew-mouse, musk-rat"|||suppesi "musk-mice"|||||supri "musk-rat"||||2675
