NUMBER|PROTO|MEANING|PRNUM|GONDI̲TR|GONDI̲W|GONDI̲PH|GONDI̲G|GONDI̲MU|GONDI̲MA|GONDI̲S|GONDI̲KO|GONDI̲Y|GONDI̲M|GONDI̲L|GONDI̲LU̲S|GONDI̲MND|GONDI̲CH|GONDI̲A|GONDI̲D|GONDI̲CHD|ADDITION|NOTES|DEDNUM|VOC̲NUM
11|*aḍr-|bad|5|aḍrai||||aḍra "very bad"|||||||||||||||107|36
12|*a-drā|on that day|0|adrā|||||||||||||||||Also Gondi̲A (Su.) \Ihandāl\i from that side; \Ihāpē\i with that; Gondi̲Ph \Iānai\i much (? that much)||1|130
13|*a-pōṛ|then (past time)|0|appō̆ṛ|||||||||||||||||||1|62
14|*a-jēnḍ|the year before last|0|hēnḍ||||hayēnḍ|||||||||||||||5153|3589, 3523
15|*agā|there|0|aggā|aggā|hagā, haggā||aga|aga|aga|aga||||||||||||1|11
16|*ahk-|to cross; across|0|ahakānā "to cross, pass over"|ahkānā "to cross, pass over"|ahkānā "to cross, pass over"||ahk gaṛm "on the other side"||||||||||ahkānā "(SR) to cross, pass over"|||||289|112
17|*ak-|to take, bring, carry|551|||||||||||akanā|||||||||931|   1
18|*ak-o|grandfather; grandchild|8|akkō "mother's father (said by granddaughter)"|akko "great-grandfather"|||akko "daughter's son or daughter, grandson's wife"|||||||ukko "(i.e. \Iakko\i) maternal grandfather"||||||||24|6, 7
19|*akkāḷ, *takkāḷ|sister|0|takkā (pl. -hk)|takkā "elder sister"|takkā, takkār (pl. takkāhk)||akka "husband's elder sister"|akkal(i) (pl. akkasku) "elder sister"|akkal (pl. akkahku) "elder sister"||||akkā "elder sister"||||takkā (pl. -k) "sister (used only with reference to 2nd and 3rd person; ASu)"|||||23|3a, 1640
20|*akn-ā|room of a house|0|||||akna (pl. -ŋ)|||||||||||||||7|   8
21|*al-|not|1200|hal, hallē, haillē|||||||||||||||||||234|
22|*al-|to weave, plait|9||||||||all-||||||||||||260|97
23|*al-ām|weeds|0|||||||allam|||||||||||||244|98
24|*ambil-i|gruel, pej|12|||||||||ambil|||||||||||174|65
25|*am-al|father; grandmother|11||||||ammal (pl. -or) "father"|ammal (pl. ammahku) "mother's mother"|||amma "father"||||||||||183|67, 68
26|*anc-|to press|0|ancānā|||||||||||||||||||112|21
27|*an-|that day|0|anṭī||||annēṭ|||aniṭi "day before yesterday"||||||||||Also Gondi̲Tr \Ianī\i time which is long past, then; Gondi̲Mu \Iante\i in that direction||1|55, 60, 56, 58
28|*an-[ā], *tan-[ā]|elder brother|1040|tannāl||tannā, tannāl, tannor|||||annāl (Su.)||||||||||Also Gondi̲Tr \Itanhaṛāl\i elder brother (respectful)||131|1652
29|*ar- (caus. *ar-s-)|to fall|690|arrānā|arrānā|arrānā|ar-|ar-|ar-|ar-|ar-|||||||ar-|||Also caus. Gondi̲Tr \Iarhuttānā\i, Gondi̲Ph \Iarahtānā\i, \Iarsahtānā\i, Gondi̲Mu \Iarih-/arh-\i, Gondi̲S \Iarah-\i, Gondi̲A (SR) \Iarusānā\i to cause to fall; Gondi̲Ko \Irāl-\i to fall (< Telugu)||233|72, 3027
30|*aṛ-|to weep, cry|701|āṛānā|aṛ-|ar-|||aṛ-|aṛ-||aṛ-||||||aṛ-|||Also caus. Gondi̲A (SR) \Iaḍusānā\i, Gondi̲S \Iaṛah-\i||282|84
31|*ar-ā|(part of) room|0|||||||||||||||arrā "(SR) part of the room"||arra "a room"||The root is probably borrowed from Telugu \Iar̲a\i.|322|83, 114
32|*ar-|to follow persistently, closely|0|araluk waiānā|||||||||||||||||||222|75
33|*aṛ-k-|to lurk, crouch, bend down|0||||||||aṛk-||||||||||||3620|86
34|*aṛ-s-|to destroy|35|||||aṛih-|||||||||||||||277|85
35|*aṛ-s-|to wipe (nose)|0||||||aṛs-||||||||||||||228|89
36|*art-i|banana|0|||||||arti||||||||||arti|||205|80
37|*arjil|udder; chest|1279|aṛīl "udder"|aṛīl "udder"||arūli "chest of body"||ariyul "chest of body"||ariyul "chest of body"||arayul "chest of body"|||||aril "chest of body"||||Retroflex articulation in Gondi̲Tr and Gondi̲W is strange and probably erroneous. Various epenthetic vowels in different dialects are due to developments \I*aryil\i > \I*ariyl\i > \I*ariyVl\i, on one side, and \I*aryil\i > \I*arVyil\i > \I*arVyl\i > \I*arVyVl\i, on the other.|200|76
38|*aṛŋ-ā|bellows|0||||||aṛŋga (pl. -ŋ)||||||||||||||275|87
39|*as-|to buy|17||assīnā|||as-|as- "to take, buy"|as-|||as-||||||||||51|103
40|*aske|then|0|askē||||aske||||||||||askē (Su.)|||||1|108
41|*aṭ-|to cook|20|aṭṭānā "to cook by boiling"|aṭáná "to cook, boil"||aṭṭ-|aṭṭ-|aṭṭ-|aṭ-|aṭ-|aṭṭ-|aṭ-|aṭuval "a cook"||||aṭṭ-|||Also Gondi̲Tr \Iaṭyār\i boiling water; Gondi̲A (SR) \Iaṭvāl\i cooking-pot\I\i||76|26, 27, 28
42|*aṭ-e|cross-bars, laths|0|attē "cross-bars of wood used in building the walls of a house"||||aṭṭe (pl. -ŋ) "laths laid across rafters of roof"|aṭṭe (pl. -ŋ) "laths laid across rafters of roof"||||||||||||||93|29
43|*aṭk-ā|cooking-pot|0|aṭkā "earthen pot used for cooking"|||aṛka "cooking pot"|aṛka "cooking pot"|aṛka "cooking pot"|aṛka "cooking pot"||||||||||adka "cooking pot [i.e. \Iaṛka\i]"|||75|25
44|*atp-i|room of a house|0|||||ahpi||||||||||||||Isolated Gondi̲Mu form with absolutely no external parallels.|322|114
45|*av-i-|to be tired|1305||||||||ayv- "to be tired, exhausted"||avkānā "to tire"|||||aviyānā "(SR) to be tired"||||The intransitive form is \I*av-y-\i; the opposite transitive one is \I*av-k-\i.|267|101
46|*av-[al], *av-har-i|mother|21|awwal (pl. awwāhk) "mother, dam of man or beast"|awharí|avval|avahari||avva|aval (pl. avahku)|yavva "(Su.) mother"|||avā|||||||Also Gondi̲Ma \Iavval\i (pl. \Iavvasku\i) mother; Gondi̲L \Iavāl\i mother; Gondi̲Tr \Imaiwal\i my mother (lit. our mother); \Imīwal\i thy mother (lit. your mother); \Iawhāṛī\i mother, dam of man or beast; Gondi̲Ph \Iavhā̆rī\i id. (for \I-hari\i see 2357)||273|102
47|*aŋe, *taŋe|elder brother's wife|160|tangē||tangē|aŋge|aŋge|aŋge||yeŋge "(Su.) spouse's elder sister, elder brother's wife"|aŋŋe|||||||||Also Gondi̲FH \Iange\i sister-in-law|Koya \Iyeŋge\i should be considered as a 1st person possessive form ('my..')|3015|15, 1644
48|*aŋl-|to open mouth, yawn|23||||aŋil-/aŋl- "to open mouth"|alŋg-/aliŋ- "to open (mouth)"|aŋgal "gaping, yawning"||||ānglānā "to yawn"||||||||Also Gondi̲Mu caus. \Ialŋgh-/alŋgih-\i||34|14
49|*āR- (caus. *āR-s-)|to warm oneself; cool|37|ārānā "to warm oneself, to grow cool"|ārānā "to warm oneself"|ārānā "to heat, to cool"||ār- "to warm oneself by sitting near the fire, (hot liquid) to be cool"|ār̨- "to warm oneself (in the sun)"|ār- "to be cool"|ārr- "(hot water) to become cool"|||||||ārānā "(SR) to cool"|||Also Gondi̲Ph caus. \Iārsahtānā\i; Gondi̲Mu caus. \Iārih-\i; Gondi̲S caus. \Iārcah-\i||404|135
50|*āc- (caus. *āc-s-)|to choose, select|24|āc-||||āc-|āc-||||||||||||Also Gondi̲Mu caus. \Iāch-/ācih-\i||363|119
51|*ādur|hail|28||||ādur|ādur|ādur||||||||||||||406|129
52|*ā-|to be|26|aiānā "(irregular: 3 sg. impf. \Iānd-\i; some forms from stem \Iā-\i) to be"|||||||||||||||||Most dialects have \Iā-\i||333|115
53|*ā-hun|thus|0|āhun, āhon|āhun|||||||āhan||||||āhān, āhānē "(SR) of that sort"||||Original vowel is \I*-u-\i; \I-ā-\i in Gondi̲A is due to assimilation.|1|147
54|*āk-i|leaf|30||||||||āk||||||||||Most dialects have \Iākī̆\i||335|117
55|*āk-on-|a thorny plant|29|akōna-kuttul||||||||||||||ākōnā-kuthul (SR)|||||338|5
56|*āl-i, *ber-āl-i|banyan, pipal tree|934|barēlī "banyan"|berelī "banyan"|berelī, birelī "banyan"|berel "banyan"|āl "pipal tree"|berel "banyan"||||āl(i) "pipal tree"||||||||Also Gondi \Iālī̆\i pipal tree (many dialects), Gondi̲Mu \Iberel\i banyan|In most dialects \I*berāl-\i > \I*berel-\i through assimilation.|382|142, 2604
57|*āl-s-|to think|0||||||||āls- "to think of"|||ālīhanā "to think (also \Ial-\i)"|||||||||388|144
58|*ānǯ-|to catch smth. falling|0|ānjānā "to catch the blood of a slain animal"||ānjānā "to catch something falling"|||||||||||||||||409|124
59|*āp-, *tap-|father|32|āpōṛā̆l|||||tape||tappe||-|tāpe|||||||Also Gondi̲Tr \Imaipō\i my father; \Imī-āpō\i thy father; Gondi̲Ko (Su.) \Itappe\i (his, her) father||156|133, 1656
60|*āṛ (pl. *ās-k)|woman|36|ār|āṛ (pl. āsk)||āṛ|āṛ (pl. āsk)|āṛ (pl. āsk)||||||||||||||400|139
61|*ār-e|potter's wheel|0|||||||||||||||āre (SR)|||||398|138
62|*ār-ku|Setaria italica|34|||||ārk|||||||||||||||379|137
63|*āt-i|father's sister|18|ātī|||||||||||||||||||142|127
64|*āt-ōR (\Imasc.\i), *āt-al (\Ineut.\i)|of that sort|0|ātōl (masc.; pl. ātōṛ), ātal (neut.)||ātōr (masc.), ātal (neut.)||||||||||||ātōr, ātal||||In Gondi̲Tr \I-l\i was generalized.|1|126
65|*āv-i (*s-)|a yawn|1198||||||||āvi||||||||||||392|145
66|*āj-|to ripen|27|āittānā "to ripen (of makka, juar, gram)"||aittānā "to ripen (of corn)"|||||||||||||||Also Gondi̲Ph \Iaiyānā\i to be ripe; caus. \Iaisahtānā\i||339|116
67|*āŋ- (caus. *āp-)|to stop|38||||||||āng- "(T) to stop (intr.)"|||||||āg- "(Su.) to stop, stand"|||Also Gondi̲Ko (T) \Iāp-\i to make stop; Gondi̲Ko (Su) \Iāŋ-\i to stop (intr.); \Iāp-\i id. (tr.)||340|
68|*bac-|how much|150|bacnal, bacco "how much or how many (pl. neut. \Ibaccong\i, masc. \Ibaccoṛ\i)"||baccō, baccōr, baccō̃ "how much, how many"||bacco||baccor "how much, how many"|||bacor "how much, how many"||||bacco "how much, how many"||||Also Gondi̲W, Gondi̲Ph \Ibacāle\i how many||5151|2474
69|*baḍ-ā|kind of mushroom|0|||||nira baḍḍa|||||||||||||||4499|2480
70|*bad-k-|he lived|43||||||badaktōr||||||||||||||5372|
71|*baḍ-gā|stick|40||waṛiyā||baṛga|baṛga|baṛga|||baḍḍe|||||baḍga, baṛiya|baḍḍe, (SR) baḍḍi, baḍga|||||5224|2510
72|*ba-pōḍ|when|0|bappōṛ||bappōr|||||||bepuṛ||||||||||5151|2600
73|*banḍ-|to wither|0|bhanḍānā "to wither (leaf)"|||||banḍ- "(leaves) to turn yellow"|||||||||bhānḍānā "(SR) to wither (leaf)"|||||4004|2483
74|*banḍ-ā|stone|1280||||||banḍa "stone, rock"|banḍa "stone, rock, hail"|||banḍa "stone, rock"|||||banḍa "stone, rock, hail"|||||3903|2484
75|*banṭ-i|when|0|banṭī||||||||||||||banṭī (SR)|||||5151|2481
76|*bark-|membrane|0||||||||barka||||||||||||3981|2505
77|*bask-e|when|0|baskē||baske||baske|baske|baske|||||||||||||5151|2516
78|*bavok-|cat|46|||||bakoval "male cat"|||bayok "wild cat"||||||||||Also Gondi̲Se \Ibhongal\i cat||4106|2469, 2503, 2670
79|*bajl|open space|1043||||||||bayul "open space of ground"||bail "plain"||||||||||3940|2502
80|*bāh-|what|0|bāh||bāhun, bāh, bāhbā "in what way"|||||||bah|||||bahān, bahin "(SR) how"|||Also Gondi̲Tr \Ibāhun\i how; \Ibāhce\i for what reason; \Ibābā\i why, how||5151|2517
81|*bāl-|what, why, how|0||bāl "what"|bāl "what"||ballahk "why"||bala "how"|bēla "how"||bālek "how, why"||||||||||5151|2515, 2535, 2610
82|*bāl-|spider|0||||||||bālo||||||||||||4098|2537
83|*bār-|what|0|bārāng||bārā̃|bāraŋ "why"||||bāri "(Su. T) why"||bār|||||bārāng "(SR) what"|||Also Gondi̲Tr \Ibārī\i, \Ibarkē\i why||5151|2507, 2532
84|*bāŋ|what|0||||bāŋ|bāŋ||||||||||||bāng|Also Gondi̲Chd \Ibānge\i anything; Gondi̲Mu \Ibāŋgun\i something||5151|2523
85|*bā̆t-|what sort of|0|batol (masc.), batal (non-masc.), bātal, bātōṛ (pl. masc.)||battī "what (adj.)"|bāta|bāta|bāta "what"|batal "what"|bāteŋ "why"||bāta "what"|||||batal "(SR) what"|||Also Gondi̲Tr \Ibattī\i what (adj.); Gondi̲Ph \Ibātōr\i what sort of (man), fem. \Ibātal\i; Gondi̲Mu \Ibātatun\i why; \Ibātay\i something; Gondi̲Tr \Ibatālē\i what's-his-name; \Ibatārī\i a what-do-you-call-it||5151|2490, 2491
86|*bebr-e|tomato|0|||bebre||||||||||||bebre (SR)|||||4406|2601
87|*bed|who|0|bad (pl. bau) "who (fem.)"||bad (pl. bau) "who (fem.)"||bad "who (fem.), what"|badu "who, which (fem.), what"||||bedu "who, which (fem.), what"||||||||Also Gondi̲Mu \Ibadaŋ\i why; \Ibadam\i how||5151|2492, 2493, 2494
88|*beḍ-ā|sod|47|||||||beḍa|||||||||||||4394|2598
89|*bel-|jaggery|0|||||bellī̃ (pl.)|||bela|bheli|||belee "goor"|||bheli|||||5494|2667
90|*ber-|sp. bee|0|||||||||||||||beral vīsī|||||4412|2603
91|*ber-jeR|river|0|||||berel, berer (pl. berehk)|beriar̨, berer̨ "flood, river in flood"|bereḍ (obl. bereṭ-, pl. berehgu)|||||beriagai "a river"||||||||5159|2602
92|*bēg-|where|0|bēgā, bēnd, bēkē, bē|baggā|||baga|||bega||bege|||||bagā, bagge "(SR) where"||bagge|Also Gondi̲Tr \Ibēgānē\i somewhere; Gondi̲W \Ibaggane\i everywhere; Gondi̲M \Ibegāy\i anywhere; Gondi̲Chd \Ibaggātāl\i, Gondi̲W \Ibaggāṭāl\i whence||5151|2471
93|*biṛ-s-|to slip, slide|1337|||||biṛsk-|biṛsk-||biṛs- "to be slippery"||biṛskānā||||||||||4187|2551
94|*bisr-k-|to slip, slide|0|bhisuṛkānā||||||||||||||bhisurkānā (SR)|||Also Gondi̲Driberg \Ibisurkta\i slippery|Cf. \I*biṛs-\i.|4131|2551
95|*miṭ-/*bīṭ-|a k. of arrow|448||||||bīṭo "broad-headed arrow for shooting birds"||miṭṭa, miṭṭom "broad-headed arrow for shooting birds"||||beeto "iron beak of an arrow"||||||||4854|2552
96|*boker|gum|0|||||boker|||||||||||||||3817|2613
97|*bok-|to itch|0|bokkānā||bokkānā "to itch, to scratch"||||||||||||bokkānā "(SR) to itch"|||||4464|2617
98|*bol-|to lie, speak falsehood|0||||||||bol-||||||||||||4562|2643
99|*bom-|breast|1403||||||bomi (pl. boʔku)|bommu (pl. bomku)|boma||bomā|bomo|bommoo|||bom (pl. bomk) "udder"|||||3935|2631
100|*bomol-i|bubble; foam|671|||||bommul "bubble"|bomoli "foam"||||||bomoolee "saliva, foam, froth"||||bommul "foam"||||4280|2632
101|*boṭ-|blister|649|bōṭṭā, bottā|||boṭṭa|boṭka|||||||botta "a boil"|||boṭṭā "(SR) blister"|||||4496|2622
102|*boṭ-ā|big toe|58|bottā||||||||boṭa "finger"||||||boṭṭa "(SR) finger, big toe"|||||4493|2623
103|*boṭ-e|a k. of fish|936|bōttē "kind of fish"||boṭṭe "jimṭa fish"|boṭṭe "kind of fish"|boṭṭe "kind of fish"|boṭṭe "kind of fish"||boṭe kīke "kind of fish"|||||||boṭṭe "(SR) species of fish"|||Also Gondi̲Ko \Ipoṭ kīke\i species of fish||4498|2378
104|*bojal|flax|0|boyal, bāyal "sunn hemp"|baiyāl|baiyāl|||||||||boilee "hemp"|||boyli "(SR) hemp"|||||4535|2636
105|*bojul|foam|0||||||||boyul||||||||||Also Gondi̲Ko (Su.) \Iborju\i lather||4463|2635
106|*bōR|who, which man|930|bōl/bōr|bōr (obl. bōn-)|bōr (obl. bōn-)|bōru||bōr̨|bōru|benonḍ||bor, benon, benor||||||||||5151|2651
107|*bōḍ-e|dove|0||||||||bōḍe||boḍe "pigeon"|bōḍe|||||||||4602|2648
108|*bōṛ-kal|bald|62|||||||||||||||bōṛkal, (SR) bhoḍkal|||||4600|2654
109|*buR-|to kiss, nose (of dogs), caress|0|burrānā||burrānā|||bor̨-|||||||||burrānā (SR)|||Also Gondi̲A (Su.) \Ibur-\i to kiss||4330|2577
110|*buRk-ā|gourd|1007|purkā "the gourd of which Pardhāns make their guitar"|||burrka "gourd, gourd vessel"|burka "gourd, gourd vessel"|boh̲ka "gourd, gourd vessel"||burka "gourd, gourd vessel"|purka|||||purka "gourd, gourd vessel"|purka|||||4332|2307
111|*bubr-|bubble|0||||||||bubri||||||||||||4525|2570
112|*buḍ-i|earthen vessel|0|||||||||||||||buḍḍi (SR)|||||4265|2566
113|*buḍr-|bubble|0||||||buḍruka||||||||||||||4485|2567
114|*buk-|cheek|71||||bukka|bukka|bukka|bugga|bukka||bukā|phukā, bhukā|||||||||4242|2558
115|*burd-ā|mud|1048||||||||burda||||||||||||4291|2576
116|*bur-|suddenly|0|||||||||||||||bhurrne (SR)|||||4329|2661
117|*burk-al|tiger|937||burkāl|burkā(l)|burrkal|burkal||burrkal||burkal||||||burkal|burkal||||4298|2574
118|*buṛj-ā|down; feathers|72|buiyā "down, small feathers"|būīyā "down"|buiyā "hair, feathers"|bulo "feather, down"||bubla, būla "small feathers, down"|bura "down"||bura "down"||burā, puḷā "feather"||||būrā "down"|||||4358|2589, 2316, 2584
119|*bus-|to lie|1193||||||||||busānā||||||||||4531|2582
120|*buṭ-ul|basket with lid|1050||||||||buṭul||||||||||||4263|2564
121|*būk-ā|hole|0||||būka|būka|būka, bokka|boŋa|boḍga (Su.)||||||||būka||||4452|2585, 2614, 2620
122|*būl-/*bok-|bone|1252||||||||būla (Su.)||būlā|bokā||||bokka (SR)|||||4528|2592, 2615
123|*cak-|to dazzle|0|||||||cakk-|||||||||||||2280|1273
124|*camak-e|silent|0|cammake||||||||||||||cammake (SR)|||||2678|1287
125|*cark-|immediately|0|||||carkne|||||||||||||||2352|1289
126|*cāp-|a blow with the hand, slap|1016||||||capur||cāpoṛ|||||||cāpṭa|||||2335|1284
127|*cāp-|mat|75||||cāpi|cāp|sāpi||cāpa|cāpre|||||||||||2452|1299
128|*ček-|piece; to cut|78|||||||ceppa "split wood"|eke "piece, peel, rind"|||||||cekka "(SR) piece"||cekkānā "to cut"|Also Gondi̲A \Icakka\i bark|It is unclear if Gondi̲S \Iceppa\i belongs here or is a boroowing.|2748|1357, 1356, 329, 1360, 1274
129|*sendr-ā|cloth|732||||sendra||||||||||||||||2771|3470
130|*cēm|far away|0|||||cēm palaṭ|||||||||||||||2807|1364
131|*čēṇ-|old|733|sēnāl (fem. sēnō) "old man, senior"|senāl, (fem., neut.) seno "aged"|senāl (pl. -or), (Fem.) seno (pl. -hk)|sēṛo "old woman"|hēnor "old, senior"|sēṛo (pl. -sku) "old woman"|||seṛal "(masc.) old"|||||||||Also Gondi̲Mu \Isēno\i old woman||2808|3479
132|*cic-|small fruit|0|||||||||||||||cice (SR)|||Also Gondi̲A (Su.) \Icīce\i young berry, fruit just formed after the blossom||2609|1307
133|*ciḍrāl|squirrel|1371||ciḍrāl|ciḍrāl||ciḍral (pl. ciḍrahk)|||||||||||||||2518|1314
134|*čik-āl|muskrat; mouse|1320|cikkāl "muskrat"||cikkal "muskrat"||||||||||||cikkāl "(Su.) mouse"|||||2495|1304
135|*cikuṛ|a kind of beans|0||||||cikuṛ (kāya)||cikuṛ (kāya)||||||||||||2496|1303
136|*cin-|little finger|0|||||cini anḍki|||||||||||||||2594|1315
137|*cipaṛ-|rib|0||||cipaṛa||||||||||||||||2532|1316
138|*cirāl|a kind of bird|0|||||||||||||||cirāl (Su.)|||||2551|
139|*ciṭk-|snapping of fingers|0||||ciṭkuli|ciṭkul||ciṭkan|||||||||||Also Gondi̲Mu \Iciṭkul-nēk-\i to snap fingers||2511|1311
140|*cīl-|cloak|0||||||||cīla||||||||||||2629|1336
141|*cīv-|young of birds, chick|756|cīwā|cīwāl|civnā̃, cīvā(l)|||||||||||cīva||||||2636|1337
142|*cōḍ|(to drip slowly) drop by drop|0|cōḍ cōḍ (saṛānā)|||||||||||||||||||2835|
143|*cumaR|head-pad for carrying loads|1144|||summār||hummar|umar̨|hummar|umar||||||summar|cumār (SR)|||||2677|3442
144|*cuṭ-/*ǯuṭ-|hair|1262|cuṭṭī|cuṭṭiŋ (pl.)|cuṭṭī||||juṭṭi "topknot, cock's comb"||cuṭṭi|||||cuṭṭiŋ (pl.)||||||2655|1346, 1434
145|*curk-i|a small basket|96|||curkī|curki||||||||||||||||2691|1351
146|*cuṭ-|mouse, rat|0|||coṭe "mouse"||cuṭi, cuṭiyal "small rat"|cuṭṭi-eli "small rat"||||||||||||||2661|1353, 1368
147|*cuṭ-|smoking-pipe|1150|||||||||||||||cuṭṭa (SR)|||Also Gondi̲A (SR) \Icuṭṭānā\i to smoke||2715|1345
148|*cutr-|nostrils|0|||||||||||sutrīn|||||||||2669|3439
149|*SūR-|whirlwind|694|||||hura māṭya|ur̨a-vaṛi||urgāl||||||||||Also Gondi̲Ko (Su.) \Isūrgāli\i whirlwind|The vowel length is probably original; shortenings can easily be explained by the compound character of the form and, therefore, accent shifts.|2743|3572
150|*cūc-|penis|0|||||||||||||||cūcō (Su.)|||||2681|
151|*cūc-i|musk-rat|1149|||||cūci|cūci||||||||||||||2661|1353
152|*ḍag-|to cough|0||||||||ḍag(u) "coughing, hawking"||ḍagānā||||||||||2939|1542
153|*danḍ-|upper arm|100||||danḍa||danḍa||danḍa|danḍ||||||danḍ, (Su.) ḍanḍ|||||3048|1834
154|*daṛ-gāl|pot-bellied|104||ḍargāl "glutton"|ḍaṛgāl "pot-bellied man"|||||||||||||||||3020|1554
155|*daṛ-ŋ-|to be cold|941|||||daṛeŋ(g)-|daṛŋg-||||||||||||Also Gondi̲Ma caus. \Idaṛŋgiʔ-\i||3045|1847
156|*tāmar|lotus|808||||||||tāmar "sp. lotus"|||||||dāmerā (?) "(SR) flower"|||||3163|1705
157|*dāṛ-i|doe|0||ḍāṛī|ḍāṛī "doe, female of animals"|||||ḍaḍḍa "female of animals"||||||||||Also Gondi̲Ko \Iḍaḍa barre\i she-buffalo||1545|1556
158|*ḍeg-|eagle|134|||||||||||||||ḍego (SR)|||||1527|
159|*deg-|to break, burst|1257|||||deg- "to break off, come to an end"|||deg- "to break (intr.)"||deg- "to burst (intr.)"|deganā "to break (intr.)"|||||||Also Gondi̲M \Idehānā\i to break (tr.); Gondi̲L \Idekhanā\i to tear, rend||3406|1886
160|*ḍej- (*-a-)|to flee|131||ḍaiyānā|||ḍay-|||||||||||||Also caus. Gondi̲Mu \Iḍayh-\i||2950|1553
161|*ḍejv-|to jump|133|ḍai-|ḍahk-|ḍahk-|ḍey-|ḍev-|ḍey-|ḍey-||ḍhay-|ḍehk-|dehek-||||ḍey- (SR)||ḍey-|||2971|1584
162|*ḍēr-|a belch|144|dēr "a belch due to indigestion"||dēr (pl. ḍērk)||||||||||||ḍerka|||||3451|1586
163|*ḍēv-|to scratch up earth|700||||||||ḍēv- "to scratch up earth (of rats); (Su.) to dig (well)"||||||||||||3122|1593
164|*diḍ-i|lane|0|||||||||||||||diḍḍi (SR)|||||3219|1864
165|*ḍig-|to descend|108||||||||ḍig-||ḍigānā||||||||||502|1562
166|*dinḍ-|bud|944|||||ḍinḍa, ḍonḍa|||||||||||||||2963|1565
167|*dip-|highland; heap|1283|||||dippa "highland for cultivation, forest field"|||||dībe "heap"||||||||||3229|1865, 1869
168|*ḍiŋ-|to stand up|136|ḍingānā "to become erect (obscene)"||||ḍiŋ- "to stand on one's toes"|||||||||||||||851|1563
169|*ḍīp-i|mud-wall|0|||||ḍīpi|||||||||||||||452|1566
170|*doḍ-|hole, pit|111|ḍhōḍhur "hole in a tree"||||||||ḍoḍḍo "pit"||||||ḍoḍḍo, (Su.) ḍhoḍḍō "pit"|||||3528|1611
171|*doḍ-|stout|112|dhōdal||||||||||||||ḍhoḍḍhal (SR)|||Also Gondi̲Tr \Idōdrāl uṛūm\i the very largest cattle tick||3491|1636
172|*doḍ-i|cowpen|1354||||||||||||||||||Also Gondi̲FH \Iḍoḍi\i, Gondi̲Grigson \Iḍoḍī\i cowpen||3485|1609
173|*ḍogr|backbone|0|||||ḍogor peṛeka|||||||||||||||2979|1599
174|*doh-|to tie|114|dohtānā "to bind, tie, build a house, weave a fish-trap"|||doh-|doh-|toʔ-, doʔ-, doh-|doh-|toh-|doh-|tohtānā||||doh-|doh-|||||3536|1811
175|*ḍok-|belly|128||||||||ḍokka||||||||||||2976|1596
