NUMBER|PROTO|MEANING|PRNUM|STEMS|TAM|TAMMEAN|TAMDER|MAL|MALMEAN|MALDER|KAN|KANMEAN|KANDER|KOD|KODMEAN|KODDER|TUL|TULMEAN|TULDER|KT|KTNUM|IRU|IRUMEAN|IRUDER|KAS|KASMEAN|KASDER|MISC|NOTES|DEDNUM|CHECKED
11|*agi-|to tremble, fear|2171||||||||agi|to tremble, fear|\Iagurvu\i, \Iagurbu\i amazement, terror; a terrible form; \Iagurvisu\i to be terrifying or formidable; terrify||||aguruni|to totter, stagger|||0|||||||||0012|N
12|*agil|eagle-wood|0||akil (\Iin cpds.\i akir̲-)|eagle-wood, Aquilaria agallocha; the drug agar obtained from the tree|\Iakku\i eagle-wood|akil|aloe wood, Aquilaria agallocha||agil|the balsam tree which yields bdellium, Amyris agallocha; the dark species of Agallochum; fragrance|||||agilụ|a kind of tree|\Ikari agilụ\i Agallochum||0|||||||||0013|N
13|*av-|loose|0||aviṛ (-v-, -nt-)|to become loose, untied|(\I-pp-, -tt-\i) to loosen, untie, unpack||||agal|to become loose|\Iagulu\i to become loose as a peg||||||||0|||||||||0014|N
14|*ag-ai-|to sprout, flourish|0||akai (-v-, -nt-)|to flourish, sprout|(\I-pp-, -tt-\i) to sprout, rise; to raise; \Iakaippu\i rising, elevation|aka|germ, bud, shoot|\Iakekka\i to bud; \Iava\i bud, esp. the fruit-like sprout of Artocarpus; \Iavekka\i to sprout|age|seedling, shoot from the root of a plant or tree, sprout||age|paddy seedling||agge|the shoot of a branch|||0|||||||||0015|N
15|*ag-ai-|to break|23||akai (-v-, -nt-)|to be broken, crumpled, suffer|(\I-pp-, -tt-\i) to break, cut in pieces, beat, trouble, oppress||||||||||||||0|||||||||0016|N
16|*ak-ak-|asunder|0||akkakkāy|asunder|||||||||||akkakka, akkoḷu|n. part; adv. asunder|||0|||||||||0019|N
17|*a(ṛ)k-|wonder|0||||||||akkaja, aṛkaja|wonder, surprise; a wonderful thing|||||||||0|||||||||0020|N
18|*akar̲-ai|necessity|0||akkar̲ai, akkarai|concern, interest, need, necessity|||||akkar̲e|want, necessity, need|||||||||0|||||||||0021|N
19|*akaḷ-ai|cockroach|0||||||||akkaḷe|cockroach|||||ekkale, ekkalu|cockroach|||0|||||||||0022|N
20|*ak-|elder sister|26||akkā, akkai, akkan̲, akkāttai, akkāḷ, akkacci, akkaicci|elder sister||akka|elder sister, wife of an elder brother, elderly maternal or paternal cousin, a term of endearment denoting an elderly woman||akka (\Inom. sg.\i akkaṃ, \Ii. e.\i akkan, \Inom. pl.\i akkaŋgaḷ/akkandir)|elder sister; a woman older than oneself is usually termed \Iakka\i, endearingly girls are also so called by their elders||akkë|elder sister or female parallel cousin||akka, akkè|elder sister||*ak-|10|||||||||0023|N
21|*akil-|confusion, fear|0||akkili-pikkili|confusion, confusion of mind (loc.)|||||akkuḷisu|to fear, flinch, withdraw|||||||||0|||||||||0025|N
22|*ak-i|herpes|0||akki|herpes||akki|inflamed pimples||||||||||||0|||||||||0026|N
23|*aŋ-a|manner, way|0||||||||aŋga|way, manner, mode|||||||||0|||||||||0027|N
24|*aŋkaṇ-am|space between pillars|0||aŋkaṇam|space between two pillars|||||aŋkaṇa|space either between any two posts or pillars in a wall that supports the roof, or between any two beams|||||aŋkaṇa|space between two crossbeams or pillars supporting a roof|||0|||||||||0028|N
25|*aŋk-|battle, fight|89||aŋkam|battle, fight||aŋkam|fight, battle, duel, challenge||aŋka|fight, war|||||aŋka|fight, war, cock-fight|||0|||||||||0029|N
26|*aŋ(k)-|beauty|0||aŋkam|symmetry, beauty|||||||||||||||0|||||||||0030|N
27|*aŋal-|to grieve, lament|85||aŋkalāy (-pp-, -tt-)|to lament, grieve, sorrow, be envious, covet|\Iaŋkalāyppu\i disquiet, mental worry|aŋkalāykka|to lament, grieve|\Iaŋkalāppu\i anxiety, worry, disquiet|aŋgal|to grieve, be afflicted|\Iaŋgalārcu\i, \Iaŋgalācu\i to cry from grief, grieve, sorrow; \Iaŋgalāpu\i lamentation, grief||||aŋgalappu, aŋgalāpa|covetousness|\Iaŋgụ\i greed; \Iaŋgiḍpini\i to be greedy, covetous; \Iaŋgipuni\i to wish, be greedy of; \Iaŋgele\i a greedy person, glutton; \Iaŋŋaṇyuni\i to be greedy of, covet|*aŋǝl-|1170|||||||||0031|N
28|*aŋ-|stirrup|0||aŋkavaṭi, aŋkapaṭi|stirrup||aŋkavaṭi, aŋkapaṭi|stirrup||aŋgavaḍi, aŋkōṇi, (PBh.) aŋkavaṇi|stirrup|||||aŋkōle|stirrup|||0|||||||||0032|N
29|*aŋaḷ|palate|84||||||||aŋgaḷa, aŋgaḷu, aŋguḷa, aŋguḷi, aŋguḷe|palate|(UNR) \Iaŋgilu\i, \Inaŋgilu\i uvula||||||||0|||||||||0033|N
30|*aŋ-ā-|to gape, yawn|88||aŋkā (-pp-, -tt-)|to open the mouth; n. opening the mouth|\Iaŋkāppu\i opening the mouth, thirsting||||angāta|(Bark.) having the face turned upwards|||||aŋgāvuni|to yawn, gape, open the mouth|\Iaŋguni\i to open the mouth, be seized with a fit of yawning|*aŋ-|1169|||||||||0034|N
31|*aŋāḍ-i|shop, bazaar|86||aŋkāṭi|bazaar, bazaar street||aŋŋāṭi|shop, bazaar||aŋgaḍi|shop, stall||aŋgaḍi|shop, stall||aŋgaḍi|shop, stall||*aŋāḍĭ|29|||||||||0035|N
32|*as-a-|to wash|0|||||ayavu|washing|\Iayavukāran\i, \Iayakan\i washerman|asaga, agasa, agasiga|washerman||||||||*as-ǝg|1016|||||||||0036|N
33|*as-aŋ-|to move, shake|2||acaŋku (acaŋki-)|to stir, move, shake|\Iacakku\i (\Iacakki-\i), \Iayakku\i (\Iayakki-\i) to shake (tr.); \Iacai\i (\I-v-, -nt-\i) to move, stir, go away; (\I-pp-, -tt-\i) to shake (tr.), move, agitate; n. cud, sling for carrying or preserving ōla books; \Iacaivu\i shaking, moving about, swinging; \Iayar\i (\I-v-, -nt-\i) to drive, as a chariot|ayakka, ayekka|to send, let go, leave, slacken, loosen|\Iayaccal\i being loose, untied; \Iayappu\i sending, slackening; \Iayappikka\i to make to send, get oneself dismissed, take leave; \Iayayuka\i to slacken; \Iaya\i, \Iayavu\i rumination; \Iayavu\i elasticity; \Iayar̲uka\i to chew the cud|asi|to move, shake, tremble, dangle, pendulate; to throw away, scatter, disperse|\Iasavasa\i haste, speed; \Iasimisi\i without deliberation; \Iasu\i quickness, haste; \Iasumbu\i to cause to move about, shake, agitate|ay- (ayp-, ayc-)|to send||||||0|||||||||0037|N
34|*acaḍ-|stupid|0||acaṭu|stupidity, fool|\Iacaṭan̲\i foolish man, low person; \Iacaṭi\i silly woman|aśaṭu|meanness||asaḍu|stupidity, stubbornness|\Iasaḍa\i stupid man; fem. \Iasaḍi\i||||||||0|||||||||0038|N
35|*as-|faint, drowsy|3||acar (-v-, -nt-)|to become faint, drowsy|\Iacarttu\i (\Iacartti-\i) to cause to be drowsy or sluggish; \Iacati\i drowsiness; \Iacappu\i inattentiveness, absence of mind; \Iacāvu\i (\Iacāvi-\i) to droop, languish, grow slack; \Iacā\i languor, faintness; \Iacai\i (\I-v-, -nt-\i) to be weary, exhausted, grow feeble, walk or ride slowly; \Iacaivu\i weariness, exhaustion; \Iañar\i (\I-v-, -nt-\i) to be lazy, slothful; n. mental distress, disease; \Iayar\i (\I-v-,\i \I-nt-\i) to lose consciousness (as in fainting, sleep, drunkenness), become weary, forget; (\I-pp-\i, \I-tt-\i) to forget; \Iayarcci\i, \Iayarti\i languor, faintness, forgetfulness; \Iayarppu\i, \Iayarvu\i forgetfulness; \Iayā\i languor, faintness; \Iayāvu\i (\Iayāvi-\i) to be distressed; \Iañcal\i laziness, sloth|aśati|drowsiness, forgetfulness|\Iaśattu pōka\i to forget oneself; \Iayarkka\i to swoon, feel estranged, disagree; \Iayarcca\i fatigue, distress, affliction, forgetfulness; \Iayarti\i, \Iayarppu\i swoon, forgetfulness, discord|asur|to feel disgusted, have an aversion or a dislike, be impatient; n. fatigue, faintness|\Iasurusuru\i exhaustion; \Iayil\i, \Iaylu\i bewilderment, madness; \Iāsar̲\i to be weary; n. weariness, fatigue, languor||||ajakè|idleness|? \Iāsarụ\i thirst, that which slakes thirst||0|||||||||0039|N
36|*ac-|a k. of insect|0||acal|mosquito|\Iacaval\i gnat; \Iacar̲u\i minute insect that sticks on leaves and injures plants; \Iacukuṇi\i small insect breeding and feeding on plants; \Iacuvuṇi\i a destructive insect; \Iañal\i, \Iañalam\i sp. of gnat|accu|a little snail||||||||||||0|||||||||0040|N
37|*as-, *asar̲-|mud, mire|1891||acar̲u|mud, mire|\Iacumpu\i soft mud, miry place; \Iayam\i mud, mire|ayam|mud, mire|\Iayar̲u\i manure|||||||||||0|||||||||0041|N
38|*asar̲- (?)|dandruff|0||acar̲u|dandruff, scurf; scab in sheep and goats|\Iayar̲u\i excrescence resulting from a sore; \Iakir\i a kind of scurf||||agaru, hagaru, adaru, aduru|dandruff|||||||||0|||||||||0042|N
39|*as-ai-|to join with|0||acai (-pp-, -tt-)|to join with (tr.), tie, bind|||||asa|fitness, propriety|||||||||0|||||||||0043|N
40|*aǯar-|a k. of moss, undershrub|0||||||||ajara-nīli, ajura-nīli|a low undershrub, perhaps Indigofera aspalathoides Vahl.|||||ajara|a kind of moss (?)|||0|||||||||0044|N
41|*ac- (*pac-?)|to cut in pieces|0||||||||haccu, heccu|to cut in pieces|(Tipt.) \Iǝccu\i to cut into pieces as vegetables; (Gowda) \Ihaccɨ\i to divide (vegetables and fruits)||||||||0|||||||||0046|N
42|*ac-|mould, type|1||accu|mould, type||accu|mould, type||accu|mould, impression, sign, type, stamp||acci|cake of jaggery sugar with hollow in middle (formed in a mould)||acci|form, model||*as (*-c)|1157|||||||||0047|N
43|*ac-|weaver's reed|0||accu|weaver's reed instrument for pressing down the threads of the woof; comb-like frame in a loom through which the warp threads are passed and by which they are pressed or battened together||accu|weaver's reed or stay||accu|weaver's reed|||||acci|weaver's reed|||0|||||||||0048|N
44|*ac-|ridge in a field|0||accu|ridge in a field|\Iaccu-kkaṭṭu\i (\I-kkaṭṭi-\i) to form a ridge around a field; \Iaccukkaṭṭu\i field with ridges, land divided into beds to admit and retain water for the cultivation of paddy||||||||||||||0|||||||||0049|N
45|*aǯǯ-|father, grandfather|1857||accan̲|father|\Iacci\i Nāyar woman (< Ma.); \Iacciyar\i women ascetics; \Iaccō\i excl. of pity or of wonder|accan|father, lord|\Iacca\i mother; \Iacci\i id., Nāyar woman; \Iaccō\i interj. of surprise or pain|acci|mother, a Malayāḷa woman|\Iajja\i grandfather; \Iajji\i grandmother|ajjë|grandfather|\Imutt-ajjë\i great-grandfather|ajje|grandfather|\Iajji\i grandmother|*aǯ|1163|||||||||0050|N
46|*aǯǯ-a(i)|opportunity|0||||||||ajja|time or circumstance favourable for the purpose, opportunity|||||||||0|||||||||0053|N
47|*anc-|relay, post|0||añcal|relay, resting place on a journey, letter post|\Iañci\i letter post|añcal|letter post||añce|a postal road, stage, relay, the post|||||añcal|the post|\Iañcidāye\i postman||0|||||||||0054|N
48|*anǯ-|to fear|53||añcu (añci-)|to fear, dread; n. fear, terror|\Iañcikkai\i (coll.) fear; \Iāñci\i fear; \Iaccu\i id.; \Iaccam\i id., dread, terror|añcuka|to fear, despair|\Iañcal\i, \Iaccam\i awe, fear|añju|to fear, be afraid|\Iañjike\i fear; \Iañjisu\i to frighten||||añjuni, añjiyuni|to fear|\Iañjikè\i, \Iañjigè\i fear, alarm, fright|*anӡ-|23|||||||||0055|N
49|*anc-|edge, brim|0||an̲su|selvage, edge of a cloth (< Te.)|||||añcu|edge, brim, boundary, bank, shore, selvage, border, skirt||||||||*a(n)c|1007|||||||||0057|N
50|*an-ai|mother|0||aññai|mother|\Ian̲n̲ai\i, \Itan̲n̲ai\i mother, elder sister; \Iemm-an̲ai\i our mother; \Itamm-an̲ai\i mother|anna|mother||||||||||||0||||||||The palatal nasal in Tamil possibly due to expressive character of the word.|0058|N
51|*aḍ-ai-|betel leaf|0||aṭaku|greens, edible leaves|\Iaṭai\i leaf, betel leaf, greens|aṭa|leaf, betel||||||||||||0|||||||||0059|N
52|*aḍV-|flesh, meat|0||||||||aḍagu, aḍabala|flesh, meat|||||||||0|||||||||0060|N
53|*aḍa-|to throw, cast out|0||||||||||||||aḍakuni|to throw, cast out, discharge (as a gun)|||0|||||||||0061|N
54|*aḍak-|a k. of plant/herb|0|||||aṭakkā-maṇiyan|Sphaeranthus indicus (\Imaṇiyan\i a kind of paddy)||aḍike-kasa|a low annual plant growing in ricefields, Sphaeranthus indicus Lin.|\Iaḍika-bāṛe-giḍa\i a climbing herb, Cucumis pubescens Willd.||||aḍake-bāre|Cucumis pubescens|||0|||||||||0062|N
55|*aḍ-aŋ-|to submit; to hide|8||aṭaŋku (aṭaŋki-)|to submit, be subdued, be compressed, cease, disappear, be comprised, settle, subside, sleep|\Iaṭakku\i (\Iaṭakki-\i) to control, repress, hide, conceal, bury; \Iaṭakkam\i submission, patience, repose, etc.|aṭaŋŋuka|to be pressed down, enclosed, contained, submit, yield, be allayed, calmed|\Iaṭakkuka\i to press down, subdue, swallow, allay, quiet; \Iaṭakkam\i being contained; all, whole; self-control, modesty, secrecy|aḍaŋgu, aḍagu|to hide, be concealed, disappear, cease, be quenched, be appeased, be humbled, crouch, be contained in|\Iaḍaku\i to press, press into narrower compass, pack, subdue, control; \Iaḍacu\i to press down, pack, stuff in, be humble, silence, shut as the mouth; \Iaḍaka\i pressing into narrow compass, contracting, shrinking, hiding oneself, hiding place, being comprehended or contained in, abridgement; \Iakku\i to subdue, bring under control; \Itāguḍi\i an ambush, lurking or hiding place|aḍak- (aḍaki-)|to hold in closed hands|\Iaḍaka\i act of bringing within a compass, thriftiness, restrictions at festivals|aḍēvuni, aḍēyuni|to be concealed, hide|\Ideŋguni\i to be hidden, concealed, lie in ambush; (B-K.) \Iaḍeŋgụ\i, \Iḍeŋgụ\i to hide; \Iaḍeka\i small, narrow|*aḍǝ-|51|||||||||0063|N
56|*aḍap-|pouch, bag|0||aṭappam, aṭaippam|betel pouch, barber's razor case||aṭappam, aṭappan|betel purse, chunam pouch, barber's dressing case||aḍapa, haḍapa|a small bag, used as a pouch for areca nut and betel leaves, and by barbers as a dressing case|||||aḍapa, haḍapa|barber's dressing case|||0|||||||||0064|N
57|*aḍamb-|a k. of creeper|0||aṭampu, aṭappaŋ-koṭi, aṭumpu|hare-leaf, Ipomoea biloba||aṭampu, aṭumpu|Convolvulus pes caprae||aḍumbu-baḷḷi|a creeping plant, I. biloba Forsk.|||||aḍumbu|the creeper I. maritima|||0|||||||||0065|N
58|*aḍar-|to burst, crack|0|||||aṭaruka|to burst, crack, slit off, fly open|\Iaṭar\i a splinter; \Iaṭarcca\i splitting, a crack; \Iaṭarttuka\i, \Iaṭattuka\i to split, tear off, open (an oyster)|||||||aḍaruni|to crack (intr.)|||0|||||||||0066|N
59|*aḍar-|twig|0||||||||aḍaru|(Hav.) twig|(Bark.) \Iaḍɨrɨ\i small and thin branch of a tree; (Gowda) \Iaḍǝrɨ\i small branches||||aḍaru|twig|||0|||||||||0067|N
60|*aḍa(l)-|a k. of fish|2043||aṭal|a kind of fish|\Iaṭalai\i a marine fish|aṭava|a kind of marine fish||||||||aḍamīnu|a kind of fish|(B-K.) \Iaḍāvu\i id.||0|||||||||0068|N
61|*aḍ-|exclamation, interjection|0||aṭā|excl. addressed familiarly to an inferior or a child and in contempt to an enemy|\Iaṭi\i excl. used in addressing women in a familiar manner; \Iaṭē\i excl. of calling|aṭanna, \Ifem.\i aṭī, \Ihon.\i aṭō|interj. calling persons of lower rank||aḍa aḍā|= Tamil \Iaṭā\i, \Iaṭē\i|||||||||0|||||||||0070|N
62|*aḍāpiḍ-|violence, confusion|0||aṭāpiṭi|violence (coll.)|\Iaṭāvaṭi\i outrage, violence; \Iaṭipiṭi\i broil, fray, scuffle (loc.)|aṭāpiṭi|violence, outrage, quarrel, uproar|\Iaṭipiṭi\i quarrel, scuffle, affray|aḍāvuḍi|alarm, confusion, quarrel, riot, fright|||||||||0|||||||||0071|N
63|*aḍ-i|foot|10||aṭi|foot, footprint, base, bottom, source, origin|\Iaṭimai\i slavery, servitude, slave, servant, devotee; \Iaṭitti\i, \Iaṭicci\i maidservant; \Iaṭiyavan̲\i, \Iaṭiyān̲\i, \Iaṭiyōn̲\i slave, devotee|aṭi|sole of foot, footstep, measure of foot, bottom, base|\Iaṭima\i slavery, slave, feudal dependency; \Iaṭiyān\i slave, servant; fem. \Iaṭiyātti\i|aḍi|foot, measure of foot, step, pace, base, bottom, under|\Iaḍime\i slavery; \Iaḍiya\i slave|aḍi|place below, down||aḍi|bottom, base|\Ikār aḍi\i footsole, footstep; \Iaḍi kai\i palm of the hand|*aḍĭ|4|||||||||0072|N
64|*aḍ-i-|to sweep|0|||||aṭi|sweeping the house|\Iaṭikka\i to sweep the ground; \Iaṭippu\i sweeping|||||||aḍipuni|to sweep|\Iaḍipu\i sweeping||0|||||||||0073|N
65|*aḍ-|to flap, twitch, tremble|0||aṭi (-pp-, -tt-)|to flap, twitch, move spasmodically, blow (as the wind)|\Iaṭuppu\i fear||||aḍalu|to be shaken, tremble, be afraid; n. tremor, whirling confusion of mind, fear|||||||||0|||||||||0074|N
66|*aḍ-|earthen pot|81||||||||aḍigera|(Gowda) a pot|||||aḍḍyara|earthen jar or pot|||0|||||||||0075|N
67|*aḍ-|to cook|80||aṭu (aṭuv-, aṭṭ-)|to cook, roast, fry, boil, melt (tr.)|\Iaṭukkaḷai\i kitchen; \Iaṭicil\i, \Iaṭucil\i boiled rice; \Iaṭuppu\i oven, fireplace for cooking, fire in the oven; \Iaṭṭil\i kitchen, place for performing sacrifical ceremonies; \Iaṭṭu\i a cake of coarse sugar; \Iaṭṭ-uppu\i salt produced by evaporation; \Iāṭu\i cooking, boiling, distillation|aṭuka|to cook|\Iaṭukkaḷa\i kitchen; \Iaṭuppu\i fireplace, hearth, oven|aḍu (aṭṭ-)|to cook, boil, dress, prepare a meal, mature (tr.); n. cooking|\Iaḍi\i, \Iaḍe\i cooking; \Iaḍike\i, \Iaṛke\i, \Iaḍige\i, \Iaḍuge\i cooking, boiling, etc.; \Iaṭṭu\i to evaporate, dry up; n. the state of being free from moisture; \Iaṭṭisu\i to cause to evaporate by boiling; \Iaṭṭ-uppu\i salt produced by evaporation; \Iaṇṭarisu\i to evaporate, as water by boiling; (Hav.) \Iaṭṭumbaḷa\i kitchen|aḍigekārë|cook|fem. \Iaḍigekarati\i|aḍụpini|to cook|\Iaḍi\i cooked, dressed, prepared; \Iaḍiguḷu\i a cook; \Iaḍigè\i cooking, distilling; \Iaḍkala\i cooking shed, oven; \Iaṭṭilụ\i cooking, meal|*aḍ-|46|||||||||0076|N
68|*aḍ-|to pound, beat; to kill|9||aṭu (aṭuv-, aṭṭ-)|to pound (as rice), kill, destroy, conquer|\Iāṭu\i killing, ruining, victory; \Iaṭi\i (\I-pp-, -tt-\i) to beat, strike, dash against, strike, defeat, overcome, slay, punish; n. blow, stroke; \Iaṭar\i (\I-v-, -nt-\i) to beat, strike, mould by beating; (\I-pp-, -tt-\i) to attack, kill, destroy; n. troubling, oppressing; thin flat plate of metal, esp. gold; \Iaṭal\i killing, murdering; \Iaṭalai\i battle, trouble, distress; (PR) \Iaṭarppu\i attack|aṭi|blow, stroke|\Iaṭikka\i to beat, strike; \Iaṭippu\i printing, stamping, coining; \Iaṭiccal\i beating; \Iaṭal\i a fight; \Iaṭalār\i enemies; \Iaṭar\i war; \Iaṭanta\i a mode of beating time in music|aḍacu|to rap, cuff|\Iaḍar\i to pounce upon, rush at (as dogs, etc., do); \Iaḍaru\i an attack; \Iaḍi\i beating, a blow; \Iaḍe\i to strike or throw with finger; \Iaṇe\i to strike, push, drive; to strike or propel with the fingers|aḍi- (aḍip-, aḍic-)|(lightning) strikes (song word)||aḍikai|defeated, vanquished|\Iaṇepuni\i to push, strike against; \Idarpuni\i to thrash, beat, strike, break; \Idartele\i, \Idarpele\i a striker, breaker; \Idartelụ\i breakage, what is broken|*aḍ-ĭ-|1180|||||||||0077|N
69|*aḍ-|to be fit|12||aṭu (-pp-, -tt-)|to be fit, becoming, deserving|\Iaṭaivu\i fitness, propriety, order, manner, course; (?) \Iaṇṭu\i (\Iaṇṭi-\i) to fit, be appropriate to|aṭukka|to beseem, become [i. e. be becoming to], be proportionate to|\Iaṭavu\i regular custom, dexterity, perfection; \Iaṭavi\i dexterity, cleverness|aḍagu|the state of being fit, agreeableness, beauty|\Iaḍavu\i suitableness, properness, proper way, the state of being sufficient; \Iaṭṭu\i fitting, being becoming or proper; ? (Hav.) \Ieḍi\i to be able to do||||||||0|||||||||0078|N
