NUMBER|PROTO|MEANING|PRNUM|PENGO|MANDA|ADDITION|NOTES|DEDNUM
58|*dak-|to take off|0|dak- (-t-) "to remove, take off"|dak- "to take off, peel"|||3007
59|*dal-|to tremble|0||dalka-|||3128
60|*dalŋ-|to winnow with a sideways motion|0|dalŋgi ki-||||3195
61|*darmb-u|ashes|102|darmu "(Kal.) ashes (< Manda)"|nīy-darambu|||3092
62|*dās-|to seek, search|103|dāh- (dāst-)|dāh-|Also Pengo motion base \Idāska-\i||3100
63|*dē-|to cut (e.g. string)|126||dē-|||3140
64|*dēl-|to wipe (intens.)|940||dēlka-|||3466
65|*dēr|bamboo|107|dēr (pl. -ku) "bamboo; bamboo shoot"|dēr "bamboo shoot"|||5485
66|*dol|plant|113|dol "plant; stem, trunk"|dul "plant; sapling"|||3517
67|*dol|ground, floor|827|dol||||3518
68|*dṛās-|(rice) to become stale|941|dṛāh- (dṛāst-)||||3045
69|*dub-en|a sacrifice for the ancestors (\Iakor duben\i)|942|duben||||3387
70|*dug-er|burial place|943|duger||||3375
71|*dum-|to ascend, climb|1324|dum- (-t-)|dum-|Also Pengo caus. \Idup-\i (\I-t-\i)||3326
72|*dū-|to grow old|120|dū- (-t-)||Also Pengo \Idūten\i old man||3374
73|*ḍӓnǯ-|to stick, adhere|0|ḍanj- (ḍanc-)|ḍenj-|||2942
74|*ḍēk-|to carry on the shoulder|135||ḍēk-|||851
75|*ḍī-|(flower) to bloom|0|ḍī- (-t-) "(flower) to bloom, (person) to wear flower"|ḍī- (-it-)|||2960
76|*ḍī-ba-|to crackle (fire)|0|ḍība- (-t-) "(fire) to crackle"|ḍība- "(fire) to spark out"|||2961
77|*ḍrānǯ-i|a species of ant|143|ḍrānji||||2993
78|*ḍre-b-|to belch|144|ḍreb in-||||3451
79|*ḍriŋ- (caus. *ḍrik-)|to be broken|138|ḍriŋ(g)- (ḍriŋt-)|ḍriŋg-|Also Pengo \Iḍrik-\i (\I-t-\i) to break; Manda \Iḍrik-\i to break||2955
80|*ḍroŋ- (caus. *ḍrok-)|to take (child) in lap|0|ḍrok- (-t-)|ḍruŋg-||Manda \Iḍruŋg-\i probably originally meant 'to sit in one's lap'.|2994
81|*ḍumḍ-|naked|118|ḍumḍa||||2966
82|*ḍunḍ-i|bud|944|ḍunḍi||||2963
83|*ḍū-|to touch|138|ḍū- (-t-)||||453
84|*ec-|how much|150|ece/ecek|ece/ecek|Also Pengo \Iecoŋ\i how many (neut. pl.); \Iecakan\i how big (masc.), fem. \Iecakadel\i, neut. \Iecaka\i; Manda \Iecaŋ\i when||5151
85|*ec-|to pluck|151|ec- (-c-)|eh-|||779
86|*ec-|to shoot with bow|945|ec- (ecc-)||||859
87|*e-|that|163|ē|evan "he, that man"|Also Pengo \Ievan\i, \Ihevan\i, \Ieven\i he, that man; pl. \Ievar\i; \Iedaŋ\i, \Iedi\i, \Ihedi\i that (nt.); pl. \Ievaŋ\i; \Iedel\i that (fem.), that woman, she; pl. \Ievek\i; \Ieneŋ\i, \Ieleŋ\i in that way, so; \Iebe\i, \Ihebe\i there; \Iebenḍ\i, \Ihebenḍ\i, \Ievṛaŋ\i at that time, then; Manda pl. \Ievar\i; \Iedel\i she, that woman; \Ieni\i there; \Ieleg\i so, in that way||764
88|*eǯ-ă|to count|154|eja ki-|eji ki-|||793
89|*en-|to beg|168|ēn- (-t-), en- (-t-)|en- (-t-)||Facultative vowel length in Pengo can probably point to a different reconstruction (especially since  inlaut \I*-n-\i goes back to a cluster because of the causative type of conjugation), but the variant with \I*e-\i should at  least be present in PPM as facultative.|905
90|*es-|to lift off from the fire|157|eh- (est-)|eh- (-t-)|||867
91|*et-|to carry (child)|161|et- (-t-) "to take child on hip"|et- "to carry on waist"|||796
92|*evṛ-i|spittle|946|evṛi|evṛiŋ "(pl.) spittle"|||3756
93|*eŋ-|to be left over|947|eŋ(g)- (eŋt-)||Also Pengo \Iek-\i (\I-t-\i) to leave over||780
94|*ēz|water|170|ēz "water, in: \Iēz ība\i to bathe, otherwise used in the pl. \Iēzuŋ\i"|ey|Also Pengo \Iēs\i (variant form of \Iēz\i used in certain combinations, e.g. \Iēs orli\i otter [lit. water-rat]); \Iēski\i thirst; Manda \Iehki\i thirst||5159
95|*ēm (obl. *mī-)|you (pl.)|531|ēp, ēpeŋ (acc.-dat. miŋgeŋ, gen. mī)|īm||See \I*ēn\i for details on Manda vocalism.|3688
96|*ēn (obl. *nī-)|thou|546|ēn, ēneŋ (acc.-dat. niŋgeŋ, gen. nī)|īn||In Manda \Iīn\i developed by analogy with the oblique stem.|3684
97|*ēnd- (caus. *ēt-)|to dance|167|ēnd- (ēnt-) "to dance, (top) to revolve"|ēnd-|Also Pengo \Iēt-\i (\I-t-\i) to make to dance, make (top) spin; Manda intens. \Iētka-\i||895
98|*ǟŋ- (*ē-)|to intercept, hold back, hold up|38||ēŋg-|||340
99|*-mul|in: \Itemul\i hair|948|-mul||||5045
100|*gaǯ-|big|253|gaja||||1093
101|*gap-|a basket|949|gapa||||1243
102|*mgāṛ|daughter|950|gāṛ|gāṛ|Also Pengo \Igaṛce\i girl; Manda \Inā-mgāṛ\i my daughter; \Iāco-mgāṛ\i (pl. \I-mgahke\i) woman; \Igāṛeh\i (pl. \I-iŋ\i) girl||4616
103|*gāṭ-|much|182|gāṭi, gāṭu|gāṭu|||1442
104|*gӓc-|to tie|172|gac- (-c-) "to tie, bind"|geh- (-t-), gehpa- "to bind"|||1099
105|*ges-|to close|297|geh- (gest-)|geh- (-t-) "to shut"|Also Pengo \Igespi\i door; Manda \Igehpi\i door||1980
106|*gēnḍ-|to lean|190|gēnḍ- (-t-) "to lean against"|gēnḍ-|||2012
107|*gēr-|ladder|191|gēra||||2012
108|*gil-|(leaves) to sprout|0|gil- (-t-)||||1583
109|*gin-en|a kind of rat|192|ginen orli|ginen urli|||1605
110|*girŋel|cricket|193|girŋgel|girŋgel|||1569
111|*giṛ-|to comb|309|giṛ- (-t-)||||1582
112|*giṭ-|to correspond|951|giṭā- (giṭa ā-)||||1538
113|*goḍ-/*kuṛ-|creeper|0|goḍi|kuṛi||The two forms cannot be related, because there is no correspondence "Pengo \I-ḍ-\i" - Manda \I"-ṛ-\i". Either one of them is borrowed (although the source is hard to determine), or they simply represent different roots.|2050
114|*gom-eṛ|hump of ox|324|gomoṇ|gupeṛ||Different assimilations in both languages.|1731
115|*goŋ-|to be bent|331|goŋ(g)- (goŋt-)||Also Pengo \Igok-\i (\I-t-\i) to bend, twist; \Igomga\i- (road) to go crookedly (motion base only)||2032
116|*gre-|to scoop up|205|gre- (-t-) "to scoop up with the hand"|grepa-|||1959
117|*gri-|to be bitter|206||gri-|||2260
118|*gruc|stump of a tree|952|gruc|gruc|||1640
119|*gṛaj-|to laugh|0|gṛay- (-t-)||||1256
120|*gṛis-|to slip, slide; be slippery|207|gṛih- (gṛist-)||||2261
121|*gṛok-|to mix and stir ḍēra meal with water|201|gṛok- (-t-)||Also Pengo \Igṛoka\i turbid||1817
122|*gṛūc-|to bend|0||gṛūc-|||1767
123|*gudv-|to blase|211||gudgā-|Also Manda \Igudva\i flame||1715
124|*guḍ-|nest|953|guḍa||||1883
125|*gum-|to jump|955|gum-|gum-|Also Pengo \Igup-\i to climb||1736
126|*gunḍ-a|flour, powder|215|gunḍa "flour"|gunḍa "powder"|||1692
127|*guṇc-|pellet-bow|956|guṇci, guṇca||||1727
128|*gurm-|spider|367||gurma|||1800
129|*gus-p-|short|957|guhu, guhuṭi, guspa, guspaṭi||||1851
130|*guṭ-i|bank of river|212|guṭi|guṭi|||1682
131|*gūǯ|pillar, post|958|gūj (pl. gūcku)||||1878
132|*kūnd (pl. *kūt-ku)|mushroom|379|kūnd (pl. kūtku)|kūnd (pl. gūtke)||Irregular \Ig-\i in Manda.|1893
133|*gōr (*-ū-)|nail|203||gūr (pl. -ke)|||561
134|*gūr-|to fall down|380|gūr- (-t-)||Also Pengo \Igrūt-\i (\I-t-\i) to fell||1907
135|*gū̆s-|to swallow|219|gūh- (gūst-)|guh- (-t-)|||1853
136|*zaŋ-|to be lost|439|jaŋ(g)-|dāŋg-|Also Pengo \Ijak-\i to lose; Manda \Idāk-\i to lose||4760
137|*i-|this|232|ivan/iven, ivar, idel, ivek, idi/idaŋ, ivaŋ "this man, these men, this woman, these women, this thing, these things"|ivan, idel, idi "this man, this woman, this thing"|Also Pengo adj. \Iī\i, \Iinda\i; \Iice\i, \Iicek\i, \Iicaka\i (neut. pl. \Iiciŋ\i, \Iicoŋ\i) so big, so many, so much; \Iigo\i, \Iigoy\i now; \Iinṭaŋ\i in this direction; \Iini\i, \Iibe\i here; \Iibṇi\i belonging to here; \Iileŋ\i so, in this way; \Iiyonḍaŋ\i/\Iiyonḍiŋ\i this year; Manda \Iī\i adj. this; \Iicek\i this much, so much; \Iini\i here; \Iība\i id.; \Iī̃yuṭ\i this year||410
138|*ej-k-|to arrive|152|ika-, ika vā-|neyka vā-|Also Pengo \Iipka\i-, \Iipka vā-\i id. (intensive, < \Iik-pa-\i).|Initial \In-\i in Manda is irregular and rather strange. The same \In-\i is found in Dongriya Kuwi,  but still, the evidence is too few to reconstruct something other than an initial vowel.|809
139|*i-jonḍ-|this year|557|iyonḍiŋ|ī̃yuṭ||In Manda an irregular development, probably due to form frequency.|5153
140|*iz-|to put, put in (salt), fix (fishtrap)|959|iz- (ist-)||||442
141|*il|house|227|il (obl. inj-, pl. ilku)|il|||494
142|*in- (p.t. *ic-)|to say|228|in- (ic-)|in (ic-)|||868
143|*in-|interrogative base|931|inen "who (pl. \Iiner\i, but also sometimes used for sg.)"|ina "what"|Also Pengo \Iindel\i who (fem.); \Iinakan\i who (masc.); \Iinaka\i what (neut.); \Iina\i what (attrib.); \Iines\i how; Manda \Iinan\i who (masc.); \Iindel\i who (fem.); \Iindi\i what (neut.); \Iinka\i where||5151
144|*ineliŋ|yesterday|683||ineliŋ|||3758
145|*iṛ-|to beat, strike, throw (stone)|137|iṛ- (iṛt-)||||443
146|*is-|to strike|230|ih- (ist-) "to strike, beat (drum)"|ih- (-t-) "to beat"|||425
147|*is-|to soak|960|ih- (ist-) "to soak, steep"|ih- (-t-) "to soak, brew (landa)"|||426
148|*isk-e|fire|0|iskiḍipuli, iske jīpoli "firefly"|iske|||428
149|*iṭ-|to put|231|iṭ- (-t-)|iṭ- "to put, put down"|||442
150|*ī-|to bathe|961|ība-||Also Pengo caus. \Iītpa-\i||3687
151|*ǯap-|to teach|209|jap-|jap-|Also Pengo \Ijapa-\i to learn; Manda \Ijapa-\i to learn||1297
152|*zāc- (*ǯ-)|gourd spoon|234|jācka||||4021
153|*ǯāc-|to stretch|727|jāc- (jācc-) "to stretch (tr.)"|jāc- "to stretch out (hand)"|||2433
154|*zel- (*ǯ-)|to pull|224|jel- (-t-)||||860
155|*zen (*ǯ-)|back|238|jen||||2825
156|*ǯej (*z-)|flesh|962|jey||||529
157|*zēc- (*ǯ-)|to winnow|1197|jēc-||||915
158|*ǯē-|to open|105|jē- (-t-)|jē- (-t-)|||3259
159|*zēg-om|roof|963|jēgom||||528
160|*ǯil-|cold|239|jila|jiliŋ "(pl.) cold (water)"|||2576
161|*ǯinǯ-|to fan|241|jinj- (jinc-)|jinj-|Also Pengo \Ijicoṇa\i a fan||800
162|*ǯī- (*z-)|green, fresh (of leaves, etc.)|0||jīani|||3821
163|*ǯīp- (*z-)|girl; young woman|964|jīpoli (pl. jīpok) "young woman"|jīpaṛ (pl. jīpahiŋ) "grown-up girl"||In Manda \Id-\i could be expected, as in \I*zāŋ-\i; we have to suspect influence of the vocalic context.|5167
164|*ǯōc- (*z-)|to carry on the head|149|jōc- (jōcc-)||||3540
165|*ǯō-|to put in, insert|115|jō- (-t-)|jū- (-t-)|||2868
166|*zōm- (*ǯ-)|to stop, rest, cease|225|jōm- (-t-)||||5178
167|*ǯōŋ-|(hen) to sit on and hatch eggs|244|jōŋ(g)- (jōŋt-)|jūŋg-|||2877
168|*ǯunǯun-i|numbness, pins and needles|0|junjuni||||2578
169|*ǯūb-|to suck|246||jūb-|||2621
170|*ǯūc- (*z-)|to close the eyes|97|jūc- (jūcc-)||||3291
171|*ǯū- (*z-)|to descend|0|jū- (-t-)||||516
172|*ǯjak-|stalk|965|jeki, jiki "the small stalk on which a grain of paddy hangs"|jakehiŋ "(pl.) the small stalk on which a grain of paddy hangs"|||2750
173|*kaj-ŋ|a kind of pulse|293|keŋ|kaŋ|||1934
174|*kac-|scorpion|248|kaca kupi "scorpion (\Ikupi\i crab)"|kaca kupe|||1097
175|*kac-|to light (lamp)|252|kacay ki-||||1090
176|*kak-|to vomit|254|kak- (-t-)|kak-|Also Pengo \Ikabga-\i id. (intensive; < \Ikag-ba-\i); \Ikakohiŋ\i (pl.) vomit, what is vomited; Manda intens. \Ikabga-\i||1079
177|*kal|stone|966|kal (pl. -ku)||||1298
178|*kal-a|leaf-plate|258|kala||||1301
179|*kal-iŋ|liquor|295|kaliŋ|kaliŋ|||1374
180|*kamaṇ|forest|260|kaman|kamaṇ||Pengo \I-n\i is extremely strange (misspelled?)|1228
181|*kand-a|fire trench|261|kanda||||1214
182|*kanḍ-|to copulate|0|kanḍ- (-t-)||||1403
183|*kanǯ-|to be dirty, become dirty|0|kanj- (kanc-)||||1088
184|*kaṇ|eye|264|kaṇga (pl. -ŋ, kaṇku)|kan (pl. -ke)||Loss of retroflex articulation in Manda is not quite clear; it either has something to do with the  auslaut position (although \I-ṇ\i is not prohibited in the auslaut), or is due to development by analogy with the plural form \Ikanke\i < \I*kaṇku\i.|1159
185|*kaṇer|tears|263|kaṇer, kāṇel||||1159
186|*kap-|to bite|247|kap- (-t-)|kap- (-t-)|||1222
187|*kar-ija|salt|967|kariya "saltness"|kariya "salty"|||1466
188|*kaṛc-|to evacuate the bowels|346|kṛac- (-c-)|gṛah-|||1356
189|*kaṛd-e|boy|0|kaṛde (pl. -r) "boy, son"|kaṛde (pl. -r)|||1371
190|*kaṛ-|to steal|256||kaṛ- (-t-)|||1372
191|*kaṛ-|black|289||kaṛindi|||1494
192|*kasr-|to be black|0|kahrā- (i.e. kahra ā-)||Also Pengo \Ikahrāti\i black||1395
193|*kat-|to cut (with axe)|273|kat- (-t-)|kat-|Also Pengo intens. \Ikatka-\i||1208
194|*kaṭ-|in: \Iṭaḍaŋ\i \Ikaṭ-\i to gnash the teeth|968|kaṭ-||||1124
195|*kaṭ-|bank of river|177|kaṭa||||1147
196|*kaṭel|cot|276|kaṭel|kaṭel|||1145
197|*kavṛ-i|carrying yoke|0|kavṛi|kavṛi|||1417
198|*kāḍ-|to be burnt|279|kāḍ-|kāḍ-|||1437
199|*kā-|to wait; be awake|280|kā- (-t-) "to wait, watch, wake"|kā- (-t-) "to be awake, watch, wait"|Also Pengo \Ikai ki-\i to wake (tr.); Manda (special base) \Ikāt-\i (\I-t-\i) to watch for, wait for (me, etc.)||1416
200|*kā-|(conjugated only in the negative; pres. \Ikauŋ\i, etc., past \Ikāvataŋ\i, etc., special base \Ikad-\i) to be unwilling, refuse|251|kā-||||1420
201|*kāz-|to plaster, rub on (medicine)|292|kāz- (kāst-)||Also Pengo \Ikāspa-\i to rub on, smear on||1503
202|*kāk- (*-ǟ-)|to open (mouth)|282|kāk- (-t-)||||1421
203|*kāk- (*-ǟ-)|distress|284|kākṛu||||1424
204|*kāl|leg, foot|285|kāl|kāl|||1479
205|*kār-|to dig|288|kār- (-t-)|kār-|||1467
206|*kāṛ-|threshing floor|315||kāṛa|||1376
207|*kās-ă|wild dog|290|kāha/kāhi nekuṛ|kāhi kucri|||1438
208|*kāv-|crow|283|kāv "croak of crow"|kāva|Also Pengo \Ikāva\i crow||1425
209|*kāj-|to warm oneself (in the sun or by the fire)|969|kāy- (-t-)|kāy-|Also Manda \Ikānd-\i (sun) to be hot; to warm oneself in the sun; \Ikāpi ki-\i to heat, roast||1458
210|*kӓd-ija|cloth|970|kadiya, kediya "cloth, waistcloth"|kediya, kidiya "a cloth"|||1190
211|*kӓrz-|to play|250|kraz- (krast-), krez-|key-|||1392
212|*ked-|to become hot|971|ked- (kett-)||Also Pengo \Ikedi ki-\i to heat (water)||1951
213|*ke-|bitter|259|ke- (-t-) "to be bitter"|kembel|||1249
214|*keir-nǯi|ankle bone|311|kirnji gaṭi|kernji gaṭi|||1563
215|*keirg-a|a kind of bee|313|kirga|kerga|||1567
216|*keǯr-|a kind of rat|296|kejra orli||||1937
217|*kel|feather|299|kel (pl. -ku)||||1973
218|*kenǯ- (caus. *kec-)|to be torn|186|kenj- (kenc-)|kenj- (kenc-)|Also Pengo, Manda \Ikec-\i (\I-c-\i) to tear||1940
219|*kej|hand|301|key (pl. -ku)|kiy|||2023
220|*kēǯl-|Grewia tiliaefolia (dhāman tree)|298|kējla||||1997
221|*kēr-|to sing|305|kēr- (-t-)|kēr-|Also Pengo \Ikērkonḍ\i song||2006
222|*kic-|to pinch|306|kic- (-c-)|kic-|||1513
223|*kickic-|disgust|0|kickica||||1511
224|*ki-|to do, make|307|ki- (-t-)|ki- (-t-)|||1957
225|*kindr-|to revolve|0|kindrā- (kindra ā-)|kindrā-|Also Pengo \Ikindray ki-\i to make to revolve||1554
226|*kirp-i|shell|312|kipri "shell (of snail, etc.); skull"|kirpi|||1555
227|*kit-|to tickle|314||kiti ki-|||1551
228|*kit-el|castor oil plant|1078||kitele|||1549
229|*kiv-|ear|972|kitul|giy (pl. -ke)||Pengo \Ikitul\i is a complex form, where \Iki-\i is (at least etymologically) the root. Although  \I-Vl\i is a Pengo suffix, nowhere else do we find the word for ear with a \I-t-\i, so we have to  suppose that \Ikitul\i is a compound form, with its second part unclear. In Manda the form is  simple; however, we have to explain the secondary voicening. Reconstruction of \I*kiy\i is,  therefore, impossible. If we suppose a development of PPM \I*-v\i > Manda \I-y\i (with no  counterexamples), the voicening should be due to PPM \I*kiv\i > \I*giv\i > \I*giy\i; however, it is more probable that \I-y\i is a suffix (like in \Itrey\i 'hair' < \Iter-y-\i), so \Igiy\i < \I*kiv-y\i. Pengo \Ikitul\i in this case goes back to \I*kiv-tul\i.|1977
230|*kṇā-|to cross|197|nā- (-t-)|kṛā-|||1109
231|*koz-u|fowl|330|kozu (pl. kosku), kuzu (pl. kusku)|kuy|||2160
232|*kok-i|father's younger brother's wife, mother's younger sister|320|koki||Also Pengo \Ikogle\i woman (? originally 'girl'); \Ikoy/i/\i (pl. \Ikoyik\i) (small) girl, daughter, sister||2030
233|*kom-|horn|321|koma, komo|kumu|||2115
234|*kop-el|small pot|973|kopel||||2102
235|*kop-ur|leveller (for breaking sods)|0|kopur||||2109
236|*koṛ-ija|son's wife, younger brother's wife|340|koṛiya gāṛ|kuṛiya gāṛ|||2149
237|*koṭ-|to peck|319|koṭ- (-t-) "to dig, hoe, (snake) to bite"|kuṭ- (-t-) "(snake) to bite, (hen) to peck"|Also Pengo \Ikoḍgi\i hoe||2064
238|*koj|smoke|974|koy||Also Pengo \Ikōd-\i (\Ikōtt-\i) to smoke (intr.); \Ikōt-\i (\Ikōtt-\i) id. (tr.), burn incense||2226
239|*koj-|to cut (grass, weeds, etc.)|335|koy- (-t-)||Also Pengo \Ikoyes\i, \Ikoves\i sickle||2119
240|*kōs-ku|(pl.) peons|336|kōsku||||2192
241|*kōḍ-i|cow|333|kōḍi|kūḍi|||2199
242|*kōl|pestle|337|kōl|kūl|||2237
243|*kōndr-|spider|332|kōndru||||2195
244|*kōṇ-|carrying-stick (for two people)|975|kōṇa||||2210
245|*kɔṛ-[g-]|to buy|318|koṛ- (-t-)|kṛag- (kṛakt-)|||2151
246|*krok-|to cough|199|krok- (-t-)|kruk- (-t-)|||2127
247|*kṛaŋ-|to be or become loose|348|kṛaŋ(g)- (kṛaŋt-)||Also Pengo \Ikṛaŋgi ki-\i to loosen||1349
248|*kṛaŋ-|to go bad, become rotten (egg)|976|kṛaŋ(g)- (kṛaŋt-)||||1360
249|*kṛe-|to crow|316|kṛe- (-t-)||||2017
250|*kṛēnǯ-|to dream|349|kṛēnj- (kṛēnc-)||Also Pengo \Ikṛēckonḍ\i dream||1407
251|*kṛik-|to pluck (flower)|0||kṛik- (-t-)|||1589
252|*kṛog-|fresh, new (of leaves)|340|kṛogi|kṛugdi|||2149
253|*kṛō-/*koṛv-|fat|328|kṛō- (-t-) "to be fat"|kṛuva (pl. -ŋ)|Also Pengo \Ikoṛva\i fat||2146
254|*kṛɔj|pit, hole, ditch|347|kṛoy|kṛay|||1818
255|*kṛū-ŋ-|to sink|351|kṛuŋ(g)- (kṛuŋt-) "to sink, submerge (intr.)"|kṛuŋg-|Also Pengo \Ikṛuk-\i (\I-t-\i) to sink (tr.); \Ikṛū-\i (\I-t-\i) to sink into (mud); Manda \Ikṛuk-\i to submerge, make to drown||1826
256|*kuc-|to sit|1275|kuc- (-c-)|kuh- (-t-)|||1900
257|*kuc-a|vegetables, curry|352|kuca|kuca|||1760
258|*kuḍr-u|buffalo|334|kuḍru|kuḍru|||2256
259|*kuler|gruel, pej|977|kuler||||1809
260|*kund-/*kut-|to punch with fist|371|kund- (kunt-) "to punch with fist, pierce with spear"|kut-|Also Pengo \Ikutkahā-\i to strike one another with fists; Manda \Ikund-\i (\Ikunt-\i) to pierce, prod||1719
261|*kun-ā|heel|0|kuna|kune|||1862
262|*kuṇ-ĭ|tuber|361|kūṇi "tuber, root"|kune||Irregular vowel length in Pengo.|1683
263|*kup-a|heap|363|kupa "heap, stack"|kupa|Also Pengo \Ikupli\i mound of earth; Manda \Ikupki-\i to fill||1731
264|*kup-ĭ|crab|364|kupi|kupe|||1734
265|*kur-nǯ-|young male child|0|kurnja||Also Pengo fem. \Ikurnji\i||1791
266|*kṛuz-|(serpent) to slough skin|350|kṛuz- (kṛust-)||||1825
267|*kurv-a|owl|978|kurva|kurva|||1777
268|*kus-|to urinate|979||kuh- (-t-)|||1635
269|*kut-a|hiccough|386|kuta asponḍ|kuta ahponḍ|||1718
270|*kut-|to loosen, unfasten, take off (hat)|354|kut- (-t-)||||1703
271|*kuṭ-ā|thigh|385|kuṭa|kuṭe|||1885
272|*kuṭ-|stump of tree|220|kuṭa||||1676
