NUMBER|PROTO|MEANING|PRNUM|STEMS|KOTA|TODA|ADDITION|NOTES|DEDNUM
11|*arkĭ|rice; grain|192||aky "grain of any grain food when husked"|ašky "rice"|Also Toda \Ines̲išky\i rice||215
12|*al-|not to be|211||alā "(for all persons and numbers) to be not so-and-so"|alos̲y "except (lit. not being)"|Also Kota \Ialād\i which is not so-and-so; bad; except, besides, not only but also; \Ialāvōr\i bad men; \Ialātmēl\i if/since it is not so||234
13|*alǝ-/*alӓ-|to shake|217|\Iintr.\i *al-ǝ-g- (\Ip.\i *al-ǝ-g-ǐ-), \Itr.\i *al-ǝ-k- (\Ip.\i *al-ǝ-k-ǐ-); *al-ӓ-v- (\Ip.\i *al-ӓ-d-) [\I"to wander"\i]|alg- (algy-) "to shake (intr.), swagger"|alx- (alxy-) "to shake (intr.)"|Also Kota \Ialk-\i (\Ialky-\i) to shake (tr.), shake down (e.g. fruit); \Ialv-\i (\Iald-\i) to wander aimlessly; Toda \Ialk-\i (\Ialky-\i) to shake (tr.)|Base vowel \I*-ӓ-\i in the bivocalic derivate reconstructed upon external evidence.|240
14|*alg-|hind (quarters)|229|*alg-elb|algalv "hindquarters (of person or animal), loins"|ageɫ̣f "buttocks and thighs"||Vowel assimilation in Kota. 2nd component \I*-elb\i = \I*elb\i "bone" q. v.|253
15|*aḷ-|cave|277|*aḷ[-ӓ], *aḷ-Vmb- (?)|aḷ|oḷb "animal's den, cave"|||308
16|*aṛĭ-|to spend|249|\Iintr.\i *aṛ-ǐ- (\Ip.\i *aṛ-ǐ-d-), \Itr.\i *aṛ-ǐ- (\Ip.\i *aṛ-ǐ-t-)|aḷc- (aḷc-) "to be erased; erase"|oḍy- (oḍs-) "(money) is spent"|Also Kota \Iaḷyv\i destruction; Toda \Ioḍy-\i (\Ioḍc-\i) (stones of ruinous building) slip down; to spend, expend (property at funeral), overcome (in contest)|Present stem is \I*aṛ-ĭ-\i (with suffixal \I-ĭ-\i) > Kota \I-ḷc-\i, Toda \I-ḍy-\i. Past stem for the transitive forms is \I*aṛ-ĭ-t-\i, for the intransitive forms \I*aṛ-ĭ-d-\i (in Kota \I*aṛĭt-\i, \I*aṛĭd-\i > \I*aṛt́-\i > \I*aḷc-\i; in Toda \I*aṛĭt-\i > \I*oḍt́-\i > \I*oḍc-\i, but \I*aṛĭd-\i > \I*aṛyϑ-\i > \I*oḍϑ́-\i > \I*oḍs-\i).|277
17|*aḷӓ-|to measure|265|*aḷ-ӓ-v- (\Ip.\i *aḷ-ӓ-d-)|aḷv- (aḷd-)|aɫ̣- (aɫ̣ϑ-)|Also Kota \Iaḷv\i limit; Toda \Iaɫ̣t-\i (obl.) measure|Toda \Iaɫ̣-\i < \I*aɫ̣f-\i due to the influence of the past stem.|295
18|*amb|arrow, flensing knife|160||amb, am|ob|||178
19|*pīv|a k. of plant|3548||pīv "various plant species"|pɨf "Indigofera pulchella"|Also Kota \Iam bīv\i Indigofera pulchella, \Iūr vīv\i, \Ipī dūr\i Cassia tomentosa, \Ikāṛ vīv\i Sophora glauca, \Icīm bī dūr\i Hypericum hookerianum||4229
20|*amǝ-|to press|151|\Iintr.\i *am-ǝ-g- (\Ip.\i *am-ǝ-g-ǐ-), \Itr.\i *am-ǝ-k- (\Ip.\i *am-ǝ-k-ǐ-)|amg- (amgy-) "to be pressed hard"|omx- (omxy-), omg- (omgy-) "to be pressed down"|Also Kota \Iamk- (amky-\i) to press hard, make to keep quiet; \Iamk\i act of pressing; \Iamc-\i (\Iamc-\i) to press, throw (woman) on ground to rape; Toda \Iomk-\i (\Iomky-\i) to press down|Toda \Iomg-\i possibly borrowed from Kota (or Badaga?).|169
21|*nēr̲|yesterday|3154|*nēr̲ (\Iobl.\i *nēt̲-)|nēr (\Iobl.\i nēt̲-)|ɨnēr̲|Also Kota \Iamnēr\i two days before yesterday|Toda \Iɨnēr̲\i < \I*ir\i + \I*nēr̲\i 'two-day'.|3758
22|*ai|five|2392|*ai, *ai-nӡ|anj|üӡ (\Iobl. stem\i üӡn-) (\ITӧwfiɫ̣y dialect\i üj)|Also Kota \Iay vat\i fifty; \Iay oḷk\i five oḷk measures; \Iam bāṇy\i five pāṇy measures; \Ia calg\i five calg measures; Toda \Ipūj\i fifteen; \Ie boϑ\i fifty; \Ioy nūr̲\i 500; \Ioy ak\i five ačok measures; \Ioy xwāw\i five kwāx measures|The derivative '50' should be reconstructed as \I*ay pat\i > \I*ay vat\i (samdhi).|2826
23|*anӡ-|to fear|48|*anӡ- (\Ip.\i *anǯ-)|anj- (anj-)|oӡ- (oj-)|Also Kota \Ianjalk\i fear; \Ianjrc-\i (\Ianjrc-\i) to terrify; Toda \Ioӡk\i, \Iojky\i fear; \Iojur̲t-\i (\Iojur̲ty-\i) to terrify (\I*ur̲t-\i to cause to be)|The past stem \I*anǯ-\i < \I*anӡ-ǐ-\i. Unclear whether Kota \Ianjrc-\i and Toda \Iojur̲t-\i go back to the same form (\I*anǯ-ur̲-t-ĭ-?\i)|55
24|*aṇ|channel; edge of swamp|108||aṇ "water channel brough to village from stream"|? ony "edge of swamp"|Also Kota \Iēt̲ aṇ\i edge of bank or stream or tank|Toda form is irregular (\Iṇ\i would be expected). It is probably a re-borrowing from Telugu.|122
25|*aṇ|elder brother or male parallel cousin|117||aṇ|oṇ, oṇoṇ|||131
26|*anḍ-|to set in place|106|*anḍ- (\Ip.\i *anḍ-ǐ-), \Icaus.\i *anḍ-Vc-|aṇḍ- (aṇḍy-) "to be in same place with, approach, be in or move into place to seize prey"|oṇc "ferrule on stick or pounder"|Also Kota \Iaṇḍc-\i (\Iaṇḍc-\i) to set (a thing) in place|Caus. \I*aṇḍ-Vc-\i > Toda \Ioṇ-c\i ('something set on a stick').|120
27|*anḍӓ|pot|116||aṇḍy "pot into which cow is milked, bamboo pot used formerly to carry broth to workers in the field"|aḍy "clay pot"||Irregular -y in the auslaut position (zero would be expected); borrowing not excluded.|130
28|*aṇǝg|lower jaw, molar teeth|100||aṇg "lower cheek"|oḷ "molar tooth"|Also Kota \Iaṇg val\i molar teeth|Toda \Ioḷ\i probably < \I*aṇg-pal\i > \I*oṇ-pl\i > \I*oṇḷ\i > \I*oḷ\i (although cf. Tamil \Iaṇal\i).|114
29|*aŋāḍĭ|bazaar|31||aŋgāḍy "shop, bazaar"|ogod̲y "bazaar (? < \IBadaga\i)"|Toda \I-d̲-\i is unclear; however, explaining it as a result of borrowing (which is proposed by Burrow and Emeneau) is equally unsatisfying, since in Kannada we also have \I-ḍ-\i. Probably a dialectal form (a similar irregular development is also met in a few other cases).||35
30|*ak-|inside|6||aŋgāl "instep"|ōpoṛ- (ōpoṭ-) "to be caught, be got"|Also Toda \Iōpoṛc-\i (\Iōpoṛč-\i) to catch, get; \Iwɨrxity\i husband's brother's wife|Kota \Iaŋgāl\i < \I*ak-ǝm-kāl\i ('inside of foot'); Toda \Iōpoṛ\i- < \I*ak-paṛ-\i 'to be included within' (see Tamil forms). Toda \Iwɨrxity\i < PN \I*or-k-at-i\ĭ < \I*or-ak-at-i\ĭ (see Tamil \Iōr-akatti\i).|7
31|*paṛǐ-|to abuse|3356|*paṛ-ǐ- (\Ip.\i *paṛ-ǐ-t-), *paṛ-ǝ-k- (\Ip.\i *paṛ-ǝ-k-ǐ-)|paḷc- (paḷc-)|pāk- (pāky-)|Also Kota \Ipaḷy\i retribution; \Iapṛ/ḷyk ipṛ/ḷyk\i onom. of scolding (as in: \Iapṛykē ipṛykē (id̲)r maṇcukō\i he scolded vigorously); ? \Ipayāc\i woman who has casual sexual intercourse|Toda \Ipāk-\i < \I*paṛ-Vk-\i.|4002
32|*ar[ӓ]|half|207||ar|ar|||229
33|*ar̲[ӓ]|flat rock|290||ar|ar̲|||321
34|*arǝmb|good time|210||arb "extreme happiness (at getting a good meal, finding money, escaping death, etc.)"|arb "good life (with nothing to do but eat)"|||232
35|*arǝs|king|179||arc "official of Mohammedan government of Mysore"|ars "king; European man"|Also Kota \Iarman\i palace; Toda \Iarman\i palace|Sanskrit \Irājan-\i.|201
36|*arǝs-|saffron|197|*arǝs-ǝn|arcn "saffron (i.e. turmeric)"|arsn "saffron, yellow"|||220
37|*arǝ-|to reduce, subdue|198|\Iintrans.\i *ar-ǝ-g- (\Ip.\i *ar-ǝ-g-ǐ-), \Itrans.\i *ar-ǝ-k- (\Ip.\i *ar-ǝ-k-ǐ-)|arg- (argy-) "to be reduced (water by evaporation), (swelling) goes down, become reformed in character, be depressed (because of poverty)"|arx- (arxy-) "to be subdued"|Also Kota \Iark-\i (\Iarky-\i) to use up extravagantly; Toda \Iark-\i (\Iarky-\i) to subdue; \Iarkm\i state of being subdued||221
38|*ar̲ĭ-|to know|282|*ar̲-ǐ- (\Ip.\i *ar̲-ǐ-d-)|ayr- (arc-)|ar̲y- (ar̲s-)|Also Kota \Iarv\i sense, wisdom; \Iarkym\i information given, royal proclamation; Toda \Iar̲ynbet̲-\i, \Iarybet̲-\i (\I-bet̲y-\i) to be insane, mad||314
39|*arĭ-|to burn (of mouth)|191|*ar-ǐ- (\Ip.\i *ar-ǐ-t-)|ayr- (arc-) "(mouth) burns"|ary- (arc-) "(woman) desires sexual intercourse"|Also Kota ? \Iarl\i fever||214
40|*aṛǝl-|flame, heat|248||aṛc- (aṛc-) "(flame) shoots up; to make (flame) shoot up"|as̲ "heat of sun or fire"|Also Kota \Iarl\i fever|Kota \Iaṛc-\i cannot go back to simple \I*aṛ-\i (in that case \I*aḷc-\i would be expected).|276
41|*ar̲ǝ-|to cut|283|*ar̲-ǝ-p- (\Ip.\i *ar̲-ǝ-t-)|arv- (art-) "to cut (meat) into small pieces for broth"|ar̲f- (ar̲t-) "to cut, reap"|Also Kota \Iarmbaṛ-\i (\Iarmbaṭ-\i) to starve; ? \Iarvaŋgāṛ\i place where no one has lived; \Iarvaṭy\i n. pr. Badaga village (the Badaga name is Araṭṭi; probably < \Iarv-paṭy\i 'Badaga village in distant, lonely place')||315
42|*ār̲-|to cool|366|\Iintrans.\i *ār̲- (\Ip.\i *ār̲-ǐ-), \Itrans.\i *āt̲- (\Ip.\i *āt̲-ǐ-); *ār-ǝv- [\I"thirst, fatigue"\i]|ār- (āry-) "to become cool (liquid or solid), (dew) dries, (wound) heals"|ōr̲- (ōr̲y-) "(hot water) cools, become dry by heating (e. g. cloth, head, body)"|Also Kota \Iārc-\i (\Iārc-\i) to make (liquid) cool, make to dry in heat; \Iāt-\i (\Iāty-\i) to expose to fire to remove pollution (e.g. wet clothes or meat which might damage child in house, jewelry removed from corpse); \Iarv-\i (\Iart-\i) (water) is wanted; \Inīr arp\i thirst; \Iarp āṛ-\i (\Iāṛy-\i), \Iarp ēgūṛ-\i (\Iēgūc-\i) to take a rest; Toda \Iōt̲-\i (\Iōt̲y-\i) to dry in heat (tr.); \Iāɫ-\i (\Iāt̲-\i) (stream) goes dry, (pool, puddle) dries up; \Iar̲t-\i (first stem does not occur) to be thirsty; \Iar̲p\i a rest; \Iar̲p oḍg-\i (\Ioḍgy-\i) to take a rest; \Iar̲n\i (obl. \Iar̲n-\i) dry dung; ? \Iar̲-\i (\Iar̲ϑ-\i) to be fatigued; \Iōr-\i (\Iōry-\i) (dispute) is settled; \Iōrc-\i (\Iōrč-\i) to settle (dispute) (?< Badaga); \Iōr̲c-\i (\Iōr̲č-\i) to reopen settled dispute because the settlement was unjust (i. e. alleviate, etc.)|Also reconstructed is deriv. \I*ār̲-ǝv-\i 'thirst; fatigue'. Toda \Iāɫ-\i hardly belongs here at all, while the r-forms are most certainly borrowings from an SDR dialect where *r̲ > r.|404
43|*par̲ĭ-|to break, pluck|3377|*par̲-ǐ- (\Ip.\i *par̲-ǐ-t-), *par̲-ǐ [\I"rag"\i]|payr- (parc-) "to break by pulling both ends (\Iintr., tr.\i; as rope, flower-stem), pull out (as hair)"|par̲y- (par̲c-) "to pluck forcibly, (string) breaks"|Also Kota \Ipayr\i rag; \Iartm\i, \Iartym\i sharpness; Toda \Ipar̲y\i rag|Kota \Iartm\i either borrowed from Badaga or (more probable) simply does not belong here.|4027
44|*ār̲|six|2125||ār|ōr̲|Also Kota \Iar vat\i sixty; \Iār nūr\i 600; \Iar vāṇy\i six pāṇy measures; Toda \Ipār̲\i sixteen; \Iar̲oϑ\i sixty; \Iōr̲ nūr̲\i 600; \Iar̲ xwāw\i six kwāx measures||2485
45|*pat|ten|3281|*pat; *pad-, *pad-n- [\Iin compounds\i], etc.|pat|pot|Also Kota \Ipad-\i ten (in 13, 14); \Ipadn-\i ten (in 15-18); \Ipan-\i ten (in 11-18); \Ipatrmbād\i, \Ipotrmbād\i nineteen; \Ipand̲\i eleven; \Ipon-\i ten (conservative speech; in 11, 12, 14-18); \Ipod-\i id. (conservative speech; in 13); \Ipo calg\i ten calg measures; \I-vat\i ten (\Iivat\i twenty, \Inālvat\i fourty, \Iayvat\i fifty, \Iarvat\i sixty, \Ieḷvat\i seventy); \I-bat\i id. (\Iembat\i eighty, \Itombat\i ninety); \I-at\i id. (\Imuat\i thirty, \Inālat\i forty); \Ipatat\i by tens; \Iirvād\i twenty; \Iorbād\i nine; \Imu pād\i thirty days; \Inār pād\i forty days; Toda \Ipon-\i ten (in 11-13); \Ipāng\i fourteen; \Ipūj\i fifteen; \Ipār̲\i sixteen; \Ipāw\i seventeen; \Ipūṭ\i eighteen; \Ipūṇboϑ\i nineteen; \I-foϑ\i ten (\Iɨfoϑ\i twenty, \Iӧwfoϑ\i seventy, \Inaɫpoϑ\i forty); \I-boϑ\i id. (\Ieboϑ\i fifty, \Iēṇboϑ\i ninety); \I-oϑ\i id. (\Iar̲oϑ\i sixty)||3918
46|*aḍ-|to cook|67|*aḍ- (\Ip.\i *aṭ-)|aṛ- (aṭ-) "to cook by boiling, bake (pots)"|oṛ- (oṭ-)|||76
47|*aḍ-|to happen; to give|70|*aḍ- (\Ip.\i *aṭ-); *aḍ-ӓ-vǝn- [\I"dowry"\i]|aṛ- (aṭ-) "(something) happens to a person"|aṛpɨn "dowry (of buffaloes given by girl's father)"|Also Toda \Iaṛpɨt ɨr\i buffaloes of the dowry; \Ines̲oṭ-\i (\Ines̲oṭy-\i) to put to forehead in salutation, put forehead to something (e. g. ground) ceremonially (\Ines̲n\i ground); \Ites̲oṛ-\i (\Ites̲oṭ-\i) to place cover on oneself (or someone else) for sleeping (\Ites̲\i, cf. \Itel-\i to wrap tightly [garment])|Toda \Iaṛpɨn\i < \I*aḍ-ӓ-pǝn-\i (whence \Ia\i, not \I*o\i); the modified form is seen in \Ites̲-oṛ-\i.|79
48|*paṛd-|to tell|3357|*paṛd- (\Ip.\i *paṛd-ǐ-)|paṛd- (payd-/paṛdy-), aṛd- (ayd-/aṛdy-)|? ӧšt- (ӧšty-) "to say, tell (story lament) (or with 4430)"||A unique case of a \I*-ṛd\i-ending stem in PN. It may go back to an earlier suffixal stem \I*paḍ-V-nd-\i or \I*paṛ-V-nd-\i (cf. the frequent occurrence of the cluster \I-ṛd-\i < \I*-ḍ-V-nd-\i in past stems from strong bisyllabic bases). Forms with zero anlaut, however, are irregular - dialectal or borrowed from Kannada dialects where they have not been preserved themselves.|4003
49|*paj-|story|0|*paj-k-ǝm|paykm (\Iobl.\i paykt-) "a story"|pāym (\Iobl.\i pāyt-) "story of actual event"|(?) Also Kota \Ipāc-\i (\Ipāc-\i) (pair word with \Iparc-\i to pray)|Isolated PN root with an unclear etymology. Any possible connections with *paṛ- "old" q. v.?|4003
50|*aḍǝd-|a k. of tree|83|*aḍǝd-ǝn|aṛdn marm "Meliosma Wightii"|oḍdn "sp. tree with edible berries"|Also Kota \Iaṛdn vaṇ\i its fruit||92
51|*aḍǝ-|to stop, calm down|55|\Iintrans.\i *aḍ-ǝ-ŋ- (\Ip.\i *aḍ-ǝ-ŋ-ǐ-), \Itrans.\i *aḍ-ǝ-k- (\Ip.\i *aḍ-ǝ-k-ǐ-); *aḍ-ǝk-ǝm [\I"submission, burial"\i]|aṛg- (aṛgy-) "to stop, be obedient"|oḍg- (oḍgy-) "to be quiet, find sleeping accomodation in a crowded place"|Also Kota \Iaṛk-\i (\Iaṛky-\i) to cause to stop; \Iaṛkaṭm\i obedience; \Iaṛkm\i (obl. \Iaṛkt-\i) act of making submit, burial; Toda \Ioṛk-\i (\Ioṛky-\i) to subdue, give sleeping accomodation in a crowded place; \Ioḍkm\i (obl. \Ioḍkt-\i) submission, burial||63
52|*aḍǝ-|to be piled up in order|71|\Iintrans.\i *aḍ-ǝ-ŋ- (\Ip.\i *aḍ-ǝ-ŋ-ǐ-), \Itrans.\i *aḍ-ǝ-k- (\Ip.\i *aḍ-ǝ-k-ǐ-)|aṛg- (aṛgy-)|oḍg- (oḍgy-)|Also Kota \Iaṛk-\i (\Iaṛky-\i) to pile up in order; \Iaṛkm\i (obl. \Iaṛkt-\i) piling up in order; Toda \Ioṛk-\i (\Ioṛky-\i) to pile||80
53|*aḍӓ|betel pouch|80|*aḍӓ-kǐ|aṛky|aḍky||*-kǐ < *kāj "fruit" (cf. external evidence).|88
54|*pat̲-|to catch|3383|*pat̲- (\Ip.\i *pat̲-ǐ-)|pat̲- (pac-) "to catch, seize, hold, hold out, be obstinate, resolve, (fire) catches; suit, please"|pat̲- (pat̲y-) "to seize, catch, touch, marry (woman), (bull) covers cow"|Also Kota \Ipat̲\i, \Ipat̲l\i act of seizing; etc.; \Iat̲-\i (\Iac-\i) to seize firmly, persist (in doing); \Ipat-\i (\Ipaty-\i) to become stuck fast; \Iat-\i (\Iaty-\i) to climb; fight; \Ipaty\i concerning; Toda \Iӧt-\i (\Iӧty-\i) to stick to; climb|Both Kota \Ipat-\i and \Iat-\i seem to be Kannada borrowings. Toda \Iӧt-\i has been inserted here by B&E but is absolutely irregular; semantic contamination with \I*et-\i "to raise"???|4034
55|*aṭ|ditch; cliff|92||aṭ "ditch, ravine; perpendicular cliff"|oṭ "cliff (song word; said to be < Badaga \Ihaṭṭu\i)"||Despite the comment about the Toda word, it obviously belongs together with the Kota form, but further etymology is unclear.|101
56|*aṭ-|to pour|88|*aṭ- (\Ip.\i *aṭ-ǐ-)|aṭ- (ac-)|oṭ- (oṭy-)|Also Kota \Imoḷ aṭ-\i to urinate||97
57|*aṭ-|loft|84|*aṭ-ǝm (\Iobl.\i *aṭ-ǝt-)|aṭt "loft, attic"|oṭm (\Iobl.\i oṭt-) "place for firewood made of cords tied from side rafters to roof"||In Kota the oblique stem superseded the direct one|93
58|*avӓ|mother, mother's sister or female parallel cousin|246||av|af, afuf|||273
59|*ag[ǝ]ṛ-|to dig|10|*ag[ǝ]ṛ-v- (\Ip.\i *ag[ǝ]ṛ-d-)|av- (avd-) "to dig hole with tool"|aḍ- (aḍϑ-)||Inlaut cluster reconstructed based on external data. Preservation of Toda \Ia\i is explained by the development \I*agǝṛ-v-\i > \I*aṛ-ǝv-\i > \I*aḍ-\i.|11
60|*avӓ-|to pestle|2049|*av-ӓ- (\Ip.\i *av-ӓ-t-); *av-ǝl [\I"puffed rice"\i]|kac av- (aft-) "to pestle (millet) second time"|af- (aft-) "to pound with light strokes"|Also Kota \Iaky av-\i (\Iavt-\i) to pestle (millet) third time; Toda \Iofɨl\i puffed rice||2391
61|*avĭrӓ|bean|237||avr|efɨr|A "double" umlaut: \I*avar-ay\i > \I*avǝrӓ\i > \I*avĭrӓ\i > Toda \I*evirӓ\i > \I*efɨr\i.||264
62|*aj-|father, father's brother or parallel male cousin, mother's sister's husband|175|*aj-ǝn|ayṇ|in, eyī (\Ivoc.\i eyā)||Retroflex -ṇ in Kota is hardly regular (peculiar cluster development?).|196
63|*ajā|exclamation|176||ayā "excl. of surprise or grief"|eyā "excl. of surprise"|Also Kota \Iayā avā\i excl. of grief||196
64|*ar-|to divide in small pieces|189|*ar-ǝ-k- (\Ip.\i *ar-ǝ-k-ǐ-); *ar-ǐ [\I"small heap"\i]|ayr "small heap of grain stalks made of one handful in reaping"|ark- (arky-) "to chip, cut square (end of plank or post)"|||212
65|*sap-|to suck|1996|*sap- (\Ip.\i *sap-ǐ-)|cap- (capy-) "to suck repeatedly (as when child sucks breast)"|sop- (sopy-)|||2334
66|*ā-|to become, be agreeable, be of use, menstruate|301|\Iintrans.\i *ā-g-, \Itrans.\i *ā-k-|āg- (āy-/ān-; \Isome forms from\i ā-; \Igerunds\i āṛy, āṭy)|ōx- (\Iirregular with stems\i ōy-, ōn-, ō-)|Also Kota \Iāk-\i (\Iāyk-\i) to make to become, construct (plough); \Iākc-\i (\Iākc-\i) to make to become, prepare; Toda \Iōk-\i (\Iōky-\i) to place; \Iọ̄\i, \Iọ̄ ọ̄\i, \Iọ̄họ̄\i yes||333
67|*vāj|mouth|4465||vāy "mouth (of living thing, cup, bag, pot), mouthful, rim, brink, edge (as of knife)\i"|pōy|Also Kota \Iā kēr vāy\i other bank, other side; Toda \Ipō ner̲f-\i to fill to brim||5352
68|*āḷ|man|361||āḷ "man, servant, husband"|ōɫ̣ "man, Toda"|Also Toda \Iōḷ\i coolie (< Tamil)||399
69|*pā[j]|empty|3452||pāy (\Ibefore vowel\i), pā (\Ibefore consonant\i) "empty, abandoned (house, village-site, tortoise shell, hand, pot)"|pōy (\Ibefore vowel\i), pō (\Ibefore consonant\i) "empty (house, village, place)"|Also Kota \Ihāḷ\i, \Iāḷ\i ruin (< Badaga); Toda \Iō gōḍ\i, \Iō cīmy\i deserted place (< Badaga); \Ipāṛ\i dry buffaloes, buffaloes that have gone wild||4110
70|*ār̲|path, way|367|*ār̲ (\Iobl.\i *āt̲-)|ōyṇ-ār (\Iobl.\i ōyṇ-āṭ-) "path"|ōr̲ (\Iobl.\i ōt̲-) "way, entrance into thicket"|Also Kota \Iāḷ-ār\i (obl. \Iāḷ-āṭ-\i) way, distance; \Iār āṛ-\i (\Iāc-\i) to settle upon a course of action; Toda \Iōɫ̣ ār̲\i (obl. \Iōɫ̣ āt̲-\i) path; \Itɨr̲ ār̲\i (obl. \Iāt̲-\i) open space between front of enclosing wall and entrance of house; \Ipōs̲ ār̲\i (obl. \Iāt̲-\i) entrance, doorway; \I-ār̲\i by way of, through; around, all over; up to (a time), until|The retroflex consonant in the Kota oblique stem is due to assimilation.|405
