NUMBER|PROTO|PRNUM|MEANING|STPRO|CHU|KOR|PAL|ALU|CHFUNC|KOFUNC|ALFUNC|IM|BOG|RKS|NRS|YFA|PAK|COMMENTS|NIOD|NIODNUM|EXT
40|*aʒfa # "|556|головной мозг|*ajwa #|aˊjo, aˊjva-|aˊwwi, awja- (III)||ewa-iw ", ewa-|ajva-lqǝl||mal-ewa-lhǝ-n 'мозговитый'|35|2|227|11|305||||0|
41|*eʒeʁu- < *eʒǝʁu-|718|удить рыбу 1, удочка, заброска 2|*ejehu-|ɛɛjʔu-tku- (АБ) 1|ejeˊhu-tku- 1, ejeˊhuneŋ, ajaˊhonaŋ* 2|ejahu-, ejehu- 1|ajaʔu-(p-) 1|||ajaʔu-cʔǝ-n, ajaʔu-lqiv-, ajaʔu-naŋ-pilˊ, ajaʔu-nˊaŋ-jucɣǝ-n, ajaʔul/lˊʔat-|475||593|232, 26|293|241, 278|Судя по постоянному ударному положению вставочного редуцированного, он и должен перейти в -aˊ-h- и дать трехсложную основу. Сравни подобное поведение -ǝˊ- перед -h- в корнях 'смотреть', 'луна', 'сколько' и др. Все дело в том, что -h- между двумя полными гласными внутри корней не бывает, такие случаи есть, но редко, на стыке основы и аффикса.||0|
42|*eʒeke|0|лампа, жирник 1, свет от огня или лампы 2|*ejeke|ɛjɛk(ɛ), ɛˊɛk (ɣ-ɛˊɛɣ-lin comm.) 1|ejek(e) (I) 1|ejek(e) 1|ajak 2||||474|24|||293|28, 283|Ср. *aʒɫъ # 'огниво' (44).||0|
43|*eʒu-|79|ожить, очнуться|*eju-|ɛˊju-|eju-|eju-|aju-(lʔat-)|cf. ɛɛ-twǝ- 'убивать' (АБ)||aju-lʔat-|483|25|||294|278|||0|
44|*aʒLV #|558|огниво (ружейное) 1, кремень 2|*ajɨl ~ *ajlV|aˊel 1, ac-uˊkwǝn 2||||||||2, 1|||||Ср. *eʒeke 'свет от огня, лампы' (42).||0|
45|*aʒcъŋ(-)|945|долг 1, задолжать 2|*ajcъŋ(-)|aˊcǝŋ 1, aˊcǝŋǝ- 2|aˊcǝŋ 1, acǝˊŋ-at- 2|ac̨ŋ-o casual. 1|ācǝŋ 1|acǝˊŋǝ-lʔǝ-n||ācǝŋǝ-lʔǝ-n|12|1||25|302|71|||0|
46|*ʁeʒle-re- (~ ạ)|0|скучать|*hejle-re- (~ ā)|ʔɛlɛrɛˊ-|||halˊara-|ʔalaraˊ-ɣǝrɣǝ-n|||2897|23|||428||||0|
47|*ʁeʒbǝ ", *feʒbǝ|0|пай, доля 1, разделять 2, мстить 3, гостинец 4, пай, доля участиников при разделе моржа 5|*hejvǝ "|ʔɛˊjvɛ-ɛj ", t-(ʔ)ɛˊjwǝ-ŋ 1, ɛjvǝ- 2, ɛjwɛt (АБ) 4, vɛˊɣ-nǝ, vɛˊjwu-t pl. 5|ejve-t du. (I) 1, ejvet-ev- 2, ine-hejvǝ- (I) 3|||В чук. ti-nǝ < "tijjǝ + показатель сингулятива -n/-nǝ.|||486, 854|26, 143|476||||Ср. чук. ra-jweˊt- 'собираться кочевать, укладывать груз на нарты', rʔɛ-jvɛˊt- 'разбирать шатер', ninɛˊjvǝ- 'увещевать, поучать' (Богораз 100, 128, 126). В чук. vɛɣ-nǝ < "vɛj + показатель сингулятива -n/-nǝ, ср. tiˊ-nǝŋ, ti-nǝ 'посох' < *tiʒbǝ (1239). Последний чук. вариант отражает ассимиляцию по огубленности первого согласного согласному начала второго слога.||0|
48|*aʒra-n|0|шалаш 1, зимник 2|*ajra-n|aˊɣra-n 2||ajr, ajra-n 1|||||19, 20|2||||243|*aʒ-ra-n со второй частью 'дом'?||0|
49|*ạʒɣǝ̣- "|0|пронизывающий, сквозящий 1, запах по ветру 2, подветренная сторона: запад (на полярном побережье) 3, север (на тихоокеанском побережье) 4, против ветра 5|*ājɣǝ̄- "|ɛˊjɣɛ-ɛj ", ɛjɣǝ- 2, ʔɛˊjɣǝ-sqǝ-n 3, 4, aˊjɣepǝ abl. 5|ajɣǝˊ-tqǝ-n (III) 2, 4, ejɣǝˊ-tqǝ-n 4|ejɣǝ-c̨qǝ-n 4|eɣǝ-, eɣi/ǝr- 1, eɣǝ-cqǝ-ŋqal 4|ʔɛˊjɣǝ-sqǝ-n|ajɣǝˊ-tqǝ-n, ejɣǝˊ-tqǝ-n|eɣǝ-cqǝ-ŋqal|476|24, 25, 2|520|13, 232|304|278|&    В пал. заимствованно из корякского ecɣe-tǝŋ 'на север' (ЯПК 137).||0|!
50|*ca[B]a(l)-|986|Чаун (река) 1, чаунские жители 2, исчезнувшее племя, обитавшее к западу и востоку от устья Колымы (возможно совпадает с шилагами) 3|*ca[B]a-|caˊan 1, caa-raˊmkǝ-n 2, caaˊlǝ-t pl. 3||||||||6|||||В рус. традиции "чуванцы" о юкагирах.||87|
51|*ạʒpǝ̣-|570|закрывать, преграждать, покрывать 1, загородка от ветра, запруда 2|*ājpǝ̄-, *ajpъ "|ɛˊjpǝ- 1|aˊjpǝ- (III) 1, ajpǝˊ-aj " 2|ejpe- 1|epǝ- 1, epǝ-ep, epǝ-ip " 2|ɛjpǝ-sqǝ-cɛt- 'захлопнуть' (АБ), ɛjpicɣǝn 'ключ' (АБ)|||481|26|131|14, 45||140, 195|||0|
52|*aʒtat-|555|гнать, перегонять, угнать|*ajtat-|aɣtaˊt-|ajtaˊt-|ajtat-|||||34|2||14||243|||0|
53|*ạʒkạt|130|обрыв, берег реки 1, задний кривой отросток лопасти оленьих рогов 2, припай у бььерега 3|*ājkāt|ɛjkɛˊ= 2|aˊjkat 1, 3*|ejket 1|ekat, ekatǝ-lˊ/cqǝ-k loc. 1|||ekatǝ-lˊ/cqǝ-k loc.|27|||13|304|37, 212|||60|
54|*aʒkoLa|714|постель|*ajkoLa|aˊjkol(a)|aˊjkol(a)|ajkol(a)|ekul(a)|not-aˊjkoc 'пол' (101), ajkoˊc-ɣeŋ 'место под постелями в полу' (2)|||28|2||13|304|282, 282|||0|
55|*aʒma-Lqъl|0|плечевая, бедренная кость (зверя)|*ajma-Lqъl|ajmaˊ-lqǝl|ajma-lqǝl||ema-lqǝl||||31|2|||305||||0|
56|*aʒmak|0|сверток, туша 1, покрышка, панцирь 2, корка 3|*ajmak|aˊjmak 1|aˊjmak 1, 2*, 3*||emak 1||||32|2||13|305||Ср. чук.-кам. *'ǝtˊmǝq- (1035).||0|
57|*ạʒmǝ̣q|569|соус, жижа|*ājmǝ̄q|ɛˊjmǝq|ajmǝq||||||480|25|||||||0|
58|*aʒmъ-|0|ходить по воду 1, морской берег, поросший травой (= водозабор) 2, прорубь 3|*ajmъ-|aˊjmǝ- 1, aˊjmǝ-n 3|aˊjmǝ-(lhat-) 1|ajmǝ- 1, ajmǝt 2|emǝ- 1|ajmoˊ-ocɣǝ-n, pǝlvǝˊnt-ajmo-joˊcɣǝ-n (120)|ajmǝ-lhat-, aˊjmǝ-lhǝ-n|emǝ-jul/cɣǝ-n, emǝ-lqiv-|30|2||14|305|243|||0|
59|*ʁeʒŋe- "|0|издавать звуки, ржать, реветь, орать, (не говорить) 1, плач 2, музыкальный инструмент 3|*hejŋe- "|ʔɛjŋɛˊ- 1, ʔɛjŋɛˊ-nɛ-ŋ 3|hejŋe- (I)  1, hejŋe-cku- 3|hejŋev-, hajŋa-, hajŋa-c̨er- 1, hajŋa-haj " 2|heŋa- 1, heŋa-cʔǝ-n 3|ǝlv-ɛjŋɛ-, vɛlv-ɛjŋɛ-, ɣalɣ-ɛjŋɛ-, picɣ-ɛjŋɛ-|hejŋe-cku-, hajŋa-chǝ-pil* 'сверчок' (14*)|heŋa-cir-, heŋa-cʔǝ-n,|2889|25|232|||20, 217, 80, 140|||0|
60|*ạkkạ #|641|сын (дочь) 1, мальчик (девочка) 2, мужчины (pl.tant.) 3|*ākkā #|ɛˊkǝk (ŋɛ-), ɛkkɛ- 1|aˊkǝk (ŋav-), akka-, voc. akka-pilˊ (ŋav-)  (III) 1|ekǝk (ŋew-), ekke-, voc.: ekke(-p), hǝv-ekke 1|akǝk, akka- 1, 2, akka-lˊhe, akka-lˊhaj-u 3||||490|26||15|294|199, 278, 280|М.б. вторая часть в алют. сложении 'мужчины' *ʁoʒla.  Интересна аллегровая вокативная пал. форма hǝvekke 'дочка' < *ŋv-ekke с редукцией гласного префикса.||24|
61|*ạkǝ̣lˊpǝ̣- (~ -q-)|0|быстрый, активный|*ākǝ̄lˊpǝ̄- (~ -q-)|ʔǝˊqǝlpɛ adv.|akǝlˊpǝ- (II)||||||492|32|19||||||0|
62|*ekmǝ-|709|липкий 1, прилипать 2, привыкать к кому-либо 3|*ekǝm-|ɛjmǝ-sq-ɛˊt- 2|ekmev- (I) 2|ekǝm- 1|akmǝ- 1, akmǝ-cq-at- 2, akm-av- 3|ɛjmǝ-sq-ɛˊt-, (АБ) inɛ-n-ɛjmǝ-sqǝwi=cɣǝn 'клей'||n-akmǝ-, akmǝ-cq-at-, t-akmǝ-cq-av-|493||||295|209|||0|
63|*ekǝm-cǝb (~ ạ)|571|мошкара|*ekǝm-cǝv|||ekǝmcǝv||||||||||209|||0|
64|*ekmit-|0|брать, хватать, покупать 1, брать в жены 2, вылечивать шаманством, "забирать" болезнь 3|*ekmit-|ɛjmiˊt- 1, 3|ekmit- 1|ekmit- 1|akmit- 1, 2|k-ɛjmiˊt- 'укреплять новорожденных детей чарами против болезней и смертей' (69)||in-akmi-julɣ-ǝn 'ручка (двери, окна)'|494|25|||295|278|||0|
65|*ašaq-la|0|совсем, вовсе 1, напрасно, зря 2, однако, но 3||araˊla 1|ejeˊqvǝjǝke 2, ejeˊjveq 3||ataqlaŋ 1|||||5|167, 299|230, 231|302||||0|
66|*ʁeqe-, *ʁạqạ-m-|572|плохой (только комплексно) 1, обида 2, обижать 3, буянить 4|*heqe-, *hāqā-m-|ɛˊqɛ-, (АБ) ʔɛqɛ- 1|heqe- (I), haqaˊ-* (III*) 1, j-haqam-av- (II, III) 3|heqe-, haqe- 1, haqen- 2, 4|haqa- 1, haqam 2, haqnˊu- 3, haqal-lat- 4|ɛqɛ-lʔǝ-n, ɛqɛliŋ-ɛt-, aqa-qlaul, ɛqɛ-milɣǝ-lʔǝ-n 'сифилитик'|(h)aqaˊ-liŋ-av- (III) 'струсить, оробеть'|haqa-lʔǝ-n 'враг', haqa-lˊʔǝ-cit-; haqa-liŋav- 'бояться', haq-ulvǝ- 'упрямый', haq-ul/lˊvǝ-cʔat-|2914, 2860|26|281|23|429, 430|227, 217|||0|
67|*amɨɫˊa-t-|559|закат, на закате 1, исчезать из виду 2, в отсутствии 3|*amɨcat-|terk-aˊmeca adv. 1, amecaˊt- 2, ɛˊmicǝ 3||amecat- 2|||||47|3, 27, 141||||243|||0|
68|*ɨmLъ-|0|черпать, зачерпывать 1, промокать, протекать 2, черпак, ковш 3, сосуд 4, сачок (для ловли мойвы) 5|*em-, *emǝl-|emǝtloˊ- 2, emceme-jocɣǝn (АБ) 3|em- (II) 1, emǝl-lˊo-na-ŋ 3, emlǝ-jocɣǝn 4, emlat-ɣǝjŋǝ-n 5|eml-kojŋǝ-n 3, qaŋ-milɣǝ-n 5|iml-kujŋǝ-n* 3|emceme-jocɣǝn (АБ)|||517, 513|20|626|||278, 229, 255|Ср. *-imlǝ 'вода', *ʒo- 'класть, сунуть'. Из-за того, что значение 'черпак' и 'черпать' закрепилось по воле случая с основами заднего ряда *ʒo- и *kojŋa 'чашка', вторично выделился заднерядный корень 'черпать', но в чук. 'сунуть в воду' стало значить 'промокать'. В пал. -milɣǝ-n нерегулярно вместо "-imlǝɣǝ-n (первая часть значит 'сачок').||0|
69|*emǝɣe (~ ạ)|0|ушат, сосуд|*em|ɛˊmǝɣɛ||||||||27|||||||960|
