NUMBER|PROTO|PRNUM|MEANING|CHUK|CHUKNUM|ITEL|ITELNUM|COMMENTS|NIOD|NIODNUM
39|*muri, *mŭrɣə-|1436|мы|*muri, *murɣə-|855|*muźa, *məźɣə-|40|||0
40|*'na-|0|дом, берлога|*ra-ra-ŋa, *-re|1107|*noč|41|||0
41|*nanqъ|0|желудок, живот|*nanqъ-n|890|*nanq[a]|42|||991
42|*nanɣʷɨ|0|лыко, лозняк|*nenbi-|1537|*nanx(a)|43|||730
43|*nĕł́ɣə|0|шкура|*nạłɣə̣-n|876|*xi-nsx[u]|44|||485
44|*nene|0|ребенок, младенец|*nen ", *nenene-ŋ|888|*nėnė-k'-|45|||0
45|*'nətnə|0|рог|*rъtnъ #(~ ə̣)|1191|*'əntəŋ|46|||0
46|*'ənhel(u)- (~ *-ŋh-)|0|наступить, прийти|*ənʁel-|878|*ŋalo-: *łin-ŋalo-ŋe-|1593|||0
47|*'ənki|0|ночь|*ə̣nkị "|880|*(n)ki-nk ~ *(n)ku-nk|48|||0
48|*'nəmə-|0|сделать глоток|*i-nmə-, *Rəmə-|47|*'i'-num-|49|||0
49|*niŋ̣vit|0|бог (языческий)|*niŋbit ~ *ŋinbit|894|*nustȧɣ-|50|||452
50|*'nu-|0|полог; дверь 1|*ro-ro-ŋa|1109|*nuč|51|разобраться nuč, nač < 'nu'r?||0
51|*'nu-|1797|есть, кушать|*(š)u-|953|*nu-|52|||0
52|*nun-ə'm|0|лезвие, кипрей|*nunu- "|889|*ninŭ-m|53|||0
53|*ŋej "|0|гора|*ŋeʒ "|915|*ŋej-ŋe "|54|||0
54|*ŋelvə|0|стадо|*ŋelbə #|905|*ŋele|55|||1120
55|*ŋʷerku-|0|лебедь|*ŋešku-|952|*meśxu "|56|||0
56|*ŋẹs|0|выдра|*ŋet "|943|*ŋeł(e) ", ŋin-łč|57|||0
57|*ŋẹv-|0|женский|*ŋebʁe-n, *ŋeb-|947|*ŋi-č|58|||0
58|*ŋẹ'mə-sq(w)ə-('n)|0|женщина|*ŋebə-cqet, -łŋъ-n|948|*ŋim-sx|59|Вторая часть слова та же, что *śăkvɨ-('n) 'женщина, старшая сестра' (424).||423
59|*ŋъĺ'ŋъĺ|515|дым|*ŋъL ", *ъŋLъ-|907|*ŋačəz "|60|Камч. форма является продолжением сложения и соответствует чук. ŋə́c-vaj 'дымка'||0
60|*'əj'qə-|0|быстрый|*əʒqə-|269|*ičhə-, *n-ičhə-|1229|||0
61|*ŋʷəčke-|0|двигаться, идти быстро, налегке|*ŋəškeb-|1498|*mĭt'k-la-|62|С другой стороны если сравнить прачук. *meRvə= 'износиться, протереться'||512
62|*ŋʷər'-kiš|0|мешок для вещей|*ŋəškiš|939|*mač, *mas-k'əl|63|||0
63|*ŋərtə-|0|охотиться, просить|*-ŋərtə-|941|*'nĭst-|505|||0
64|*ŋin-|572|новорожденный, молодой|*ŋin-|922|*ŋin-: *'ini-ŋin-|65|См. ПК *ne'n- 'новый, теперь, сразу' (1392).||1083
65|*ŋĭčhʷĕ-|0|отказаться от, ссориться, ненавидеть|*ŋъRfъ-|938|*ŋič-l-|66|||0
66|*ŋʷojŋ̣ъ|1089|хвост|*ŋoʒŋъ-n|920|*ŋosh (*m-)|67|||988
67|*ŋo-łqъ-|0|лед на реке, скользкое место|*ŋo-łqъ-, *ŋo-t-|911|*ŋołke-|68|||0
68|*ŋu- (-ŋ̣ ?)|1298|тот, чуть подальше|*ŋun-|923|*nuhu|69|||0
69|*ŋut|1298|этот, здешний|*ŋut|1500|*ŋu'-ŋu|70|||0
70|*ŋ̣arŋ̣ъno|0|снаружи; погода, улица|*ŋarŋъno|942|*'ăzzan|71|||0
71|*ŋĭčẹ-q|989|два|*ŋiš(š)e-q|933|*ńt'i-, *'ət'i-q-|72|||0
72|*'ъŋra-q|0|четыре|*ъŋra-q|935|*č'a-q|73|||0
73|*'ъŋro-q|0|три|*ъŋro-q|936|*č'o-q|74|||219
74|*ъŋʷto-|0|выходить|*ъŋto-|946|*'əŋst(o)- (~ *-m-)|908|||0
75|*ŋ̣əpĕ-|0|выходить на берег|*əŋpe-|929|*'ip-|76|Сюда же камч. *'ənp-sxin- 'ездить' (1385).||1085
76|*ъŋvo-|0|начаться, начинать|*ъŋbo-|951|*'uzu-, *'ə̆nzu-|77|||973
77|*'əŋvĕł-|0|просыпаться|*ə̣ŋbạł-|950|*(n)izli-|80|||0
78|*kəju-|0|бодрствовать|*əkʒu-|622|*kĭz-xłi-, *kizu-*kizu-|79|||0
79|*'ejŭ-|0|оживать|*eʒu-|43|*'iz-li-|78|     В ител. =li= появилось под влиянием *'isxłi= 'проснуться'.||0
80|*'əpŋəl|0|корень|*ъnŋъl, *ъŋnъl (*nъŋl-, *ŋъnl-) (~ *ə)|924|*pŋil "|81|||0
81|*pamja|1748|меховые чулки|*pamʒa=|1061|*pamja-|82|||0
82|*panša|1749|камус|*panša-|1065|*pănz[a]-|83|||0
83|*paŋo|0|снегопад|*paŋo "|1071|*paŋo- "|84|||0
84|*panrə|1673|лопатка (анатом.)|*par "|1084|*paŋz(a)|85|||49
85|*peɣə-|0|заарканить, опоясать|*peɣə-łʁitn-u-|1504|*pexe-xeč|1247|||0
86|*pehlə-|0|шапка, бобер|*peʒluq|1044|*pahel, *pehel|87|     Ср. переходы 'шапка' ~ 'бобер' для *kʷĕqlə (214).||0
87|*peqə-|0|бежать на четвереньках, дикий|*pạq-ə̣ckụ-|1058|*pe[q]e-|88|||584
88|*ponŋɨ- FREE|0|наперерез, напрямик|*ponŋɨ-|1584||0|||542
89|*pъlɣʷɨt|0|спинная жила оленя|*pъlɣɨt|1023|*pilwit|90|||0
90|*pъlkʷъ-|0|металл, железо, медь|*pъlfъntъ-n|1019|*pəl[k]a-|91|||1117
91|*'əpe-kъt́(h)ъ|0|вид птицы (кулик, коршун)|*pɨ-kъcʁə-|1445|*phakč|97|В ПИ метатеза из "pkahč.||0
92|*pəjrə-|0|привязать|*pəʒR-eb-: *š-əpʒəR-eb- (~ ạ)|1507|*pĭzə-|93|||1115
93|*pɨ̆ł́a-|0|оставлять, покидать|*pɨła-|1011|*-pśa- (~ *-ł-): *'an-pła-|1669|||0
94|*pəl- ~ *'əplə-|0|хороший|*əpLə-|1014|*pĭl-|841|||0
95|*ṕъlhъ-(nrъ-)|0|плоский, гладкий, ровный|*pъlʁъr-|1025|*psl-(aŋr-)|96|||1160
96|*'əpə-łVq-|812|птица, хищная птица|*ə̣pcịq(ạ)|1017|*'ipə̆La-k'əč|92|Ср. еще пал. pəlqə-tilmən 'морской орел'. В ительменском глоттализация на стыке -q-k-. Буквально 'птица' łVq (ср. *jaq/ laq 'чайка'). В камч. 'птица(-охотник) на чаек'?.||1060
97|*jpъlmъ|0|непогода; ветер|*pъlmъ "|1506|*śpăl "|98|||0
98|*pəne-|0|точить|*əpne-|1068|*pna-wə-|99|||0
99|*pət'kə-|0|ударить(ся), лопаться|*pətkə-|1099|*ptka-: *'ə̆n-ptka-k-|100|||0
100|*pɨnšъ-|0|броситься, напасть|*pɨnšъ-|1066|*pens-|101|||0
101|*pi-qe ~ *piqə "|0|хвост|*piq(e)|1505|*pip'i-|102|Основа односложная, в пpачук. осложнена уменьшительным (?) аффиксом, довольно часто встpечающемся и в наименованиях  животных. Возможно также интерпретировать камч. форму как редупликат *pi-pi после закономерного выпадения -q- в интервокале.||1167
102|*piłɣ(ʷ)ə|0|голод|*picɣə-n < *piłɣə-n "|1022|*pilwə ", *piłf-u|103|||0
103|*piŋ|0|пепел, зола|*pịŋ "|1073|*piŋ "|104|||1181
104|*piŋe-|0|сыпаться; снегопад|*pịŋạ-|1074|*pi[ŋ]e-|105|||0
105|*piŋi-|1805|свет, лампа; светить|*piŋi-(t-)|1075|*piŋ-č, *piŋst-|106|||0
106|*pithe- (~ *ɨ)|0|солома, вид водоросли|*pitʁe- (~ -ɨ-)|1557|*pet(')e-|107|||0
107|*poɣʷ|0|священник|*p[o]f "|1086|*pŏɣ "|108|||0
108|*'u-pŏjɣъ-|0|рукоятка, черенок|*oʒ-poʒɣъ-n|962|*'u-psx|109|     Древнее общее сложение двух основ, см. *'uj=/ *'uw= и *pojɣъ=.||0
109|*pok'šə-|0|ездить, догонять|*pokRo-|1540|*pokł-|110|||0
110|*ponta|0|печень|*ponta "|1067|*ponta "|111|||0
111|*puje|301|нагретый на огне, на пару|*puʒe "|1043|*puje-|112|||1118
112|*'əpk[i]r-|0|прибыть, прийти|*ə̣pkịr-|1055|*k(')az-|151|||0
113|*'ъŋta-|0|отправляться с какой-л. целью, переправляться|*ъŋta-|945|*'ə̆nta-|113|||971
114|*t́ajiłъ-|0|догонять, идти к|*taʒłъ-|1238|*sč'el-|188|||0
115|*tajăŋ|0|жалобно стонать, эхо|*taʒaŋ|1235|*taj[ŋ]a-|115|||0
116|*tajŋъ-|0|ругаться; грешный 1|*taʒŋъ-|1236|*tajŋa-|116|||0
117|*tĕke|0|свояк, брат|*taka-, *qaʒ-taka-|1244|*-tki-: qi-tki-nə-ŋ|117|||0
118|*qẹj(u)|0|родственник по роду|*qạʒ-|1699|*qa/i-|118|||0
119|*'tăła- (~ *t-)|0|бить, колотить|*tała- "|1210|*txł-/*txs-|119|Из пpачук. или современных коp. или палан. заимствовано ител. tałata  'толкуша' (Володин 169), седак. talas SO 'бить' (Володин, Жукова  350), зап.камч.  tala'an 'cusus', talanan, taĺaĺknan 'molcus' (Дыбовский 1 154).||0
120|*tam|0|нарост, шишка|*tam "|1258|*tam "|120|||0
121|*'łĕru- ~ ł́ĕ'nu|0|рыболовная снасть|*ceRu-|1599|*č'ru-č|481|||0
122|*tavat|0|кулик|*tafat "|1571|*t'ot'ot'|122|||388
123|*taɣʷaŋ-|0|испытывать, пробовать|*tafaŋ-|1318|*tawăŋ-|123|||0
124|*taɣʷłъ'm|0|кочевник, оленевод, враг|*cafcъba|242|*taɣʷło-m|124|||0
125|*tekəč-|0|бросать|*tekre-|1585|*t'əkit-, *tkil-|125|||0
126|*teqe-|0|кланяться|*tạqạ-|1249|*taqa-|126|    В  ительменском втоpичное pазвитие значения 'кланяться'  > 'молиться, пpиветсвовать', т.е. 'делать поклоны'.||0
127|*tĕle- (~ *t-)|0|древний, давний; старуха 1|*teleŋ- (~ ạ)|1212|*txla- 1|127|||0
128|*'əjtiŋ-|0|красивый|*əɣtiŋ-|271|*čiŋ-|190|||0
129|*teŋ-|0|хороший, сильный, красивый|*tạŋ-|1276|*teŋ-|129|||0
130|*'ejkĕt́|0|берег, холм, скала|*ạʒkạt|53|*'esk(č)-|1143|||0
131|*tet'qu|0|корень, отростки корня|*tạtqụ(p)|1301|*totqə|131|||0
132|*te-ɣje-ŋ-|0|хотеть, стремиться; рваться с привязи|*te-ɣʒe-ŋ- (1)|352|*tesxen-|132|||0
133|*'ъtɣʷa-jtъ-|0|прыгать|*ъtɣa-ʒtъ-|1227|*t'waj-čo-|133|||237
134|*ъtʁa-|0|развязать, разорвать|*ъtʁa-|1232|*txa-: *'ə̆n-txa-|134|||376
135|*'ъtmъł-|0|ближний, близко|*ъtmъł-, *-tъmłъ-, *cəmce- (< *t́əmł́e-), *-tmə-n|1263|*t'mal|135|||0
136|*tъmŋъ-|0|пропасть, теряться; скрывать|*tъmŋɨb-|1270|*t(x)ŏŋ-at-|136|||1078
137|*təhə-|0|лить, сыпать|*ə̣tʁə̣-|1231|*tăh "|1117|||594
138|*'ъtqɨ|0|дым; дымить|*ъtqɨ ", *tutʁə " (~ ụ) (2096) разделить|1252|*t'i- "|138|||98
139|*ətłe-|0|ходить|*ətLe-, *-Le-|1214|*ła-le-, *'ən-tła-t-k-|139|||828
140|*ətłe-|0|относить, отвозить|*š-Le (tr.)|1214|*'ə̆n-txla-|140|||0
141|*kăɣăł-|0|брюхо, живот?|*kaɣał-|1470|*kxli-|1047|||0
142|*təle(ɣʷ)|0|медленный|*ətle-|1215|*telwe-|142|||392
143|*təĺ(ɣʷ)ə-|0|таять, топиться|*(t)əLɣə-, *-əLɣə-|1219|*tizu-|143|||0
144|*'təlɣə (~ *t-)|0|шкура, чешуя|*təlɣə "|1220|*t'il(ɣə)|144|||0
145|*(t)ətnəm|0|пень; огрызок рога|*tъtnъ-m, *ə̣tnụ-|1273|*tnʷə-kol|145|||0
146|*'ъtŋa/u|0|родственник|*ъtŋa-|1546|*t(')inu "|146|||0
147|*čĭlle-|0|обвалиться, рассыпаться|*rịllạ-|1129|*t'le-|147|||0
148|*ɣʷaj-|1294|тот (указ. местоим.)|*faʒ-|1356|*xej-|986|||0
149|*tə̆svu-|0|дуть (о ветре)|*(t)əttu-|1305|*t'lu-|149|||409
150|*tɣъn ~ *Lɣъn|0|высокий, верхний|*Rɣъnɣъlo|369|*xan|150|||0
151|*qał́ɣъ|2053|рот, дупло, отверстие|*qacɣъ-n, -pъŋ|729|*qăsh|209|Ср. ПЧ *karɣъ " 'дыра' (679).||0
152|*tɣəł-|107|горячий, жаркий; жечь|*tɣəł-; *cɣəłV-|341|*'ə̆n-txa(ł)-|152|||0
153|*'ətɣiɣʷə-|0|забыть|*tɣiʒbə-; *š-tɣɨ(ʒ)b-at-|358|*'ətxwa-|153|||627
154|*tɣĭv-|0|год|*tɣibi-|406|*txaz, *-txi-|154|||0
155|*thəsvə|0|моча|*ʁəttə ", -t|329|*thił ", *this "|155|||0
156|*thẹsĕ-|0|мочиться, испражняться|*ʁạcạ-|4|*thiź-|156|||0
157|*thʷətə'm|0|лодка|*(ʁ)ətbə ", *ʁətbət|323|*txt'ŭ-m, *təwt'|157|||0
158|*tvə-hĭŋ-|0|нос лодки|*ʁətbə-ʁiŋ|324|*t-k'ŋă-č|158|||0
159|*kəthi'm-|0|крепкий, тугой, бодрый, здоровый|*kъtɣɨm-|696|*thiw-|159|В камч. случай с отпадающим в начальных кластерах *k-, т.е. *thiw- < *kthiw-. Ср. похожие случаи *(k)łutł 'дупло' (635), *(k)thʷăź ~ *(k)thʷăl ' дорога' (1075), *(k)txi- 'голова, темя' (235), *(k)tam 'приманка' (252), *(k)txa-ŋ, ~ *(q)tha-ŋ 'нога' (519), *(k)thʷəm 'кость' (546), *(k)tɣe- 'черный' (1072). Ср. с *thiv- 'устойчивый, упругий, крепкий, упрямый' (999).||0
160|*'əthul|0|мясо|*-ətʁul|1518|*thăl "|160|||128
161|*tɨj'mɨ-|0|грести|*tɨʒbɨ-|1240|*təjmi- ~ *-čm-|161|||835
162|*tɨ̆b'lə-|0|трясти, вытряхивать|*tib-; *tɨb-la-|1311|*tpə̆l-|162|||0
163|*čime-r|0|крыша, шалаш|*šime-(r)|1558|*time-ź|163|нив. čuŋmə||1062
164|*ɣʷaja-|0|грудь|*faʒa- (-šɣər, -erbə-)|971|*faja-t'ət|978|||0
165|*tĭŋu-|356|тянуть, вытягивать|*tiŋu-|1279|*txuŋ-|165|||255
166|*'tirqən (~ *t-)|275|светило|*tiškə-n "|1295|*t'isɣin|166|||0
167|*čkẹŋi- (~ *rk-)|0|искривиться, скрючиться|*kạŋị-, *kạŋụ-|656|*tqins-, *śqins-|167|||0
168|*tošɣa (~ *č-, *-sɣ-)|0|отмель, плоский берег|*tošɣa- (~ *š-, *-tɣ-)|1572|*tośx|168|Еще см. təlho 'песок' (кор.).||84
169|*tŭpi-|0|видный, видимый|*tupi-|1545|*təpi-|169|||0
170|*turi, *tŭrɣə-|1582|вы|*turi, *turɣə-|1293|*tuźa, *tiźɣin-|170|||840
171|*'əsvi-|0|становиться|*-ətbi-|1352|*'le-|1086|||0
172|*'t́i[ł]i- (~ *t́-)|0|лакомиться|*cili-muk|145|*č'iłi-|172|||1070
173|*t(j)emə-q'V-|0|мышонок, евражка|*camъq|1450|*č'ime-k'-|173|||74
174|*t́ẹŋhe- (~ *-ŋj-)|0|грязный|*ceŋʁe- (~ a)|1555|*čiń'a- ~ *čińja-|174|||0
175|*t́ẹhə-|0|быть вместе|*ceʁə-|1453|*č'i- ~ *čhi-|175|||0
176|*čăʒlъ-|0|валиться, падать|*raʒlъ-|1135|*tsăl- (как t/čzil-?)|176|||0
177|*'ət́məlŭ-|0|лизать|*ətməlu- (-Rm-)|1262|*č'ĭmö̆l-k-|177|    Возможно  заимствованием  из чукотских является  зап.камч. tomit=əz 'lambere, delambre (lizać, oblizywać)' (Дыбовский 1 158).||946
178|*t́ə(t)ŋə-, *čə(t)ŋə-|0|шить|*ətŋi-, *əšni-|1281|*či'(n)ŋi-|178|    В ител. возможно пpедставлена контаминация с глаголом, соответствующим пpачук. *Rinnə= 'зашить'. Наиболее вероятно считать эту основу дериватом от *ti=ti=ŋe 'иголка'.||0
179|*t́əvil|0|одежда; носить одежду|*ə̣cbịĹ|1524|*čizil-|179|||0
180|*'ət́ɣə̀-lvə-|0|шевелиться|*əcɣəlbi-|1566|*č'ŭɣʷ-(ł-) (~ -ĭ-)|180|||65
181|*tɣi-rkəłẹ-|0|заблудиться|*cɣiškəceb- < *tɣi-škəł́e-b-|391|*čisxil'i-|181|||627
182|*t́ɨko[ł]-|0|голова (животных)|*cɨkocɨ-n|1452|*čaqol|182|||0
183|*'ən'pa-|0|приспособиться, учить|*ъnpa-|2252|*'ančpə-|183|Оба корня в камч. и прачук. имеют одинаково образованный дериват. В  пpачук. значение 'пpоизводительный' < 'обученнный, наученный'.||1013
184|*tɨ̆rŋъ- (~ *t́-)|0|плакать|*tɨrŋъ-|1297|*č'ŋə-l-, *č'ŋə-t-|184|||0
185|*t́ɨ'm-|0|жабры|*cɨf-ɣъrŋъ-n|244|*čam "|185|    Пал. cama " id. заимствовано из ительменского.||0
186|*t́ĳmə-|0|мелкий; крошки 1|*cịʒmə̣-|183|*čim-sxq 1|186|||0
187|*t́ĭk'šĕ-|0|нырять|*cịkRạ-|188|*čk'ł-|187|||1071
188|*tĳlĭ-|0|ехать, передвигаться|*tiLi- ~ *tiʒli-|1213|*čźil-k-|114|||0
189|*t́inep|0|тряпка|*cinep|1564|*činep|189|||0
190|*t́eŋin-|0|красивый, прекрасный|*cạŋəṇ-cịcʁạt- (< ł́ịł́ʁạt-)|1525|*č'iniŋ-|191|||0
191|*łiŋsə-|0|злой, ревнивый|*łiŋtъ-|218|*łi[ŋ]ł-|710|||495
192|*čajlъ- (~ *'č-)|0|дальний, дальше|*šaʒlъ-ŋ|1143|*t'ał|194|||94
193|*čeqe'm|0|радуга, мираж|*Ra[q]affat|1508|*təq'ə-m|195|||0
194|*čăšjola|1685|лиса|*šašʒola|1181|*t'śal (~ *č'ś-)|196|||0
195|*čĕl (~ *'č-)|0|крохаль|*šạl "|1111|*t'ə̆l "|197|||0
196|*čẹt-|0|приносить|*šet-|1188|*tit-|198|||0
197|*č(h)əli- (~ *-ł-)|0|всунуть, совать|*(š)ʁəli-|252|*teł-|199|||114
198|*'e'nes-|0|падать, спускаться|*ạrạt-|100|*'nas-|1236|||0
199|*'ъčnъ-|0|давить|*ъRrъ-|1179|*t'(q')nẹ-k-|201|||0
200|*ləŋə- (*'n-)|0|читать, считать|*əlŋə-, *š-ъlŋъ-n|1128|*łni-|202|||126
201|*'əɣnu-|2054|переполняться|*əɣnu-|366|*t-xnu-|203|||0
202|*kiɣ-|0|гром|*kịɣịɣ-|2224|*kiɣ " ЮК|1508|||0
203|*čilvə (~ *'č-)|0|бровь|*rilbə(t)= "|1118|*t(')əl "|205|||0
204|*šivlẹ- ~ *švile-|0|волочить|*šifle-|1204|*siwli- ~ *stili-|206|Вариант в камч. *stili= по=видимому происходит из метатезированной основы tzili= < *švili=. Из  алют. или пал. заимствовано ител. tfł=kes  'пpиводить, пpиносить, пpивозить' (Володин 53, 205), зап.камч.  tɨvlkaz 'adferre', tɨɣ/fletkaz 'adportare, adferre; adigere' ( Дыбовский 1 160).||0
205|*čŭŋmə|0|плечо, предплечье|*Ruŋmə=|1172|*t'inŭ-ŋ|207|||0
206|*kăɣʷa-|0|гореть|*kaf-ab-; *kaf "|698|*q'wa-|210|||0
207|*kăɣʷa-|0|штаны|*kafat-ʒъp|1574|*quwa|211|Ср. чук. qujmə= 'штаны'.||0
208|*kəshə-|0|голец (рыба)|*kəcʁə-mkə-n|608|*kish (~ čh)|267|||0
209|*kĕɣə-t́|870|рука|*keɣət-(mə-n)|615|*xk'i-č, *(k)x́i-|213|||0
210|*qɨɣʷji-|0|кипеть|*qɨfʒa-|1474|*qəjwi-  (~ *qewi-)|214|Ср. ПЧ *keʒi- 'шкварка' (1474).||0
211|*kĕj'ŭ-ke|0|березовый нарост|*keʒuke|1573|*kĕč-kəp|215|||0
212|*kejŋə|0|медведь|*kạʒŋə̣-n|627|*kejŋə-|216|||0
213|*'kŭk-le-|0|яма; горло 1|*kuk-(le-)|631|*k'ik'(əle)|217|     Ср. quq(l)u= (286).||0
214|*kʷĕqlə|0|шапка, бобер|*keqli|1481|*kok'el-|218|Ср. переходы 'шапка' ~ 'бобер' для *pehlə= (86).||0
215|*kĕli|0|писать; пестрый|*kạlị- "|588|*keli- (~ -ö-)|219|||0
216|*kəml[i]|0|вата, пушок на тростнике|*kəmli "|646|*k'ənla-|221|||0
217|*kelt́ĭ-|0|комар|*kạltị|609|*k'ełčŭ-m|220|||0
218|*kĕmłɨ̆-|0|невероятное|*kemci-t-|643|*kəm(ə)l-|222|    ср. нивх. 'знать'?||0
219|*kĕŋ're-|224|обгорать, пылать|*keŋre(t)-|655|*kriɣ-|223|||0
220|*keŋčẹ-|0|хрипеть|*keŋRe-|1475|*keŋči-|224|||0
221|*ket́və-|0|сильный, хороший|*ketɣu-|695|*k'eči-|225|   Ср. чук. *kъtɣɨm= 'здоровый'.||0
222|*keɣʷə-n|0|хрящ|*kef "|702|*k'ewŭn " (~ *q-)|226|||0
223|*kev-|0|привыкнуть|*kạb-|699|*k'ʷe-|227|||0
224|*keɣʷeĺi-|0|обернуться, свернуться|*kafra-|1582|*kowoz-|228|||0
225|*kъlъŋ- (~ *-Tl-)|0|подстерегать; заманивать|*kъccъŋ-ʒo (< *kъł́ł́ъŋ-ʒo-)|1587|*klən-|229|||0
226|*quqlə-|0|ломать, дырявить|*quqlu-|749|*k'ol-|719|||0
227|*kъt|0|наст|*kъt "|693|*kăt "|231|||0
228|*kъ̆tɨpa|0|горный баран|*ъktɨpa|691|*ktep|232|||0
229|*tъł-ɣʷal|0|пучок, узел|*tъlbal|1217|*təłwal|940|Возможно, с аффиксом coll.||0
230|*kъč-čɨĺ'|0|лоб|*kъš-rɨl|687|*kčeč|234|    В  пpачук. аналогичное сложение *kъš=rɨl 'лоб',  буквально "костяк головы".||0
231|*čiĺ'e-|1569|костяк, хребет, скелет; лоб|*šileqe, *-ril|1114|*k-čẹč|236|    В  пpачук. аналогичное сложение *kъš=rɨl 'лоб',  буквально "костяк головы".||0
232|*kъɣʷъ-|0|оболочка; кухлянка 1|*-ъkbъ-n|710|*qŏf-č 1|237|||0
233|*əkt́ĕv|0|хариус, кижуча|*ə̣kcạb|596|*kśu-|1311|||0
234|*'əkł́ime|525|почка (анатом.)|*ə̣kcịmạ|598|*kłime-|239|||0
235|*kə̆t́ɣẹ-|0|голова, темя|*kəcɣə-|604|*(k)txi-|235|См. еще прачук. в сложениях *kəš=.||0
236|*kəjĕ-|0|пробуждаться, вставать с постели|*əkʒeb-|622|*te-kej-|240|||0
237|*('ъ)nkъł|0|орех|*ъnkъł(a)|881|*kăł-|241|||0
238|*kəl-əłła-|0|бусина|*kə̣ł-łə̣łạ < *ə̣kł-ə̣łłạ|595|*kəĺĺa-|242|||0
239|*kəlɣes-|0|запрягать|*kə̣lɣə̣-|603|*kilɣĕt-|243|||0
240|*kəĺtə-|0|связать, запеленать|*kə̣ltə̣-|612|*kĭzt'-|244|Ср. *kəĺve= (245).||0
