NUMBER|PROTO|PRNUM|MEANING|ICOST|WCOST|ITE|ITRUSL|STBIT|ITEMEA|WIT|WITMEA|WITMEP|SIT|SITMEA|SITMEP|VOL|IRSLOV|VZHU|STEB|WDYB|SDYB|COMMENTS|NIOD|NIODNUM|EXT
11|*mumx|11|корзина|MüMX-e|MüMX -Cə̈X|mumx|mumx (mumx-e'n pl.)||корзина|mumx, mumk (mumx-čəɣ dim.)|vas e cortice betulina|naczynie z kory brzozowej||||26|58|||136, 84||||0|
12|*met's-k'e, *mat(s)u|12|медведь (устар.)|MëT'S-K'ë, MạSSụ, MeT'e-CX, MạTụXạ||met'sk'e (met'sk'e-n poss. personal.), met'sk'aj (напан.) (met'sk'aj-an poss. personal.)1, matuxa 3|met'sk'-aj (met'sk'e-'n pl., met'sk'e-'in poss.) 1, met'-ečh dim. (met'e-'ń-č pl.) 2, massu (massu-'n pl., massu-'in poss.) 1, massu-t'il 3, matuxa (matuxa-'n pl.) 4||медведь (устар., ред.) 1, медвежонок 2, медвежатина 3, медведица 4|||||||122, 95, 135, 166, 156|59, 60, 57|||||В ител. -k'e - суффикс животных. В напанском диалекте также  пpедставлена фоpма, осложненная уничижительным аффиксом -aj 'плохой и большой'.||0|
13|*met(')il-|13|потерять|MëT'ïL=, Më̲T'ë̲L=|ḾāTə̄L=|metil- SO (t-metil-en 1sg.3sg. perf.)1|met'el-es (met'el-ał-en 2sg.3sg. fut., k-met'el-'in 3sg.3sg. perf.) 2||потерять 1, погубить 2|ḿi̯atəl-z|amittere, perdere|zgubić||||414, 244|59, 63|||135||Основа родственна *meč- (14).||0|
14|*meč'-|14|пропадать|Me̲C`(e̲)=||meč-kes 1, meč-es 2|meč'-kas (meč'-ał-č 2sg. fut., k-meč'-knan 3sg. perf.) 1, meč'e-s (t-meč'e-čen 1sg.3sg. perf.) 2||пропадать, погибать 1, терять 2|||||||419, 200|60|||||Основа родственна *metil- (13).||0|
15|*mịł-|15|младенец|MịLạ-CX|MaŚa-T=||miĺ-ačh (miĺa-ń-č pl.)||малыш, младенец, грудной ребенок|mašat-kaz|catulus parere|szczenić się|||||57|||133||У Дыбовского один из способов передачи -ł- через "ш" = [š].||977|
16|*mɣu-mɣə-m|16|волна|Mü-MXü-M -e|MXü-Mxü-M|mu-mɣu-m (mumɣ-e'n pl.)|mu-mwu-m (mumw-e'n pl.)||волна|mɣu-mɣu-m|unda|fala||||129|58|||134||||490|
17|*məśxu-n|17|лебеда, перец, горькое растение||Mẹ̈ŚX̨ü-N, MŚX̨ü-N|||||mẹšxun, mẹškun pl.? 1, mškun pl.? 2|artuplex 1, daphne mezereum 2|lebioda 1, pieprz dziki||||||||134||||0|
18|*maja-|18|обманывать|Ma̲Ja̲=, Le̲N-Ma̲Ja̲-Ne̲=|Ma̲Ja̲-C, Sə̲N-Ma̲Ja̲-Nə=, -Ma̲JHa̲-N=|maja-kes 1, łin-maja-ŋe-s 2|maja-kas S (maja-sč 2sg. pres., maja-zen 3sg. pres., k-maja-knan 3sg. perf., qa'm maja-kaq sɨn 3sg. neg. pres., zaq maja-kaq 2sg. neg. imper.) 1, łen-maja-ŋ-es (łenmajaŋe-zmiŋ 2sg.1sg. pres., łenmajaŋe-znen 3sg.3sg. pres.) 2||лгать, обманывать 1, обманывать кого-либо 2|maja-č-an poss. 1, sən-maja-n-əz 2, ĺae̯-maj'a-ń-'an 3|mendax falsus 1, fallere 2, falsus 3|łgarz 1, oszukiwać 2, oszukany 3|maja-skik 3sg. pres., maja-š́č́ 3pl. pres. 1, maja-skin 2|mentitur fallit (mentiuntur fallunt) 1, mendax 2|kłamie (kłamią, oszukują) 1, kłamca 2|200, 62, 245|55, 56, 54|||133, 147, 129|114|||0|
19|*ma'ja-|0|играть, веселить(ся)|Ma̲HJa̲-No̲-N|a̲N-Ma̲Ja̲=, a̲N-Ma̲JHa̲-Tə=|maja-nŏ-ŋ|ma'ja-nŏ-ŋ (ma'jano-'n pl.)||игрушка|'an-maja-z 1, 'an-ḿaj'at-əz 2|gaudium, lactitia 1, favorem quaerere 2|cieszyć, rozweselać; uciecha, radość 1, szukać względów 2||||119|57|||85||Образование от *ma'ł- 'играть' (622), но непонятна утеря -ł-, м.б. через ступень -ĺ-, или же вторичное переосмысление глагольной основы как производной с популярным суффиксом -'ł-.||0|что-то у чукоч
20|*mil "|19|вошь|MïL, Mï̲L-Tï̲=|MïĹ "|mil- 1, mil-ti-kes 2|||вошь 1, обовшиветь 2|miĺ-miĺ (mil pl.)|pediculus|wesz|viĺ-miĺ|pediculus capitis|wesz|211||||135|121|||532|
21|*mełen|20|дубинка|MëLëN-e||mełen (mełen-e'n pl.)|||дубинка|||||||51, 126||||||||1096|
22|*mĭlk-eč|21|чешуя|MeLK'e-C|MïĹKə̈Cə̈-N||melk'e-č (melk'-al coll.)||рыбья чешуя|miĺk-əč-ən (miĺkəčə-'in poss.)|squama|łuska rybia|||||58|||||||0|
23|*mumk'əl, *p-|22|застежка, замок|MüMK'ə̈L|MüMKïL|mumk'ə̆l|||замо́к, кляп (вид замка)|mumkil|potagia|klapy u ubrania|punči-t pl.|clavi, orbiculi|guziki|124||||136|117|||796|нивх. *pimk
24|*ha-młh|23|жир|XaMLX-a|XaMĹX̨|hamłh, xamłx|xamłx (xamłx-a'n)||жир|xamĺ(x), xamĺk|adeps|tłustość|xamx 1, xamx-a adj. 2|adeps 1, crassus 2|tłustość 1, tłusty 2|180, 36|96|||89|106|||0|
25|*peməl|24|тюлень, лахтак||a̲M-Pə̲Mə̲L|||meməl (memə'l pl.)|лахтак|'am-pəməl|phoca barbata|gat. foki, łachtak|misis dim.|phoca barbata|gat. foki||||90|83|114|В зап. камч am- 'настоящий'.||0|
26|*măz- "|25|слеза|Mə̈S ", M̈S-e|MaS-MaLX|mz-|mə̆z-mə̆z (mze-'n pl.)||слеза|maz-malx|lacrima|łza|mizi-m̲z (miza-d pl.)|lacrima|łza|59|58|||134|114|В издании записей Дыбовского в юж. камч. неправильно прочитано русское рукописное "м" = [m] как "ле" = [le], отсюда mizilez вместо mizimz. Вторая часть в зап. камч. не ясна.||724|
27|*mič-|26|красивый, хорошо|MịCạ|MïŚï-|miča|||красивый, хорошо|miši-lex-in|accuratus|porządny||||395, 244||||135||||1101|
28|*mawa-|27|малек рыбы|Ma̲Fa̲-CX||maw(w)a-čh (mawa-'ń-č pl., mawač-'an poss.)|mawa-čh (mawa-'ń-č pl.)||малек рыбы|||||||28, 132, 166|55|||||||0|
29|*minłi|28|заяц|MïNL-e, -i|MïNĹX-C|mińł, mińł-aj magn. (mińłi-'n pl. (poss.?), mińł-en poss. personal.)|mińł, mińł-aj magn. (mińł-e'n pl., mińł-'in poss.)||заяц|minĺ(x)č, (mińl(x)-in poss.)|lepus|zając|mii̯sta-s|lepus|zając|135, 31, 164|57|||135|114|||963|
30|*k'e, *k'en-|29|мест. вопр. кто|K'ë-N-|Kẹ-N-|k'e (k'en poss.) 1|k'e (k'en poss., k'e'n poss. pl., k'en-k act.=loc., k'an-ke adr., k'nə̆n-th pl.)|k'e (k'in-, k'e'n, k'en-kil instr.) 1, kə-sin 2|кто, чей 1, кто есть 2|kẹ (kẹ commit., kẹn poss.)|quis, cum quo, cujus|kto, z kim, czyj|kač, kač-sič tal 3sg. 1|quis, cujus haec 1|kto, ta czyja|27, 170|39, 40, 123||92, 90|117, 118|109|||0|
31|*xi-młx, *łxi-młx, *('i)məłɣə-|30|огонь|XïMLX-e|XiMĹX, XiMXĹ, CXɨMXL, XïMXĹü-Ś=, ïMə̈ĹXə̈=|ximłx|ximłx (ximłx-e'n pl.)||огонь|ximĺx/ɣ, ximxĺ, ximčl, čxɨmxl 1, ximxĺuž-žin, ximčluž-žin 2, 'iməĺɣə-zin, 'imiĺ'it-sin 3, k-imiĺɣ/x-in comm. 4|ignis 1, fulmen 2, fulgor 3, vulpes sp. 4|ogień 1, pożar 2, błyskawica 3, gat. lisa, ogniówka 4|mixčiz ['uməčkiši*] 1, miči-la-sk 2|fulmen 1, ignem conflictu lapidum excutere 2|błyskawica 1, krzesać ogień 2|33|97, 113|||91, 92, 95, 106, 93|114|Формы типа ximčl в зап. камч. у Дыбовского могут быть неправильным прочтением ximɣ̲l с ошибочным отождествлением рус. рукописного "г" = [ɣ] как "ч" = [č].||0|
32|*min|31|который, какой|MïN-e|MiN|min (min-en poss.)|min (min-e'n pl.)|min (min-in pl.)|который, какой|min|qui, quis|który, kto||||170|57||92|133||||967|
33|*mankə-|32|какой (гдешний)|Ma̲NKe̲-|Ma̲NK-C|manke-nan 1|manke-nan (manke-na'n pl.) 1, manke dat., man-x'al abl. 2, manke isč 3||какой 1, куда, откуда 2, здраствуйте! (= куда идешь!?) 3|mank-č|quid, utcunque, quo|jak, jakkolwiek bądź||||170|56|||133||||0|
34|*mith-|33|старик, пожилой|Me̲TX-, MiTX-e|MiTX̨, MɨTX|meth-lah 1, mith 2|metx-lah 1, mith (mith-e'n pl.) 2, mitx (mitx-e'n pl.) 3||старый (ред.) 1, старуха 2, дед 3|mitx, mɨtx, mitɣ, mitk|avus|dziad|mitx|avus|dziad|319, 25|59, 58|||135, 136|114|||0|
35|*miti-: *łin-miti-|34|чинить, исправлять|Lï̲N-MïTï=|ŚïN-MïTï=, ŚïN-MïTï-Tï=, Nɨ̈-MT-Lë=|łin-mete-s|łen-mete-s (q-łinmiti-x 2sg.3sg. imper., łinmiti-znen 3sg.3sg. pres., k-łinmiti-'in 3sg.3sg. perf.)||исправлять, латать, чинить|šin-miti-z, s/šən-mətə-z 1, šin-mititi-z, šən-mətətə-z 2, nɨ-mt-le-'in 3|corrigere 1, regere, dirigere 2, ornatus, compositus 3|zestawiać, poprawiać 1, kierować 2, przyozdobiony, uporządkowany 3||||201|54|||151, 147, 140||||1090|
36|*manzə-ŋ|35|ладонь, стопа, лапа|Ma̲NSe̲-N, Ma̲NSe̲-SX|MäNS-aN/-əN|manze-ŋ 1|manzə̆-ŋ (manze-'n pl.) 1, 2, manze-sx (manze-sx-a'n pl.) 3||ладонь 1, подошва ноги, медвежья лапа 2, горсть 3|manza-n, manzə-n 1, manz-in (poss.) xkič 2|planta ima pars pedis 1, palma, digiti, carpus manus 2|stopa 1, dłoń, palce, zapięście ręki 2|mai̯s|planta pedis, vola manus|stopa, dłoń|31|56|||133|114|||964|
37|*moqsxa/i-n|36|гниль, гнилой|Mo̲KSXa̲n|Mo̲KSXiN ?|moqsxan|||гнилое (дерево)|moksxin, mokskin|lignum putre, putredo|zgniło drzewo, zgnilizna||||397||||135||||0|
38|*mu[q]e "|37|туча (грозовая), буря||MüKẹ̈", MoKaF-Ra=|||||mukẹ-muk (mukẹ-n) 1, moka-v-ra-č, moka-v-ra-zen 2|nubes, grado 1, ventus, procella 2|chmura, grad 1, silny wiatr, burza 2||||||||136, 135||||0|
39|*młim(ə)|38|кровь|MLïM-e|MĹXeM, MLiM|młim (młim-e'n pl.)|młim||кровь|mĺxem, mlim|sanguinus|krew|misim 1, sim-čiza'ax 2|sanguinus 1, haemorrhois 2|krew 1, krwotok 2|126, 25|58|||135|114, 118|В юж. камч. sim- < msim-.||0|
40|*muźa, *məźɣə-|39|мест. личн. 1pl. "мы"|MụSạ, MiSXi-, MSi-|MụSạ, Mɨ̆ŚXi-, MŚi-|muza (muza-'n pl., mizɣi-n poss.) 1, mzi-lwin 2|muza-'n (mizwi-n poss.) 1,  ̊mzɨ-lwin 2|muža (məžɣ(i)-) 1, mži-lun 2|мы 1, мы сами 2|muza (mɨ/əzɣi-n, ma/izi-n poss., mɨzɣə-nke adr.)|nos|||||169, 175|58, 57||88, 92|133-136||||0|
41|*noč|40|берлога|No̲C-a, -CaX|No̲C|noč (noč-e'n pl., noč-čah dim.)|noč (noč-e'n pl.)||берлога|noč|latebrae (ursi)|kryjówka, barłog|nguč|latebra stramentum|nora, barłog|56, 127|62|||139|120|||0|нивх. ńo 'амбар, свайное жилище'
42|*nanq[a]|41|желудок|NaNK-a|NaNK|nanq 1, nanqa-lan 2|nanq (nanq-a'n pl.) 1, nanq-st'əl 3||желудок 1, обжора 2, жадный 3|nank 1|venter, peritonaeum|brzuch, błona która okrywa kiszki||||31, 118|61|||137||||991|
43|*nanx(a)|42|лозняк|NaNX-a||nanx (nanxa-'n pl.)|||куст лозняка|||||||129||||||||730|Ср. чук. *námna " 'верба'.
44|*xi-nsx[u]|43|шкура|XịNSXʷ-e -CaX|XaNŚX, iNS-Lu=|xinsxi'n pl. (xinsx-'in poss., xinsf-čah dim.) 1, xinsx-la-s 2|xɨnsx (xɨnsx-e'n pl., xɨnsx-'in poss.)||шкура, рыбья кожа 1, спускать шкуру с 2|xanś̲x 1, 'ińslu-nɨn 2|cutis 1, tollis 2|skóra 1, miech 2||||169, 214|99|||89, 109||В напечатанных матеpиалах Дыбовского непpавильное пpочтение последовательности "сь" = [ś] как pукописный гласный ять = [ẹ]. Второй редуцированный гласный был огубленным, на что указывает форма с -f- в ител. образовании xinsf-čah.||485|
45|*nene-k'-|44|ребенок|NëNë-K'ë-CX|Nə̈Nə̈-Kə̈-C|ńeńe-k'e-čh (ńeńek'e-'ń-č pl., ńeńek'eč-'in poss., ńeńek'ečh-en poss. personal.) 1|ńeńe-k-ečh (ńeńeke-ń-č pl.) 1, ńeń-sxč'e'n pl. (coll.) 2|nene-k-ecx (neneke-n-c pl.)|ребенок 1, детвора 2|nənəkəč [nanača*]|infantes|dziecko||||26, 166, 167|65, 107||90|138||||0|
46|*'əntəŋ|45|рог|NTa̲-N, NTe̲N|NTɨ̲N, -ẹNTɨN-|'ə̆ntan-eł instr.|'ə̆nteŋ ('ə̆nt-a'n pl., nten-'an poss.)||рог (роговой, рогатый)|ńtɨn pl. 1, kẹ-ntɨn-an 2|cornua 1, cornutus 2|rogi 1, rogaty 2||||396|62, 116|||140, 119||Использование Дыбовским знака "ы" = [ɨ] указывает на велярный характер носового -ŋ.||0|
47|*k'ŏł-, *-kli-|1078|приходить, появиться|K'ö̲L= (-knen), N-KLï=|Kɛ̈L=, KāLēT= A, ïN-KLɨ- (ɛ̈=e/a)|k'oł-kes 1, 'ə̆n-kłe-s ('ə̆nk'łi-) 2|k'oł-kas (k'oł-č 3sg. perf., t-k'oł-kičen 1sg. perf., k-k'oł-knen 3sg. perf., k/x-k'oł-xč 2sg. imper., k'o-sɨn 3sg. pres.) 1, 'ə̆n-kle-s ('ə̆nklɨ-znen 3sg.3sg. pres., t-ə̆nklɨ-čen 1sg.3sg. perf., q-ə̆nklɨ-xɨ'n 2sg.3pl. imper.) 2, qa't k'oł-č! 3|k'öl-k-əŋin (хайрюз.), q'öl-k-əŋin (седанк.) 3sg. perf.|приходить, идти к говорящему, прибывать 1, посылать 2, здравствуй! = ты уже пришел?! 3|kal-kaz (keĺxč 2 sg. imper.) 1, kalet-kaz 2, 'i(n)-klɨ-z, k-in-klɨ-'in part. pass. 3, 'in-klet-əz 4 to-kəĺ-č! 5|succedere (veni!) 1, advenire 2, mittere 3, admittere 4, salve! 5|następować (przyjdź!) 1, przychodzić 2, posyłać 3, przysyłać 4, witam! 5||||30, 200, 201, 149, 410|39, 111, 30, 25, 88, 78||86|113, 118, 105, 158||Любопытен зап. камч. пример недопонимания между Дыбовским и информантом: gal-knan 3sg. pres. переводится как 'ступенька, лестница; gradus, gradi; stopień, wschody' (Дыбовский 1, 103) из-за двух значений рус. 'наступать' ногой и о чем-либо.||0|
48|*(n)ki-nk ~ *(n)ku-nk|47|ночь|NKi-NK "|i/uK-uNK, KiNK|nkink|||ночь|'ikunk, 'ukunk, kink [kunku*]|nox|noc, nox|xin-adk|nox|noc, nox|154||||105, 121|106|Начальный носовой в кластере nk- в анлаутной позиции должен отпадать давая глоттализацию на смычном. В ител. благодаря вторичному выравниванию по второй части редупликата (а -nk там уже в стабильной поствокальной позиции) происходит восстановление анлаутного n-, отметим, что без начального призвука гласного и гортанной смычки перед n- сочетания. Формы зап. камч. отражают регулярное развитие *#nk- > k'- (сначала смычка была в преконсонантной позиции). Видна вторичная разбивка сочетания гортанного и смычки сверхкраткими -ĭ- и -ŭ- (с губной ассимиляцией по полному гласному). Формы же kink и kunku* несомненно имели k'-, глоттализация на котором не могла отмечаться с помощью используемых авторами знаков, т.е. 'ĭk- или 'ŭk- можно считать способом передачи сложной артикуляции сочетания смычки и велярного. Юж. камч. форма xinadk представляет собой сложение двух основ: первой - наречного образования со значением 'ночью', этимологически образованным от основы *łx(w)i- 'ночевать' и слова 'ночь'. Первая основа выступает как наречие в ител. k-łfiŋ-le, łfiŋ-le (k- в первом случае префикс образующий относительные прилагательные от именных основ, -le/-la показатель временных прилагательных и наречий). Такая же форма отмечена и в зап. камч. ĺxin-le 'ikunk (!) 'nocte' в словосочетании со словом 'ночь' для этого наречного образования. В юж. камч. Крашенниковым записано слово 'ночь' kuĺku'a*, что может быть или перестройкой ожидаемого *kunku из камч. *nki-nk ~ *nku-nk, или же отражением наречного образования от глагола *łx(w)i- -> *kə-łxuŋ-a с передачей -ŋ- через смычку в интервокале. Начальный *-ł- кластера оказывается в поствокальной позиции и сохраняется, что передается обычно у автора через -ĺ- мягкое. В современном Дыбовскому юж. камч. слово 'ночь' повторяет структуру зап. камч. устойчивого словосочетания со значением 'ночью' xin-adk, xin в данном случае из *łx(w)i-ŋ с закономерным для юж. камч. отпадением ł- сочетания łx- в анлауте. Отметим, что в данном случае начало основы не прикрыто словообразовательным аффиксом. Вторая часть -adk и является следом медиальной основы *-ənk 'ночь', в данном языке -d- является частым рефлексом *-n в ауслаутной позиции.||0|См. *łx(w)i-, *łx(w)i-ŋ 'ночевать' (369).
49|*'i'-num-|48|набрать в рот (воды)|iH-NuM=||'i'-num-|||набрать в рот (воды)|||||||413||||||Пеpвая часть значит 'вода'.||0|
50|*nustȧɣ-|49|бог|NụSTạX-CạX|NụŚTạX-C-ịC, NüSTëX-CëX|nustax-čah(-)|nustax-čah||бог|nust́axčič (nust́axč-in poss.) 1, nusteɣčəɣ 2|deus 1, imulacra 2|bóg 1, obrazy 2|nusti̯ačič|deus|bóg|133|62|||140|116|Палатализованные варианты с -t́- при переходе следующего гласного в задний ряд в зап. камч. -č(a)h  -čič - популярные именные суффиксы, второй из которых со значением уменьшительности или ласкательности.||452|
51|*nuč|50|дверь|NüC-e|NüC|nuč (nuč-e'n pl.)|nuč (nuč-e'n pl., noč-anke adr.)||дверь|nuč|janua|drzwi, wejście|nučut pl.|janua|drzwi|27, 127|63, 113|||140|115|||0|
52|*'nu-|51|есть, питаться|Nü=, LïN-Nü=|Nō=, Nō-HāL(ē)=, ŚēN-Hō=|no-kes (nu-) 1, no-wala-kes 2, łin-no-s 3, no-s 4, no-no-m 5|no-kas (t-'nu-skičen 1sg. pres., q-'nu-sxč 2sg. imper., k-'nu-knen 3sg. perf., t-'nu-waskičen 1sg. desid., qa'm nu-wałkaq t-skičen 1sg. neg. desid.) 1, łen-no-s (t-łinnu-čen 1sg.3sg. perf., q-łinnu-miŋ 2sg.1sg. imper., q-łinnu-xi'n 2sg.3pl. imper., łinnu-waxin 3sg.2sg. fut., k-łinnu-'in 3sg.3sg. perf.) 3, no-s, no-z (noz-e'n pl.) 4, no-no-m (nono-'n pl.) 5, no-wa'ł-no-m (nowa'łno-'n pl.) 7|nu- 1, nu-kil 6|есть, питаться 1, закусывать 2, кормить 3, еда, юкола 4, пища 5, едок 6, столовая 7|no'-alez 1, no-z 2, no-nɨ-m 3, šeń'o-z 4|cibus, prandium 1, piscus siccati 2, cibus, provisio 3, alere 4|jadło, strawa, obiad 1, ryba suszona 2, pokarm, zapasy 3, karmić 4|ki-du-xčik 3sg. 1, ki-du-ĺa-zix 3sg. desid. 2|(is) edit 1, edere volo 2|(on) je 1, jeść chce 2|28 , 54, 201, 28, 49|62, 54, 61||88, 91|139, 151|111|||0|нивх. iń- (ńi-)
53|*ninŭ-m|52|кипрей (вересковое съед. растение)|NïNü-M, NïNë-M||ninŭ-m, ninə̆-m|nɨne-m (nɨne-'n pl., nɨn-al coll.)||кипрей (съед. растение)||||ninut pl.|vaccinum uliginosum|rośl. z rzędu wrzosowatych|31, 128|63||||115|||0|
54|*ŋej-ŋe "|53|гора, сопка|Ne̲JNë|NẹJNẹ, Nẹ̈J-MTü, Nẹ̲J-uMTo̲, NẹNə-C|ŋejŋe|ŋejŋe (ŋejŋe-'n pl., ŋejŋe-'in poss., ŋejŋa-nke adr., ŋejŋ-al coll.)||гора, сопка|nẹi̯-nẹ, nẹj-nẹ (nẹj-nẹ-n pl.) 1, nẹ-'al, nẹj-ńe-'al-in poss. 2, nẹi̯-mtu, nẹj-umto 3, nẹnəč 4|mons, jugum 1, montanuus 2, mons solitarius 3, lapis 4|góra 1, górny 2, góra, stojąca samotnie 3, kamień 4|ni̯əi̯-ni̯ə, namud (pl.?), [namud*] sg.|mons|góra|31|66, 105, 123|||138, 137|115|Юж. камч. namud не является формой множественного числа, как правильно отмечает Kрашенинников в отличие от Дыбовского, переводя  в единственном числе. Это - точное соответствие для зап. камч. nẹĭ-mtu, nẹj-umto 'mons solitaris', где -mtu- - уменьшительный суффикс (Дыбовский, 138, 137).||0|нивх. *ŋej 'долина'.
55|*ŋele|54|стадо|NeLe||ŋele|ŋele (ŋele-'n pl.)||стадо|||||||169|66|||||||1120|
56|*meśxu "|55|лебедь|MïSXü ", MëSXü|Mẹ̈ŚXü-MəSX "|misxu-mis (misxu-'n pl., misxu-'in poss., misxu-'i'n poss. pl.)|mesxu (mesxu-'n pl.)||лебедь|mẹšxu-məsx (mẹšxu-ĭn pl.)|cygneus|łabędź|masxa-stas|cygnus|łabędź|28, 165|59|||134|114|В зап. камч. конечное -əsx редупликата переосмыслено как показатель уменьшительного(?) суффикса, в юж. камч. -stas частый уменьшительный суффикс.||0|
57|*ŋeł(e) ", ŋin-łč|56|выдра|NëLë-NL-X -e "|NɨNĹC||ŋełe-ŋł-x (ŋełeŋł-e'n pl.)|||nɨńĺč|lutra|wydra|nisid|lutra vulgaris|wydra|||||141|115|*ŋin-łč < *ŋił-łč. В зап. камч. как и в ител. l, ł перед следующим ł в конечнослоговой позиции переходят в -n- (см. Володин 55). В юж. камч. -ł- отражено как -s-.||0|
58|*ŋi-č|57|жена, самка|Nï-C|NạNɨ̣-C, NNɨ̈-C, Nɨ̈-|ŋič (ŋič-en poss. personal.) 1, ŋi-qsx 2|ŋɨ-č (ŋɨ-'n pl., ŋɨč-enk loc., ŋeč-anke dat.) 1|ŋi- (k'-ŋec-un commit.)|жена 1, сука 2|nanɨč, nnɨč (nɨč-ən poss.) 1, nɨ-kin 2, nɨ-ksɣ 3|uxor, mater familias 1, uxorem habens 2,canis femina 3|żona, gospodyni 1, żonaty 2, suka 3|ke-niž-ax comm.|femina, mulier|kobieta|126, 164, 155|66||101, 88|137, 139, 140|111|Форма совместного падежа, представленая у Стебницкого, в юж. камч. приведена в качестве назывной.  В слове 'сука' -qsx во второй части сложения значит 'собака'. *ŋi-č - та же основа, что и *ŋimsx 'женщина' (59).||0|
