NUMBER|PROTO|PRNUM|RUSMEAN|MEANING|GRU|GRMEAN|EGRMEAN|MEG|MGMEAN|EMGMEAN|SVA|SVMEAN|ESVMEAN|LAZ|LZMEAN|ELZMEAN|NOTES
41|*beɣ-|0|амбар|barn|beɣ-el-, beɣ-o|||baɣ-u||||||baɣ-u|||ЭСКЯ 50-51, EWK 53-54. Как Климов, так и Фенрих предполагают связь с занской   глагольной основой baɣ- "быть достаточным", что довольно сомнительно по   семантическим причинам. Иллич-Свитыч (....) предполагал заимствование в   картвельском из СК источника (ПВК *bēŁ̲V̆ "хлев"), что вряд ли возможно по   фонетическим причинам (соответствие СК латерального картвельскому -ɣ(Vl)-,   предполагавшееся Иллич-Свитычем, вряд ли существует). Не исключена, однако,  связь с ПСК *bŏrGWV̄ (~ *bərGwV̄) "хлев; башня" (см. NCED 311-312);   непосредственным источником картвельских форм могли бы быть формы типа   западно-дагестанских, с утратой -r- (ср. ахв. beʁʷa, хварш. beʁ "хлев" и др.).  К основе *beɣ- "амбар" возводят ПК *beɣ-ura- "воробей" ("амбарная птица") (см.  ЭСКЯ 51, EWK 53).
42|*beɣ-|1062|быть достаточным|to be enough||||baɣ-||||||baɣ-|||Чанская глагольная основа, не засвидетельствованная в грузинском и сванском.  Климов (ЭСКЯ 50), а вслед за ним Иллич-Свитыч (МССНЯ 1, 193) и Фенрих (EWK 53)  возводят к этой основе ПК *beɣ- "амбар" и *beɣura- "воробей", что довольно  сомнительно. Иллич-Свитыч (ibid.) далее возводит основу к ностр. *bVGV  'достаточно, чрезмерно'. Однако приводится только довольно сомнительная  семито-хамитская параллель, так что ностратический характер корня под  сомнением. Не исключен СК характер корня: ср. ПСК *bV̆HV "большой, много"  (NCED 316-317).
43|*beḳ-|0|утаптывать|to trample|beḳ-|||baḳ-|||||||||EWK 49. Сходная основа со значением "давить; выщипывать, выдавливать" налицо в ПЗК *bəḳə-, см. NCED 605-606, где она возводится к ПСК *HrīḳwV "копать, буравить" (с отпадением r- и вторичной префиксацией *b-), так что не исключено ЗК происхождение корня (хотя есть некоторые семантические проблемы).
44|*ber-|137|дуть, надувать|to blow, blow up|ber-|||(m)bar-|||bēl-|пучить живот|to puff up (of belly)|bar-|||Иллич-Свитыч (ОСНЯ 1, 193-194) восстанавливает ПК *beĺ- (на основании  соответствия груз.-зан. r : сван. l) и возводит основу к ностр. *bVlHV  (*bVĺHV) 'дуть, надувать' (ПК = ПИЕ *bhelə- 'дуть, вздуваться'). Интересно  сопоставить также алт. *pejlo 'живот; быть беременной' (ср. частые значения  "пучить живот", "беременеть" в ИЕ и картв.), хотя соотношение алт. *p- : картв.  b- : ИЕ *bh- не вполне регулярно. Иную ностратическую параллель предлагает  Бомхард (1996, 142): он сравнивает картвельскую основу с ПИЕ *bher-  'вздуваться, вставать дыбом': заметим, однако, что индоевропейская основа  означает скорее 'бушевать, метаться' и вряд ли сопоставима с картвельской.
45|*berc̣ḳ-|0|щипать|to pinch|brc̣ḳ- / bc̣ḳ- (b(r)c̣ḳwn-)|||bic̣ḳ-on-, bisḳ-on-|||ṗǟnc̣ḳw-||||||ЭСКЯ 56-57 (*bc̣ḳwn-), EWK 51. Экспрессивная основа; реконструкция срединного   -r- не вполне ясна. Интересно отметить алт. *păsV 'давить, щипать'.  [Проверить pinch etc.].
46|*berc̣q̇ / brc̣q̇-|10|блестеть|to glitter|brc̣q̇-in|блестеть, naberc̣q̇al- 'искра'|to glitter, naberc̣q̇al- 'spark'|rc̣ḳin|||berc̣q̇ ( < Georgian?)|||ṗinc̣ḳ-, ṗic̣ḳ-|||ЭСКЯ 50, EWK 51-52. Иллич-Свитыч (ОСНЯ 1, 174-175) возводит картвельский   корень к ностр. *balq̇a  'сверкать', предполагая эпентезу *berc̣q̇- < *berq̇- с   преобразованием редкого сочетания -rq̇- в более  обычное -rc̣q̇-, что довольно   сомнительно (сочетание -rq̇- представлено в ПК, ср. напр. *berq̇en-  'дикая   груша' и др.). В МССHЯ 362 другое  сравнение: с ПИЕ *bherəḱ- 'пылать, мерцать';  Бомхард 1996, 143 сопоставляет ПИЕ *bherəǵ- id., являющееся вариантом *bherəḱ-. Ср., с другой стороны, ПИЕ *bhleik- / *bhleiǵ- 'сверкать' (Walde 2,  211), с вариантами *bhleik-s(k)- и *bhleiǵ-z(g)-.
47|*berg-|0|мотыжить|to hoe||||barg-, berg-|||bērg|||berg-|||EWK 50. Ближайшие параллели налицо в нахских языках: чеч. berg, бацб. brag  'мотыга' < ПН *barVg. В     NCED 306 нахский корень возводится к ПВК *bɨ̆lVgwi,  рефлексы которого в прочих ВК языках означают     "молот, кувалда" (лак. burg,  дарг. bargu, bur, рут. burḳ). Корень характеризуется как  культурный,  с    межъязыковыми заимствованиями. Обращает на себя внимание сходство с ПИЕ  *pelek'u-  "секира,   топор".  Все рассматриваемые слова могут в конечном счете  иметь семитский источник  (....), но   картвельские  формы, повидимому,  непосредственно заимствованы из нахского. Климов  (1994, 50), не   замечая СК  материала, выводит ПК форму из ПИЕ *bherǵ- / *bhreiǵ- 'дробить';  последний, однако, вряд ли возводим к ПИЕ (имеется только сомнительная греч. форма у Гесихия и  балтийские параллели - со значением, кстати, не 'дробить', а 'скрести, царапать') и тем более не  имеет отношения к картвельским формам.
48|*berq-|564|нога, шаг|foot, step|perq- (Old Georgian), pex- (Mod.)|нога|foot|o-bax-e|подставка, место для ноги|prop, space to put the foot|bǟq, na-barq-|шаг|step||||ЭСКЯ 50, EWK 47, 52. EWK разделяет сван. bǟq- и na-barq-, соотнося первый с не вполне ясным хевсурским экспрессивным образованием baqbaq-i "неуклюжий бег", что кажется вряд ли оправданным. Корень ностратического происхождения: ср. ностр. *paĺqV 'ступня', восстанавливаемое Иллич-Свитычем (ОСНЯ 3, 66-70) на основании картв. *berq-, урал. *päĺkä 'нога (foot)' и алт. *palka 'нога'.
49|*berq̇en-|1231|лесная груша|wild pear|berq̇ena||||||barq̇wen-, bärq̇en|лесная слива|wild plum||||ЭСКЯ 54, EWK 51. Интересно сопоставить ПСК *pĭrq̲wĂ 'вид фрукта (абрикос, персик)', см. NCED 873.
50|*berṭq̇-|0|вытряхнуть|to shake out|berṭq̇-; Old Georgian ganberṭq̇a, barṭq̇i 'young of bird'|||barṭq̇-|||||||||Кл (*ṗerṭq̇-), EWK 50-51.
51|*betk-|893|бить, колотить|to beat, hit|betk-|||batk-|||betkw- ( < Georgian?)||||||EWK 48-49. Ср. алт. *p`āt`a 'бить' (или *but`u id.), (ПИЕ...).
52|*bez-|481|сильно колотить|to give a good beating|bez-|||baz-||||||baz-|||ЭСКЯ 49-50, EWK 48. Ср. алт. *p`isi(KV) (или к *pšw-?).
53|*beʒ́ɣ-|0|сердиться, кричать|to get angry, scream|bezɣ|наговаривать, доносить|to denounce, slander|berǯɣ-el|кричать, вопить|to scream, yell||||beǯɣ|сердиться, ругать|to get angry, scold|ЭСКЯ 51. [Пров. böse].
54|*beǯ-/*bǯ-|0|опираться, упираться|to lean on|bǯ-en, bǯ-in (ДГ brǯin-)|опираться; biǯ- 'шаг'|to lean on; biǯ- 'step'|biǯg-|||bǯg-en|опираться, упираться; biǯg- 'шаг'|to lean on; biǯg- 'step'|baǯg, bǯen|||ЭСКЯ 52, 57, EWK 57-58.
55|*bger-|0|издавать звук|to make a sound|bger-a|звучание|sound|ngar-, gar-|плакать|to cry||||bgar-, mgar-|||ЭСКЯ 49, EWK 48.
56|*bɣeź-|894|||bɣez-|злой (гур.)|evil (Gur.)||||||||||Долгопольский (1969, 307) сравнивает с ПИЕ *bhous- 'плохой', монг. *busa id. < ностр. *buGśV.
57|*bɣlarʒ́-|0|обнять по-медвежьему|to embrace as a bear|bɣlarʒ-, bɣlaʒ-|||ɣurǯ-, ɣurž-|||||||||EWK 70.
58|*bɣneǯ-/bɣniǯ-|0|морщиться|to wrinkle|bɣneǯ-, bɣniǯ-|||ɣinǯg-|||||||||EWK 70-71.
59|*b(ɣ)u|0|сова, филин|owl|bu(w)|||ɣu|||ɣuh; ? (Lent.) ɣorɣol|||bɣu, (m)ɣu|||ЭСКЯ 56. Ономатопоэтическая основа, с ближайшими параллелями в ВК языках (ПВК *bŭhu, см. NCED 312) и ИЕ (*bh(e)u-, см. IEW 97), отмечаемыми Климовым ibid.
60|*bidw-|895|зажигать|to light up|bdw-|spärlich brennen|spärlich brennen||||bd-, bid-||||||EWK 55. Ср. алт. *p`ot`e 'жечь'.
61|*biga|1220|палка (крупная)|big stick|biga|перекладина (деревянная)|wooden rail|biga|||biǯ|||biga|||Кл. Ср. алт. *bakV 'палка, столб'. Можно также отметить ПСК *bħə̄nq̲̇V̆ 'палка, шест'.
62|*bi(l)bil-|0|окаймление|fringe, hem|bibilo|гребень (птицы)|crest (of bird)|birbil-|ушки кругом бубна; сережки на дереве|eyelets around the tambourine; aglet||||bibil-|бородка (петуха), penis|cock's wattle, penis|ЭСКЯ 51, EWK 55 (*bil-). Экспрессивная редуплицированная основа; ср. ПВК *bɨlV 'penis' (интересно таб. bilbil с весьма сходной редупликацией).
63|*bir-|0|переманивать, сманивать|to entice|bir-|||bir-|||||||||ЭСКЯ 52, EWK 56. Ср. алт. *beŕa 'надеяться'; или же *p(`)ero 'желать', ПИЕ *per- 'пытаться' (WP 1, 29), *prejə- 'любить'.
64|*bir-|218|петь|to sing||||bir-|||br-|||bir-|||ЭСКЯ 53, EWK 56. В ОСНЯ 1, 180 корень возводится к ностр. *biĺV 'кричать' (ПИЕ  *bhel-, драв. *piḷV). Иную этимологию дает Бомхард 1996, 145 (: ПИЕ *bher-  'издавать звуки', драв. *paṟ- 'говорить, бормотать').
65|*biʒg-|0|толкать|to push|biʒg-|||biʒg-|||||||||EWK 56-57.
66|*blagw-|0|тупой, неострый|dull, blunt|blagv-|тупой, неострый|dull, blunt|lug-a|тупой (о человеке)|blunt (of person)|||||||EWK 58. [Проверить АА - м. б., *ĺa-k:ʷə 'глухой'?].
67|*blanc-|1721|папоротник|fern|blenc-|||||||||bilonc-|||EWK 58.
68|*bliḳw-|1676|кулак|fist|bliḳv|кулак|fist|liḳv|||||||||Кл. Ср., может быть, алт. *bulV 'узел, шишка' (или *p`ālŋa 'ладонь' с ностр. параллелями: и.-е. *paləm- / *palən-, урал. *p[eĺ]ŋV < *p`aliŋa, см. ОСНЯ 3, 94-95?)
69|*blom-|0|во множестве|multitude|blom-ad||||||||||||Бомхард (1996, 143) сопоставляет основу с ПИЕ *bhelə- 'вздуваться, переполнять'.
70|*boḳw-|0|пень|stump|boḳv-|||buḳ-|||biḳ||||||ЭСКЯ 52, EWK 58-59. Ср. алт. *p`uku 'нарост; трут' (?) или *buk`e 'горб; куча'.
71|*bol-|414|дым (светлый)|smoke (light)|bol-|||bol-|||||||||Климов (1994, 172-173) предполагает заимствование из ПИЕ *bholo- 'пар, дымка'. Однако нельзя  исключить и исконное родство; ср. еще алт. *bulV 'облако', урал. *pilwe id. (ОСНЯ 1, 179-180).
72|*bo(r)d-|33|бредить|to rave|bod-|||bordiš-||||||bod-|бредить, беспокойно сновать|to rave, wander|ЭСКЯ 52, EWK 58. Климов (ibid.), а вслед за ним Иллич-Свитыч (МСНЯ 332)  сравнивают ПИЕ *bhred(h)- 'идти вброд, бродить, бредить' < ностр. *bVrdV. Из алтайского ср. *bet`a / *peda 'брод'.
73|*borg-|0|неистовствовать, бороться|to rampage, fight|borg-|неистовствовать|to rampage||||borg-, bərg-|бороться|to fight||||EWK 59-60. Ср. *brʒ́-.
