"NUMBER","PROTO","PRNUM","MEANING","LAK","COMMENT"
68,"=u=č̣i-",601,"to understand","=u=č̣i-n","    G. pr. \I=u=č̣u-nu.\i Cf. Khosr. \I=u=č̣i-n\i id. The same root is most probably reflected in the durative stem \Ič̣ala-n\i 'to see' (with Anlaut reduction, opposed to the reductionless durative \I=uč̣la-n\i 'to understand')."
69,"hanna",251,"seed","hanna","    3d class. The word contains a suffix -da (cf. Khosr. \Ihanda\i). Cf. also a dialectal form (Khaidakov) \Ilanna\i (with an archaic preservation of initial lateral).     The word is originally deverbative, cf. \I=uha-\i (p. pr. \I=u=hunu\i) 'to sow'."
70,"š:aIlu",31,"earth, ground","š:aIlu","    4th class. The stem is used also in a reduced form \Iš:aI-\i (\Iš:aI-w\i 'on the earth, on the ground', \Iš:aI-biḳan\i 'to sit'), but the external evidence clearly shows that the form with -l- is original."
71,"burču",61,"skin, hide","burču","    3d class."
72,"šana-",74,"sleep","šana-n","    The word is derived (or vice versa) from \Išanu\i (3d class) 'sleep (n.).'"
73,"č̣i=i-",143,"small","č̣i=i-s:a","    Cf. Khosr. \Ič̣i=i-s:a\i id."
74,"purḳu",602,"smoke","purḳu","    3d class. Etymology unknown."
75,"=a=c̣a-",603,"stand","=a=c̣a-n","    G. pr. \I=a=c̣u-nu.\i Cf. Khosr. \I=a=c̣a-n\i id."
76,"c̣u-ku",357,"star","c̣uku","   3d class. The root is \Ic̣u(r\i)-, as is clearly seen from the plural form \Ic̣ur-t:i.\i The final -ku may be regarded either as an old diminutive suffix, or as a result of contamination with the PEC root \I*c̣̲wɨko\i 'brilliance, spark' q.v."
77,"čaru",604,"stone","čaru","    3d class. Obl. base \Ičari-.\i Cf. Khosr. \Ičaru\i id."
78,"barʁ",99,"sun","barʁ","    3d class. Obl. base \Iburʁi-.\i"
79,"maʁ",333,"tail","maʁ","    3d class."
80,"ta",2302,"that","ta",
81,"wa",2310,"this","wa","    Cf. also \Iwi-w,\i Khosr. \Iwī\i 'inside'."
82,"ina",605,"thou (2d p. pr.)","ina","    Origin obscure ( < *ʁ(w)i-na with an irregular development?)."
83,"maz",102,"tongue","maz","    3d class."
84,"k:arč:i",606,"tooth","k:arč:i","    4th class, obl. base \Ik:arč:u-.\i Cf. Khosr. \Ik:ʷarč:i.\i"
85,"murx",607,"tree","murx","    3d class. Obl. base \Imurxi-ra-.\i Cf. also Khosr. \Imurx,\i \Imurxira-\i id."
86,"ḳi=a",2315,"two","ḳi=a",
87,"na-",561,"to go, walk (dur.)","na-n",
88,"ʁili- ?",608,"warm","ʁili-s:a","    Etymology unknown. Lak. > Arch. ʁili-t:u-."
89,"š:in",112,"water","š:in","    4th class. Obl. base \Iš:ina-.\i"
90,"žu",2287,"we","žu",
91,"ci, cu",2299,"interrogative pronoun","ci","    Lak. \Ici\i 'what', \Icu\i 'who' (Khosr. \Ici,\i \Icʷu\i) (cf. also \Icu-kun\i 'how', \Icu-k-s:a\i 'how many', Khosr. \Ici-mi,\i \Ici-k-s:a\i id. etc.) A regular reflex with č- is preserved in \Ičuw,\i Khosr. \Ičū\i 'where'; reasons for the shift č- > c- are not clear (cf. the same development in \I*ču\i > \Icu\i '(one)self')."
92,"ḳaIla-",465,"white","ḳaIla-s:a",
93,"š:ar",123,"wife","š:ar","    Cf. also \Iš:ar-s:a\i 'woman, wife'."
94,"qaqi-",117,"yellow","qaqi-s:a",
95,"arꭓ(:)-",109,"far","arꭓ-s:a",
96,"ḳu-",305,"heavy","ḳu-s:a",
97,"ʁan-",609,"near","ʁan-s:a",
98,"c̣ʷu",356,"salt","c̣ʷu","    3d class. Obl. base \Ic̣ʷi-.\i Cf. Khosr. \Ic̣ʷu\i (\Ic̣ʷuj-\i) id."
99,"kuṭa-",314,"short","kuṭa-s:a","    Lak. > Arch. \Ikūṭa-t:u-.\i"
100,"šat:a",610,"worm, snake","šat:a","    3d class."
101,"ḳuIla-",121,"thin","ḳuIla-",
102,"marč",321,"wind","marč","    3d class, obl. stem \Imurča-.\i Cf. also Khosr. \Imarčʷ.\i"
103,"liI=ꭓ:a-",41,"fly (v.)","liI=ꭓ:a-n","    G.pr. \IliI=ꭓ:u-n.\i L- is historically a preverb."
104,"šin",146,"year","šin","    4th class, obl. base \Išina-.\i"
105,"č:u=č:i-",611,"to burn","č:u=č:i-n","    G.pr. \Ič:u=č:u-nu.\i Cf. Khosr. \Ič:u=č:i-n\i id."
106,"ku",4,"stomach; paunch","ku","    3d class. Obl. base \Ikuni-.\i"
107,"halꭓ:a-",66,"tall, high","halꭓ:a-s:a",
108,"lič:a",43,"bone","lič:a","    4th class. Obl. base \Ilik:u-ra-.\i The plural form \Ilik-ri\i also means 'feet, legs'."
109,"l-i=hi-",621,"get cold, freeze","l-i=hi-n","    G. pr. \Il-i=hu-nu.\i An archaic derivate is probably \Iꭓ:Iu-t\i (Khosr. \Iꭓ:Iu-t\i) 'shadow' (cf. the Darg. and Tsez. parallels), with a Proto-Lak. dialectal variation ꭓ:I / h (typical for reflexes of uvular fricatives)."
110,"=aj-š:u-",622,"retreat, go away","=aj-š:u-","    G. pr. \I=ajš:u-nu.\i"
111,"hal",36,"a skin crease (filled with fat)","hal","    4th class."
112,"ṗiħulli",430,"feather","ṗiħulli (Bartkh.)","    Cited from Хайдаков 1966."
113,"q̇Iuršlu",625,"ankle(-bone)","q̇Iuršlu","    Cf. gen. \Iq̇Iurš:ul-t:u-l;\i 3d class."
114,"ha-",6,"enough","ha-","    Cf. also \Ihar,\i \Ihari\i 'enough' (adverb, interjection). Since the original meaning is 'large, big', it seems possible to connect with this root also \I=uhara-s:a\i 'grown-up, old'."
115,"t:u-",2283,"I (obl. base)","t:u-",
116,"=iꭓ:a-",633,"slaughter","=iꭓ:a-n","    G.pr. \I=i=ꭓ:u-n.\i Cf. Khosr. \I=iꭓ:ʷa-n\i id."
117,"marḳu",634,"poor man; farm-hand","marḳu",
118,"bizanu",313,"mountain pasture","bizanu","    3d class."
119,"čars:a",639,"necklace","čars:a","    4th class."
120,"maIr",643,"nail","maIr","    3d class, obl. stem \ImuIra-.\i Cf. Khosr. \ImaIr,\i \ImuIra-\i id."
121,"ḳuw",294,"soot","ḳuw","    4th class. Cf. Khosr. \Iḳʷa\i (gen. \Iḳu-ra-l\i) id."
122,"ʁurʁa",648,"stone in river","ʁurʁa","    3d class."
123,"t:ala",651,"log, cudgel, club","t:ala","    3d class. Cf. Khosr. \It:ala\i id."
124,"s:a-",2298,"what (obl. base)","s:a-","    Cf. gen./erg. \Is:a-l,\i dat. \Is:a-n\i etc."
125,"wiliIq̇i",654,"centipede, earwig","wiliIq̇i (Bartkh.)","    Quoted from Хайдаков 1966."
126,"barzu",658,"eagle","barzu","    3d class."
127,"max(:)-",665,"tame (adj.)","max-s:a",
128,"lak:-",35,"Laki (ethnonym)","lak, lak:u (adj.)",
129,"ha-",161,"to go (term.)","ha-n",
130,"as(:)",292,"nobility, conscience; a heathen deity","as","    3d class. Intensity of s unclear (gen. \Ias-li-l\i with neutralization)."
131,"ʁʷanʁʷaraṭi",689,"beetle","ʁanʁaraṭi","    Khaidakov 1966 quotes the form with labialisation: \Iʁʷanʁʷaraṭi.\i Cf. also the variant in the Russian-Lak dictionary: \Iq:anʁaraṭi.\i"
132,"c̣an",690,"darkness","c̣an","    4th class. Also adjective: \Ic̣an-s:a\i 'dark'."
133,"d-aI",692,"middle","daI","    d- is an old class prefix; cf. with another one \IbaI(-niws:a)\i 'waist'."
134,"s:iħ",700,"breath, vapour","s:iħ","    3d class."
135,"t:-izi-",702,"to milk","t:-izi-n","    G. pr. \It:-i=zu-nu.\i"
136,"lač̣a",703,"wheat","lač̣a","    3d class (pl. \Ilaḳ-ri\i)."
137,"nah",508,"butter","nah","    4th class. Cf. Khosr. \Inah\i id."
138,"ša",229,"track, footprint, step","ša","    3d class. An archaic form is Lak. \Iax-t:a\i 'by foot' ( < \I*xV-t:V-,\i whence an  old Archi loanword \Iλet:é-jt\i id.)."
139,"marc̣-",299,"clean","marc̣-s:a",
140,"=uč̣i-",713,"good, fitting","=uč̣i-A:S",
141,"ṭu",727,"nit","ṭu","    Obl. stem \Iṭuni-;\i 3d class. Cf. Khosr. \Iṭu,\i pl. \Iṭun-di.\i"
142,"han",282,"shady slope of a mountain","han","    4th class."
143,"murlu",738,"rock, cliff","murlu","    3d class. Cf. Khosr. \Imurlu\i id."
144,"č̣aw",739,"cheek","č̣aw","    4th class."
145,"luc̣",426,"slime","luc̣","    3d class."
146,"maḳ",337,"sleep, dream","maḳ","    4th class."
147,"č̣aku",760,"kid (less than 2-3 y. old)","č̣aku","    Cf. Khosr. \Ič̣aḳu\i (with secondary assimilation - or a loan from Darg. or Ag. \Ič̣aḳu\i)."
148,"uIk:ʷi-",384,"bad","uIk:i-s:a","    Cf. also \IkuIč:a\i 'left-handed' ( < \Ikʷa-uIk:a,\i a compound with \Ikʷa-\i 'hand'), whence \IkuIč:a-ꭓ-s:a\i 'left'."
149,"=ita-",762,"leave","=ita-n","    G. pr. \I=i=tun.\i Cf. also (with Ablaut) \Ibat =an\i 'to hide', \Ibat xun\i 'to get lost' ( > Arch. \Ibat as\i, \Ibat =kes\i)."
150,"s:aw",134,"sky","s:aw","    4th class. Cf. Khosr. \Is:aw\i id. There exists also an archaic form \Is:uru\i 'sky' reflecting the old plural (cf. PD \I*c:ub-ri\i)."
151,"huzu-",767,"to swim","huzu-n",
152,"mu",2311,"that (near to the listener)","mu",
153,"=ači-",770,"to go, be heading (somewhere)","=ači-n","    G. pr. \I=a=ču-nu.\i Cf. Khosr. \I=a=či-n\i id."
154,"ša=ša-",771,"to boil","ša=ša-n","    G. pr. \Iša=xu-n.\i A reduplicated stem (\Išaša-\i < \I*xaxa-\i). Cf. Khosr. \Išaxa-n\i id."
155,"qami",115,"women (pl.)","qami",
156,"=ač̣i",779,"half","b-ač̣i, ač̣i","   An old derivate (pointing to the original meaning 'side') is probably Lak. \Ič̣a-ra-w\i 'near, close to', \Ič̣a-ra-ꭓ\i 'past (smth.)'."
157,"haw",529,"cold wind","haw","    3d class."
158,"harkʷ",793,"carriage wheel axle","harkʷ (Bartkh.)","    Quoted from Хайдаков 1966."
159,"q̇ančlu",463,"a niche above the roof","q̇ančlu","    Gen. \Iq̇ančul-lu-l.\i"
160,"ku",673,"ram","ku",
161,"ꭓ:alku",800,"ram (3 and more years old)","ꭓ:alku",
162,,0,,,
163,"č̣i",803,"lamb","č̣i","    Obl. base \Ič̣ilu-.\i 3d class. Cf. Khosr. \Ič̣i\i id."
164,"ja-",804,"sheep-flock","ja-t:u","    -t:u is a plural suffix."
165,"t:a",805,"sheep, ewe","t:a","    Cf. Khosr. \It:a\i id."
166,"buIr-ni",806,"deer","buIrni",
167,"baIʔa",807,"ram","baIʔa","    A colloquial and expressive form, but with parallels in other languages."
168,"nuwš:a",2316,"ram (more than 2 years old)","nuwš:a","    Cf. gen. \Inuwš-lu-l,\i pl. \Inuwš-ri,\i Khosr. \Inūš:a.\i"
169,"s:i",810,"lamb (about 1 year old)","s:i","    Cf. Khosr. \Is:i\i id."
170,"čurči",814,"hair-lock, hair-tuft","čurči",
171,"č̣uIj",816,"tower","č̣uIj","    Obl. \Ič̣uIj-lu-,\i pl. \Ič̣uIj-rdu.\i"
172,"isu",817,"boundary stone","isu",
173,"č̣ača",820,"flea","č̣ača","    Gen. \Ič̣ak-lu-l.\i Cf. Khosr. (with metathesis) \Iḳača,\i \Iḳač-lul.\i"
174,"hulū",821,"lentil; birth-mark","hulū",
175,"quIru",822,"pea(s)","quIru",
176,"bič:i",823,"anxiety","bič:i",
177,"zʷal",824,"god","zʷal","    Labialisation is not marked in Хайдаков 1962, but is marked in some dialectal notes."
178,"c̣imi",825,"grace, mercy, pity","c̣imi",
179,"niws",826,"rib","niws","    Gen. \Iniwsi-ral.\i Cf. also the old loanword in Arch. (\Inibzur\i 'collar-bone, clavicle') and an interesting dialectal form: Khosr. \Ilins\i 'rib' ( < \I*rims\i)."
180,"kunc̣a",828,"bog, marsh","kunc̣a",
181,"xunc̣a",829,"bog","xunc̣a","    Lak. \Ixunc̣a\i and \Ikunc̣a\i 'bog' seem to be variants, but are most probably two separate stems which underwent a partial contamination. The Khosr. dialect has here an irregular x:- (\Ix:unc̣a\i / \Ix:unc̣lu\i)."
182,"ḳunṭ; ḳut-in",836,"1 dot, drop 2 rash","ḳunṭ 1, ḳutin 2","    Lak. \Iḳunṭ\i and \Iḳutin\i are hard to separate; we should probably take them for old dialectal variants. -t- in \Iḳutin\i is probably a result of (dialectal) dissimilation. Cf. also Khosr. \Iḳunṭ\i 'drop', \Iḳunṭa ṭun\i 'to drop'."
183,"čunṭ-lu",838,"wart","čunṭlu","    Gen. \Ičunṭ-ul-lu-l.\i The word contains a frequent suffix -(u)lu."
184,"ṭanṭa",839,"freckle","ṭanṭa",
185,"ṭunka",840,"bead","ṭunka",
186,"ṭink",841,"pimple, rash","ṭink","    For final -k cf. gen. pl. \Iṭink-ur-dil.\i"
187,"aIš",843,"line, narrow stripe","aIš","    Gen. \IaIš:u-l.\i"
188,"š:ʷa",845,"line","š:ʷa","    May go back to \I*x:ʷa.\i"
189,"ʁaj",846,"*harrow","ʁaj","    The Lak. noun is used only in compound verbs \Iʁaj ṭun\i, \I\Iʁaj učin\i\i 'to harrow'. An old borrowing from Lak. is Arch. \Ihej-bos\i 'to plough'."
190,"paIp",850,"clay mortar","paIp",
191,"parš:",851,"a brass water jug","parš","    The Lak. form must have had a strong -š: (to judge from external evidence) which is neutralized in the word-final position."
192,"par",852,"lightning 1 lustre","parannu; par 1","    Cf. also \Iparꭓ\i 'flash', \Iparꭓ:annu\i 'silhouette' (cf. an analogous suffix in Avar), \Ic̣upar\i (a compound with \Ic̣u-\i 'fire') 'lightning', Khosr. \Ic̣upar\i id."
193,"lis:u",242,"stripe, slice","lis:u",
194,"p:iIllu",857,"wooden part of the reed-pipe","p:iIllu (Bartkh.)","    The Bartkh. dialectal form is quoted from Хайдаков 1966."
195,"pic̣",858,"dew; perspiration","pic̣",
196,"pur",861,"diarrhea","pur",
197,"purš:",865,"bellows","purš","    Cf. gen. \Ipurš:i-ra-l.\i"
198,"purpuꭓ:i",866,"urinary bladder","purpuꭓ:i",
199,"č̣apa",867,"basket","č̣apa",
200,"q̇aIpa",869,"hat, cap","q̇aIpa",
201,"pat:a",873,"old clothes","pat:a","    Cf. also Arak. (Хайдаков 1966) \Ipat:a\i ""trousers""."
202,"piq",876,"bad fruits","piq","    Gen. pl. \Ipiqurdil\i (pointing to -q-)."
203,"puIrq̇u",877,"scrap metal","puIrq̇u",
204,"puṭi",879,"a hollow stalk, tube","puṭi",
205,"ʔin-t",882,"spring","int","    Lak. \Iint\i < \I*ʔim-t\i (-t or -nt is a standard suffix in names of the seasons)."
206,"p:al",883,"sheep's wool","p:al",
207,"balčan",884,"horse","balčan (dial.)","    The form is quoted from Хайдаков 1966; possibly a borrowing (cf. Lezg. forms)."
208,"p:al",886,"cattle-shed","p:al",
209,"p:ap:a",887,"bread (a nursery word)","p:ap:a",
210,"p:u",889,"father","p:u","    Cf. gen. \Ibu-t:a-l\i ( = Khvarsh. \Iobu-ṭi-,\i Inkh. \Iobu-di-\i). In Khosr. \Ibut:a\i can be used also as a direct stem."
211,"p:a",890,"awl","p:a","    Cf. gen. \Ip:ur-dul\i (reflecting the old obl. stem)."
212,"paInc̣",891,"a small stick for playing","paInc̣",
213,"barzunt:iw",301,"heights, mountains","barzunt:iw",
214,"barħ",896,"back, spine","barħ"," Cf. Khosr. \IbaIrh.\i"
215,"miIḳ-",899,"pine cone","miIḳiIḳiIj","    This is a dialectal (Arak.) form from Хайдаков 1966."
216,"burg",900,"sledge hammer","burg","    Khosr. \Iburg\i id."
217,"burč̣a-lu",901,"threshold","burč̣alu","    Lak. -lu is a common nominal suffix."
218,"muq̇a-w",902,"on the back","muq̇a-w",
219,"maIj-",2323,"eight","maIj-a","    2/4 class \ImaIj-ra,\i 3 class \ImaIj-ba.\i"
220,"bucur",903,"barrier; carpet and bed clothes (near the wall)","bucur","    Lak. > Ag. Bursh. \Ibucur\i 'gutter' (""a barrier for water"")."
221,"buIrna",907,"pillar (of a building)","buIrna",
222,"buIč̣in",908,"dry leaves of leguminous plants","buIč̣in",
223,"š:ama",291,"road metal","š:ama","    Cf. Khosr. \Iš:amā\i id."
224,"č̣amaṭu",909,"sulphur","č̣amaṭu",
225,"x:ʷiIm",910,"dew","x:iIm","    Cf. Khosr. \Ix:ʷiIm.\i"
226,"x:iIw",318,"breeze","x:iIw",
227,"qamal",913,"guests","qamal","    Cf. Khosr. \Iqamali-čū\i 'guest' (plur. \Iqamal\i)."
228,"q:aqnu",914,"partridge","q:aqnu","    Probably from \I*q:aq:Vb-nu,\i cf. Arak. \Iq:aqmu\i id. and \Iq:aq:aba\i 'the cry of a partridge' (preserving the more archaic structure). The second q: is regularly weakened before a consonant, cf. the genitiveform \Iq:aq:un-t:ul.\i"
229,"q:uImaj",915,"cluster, bunch (of grapes)","q:uImaj",
230,"p:ip:i-",919,"ladybird","p:ip:i-s:alaħ","    A compound word: the second component = Tab. \Iš̌ali-\i in \Iš̌ali-p:ep:e\i ( = Lak. \Ip:ip:i-s:alaħ\i) 'a k. of beetle)."
231,"q:iIp:a",920,"beak","q:iIp:a","    Cf. also Khosr. \Iq:iIp:i\i id."
232,"barq̇-ut",921,"fur-coat","barq̇ut",
233,"naI",476,"brain","naI","    Lak. n- is probably secondary, cf. Bartkh. \ImaI-\i in \ImaI-lagan\i 'head is going round'."
234,"q̇i",205,"horn","q̇i (Khosr.)",
235,"č̣anṭi",256,"temple; forelock","č̣anṭi",
236,"niInt:a-",924,"forehead","niInt:a-baḳ","    A compound with \Ibaḳ\i 'head' q.v. Cf. also Khosr. \IniIt:a-baḳ.\i"
237,"niIṭa",927,"face","niIṭa",
238,"lažin",928,"face","lažin","    Cf. Khosr. \Ilažin\i id."
239,"=ajii-l-",929,"pointed, sharp","=ajiil-A:S","    Lak. must have possessed also the noun \I=aj\i 'edge, beginning', which is preserved within a compound verb \I=aj=iši-n\i 'to begin' (= ""to put a beginning""), as well as in an old Archi loanword \Ibej\i '(somebody's) turn'. From Lak. the compound expression ""to begin"" was borrowed into Archi (\Ibej-eλ:as\i) and Avar (\Ibajbixi-ze\i), whence - into Andian languages (Tind., Cham. \Ibajbix-\i etc.). Darg. \I=eħ=ix-es\i 'to begin' should be regarded as a loan-translation."
240,"maṭi",930,"muzzle, snout","š:unš:u-maṭi","    A compound word (etymology of the 1st part see under \I*š̲umVšV\i)."
241,"marš:a",931,"meadow (on slope of a hill)","marš:a",
242,"c̣ani",934,"eyebrow","it:a-c̣ani","    A compound with \Iit:a-\i 'eye' (see \Ija\i)."
