NUMBER|PROTO|PRNUM|MEANING|CHE|ING|BCB|COMMENT
33|*foʔ|428|1 grain 2 egg 3 grain forage|hoʔa 2, hoʔ 3|fuʔ 1,3|oʔ 1|    The two words in Chech. are hard to separate, although words meaning "egg" belong to the 3d class, and words meaning "grain" - to the 6th class in Chech. and Ing. (in Ing. \Ifuʔ\i "grain forage" vacillates between 5th and 6th classes, and in Bacb. \Ioʔ\i "grain" belongs to the 5th class). The original meaning is pro- bably "grain, grain forage" (cf. the external evidence) with a secondary de- velopment of meaning "grain > egg". The Chech. form \Ihoʔa\i is obviously a result of a secondary analogy with the obl. stem \Ihoʔa-\i (Ing. \Ifuʔo\i).    The vowel -u- (instead of -o-) in Ing. (cf. also Chech. Cheb. \Ihuʔa,\i Pharch. \Ihuʔ\i "egg") is due to the strong labializing influence of initial *f-.
34|*gagan|33|egg|||gagã|    Isolated in Bacb., but with rather reliable external parallels.
35|*bʡa|34|eye|bʕärg|bʕarg|bʕarḳ|    The PN paradigm was \I*bʡa,\i \I*bʡare-,\i with a diminutive form \I*bʡare-ḳ,\i which was preserved in all languages. The form \I*bʡa\i survives as \Ibʕa\i (somewhat archaic) in Chech. and Ing. The word vacillates between 5th and 6th classes in all languages (bj in Bacb.).
36|*moħ|130|fat (n.)|moħ|muħ||    Obl. base \I*maħar-,\i cf. Chech. \Imaħara-,\i Ing. \Imaħaro.\i 4th class in Chech., but 6th class in Ing. -u- in Ing. is due to labialization after m-.
37|*pēla-ḳ|430|feather|pēlag|||    Isolated in Chech., but with reliable external parallels.
38|*c̣e|38|fire|c̣e|c̣i|c̣e|    PN paradigm: \I*c̣e,\i \I*c̣ari-\i (Chech. \Ic̣era-,\i Ing. \Ic̣ero,\i Bacb. \Ic̣ari-\i); 4th class.
39|*č̣ʕāre|431|fish|č̣āra|č̣q̇ära|č̣arĕ|    6th class in all languages. Cf. also Shar. \Ič̣q̇ēri,\i It. \Ič̣q̇ēra.\i
40|*-ēŁ-|135|walk, roam; fly|lēl-|lel-|lel-|    Initial *l- in most forms is either a prefix or the result of an old reduplication (without it cf. Bacb. imper. \I-ol\i "come (here)!"). Cf. also \I*-ē-b-Ł-\i in Chech. \I-īl-\i "to walk across, walk out". Since Chech. and Ing. have preserved only the durative stem, it is hard to establish vowel  length in the PN terminative form \I*l-aŁ-\i ( > Bacb. \Ilal-\i). The affricate *-Ł- is reconstructed on basis of Bacb. (Matsiyev) \Ileλ-,\i (Kadagidze) \Ilel-.\i
41|*kōḳ|267|foot, leg|kog|kog|koḳ|    Obl. base \I*kōḳa-\i (Chech. \Ikōga-,\i Ing. \Ikoga-\i). 6th class in all languages.
42|*=uc̣-i(na)|44|full|=üz-na|=iza|=uc̣-inŏ|    A participle form from PN \I*=uc̣-\i "to be filled, satiated" (Chech. \I=uz-,\i Bacb. \I=uc̣-\i). It is rather probable, that PN \I*=ac̣-i(n)\i 'heavy' (Chech., Ing. \I=eza,\i Bacb. \I=ac̣ĩ,\i Cheb. \I=azĩ,\i Khild. \I=eʒĭ\i etc; the pure root is preserved in Chech. \I=az-dan\i "make expensive", Bacb. \I=ac̣-dar\i "make heavy") is an Ablaut variant of the same stem.
43|*=aλ-|45|give|=al-|=al-|=aλ-|    Pres./fut. \I*lo\i (Chech., Bacb. \Ilo,\i Ing. \Ilu\i). Cf. also the Ablaut stem (with a preverb) \I*t-ēλ-\i in Chech. \Itēl-\i 'to pay', Bacb. \Iteλ-\i 'to give'.
44|*dik-/*dak-|432|good|dika|dika|dakĩ|    Vocalism unclear: \I*dik-i(n)\i in Chech., Ing. (cf. also Chech. Usl. \Idikiŋ\i), but \I*dak-i(n)\i in Bacb.
45|*būc|433|grass|buc|buc|buc|    Obl. base \I*bāci-\i (Chech. \Ibēca-,\i Ing. \Ibäco\i). 4th class in all languages. Cf. also Chech. \Ibäccara\i (Usl. \Ibēcciriŋ\i), Ing. \Ibäccara\i 'green' ( < \I*bācci-ri(n\i) with expressive gemination).
46|*ʔap- ?|434|green|||apẽ|    Isolated in Bacb. with no obvious etymology.
47|*čo|340|hair|čo|čo|čo|    6th class in all languages.
48|*ko|268|hand|küg|kulg|ko|    The PN paradigm should be probably reconstructed as \I*ko\i (Bacb. \Iko,\i Chech., Ing. \Ika\i with vowel levelling - but cf. also Ing. \Iko\i 'handle', perhaps preserving the old direct stem), \I*kar-\i (cf. Chech. \Ikara,\i Ing. \Ikara\i "into one's hands", Bacb. obl. base with vowel levelling \Ikor-\i). The stem \Ika\i is now preserved in Chech.-Ing. only in compounds, being replaced by a former diminutive \I*ku-leḳ\i (Ing. \Ikulg\i) / \I*ku-ʔiḳ\i (Chech. \Iküg,\i \Ikǖga-\i). 3d class in Chech., Ing.     Nakh *kuʔiḳ > Osset. \Iḳūx\i / \Iḳox\i 'hand', see Abayev 1958, 644.
49|*kōrta|256|head|korta|korta|kortŏ|    Obl. base \I*kōrti-\i (Chech. \Ikörta-,\i Ing. \Ikerto\i). 6th class in all languages.
50|*ꭓac̣-|435|hear|ꭓaza|ꭓaza|ꭓac̣ar|
51|*doḳ|55|heart|dog|dog|doḳ|    Obl. base \I*daḳi-\i (Chech. \Idega-,\i Usl. \Idegi-,\i Ing. \Idego\i). 3d class in all languages.
52|*kur|436|1 horn 2 arc|kur 1|kur 2||    Obl. base \I*kure-\i (Chech. \Iküra-,\i Ing. \Ikuro\i). The word means specifically "horn of wild animals" (as opposed to \Imaʕa\i) in Chech. 6th class in Chech., 5th class in Ing.
53|*mɦaʔo|205|horn|maʕa|muʕa|mʕaʔŏ|    Chech. -ʕ- instead of -ʔ- under influence of the original *-ɦ- in the initial cluster. Cf. also Shar., Khild. \Imʕaʔa.\i 4th class in all languages.
54|*sō|2283|I|so|so|so|    The PN paradigm is \I*sō\i (nom.), \I*sa-\i (gen., cf. Chech. \Isa-n,\i Bacb. \Isa-jĩ\i), \I*ʔas\i (erg., cf. Chech. \Ias,\i Ing. \Iaz\i). The length in \I*sō\i is regularly shortened, but has been preserved in derivate forms like \I*sō-nu\i (dat.) > Chech. \Isū-na.\i
55|*-ɦēw-|437|kill|-ē-|-e|-ʕev-|    PN term. *-ɦēw-, dur. *ɦāw- (preserved only in Bacb. ʕav-).
56|*gagu (~-ā-)|438|knee|gōla|go|gawgŭ|    The Chech. form goes back to \I*gagu-la\i ( = Ing. \Igola\i "elbow; curve") and means also "elbow, curve".
57|*ꭓ-aʔ-|408|know|ꭓaʔa|ꭓa|ꭓeʔar|    PN term. \I*ꭓaʔ-,\i dur. \I*ꭓēʔ-\i (Bacb. \Iꭓeʔ-\i). The *ꭓ- is an historical preverb.
58|*=abc̣-|160|1 to know 2 to get to know|=ovz- 2|=ovz- 2|=abc̣- 1, 2|
59|*ʁa|439|leaf|ʁa|ʁa||    3d class in Chech., Ing. Obl. base \I*ʁa-na-\i (Chech. \Iʁana-,\i Ing. \Iʁano\i).
60|*=ill-|133|1 to lie 2 to put|ʕ-ill- 1,=ill 2|all- 1, =ill- 2|=ill- 2|    A very productive PN root with rich Ablaut. It forms two vowel grade pairs:     1) PN term. \I*-ill-\i (also with a *ʕ- preverb) > Chech. \Iʕill-\i "lie", \I-ill-\i "put upon (smth.)", Ing. \I-ill-\i "put", Bacb. \I-ill-\i id. / dur. \I*-ē-b-l\i > Bacb. \I-ebl-\i "put upon, inside". The root is also used with a t- prefix ( \I*t-ill-\i 'to put (from above)' > Chech., Ing., Bacb. \Itill-,\i dur. \I*t-ēbl-\i > Bacb. \Itebl-.\i     2) PN intr. \I*-āll-\i > Chech. \I-all-\i (\I-äll-ira\i) "be (put) inside", Ing. \I-all-\i (\I-oall-\i) "to be inside", \Iall-\i "lie" / tr. \I*-ōll-\i > Chech., Ing., Bacb. \I-oll-\i "to put inside, put in".     There are also some common Nakh forms with a single *-l- (geminated *-ll- in the forms listed above is either expressive, or reflects old suffixation). Besides \I*-ēbl-\i 'to put upon, inside' cf. also PN \I*=ōl-\i / \I*=ēbl-\i 'to begin' (Chech. \I=ōl-,\i Ing. \I=ol-,\i Bacb. \I=ol-\i / \I=ebl-\i), \I=āl-\i / \I*=ēbl-\i 'to finish' (Chech. \I=āl-/=īl-/=owl-,\i Ing. \I=al-\i). The semantic change 'to put > to begin/finish' ('*to put a beginning/end') is widely spread in Caucasian languages.     An old nominal derivate is PN \I*lol\i ( < \I*r-ol\i = PC \I*rɨLə,\i PA \I*riƛV-\i) "leathern loop on belt for hanging up the dagger" (= "receptacle, place to put smth. in"), reflected in Chech. \Ilol\i (\Ilala-ra-\i), Ing. \Ilol\i (\Ilala-ro\i).     [The productiveness of this root in PN may be explained by the fact that it probably reflects a merger of two EC roots: \I*-ä̆ƛĔw\i and \I*-iŁV\i 'to put'.]
61|*-iš-|440|1 lie  2 go to bed, go to sleep|-īš- 2||-iš- 1|    The Chech. form goes back to the PN Ablaut grade *-e-b-š-.
62|*daHVꭓ|441|liver|doʕaꭓ|dĳꭓk|dʕeʔ|    The PN reconstruction presents some difficulties. Chech. points to *-u- in the 2d syllable (\Idoʕaꭓ\i < \I*daHuꭓ\i), Ing. - to *-i- (\Idīꭓk\i < \I*daHiꭓ-iḳ\i with a diminutive suffix) and Bacb. - to *-e-. Final -ʔ in Bacb. is probably a re- sult of assimilation (spirant -ꭓ > laryngeal); anyway, it is impossible to separate the Bacb. form from Chech. and Ing. The word belongs to the 3d class in all languages.
63|*=ʕāꭓ-(in)|66|long|=ēꭓ-a|=ʕäꭓ-a|=aꭓꭓ-ẽ|    Cf. also Shar. \I=ʕēꭓĩ,\i Cheb. \I=āꭓẽ,\i Khild. \I=ʕēꭓe\i etc. The geminated -ꭓꭓ- in Bacb. is obviously expressive. The pure root \I*ʕāꭓ-\i is present in Chech. \I=aꭓ-dan\i "to lengthen", Bacb. \I=aꭓ-dar\i id.
64|*mac̣e|67|louse|meza|maza|mac̣|    6th class in all languages.. Cf. also Cheb. \Imaze,\i Khild. \Imeʒe\i etc.
65|*borš|328|1 bull-calf  2 male|borš 1, börša 2|borša 1,2|borš 1|    PN \I*borš,\i obl. \I*barša-\i (cf. Chech. \Ibarša-n;\i short vowel reconstructed on basis of Chech. plur. \Iberšaloj\i). Chech. \Ibörša,\i Ing. \Iborša\i go back to a suffixed form \I*borš-e(n).\i The noun belongs to the 4th class in Chech., Ing., but to the 5th in Bacb.
66|*maʡa ?|442|man, male||maʕa||    Isolated in Ing., with no obvious parallels.
67|*psṭu|124|bull|stu|ust|psṭu|    Ing. has a secondary prothesis (\Iust\i < \I*u-sṭu\i). Obl. base \I*psṭare-\i (cf. Chech. \Istera-,\i Ing. \Iistar-o,\i Bacb. \Ipsṭari-\i). 6th class in all languages. The same historical root (with loss of *p-) is present in the compound \I*sṭ-aḳ\i "man, person" q.v.
101|*sṭ-aḳ|370|person, man|stag|sag|sṭaḳ|    Obl. base \I*sṭaḳe-,\i cf. Chech. \Istega-,\i Ing. \Isago,\i Bacb. \Isṭaḳi-.\i Historically a compound (for the first part cf. PN \I*psṭu\i "bull").
68|*duqa|443|many|duqa|duqa|duq|
69|*ǯiǯ-iḳ|444|meat|žižig|||    An isolated Chech. word, but with some external parallels.
70|*dilꭓu|69|1 meat 2 fleshy part of body|dilꭓa 2|dulꭓ 1|ditꭓĭ 1|    3d class in all languages.
71|*butt|70|moon, month|butt|butt|butt|    Obl. base \I*batti-\i (Chech. \Ibetta-,\i Ing. \Ibetto\i). 6th class in all languages.
72|*lām|295|mountain|lam|lɔm|lam|    Obl. base \I*lāmu-\i (cf. Ing. \Ilɔmo,\i whence with vowel levelling the direct base \Ilɔm;\i in Chech. the old obl. stem is preserved in /Uslar/ \Ilɔ̄mu\i "up the mountain", being replaced by the more common levelled obl. base \Ilāma-na-\i). 6th class in all languages.
73|*baḳa|445|mouth|baga|bage|baḳ|    Ing. \Ibage\i reflects a suffixed form. 4th class in Chech., Ing., bj in Bacb.
74|*c̣e|72|name|c̣e|c̣i|c̣e|    Obl. base \I*c̣ari-\i (Chech. \Ic̣era-,\i Ing. \Ic̣ero,\i Bacb. \Ic̣ari-\i). 4th class in all languages.
75|*c̣in-|73|new|c̣ina|c̣ena|c̣inĭ|    For the pure stem cf. Chech. \Ic̣in-dan\i "to renew". The full form in PN shows vacillation between \I*c̣in-a(n)\i (Ing. \Ic̣ena\i) and \I*c̣in-e(n)\i (Bacb. \Ic̣inĭ\i); Chech. \Ic̣ina\i may go back to either.
76|*bus-|446|night|büjsa|bĳsa|bujsa|    The original root is well preserved in PN \I*bus-u\i "at night" (Chech. \Ibusa,\i Ing. \Ibus,\i Bacb. \Ibujs\i). The noun "night" is a derivate \I*busu-ja\i ( > \I*bujsa\i).
77|*marλo|52|nose|mara|meraž|marλŏ|    Obl. base \I*marλi-\i (cf. Chech. \Imera-,\i Ing. \Imera-ž\i - originally a suffixed form; cf. also Bacb. \Imajrλa\i < \I*marλi-ja\i "face"). 6th class in chech, Bacb., but 4th class in Ing. Cf. also Shar., Itumk. \Imarhŏ\i "nose".
78|*ca|2273|not (negative particle)|ca|ca|ca|Cf. also Chech. -za 'negative participle'.
79|*cħa|2314|one|cħaʔ|caʕ|cħa|    The final glottal stop is probably secondary (like in other numerals), but it led to an assimilatory development \I*cħaʔ\i > \Icaʕ\i in Ing. (cf.  without it forms like \Icħä\i "single", \Icħa-nne\i /obl. base of \Icaʕ/\i etc.).
80|*daʁu|77|rain|doʁa|doʁa||    3d class in Chech. and Ing. Note that the verbal present stem \I*-āʁ-\i ( > Chech. \I-ōʁu\i) "to come" has also the meaning "to rain, to snow"; thus the form \I*daʁu\i may have been deverbal in PN.
81|*q̇ar ?|447|rain|||q̇ar|    An isolated Bacb. root with obscure etymology.
82|*nīq̇|80|road|neq̇|niq̇|niq̇|    Obl. base \I*nāq̇i-\i (Chech. \Inēq̇a-,\i whence with vowel levelling the direct base \Ineq̇;\i Ing. \Inäq̇o,\i Bacb. \Inaq̇i-\i). 6th class in Chech., Ing., bd in Bacb.
83|*ārum ?|448|root|ōram|||    An isolated Chech. word of obscure origin.
84|*ʔablV (̃-λ-,-Ł-)|82|1 root 2 village|evla 2|ovla 1||    Vowel differences in Chech. and Ing. can be explained by different analogical levellings of a paradigm like \I*ʔabla,\i \I*ʔabli-.\i The semantic difference can be explained if we look at external evidence (this root reveals meanings like "root" and "kin, family > village" in many languages). Thus the resemb- lance of the Chech. word to Turkish (e.g. Tat. \Iaul\i "village" etc.) is probably accidental (at the most the Turk. word could have influenced the meaning of the Chech. word - but there are not enough reasons to speak of a loan).
85|*gōga|84|circle|gō|gō|gogŏ|    6th class in all languages. A wide-spread derivative is PN \I*gōg-rV-\i "round" : Chech. \Igorga,\i Usl. \Igorga-ŋ\i (\I*gōg-ra-n\i), Ing. \Igerga,\i Bacb. \Igogrĩ\i (\I*gōg-ri-n\i).
86|*lē-w- / *ʔāλ-|449|to say|lē-, āl-|le-, al-|lev-, aλ-|    The PN paradigm is \I*ʔāλ-\i (term.) vs. \I*lē-w-\i (with loss of initial vowel) (dur.). In Bacb. there also exists a secondary Ablaut stem \Ilaw-\i "to talk to someone".
87|*gu- / *=ag-|86|see|g-|g-|gu-,=ag-|    The PN paradigm (term. \I*=ag-,\i dur. \I*gu-\i) has been preserved in Bacb.; Chech. and Ing. lost the terminative stem (because of the development *-g- > -0-).
88|*ʡa-/*ʡē-|194|1 sit 2 stay 3 be in a quiet state|ʕ-/ʕē- 1,3|ʕe- 2|ʕe-/ʕa- 1|    PN dur. \I*ʕa-,\i term. \I*ʕē-;\i in Bacb. the stem is preserved only in the compound \Iʕe-aʁ-\i / \Iʕa-aʁ-\i "sit".
89|*č̣iw ( / *č̣uj)|1528|1 ramrod 2 knitting needle 3 shuttle, spool|č̣ū 1,3|č̣ĳ 1,3|č̣uj 2|    6th class in all languages. The meaning 'sharp thing, sharp stick' is also present in anatomic compounds: Chech. \Ič̣ū-nosta\i 'tibial bone, fibula', Ing. \Ič̣ĳ-nosta\i id., Chech. \Ič̣ū-pħars\i 'funny-bone, ulna'. The PN form was borrowed in Cham. \Ič̣iwa\i (Gig. \Ič̣iwa\i) 'sabre'.
90|*c̣ōka|451|skin|c̣ōka|c̣oka||    4th class in Chech.; 3d or 4th class in Ing. (3d class - generally, 4th class - "skin of a wolf, dog, hare etc."). Cf. also Pharch. \Ic̣ōka,\i Lev. \Ic̣wōka.\i
91|*qaqan|182|1 sheep-skin 2 skin|qaqa 1|qaqa 1|qaqã 2|    6th class in all languages.
92|*nɦāṗ|337|sleep (n.)|nab|nab|nʕaṗ|    For long *-ā- cf. Chech. obl. stem \Inābara-;\i cf. also Chech. dial. \Inʕāb.\i 4th class in all languages.
93|*tōħ-|453|sleep|tħ-|tħ-|toħ-|    The Bacb. stem is probably corresponding to tħ- in Chech. tħ-ows-, Ing. tħ-ajs-  'fall asleep' q.v.
94|*fuw|251|seed|hu|fu|huv|    Obl. base \I*fune-\i (Chech. \Ihüna-,\i Ing. \Ifuno\i). 3d class in all languages.
95|*ǯʕVm-|454|small|žima|zʕam-iga|žomẽ|    The root reveals some irregularities (due to its expressive nature): unclear is the vocalism and the correlation between hushing and whistling consonants.
96|*ʔi|2309|demonstrative pronoun|i(-za)|i-z|e, i|    The stem \I*ʔi\i (with vacillation between i and e in Bacb.) is the normal pronoun for near deixis in Bacb.; in Chech./Ing. it designates the second degree of nearness and is also the standard 3d person pronoun.
97|*ḳur|455|smoke|ḳur|ḳur|ḳur|    Obl. base \I*ḳure-,\i cf. Chech. \Iḳüra-,\i Ing. \Iḳuro,\i Bacb. \Iḳuri-.\i 5th class in Chech., 6th class in Ing. and Bacb.
98|*-ātt-|95|stand|latt-|latt-|latt-|    For long *-ā- cf. Chech. pres. \Ilätta,\i Ing. pret. \Ilättad.\i The root reveals a complicated Ablaut pattern:     a) PN \I*-itt-\i > Chech. \Ih-itt-\i to stand upon , \Iʁ-itt-\i to stand up (dur.);     b) PN \I*-ott-\i > Chech. \Ih-ott-\i to stand upon, \Iʁ-ott-\i to stand up (term.), Ing. \Iott-\i to become, Bacb. \Iott-\i to stand up, stop;      c) PN \I*-ātt-\i > Chech., Ing., Bacb. \Ilatt-\i to stand.
99|*sēṭHo|456|star|sēda|sedq̇a||    6th class in Chech. and Ing. Cf. also Cheb. sjēdo, Shar. sjēṭo, Khild. sjōdo etc.
100|*ṭɦari (~-ā-,-ē-,-e)|357|star|||ṭʕejrĭ|    The root is preserved only in Bacbi, but is no doubt archaic.
102|*qēra|360|stone|qēra|qera|qer|    6th class in all languages.
103|*mālꭓ|457|sun|malꭓ|malꭓ|matꭓ|    Obl. base \I*mālꭓe-,\i cf. Chech. \Imälꭓa-,\i Ing. \Imalꭓo.\i 5th/6th class in all languages. Cf. also Akk. \Imarꭓ\i id.
104|*nāki|458|swimming|nēka|näk||    3d class in Chech. and Ing. Cf. also Cheb. \Ināki,\i Khild. \Inēkĭ.\i Perhaps one should relate here also Bacb. \Inak-ar\i (3d class) "avalanche" (?).
105|*c̣aḳu|459|1 tail 2 short tail|c̣oga 1|c̣og 1|c̣awḳŭ 2|    3d class in all languages. Cf. also Khild. \Ic̣ogŭ,\i Cheb. \Ic̣agu\i etc.
106|*muʁ (~-ū-)|333|1 tail 2 part of harness (put under the tail)|mulʁa 2|mulʁa 2|muʁ 1|    The simple root has been preserved only in Bacb. (4th class); Chech. and Ing. forms reflect the PN derivate \I*muʁ-lV\i ( = Bacb. \Imujʁlĭ\i).
107|*da-|2304|demonstrative pronoun stem|dʕā|dʕa|da-ħ|    The actual stem \Ida-\i is clearly seen in Bacb. \Ida-ꭓeʔ\i "because of that", \Ida-ħ,\i \Ida-ħa\i "there". The Chech.-Ing. form \Idʕā\i is a contraction from \I*da-ħa;\i it served as a basis for the now common demonstrative pronoun \Idʕā-ra\i "that".
108|*ha|2313|demonstrative pronoun|ha-ra|ja, je-r|e-h, o-h|    In Ing. there has probably occurred a contamination of \I*ha\i and \I*ʔi\i (q.v.), and thus appeared the form \Ija.\i The root is used for near deixis ('this'); in Bacbi it is combined with other deictic stems: \Ie-,\i \Io-.\i
