NUMBER|PROTO|PRNUM|MEANING|NAKH|NAKHNUM|AAND|AANDNUM|CEZ|CEZNUM|LAK|LAKNUM|DARG|DARGNUM|LEZG|LEZGNUM|KHIN|KHINNUM|ABAD|ABADNUM|COMMENT
28|*=VqV|424|to suck|*=aq-|166|*=[i]q- / *qV-|212|*=aχ- (~-ʁ:-,-ɔ-)|408|t:-iqi-|316|*=elq- / *=uq-|305|*ʔoχʷa|30||0||0|    Reconstructed for the PEC level. The consonant *-q- gives more or less regular reflexes (with some variation in Aand.); however, the root vowel is quite impossible to reconstruct. This is due to the expressive nature of the root and, perhaps, to a partial contamination with PEC *ʔuq̲wV q.v.
29|*=iG̲wĂr|323|dry, to dry|*=aq̇-|27|*=iq̇:ʷV-|145|*qoqV- A|125|q̇a-q̇-|20|*=erʁʷV-|30|*ʔiq̇:ʷar-|31|q̇i|16|*ʁʷV|36|    A very stable common NC root; reflected in most languages as both a verbal and adjectival stem. Cf. also the nominal derivate \I*r-iG̲wV\i / \I*G̲wVrV\i 'draught' (PD \I*deʁʷ\i > Ak. \Ideʁ,\i Chir. \Ideʁʷ,\i Ur. \Idiw,\i PTs > Gunz. (Nakh.) \Iqor\i). Note a frequent use of the reduplicated stem \I*G̲wiGwVr-\i (in PA, PC, Lak.). See Абдоков 1983, 144-145.
30|*ʕwănʕV|74|ear||0|*ħandi|7|*ʔa˜χa|4||0|*ʕʷan-c̣(a)|235|*ʔIam:|32||0||0|    Reconstructed for the PEC level. In Darg. the root is preserved only within the derivate *ʕʷan-c̣(a) 'deaf' ( = "earless", with the privative suffix -c̣(a)). In PA and PC the root obtained suffixes (resp. *-di and *-χa); although their meaning is not quite clear, there is no doubt that the roots are comparable.
31|*č̲Häɫu|1287|earth, ground, sand|*č(ɦ)il (~ -ī-)|175|*š:VlV|244||0|š:aIlu|70||0|*č:il|33||0||0|    Reconstructed for the PEC level. Correspondences are regular (-H- indicated by Lak. pharyngealization). In PL we should expect a paradigm *č:äl, *č:ilɨ-; the oblique base obviously superseded the former direct one.
32|*=iʡwVl|58|to feed on, to eat; to bite|*q-aħ-|11|*r-VHVn-|870|*heIn- / *heIl-|158||0||0|*ʔiʔʷäl-|34||0||0|    Reconstructed for the PEC level. Correspondences are regular.
33|*g[i]gwV|0|egg|*gagan|34||0||0|k:unuk|24|*k:ik:ari/k:idik:ari|35|*k:uk:uj|35||0||0|    An expressive reduplicated root; the vocalism is hard to reconstruct (because of vowel assimilations). The root is reflected only with suffixes: \I*gigwV-jV\i > PL \I*k:uk:uj;\i \I*gigwV-rV\i > PD \I*k:ik:ari;\i \I*gigwV-nV\i > PN \I*gagan,\i Lak. \I*k:ek:u-n\i > (with metathesis) \I*k:enuk:.\i
34|*ʡwĭlʡi|148|eye|*bʡa|35|*ħarHi|4|*ħɔre B|2|ja|25|*ħuli|37|*ʔʷil|36|pil|21|*b-lˊa|44|    One of the most widely spread NC roots. Correspondences are regular.     See Trubetzkoy 1930, 277.
35|*lĭwŁĔ / *ŁĭwlV̆|497|man, male|*-law|193|*lV|275||0|lak:-|128|*gal(i)|148|*ƛ:ilV-|37|lɨgɨld|42|*ŁˊA|40|    Cf. also Hurr. \Itur-oχχǝ\i 'male' (with a regular reflex t- < *l-, -r- < *-Ł-), see Diakonoff-Starostin 1986, 52. The meaning 'man' changed to ethnonym 'Laki' in Lak. (typologically a frequent phenomenon).     This root may have something to do with the PN and PAA words for 'slave' (if we assume that a self-denomination for Eastern Daghestan dwellers \I*lak:(V)\i could be borrowed by the Nakh and through them, possibly, by Western Caucasians with the meaning 'slave'): PN \I*lag\i (Chech., Ing. \Ilaj,\i Bacb. \Ilag\i), PAA \I*lǝgǝ\i (Abkh. \Ia-lǝˊg,\i Abaz. \Ilǝg\i). Since these words have a velar, they can not be connected with another EC name for 'slave', Av. \Ilaʁ\i etc. (see on its possible origin under \I*ʔV̄ƛ̣V\i).     Of obvious Caucasian origin is Osset. \Iläg\i 'man, male' (see Abayev 1973, 20).
36|*χwɨ̆lʡi (~ -ɫ-,-ʕ-,-e)|1116|fat (n.); meat||0||0|*χ:o A|60|hal|111|*χIʷali|38|*χIul (χI:-,-o-,-l:)|38||0||0|    Reconstructed for the PEC level. Correspondences are regular.
37|*barḳwĂ ( ~ -l-)|0|rough skin|*barḳal (~ -a-)|338|*baḳʷol(i)|520||0||0||0||0||0|*bagʷǝ|282|    The PN and PA forms are certainly related; as for the PWC \I*bagʷǝ,\i it may be alternatively compared with PN \I*boḳ\i 'excrescence' - see Shagirov 1, 71.
38|*c̣ăjɨ̆|498|fire|*c̣e|38|*c̣aʔi|102|*c̣ǝ A|83|c̣u|28|*ċa|40|*c̣aj|40|č̣ä|23|*mAc̣ʷa|50|    One of the most reliable and stable common NC lexemes. The PWC form has a prefixed *ma- of somewhat obscure origin; the labialisation of *c̣ʷ must be explained either by the labialising influence of *m- or by the former oblique base vocalism *-ŭ- (suggested by PL obl. base \I*c̣ojɨ-\i / \I*c̣a(j)-rV-\i). See  Trubetzkoy 1930, 276; Abdokov 1983, 98.     Many languages reflect an old oblique base formed with the *-rV suffix (\I*c̣aj-rV-\i), cf. PN \I*c̣ari-,\i PA \I*c̣ari-\i (reflected in Akhv. \Ič̣ari\i), Lak. \I*c̣ara-,\i PL \I*c̣a(j)-rV-.\i The same stem with reduplication is probably reflected in PL \I*c̣arc̣ar\i 'luster, glitter' (Tab., Lezg. \Ic̣arc̣ar\i) exactly corresponding to PAT \I*cǝrǝcǝrǝ\i 'to glitter' (Abkh. \Ia-cǝrcǝr-ra,\i Abaz. \Icǝrcǝr-ra\i) (with the same loss of glottalisation and absence of labialisation as in \I*mǝca\i 'fire').     Another old derivate of the same root is probably PNC \I*c̣aj-lV\i 'brilliance, lightning' reflected in PN \I*stēla\i (~*sṭ-) ( > Chech. \Istēla-ʕad\i 'rainbow', \Istēla-χäštig\i 'lightning', /Usl./ \Istēla\i 'thunder', Ing. \Isela-ʕad\i 'rainbow'), Lak. \Ic̣aj\i 'brilliance, glitter', PD \I*c̣ala\i (Ak. \Ic̣ala\i 'sparkle', Chir. \Ic̣ala-laIm\i 'lightning') and PAK \I*c̣ǝ-wǝ-\i (with a verbal stem \I*-wǝ-\i) 'to shine, glitter' (Ad. Bzhed. \Ic̣ǝ-wǝ-,\i Kab. \Ic̣ǝ-wǝ-\i). Note that *-j, having passed to word-medial position in PN, has caused the shift *c̣- > *st- (*sṭ-); note also the absence of labialisation in PAK *c̣ (without the prefixed *mV-).
39|*χ̲wanħV|668|fish||0|*χʷamʔi|48||0|ħawa|321||0|*χI:an:|41||0||0|    Reconstructed for the PEC level. Correspondences are regular.
40|*HɫuŁV̄|499|sleeve; wing||0|*kʷo-(l)lV|511|*ko-LV (~-u-,-L:-)|390||0|*dulk:ʷa|293|*loƛ:(a)|42||0||0|    Reconstructed for the EC level. The PD (\I*dulk:ʷa\i < \I*duluk:a\i) and PL form point to the PEC structure *HRVCV̄; this should have given *HVRCV (in this case, \I*HulŁV\i) in Avaro-Ando-Cezian languages. However,the root was preserved only within a compound with \I*kwīlʡɨ'hand',\i and the first syllable was reduced both in Avaro-Andian and Cezian languages. In general, the comparison seems quite plausible.
41|*=HiχV|159|to fly||0||0||0|liI=χ:a-|103|*ʔiχI-|43|*ʔiχV|43||0||0|    Reconstructed for the PEC level. Correspondences are regular.     In PN we have \I*-aχ-\i "to fly", which could also reflect this root; however, it has merged completely with \I*-aχ-\i 'to go, walk' ( < PEC \I*-ĭxwV\i) q.v.
42|*ḳʷar(V)čV (~-cˊ-)|0|heel, sole||0|*kVrčV|504||0||0||0|*ḳʷarč|44|ḳučči|123||0|    Reconstructed for the PEC level. Although not very widely spread, seems both semantically and phonetically reliable (in Av. there occurred an assimilation in glottalisation - *ḳ- > k-).
43|*ɫäk̲ā|500|bone, leg-bone||0|*ligV|250||0|lič:a|108|*lik:a|16|*läk|45||0||0|    Reconstructed for the PEC level. Correspondences are regular. Av. \Ilaga\i 'body' was probably twice borrowed in Arch.: first as \I*lagǝ\i > \Ilaˊgi\i 'belly' (with a shift of meaning) and more recently as \Ilagaˊ\i 'body, body part'.
44|*=ɦŏc̣V|88|full, to fill|*=uc̣-i(na)|42|*=ic̣-|146|*=[ǝ]c̣-|126|=u=c̣u-|30|*=ic̣-|46|*hIac̣ɨ-|46|c̣i|26|*zA|57|    A secure common NC root, serving in both verbal and adjectival functions. It is usually accompanied by class prefixes; however, comparing PL \I*hIac̣ɨ-\i and the Av. Ablaut stem \Iʕorc̣-\i (with infixed -r-) we may reconstruct the initial laryngeal *ɦ-, superseded by class prefixes in most languages.     See Trubetzkoy 1930, 275.
45|*=ĭŁ̲V|501|to give|*=aλ-|43|*=iƛ̣:-|180|*-ɨƛ- A|171|450|31|*=(i)k:-/*lVk:-|47|*ʔiƛ:ɨ-|47|=ḳ-ʷi|27||0|    Reconstructed for the PEC level. The verb usually is used with class prefixes; however, a prefixless stem \I*ʔĭŁ̲V-\i can also be reconstructed (reflected, with loss of the first syllable, in the PN imperative stem \I*lo,\i Av. stem II \Iƛ̣:e-,\i PD stem \I*k:V-\i). The Ablaut stem \I*-uŁ̲V\i is reflected in PL \I*ʔoƛ:ɨ-,\i Lak. \I=u=lu-\i and in some Darg. forms (if we reconstruct here *ū, PTs \I*-ɨƛ-\i may also reflect this stem - vs. \I*-iƛ-\i < \I*-ĭŁV\i). Finally, PN \I*t-ēλ-\i reflects another durative Ablaut stem (without secure parallels in other EC languages).     Cf. also Hurr., Urart. \Iar-\i 'to give' (see Diakonoff-Starostin 1986, 51).     See Trubetzkoy 1922, 242.
46||0|||0||0||0||0||0|*qɨs(a)|48||0||0|
47|*ʡV(n)ǯV|635|good||0||0|*ho˜že (~-ž:-)|417||0||0|*ʔič:V-|49||0||0|    A Tsez-Lezg. isogloss; attested only in three languages, thus the reconstruction is not very certain.
48|*GoʒV|0|green colour; dirt||0|*ʁizi|1070|*χɨs ( ~ ʁ:-,-z:)|792||0||0|*q:ac:ɨ-|50||0||0|    Reconstructed for the PEC level. The meaning 'green colour' in PL is obviously secondary (originally "colour of mud, slime").
49|*Hč[ī]rV-|0|light-coloured||0|*ʔa(r)ču- (~-o-)|125||0||0|*čibar-|310|*čirV-|51|čürü|252|*pǝčˊ:a|288|    The root denoted some light (yellowish or greenish) colour, whence all the different colour meanings in languages. Phonetically the comparison seems plausible, with several comments:     a) PL, PD and PWC suggest the reconstruction of *ī as main vowel; however, Av.-And. reflects are unclear;     b) The Darg. and PWC forms incorporate the former class prefix *b- (Darg. \Ičibara\i < (with metathesis) \I*čirV-bV\i).     c) Most forms are deductable from the original root structure \I*HčVrV̆-;\i however, Av. \Ičar-\i (borrowed in Kar. \Ičaro-b\i) suggests rather \I*HčVrV̄-.\i Variations of this type can be sometimes met in adjectival stems.
50|*c̣ˊħwǝ̄rǝ|1290|hair; switch, long branch|*(p)s(ɦ)ārV|343|*č̣urV|526|*č̣ur|407|č̣ara|34||0|*č̣aIr|52|č̣ar|29||0|    Reconstructed for the PEC level. Correspondences are regular.
51|*q̲ɨ̆lʔi|502|elbow; arm, wing||0||0|*χ:[ɨ]rV|375|qa|288||0|*χ:ɨl|53||0||0|    Reconstructed for the PEC level. Although the Tsezian data are not very secure, the reconstruction seems reliable enough.
52|*wĕnƛ̣V|503|beak; horn; head|*marλo|77|*buƛ̣V (~ *biƛ̣ʷV)|1|*bo˜ƛ̣V A|192|baḳ|36|*beḳ|53|*woƛ̣ul|54|miḳir|31||0|    Reconstructed for PEC. Some languages (Av., PL, Khin.) reflect a suffixed form \I*wĕnƛ̣V-lV̄.\i
53|*ʔwēnɨ (~ -u)|504|air movement; cold, rheumatism|*ʔān|354|*ʔVnV|539||0||0||0|*ʔʷen|55||0||0|    Reconstructed for the PEC level. The phonetic match between the PL form, on one side, and the PN and Av., on the other, is perfect. As for the semantic side, we must postulate the original meaning "movement of air" ( > a) "sound"; b) "wind" > "cold, rheumatism"; both changes are rather frequent typologically).
54|*=eƛu|1055|to hear||0|*ʔanƛV-|222||0||0||0|*ʔeλɨ- (~-λ:-)|56||0|*λʷǝ-|73|    Correspondences are regular. There may have been a vowel variation (or Ablaut) \I*-eƛu\i / \I*-uƛV\i - to account for the PA form \I*ʔan-ƛV-\i < \I*han-uƛV-\i (although actually the -u-vowel is reflected only in Cham., and the forms of other languages may reflect a protoform with other vowels).      A continuation of the same stem (cf. its PA shape *ʔan-ƛV-), with a further addition of an expressive preverb *č̣-, may be PTsKh \I*č̣aλ-\i (~-L-) > Tsez. \Ič̣aλ-,\i Gin. \Ic̣aλ-\i 'to hear, understand'.     See Абдоков 1983, 180.
55|*jĕrḳwĭ|384|heart|*doḳ|51|*roḳʷo|23|*rɔḳʷǝ A|16|daḳ|38|*ʔurḳi|56|*jirḳʷ|57|ung|33|*gˊʷǝ|74|    One of the most reliable common NC etymologies (see Trubetzkoy 1930, 277;  Abdokov 1983, 80 etc.). Cf. also Hurr. \Iegi,\i \Iigi\i 'inside' (see Diakonoff-Starostin 1986, 31).
56|*ḳǝlčwi|1201|forelock, plait; horn|*ḳuč̣|344|*ḳʷič̣ (~ *ḳič̣ʷ)|530||0||0||0|*ḳalč / *kalč|58||0||0|    Reconstructed for the PEC level. Seems plausible semantically and phonetically (if we take into account usual assimilations in roots with two stops), except for the unexpected loss of labialisation in PL.
57|*wēnǯ̲V̆|1227|shin, haunch, knee|*māč̣V (~-ǯ-)|329|*mič̣:V|513|*bičnV|27|bač̣i|301||0|*wenč̣:|59||0||0|    Reconstructed for the EC level. Correspondences are fully regular.
58|*q̇ămq̇(w)ă (~ -ǝ̆)|505|knee, leg-bone||0||0|*q̇a˜q̇u|236||0|*q̇ʷaq̇ʷa|63|*q̇amq̇|60||0|*q̇ʷaq̇ʷa|267|    Correspondences are regular. The comparison seems fully reliable.
59||0|||0||0||0||0||0|*čir ?|61||0||0|
60|*=Hǝχ̲Vr-|506|to know, perceive||0|*=iχʷ- / *ʔiχʷVn- ( ~ -qʷ-)|257||0||0|*=aχ-/*=uχ:Vl-|64|*ʔaχI:a-|62|d-aχi|128|*χ(I)a-|71|    The original *-r-declension is preserved in PD; traces of it are perhaps also seen in PL (although the verb has a defective paradigm there). The verb may have had a second stem, \I*-HǝχVl-\i (or, \I*-HoχVl-\i with Ablaut) reflected in PD as \I*-uχVl-\i and in PA as \I*-iχʷVn-.\i The source of the PA labialisation is not quite clear - perhaps we should reconstruct \I*-HǝmχVr-\i or \I*-HǝwχVr-\i with a medial labial resonant.
61|*bHacˊwe (~ -a)|1146|bark, skin; leaf||0||0|*beš:|398|burču|71||0|*p:aIša|63||0||0|    Reconstructed for the PEC level. Medial -r- in Lak. is clearly secondary in this case (\Iburču\i < \I*bučV-ru\i ?), because other languages do not show any trace of resonants.
62|*ƛ̣ačă (~-cˊ-,-ĕ)|1289|leaf; a k. of plant||0|*ƛ̣ačV (~-o-)|546||0||0||0|*ƛ̣ač̣a|64||0||0|    An Aand.-Lezg. isogloss; correspondences are regular, and the PEC antiquity of the root seems probable. Rather aberrant is the Lak. form \Ik:iž\i 'tops (of plants)'; it is similar, but absolutely irregular phonetically, and one feels tempted to consider it as a loan from some Agul or Tabasaran dialect (see above) - although other cases of borrowing in that direction are unknown to us.
63|*=īnkwV|0|to lie, lie down||0||0|*=a˜k- (~-ɔ˜-)|175||0|*ʔVk-|721|*ʔikʷän- (~-l-)|65||0||0|    Reconstructed for the PEC level. The vocalic reconstruction is rather tentative: however, it seems probable that PL reflects the Ablaut stage \I*-īnkwV\i while PTs reflects the Ablaut stage \I*-ǟnkwV.\i
64|*HraλwE|507|to fall, go down||0|*λʷV-b-|1187||0|t:iri=x:i-|748|*=ax:-/*=alx:-(/-i-)|67|*ʔarλɨ-|1235||0|*λˊʷV|583|    One of the rare verbal roots with the root structure *HRVCV: such a reconstruction is directly suggested by the Lak. reflex \It:irix:i-.\i Other languages have modified the structure of the root (we would expect \I*dirix:-\i in PD and \I*raλɨ-\i in PL), having reinterpreted its Anlaut as a morphological prefix. The root demonstrates the verbal Ablaut *a/i.     See Trubetzkoy 1922, 240 (and comments on p. 443).
65|*Hläƛ̣V|1019|liver||0|*riƛ̣V|24||0|t:iliḳ|46|*duleḳ|69|*läƛ̣|67||0||0|    Reconstructed for the PEC level. Length of the final vowel is unclear: the Av. paradigm C and the structure of the root in PA (*RVCV) point to a short vowel; however, Eastern Dagestan forms presuppose a form like \I*Hläƛ̣V̄.\i Metathesized \I*Hƛ̣älV\i might have also existed (cf. Avar \Iṭul\i - if it belongs here, see above), in which case we can also compare Urart. \Izel-dǝ\i 'liver' (see Diakonoff-Starostin 1986, 48-49).     Abdokov's (1982, 83) attempt to compare this root with WC \I*c̣ʷA\i 'liver' should be regarded as unsuccessful (for phonetic reasons, and because of a better etymology for the WC form, q.v.).
