NUMBER|PROTO|PRNUM|MEANING|AVA|AVC|AND|AKV|CHM|TND|KRT|BTL|BGV|GDB|COMMENT
13|*ƛ:VrV|436|horn|ƛ:ar|ƛ:ar|||||||||    Isolated in Avar (but with good Nakh parallels). Av. paradigm B/C (\Iƛ:ará-l,\i \Iƛ:úr-dul/ƛ:ará-l\i); Chad. C (\Iƛ:arí-l/ƛ:ará-l,\i \Iƛ:ára-l/ƛ:ár-dul\i).
14|*ʔaḳaṭV ?|479|horn||||aḳaṭi|||||||    An isolated Akhvakh word with obscure etymology.
15|*ḳamV (~ -o-)|480|1 arc 2 horn|ḳamúri 1||||č̣am 2|ḳ́ama 2||ḳamu 2|ḳ́ama 2||    Av. paradigm C (\Iḳarmí-l,\i \Iḳárma-l\i). The word also means "arc" in Akhv. (\Iḳamu,\i Tseg. \Iḳamru,\i Tlan. \Iḳamuru\i etc.; cf. also And. \Iḳamur\i 'window' [<*'arc']) where it is most probably borrowed from Avar.
16|*miʁa (~-o)|333|tail|maʁ|maʁ|miʁerč̣u||miʁa|miʁa|miʁa|miʁa|miʁa|miʁa|    Av. paradigm B~C (loc. \Imaʁá-ƛ̣:;\i Chad. C: \Imaʁí-l,\i \Imáʁa-l\i). In Andi the form \Imiʁerč̣:u\i (Gudava, Tsertsvadze \Imiʁʷorč̣:u\i) is a compound of this root with \I*rVč̣:V\i q.v.). Cf. also some derivates: a) \I*miʁu-l\i > Tind., Cham. \Imuʁul,\i And. \Ibeꭓu-mʁul\i "sheep's tail"; b) Av. \Imaʁá-ƛ̣:\i (paradigm C: \Imaʁƛ̣:í-l,\i \Imáʁƛ̣:a-l\i) "part of harness (put under the tail) - which is essentially the subessive form of \Imaʁ,\i but corresponds exactly to Chech., Ing. \Imulʁa.\i
17|*kaƛ:i ?|481|tail||||kaƛ:i|||||||    An isolated Akhvakh word with unclear etymology (cf. also Tl. karƛ:i).
18|*čVčV ?|482|breast||čuču|||||||||    An isolated dialectal word ("children's word").
19|*koka / *kika|791|female breast|keké||koka|kaka|čeča|ḱeḱa|kaka|kaka|ḱaḱa||    Av. paradigm B/C (Usl. \Ikeké/kokó,\i pl. \Ikukbí/kúkdul\i). Two variants (with *-o- and with *-i-) must have coexisted already on the PAA level.
20|*riƛ:V|441|diaphragm||||||reƛ:a-ƛ:a riƛ̣:i|||||    The Tindi expression means literally "flesh of the diaphragm". The same root is probably reflected in the PA compound meaning "liver", \I*riƛ̣a-jiƛ:i\i < \I*riƛ̣a-riƛ:i\i q.v.
21|*garu|483|neck|gabúr|gubur|garu||ǯajƛ:|ǵaru|garu|garu|ǵar|ǵaru|    Av. paradigm C (\Igorbó-l,\i \Igárba-l;\i but Chad. \Igarbí-l,\i \Igarbá-l\i). The form \Igabur\i is probably a result of reinterpreting the original plural form \I*gar-ba-l\i (on analogy with paradigms like \Iḳamúr(i\i), \Iḳárma-l\i etc.). In Cham. -ƛ: is a locative suffix (cf. also \Iǯaj-q:\i "on the neck").
22|*HulV|430|feather|ħúli||||||||||    Av. paradigm A (\Iħúli-dul,\i \Iħúla-bi\i). The word is isolated in Avar, but has possible external parallels.
23|*roḳʷo|55|heart|raḳ|raḳ|roḳʷo|raḳʷa|jaḳʷa|raḳʷa|raḳʷa|raḳʷa|raḳʷa|raḳʷa|    Av. paradigm B ~ C (gen. \Ireḳé-l\i); Chad. C (\Ireḳé-l/ruḳé-l,\i \Iráḳa-l\i).
24|*riƛ̣V|65|liver|ṭul|ṭul|reliƛ:i|riƛ̣eƛ:i|jelaƛ:|relaƛ:|reƛ̣ajiƛ:|rehin|leleλ:|leliƛa|    Av. paradigm C (\Iṭulá-l,\i \Iṭúla-l\i). We should note that the position of the Avar word is somewhat dubious: it may belong here only if ṭ < *ƛ̣ (then it would be a metathesized form of the same root which is reflected in all Andian languages). However, there seems to be (in this particular case) no evidence from Southern Avar dialects for Proto-Avar *ƛ̣ - all dialectal forms seem to point to *ṭ. Thus the Avar word is either unrelated, or the dialectal evidence should be explained by borrowing from literary Avar.     As for Andian languages, the simple root \I*riƛ̣V\i is reflected only in Botl. (where \Irehi-n\i < \I*reʔi-n\i < \I*riƛ̣i-n\i with a suffixed -n) and Kar. Tok. \Irelʔi-r\i (with suffixed -r). All other forms go back to a compound \I\I*riƛ̣a-jiƛ:i\i\i (see \I*riƛ:i\i for etymology of the second part). Cf. also Bagv. Tlis. \Ireleƛ,\i Akhv. Tseg. \Iriṭajiƛ:i,\i Tlan. \Iruṭeƛ:i,\i Ratl. \Iriƛ̣ajƛ:i,\i Cham. Gig. \Irelaƛ\i etc.
25|*roƛ̣:i|129|bone|raƛ̣:á|raƛ̣a|roƛ̣:i|raƛ̣:i|jaƛ̣:il|raƛ̣:i|raƛ̣:e|raƛ̣:ir|raƛ̣:|raƛ̣:in|
26|*kʷo-|268|1 hand 2 in the hands 3 sleeve 4 mitten 5 handle|kʷer 1|kʷer 1|kʷo 5|kʷa-λala 4|kʷa-di 2|kʷa-ji 2||kʷa-du 2||kʷa-ꭓa 3|    Avar. paradigm A (\Ikʷér-zul,\i \Ikʷéra-l;\i Chad. \Ikʷér-dul,\i \Ikʷéra-l\i). Outside Avar the pure root has been preserved only in Andian (\Ikʷo\i 'handle'); all other languages reflect an original locative form \I*kʷo-dV\i "in the hand(s)" ( = Av. \Iko-dó-b\i), as well as the compounds \I*kʷo-ꭓ:al\i (cf. also Tind. \Ikʷaꭓ:al\i "sleeve", Cham. \Ikʷaꭓa\i id.) and \I*kʷo-λala\i (cf. also God. \Ikʷaλala\i "sleeve", And. \Ikʷo-λir\i 'mitten'.). The form \I*kʷor-\i (with the original liquid) is preserved in the common Andian compound \I*kʷor-q̇:in\i 'bracelet' (And. \Ikʷorq̇:in,\i Akhv. \Ikʷãq̇:e,\i Cham. \Ikʷaq̇:ĩ,\i Gig. \Ikoq̇:in,\i Tind. \Ikʷaq̇:an\i); cf. also \I*kʷor-xVn\i 'bracelet' reflected in Av. \Ikúrxen\i (Chad. with assimilation \Ixúrxin\i). From Avar the latter word was borrowed in And. \Ikurxen,\i Akhv. \Ix:ux:i,\i Botl., Kar. \Ikʷarxin,\i and, probably, Lak. \IkuIrš:an\i ( < \I*kuIrx:an\i) 'ring'. The second components in \I*kʷor-q̇:in\i and \I*kʷor-xVn\i are not yet clear.
27|*riƛ̣a|14|1 hand 2 front leg|raṭá 2|raṭá 2|rela 1|reƛ̣a 1|jela 1|rela 1|reƛ̣a 1,2|reʔa 1|rela, lela 1|lela 1|    Av. paradigm B (\Iroṭó-l,\i \Iruṭ-bí;\i Chad. \Iroṭó-l,\i \Iraṭá-l\i). Cf. also Av. Kuyad. \Iralʔa\i 'shoulder-blade', Akhv. Tseg., Tl. \Ireṭa,\i Cham. Gig. \Ijela,\i And. Mun., Kwankh. \Ireƛ̣a,\i Gag. \Irelʔa,\i Zil. \Ireʔa,\i Kar. Tok. \Irelʔa\i "hand".
28|*miƛu / *ƛumHV|18|nail, claw|maλ|mat|muλa|miƛo|λum|miλu|muλu|humu|milhʷ|λumul|    Av. paradigm C (\Imaλá-lul,\i \Imáλa-l;\i Chad. \Imití-l,\i \Imáta-l\i). Cf. also Akhv. Tseg. \Imiλo,\i Bagv. Tlis. \Imuλ,\i Cham. Gig. \Iλũj\i (loss of -m- here is the reason for reconstructing *-mH- in *PA) etc. The metathesized variant \I*ƛumHV\i is represented in Cham., Botl. and God. (in God. with suffixed -l/-r, cf. also God. Zib. \Iλumur\i).
29|*=iꭓ:V|484|1 lower part,below  2 bottom, buttock 3 leg 4 foot|aꭓ:á-da 1, boꭓ: 3|boꭓ 4|beꭓ:ir-q̇il 2||=eꭓ:a 1 (Gig.)|beꭓ:i 2|reꭓ:i 1|||ladi-baꭓ:u 1|    The prefixless root is present only in Avar. (cf. also \Iaꭓ:á-ƛ̣:\i "sediment", Bac. \Iaħi\i "mountain foot"). Most other languages reflect forms with class prefixation.     The accent paradigm of Av. \Iboꭓ:\i is A or C (pl. \Ibóꭓ:al/bóꭓ:dul\i).
30|*č̣:iḳʷa|485|foot|||čuḳa|c̣:eḳa|||||||    In And. a dissimilative loss of glottalization has occurred (cf. also Khaidakov's notation: \Ič̣eḳa\i).
31|*ʁabu (~-o-)|792|foot|||||ʁab||||||    Cf. also Gad., Gig. \Iʁabu\i id. Isolated within Andian, but having probable Tsezian parallels.
32|*kʷanš:a (~-o-,-o)|486|1 foot 2 paw|||||kʷans:a 2|kʷanš:a 1,2|||kʷanš:a 1||    Cf. also Bagv. Tlis. \Ikoš:a.\i
33|*nikʷo|487|1 knee 2 leg|náku 1|naku 1|nikʷol 2|nikʷa 2|nikʷal 1|niku 1||nuku 1|nikʷ 1|nuku 1|    Av. paradigm C (\Inakál-zul,\i \Ináka-bi\i). Cf. also Av. Andal. \Iʕanaku\i (with "body part" prefixation). And. and Cham. have suffixed -l.
34|*muq̇u ?|488|knee||||muq̇u|||||||    An isolated Akhv. form with obscure etymology.
35|*rVsV|489|hair|ras|raš|||||||||    Av. paradigm C (\Irasú-l,\i \Irása-l\i). Isolated in Av., but with probable external correspondences.
36|*λunʔi|490|1 hair 2 skin|ƛ:uh (?) 2||λin 1||||λũji 1||huha 1||    The Av. word is attested only in the compound \Iƛ:uh baq:ize\i "to tear the skin off". In PA *λ: would be expected; the reason for weakening of *λ: is not yet clear. [Cf., perhaps, And. \Iλuna\i 'soft' < \I*λuna,\i which could have influenced the word for 'hair, wool' ?]
37|*karHV (~ -o-)|338|hair|kar|||kari|čā|ḱara|||||    Av. paradigm A or C (pl. \Ikára-l\i). Cf. also Cham. Gig. \Ičaj\i (which points to the combination *-rH- in PA).
38|*λiru|491|1 feather 2 wing 3 butterfly|miλír 2|mitír 1|λiru 1,2|λiro 2|λĩw 3|λiru 1,2|λiru 2||hilʷ 2|λeru 2|    Av. paradigm C (pl. \Imíλra-l\i); the origin of the initial m(i)- is not clear (perhaps, analogy with names for body parts like \Imehéd\i "breast" etc.?). Cf. also Cham. Gig. \Iλiru/λeru\i "wing", Kar. Tok. \Iλeru\i id.
39|*biHV|154|blood|bi|bi||*biHV|||||||Av. paradigm A (gen. \Ibí-dul\i).
40|*ħinHi|13|1 blood 2 meat|han 2|han 2|hin 1|hini 1|||||||    Av. paradigm B or C (gen. \Ihaná-l\i). Cf. also Akhv. Ratl., Tl.,Tseg. \Ihĩ.\i
41|*ħiri|79|1 red 2 blood|baʕára-b 1|baʕára-b 1|hiri 1|hiri-da 1|ē 2, eʔu-b 1|heri 2|heri 2, heri- 1|hiri 2||hiri 2|    The Av. form reflects class prefixation; Andian forms are all prefixless. In And. cf. also \Ihir\i 'copper' ( < *'red copper').
42|*ꭓʷoʔi|26|dog|hoj|hʷe|ꭓʷoj|ꭓʷē|ꭓʷaj|ꭓʷā|ꭓʷaj|ꭓʷaj|hʷaj|ꭓʷaji|    The Av. accent paradigm is irregular (\Ihój-dul,\i \Iha-bí\i); the plural form is probably an innovation (the -bí suffix tends to be stressed), thus paradigm A may be considered original. Cf. also Av. dial. \Ihʷe,\i \Ihʷej,\i Akhv. Tseg., Tl. \Iꭓʷaj,\i Ratl. \Iꭓʷaji,\i Bagv. Tlis. \Iꭓʷaj.\i     In plural most Andian languages reflect the stem \I*ꭓʷor-,\i cf. Bagv. \Ihʷara-ꭓ:a,\i God. \Iꭓʷar-di,\i Kar. \Iꭓʷad-di\i ( < \I*ꭓʷar-di\i).
43|*Hinč̣:V|7|bird|ħinč̣:|ħinc̣|||||||||    Av. paradigm B (\Iħanč̣:í-l,\i \Iħanč̣:á-l/ħanč̣:-í\i).
44|*š:aki-b / *š:aki-m|492|1 small bird 2 bird|||š:ekib 2|š:akiba 2|sečib (U-Gakv.) 1|š:aḱib 2|š:akibo 2|š:ikib 2|š:aḱib 2|š:ikim 2|    Cf. also God. \Iš:iḱara\i (with another suffixation) "swallow". In Cham. \Isečib\i is probably a misspelling for \Is:ečib\i (note, however, the MSU Gig. recording also with s-: \Isečib\i). Not quite clear is the reason of preservation of š: in Akhv. (s:- would be expected); perhaps, as in the case with \I*š[i]nḳ:ʷV\i q.v., we have to reconstruct an early PA form \I*šak:i-\i with later shift of tenseness.
45|*č̣ʷirV|493|1 quail 2 sparrow 3 bird|č̣orólo 1||||č̣or 3|č̣uri-ʁaʁa 1|||||    Cf. also Cham. Gad. \Ič̣oru\i 'bird', U.-Gakv. \Ič̣or,\i Gig. \Ič̣ura\i 'sparrow'.
46|*birka (*bilka)|343|snake, worm|boróx|burúx|berča|beka|beča|beḱa|berka|berka|beḱa|berḱa|    Av. paradigm C (\Iborxí-l,\i \Ibórxa-l;\i Chad. \Iburxí-l,\i \Ibúrxa-l\i). Cf. also Akhv. Tseg., Tl., Ratl. \Iberka,\i Bagv. Tlis. \Ibelča,\i Tlond. \Ibʕeḱa\i [interesting forms - pointing to PA -l- or reminiscent of the original lateral quality of the second stop, and also suggesting a possibility of reconstructing an initial *bH- cluster in PA].
47|*č:ʷanHV ( ~ -o-)|494|fish|č:uʕa|cuʕa||||č:ʷaʔa (Akn.)|||š:ãʔi||    Av. paradigm B (č:uʕí-l, č:uʕ-bí). Cf. also Bagv. (Gud.) š:ʷa. Loans from Av.: Akhv. č:uʕa, Cham. Gig. čoʕa, Kar., God. č:uʕa. Tind. > Inkh. čʷãʔa.     Etymology rather obscure: perhaps related to Av. č:u- 'to soak (trans.)', -ič:- id. (intrans.), PA *-ič:- - words for 'fish' and 'wet, soak' are frequently related in Caucasian languages.
48|*ꭓʷamʔi|39|fish|||ꭓʷami||ꭓʷam|ꭓʷã|ꭓ:ʷãj (Anch.)||||    The notation ꭓ:ʷ in Kar. Anch. is probably a misspelling (ꭓʷ should be expected).
49|*noc̣:i|67|louse|nac̣:|nac̣|noc̣:i|nac̣:i|naṣ|nac:i|nac̣:i|nac̣:i|nac̣:|nac:i|
50|*ʁʷVṭV|495|tree|ʁʷeṭ|ʁʷeṭ|||||||||    Av. paradigm B (\Iʁoṭó-l,\i \Iʁuṭ-bí\i).
51|*rišʷa|496|1 tree 2 roof timber 3 squared beam|rixí 2||reša 1|ruša 1|woha 1|roha 1|roša 1|ruša 1|roša 1|ruša 1,3|    Av. paradigm B (\Irixí-dul\i). Cf. also Kar. Tok. \Iruxa,\i Cham. Gig. \Iruša,\i U.-Gakv., Gad. \Iwoha.\i
52|*ƛ̣imV|497|1 leaf 2 tops (of plants) 3 root-crop 4 parsley|ṭamáꭓ 1, ṭin 3|ṭamáħ||ƛ̣imi 2|im 4|||||lima 2|    Av. \Iṭin\i belongs to paradigm B or C (gen. \Iṭimá-l\i); the suffixed form \Iṭamáꭓ\i (gen. \Iṭanꭓí-l;\i Chad. \Iṭamħí-l,\i \Iṭámħa-l\i) goes back to \I*ƛ̣im-aꭓ.\i Cf. also Akhv. Tseg. \Iṭimi,\i Ratl. \Iƛ̣imi\i "tops", Cham. Gad. \Inim,\i Gig. \Iem\i "parsley".
53|*λaꭓV ?|498|leaf|||λaꭓib||||||||    An isolated Andi root with obscure etymology.
54|*ƛ̣apV (~ -o-)|499|leaf|||||apal||||||    Cf. also Cham. Gad. \Ilapã\i which unambiguosly suggests PA \I*ƛ̣ap-.\i The root is isolated within Andian, but has reliable external parallels.
55|*ƛ̣ol(H)i|150|1 leaf 2 leaves (for tanning)|ṭa 2||ƛ̣oli (Gud.) 1|ƛ̣ãde 1|al (U.-Gakv.) 1|ali 1|ƛ̣ale 1|ʕali 1|ḳ́al 1|lali 1|    Av. paradigm A (gen. \Iṭá-dul\i). Cf. also Akhv. Tseg. \Iṭali,\i Tl. \Iṭander,\i Ratl. \Iƛ̣ãder\i (all Akhv. forms except Tseg. go back to a suffixed form \I*ƛ̣ol-di-r\i), Kar. Arch. \Iale,\i Rach. \Iƛ̣ale,\i Chab. \Iṭala,\i Tok. \Ialʔi,\i Cham. Gig. \Ial.\i
56|*mVq̇:Vr-|253|bark|maq̇:ár|maq̇ár|||||||||    Av. paradigm C (\Imaq̇:rí-l,\i \Imáq̇:ra-l;\i but Chad. /secondary/ B: \Imoq̇ró-l,\i \Imaq̇ára-l\i). Av. > Arch. \Imaq̇:ar.\i
57|*q:ali|500|bark|q:al||q:al|q:ali|q:al|q:ali|q:alu|q:al|||    Cf. also Kar. Anch., Tok. q:ale. Some Andian forms (Cham., And., Botl. q:al) may be borrowed from Avar. The word has also penetrated into Tsezian languages (Gin.,Inkh.,Tsez., Gunz., Bezht. qal "skin, bark") and Arch. (qal id.).
58|*hiƛ̣:ib (/-m)|82|root|ƛ̣:ibíl|ƛ̣ibíl|hiƛ̣:im|eƛ̣:e|heƛ̣:im|heƛ̣:ab|heƛ̣:ebo|hiƛ̣:ib|herƛ̣:em|hiƛ̣:im|    Av. has a suffixed form (with -il); accent paradigm B (\Iƛ̣:olbó-l,\i \Iƛ̣:albá-l\i). Note the parallel meaning 'kin, family' in Av. (a rather archaic feature).     Cf. also Akhv. Tlan., Ratl., Tseg. \Ieƛ̣:eb,\i Kar. Anch. \Ireƛ̣:ebo\i ( < \I*herƛ̣:ebo\i). The epenthetic -r- in Kar. Anch. and Bagv. is obviously secondary.
59|*c̣:ikʷV|451|1 skin 2 skin (of small animals, but not of sheep)|c̣:okó 2|c̣oko 1|c̣:uku 2|c̣:oko 1||c:oka 2|c̣:oko 2|c̣:uku 2||| Av. paradigm B (\Ic̣:akí-l,\i \Ic̣:aká-l\i).
60|*q:ʷiča (~*q:ičʷa)|452|sheep skin|||ꭓuca||ꭓoša||q:oča||q:uča||    Cf. also And. (Gudava) \Iq:uča,\i Cham. Gig. \Iq:uča.\i Some forms are highly irregular (namely And. \Iꭓuca\i and Cham. \Iꭓoša\i) - probably due to assimilative processes.
61|*ʁʷiča (~ *ʁičʷa)|353|skin, sheep skin||||ʁoča||ʁoča|||||
62|*čVxʷV|501|belly, stomach|čex|čex|||||||||    Av. paradigm B (\Ičoxó-l,\i \Ičaxá-l\i).
63|*ʁʷaʁʷačV ?|502|belly|||ʁʷaʁʷači||||||||    An isolated And. word with obscure etymology.
64|*kirV / *rikV|269|1 chest 2 belly|kerén 1|kerén 1||reka 2||||reka 2||reḱa 2|    Av. paradigm C (\Ikarán-zul,\i \Ikúrmu-l;\i Chad. gen. \Ikarán-dul\i).
65|*xunʔi|251|1 seed 2 flax (seed)|xon 1,2|xum 1|šen 1||hū̃ 1|huʔu (Gudava) 1|hũji 1|xuni 1|hũʔi 1|xun 1|    Av. paradigm B or C (gen. \Ixo-dó-l\i). Cf. also Bagv. Tlond., Kvan. \Iꭓũʔi,\i Tlis. \Ixũʔi,\i Cham. Gig. \Ihun,\i Gad. \Ihū,\i Kar. Tok. \Ixun.\i     Originally a deverbal stem, cf. Av. \Ixa-,\i Av. Chad. \Ixʷe-,\i Cham. (with reduplication) \Ihãhʷn-a\i 'to sow', And. \Išam-\i 'to throw'.
66|*muħV|503|1 grain 2 seed|muh 1|muh 1|muhu 1|mũhĩ 2,1|muhu (Gig.)|muhu|muhu (Tok.)||||    Av. paradigm C (gen. \Imuhó-l,\i Chad. \Imuhí-l,\i pl. Chad. \Imúha-l\i). Tind.-Cham. \Imuhu\i > Inkh., Tsez. \Imuhu\i 'grain'; Av. \Imuh\i > Bezht., Gunz. \Imuh\i id.
67|*ƛ̣:ilṭu (/*ƛ̣-)|504|1 seed 2 flax|||||ƛ̣:inṭʷ|ƛ̣:eṭu|ƛ̣elṭu||||    Cf. also Kar. Tok. \Ielṭu\i 'flax', Cham. Gig. \Iƛ̣:eṭu\i 'barberry'. The Kar. forms point to a weak *ƛ̣-; this is probably a result of assimilation to the weak -ṭ-. Tind. > Inkh. \Iƛ̣eṭu\i 'seed'.
68|*ꭓ:inta|505|1 belly 2 rennet, abomasum||ħut 2|||ꭓ:inta 1|ꭓ:inta 1|||||
69|*riƛ̣:i|69|meat|||riƛ̣:i|riƛ̣:i|jiƛ̣:|riƛ̣:i|riƛ̣:i|riƛ̣:i|riƛ̣:|riƛ̣:i|    Cf. also Cham. Gig. \Ireƛ̣:i.\i
70|*qonu|506|egg|ꭓonó|ħonó|qonu (Gudava)|qanu|ꭓan (Gudava)||hanu (Tok.)|ꭓanu|||    Av. paradigm B (\Iꭓaní-l,\i \Iꭓaná-l,\i Chad. \Iħiní-l,\i \Iħaná-l\i).
71|*ḳorḳonV|507|1 egg 2 grape, berry|ḳorḳónu 2||ḳorḳon 1||č̣ač̣ã 1|ḳ́eḳ́ama 1|ḳarḳan 1|ḳarḳamu 1|ḳ́aḳ́an 1|ḳ́arḳ́anu 1|    Cf. also Cham. Gig. \Iḳuč̣an\i 'egg'.
72|*nV(r)ꭓV ( ~ -q-)|508|1 butter, oil 2 fat|naꭓ 1,2|naħ 1|||||||||    Av. paradigm C (\Inaꭓú-l,\i \Ináꭓa-l,\i Chad. gen. \Inaħú-l/niħí-l\i). Not clear is the relationship between this Av. form and Akhv. \Iĩꭓʷa,\i Tseg. \Iiꭓʷan,\i Tl. \Iiꭓʷam,\i Ratl. \Iiꭓʷami\i 'boiled butter'.
73|*sisʷi ?|509|fat (n.)|||sosi||||||||    Isolated in And. with no clear etymology.
74|*ħani (~ -o-)|510|fat (n.)||||hane|||hani (Tok.)||||
75|*λonV (~ƛ-,-a-)|511|fat (n.)|||||λan|λana|||||    Cf. also Cham. Gig. \Iλani.\i
76|*c̣:onʔi|356|salt|c̣:am|c̣am|c̣:on|c̣:ani|ṣā̃|c:ā̃|c̣:ãji|c̣:ãʔi|c̣:ãʔi|c:ãji|  Av. paradigm B~C (gen. \Ic̣:amú-l\i). Cf. also Akhv. Tseg., Tlan., Ratl. \Ic̣:an,\i Cham. Gig. \Ic̣:ãj,\i Kar. Tok. \Ic̣:an\i etc.
77|*mVHVr|295|mountain|meʕér|meʕér|||||||||    Av. paradigm C (\Imuʕrú-l/maʕári-l,\i \Imúʕru-l\i).
78|*mic̣:V-rV|512|edge|mic̣:ír||||||||||    Av. paradigm C (\Imoc̣:ró-l,\i \Imíc̣:ra-l\i).
79|*bica (~-o)|136|mountain||||beča||besa|besa||besa||
80|*riq̇:a|513|hill, mountain|||||jeq̇:a|||req̇:a||req̇:a|
81|*ħinu|227|1 road, way 2 gorge, ravine 3 hollow (n.)|nuꭓ 1|nuħ 1||hinu 2||||||hinu-λir 3|    Av. paradigm B (gen. \Inuꭓ-lúl;\i Chad. \Inuħ-lúl,\i \Inuħá-l\i).
82|*miq̇:i|80|road|||miq̇:i|miq̇:i|miq̇:|miq̇:i|miq̇:e|miq̇:i|miq̇:|miq̇:i|
83|*bV(r)q̇:V|99|sun|baq̇:|baq̇|||||||||    Av. paradigm B~C (gen. \Ibaq̇:ú-l\i).
