"NUMBER","PROTO","PRNUM","MEANING","CEZ","GIN","KHV","INH","BZT","GNZ","COMMENT"
75,"*ʁ:ur (~ʁ-,-o-,-l)",360,"stone","ʁIul",,"ʁur","ʁur",,,"    PTsKh \I*ʁuR.\i"
76,"*ꭓemu A",361,"1 tomb-stone 2 stone 3 boundary stone","ħimu 1,3","ꭓemu 2","ħimu (Radzhibov)","hemu 3","ʁemo 1 (Khosh.)","ʁemu 1 (Nakh.)","    PTsKh \I*ꭓ̥1̇emu,\i PGB \I*ʁemu.\i"
77,"*ƛ̣[a]lu",362,"1 stone 2 trap","ƛ̣ul-uq̇ 2","ƛ̣al 1","ƛ̣ar 2",,"ƛ̣alo 1","ƛ̣ɔlu 1","    PTsKh \I*ƛ̣aR\i (the semantic shift 'stone' > 'trap' /probably through 'stone plate, lid'/ is rather common, cf., e.g. the development of PEC \I*q̇wiłV\i 'rock, stone' in Andian languages). PGB \I*ƛ̣ɔlu\i (-ɔ- is not quite clear: -a- would be normally expected)."
78,"*ʔeꭓen (~ħ-,-ən)",320,"big stone","aħin",,"eꭓen (Radzhibov)",,,,"    PTsKh \I*ʔeꭓen.\i In Tsez. (Imnaishvili quotes also dialectal forms: \Ieħen,\i \IaꭓIin,\i \IeꭓIen)\i."
79,"*λ:ɨ̃ B",112,"water","λi","λe","λã","λõ","λi","λɨ̃","    PTsKh \I*λə̃,\i PGB \I*λɨ̃.\i Cf. also PGB \I*λɨ̃-ki-ju\i 'liquid' (Bezht. Tlad. \Iλikkö,\i Khosh. \Iλikĳo,\i Gunz. \Iλɨ̃kku\i)."
80,"*qɨma A (~-i- B)",167,"1 rain 2 clouds","qema 1","qema 1","qema 2",,"qimaro 2 (Khosh)",,"    PTsKh \I*qɨma.\i In Bezht. only the original plural form (meaning 'clouds') is preserved."
81,"*ʁ:ʷədə",77,"rain",,,"ʁʷada","ʁodo","wodo","wədə","    PTsKh \I*ʁʷədə\i (in Inkh. also means 'sky'), PGB \I*wədə.\i"
82,"*ħas:",292,"sky, cloud, fog","as","as","as","as","has","has","    PTsKh \I*ʔas,\i PGB \I*has.\i Used also in compound with PTs \I*mus:\i A 'smoke, fog' q.v."
83,"*c̣ə A",38,"fire","c̣i","č̣e","c̣a","c̣o","c̣o","c̣ə","    PTsKh \I*c̣ə,\i PGB \I*c̣ə.\i"
84,"*guṭ(V)",363,"smoke","guṭ","kuṭi","guṭ (Radzhibov)","guṭ",,,"    PTsKh *guṭ(V) (with irregular devoicing in Gin.)."
85,"*qʷɨ (~*qo)",294,"smoke",,,,,"qo","qo","    PGB \I*qo.\i"
86,"*jɔ̃ƛu A",364,"ashes","noIƛu","noƛu","jũƛu","jõƛu","jaƛo","jɔƛu","    PTsKh \I*jõƛu\i (with shift of nasalisation in Tsez. and Gin.), PGB \I*jɔ̃ƛu\i (for nasalisation cf. Gunz. (Gunz.) \Ijɔ̃ƛu\i)."
87,"*tɔtu (*tɨtV-)",365,"1 ashes 2 dust, dirt 3 dirty","tet 1,tutu-ru 3","tutu-ru 3",,,"tato 2, tit 1","tɔdu 2, tɨt 1","    PGB \I*tɔtu\i 'dust, dirt', \I*tɨt\i 'ashes'. It is very hard to separate these two PGB stems (of which the second has an exact parallel in Tsez. \Itet\i). Since *ɔ / *ɨ is an archaic Ablaut type in PTs, the stem *tɨt is probably a nominalized oblique base (the PTs paradigm must have been \I*tɔtu,\i \I*tɨtu-;\i \I*tɨtu-\i > PTsKh \I*tɨt,\i \I*tutu-ru-\i)."
88,"*č̣ič̣a ?",366,"ashes",,"č̣eč̣a",,,,,"    Isolated in Ginukh, with unclear etymology."
89,"*λ:acV",367,"wind","λaci","λaci","λaca","haca",,,"    PTsKh \I*λacV\i (with an obscure change *λ > h in Inkh.)."
90,"*z:aƛV",368,"wind",,,,,"zaƛo","zaƛe","    PGB *zaƛV."
91,"*ƛɨ",369,"year","ƛaIb","ƛebu","ƛib","ƛib","ƛi","ƛɨ","    PGB \I*ƛɨ.\i PTsKh \I*ƛi-b(u\i) contains an original plural suffix; it is worth noting that in PTsKh the word is homonymous with \I*ƛib(u\i) 'leaf' q.v., which probably influenced its vocalism (PTsKh *ɨ or *ə should be expected).         The same root is present in PTs \I*ƛi-nV\i / \I*ʔɨ-ƛi-nV\i 'winter' (*ʔɨ- is a pronominal element, originally 'this winter' - the whole form is probably an original locative case, preserving the root resonant and meaning 'in winter', '(in) this winter'). Cf. Tsez. \Ieƛnu,\i Gin. \Ieƛni,\i Khvarsh. \Ieƛnu,\i Inkh. \Iɨƛnu\i (PTsKh \I*ʔɨƛnV\i), Bezht. \Iƛine,\i Gunz. \Iƛini\i (PGB \I*ƛinV\i) 'winter'. With other suffixation there exists also Bezht. (Tlad., Khosh.) \Iƛi-l-mä\i 'in winter'."
92,"niš:e",74,"1 night 2 at night, in the evening","neširu 1,2","neši 1","nišo-ho (Radzhibov)","nišo-ho 2","niše 1","niše 1","    PTsKh \I*niše\i (~-ɨ-), PGB \I*niše.\i Cf. also Gin. \Inesa\i (with s/š alternation) 'evening'."
93,"*cʷə̃ A",72,"name","ci","ce","cã","cõ","caro","cɔ̃ru","    The PTs paradigm: dir. \I*cʷə̃,\i obl. \I*cʷərV-.\i Cf. PTsKh \I*cə̃,\i \I*cəRo-\i (reflected, e.g. in Tsez. \Ici,\i \Iciro-\i), PGB \I*cɔ̃,\i \I*cɔrV-\i (reflected in Bezht. Khosh. \Icã,\i \Icãra-\i - although the nasalisation in the oblique base is here secondary). In Bezht. Tl. and Gunz. the oblique base has replaced the direct one. The vowel correlation PTsKh *ə : PGB *ɔ points unambiguosly to PTs *ə with a preceding labialization."
94,"*hiḳʷə A/ *riḳʷə A",370,"man, person","(ž-eḳu)","reḳʷe","(žiḳʷa)","hiḳo","(suḳo)","(suḳu)","    The PTsKh form *hiḳʷə / *riḳʷə is probably a development of the original *hirḳʷV (although phonetically it is an exceptional case). Most Tsezian languages reflect only an old compound *ži-hirḳʷV > PTs *žiḳʷV q.v."
95,"*ži-ḳʷə A / *zi-ḳʷə A",124,"man","ž-eḳu",,"ž-iḳwa",,"s-uḳo","s-uḳu","    Cf. also Tsez. Asakh. \Ižeḳʷi.\i PTsKh \I*žiḳʷə,\i PGB \I*suḳu.\i The word is originally a compound \I*ži-hiḳʷə\i (see \I*hiḳʷə\i); the vacillation *ž/*z is rather often a reflex of PEC palatal sibilants."
96,"*ʁinV (~ʁ:-)",115,"woman","ʁIana",,"ʁini","ʁIine",,,"    PTsKh *ʁiInV (in Tsez. two forms coexist: \IʁIana\i and \IʁIana-bi,\i the latter being a former plural)."
97,"*ʔaqV",371,"woman","aqĳu","aqili","aqu","aqu","aqo","aqe","    Cf. also Gin. (by Lomtadze) \IaIqu\i 'female', Inkh. \Iãqqu\i ( < \Iaq-ĳu\i with unclear nasalisation), Gunz. \Iaqu\i id. PTsKh \I*ʔaqV,\i PGB \I*ʔaqV.\i An important derivate from the same root is PTsKh \I*ʔaqV-nV\i 'sheep (2-3 y. old)' > Tsez. \Iaqoni,\i Gin. \Iaqana\i (= PA \I*horḳ:i-n\i id.)."
98,"*ħal(u)-",372,"white","aluḳa","aldĳu","aluḳa","aluḳa","häldĳö","haldu","    PTsKh *ʔal(u)-, PGB *hal- (the root is expanded by adjective markers -ḳa or -dV)."
99,"*ʔeč̣V- (~ħ-)",196,"yellow","ič̣iw","ič̣dĳu","-ejč̣u (Radzhibov)","eč̣uḳa",,,"    PTsKh \I*ʔeč̣V-.\i"
100,"*haḳV- ?",373,"yellow",,,,,"häḳärö",,"    A Bezht. isolate with unknown etymology."
101,"*ʔĩčV- / *ničV-",374,"1 green 2 green, blue","ʕečjasi 1",,,,"ničdĳö 2","ničdu 2","    PGB \I*nič-.\i"
102,"*-VšV-",170,"1 green 2 bright green","eš jiλe (Radzhibov) 1","išjos 1","iš-lajλi 1 (Radzhibov)",,,"r-už-nĳas 2","    PTsKh \I*ʔ[i]š-;\i the PTs vocalism is unclear."
103,"*ƛ̣ĩ A",1462,"malt","ƛ̣e","ƛ̣e","ƛ̣i (Radzhibov)","ƛ̣ẽ","ƛ̣i (Khosh.)","ƛ̣i (G.)","    PTsKh \I*ƛ̣[ĩ]\i (ẽ in Inkh. is irregular); PGB \I*ƛ̣i.\i"
104,"*c̣udV-",376,"red","c̣uda","c̣uddu",,,"c̣udĳo","c̣undu","    PTsKh *c̣udV-, PGB *c̣udV- (-n- in Gunz. is a result of dissimilation)."
105,"*ʔuṭV- (~*ħ-)",323,"red",,,"uṭej","uṭana",,,"    PTsKh \I*ʔuṭV-.\i"
106,"*kaba",377,"black","qIaba","kabaddu","kaba (Radzhibov)","kaIba",,,"    PTsKh \I*kaIba\i (in Tsez. the shift k- > q- is obviously due to pharyngealization)."
107,"*c̣ədV-lu",378,"black",,,,,"c̣odolo","c̣ədilu","    PGB \I*c̣ədV-lu.\i Cf. also Gunz. \Ic̣ədil kãj\i ""blackberry""."
108,"*gVr-",379,"round","gelmač̣u","gemerdĳu",,"gɨrma","gerdĳo","gerdu","    An expressive root with somewhat irregular correspondences. PTsKh \I*gɨr-mV-\i (with metathesis in Gin.); PGB \I*ger-.\i"
109,"*=ɨꭓ:ɔlV-",66,"long","=eꭓora","=oꭓoru","=eꭓʷla","=ɨꭓala","=iꭓalo","=ɨꭓəlu","    PTsKh \I*=ɨꭓolV,\i PGB \I*=ɨꭓVlu.\i"
