NUMBER|PROTO|PRNUM|MEANING|LZG|TAB|AGU|RUT|CAK|KRZ|BUD|ARC|UDI|COMMENT
11|*ḳosʷɨ-|9|to bite|ḳasun|||||ḳɨsäǯ|ḳusu||k:aIšpsun|
12|*q̇ac̣|10|1 bit,slice  2 notch, nick 3(biting part) > chin|q̇ac̣ 2|q̇ac̣ 1|q̇ac̣ 1|q̇ac̣ 3|q̇ac̣ 3|||||    Obl. base \I*q̇ac̣ɨ-,\i cf. Tab. \Iq̇ac̣u-,\i Lezg. erg. \Iq̇ac̣u.\i The Ag. form for "to bite" (\Iq̇ac̣iḳas\i) goes back to this root. 4th class in Rut. and Tsakh.
13|*č̣ulV (~-o-)|11|1 black  2 (dark berry): raspberry|č̣ulaw 1||č̣ula mexer 2|||||||
14|*ḳarɨ-|12|black||ḳaru|ḳare-f||ḳarɨ-n|||||    Cf. also the PL compound \I*ḳarV-š:im\i "black pebbles > charcoal" with somewhat irregular metamorphoses: Ag. \Iḳarešum,\i Rut. \Iḳašen,\i Kryz. \Iḳäšin,\i Bud. \Iḳəšɨl.\i          See Хайдаков 1973, 104.
15|*ʔäʔ|13|blood|iwi|ifi|iʔ|äbir|eb|||||    The single root is preserved only in Agul. Other languages reflect PL compounds with \I*λ:wĳ\i or \I*ṗĳ\i q.v.
16|*ƛ̣orap:|14|bone|ḳarab|ḳurab|ḳarab (Fit.)|q̇ɨrɨb||ḳäräṗ|ḳereṗ|||    Rut. and Tab. point to *-o- in the first syllable; other languages reflect a common assimilation of the first vowel to the second. 4th class in Rut., 3d class in Kryz. and Bud.         See Талибов 1960а,295; Лексика 1971, 114.
17|*mam(a)|15|breast (female)|mam|||||mäm|məm|mam||    3d class in Arch., Kryz. and Bud. See Лексика 1971, 108; Талибов 1980, 270.
18|*ʔok:ʷɨ-|16|burn|k:u-z|u-g-ub|ugʷa-s|||ug-aǯ|s-ug-u|ok:a-s|bok:-sun|    Relevant forms are also: Lezg. praet. \Ik:u-na,\i Ag. Bursh. \Iigi-s,\i Arch. dur. \I=ork:u-r.\i Belongs to the week verb class in PL. Cf. also a derived adjective: Tab. \Iurg-ru\i 'bitter', Lezg. Khl. \Ijɨk:ɨr,\i Kryz. \Igɨra-d\i 'hot'.         Cf. Талибов 1960а, 302; Лексика 1971, 245; Гигинейшвили 1980, 277.
19|*kerk|950|finger nail|kek||kirk|||||||    Labialization in Ag. Burk. \Ikerkʷ\i is secondary - from the oblique base \Ikerku-\i). The Ag. and Lezg. information (Ag. \Ikirku-,\i Lezg. \Ikike\i) is insufficient for establishing the PL vowel base.
20|*λ:äm:|18|finger nail||šib||xeb|xɨvna||||muꭓ|    Other relevant forms: Tab. Khür. \Iš:av\i (pointing to PL *ł:), Düb. \Išav.\i Traces of the PL oblique base \I*λ:im:V-\i (with Ablaut) are preserved in Rut. \Ixäb,\i \Ixibɨ-l-;\i the Tsakh. form (cf. also Gelm. \Ixɨbɨna\i) reflects the original plural \I*ł:im:V-p:V\i with metathesis. Metathesized is also the Ud. form \Imuꭓ\i - but external comparison shows that  metathesis must have occurred in the rest of PL dialects after the separation of Udi.         Cf. Лексика 1971, 119.
21|*t:iλ:ʷ|19|cloud|c:if|dif|dif|||ǯif|ǯuf|diλʷ||    Other relevant forms: Tab. Khür. \Idif:,\i Ag. Bursh. \Idif:,\i Arch. erg. \Idiλ:ʷili,\i pl. \Idoλ:or\i (all pointing to PL *λ:ʷ). Vowel base unclear (mostly consonantal affixes in modern languages). 4th class in Arch., Kryz. and Bud.     See Гигинейшвили 1977, 76; Талибов 1980, 279.
22|*meƛ̣ä-|20|cold|meq̇i|merč̣-uli (Düb.)|miḳ-ler(Bursh.)|mɨq̇dɨ|mɨḳana||||mi|    Also present as a noun \I*meƛ̣(a)\i 'cold, cold wind': cf. Lezg. \Imeq̇,\i Ud. \Imi\i 'cold', Tab. \Imiḳ,\i Ag. \Imeḳ\i 'wind'.
23|*ʡiqIä-|21|1 get cold  2 cold 3 to go out, be extinguished|el-üq-iz 3|aqIu 2,-abqIub1|d-aqIa-s 1|s-a-qIa-s 3|ḳ́a-aqIa-s 3||ʕatꭓa 2|ꭓIe-t:ut 2||    Cf. also Arch. \Ia=ꭓIa-s\i (dur. \I=arꭓIu-r\i) 'to be extinguished, go out'. A verbal stem, belonging to the strong verb class in PL. Most forms reflect the Ablaut grade *ä (\I*ʡäqIa-\i); the grade *-i- is preserved in Arch. \IꭓIe-\i ( < \I*ʔiqIä-\i 'cold'.     Most Lezghian languages have derived from this root words for 'shadow': Lezg. \Iqen\i (Khl. \IäqIän\i), Tab. Düb. \Id-aqIin\i (Kand. \Id-aqIun\i 'mountain shadow'), Ag. \IaqI\i (Bursh. \Id-aqI\i), Rut. \IaqI\i / \IaqIan,\i Tsakh. \IaqI,\i Arch. \IejꭓIurt.\i
24|*ʔata-|22|1 come, arrive  2 walk,go|at- 2||||||||ta-jes 2|    Cf. Lezg. pret. \Iata-na\i (the stem is used in pret. and masdar). The Ud. form is a secondary building from the gerund \I*ʔata-j.\i
25|*ʔiqI:ʷä-|23|1 to come  2 to go  3 to go away 4 coming 5 bring|q:ʷe- (inf.) 1|ʁI- 1, 2; a=ʁI-2|baI- 2|qI-u=ʁIu- 3|=ɨq:Ia- 2|t-uʁ- 5|č-a=ʁ- 2,5|qIe-s,herqIa-s 2|eʁa-lo 4|    Different grades of the PL Ablaut paradigm (\I*ʔiqI:ʷä-\i/\I*ʔäqI:ʷa-\i/\I*ʔoqI:ʷä-\i) are reflected in different languages (all three grades simultaneously are present in Archi: \IqIe-s\i /\I*ʔiqI:ʷä-\i/, dur. \IorqIi-r\i /\I*ʔoqI:ʷä-\i/ 'go', \Ih-erqIa-s\i /\I*ʔäqI:ʷa-\i/ 'go, walk'). The Ag. form varies across dialects: Rich. \IbaI-,\i Tp.,Bursh. \IwaI-,\i Fit. \IʁIʷa-.\i In the prohibitive form (meaning in Ag. both "do not go" and "do not be, become") the root consonant either loses labialisation (Bursh. maR̀a), or acquires nasalisation (Rich. \ImaIma\i). In Budukh \Ič-a=ʁ-\i is durative, \Itu=ʁ-\i ( = Kryz. \Ituʁ-\i) - terminative; cf. also Kryz. \Iq:-äʁ-\i 'to bring (from below)', \Iʕ-uʁ-\i 'to bring (from above)' ( = Bud. \Iʕu=ʁ-\i id.).
26|*ʔiƛ̣e|24|die, kill|q̇i-|ji=ḳ-|ḳ-|ji=q̇e-|q-e=ḳe-|q̇äj-|s-a=q̇-|ḳi-|bi-es|    Other relevant forms: Lezg. inf. \Ir-eq̇i-z,\i pret. \Iq̇e-na,\i imper. \Ijiq̇;\i Ag. Bursh. \Iḳi-s;\i Rut. plur. \I-q̇ɨrq̇a-s\i (a form with reduplication and Ablaut). The word normally means both 'die' and 'kill'; in Tsakh. there is different prefixation (\Iq-eḳe-s\i /dial. \Iq-iḳa-s\i/ 'die', \Ig-eḳe-s\i (dial. \Ig-iḳa-s\i) 'kill'). In Udi 'kill' is a secondary causative formation: \Ibes-busun\i ( \I*biʔe-s-busun\i ). See Бокарев 1961, 63; Гигинейшвили 1977, 103.
27|*kic̣ / *c̣ik|25|1 puppy  2 dog  3 small, little|kic̣ 2|||c̣iḳ 1|||||k:ic:i 3|    PL oblique base \I*kic̣ɨ-\i or \I*kic̣e-\i (cf. Lesg. \Ikic̣i-,\i Rut. \Ic̣iḳi-\i).In Rut. there occurred a metathesis and assimilation (due to the expressive nature of the root). The original meaning was probably 'small, young (of animals)'.
28|*ꭓ:ʷäja|26|dog||ꭓuj|ʁuj|ꭓĳ (Khniukh.)|ꭓʷa|ꭓʷar|ꭓor||ꭓIa|    Other relevant forms: Ag. Bursh. \IꭓI:uj,\i Tsakh. Gelm. \Iꭓʷajä.\i In PL there existed a parallel oblique base \I*ꭓ:ʷäj-rV-,\i cf. Ag. Bursh. \IꭓI:ura-ni-,\i whence the Kryz. and Bud. direct forms with -r.     See Trubetzkoy 1930, 85; Лексика 1971, 158; Гигинейшвили 1977, 121.
29|*ʔoqʷa-|27|1 to suck 2 to drink 3 to absorb, soak|qʷa- 1,2|u=q- 1|uq- 1||ǵ-o=qa- 1|č-oq- 3||(mam) =uꭓa- 1||    See Гигинейшвили 1977, 92.
30|*ʔoꭓʷa|28|1 to drink 2 to gulp down 3 swill, mash|ꭓʷa-l 3|uꭓ- 1|uꭓ- 1|||||ꭓ:u-bus 2||    The Arch. form is somewhat irregular (due to the expressive semantics?): we should not expect here the loss of initial vowel and the intensive ꭓ:.    See Лексика 1971, 261.
31|*ʔiq̇:ʷar-|29|dry|q̇uraj|q:uru|ruq:uf|q:urud|q:urna||q:uru|q̇ure|q:ari|    All forms are in fact verbal adjectives. The verbal forms are widely preserved: Lezg. \Iq̇ura-z\i (praet. \Iq̇ura-na\i) 'to dry', Tab. \Iu-r-q:u-z\i 'to get stale', Ag. \Iruq:ʷa-s\i (Bursh. \Iurq:ʷa-s\i) 'to dry', Arch. \Iq̇ura-s\i (imper. \Iq̇uraq̇:a\i)/ \Iq̇ʷa-s\i id. The Rut. and Bud. form may have been influenced by Turkic (cf. Azerb. \IGuru\i 'dry'), but there is no doubt in the authenticity of this root in PL.         Cf. Бокарев 1961, 64; Гигинейшвили 1977, 108.
32|*ʔIam:|30|ear|jab|ib|ibur|ubur||ibɨr|ibir|oj|imuꭓ|    The Rut., Kryz., Bud. and Ud. forms are historical plurals (with -Vr and -uꭓ). The Archi form is also a result of a secondary reinterpretation of the form \I*jam\i (< \I*ʔIam:\i) as a plural; a new singular form \I*ja\i had been built and later yielded (quite regularly) Arch. \Ioj.\i Note that an analogous thing happened also in Udi, where there exists a noun \Ii\i 'hearing' (and the verb  \Ii-baksun\i 'to hear').The old "plural" form (but already refigured according to the singular) is preserved in Arch. \Iojom\i 'ears'.     See Лексика 1971, 126; Гигинейшвили 1977, 116; Талибов 1980, 274.
33|*č:il|31|1 earth  2 floor|č:il|žil|žil|ǯil|ǯil|||||   PL \I*č:il,\i obl. base \I*č:ilɨ-\i (cf. Lezg. \Ič:ili,\i Tab. \Iǯili-,\i Ag. \Ižili-,\i Rut. \Iǯili-,\i Tsakh. \Iǯile-).\i    See Талибов 1960а, 299.
34|*ʔiʔʷäl-|32|1 to eat  2 to get hungry|ṭü-n (masd.) 1|iṗ- 1|ʕüṭ- 1|=ile- 1||ʕül- 1|s-oʡul- 1|lah-bos 2||    Complicated reflexes in modern languages are due to combinations of class infixes with the Inlaut laryngeal: cf. Tab. \Iiṗu-b\i (\I*ʔi-b-ʔ-\i) / \Iiṭu-b\i (\I*ʔi-d-ʔ-\i); Lezg. praet. \Iṭü-na\i (\I*ʔi-d-ʔu-na\i) as opposed to the infinitive \Ine-z\i (\I*ʔin-Vs:\i < \I*ʔiʔ(ʷ)l-Vs:\i). The root-final *-l- is well preserved in Rut., Kryz., Bud.; cf. also Ag. Bursh. \Iʕüṭal-as.\i On the other hand, the Rut. terminative form \Ili-ʔi-r\i and the Arch. \Ilah-\i reflect the metathesized variant \I*liʔʷä-.\i
35|*k:uk:uj|33|1 fried egg 2 testicle|k:uk:u 1|gugu 2||||||||    In some dialects the Lezg. root also means 'egg' (in general). The root should be distinguished (although partial contamination is occurring) from Lezg. \Ik:ak:a\i 'egg' q.v.
36|*ʔʷil|34|eye|wil|ul|ul|ul|ul'|ʕül|ʕül|lur|pul|    Obl. base PL \I*ʔʷile-,\i cf. Lezg. \Iwili,\i Tab. \Iuli-,\i Ag. \Iuli-,\i Rut. \Iuli-,\i Tsakh. \Iul'e-.\i 3d class in all class-distinguishing languages. The Archi form is originally plural ( \I*ʔʷil-Vr\i ).     See Лексика 1971, 196; Гигинейшвили 1977, 69.
37|*ƛ:ilV-|35|1 male 2 man 3 men (pl.)||žilir 2|ile-f 1|||||ƛele 3||     See Trubetzkoy 1922, 242.
38|*ꭓIul (ꭓI:-,-o-,-l:)|36|fat||ꭓIul|X̀al|||||||    Cf. also Ag. Bursh. \IX̀ul,\i Burk. \IX̀el.\i Insufficient data to establish the vowel base or the degree of intensity of initial *ꭓI-.
39|*c̣:ämk / *kämc̣:|451|1 feather, down 2 goat skin, goat wool|c̣akul 1|zikw 1||||||ḳenc̣ 2||    The Lezg. and Tab. forms point to *c̣: in PL (conf. the correspondence Lezg. lit. \Ic̣ak-ul\i : Khl. \Ickʷal\i without glottalisation, and the Tab. Kand. form \Ic:ikʷ\i). Archi also has c̣: (cf. the erg. \Iḳenc̣:i,\i pl. \Iḳenc̣:-um\i) which is a strong point in favour of the comparison (inspite of the rather frequent metathesis). The Inlaut nasal must have been labial (to account for its loss in Tab. and lesg. - the dental would have been preserved - and the compensating labialisation of the velar).
40|*c̣aj|38|fire|c̣aj|c̣a|c̣a|c̣aj|c̣a|c̣ä|c̣ə|oc̣|aruꭓ|    The oblique base must be reconstructed as \I*c̣ojɨ-\i with Ablaut (cf. Lezg. \Ic̣u-,\i Khl. \Ijɨc̣ɨ-,\i Tab. \Ic̣i-,\i Ag. \Ic̣i-,\i Rut., Kryz. \Ic̣ɨ-;\i with vowel levelling Tsakh. \Ic̣ajɨ-,\i Bud. \Ic̣əji-\i). There also must have existed a parallel *-r-base \I*c̣o(j)-rV-,\i cf. Arch. loc. \Ic̣ere-qI\i and the Udi \Ia-r-uꭓ\i (originally a plural form). 4th class in all class-distinguishing languages.     See Trubetzkoy 1930, 83; Лексика 1971, 193; Гигинейшвили 1977, 100; Талибов 1980, 296.
41|*ꭓI:an:|39|fish|ʁed|||ꭓIat (Shin.)||||||    In Auslaut it is possible to reconstruct both *-n: (with secondary unvoicing *-n: > *-d > -t in the Rutul dialect) and *-t:, but external evidence speaks in favour of the first solution.
42|*loƛ:(a)|40|1 wing  2 sleeve|luv 1|luv 2||||||||    The oblique base in PL was either \I*loƛ:a-\i or \I*loƛ:ä-,\i to judge from Lesg. \Iluva-.\i Cf. also Tab. Kand. \Iluɣ,\i Düb. \Iluɣu\i 'sleeve'.
43|*ʔiꭓV|41|to fly||ṭ-irꭓub|||al-iꭓas|||||    The verb belongs to the strong class. The Tab. form contains an intensive preverb ṭ-: cf. also Tsakh. \Ihi-ṭ-i-ꭓa-s\i 'to row'.     In Ag. Bursh. we have \Ialt-ꭓi-s\i 'to fly' - which is presently easily analysed as preverb alt- + \Iꭓi-\i 'to go' (see PL \I*ʔiꭓ(:)e-\i); but since historically these are quite different roots, it is probably a later merger.
44|*ḳʷarč|42|1 hoof  2 leg, foot|ḳʷač 2|||ḳʷarč 1|ḳorč 1|||||    Obl. base \I*ḳʷarča-\i (cf. Rut. \Iḳʷarčä-,\i Tsakh. \Iḳorče-\i). 3d class in Tsakh. and 4th class in Rut.     See Лексика 1971, 119.
45|*läk|43|1 foot, leg    2 bone||lik 1|lak 1|||||lek:i 2||    Obl. base \I*läkɨ-\i or \I*läke-,\i to judge from the Ag. form \Ilaku-.\i In Ag. cf. also Bursh. \Ilek.\i
46|*hIac̣ɨ-|44|full|ac̣aj|ac̣u|ac̣uf|ac̣ɨd|ǵac̣ɨn|ʕac̣äd|səc̣ə|āc̣a-t:ut|buj|    The basic root is verbal, "to fill", cf. Lezg. \Iac̣u-\i (praet. \Iac̣u-na\i), Tab. \Ia=c̣-,\i Ag. \Iac̣-\i (Bursh. \Iac̣i-\i), Rut. term. \Ia=c̣ɨ-r,\i Tsakh. \Iǵ-a=c̣a-,\i Arch. \Iā=c̣a-,\i Bud. \Is-a=c̣-.\i Initial *hI- is reconstructed mainly on basis of the Kryz ʕ- (and possibly the Arch. vowel length) which, however, may be a prefix. In some languages the attributive form means also 'thick' (Tab. \Iac̣u,\i Lezg. Khl. \Ijac̣ɨ\i).     Cf. Лексика 1971, 255; Гигинейшвили 1977, 100.
47|*ʔiƛ:ɨ-|45|give|gu-|t-uw-|i-|wɨ-|hi=le-|wu-|jɨ=və- (term.)|ƛo-||    Most forms reflect the basic PL form \I*ʔiƛ:ɨ-;\i note, however, the reflex of an Ablaut grade \I*ʔoƛ:a-\i in Arch. \Ioƛa-s\i 'sell' and possibly Tab. Düb. \Id-uvu-s\i (= Tab. lit. \Ituvu-z\i), dur. \Id-u-l-ɣu-n-\i 'give'.     See Гигинейшвили 1977, 86.
48|*qɨs(a)|46|1 part 2 goods, possessions 3 good|qsa-n 3||qis 1|||||ꭓos 2||    Obl. base \I*qɨsa-\i or \I*qɨsä-\i (to judge from Lezg. \Iqsa-n,\i which must be treated as an archaic genitive). Weak *s on basis of Arch.(cf. plur. \Iꭓos-ot\i).
49|*ʔič:V-|47|good||užu|iže-f|||||||
50|*q:ac:ɨ-|48|green|q:ac:u||ʁaze-f|||||||    Actually a denominative (PL \I*q:ac:,\i \I*q:ac:ɨ-\i), cf. Lezg. \Iq:az\i (erg. \Iq:ac:u\i) 'green colour, anything green'.
51|*čirV-|49|1 green  2 blond, red-haired||čru 1|čire-f 2|||||||    The original meaning was probably 'light, light-coloured'; the meaning 'green' has developed in Tab. and some Ag. dialects.
52|*č̣aIr|50|hair|č̣ar|č̣ar|č̣ar|č̣ar|č̣aIr|č̣er|č̣er|č̣aIri||    Obl. base \I*č̣aIra-,\i cf. Ag., Rut. \Ič̣ara-,\i Tsakh. \Ič̣aIra-.\i 4th class in Tsakh. and Arch., 3d class in Kryz. and Bud. In most languages (except Tsakh. and Arch.) the root also means "goat's wool".     See Талибов 1960а, 296; Лексика 1971, 105.
53|*ꭓ:ɨl|51|hand|ʁil|ꭓil|ʁil|ꭓɨl|ꭓɨl|||ꭓol||    Cf. also Lezg. Khl. \Iꭓil,\i Tab. Ulz. \Iꭓ:il,\i Ag. Bursh. \Iꭓ:il,\i Tp. \Iʁil.\i Obl. base \I*ꭓ:ɨle-,\i cf. Lezg. \Iʁili-,\i Tab. \Iꭓili-,\i Ag. \Iꭓili-,\i Rut. \Iꭓɨli-,\i Tsakh. \Iꭓɨle-.\i The weak reflex ꭓ- in Archi (ꭓ:- would be expected) may be probably explained by the contamination of PL \I*ꭓ:ɨl\i 'hand' and \I*ꭓäla\i 'sleeve' q.v. 4th class in Rut., Arch. and Tsakh.
54|*woƛ̣ul|52|head|q̇il|ḳul|ḳil|uq̇ul|wuq̇ul|q̇ɨl|q̇ɨl|ƛ̣il-li-ƛ̣|bul|    The initial syllable vanished in the weak position in most languages, but is preserved in Tsakh., Rut. (\Iuq̇ul,\i \Ihuq̇ul\i or \Iq̇ul\i in different dialects) and Ud. (where \Ibul\i < \I*buʔul\i < \I*woƛ̣ul;\i cf. also \I*woƛ̣V-rV\i > Ud. \Iber\i 'pillow'). The Archi form is an original locative and means 'under the head'; PL *ƛ̣ should have given Arch. ḳ, but has been preserved in this exceptional form as a result of assimilation with the sublative *-ƛ̣:. The word belongs uniformly to the 3d class (in Rut., Tsakh., Kryz. and Bud.)     See Талибов 1960а, 295; Лексика 1971, 107; Гигинейшвили 1977, 69.
55|*ʔʷen|53|sound|wan||un|un|on|||||    Cf. also Lezg. Khl. \Ion\i id. In several languages (Ag., Lezg., Rut.) serves as a base for the compound verb 'to hear'. Belongs to the 4th class in Rut. and Tsakh.; oblique base unknown.
56|*ʔeλɨ- (~-λ:-)|54|1 to hear  2 to keep silence||je=x- 1||g-i=xe- 2|q:-a=xe- 1|ix- 1|ix- 1|||
57|*jirḳʷ|55|heart|riḳ|juḳ|jurḳ|jiḳ|jiḳ|jiḳ|jiḳ|iḳʷ|uk:|    Obl. base \I*jirḳʷe-\i (cf. Lezg. \Iriḳi-,\i Tab. \Iḳʷa-,\i Rut. \Ijiḳi-,\i Tsakh. \Ijiḳe-\i). 4th class in all class-distinguishing languages.     See Лексика 1971, 124; Гигинейшвили 1977, 82; Талибов 1980, 289.
58|*ḳalč / *kalč|56|1 horn 2 plait, woman's hair|karč 1|ḳarč 1,2|ḳarč 1|kač 1|gač 1|käč 1|kərč 1|||    The root reveals a strange vacillation of initial *ḳ- (Tab., Ag.), *k:- (Tsakh.) and *k- (all other languages). The oblique base must be reconstructed as \I*ḳalče-\i (cf. Ag. \Iḳarči-,\i Rut. \Ikači-,\i Tsakh. \Igače-\i); medial *-l- is postulated because of the liquid's preservation in Kryz. and Bud. (*-r- should have vanished in this position). The word belongs to the 3d class in Rut. and Tsakh., but to the 4th in Kryz. and Bud.    See Хайдаков 1973, 42.
59|*wenč̣:|57|1 knee 2 corner of a sack|met 2|||||||bič̣-ni 2||    -ni in Arch. is a suffix (cf. the affixation in PTs). For the reflex of PL *-č̣:- cf. Lezg. obl. base \Imeṭi-\i (Khl. \Imet,\i erg. \Imet:a\i).
60|*q̇amq̇|58|knee||q̇amq̇|q̇ʷaq̇ʷ|q̇waq̇||||||    Obl. base \I*q̇amq̇a-\i (cf. Ag. Fit. \Iq̇ʷaq̇ʷa-,\i Rut. \Iq̇ʷaq̇a-\i). 3d class in Rut.     See Лексика 1971, 114.
61|*čir ?|59|know(ledge)|čir|||||||||    An isolated Lezgian word with no obvious parallels.
62|*ʔaꭓI:a-|60|1 to know  2 to teach  3 be able 4 teaching,lesson||aʁIu- 1|aħa- 1||=aꭓI:a- 1,3|ħa-r jeriǯ 2|||aꭓI 4|    A verbal stem, but mostly with a defective paradigm (only in compound gerund forms in Tab., Ag. and Kryz.); Udi has preserved an old deverbative noun.
63|*p:aIša|61|1 leaf  2 willow button|p:eš 1||ṗaIž 1|||beš 1|beš 2|||    Oblique base (in *-ä) may be (not very certainly) reconstructed on basis of Lezg. Khl. \Ip:eše-\i and Ag. Burk. \IṗaIǯ,\i \IṗaIǯu-.\i The Ag. form has been influenced by \Iḳeǯ\i 'leaf' (PL \I*ƛ̣ač̣a\i q.v.). 4th class in Kryz. and Bud.
64|*ƛ̣ač̣a|62|1 stem, stalk  2 leaf  3 grain  4 pod 5 straw|q̇ač̣ 1|ḳaž 2|ḳež 2|q̇ač̣ 3|ḳač̣a 4|q̇äč̣ 1|q̇əč̣ 5|ḳač̣i 2|k:äč: 3|    In Ag. and Tab. there occurred a dissimilatory deglottalisation after the initial glottalised consnant; other forms go back regularly to PL \I*ƛ̣ač̣a,\i obl. \I*ƛ̣ač̣ä-\i (cf. Tab. \Iḳažu-,\i Ag. Tp. \Iḳeǯi-,\i Tsakh. \Iḳač̣a\i).     See Лексика 1971, 165; Гигинейшвили 1977, 104; Талибов 1980, 299.
65|*ʔikʷän- (~-l-)|63|1 to fall  2 to lie, lie down 3 to stay 4 to throw|q:at-k- 2||ʁ-ulkan- 1|lukʷa- 1,2||i=kn- 3|i=kin- 3|kam- 4||    In Ag. only the Bursh. form is known. In Shakhdagh the semantics may be modified because of contamination with another root, PL \I*ʔargʷVn-\i (/\I*ʔirgʷVn-\i) 'to stay'; but cf. the old participial form \Ikɨn\i in Kryz. \Ikɨn xi-jiǯ\i 'to fall, be scattered', \Ikɨn jeriǯ\i 'to scatter, pour' ( = Arch. \Ikam-mus,\i dur. \Ikamá-r\i 'to throw' < \I*kʷän-\i). Cf. also preverbial forms in Shakhdagh: Kryz. \Iʕä=kn-\i 'to become tired', Bud.: \Iʕala=kl-\i 'to drop, drip' (with preservation of -l due to -l- in the preverb).
