NUMBER|PROTO|PRNUM|MEANING|ABK|ABA|ADG|KAB|UBK|COMMENT
11|*gǝʒa ?|688|big|||||gˊǝʒa|    Isolated in Ub. with obscure etymology.
12|*bǝšA (?-s-)|617|1 bird 2 wing 3 fly|a-psāˊ(tˀʷ) 1|pssʕa- 3|bzǝwǝ 1|bzuw 1|bzā-paˊ 2|    PAT \I*pǝsˊǝ-ʕa-\i (cf. also Bz. \Ia-psˊāˊ,\i \Ia-psˊāˊ-tˀʷ\i 'bird', Abaz. \Ipssʕa-čˀʷǝ\i id.); -ʕa is obviously a suffix. PAK \I*bzǝ-wǝˊ\i (where -wǝ is an archaic diminutive suffix).     Reconstruction of PAT *sˊ (and, therefore, PWC *š) is based on Abkh. Bzyb. evidence quoted in Marr's dictionary; since Bghazhba has not included the word in his book, it may well be Marr's misspelling - in that case we must reconstruct simply PAT \I*pǝsǝ-ʕa-\i and PWC \I*bǝsA.\i
13|*ʁʷǝndʷA|689|1 gadfly 2 small bird, bird|||ʁʷǝdǝ 1|ʁʷǝda 1|ʁʷǝ(n)dʷǝˊ 2|    Deriving Ub. \Iʁʷǝ(n)dʷǝˊ \ifrom \Iʁʷǝnǝ\i 'tree' (see Dirr 77) is obviously a folk etymology. Kab. \Iʁʷǝda\i > Abaz. \Iʕʷǝda\i (see Шагиров 1, 137).
14|*qˀIA|277|to bite|aˊ-c-ħa-ra|c-ħa-ra|ja-ca-q:a-n|(ja)-ʒa-q:a-n|qˀIǝ-|    Cf. also Abkh. Bz. \I-c-ħa-,\i Ub. 1st p. \Isǝˊ-qˀIǝ-n.\i In PAT and PAK present is a compound with 'tooth' as a first component: PAT \I*cǝ-ħa-,\i PAK \I*c:a-q:a-.\i     PAT *ħ reflects rather PWC *qˀIˊ (with palatalization due to Ablaut?); the normal reflex qˀ is present in the reduplicated form PAT \I*qˀaqˀA\i (Abkh. \Iaˊ-qˀaqˀa-ra,\i Abaz. \Iqˀaqˀ-ra\i) = Ub. \IqˀIaqˀIǝ-\i 'to chew'.
15|*cˀʷa|690|black|aˊ-jkʷa-čˀˇa|kʷa-jčˀʷa|s.ˊˇǝ-cˀa|f˔ǝ-cˀa|ǯˊa|    The PAT form is a compound \I*jǝkʷa-cˀʷa\i (for the first part cf. Abkh. \Ia-jkʷaˊ\i dark'). \I-cˀʷa\i can not be treated here as the same root as PAT \I*jacˀʷa\i 'blue, green' (q.v.) for accentological reasons: \Ia-jkʷaˊ(j)cˀˇa\i would be expected in Abkh.).         The PAK word \I*cˀʷǝcˀa\i 'black' goes back (as proposed by Шагиров 2, 103) to \I*cˀʷǝ\i 'black' + \I*pˀcˀa-\i 'thick, dense' with secondary elision of -pˀ-; the root \I*cˀʷA\i 'black' is used also in a number of other compounds.         Since exactly the same correspondence is present in the word for 'fire' (q.v.) one can not separate the Ub. form from the rest, but problems remain: we have to account for deglottalisation and delabialisation of the root consonant. We can, however, suppose that the original form is still preserved in the word for 'coal': Ub. \Igˊaˊ(n)-cˀʷa,\i cf. PAK \I*cˀʷa-mǝčˀˊǝ\i id.
16|*λˊA|1445|blood|a-šˊaˊ|šˊa|λǝ|λǝ|λa|    PAT \I*šˊa,\i PAK \I*λǝ.\i Ub. def. \Ia-λaˊ.\i
17|*bǝq:Iʷǝ (~p:-,-ǝ˜-)|902|1 bone 2 carcass, skeleton|aˊ-baʕʷ 1|bʕʷǝ 1|p:q:ǝ 2|p:q:ǝ 2||    PAT \I*bAʕʷǝ,\i PAK \I*p:q:ǝ\i (with dissimilatory delabialisation). Ub. \Ipqǝ\i (\Iaˊ-pq\i) 'bone' is considered (see Шагиров 2,48) an Adygh loan (as also Abaz. \Ipˀqˀǝ\i 'carcass, skeleton'), which must be true (otherwise we should expect pharyngealised -qI(ʷ)- in Ub.).
18|*kˀǝkˀa|791|female breast, teat|a-kˀǝˊkˀa|kˀǝkˀa||||   PAT \I*kˀǝkˀa.\i
19|*bǝʒǝ (~-ǯ-)|273|female breast, teat|||bǝʒǝ|bǝʒ|bǝʒ|    PAK \I*bǝʒǝˊ.\i There are no special reasons to treat Ub. \Ibǝʒ\i as an Adygh loanword (the correspondences are all right). An expressive stem (with parallels only in Agul).
20|*ŁIʷa|26|dog|a-laˊ|la|ħa|ħa|wIa|    PAT \I*la,\i PAK \I*ħa;\i Ub. def. \Iaˊ-wIa.\i The Ub. pharyngealization suggests the PAT form \I*ŁIʷaI;\i since, however, in PAT only uvulars and labials could have been pharyngealized, this probably means that we have in fact to reconstruct an early form with a cluster like \I*l-χIʷa\i or \I*χIʷla.\i It is possible that such a PAT cluster can reflect an earlier combination \I*χIʷr-\i (cf. another example of the same kind, PAT \I*Łʷa-\i 'to grind').
21|*bǝlA|693|1 burn 2 burn, shine (intr.)|a-bǝˊl-ra 1|bǝl-ra 1|bLa- 2|bLa- 2||    PAT \I*bǝlǝ-,\i PAK \I*bǝLa-.\i
22|*cA|694|1 burn 2 hot|a-caˊ 2||stǝ-n 1|sǝ-n 1|ca- 1,2|    Cf. also Abkh. Bzyb. \Ia-caˊ\i id. PAK \I*sǝ\i / \I*stǝ.\i The AK intransitive verb is rarely used; more frequent is the derivate Ad. \Iʁa-stǝ-n,\i Kab. \Iʁa-sǝ-n\i 'to burn'. Origins of Ad. -t- are not very clear (perhaps a contamination with \Ipšˊta-\i 'to boil' - cf. Kab. \Ipsˊtǝ-r\i 'hot' /derived from \Ipsˊtǝ-n\i 'boil'/ along with \Isǝr\i 'burning, scorching' = Ad. \Istǝ-r\i 'hot; burning, scorching').
23|*mǝλǝ|18|nail, claw|-pˀχǝ-c|-pˀχǝ/-mχǝ||||    For PAT two compounds may be reconstructed: a) \I*napˀǝ-mǝxǝ\i 'fingernail' (\I*napˀǝ\i 'hand'), whence Abaz. \Inapˀχǝ,\i Abkh. \Ia-napˀχǝˊ-c,\i Bz. \Ia-napˀxǝˊ-cˊ/a-napxǝˊ-sˊ\i (with an additional suffixed -cˊ); b) \I*šˊapˀǝ-mǝxǝ\i 'toenail' \I(*šˊapˀǝ\i 'foot'), whence Abaz. \Išˊamχǝ,\i Abkh. \Ia-šˊapˀχǝˊ-c,\i Bz. \Ia-šˊapˀxǝˊ-cˊ/a-šˊapxǝˊ-sˊ/a-šˊamxǝˊ-sˊ.\i     Initial *m- is clearly visible in the second compound, while in the first it had been lost completely because of dissimilation with the initial n-.     PAT *x goes back to several PWC consonants (*ƛˀ,*ƛ,*λ(*λ:),*x); *-λ- is  chosen here because of EC counterparts. Abdokov (1983, 77) compares the AA form with PAK \I*(p)χʷaˊ-mba\i 'finger' which is semantically dubious and phonetically impossible.      
24|*bǝ˜zˊʷa|695|1 horn 2 hoof 3 nail, claw||šˊa-mza 2|bzˊa 1|bzˊa 1|-žʷa 3|    PAK \I*bzˊa\i (nowadays used mainly in the meaning 'horn for drinking'; 'horn of animals' is rendered by a compound \I*bzˊa-q:ʷa\i q.v.). It is also used in compounds \I*λaˊ-bzˊa\i 'hoof' > Ad. \Iλābzˊ,\i Kab. \Iλābzˊa\i (\I*λa\i 'foot') = Abaz. \Išˊa-mza\i (but despite Шагиров 1, 89 this root has nothing to do with Abaz. \Imsa,\i Abkh. \Ia-msa\i 'horn matter' q.v.) and \I*ʡa-bzˊaˊ-na\i 'fingernail', \I*λa-bzˊaˊ-na\i 'toenail' > Ad. \Iʡabzˊān,\i \Iλabzˊān,\i Kab. \Iʡabzˊāna,\i \Iλabzˊāna\i (\I*ʡa\i 'hand, \I*λa\i 'foot', \I*na\i 'eye' - see Шагиров 1, 249; 2, 156).     Despite Abdokov (1983, 106-107) PAK \I*λaˊ-bzˊa\i with the meaning 'root' is  hard to separate from the homonymous \I*λaˊ-bzˊa\i 'hoof'. That is why Abaz.  \Išˊajʒa\i 'root' (having no Abkhaz counterpart) should rather be regarded as an  old Adygh loanword (although -j- instead of -b- is rather hard to explain).     Ub. \I-žʷa\i (probably with a late dissimilative loss of initial labial) is present in compounds \Iqˀa(n)cʷa-žʷaˊ \i 'fingernail' (\Iqˀancʷa\i 'finger') and \Išˊa(n)cʷa-žʷaˊ \i'toenail' (\Išˊa(n)cʷa\i 'toe'). Abdokov (1983, 82) cites Ub. \Ibžˊa\i  'horn' which is probably non-existant (while Abkh. \Ia-msa\i 'horn', also cited  ibid., goes back to PWC \I*pǝ˜ša\i q.v.).
25|*pǝsǝtA (?)|696|cloud|a-pstħʷa|pstħwa||||    In Abkh. there coexist variants aˊ-pta and aˊ-pstħʷa (bz. aˊ-pstħʷa). The variant aˊ-pta may be explained by a secondary elision of -s- to avoid contamination with a-psta 'ravine' (see Шагиров 2, 28); we may also accept Shagirov's explanation (ibid.) of -ħʷa as an unvoiced variant of *ʕʷa 'smoke' (q.v.). We are thus left with the PAT root *pǝsǝtA 'cloud' whose further etymology is unclear.     Shagirov's attempt (ibid.) to explain *pǝsǝtA from *pǝsǝ 'water, liquid' + *tA 'to give' must be rejected on accent grounds: the root *pǝsA 'to wet, liquid' (q.v.) belongs to the dominant accent class in PAT and we should expect the accentuation *a-psǝˊta (*a-psaˊta) in Abkh. Abdokov's (1973, 27, 64) comparison with PAK *pčˊa 'cloud', *pčˊaˊʁʷa 'fog' must be rejected on phonetic grounds.
26|*pǝƛa|78|cloud|||pšˊa|pša||    PAK \I*pčˊa.\i Shagirov's etymology (2,28) from \I*psǝ-čˊa\i 'bringing water' is not enough grounded phonetically. Since PAK *čˊ regularly goes back to PAT *ƛ we prefer to compare the AK root directly with the EC material.
27|*šʷawǝda ?|697|cloud|||||šawǝdaˊ|    An isolated Ub. word with obscure etymology.
28|*xˊǝ|698|1 cold 2 to get cold, freeze|aˊ-χˊ-šˇašˇa 1|χˊ-šʷašʷa 1|šˊ-tǝ- 2|sˊ-tǝ- 2||    PAT \I*xˊǝ\i is attested both separately (Abaz. \Iχˊ-ra\i 'get cold, cool down') and within compounds (PAT \I*χˊǝ-ta\i 'cold (n.)' > Abkh. \Iaˊ-χˊta,\i Abaz. \Iχˊta,\i \I*χˊǝ-sʷasʷa\i 'cold (adj.)' (with an unclear second component), \I*ʒǝ-χˊǝ\i 'cold water, spring' (Abkh. \Ia-ʒǝˊχˊ,\i Abaz. \Iʒǝχˊ\i).     PAK \I*šˊǝtǝ-\i = PAT \I*xˊǝ-ta.\i Abdokov (1983, 104) attempts to relate the PAT root (separated from PAK)  to Arch. \IχIe-\i 'cold'; this is obviously impossible (the Archi form, along  with a number of other EC reflexes, goes back to PEC and PNC \I*=Hi˘GAˉ\i q.v.).
29|*čˀˊʷǝ (/*čˊʷǝ)|331|cold|||čǝʡa|s˔ˊǝʡa|čˊǝ|    PAK \I*čˀǝ-ʡaˊ\i (in Ad. a secondary dissimilative deglottalisation). It is harder to account for deglottalisation in Ub.; in any case, the PAK and Ub. forms are obviously related. Cf. also Ub. impers. \Ia-čˊǝˊ\i 'it is cold'.     Despite Shagirov (2, 154) PAK \I*čˀˊǝ\i 'winter' .and. \I*pˀǝčˀˊa-\i 'to freeze' should be strictly kept apart from this root (they have a different root consonant); PAT \I*cˀǝʕa\i / \I*cˀǝħa\i 'ice' also should be separated (the PAT *cˀ : PAK *čˀ correspondence does not exist).
30|*jǝ|161|come|a-neˊ-jra|ʕa-jra||||    PAT \I*jǝ,\i used only with locative preverbs (\I*na-jǝ-\i 'come there', \I*ʕa-jǝ-\i 'come here'). There are no known parallels in other WC languages, but there exist possible EC correspondences.
31|*kˀˊʷa|405|go, walk|||kˀʷa-|kˀʷa-|kˀˊa-|    PAK \I*kˀʷa.\i With preverbs the same root is used in AK and Ub. for the meaning 'to come'. Shagirov (1, 216) compares also PAT \I*nǝ-qˀʷa-\i 'walk, move', which is impossible phonetically.
32|*pǝ-sˊʷA|700|1 get tired 2 breathe 3 die|a-ps-raˊ 3|ps-ra 3|psˊǝ-n 1|psˊǝ-n 1|psˊaˊ-χʷǝ- 2|    PAT \I*pǝsˊǝ-\i 'to die', \I*ʕa-pǝsˊa-\i 'to get tired' (Abkh. \Iāˊpsa-ra,\i Abaz. \Iʕapsa-raˊ\i). PAK \I*psˊǝ-.\i In Ub. - a compound whose second component (-χʷǝ-) is not quite clear.     The semantic developments 'to breathe' > 'get tired' and 'get tired' > 'die' are quite usual (cf. also the meanings of the corresponding root in EC).
33|*ƛˀǝ-/*ƛˀa-|24|1 kill 2 die|a-šˊ-raˊ 1|šˊ-ra 1|ƛˀa-n 2|ƛˀa-n 2||    PWC *ƛˀǝ- 'kill' > PAT *šˊǝ-, PAK *ƛˀǝ- (Ad. ƛˀǝ-n 'slaughter', Kab. ƛˀǝ-n 'kill'); *ƛˀa- 'die' > PAK *ƛˀa- id.
34|*dV|701|1 grow numb 2 die 3 dead body||qʷa-di 3|dǝ-jǝ-n 1|di-ji-n 1|dǝ-waˊ- 2|    In AT the root has survived only within the Abaz. compound \Iqʷa-di\i ( < \I*qʷa-dǝ-jǝ;\i for the first part see PWC \I*qˊIʷa\i 'dead body').     The AK languages have preserved the root within three compounds: PAK \I*dǝ-jǝ-\i 'grow numb', \I*dǝ-q:ǝ-\i id. (Ad., Kab. \Idǝq:ǝ-n\i) and \I*ħa-daˊ\i 'dead body'  ( = Abaz. \Iqʷa-di\i id.) > Ad. \Iħāda,\i Kab. \Iħada.\i Both AK verbs have been borrowed by Abaz. (Abaz. \Idǝj-ra,\i \Idǝqˀ-ra\i). There are absolutely no reasons to suppose that the PAK \I*ħadaˊ\i had been borrowed from Ub. \Iaˊ-dǝja\i 'dead body' (despite Шагиров 2, 116-117).     Ubykh preserves the root in the reduplicated form (\Idǝdǝˊ-\i 'grow numb') and in a number of derivates: \Idǝ-waˊ-\i 'to die', \Idǝ-waˊ\i 'death'; \Idǝ-jaˊ\i (def. \Iaˊ-dǝja\i) 'dead body', \Iwaˊ-dǝja-\i 'to perish'. On the possible etymology of the component wa see under \I*qˊIʷa.\i
35|*zʷA|702|to drink|aˊ-žˇ-ra|žʷ-ra|ja-sˇa-n|ja-fa-n|ʒwa-|    PAT \I*zʷǝ-\i (cf. Bz. \Iaˊ-zˇ-ra\i); PAK \I*ja-sʷa-\i (intr.), \I*jǝ-sʷǝ-\i (tr. > Ad. \Ijǝsˇǝ-n,\i Kab. \Ijǝfǝ-n\i); Ub. 1 sg. \Ia-z-ʒʷaˊ-n.\i The PAK form has an irregular unvoiced stop (*-zʷ- should be expected). This is probably due to the influence of \I*psǝ\i 'water' (very frequent in combination with the verb 'to drink').     The original meaning of the root - as it is clearly seen on external evidence - was 'to milk, (to drink milk)'. Derivates from this root mean 'milch cow, cow' in many EC languages. Hence it is natural to relate to this root also PWC \I*zʷǝ\i / \I*mǝ-zʷǝ\i 'cow' (with *mǝ- as a probable deverbative prefix): PAT \I*zʷǝ\i (Abkh. \Iaˊ-žˇ,\i Bzyb. \Iaˊ-zˊˇ,\i Abaz. \Ižʷǝ\i) 'cow', Ub. \Imǝzʷ-ʁǝˊ\i 'heifer'.
36|*ʁʷV|29|to dry out, get dry|a-ʕʷa-raˊ|ʕʷa-ra|ʁʷǝ-n|ʁʷǝ-n|ʁǝ-|    PAT \I*ʕʷa-,\i PAK \I*ʁʷǝ-.\i Not quite clear is the loss of labialization in Ub. The root serves also as a basis for the adjective 'dry' in all languages: Abkh. \Ia-ʕʷaˊ,\i Abaz. \Ijǝ-r-ʕʷu,\i Ad. \Iʁʷǝ-ʁa,\i Kab. \Iʁʷǝ-r,\i Ub. \Iʁ-qˀa.\i
37|*ŁA- / *lˊA-|425|ear|a-lǝˊmħa|lǝmħa|tħākˀʷǝm|tħakˀʷǝma|Lakˀʷǝma|    There are two PWC roots, which are probably later differentiated variants of one original root for 'ear':     a) \I*ŁA-\i in compounds meaning 'ear': PAT \I*lǝ-mǝħa\i (where -ħa must be the same root as PAT \I*ħa\i 'to hear' q.v.; see Ломтатидзе 1955, 824); PAK \I*tħaˊ-kˀʷǝma\i and Ub. \ILaˊ-kˀʷǝma\i (etymology of the second component obscure);     b) \I*lˊA-\i in compounds meaning 'to listen': PAT \I*-ʒˊǝ-rǝ-ʕʷǝ-\i (Abkh. \Iaˊ-ʒrǝʕʷ-ra,\i Bz. \Iaˊ-ʒˊʕʷǝr-ra\i /with metathesis/, Abaz. \Iʒǝrʕʷ-ra\i); PAK \I*da-ʡʷa-\i (Ad., Kab. \Idaʡʷa-n\i); Ub. \ILa-qˀʷǝˊ-.\i Here Shagirov (1, 150) thinks that PAT *ʒˊ corresponds to PAK *d - this is certainly wrong, because in this case (PWC *bˊʷ) we should expect dʷ, and not L in Ubykh. PAT \I*ʒˊǝ-\i in this verb is probably a modification of the reciprocal version prefix *-zˊǝ- (which is semantically rather plausible). The element corresponding to PAK *d and Ub. L here must be PAT *r (*-rǝʕʷǝ-) which (despite Shagirov ibid.), of course, can not be considered a causative prefix (the verb has no causative semantics at all). For the second part of this PWC compound see \I*q:ˊIʷǝ-.\i The root \I*da-\i ( < \I*lˊa-\i) is present in another PAK compound \I*da-gʷǝˊ\i 'deaf' (where -gʷǝ is a privative suffix: "earless"), see Шагиров 1, 145. Judging from the external evidence, the variant with the resonant \I*lˊA\i is original; reasons for its transformation into a lateral affricate in the word for "ear" are yet to be investigated.
38|*ƛˀʷA|514|earth|||čˀǝ|s˔ˊǝ|jǝ-cʷaˊ|    PAK *čˀǝ. Its regular Ub. correspondence is present in Ub. jǝ-cˀʷaˊ- 'on the earth' (preverb); reasons for deglottalisation of -cˀʷ- in the Ub. noun (which is certainly representing the same root) are not yet clear.      This root is to be strictly kept apart from PAK *čˀa 'bottom' which has quite different external parallels.
39|*fV|191|to eat|aˊ-fa-ra|fa-ra|šxǝ-n|šxǝ-n|fǝ-|    PAT \I*fa,\i PAK \I*č-xa-\i (intr.), \I*č-xǝ-\i (tr. > Ad., Kab. \Išxǝ-n\i), Ub. 1 sg.  \Iaˊ-s-fǝ-n\i (cf. also \Ifǝ\i 'forage, food'). A rare case of PWC *f. In PAK obviously a compound, but its first component is not yet clear etymologically.
40|*ŁˊA|35|1 male 2 testiculus|aˊ-ʁˊa 1|-ʁˊ 1|ɣa 2|ɣa 2|-zˊa|    PAT \I*ɣˊa\i / \I*ɣˊǝ\i (the latter form is used in compounds, cf. Abkh. \Ia-tǝˊ-ʁˊ,\i Abaz. \Itǝ-ʁˊ\i 'ram', Abkh., Abaz. \Iabǝ-ʁˊ\i 'he-goat'; also in the meaning "seed, egg", e.g. Abkh. \Ia-kˀʷtˀaˊ-ʁˊ,\i Abaz. \Ikˀʷtˀaʁˊ\i '(hen's) egg'). PAK \I*ɣa.\i     Ub. has also a word \Iɣa\i 'testiculus', but it is obviously an AK loanword. The genuine reflex of PWC \I*ŁˊA\i is Ub. \I-zˊa\i in \Itʷaˊ-zˊa\i 'he-goat' ( = Abkh. \Iabǝʁˊ\i), \Itˀǝ-zˊaˊ\i 'ram' ( = Abkh. \Ia-tǝˊʁˊ\i) and \Iba-zˊaˊ\i 'penis'.
41|*kˀanǝkˀa / *kˀakˀanǝ|507|1 egg 2 nut|a-kˀakˀaˊn 2|kˀakˀan 2|čˀˊančˀˊa 1|||    Cf. also Shaps. \Ikˀˊākˀˊa\i 'egg'. PAT \I*kˀakˀanǝ.\i An expressive word (semantical development is usual: *seed, *fruit-stone > a) nut; b) egg).
42|*kˀa (~ *kˀˊ-)|703|1 seed, fruit-stone  2 egg|||čˀˊa|ǯˊadǝ-čˀa||    PAK \I*kˀa\i (in Kab. preserved only within the compound "hen's seed" = "hen's egg"). Comparison with Ub. \Icˀˊǝ-\i (present in several compounds) proposed by Shagirov (1,160; 2,132) is impossible phonetically.
43|*cˀˊǝ ?|704|egg|||||dǝˊmaˊ-cˀˊ|    The first component is dǝma- 'hen'. The second component has no reliable etymology (cf., perhaps, PAT *ʒˊǝ 'seed' in several compounds?); comparison with PAK *kˀa 'egg, seed' (Шагиров 1, 160-161) is of course untenable.
44|*b-lˊa|34|eye|aˊ-la|la|na|na|bLa|    PAT \I*(bǝ)la\i (in Abkh. dialect variations: \Iaˊ-bla\i and \Iaˊ-la\i). Certain problems are connected with the PAK form \I*na\i : it is certainly related to PAT and Ub. forms (even several identical compounds with the component 'eye' may be observed in AK and other languages), but reasons for nasalisation are not clear (regularly \I*da\i would be expected; note that in this case the root would be homonymous with \I*da\i < \I*lˊA\i 'ear' q.v.).
45|*šˊ:ʷV|705|1 fat 2 oil|a-ššaˊ|šša|ša|sˊa|sʷǝ-qˀaˊ 2|    PAT \I*šša\i (a reduplicated root); PAK \I*š:a\i (cf. Bzhed. \Iš:a\i).
46|*rǝχʷǝ (~t-, d-)|508|1 butter (melted) 2 fat|||tχʷǝ 1|tχʷǝ 1|tχʷǝ 2|    PAK \I*tχʷǝ.\i Ub. \Itχʷǝ\i is hardly a loan from AK because of semantic difference. Despite Abdokov 1973, 68 and Shagirov 1,78 PAT \I*xʷǝ-ša\i 'melted butter' can not be related (the correspondence PAT *xʷ : PAK *χʷ does not exist).     Judging from PAK t- and Ub. t- in Anlaut *r-, *t- or *d- can be reconstructed; *r- is most probable because of external correspondences.
47|*xǝʒǝ ?|706|feather|a-χʒǝˊ|||||    An isolated Abkh. word (cf. also Bz. a-xʒǝˊ) with unclear etymology.
48|*qˀIʷǝ|707|1 hair 2 feather, wool 3 hairless, bald|a-χʷǝˊ 1|qwǝ 1,2|q:ʷǝjǝ 3|q:ʷij 3|qˀIʷǝ 1,2|    PAT \I*qʷǝ\i (cf. also Bz. \Ia-χʷǝˊ;\i in Abaz. the meaning 'a hair' is expressed by a derivate form \Iqʷǝ-c\i). PAK \I*q:ʷǝ-jǝˊ\i (where -jǝ is a privative suffix) - this comparison seems irreproachable to us, whereas the comparison of AA and Ub. forms with PAK \I*xʷǝ-čˀˊa-\i 'to wash (head)', proposed by Shagirov (2, 77) is worse semantically and impossible phonetically.     The old derivate \I*qˀIʷǝ-cǝ\i ( > Abaz. \Iqʷǝc\i) with some irregular processes (loss or metathesis of labialisation) is also reflected in PAT \I*qǝcʷǝ\i > Abkh. \Ia-χcˊˇǝˊ\i (Bzyb. \Ia-χcˊˇǝˊ\i) 'braid, plait', Abaz. \Iqǝčʷ\i "bird's comb", PAK \I*λa-q:ǝca\i (\I*λa\i 'foot') 'shaggy fetlocks'.
49|*Pǝ˜zV|708|1 candle 2 lamp 3 light 4 ray|a-čˇǝˊ-mza 1|mza 2|bzǝj 4|bzij 4|mǝʒaˊ 2,3|    PAT *mǝza (cf. also Bz. \Iaˊ-mza\i 'candle, splinter'; -cˇǝ- in Abkh. goes back to \Ia-cˇaˊ\i "wax"). PAK \I*bzǝˊ-jǝ.\i Ub. def. \Iaˊ-mʒa.\i     Shagirov (1, 94 - 95) relates PAK \I*bzǝˊjǝ\i to \I*bza\i "tongue"; the two roots may indeed have contaminated within some compounds, but originally have been, of course, quite different. The form \I*bzǝˊjǝ\i is also used in Kab. to denote "maize stalk" and both in Ad. and Kab. within the form Ad. \Iq:ā-mzǝj,\i Kab. \Iq:ā-bzij\i "bird's feather" which Shagirov (1, 679) plausibly explains as a distortion of \Iq:az-bzǝj(ǝ\i) "goose feather" (\Iq:az\i < Turk. \Iqaz\i 'goose').
