NUMBER|PROTO|PRNUM|MEANING|DRG|CHR|COMMENT
25|*=aš(:)-|622|come|=aš-es||    Cf. Ur. dur. \I=aš-\i 'come'. With some preverbs the stem means also 'to go away'.
26|*=aḳ-|412|to come||=aḳ- / =iḳ-|    Cf. also Ur. \I=aḳ-\i / \I=iḳ-\i id.
27|*=ibḳ-|24|die|=ebḳ-es|=ebḳ- / =ubḳ-|    Cf. also Ur. \I=ibḳ-/=ubḳ-.\i
28|*ꭓ:Iʷaj|26|dog|ꭓIa|ꭓ:Iwa|    Cf. also Kad. \Iꭓ:Iʷa,\i Kait. \Iꭓ:Iʷa,\i Kub. \Iꭓ:ʷe,\i Muir. \Iꭓʷi,\i Sirg. \IꭓIʷa,\i Ur. \Iꭓʷi\i (pl. \Iꭓuri\i). The Ur. plural \Iꭓur-i\i and Ak. gen. \Iꭓura-la\i reveal the old oblique stem \I*ꭓ:ur-.\i
29|*=i(r)č:-|590|to drink|už-es|=erč:- /=uč:-|    Cf. also Ur. \I=irǯ-/=uǯ-.\i
30|*=erʁʷV-|29|dry|=erub-si|=erʁub-ze|    Cf. also Kharb., Tsud. \I=erʁub-se.\i This adjective is derived from the verb \I*=erʁʷ-\i 'to dry' (Ak. \I=ur-es,\i Ur. \I=irʔʷ-/=urʔʷ-,\i Chir. \I-erʁ-/-urʁʷ-\i).
31|*leħi|425|ear|liħi|lāI|    Cf. also Ur. \Iliħi,\i Kait. \IlaIʕ,\i Kub. \IlaIj,\i Tsud. \Ilaħi\i etc.
32|*gʷanc:a|623|earth|wanza||    Cf. Ur. \Igʷanʒa,\i Kub. \Igʷansa\i id.
33|*ʕanč:i|427|earth|ʕaInži|ʕanč:ĳa|    Cf. also Ur. \Iʕanǯi,\i Kub. \Iʕanč:a,\i Tsud. \Iʕanč:i,\i \Iʕanč:a\i etc.
34|*=i(r)kʷVn-|276|eat|uk-es|=erkʷ- / =uk-|    Cf. also Ur. \I=irkʷ(n)/=uk-\i.
35|*k:ik:ari/k:idik:ari|33|egg|gidgari||    Cf. also Ur. \Igidgari,\i Kharb. \Ik:idik:ari,\i Gapsh. \Ič:ik:ari\i etc. An expressive root, liable to irregular transformations (not clear is the syllable -di- in Inlaut); -ari is probably a former plural suffix.
36|*duqV|506|egg||duqu|    Cf. also Kub. \Iduqe,\i Tsud. \Iduqa\i 'egg'.
37|*ħuli|34|eye|ħuli|ʕule|    Cf. also Ur. \Iħuli,\i Kub. \Iule\i etc.
38|*ꭓIʷali|36|fat (n.)|ħaIli|ꭓIule|    Cf. also Sirg. \Iħʷale,\i Gapsh. \IꭓIali\i etc.
39|*paħIal(a) (/*ṗ-)|430|feather|paIħaIla||    Cf. also Kait. \Ipahal,\i Kub. \IṗuhaIl.\i
40|*c̣a|38|fire|c̣a|c̣a|    Cf. also Ur., Kub., Tsud. \Ic̣a\i etc.
41|*ḳas:|1206|fish||ḳas:|
42|*=ilꭓʷ-/*=ulꭓ-|336|to slaughter||=elꭓʷ-/luꭓ-|    Cf. also Ur. \I=ilhʷ-/=ulh-\i id.
43|*ʔiꭓI-|41|fly (v.)||iꭓI-|    Isolated in Chir., but with secure external parallels. [The notation ꭓ:I in the printed version of the MSU recordings is rather strange; a misspelling?]
44|*q̇Iʷaš:|625|1 foot, leg 2 fist; handful|q̇aIš 1|q̇Iuš: 2|    Cf. also Kad. \Iq̇aš/q̇uš,\i Tsud. \Iq̇Iʷaš/q̇Iuš\i 'foot, leg'; the meaning 'fist' in Chir. is secondary.
45|*nik:a|758|foot, leg; foot bone||nik:a|    Isolated in Chir., but with probable external parallels.
46|*=ic̣-|44|full|=ic̣i=si|=ic̣i=ze|    The word is derived from \I*=ic̣-\i 'to fill' (cf. Ur., Chir. \I=ic̣-/=irc̣-\i).
47|*=(i)k:-/*lVk:-|45|give|g- /lug-|=i(lej)k:-|    Cf. also Ur. \Iɣ-/luɣ-\i 'give'.
48|*ʔaꭓI-|6|good|aħsi|aꭓI-ze|    Cf. also Ur. \IaIħ-,\i Kub. \IaꭓI-.\i
49|*š:iniš(:)-|626|green|šiniša|š:inišze|    Cf. also Kait., Kharb. \Išiniš-.\i
50|*ʁeʒ|627|hair; wool|ʁez||    Cf. also Ur., Kharb., Tsud. etc. \Iʁiz,\i Sirg. \Iʁes,\i Kub. \Iʁis\i 'hair'.
51|*derz|101|hair||derz|
52|*naq:I|629|hand, arm|naIq:|naq:I|    Cf. also Ur., Kait. \Inaq:I,\i Kharb., Tsud. \InaqI\i etc.
53|*beḳ|52|head|beḳ|beḳ|    Cf. also Ur., Kub. \Ibiḳ\i etc.
54|*ʔarʁʷ- / *ʔirʁʷ-|630|1 to hear 2 to understand|arʁ- / irʁ- 1,2|č-arʁʷ- 2|    Cf. also Ur. \Iarʁ-/irʁ-\i 'to hear'.
55|*=aq̇- / =iq̇-|408|to hear||č̣a=aq̇- / =iq̇-|    Isolated in Chir., but with secure external parallels.
56|*ʔurḳi|55|heart|urḳi|urč̣e|    Cf. also Chir. pl. \Iurḳ-be,\i Ur. \Iurḳi,\i Kub. \Iūḳe,\i Tsud. \Iurč̣i\i etc.
57|*mukeki|631|horn|mukeki||    Common to many Darg. dialects, but having no reliable external parallels.
58|*qi|593|horn||qe|    Cf. also Sirg. \Iqi\i id.
59|*nu|2284|I 1 we 2|nu 1, nu-ša 2|nus:a 2|    Cf. also Ur., Muir. \Inu\i 'I', \Inu-ša\i 'we', Tsud. \Ini-š:a,\i Kait., Kub. \Ini-s:a\i 'we'.
60|*du|2283|I (1st p. pr.)||du|    Cf. also Tsud., Sirg., Kait., Kub. \Idu.\i A different phonetic development (*-z > -s) is probably witnessed in the lit. 1st person future ending -s.
61|*-awš(:)- ?|632|kill|kawšes||    Isolated in Darg.; etymology uncertain.
62|*=Vlꭓ:ʷ-/*=ulꭓ:-|633|1 die out  2 kill|alꭓe-s 1|=elꭓ:ʷ-/=ulꭓ:-|    Cf. also Ur. \I=alꭓʷ(n)-/ulꭓ-\i 'die out'.
63|*q̇ʷaq̇ʷa|58|knee|q̇uq̇a|q̇uq̇a|    Cf. also Ur., Kub. \Iq̇uq̇a,\i Kait. \Iq̇ʷaq̇,\i Tsud. \Iq̇ʷaq̇a.\i Interesting is the Kad. form \Iq̇unq̇a,\i probably preserving the archaic nasal resonant.
64|*=aꭓ-/*=uꭓ:Vl-|60|know|=ah-/=al-|ha=a(r)ꭓ-,=uꭓ:-|    Cf. also Ur. \I=ah(r)-/=al-\i id. The form \I=al-\i in Ak. and Ur. is obviously a contraction from \I=ahl-\i (or \I=alh-),\i cf. Chir. \I=uꭓ:ul-.\i The root reveals a rather strange alternation of -ꭓ- and -ꭓ:-.
65|*xʷe|251|seed|he||    Cf. also Kub. \Ixʷe,\i Kait. \Išʷe,\i Ur. \Ihʷi,\i Tsud. \Ihe.\i The word is an old derivate of the verbal root, reflected in PD as \I*=axʷVn-\i (cf. Chir. \I=axʷ(n\i)-/ \I=alxʷ-\i 'to sow, to plough', Ur. \I=aʕʷ(n)-/=alʕʷ-\i 'to sow').
66|*ḳa[p]i|499|leaf|ḳapi|ḳap:ara|    The original *-p- is well preserved in Ak.; however, other dialects reflect secondary assimilated forms \I*ḳaṗi\i (cf. Kad., Ur., Muir. \Iḳaṗi,\i Mek. \Iḳaṗe\i) or \I*ḳap:i\i (cf. Kait., Tsud. \Iḳap:i,\i Kub. \Iḳap:e;\i the Chir. form is an original plural from this variant).
67|*=ax:- /*=alx:-|64|to lie|k-alx-es||    Cf. also (with Ablaut) Chir. \Ike=ix:-\i / \Ike=irx:-\i 'to put', \Iur=ix:-\i / \Iur=irx:-\i 'to hide, conceal', Ak. \I=ix-es\i 'to put', Ur. \I=ix-\i / \I=irx-\i 'to fall'.
68|*=a(l)g-/=u(l)g-|569|to lie||sah=alg-/=ulg-|    Cf. also probably Ur. \I=ag-/=ig-\i 'to get (somewhere)' - although root structure differences between Ur. and Chir. raise some doubts.
69|*duleḳ|65|liver|duleḳ|dilaḳ|    Cf. also Kub. \Idiliḳ,\i Tsud. \Iduleḳ\i 'liver', Ur. \Iduliḳ\i 'lung' etc.
70|*=uqIVn-|418|long|=uqIaIna|=uqIuni-ze|    Cf. also Kait. \I=uqIani-l,\i Kharb. \Iuqena\i id.
71|*nez|67|louse|ner|nez|    Cf. also Ur. \Inirʔ,\i Kub. \Inid,\i Tsud. \Inez\i etc.
72|*murɣul|634|man, husband|murul||    Cf. also Ur. \Imurʔul,\i Muir. \Imurgul\i etc.
73|*-aqal|443|many|d-aqal||
74|*-iʕ- ?|635|many||biʕḳaj|    An isolated Chir. form with unclear etymology.
75|*diɣ|69|meat|diʔ|dig|    Cf. also Ur. \Idiʔ,\i Kub. \Idig,\i Tsud. \Idiɣ\i etc.
76|*bac:|70|1 moon 2 month|baz 2|bac: 1,2|    Cf. also Ur. \Ibaʒ,\i Kub. \Ibac\i (pl. \Ibuc:e\i), Tsud. \Ibac\i 'moon, month'. In the Ak. dialect there exists an etymological doublet: \Ibaz\i 'month' - which is the original form - and \Ibac\i 'moon' which is borrowed from a dialect of the Kub. or Tsud. type.
77|*muʒa|313|mountain, hill|muza||    Cf. also Tsud. \Imuza\i 'shore, bank'.
78|*dumb|636|edge, bank|dub|dum|     Cf. also Ur., Mek., Kharb. \Idub\i 'bank'. From the same root is obviously formed Ak. \Idub-ura,\i Chir. \Idab-ura\i 'mountain'. Although the Chir. form here has lost the nasalization, its former presence is securely confirmed by an old Archi loanword from Darg.: Arch. \Idumpəra\i 'hill'.
79|*muħuli|637|mouth|muħli|mūIle|    Cf. also Kad., Mek., Ur., Kharb. \Imuħli,\i Gapsh. \ImuIħli,\i Kub. \Imūle,\i Tsud. \ImuħuIli\i 'mouth'.
80|*zʷe|72|name|u|zu|    Cf. also Ur., Muir. \Ii,\i Kait., Kharb., Tsud., Sirg. \Izu,\i Kub. \Idi-bala\i (a former "double" plural form).
81|*qIʷab|638|1 neck 2 collar|qaIb 1|qIʷab 2|    Cf. also Ur., Tsud. \IqIʷab,\i Kub. \IqIab\i 'neck' etc.
82|*s:urs:|639|1 throat 2 neck|surs 1|sus 2|    Chir. sus is probably a misspelling instead of \Is:us:,\i cf. Tsud. \Is:urs:\i 'gullet' and the Lak. loanword \Is:urs:u\i 'neck'.
83|*s:ak:a-|640|new|saga-si||    Cf. also Ur. saga-, Tsud. s:ak:a-se 'new'.
84|*c̣i-|73|new||c̣ize|    Cf. also Kharb. \Ic̣i-s:e\i 'new'.
85|*duk:i|641|night|dugi|duč:e|    Cf. also Ur. \Idugi,\i Tsud., Kait. \Iduč:i,\i Kub. \Iduč:e\i etc. With Ablaut cf. also Ak. \Idag\i < \I*dak:\i 'yesterday (night)'.
86|*q:Iʷanq:I|76|nose|q:aInq:|q:Iuq:I|    Cf. also Ur. \Iq:Iʷanq:I,\i Tsud. \Iq:IʷanqI,\i Kub. \Iq:IʷaqI\i etc.
87|*ħe|2274|not (neg. particle)|ħe||
88|*ca|2314|one|ca|ca|    Cf. also Ur. \Ica,\i Kub. \Isa\i etc.
89|*mark(ʷ)a|78|rain; dew|marka||    Cf. also Ur., Kait. \Imarka,\i Kub. \Imāka\i etc. Labialisation seems to be preserved in Tsud. \Imarkʷa,\i and also in Arch. \Imakʷ\i 'dew' which is an old loanword from Darg.
90|*dus- ?|642|rain||dusre|    Isolated in Chir.; etymology obscure.
91|*ħVnṭin-|323|red|ħunṭena|ʕaṭinze|    Cf. also Ur., Tsud. \Iħinṭina,\i Sirg. \Iinṭin-,\i Kait. \Iiṭin-il\i etc.
92|*x:ʷini|227|road|huni|x:une|    Cf. also Ur., Muir. \Ihuni,\i Tsud., Kait. \Ix:uni,\i Kub. \Ix:une\i etc.
93|*maq̇I|643|root|maIq̇||    Cf. also Ur., Tsud. \ImaIq̇.\i
94|*marq:ʷa|127|1 stump 2 root|marq:a 1|marq:wa 2|
95|*gulgul-/*gurgur-|84|round|žuruga|gulgulze|The root is expressive and liable to irregular changes. Cf. also Kharb. \Igurgura,\i Sirg. (with metathesis) \Irugrug-ce.\i Some dialects (like Ak.) reflect a quite irregular change *g- > ž-, cf. also Ur. \Ižuruga,\i Tsud. \Ižuruk:a-se,\i Muir. \Ižuruk:a\i etc.
96|*ʔV-|85|to say|es|ī (inf.)|    Cf. also Ur. \Iʔ-\i (pret. \Ii-ra,\i \Ia-di\i) id., Chir. aor. \Ii-b,\i inf. \Iī.\i
97|*=iḳʷ-|594|1 to call 2 to say|=iḳ-es 1|=uḳ- 2|    Cf. also Ur. dur. \I=iḳʷ-\i 'to say, speak'.
98|*=ahI-|87|see|če=iʔ-|=aIh-|    Cf. also Ur. \I=aʔ-/=iʔ-.\i In Chir. the verb has the dur. stem \I=alhI-,\i fut. \I=arhI-\i and belongs to the -n-conjugation; thus the precise nature of the PD paradigm is not yet clear (in particular, not clear are reasons for the loss of the Inlaut resonant -r- in most forms).
99|*=iš(:)-ṭV-|646|small|=išṭal||    The stem contains an expressive suffix *-ṭV-. Without it cf. perhaps Ak. \IʕaIš-si\i 'small, little' (although the initial ʕ- is not quite clear).
100|*-iɣ-/*-irɣ-|645|to sit|ka-j(r)es|čerk=i- /=irɣ-|    Cf. also Ur. xa-iʔ-/xa-irʔ- 'sit, sit down'; dur. -uʔ- 'live, stay'.
101|*k:uli|306|1 skin 2 sheepskin|guli 1,2|k:ule 2|    Cf. also Ur. \Iɣuli,\i Kub. \Ik:ule\i 'skin, hide' etc.
102|*wana-|111|warm|wana-si||
103|*=is:Vn-/*=us:(Vn)-|283|to sleep|us-es|ke=is:Vn-/=ils:|    Cf. also Ur. \I=is(n)-/=ils-\i 'lie down', dur. \I=us-\i 'sleep'.
104|*niḳV-|330|small||niḳaze|    Isolated in Chir. (cf. also \Iniḳ-el\i 'child'), but with probable external parallels.
105|*k:aw|294|smoke|gaw||    Cf. also Ur. \Igaw,\i Gapsh. \Ik:aw\i etc.
106|*ɣerɣʷa|423|smoke||jergʷa|    Common to some Darg. dialects (with *ɣ- reflected as j- and ž-).
107|*=ic:Vr-/=ilc:-|95|to stand|ṭaš-ilz-|ka=arc:-/=urc:-|    Cf. also Ur. \I=iz(r)-/=ilz-\i 'to stand, stand up', Chir. \Ihe=ic:-\i / \Ihe=irc:-\i 'to stand up'. The verb reflects several old Ablaut grades.
108|*zuri|357|star|urʔi|zure|    Cf. also Ur., Kad. \Iurʔi,\i Sirg., Kait., Tsud. \Izuri,\i Kub. \Idī/diʔi.\i
109|*q:arq:a|648|stone|q:arq:a|q:arq:a|    Cf. also Ur., Tsud. \Iq:arq:a,\i Kub. \Iq:āq:a\i etc.
110|*berħi|99|sun; day|berħi|bare|    Cf. also Ur. \Ibarħi,\i Tsud. \Ibēri,\i Kad. \Iberħi,\i Kub. \Ibē\i etc. Note that the Ak. dialect has an etymological doublet: \Iberħi\i 'sun', but \Ibarħi\i 'day' - the latter obviously borrowed from Ur.
111|*kurṭ- ?|649|swim|kurṭiḳes||    Isolated in Darg.; etymology unclear.
112|*ḳimi (~-e-)|480|tail||č̣ime|
113|*tV-|2302|demonstrative stem|it|it, taʕ|    Used for far deixis in Darg., in compounds with other deictic particles (mostly \I*ʔi-\i).
114|*ʔi-|2309|demonstrative stem|i-š,i-l|ī|    Used for near deixis in Chir., and generally in all demonstrative pronouns (joined to other deictic particles) in Ak. Cf. also Chir. \Ij-aʕ-ma\i 'here'.
115|*ħu|2286|thou (2d p.pr.)|ħu|ʕu|    Cf. also Ur. \Iħu,\i Tsud. \IʕuI,\i Kub. \IuI,\i Kait. \Ii;\i note also an interesting  form (with inexplicable g-) Sirg. \Igu.\i
116|*mec:/*lec:mi|102|tongue|lezmi, mez|mec:|    The Darg. dialects reflect two forms: \I*mec:\i and \I*lec:mi/*lemc:i\i which are obviously old dialectal variations of a single stem \I*melc:(i)\i (regularly > \I*mec:;\i with metathesis > \I*lec:mi/*lemc:i\i). Cf., on one hand, Chir. \Imec:,\i Ak. \Imez,\i Ur. \Imiʒ,\i Gapsh. \Imec;\i on the other - Ak. \Ilezmi,\i Kad. \Ilimzi,\i Mek. \Iliʒmi,\i Sirg. \Iliʒme,\i Kait. luc:umi, Kharb., Tsud. \Ilimc:i.\i In some dialects the two forms coexist (cf. the Ak. situation, and also Kub. \Imuc:ul\i / \Imic,\i Tsud. \Ilimc:i\i / \Imec\i). This all is due to intensive dialectal mixture within Darg. (see also notes to \I*lāmV\i 'lick').
117|*cula|104|tooth|cula|cula|    Cf. also Ur., Tsud. \Icula,\i Kub. \Isula\i etc.
118|*k:alk:V|461|1 tree 2 branch|galga 1|k:alč:e 2|    Cf. also Ur. \Igalga,\i Kait., Kharb. \Ik:alk:a\i 'tree' etc.
119|*t:ult:V /*t:alt:V|651|tree||t:alt:e|    Cf. also Tsud. \It:ult:a,\i Kub. \It:ūt:a\i 'tree'. The form is probably a reduplication (under influence of \I*k:alk:V\i 'tree, branch' q.v.) of the simple root \I*t:al\i reflected in Sirg. \It:al\i 'post'.
120|*ḳʷi|2315|two|ḳe-l|č̣ʷa-l|    Cf. also Ur. \Iḳʷi,\i Kub. \Iḳʷe\i etc.
121|*š:a / *s:a|2287|1 we 2 we (excl.)|nu-ša 1|nu-s:a 2|    In PD there existed an opposition \I*nu-š:a\i 'we (excl.)' - \I*nu-x:a\i 'we (incl.)', directly reflected in Chir. (although the reasons for *-š:- > -s:- are not quite clear). The 1st part of these compounds is \I*nu\i "I" q.v. Most Darg. dialects - except Chir. - have lost this opposition and have only one pronoun "we", cf. Ur., Muir. \Inuša,\i Kait. \Inis:a,\i Tsud. \Iniš:a,\i Kub. \Inis:a.\i Moreover, in most dialects the second part of the compound was reinterpreted as some kind of plural marker and influenced the formation of the 2d p. pl. pronoun (Ak., Ur. \Iħuša\i etc.).
122|*ʔaɣ-|652|to walk, to go||ag- / arg-|    Parallels in other Darg. dialects are not clear, but there are possible external correspondences.
123|*=ah-/*=ih(r)-|161|to go|=ir-es|=a- (ej)|    Cf. also Ur. \I=ih-/=ir-\i 'go'.
124|*hIamḳ-|653|warm||ħaImḳze|    Isolated in Chir., with obscure etymology.
125|*xin|112|water|šin|šin|    Cf. also Ur., Kub. \Išin,\i Sirg. \Ihin\i (the latter pointing to PD *x-).
126|*x:a|2288|we (incl.)||nu-x:a|    The form is lost in literary Darg. and most Darg. dialects, where the opposition between inclusive/exclusive was neutralized.
127|*s(:)e|2298|what|se|ce|    The Chir. form has a secondary affricate (either under influence of ča 'who', or under influence of Lak. ci 'what'), thus the intensity of PD *s(:)- can not be established.
128|*c̣ub-|298|white|c̣uba|c̣ubze|    Cf. also Kub. \Ic̣ub.\i
129|*čV-|2299|interrogative pronoun|či|ča|    Ak. \Iči,\i Chir. \Iča\i 'who'. Cf. from the same root PD \I*čum\i 'how many' (Ak., Chir. \Ičum\i etc.).
130|*x:unul|144|woman|xunul||    Cf. also Ur., Tsud., Kub. \Ixunul.\i
131|*xadi|123|woman||xade|    Isolated in Chir., but with good external parallels.
132|*=uqu-|117|yellow|b-uqu-ṭa|b-uqu-ze|    Cf. also Kait., Tsud. \Ib-uqu-ṭa,\i Ur. \Ib-uqu-c̣a,\i Kub. \Ib-uqu-zi-b\i etc.
133|*-arꭓ(:)-|109|far||b-arꭓ-le|    Isolated in Chir., but with good external parallels.
134|*=eḳʷ-|305|heavy|d-eḳ-si|=eḳʷ-ze|    Cf. also Ur. \I=iḳ-,\i Tsud. \I=eḳʷ-,\i Kharb. \I=eḳ-\i etc.
135|*ʁam-|609|near|ʁam-si|ʁamle|
136|*c:e|356|salt|ze|c:e|    Cf. also Ur. \Iʒi,\i Kub., Tsud., Kait. \Ic:e\i etc.
137|*kuṭ-|314|short||kuṭze|    Cf. also Kait. \Ikuṭi-l\i id.
138|*malʕun|685|snake||maIlʕun|    Cf. also kub. maIlʕuIn id.
139|*=uḳul-|121|thin|b-uḳula|uḳuli-ze|    Cf. also Ur. \Iuḳu-.\i
140|*buḳumV|20|wind||buḳume|
141|*milaq:Iʷ|325|worm|miliq:|milaq:Iʷ|    Cf. also Ur. (Uslar) \Imulerq:,\i Ak. (Musayev) \ImilaIq:,\i Kub. \ImāIqʷ.\i
142|*dus:|122|year|dus|dus:|    Cf. also Ur., Kub. \Idus\i etc.
143|*haraq-|597|far|haraq-si||
144|*q:anṭa|655|short|q:anṭa||    Cf. also Sirg. \Iq:anṭa\i 'dock-tailed'. Darg. is the probable source of Lak. \Iq:anṭa-\i 'short'.
145|*č̣ič̣ala|656|snake|č̣ič̣ala||    Cf. also Ur., Gapsh., Tsud. \Ič̣ič̣ala\i id.
146|*t:ʷaʕ (~dʷ-,-hI)|657|wind|daIʕ||    Cf. Ur. \IdʷaIʕ\i id.
147|*ʕarč̣imi (~*H-)|658|eagle||ʕarč̣ime|    Isolated in Chir., but with probable external parallels.
148|*gal(i)|35|son, boy||ɣale|    Cf. also Kad., Kub. \Igal,\i Sirg., Tsud. \Igali\i etc.
149|*s:a|668|yesterday||s:a|   Cf. also Itsar., Kait. \Is:a.\i
150|*ḳʷenṭ|669|lip|ḳenṭ||    Cf. also Ur. \Iḳʷinṭ,\i Kub. \Iḳʷinṭ,\i Tsud. \Ič̣inṭ,\i Kait. \Ič̣ʷenṭ\i etc.
151|*=ubx- / *=ejx-|168|1 to temper (steel) 2 to catch fire|=ubš-es 1|=ejx- 2|    Cf. also Ur. \I=ubš/=ubš\i 'to temper (steel)'.
152|*c̣aIb- (~-p:-)|690|dark|c̣aIb-si||    Cf. also Ur. \Ic̣aIb,\i Kub. \Ic̣aIb-ʁ\i 'darkness', Kharb. \Ic̣ab-se,\i Kait. \Ic̣aIm-q̇il\i 'dark'.
153|*daḳ-|691|back||daḳ-ne|    Isolated in Chir., but with reliable external correspondences.
154|*=erc:-/=uc:-|694|roast (grain)||=erc:-/=uc:-|    Cf. also Ur. \I=irz-/=uz-\i id.
155|*=i(r)c:-|702|to milk|=iz-es|=irc:- / ic:-|    Cf. also Ur. \I=irz-/=iz-.\i
156|*nerꭓ:|508|melted butter|nerꭓ||    Cf. also Ur. \Inirꭓ,\i Kub. \Inēꭓ,\i Kharb. \Inerꭓ:.\i
157|*q̇ama|707|1 hairdo; fringe, forelock 2 plait|q̇ama 1|q̇ama 2|    Cf. also Ur. \Iq̇ama\i 'hairdo', Tsud. \Iq̇ama\i id., Kub., Tsud. \Iʁal-q̇ama\i 'mane'. Lak. \Iq̇ama\i 'mane' is probably borrowed from Darg. The suffixed form \I*q̇am-či\i > \I*q̇ači\i is reflected in Kait., Kharb. \Iq̇ači,\i Kub. \Iq̇ače\i 'braid, plait'.
158|*ʔamzu-(r)/*marzu-|299|clean, pure|umu-si|marz-ze|    Cf. also Ur. \Iamʔu-r,\i Kait. \Iumzu-ci,\i Kharb. \Iumu-se,\i Tsud. \Iunzu-se.\i
159|*š:aꭓ:ʷa|714|1 pus 2 mould|šaꭓa 1|š:aꭓ:ʷa 2|    Cf. also Tsud., Kharb., Kait. \Iš:aꭓ:a\i 'pus'.
