"NUMBER","PROTO","PRNUM","MEANING","ABK","ABA","ADG","KAB","UBK","COMMENT"
  11,"*gəʒa ?", 688,"big","","","","","ǵəʒa","    Isolated in Ub. with obscure etymology."
  12,"*bəšA (?-s-)", 617,"1 bird 2 wing 3 fly","a-psā́(ṭʷ) 1","pssʕa- 3","bzəwə 1","bzuw 1","bzā-pá 2","    PAT \I*pəśə-ʕa-\i (cf. also Bz. \Ia-pśā́,\i \Ia-pśā́-ṭʷ\i 'bird', Abaz. \Ipssʕa-č̣ʷə\i id.); -ʕa is obviously a suffix. PAK \I*bzə-wə́\i (where -wə is an archaic diminutive suffix). §    Reconstruction of PAT *ś (and, therefore, PWC *š) is based on Abkh. Bzyb. evidence quoted in Marr's dictionary; since Bghazhba has not included the word in his book, it may well be Marr's misspelling - in that case we must reconstruct simply PAT \I*pəsə-ʕa-\i and PWC \I*bəsA.\i"
  13,"*ʁʷəndʷA", 689,"1 gadfly 2 small bird, bird","","","ʁʷədə 1","ʁʷəda 1","ʁʷə(n)dʷə́ 2","    Deriving Ub. \Iʁʷə(n)dʷə́ \ifrom \Iʁʷənə\i 'tree' (see Dirr 77) is obviously a folk etymology. Kab. \Iʁʷəda\i > Abaz. \Iʕʷəda\i (see Шагиров 1, 137)."
  14,"*q̇IA", 277,"to bite","á-c-ħa-ra","c-ħa-ra","ja-ca-q:a-n","(ja)-ʒa-q:a-n","q̇Iə-","    Cf. also Abkh. Bz. \I-c-ħa-,\i Ub. 1st p. \Isə́-q̇Iə-n.\i In PAT and PAK present is a compound with 'tooth' as a first component: PAT \I*cə-ħa-,\i PAK \I*c:a-q:a-.\i     PAT *ħ reflects rather PWC *q̇Í (with palatalization due to Ablaut?); the normal reflex q̇ is present in the reduplicated form PAT \I*q̇aq̇A\i (Abkh. \Iá-q̇aq̇a-ra,\i Abaz. \Iq̇aq̇-ra\i) = Ub. \Iq̇Iaq̇Iə-\i 'to chew'."
  15,"*c̣ʷa", 690,"black","á-jkʷa-č̣̌a","kʷa-jč̣ʷa","s.́̌ə-c̣a","f̣ə-c̣a","ǯ́a","    The PAT form is a compound \I*jəkʷa-c̣ʷa\i (for the first part cf. Abkh. \Ia-jkʷá\i dark'). \I-c̣ʷa\i can not be treated here as the same root as PAT \I*jac̣ʷa\i 'blue, green' (q.v.) for accentological reasons: \Ia-jkʷá(j)č̣a\i would be expected in Abkh.).     §    The PAK word \I*c̣ʷəc̣a\i 'black' goes back (as proposed by Шагиров 2, 103) to \I*c̣ʷə\i 'black' + \I*ṗc̣a-\i 'thick, dense' with secondary elision of -ṗ-; the root \I*c̣ʷA\i 'black' is used also in a number of other compounds.     §    Since exactly the same correspondence is present in the word for 'fire' (q.v.) one can not separate the Ub. form from the rest, but problems remain: we have to account for deglottalisation and delabialisation of the root consonant. We can, however, suppose that the original form is still preserved in the word for 'coal': Ub. \Iǵá(n)-c̣ʷa,\i cf. PAK \I*c̣ʷa-məč̣́ə\i id."
  16,"*λ́A",1445,"blood","a-š́á","š́a","λə","λə","λa","    PAT \I*š́a,\i PAK \I*λə.\i Ub. def. \Ia-λá.\i"
  17,"*bəq:Iʷə (~p:-,-ə̃-)", 902,"1 bone 2 carcass, skeleton","á-baʕʷ 1","bʕʷə 1","p:q:ə 2","p:q:ə 2","","    PAT \I*bAʕʷə,\i PAK \I*p:q:ə\i (with dissimilatory delabialisation). Ub. \Ipqə\i (\Iá-pq\i) 'bone' is considered (see Шагиров 2,48) an Adygh loan (as also Abaz. \Iṗq̇ə\i 'carcass, skeleton'), which must be true (otherwise we should expect pharyngealised -qI(ʷ)- in Ub.)."
  18,"*ḳəḳa", 791,"female breast, teat","a-ḳə́ḳa","ḳəḳa","","","","   PAT \I*ḳəḳa.\i"
  19,"*bəʒə (~-ǯ-)", 273,"female breast, teat","","","bəʒə","bəʒ","bəʒ","    PAK \I*bəʒə́.\i There are no special reasons to treat Ub. \Ibəʒ\i as an Adygh loanword (the correspondences are all right). An expressive stem (with parallels only in Agul)."
  20,"*ŁIʷa",  26,"dog","a-lá","la","ħa","ħa","wIa","    PAT \I*la,\i PAK \I*ħa;\i Ub. def. \Iá-wIa.\i The Ub. pharyngealization suggests the PAT form \I*ŁIʷaI;\i since, however, in PAT only uvulars and labials could have been pharyngealized, this probably means that we have in fact to reconstruct an early form with a cluster like \I*l-χIʷa\i or \I*χIʷla.\i It is possible that such a PAT cluster can reflect an earlier combination \I*χIʷr-\i (cf. another example of the same kind, PAT \I*Łʷa-\i 'to grind')."
  21,"*bəlA", 693,"1 burn 2 burn, shine (intr.)","a-bə́l-ra 1","bəl-ra 1","bLa- 2","bLa- 2","","    PAT \I*bələ-,\i PAK \I*bəLa-.\i"
  22,"*cA", 694,"1 burn 2 hot","a-cá 2","","stə-n 1","sə-n 1","ca- 1,2","    Cf. also Abkh. Bzyb. \Ia-cá\i id. PAK \I*sə\i / \I*stə.\i The AK intransitive verb is rarely used; more frequent is the derivate Ad. \Iʁa-stə-n,\i Kab. \Iʁa-sə-n\i 'to burn'. Origins of Ad. -t- are not very clear (perhaps a contamination with \Ipš́ta-\i 'to boil' - cf. Kab. \Ipśtə-r\i 'hot' /derived from \Ipśtə-n\i 'boil'/ along with \Isər\i 'burning, scorching' = Ad. \Istə-r\i 'hot; burning, scorching')."
  23,"*məλə",  18,"nail, claw","-ṗχə-c","-ṗχə/-mχə","","","","    For PAT two compounds may be reconstructed: a) \I*naṗə-məxə\i 'fingernail' (\I*naṗə\i 'hand'), whence Abaz. \Inaṗχə,\i Abkh. \Ia-naṗχə́-c,\i Bz. \Ia-naṗxə́-ć/a-napxə́-ś\i (with an additional suffixed -ć); b) \I*š́aṗə-məxə\i 'toenail' \I(*š́aṗə\i 'foot'), whence Abaz. \Iš́amχə,\i Abkh. \Ia-š́aṗχə́-c,\i Bz. \Ia-š́aṗxə́-ć/a-š́apxə́-ś/a-š́amxə́-ś.\i §    Initial *m- is clearly visible in the second compound, while in the first §it had been lost completely because of dissimilation with the initial n-. §    PAT *x goes back to several PWC consonants (*ƛ̣,*ƛ,*λ(*λ:),*x); *-λ- is  §chosen here because of EC counterparts. Abdokov (1983, 77) compares the AA §form with PAK \I*(p)χʷá-mba\i 'finger' which is semantically dubious and §phonetically impossible. § § § § § §"
  24,"*bə̃źʷa", 695,"1 horn 2 hoof 3 nail, claw","","š́a-mza 2","bźa 1","bźa 1","-žʷa 3","    PAK \I*bźa\i (nowadays used mainly in the meaning 'horn for drinking'; 'horn of animals' is rendered by a compound \I*bźa-q:ʷa\i q.v.). It is also used in compounds \I*λá-bźa\i 'hoof' > Ad. \Iλābź,\i Kab. \Iλābźa\i (\I*λa\i 'foot') = Abaz. \Iš́a-mza\i (but despite Шагиров 1, 89 this root has nothing to do with Abaz. \Imsa,\i Abkh. \Ia-msa\i 'horn matter' q.v.) and \I*ʡa-bźá-na\i 'fingernail', \I*λa-bźá-na\i 'toenail' > Ad. \Iʡabźān,\i \Iλabźān,\i Kab. \Iʡabźāna,\i \Iλabźāna\i (\I*ʡa\i 'hand, \I*λa\i 'foot', \I*na\i 'eye' - see Шагиров 1, 249; 2, 156). §    Despite Abdokov (1983, 106-107) PAK \I*λá-bźa\i with the meaning 'root' is  hard to separate from the homonymous \I*λá-bźa\i 'hoof'. That is why Abaz.  \Iš́ajʒa\i 'root' (having no Abkhaz counterpart) should rather be regarded as an  old Adygh loanword (although -j- instead of -b- is rather hard to explain). §    Ub. \I-žʷa\i (probably with a late dissimilative loss of initial labial) is present in compounds \Iq̇a(n)cʷa-žʷá \i 'fingernail' (\Iq̇ancʷa\i 'finger') and \Iš́a(n)cʷa-žʷá \i'toenail' (\Iš́a(n)cʷa\i 'toe'). Abdokov (1983, 82) cites Ub. \Ibž́a\i  'horn' which is probably non-existant (while Abkh. \Ia-msa\i 'horn', also cited  ibid., goes back to PWC \I*pə̃ša\i q.v.)."
  25,"*pəsətA (?)", 696,"cloud","a-pstħʷa","pstħwa","","","","    In Abkh. there coexist variants á-pta and á-pstħʷa (bz. á-pstħʷa). The variant á-pta may be explained by a secondary elision of -s- to avoid contamination with a-psta 'ravine' (see Шагиров 2, 28); we may also accept Shagirov's explanation (ibid.) of -ħʷa as an unvoiced variant of *ʕʷa 'smoke' (q.v.). We are thus left with the PAT root *pəsətA 'cloud' whose further etymology is unclear.     Shagirov's attempt (ibid.) to explain *pəsətA from *pəsə 'water, liquid' + *tA 'to give' must be rejected on accent grounds: the root *pəsA 'to wet, liquid' (q.v.) belongs to the dominant accent class in PAT and we should expect the accentuation *a-psə́ta (*a-psáta) in Abkh. Abdokov's (1973, 27, 64) comparison with PAK *pč́a 'cloud', *pč́áʁʷa 'fog' must be rejected on phonetic grounds."
  26,"*pəƛa",  78,"cloud","","","pš́a","pša","","    PAK \I*pč́a.\i Shagirov's etymology (2,28) from \I*psə-č́a\i 'bringing water' is not enough grounded phonetically. Since PAK *č́ regularly goes back to PAT *ƛ we prefer to compare the AK root directly with the EC material."
  27,"*šʷawəda ?", 697,"cloud","","","","","šawədá","    An isolated Ub. word with obscure etymology."
  28,"*x́ə", 698,"1 cold 2 to get cold, freeze","á-χ́-š̌aš̌a 1","χ́-šʷašʷa 1","š́-tə- 2","ś-tə- 2","","    PAT \I*x́ə\i is attested both separately (Abaz. \Iχ́-ra\i 'get cold, cool down') and within compounds (PAT \I*χ́ə-ta\i 'cold (n.)' > Abkh. \Iá-χ́ta,\i Abaz. \Iχ́ta,\i \I*χ́ə-sʷasʷa\i 'cold (adj.)' (with an unclear second component), \I*ʒə-χ́ə\i 'cold water, spring' (Abkh. \Ia-ʒə́χ́,\i Abaz. \Iʒəχ́\i). §    PAK \I*š́ətə-\i = PAT \I*x́ə-ta.\i Abdokov (1983, 104) attempts to relate the PAT root (separated from PAK)  to Arch. \IχIe-\i 'cold'; this is obviously impossible (the Archi form, along  with a number of other EC reflexes, goes back to PEC and PNC \I*=HĭGĀ\i q.v.)."
  29,"*č̣́ʷə (/*č́ʷə)", 331,"cold","","","čəʡa","ṣ́əʡa","č́ə","    PAK \I*č̣ə-ʡá\i (in Ad. a secondary dissimilative deglottalisation). It is harder to account for deglottalisation in Ub.; in any case, the PAK and Ub. forms are obviously related. Cf. also Ub. impers. \Ia-č́ə́\i 'it is cold'.     Despite Shagirov (2, 154) PAK \I*č̣́ə\i 'winter' .and. \I*ṗəč̣́a-\i 'to freeze' should be strictly kept apart from this root (they have a different root consonant); PAT \I*c̣əʕa\i / \I*c̣əħa\i 'ice' also should be separated (the PAT *c̣ : PAK *č̣ correspondence does not exist)."
  30,"*jə", 161,"come","a-né-jra","ʕa-jra","","","","    PAT \I*jə,\i used only with locative preverbs (\I*na-jə-\i 'come there', \I*ʕa-jə-\i 'come here'). There are no known parallels in other WC languages, but there exist possible EC correspondences."
  31,"*ḳ́ʷa", 405,"go, walk","","","ḳʷa-","ḳʷa-","ḳ́a-","    PAK \I*ḳʷa.\i With preverbs the same root is used in AK and Ub. for the meaning 'to come'. Shagirov (1, 216) compares also PAT \I*nə-q̇ʷa-\i 'walk, move', which is impossible phonetically."
  32,"*pə-śʷA", 700,"1 get tired 2 breathe 3 die","a-ps-rá 3","ps-ra 3","pśə-n 1","pśə-n 1","pśá-χʷə- 2","    PAT \I*pəśə-\i 'to die', \I*ʕa-pəśa-\i 'to get tired' (Abkh. \Iā́psa-ra,\i Abaz. \Iʕapsa-rá\i). PAK \I*pśə-.\i In Ub. - a compound whose second component (-χʷə-) is not quite clear. §    The semantic developments 'to breathe' > 'get tired' and 'get tired' > 'die' are quite usual (cf. also the meanings of the corresponding root in EC)."
  33,"*ƛ̣ə-/*ƛ̣a-",  24,"1 kill 2 die","a-š́-rá 1","š́-ra 1","ƛ̣a-n 2","ƛ̣a-n 2","","    PWC *ƛ̣ə- 'kill' > PAT *š́ə-, PAK *ƛ̣ə- (Ad. ƛ̣ə-n 'slaughter', Kab. ƛ̣ə-n 'kill'); *ƛ̣a- 'die' > PAK *ƛ̣a- id."
  34,"*dV", 701,"1 grow numb 2 die 3 dead body","","qʷa-di 3","də-jə-n 1","di-ji-n 1","də-wá- 2","    In AT the root has survived only within the Abaz. compound \Iqʷa-di\i ( < \I*qʷa-də-jə;\i for the first part see PWC \I*q́Iʷa\i 'dead body'). §    The AK languages have preserved the root within three compounds: PAK \I*də-jə-\i 'grow numb', \I*də-q:ə-\i id. (Ad., Kab. \Idəq:ə-n\i) and \I*ħa-dá\i 'dead body'  ( = Abaz. \Iqʷa-di\i id.) > Ad. \Iħāda,\i Kab. \Iħada.\i Both AK verbs have been borrowed by Abaz. (Abaz. \Idəj-ra,\i \Idəq̇-ra\i). There are absolutely no reasons to suppose that the PAK \I*ħadá\i had been borrowed from Ub. \Iá-dəja\i 'dead body' (despite Шагиров 2, 116-117). §    Ubykh preserves the root in the reduplicated form (\Idədə́-\i 'grow numb') and in a number of derivates: \Idə-wá-\i 'to die', \Idə-wá\i 'death'; \Idə-já\i (def. \Iá-dəja\i) 'dead body', \Iwá-dəja-\i 'to perish'. On the possible etymology of the component wa see under \I*q́Iʷa.\i"
  35,"*zʷA", 702,"to drink","á-ž̌-ra","žʷ-ra","ja-ša-n","ja-fa-n","ʒwa-","    PAT \I*zʷə-\i (cf. Bz. \Iá-ž-ra\i); PAK \I*ja-sʷa-\i (intr.), \I*jə-sʷə-\i (tr. > Ad. \Ijəšə-n,\i Kab. \Ijəfə-n\i); Ub. 1 sg. \Ia-z-ʒʷá-n.\i The PAK form has an irregular unvoiced stop (*-zʷ- should be expected). This is probably due to the influence of \I*psə\i 'water' (very frequent in combination with the verb 'to drink').     The original meaning of the root - as it is clearly seen on external evidence - was 'to milk, (to drink milk)'. Derivates from this root mean 'milch cow, cow' in many EC languages. Hence it is natural to relate to this root also PWC \I*zʷə\i / \I*mə-zʷə\i 'cow' (with *mə- as a probable deverbative prefix): PAT \I*zʷə\i (Abkh. \Iá-ž̌,\i Bzyb. \Iá-ź̌,\i Abaz. \Ižʷə\i) 'cow', Ub. \Iməzʷ-ʁə́\i 'heifer'."
  36,"*ʁʷV",  29,"to dry out, get dry","a-ʕʷa-rá","ʕʷa-ra","ʁʷə-n","ʁʷə-n","ʁə-","    PAT \I*ʕʷa-,\i PAK \I*ʁʷə-.\i Not quite clear is the loss of labialization in Ub. The root serves also as a basis for the adjective 'dry' in all languages: Abkh. \Ia-ʕʷá,\i Abaz. \Ijə-r-ʕʷu,\i Ad. \Iʁʷə-ʁa,\i Kab. \Iʁʷə-r,\i Ub. \Iʁ-q̇a.\i"
  37,"*ŁA- / *ĺA-", 425,"ear","a-lə́mħa","ləmħa","tħāḳʷəm","tħaḳʷəma","Laḳʷəma","    There are two PWC roots, which are probably later differentiated variants of one original root for 'ear': §    a) \I*ŁA-\i in compounds meaning 'ear': PAT \I*lə-məħa\i (where -ħa must be the same root as PAT \I*ħa\i 'to hear' q.v.; see Ломтатидзе 1955, 824); PAK \I*tħá-ḳʷəma\i and Ub. \ILá-ḳʷəma\i (etymology of the second component obscure); §    b) \I*ĺA-\i in compounds meaning 'to listen': PAT \I*-ʒ́ə-rə-ʕʷə-\i (Abkh. \Iá-ʒrəʕʷ-ra,\i Bz. \Iá-ʒ́ʕʷər-ra\i /with metathesis/, Abaz. \Iʒərʕʷ-ra\i); PAK \I*da-ʡʷa-\i (Ad., Kab. \Idaʡʷa-n\i); Ub. \ILa-q̇ʷə́-.\i Here Shagirov (1, 150) thinks that PAT *ʒ́ corresponds to PAK *d - this is certainly wrong, because in this case (PWC *b́ʷ) we should expect dʷ, and not L in Ubykh. PAT \I*ʒ́ə-\i in this verb is probably a modification of the reciprocal version prefix *-źə- (which is semantically rather plausible). The element corresponding to PAK *d and Ub. L here must be PAT *r (*-rəʕʷə-) which (despite Shagirov ibid.), of course, can not be considered a causative prefix (the verb has no causative semantics at all). For the second part of this PWC compound see \I*q:́Iʷə-.\i The root \I*da-\i ( < \I*ĺa-\i) is present in another PAK compound \I*da-gʷə́\i 'deaf' (where -gʷə is a privative suffix: "earless"), see Шагиров 1, 145. Judging from the external evidence, the variant with the resonant \I*ĺA\i is original; reasons for its transformation into a lateral affricate in the word for "ear" are yet to be investigated."
  38,"*ƛ̣ʷA", 514,"earth","","","č̣ə","ṣ́ə","jə-cʷá","    PAK *č̣ə. Its regular Ub. correspondence is present in Ub. jə-c̣ʷá- 'on the earth' (preverb); reasons for deglottalisation of -c̣ʷ- in the Ub. noun (which is certainly representing the same root) are not yet clear.      This root is to be strictly kept apart from PAK *č̣a 'bottom' which has quite different external parallels."
  39,"*fV", 191,"to eat","á-fa-ra","fa-ra","šxə-n","šxə-n","fə-","    PAT \I*fa,\i PAK \I*č-xa-\i (intr.), \I*č-xə-\i (tr. > Ad., Kab. \Išxə-n\i), Ub. 1 sg.  \Iá-s-fə-n\i (cf. also \Ifə\i 'forage, food'). A rare case of PWC *f. In PAK obviously a compound, but its first component is not yet clear etymologically."
  40,"*Ł́A",  35,"1 male 2 testiculus","á-ʁ́a 1","-ʁ́ 1","ɣa 2","ɣa 2","-źa","    PAT \I*ɣ́a\i / \I*ɣ́ə\i (the latter form is used in compounds, cf. Abkh. \Ia-tə́-ʁ́,\i Abaz. \Itə-ʁ́\i 'ram', Abkh., Abaz. \Iabə-ʁ́\i 'he-goat'; also in the meaning "seed, egg", e.g. Abkh. \Ia-ḳʷṭá-ʁ́,\i Abaz. \Iḳʷṭaʁ́\i '(hen's) egg'). PAK \I*ɣa.\i §    Ub. has also a word \Iɣa\i 'testiculus', but it is obviously an AK loanword. The genuine reflex of PWC \I*Ł́A\i is Ub. \I-źa\i in \Itʷá-źa\i 'he-goat' ( = Abkh. \Iabəʁ́\i), \Iṭə-źá\i 'ram' ( = Abkh. \Ia-tə́ʁ́\i) and \Iba-źá\i 'penis'."
  41,"*ḳanəḳa / *ḳaḳanə", 507,"1 egg 2 nut","a-ḳaḳán 2","ḳaḳan 2","č̣́anč̣́a 1","","","    Cf. also Shaps. \Iḳ́āḳ́a\i 'egg'. PAT \I*ḳaḳanə.\i An expressive word (semantical development is usual: *seed, *fruit-stone > a) nut; b) egg)."
  42,"*ḳa (~ *ḳ́-)", 703,"1 seed, fruit-stone  2 egg","","","č̣́a","ǯ́adə-č̣a","","    PAK \I*ḳa\i (in Kab. preserved only within the compound "hen's seed" = "hen's egg"). Comparison with Ub. \Ić̣ə-\i (present in several compounds) proposed by Shagirov (1,160; 2,132) is impossible phonetically."
  43,"*ć̣ə ?", 704,"egg","","","","","də́má-ć̣","    The first component is dəma- 'hen'. The second component has no reliable etymology (cf., perhaps, PAT *ʒ́ə 'seed' in several compounds?); comparison with PAK *ḳa 'egg, seed' (Шагиров 1, 160-161) is of course untenable."
  44,"*b-ĺa",  34,"eye","á-la","la","na","na","bLa","    PAT \I*(bə)la\i (in Abkh. dialect variations: \Iá-bla\i and \Iá-la\i). Certain problems are connected with the PAK form \I*na\i : it is certainly related to PAT and Ub. forms (even several identical compounds with the component 'eye' may be observed in AK and other languages), but reasons for nasalisation are not clear (regularly \I*da\i would be expected; note that in this case the root would be homonymous with \I*da\i < \I*ĺA\i 'ear' q.v.)."
  45,"*š́:ʷV", 705,"1 fat 2 oil","a-ššá","šša","ša","śa","sʷə-q̇á 2","    PAT \I*šša\i (a reduplicated root); PAK \I*š:a\i (cf. Bzhed. \Iš:a\i)."
  46,"*rəχʷə (~t-, d-)", 508,"1 butter (melted) 2 fat","","","tχʷə 1","tχʷə 1","tχʷə 2","    PAK \I*tχʷə.\i Ub. \Itχʷə\i is hardly a loan from AK because of semantic difference. Despite Abdokov 1973, 68 and Shagirov 1,78 PAT \I*xʷə-ša\i 'melted butter' can not be related (the correspondence PAT *xʷ : PAK *χʷ does not exist). §    Judging from PAK t- and Ub. t- in Anlaut *r-, *t- or *d- can be reconstructed; *r- is most probable because of external correspondences."
  47,"*xəʒə ?", 706,"feather","a-χʒə́","","","","","    An isolated Abkh. word (cf. also Bz. a-xʒə́) with unclear etymology."
  48,"*q̇Iʷə", 707,"1 hair 2 feather, wool 3 hairless, bald","a-χʷə́ 1","qwə 1,2","q:ʷəjə 3","q:ʷĳ 3","q̇Iʷə 1,2","    PAT \I*qʷə\i (cf. also Bz. \Ia-χʷə́;\i in Abaz. the meaning 'a hair' is expressed by a derivate form \Iqʷə-c\i). PAK \I*q:ʷə-jə́\i (where -jə is a privative suffix) - this comparison seems irreproachable to us, whereas the comparison of AA and Ub. forms with PAK \I*xʷə-č̣́a-\i 'to wash (head)', proposed by Shagirov (2, 77) is worse semantically and impossible phonetically. §    The old derivate \I*q̇Iʷə-cə\i ( > Abaz. \Iqʷəc\i) with some irregular processes (loss or metathesis of labialisation) is also reflected in PAT \I*qəcʷə\i > Abkh. \Ia-χć̌ə́\i (Bzyb. \Ia-χć̌ə́\i) 'braid, plait', Abaz. \Iqəčʷ\i "bird's comb", PAK \I*λa-q:əca\i (\I*λa\i 'foot') 'shaggy fetlocks'."
  49,"*Pə̃zV", 708,"1 candle 2 lamp 3 light 4 ray","a-č̌ə́-mza 1","mza 2","bzəj 4","bzĳ 4","məʒá 2,3","    PAT *məza (cf. also Bz. \Iá-mza\i 'candle, splinter'; -čə- in Abkh. goes back to \Ia-čá\i "wax"). PAK \I*bzə́-jə.\i Ub. def. \Iá-mʒa.\i §    Shagirov (1, 94 - 95) relates PAK \I*bzə́jə\i to \I*bza\i "tongue"; the two roots may indeed have contaminated within some compounds, but originally have been, of course, quite different. The form \I*bzə́jə\i is also used in Kab. to denote "maize stalk" and both in Ad. and Kab. within the form Ad. \Iq:ā-mzəj,\i Kab. \Iq:ā-bzĳ\i "bird's feather" which Shagirov (1, 679) plausibly explains as a distortion of \Iq:az-bzəj(ə\i) "goose feather" (\Iq:az\i < Turk. \Iqaz\i 'goose')."
  50,"*mAc̣ʷa",  38,"fire","á-mca","mca","mās.̌a","māf̣a","məǯ́á","    PAT \I*məca\i (cf. also Bzyb. \Iá-mca\i). PAK \I*mac̣ʷá.\i Ub. def. \Iá-mǯ́a.\i     The root presents some irregularities. The PAT and Ub. forms reveal a secondary delabialisation (PAT \I*məca\i < \I*məcʷa;\i Lomtatidze (1942, 862, 865) is probably right in assuming that the original labialized form is preserved in PAT \I*macʷə-śə\i 'lightning' ("fire"+"beat"); Ub. \Iməǯ́á\i < \I*məʒʷa\i). The same languages also have lost glottalisation. The most archaic form (judging from the external evidence) is PAK \I*mac̣ʷá.\i §    Cf. also PAT \I*cʷə-\i in \I*cʷə-məsa\i 'tinder' ( = PL \I*c̣ojɨ-mäs,\i see under \I*mä̆sA\i); this is probably the only trace of the prefixless stem in WC languages."
  51,"*p:əšA", 344,"fish","a-psə́ʒ","psl��wa","pca","bʒa","psa","    PAT \I*pəśə-\i (cf. also Bz. \Ia-pśəʒ,\i Ashkh. \Ipsəz\i). Both in Abkh. and Abaz. the root is present in compounds with unclear second components (-ʒ in Abkh., -l��ʷa in Abaz.).     §    PAK \I*p:c:a\i : the pure root has meant 'big fish'; most common is the diminutive derivate \I*p:c:a-źájə\i (Ad. \Ipcaźəj,\i Kab. \Ibʒaźej\i).    §    We have to reconstruct initial *p: to account for the AK progressive assimilation (\I*p:c:a\i < \I*p:sa\i); both in PAT and Ub. the assimilation had been regressive. Numerous attempts to analise the word on WC ground and to explain it as an IE loan (see Shagirov 1, 82 with literature) seem to us unsuccessful."
  52,"*pərə", 281,"fly (v.)","a-pə́r-ra","pər-ra (Ashkh.)","","","pər-","    PAT \I*pərə;\i Ub. 1 p. \Isə-pə́rə-n.\i"
