"NUMBER","OCHN","MEANING","CHARACTER","FANQIE","MODERN","MCHN","GO","KANON","JAP","JIANCHUAN","DALI","BIJIANG","VIET","DOC","SHIJING","SHUOWEN","COMMENT","KARLGREN","STIBET"
2527,"w(h)Åts","be kind, compliant","´f","­J®Û","hui 4","ÁwiÛej","","","","","","","",1382," 28.4, 30.2, 41.1, 41.2, 41.3","","In inscriptions and in Shujing also used for a homonymous (?) *w(h)Åts 'it should be, should be'. [Cf. Tib. 'os-pa 'worthy, fitting, favourable', Burm. wat 'duty' ?]","0533 a-d",   0
2528,"","","´g","","qie","","","","","","","","",   0,"","","","0630 n",   0
2529,"","","´h","","leng","","","","","","","","",   0,"","","","",   0
2530,"","","´i","","xing","","","","","","","","",   0,"","","","",   0
2531,"Ñh°k","scared [LZ]","´j","","e 4","","","","","","","","",   0,"","","For *Ñh cf. Fuzhou Ñauk\H7\h, Jianou ÑÕ\H7\h.","0788 h",   0
2532,"l(h)Òjý","be lazy, negligent; careless; useless","´k","","duo 4","dwa^±","","","","","","","",1383,"","","","0011 l",1446
2533,"c±hrôk","to pity","´l","","ce 4","cÜhik","","","","","","","",   0,"","","","0906 e",   0
2534,"tor-s","be terrified, fearful","´m","","zhui 4","c±weÛ","","","","","","","",   0,"","","Also read *thorý, MC c±hwe±n, Pek. chuaön "wriggle (as a worm)" (LZ)","0168 o",1008
2535,"","","´n","","kai","","","","","","","","",1384,"","","","0515 n",   0
2536,"n°wý","to be angry, upset [Tang]","´o","","nao 3","na^±w","","","","","","","naÜo",1385,"","","Standard Sino-Viet. is na~o. The word is quite probably of Austric origin: besides Viet., cf. Khmer srônÜaoh 'be nostalgic'.","",   0
2537,"","","´p","","bi","","","","","","","","",   0,"","","","1034 k",   0
2538,"","be brilliant, splendid, magnificent","´q","","huang 2","","","","","","","","",   0,"","","","",   0
2539,"lo","to enjoy","´r","","yu 2","jò","","","","","","","",1386,"","","","0125 f",1811
2540,"","","´s","","qiao","","","","","","","","",   0,"","","","1092 j",   0
2541,"khrat","to rest","´t","","qie 4","khet","","","","","","","",   0,"","","Also read *khrat-s, MC kheÛj, Pek. qiÛ; during LZ also used for *kh°t-s, MC kha^Ûj, Pek. kaÛi 'to desire; hasty'.","0313 s",   0
2542,"krak","a kind of lance with two blades, halberd","´u","","ji 3","k²ik","","","","","","","ki±ch",   0,"","","","0785 a-b",   0
2543,"","","´v","","fei","","","","","","","","",   0,"","","","0579 d",   0
2544,"khet","to trail, drag","´w","","che 4","c±het","","","","","","","",   0,"","","Also read *khet-s, MC c±heÛj, Pek. chiÛ id.","0335 c",   0
2545,"taÑý","palm of the hand","´x","","zhang 3","c±a±Ñ","","","","","","","",1387,"","","","0725 j", 884
2546,"mraw","to draw (a line) [Tang]","´y","","miao 2","mew","","","","","","","",1388,"","","For *m cf. Xiamen mio\H2\h, Chaozhou miôu\H2\h, Fuzhou mieu\H2\h.","",   0
2547,"kr¹ný","select","´z","","jian 3","k²Ü±n","","","","","","","",1389,"","","= ¬Z q.v.","0185 e",2235
2548,"","","´{","","kai","","","","","","","","",1390,"","","","",   0
2549,"","","´|","","rou","","","","","","","","",1391,"","","","1105 b",   0
2550,"gh÷ijý","to measure, take measures","´}","","kui 2","gjwi±","","","","","","","",   0,"50.1","","MC has rising tone, although most dialects reveal reflexes of even tone (*gh÷ij, MC *gjwi): cf. (besides Pek. ku±i), Chaozhou, Fuzhou khui\H2\h.","0605 e",2380
2551,"","","´~","","zou","","","","","","","","",   0,"","","","",   0
2552,"c±hr¹p","shovel [L.Zhou]","´¡","","cha 1","cÜh²Üp","","","","","","","tha±p",1392,"","","Since Han time the character ´¡ is normally used with a more general meaning 'to insert, to prick';'to graft' (the latter meaning is attested only since Song) - while for the meaning 'shovel; long needle' another character was introduced: îÐ. Standard Sino-Viet. is sa±p.","0631 b",   0
2553,"thorý","to measure, estimate","´¢","","chuai 3","c±hwe±","","","","","","","",   0,"","","Also read *thorý-s, MC c±hweÛ id.; *tÒrý, MC twa^± id.; *tÒrý, MC twa^± 'shake, move'. Modern chuaöi is not quite regular (chuöi would be expected).","",1125
2554,"tÒrý","shake, move","´¢","","duo 3","twa^±","","","","","","","",   0,"","","See ´¢ 'measure'.","", 949
2555,"dh¹","to take, take up; be calm and thoughtful","´£","","ti 2","diej","","","","","","","",1393,"","","For *dh- cf. Xiamen the\H2\h, Fuzhou, Chaozhou thi\H2\h.","0866 n", 492
2556,"ýrÒk","grasp; a handful","´¤","©ó¨¤","wo 4","ýaÜuk","aku","aku","aku;nigiru","","","","vo^±c",1394,"","","Standard Sino-Viet. is a±c.","1204 f",   0
2557,"ýip","to bow, salute","´¥","¥ì¤J","yi 1","ýjip","","","","","","","",   0," 5.3_","","Used also for OC *c±ip (in Shi 5,3), MC cjip (FQ JY §Y¤J), Pek. ji± 'to cluster together'. The word rhymes in *-ip and should be kept distinct from the phonetically and semantically similar ¶° *ú(h)ôp q.v., although all kinds of confusions (early and late) were possible - see under ¶°.","0688 g",1318
2558,"kat","to rise, raise, lift","´¦","©~ºÜ","jie 1","kôt","","","","","","","ca^±t",   0," 34.1_, 57.4_","","Also read *krat (MC ket, FQ ©~¦C), *gat (MC gôt, FQ ¨ä¿Ö), *grat (MC get, FQ ´ë¦C), *khrat (MC khet, FQ ¥C¿Ö) id., as well as *khrat-s (MC kheÛj, FQ ¥h¨Ò, Pek. qiÛ) 'to lift one's clothes' (thus in Shi 34.1). Viet. ca^±t is colloquial; regular Sino-Viet. is khie^±t. Cf. PAN *sakat 'rise, climb up' (Sag. 43).","0313 n",   0
2559,"","","´§","","hui","","","","","","","","",1395,"","","","0458 i",   0
2560,"","","´¨","","chui","","","","","","","","",   0,"","","","",   0
2561,"wan","to pull, lift, encourage; assist","´©","","yuan 2","wôn","","","","","","","vie^Ün",1396,"","","Also read *wran-s, MC weÛn (whence Viet. vie^Ün) id. For *w- cf. Xiamen uan\H2\h; Chaozhou ueÑ\H4\h, Fuzhou uoÑ\H6\h ( < *wran-s).","0255 e",   0
2562,"","","´ª","","jiu","","","","","","","","",1397,"","","","",   0
2563,"w°n-s","change [LZ]","´«","","huan 4","Áwa^Ûn","","","","","","","",1398,"","","During EZ attested only within the compound ........pan-huaÛn "relaxed". For *w- cf. Xiamen ua~\H6\h, Chaozhou ua~\H6\h, Fuzhou uaÑ\H6\h.","0167 f",   0
2564,"","","´¬","","bing","","","","","","","","",   0,"","","","",   0
2565,"ÐaÑ","to rise; to raise, set forth, extol, make known; to stir","´­","»P³¹","yang 2","jaÑ","yau","yau","yÒ+;ageru+;agaru+","","","","dang",1399,"47.2, 47.3","","Standard Sino-Viet. is du'o'ng. Another probable loan from the same source is Viet. na^ng 'to raise, elevate' (with nasal assimilation, attested also in some other cases). The same word can be also written as ÃG in the classics ('to rise (of wind)' etc.). Used also for *ÐaÑ 'forehead; metal frontlet of a horse'.","0720 j-o",1959
2566,"thaÑý","high, level land","´¯","","chang 3","c±ha±Ñ","","","","","","","",   0,"","","","0725 m", 488
2567,"tñr","be thick, ample, generous; to consider thick, weighty; to mass, mass troops, heap on, put pressure on","´°","","dun 1","ton","ton","ton","","","","","",1400," 40.3_","","There  also  exists a variant (dialectal) MC reading toj (Go tai, Kan tui) id.; another attested reading is OC *dÒr, MC dwa^n, Pek. tua±n 'be plentiful'.","0464 p-q",1010
2568,"k°mý","to dare, take the liberty, presume","´±","¥jÄý","gan 3","ka^±m","kan","kan","kan;aete","ka~3","ka3","","",1401," 19.1, 19.2, 19.3, 51.1","","","0607 a-c",2086
2569,"s°nýs","to disperse","´²","","san 4","sa^Ûn","","","","","","","ta`n",1402,"","","Also read *s°ný, MC sa^±n id. Viet. also has a colloquial loan from the same source: tan 'to dissolve, dissipate, disperse'.","0156 a-b",   0
2570,"pr°n","spot, variegated [LZ]","´³","¥¬ÁÙ","ban 1","paÜn","","","","","","","",1403,"","","","0190 c",   0
2571,"phôjý","be ornate, elegant","´´","","fei 3","phwÆ±j","","","","","","","",   0,"55.1","","","0579 i", 390
2572,"se","a near demonstrative: this, he, she, it, they","´µ","®§²¾","si 1","sje","","","","","","","",1404," 5.1, 19.1, 19.2, 19.3","ªR¤].±q¤ç.¨äÁn.¸Ö¤ê.©ò¥H´µ¤§. [717]","The basic meaning of the character is 'to lop off' (thus in Shi 141,1), but it is much more commonly used for the homonymous pronoun *se 'this'; later also for *se-s, MC sjeÛ, Pek. siÛ 'completely'. OC *se is also rather frequently used as a prosodic syllable or word extender (see Schòssler 577-8). Shuowen's considering ¨ä *gô as phonetic is quite erroneous.","0869 a-b",1557
2573,"se","to lop off","´µ","","si 1","sje","","","","","","","",   0,"","","See ´µ 'this'.","",1221
2574,"se-s","completely","´µ","","si 4","sjeÛ","","","","","","","",   0,"","","See ´µ 'this'.","",1561
2575,"ph°ý","common, all, universal","´¶","","pu 3","pho±","","","","","","","pho^`",1405,"","","Attested already in Yijing, but absent from Schòssler's dictionary. Presently used also as a shortened name for Prussia.","0072 a",   0
2576,"","","´·","","xi","","","","","","","","",   0,"","","","",   0
2577,"","","´¸","","qing 2","","","","","","","","",1406,"","","See ¬P.","",   0
2578,"c¹Ñ (Úc±)","bright [Han]","´¹","¤l¬Õ","jing 1","cieÑ","siyau","sei","shÒ;akiraka","","","","",1407,"","","A rather late attested word; perhaps a dialectal (?) variant of ÀR *úeÑý q.v.","0820 a-b",   0
2579,"kraÑý","to measure by the shadow; be great","´º","","jing 3","k²±iÑ","","","","","","","ca`nh",1408,"44.1_, 50.2","","A later meaning is ('smth. measured by the shadow' > ) 'scene, landscape'.","0755 d",   0
2580,"taý","heat (of weather)","´»","","shu 3","s±Ó±","sjo","sjo","","","","","",1409,"","","MC s±- is irregular: c±- would be normally expected (this is one of the cases of irregular OC *t- > MC s±-).","0045 x",   0
2581,"tres","wisdom","´¼","","zhi 4","tÜeÛ","","","","","","","tri±",1410,"","","Derive from ª¾ *tre q.v.","0863 b-c",   0
2582,"","","´½","","liang","","","","","","","","",   0,"","","","",   0
2583,"","","´¾","","gui","","","","","","","","",   0,"","","","",   0
2584,"cõÑ","late, remote","´¿","","zeng 1","cÿÑ","","","","","","","",1411,"","","Sch.: "The character also occurs in Shi 255 at the beginning of lines, its  meaning is not clear; although it is often glossed by ze± «h (*c±õk), it can  not be its synonym. Perhaps *cõÑ was simply meant to represent *úõÑ" - which  is the second reading of the character ´¿. As for *úõÑ (MC úÿÑ, Mand. ce±Ñ),  its "meaning is much debated, perhaps - 'always, ever' with past tense". For *ú cf. Xiamen ciÑ\H2\h, Chaozhou, Fuzhou ceÑ\H2\h.","0884 a-b",1164
2585,"thÅts (ÚÌ(h)-,sl(h)-,sn(h)-,srh-,-õts,-¹(k)s)","to interrupt, remove, replace; to give up, miss, discard","´À","","ti 4","thiÛej","","","","","","","thay",1412,"","","There are no hsieh-sheng connections or rhymes for the word, thus the OC reconstruction is very uncertain. Viet. thay is colloquial; standard Sino-Viet. is the^±.","",   0
2586,"gô","stipulated time, time, limit","´Á","´ë¤§","qi 1","gÆ","go","ki","ki;go","","","","cu~'",1413,"48.1, 48.2, 48.3, 58.1_","","Also read *kô, MC kÆ (FQ ©~¤§), Pek. jÅ 'a year, a full fixed time'.    Regular Sino-Viet. is kyÛ. Viet. also has gioÛ' 'hour; time'; khi 'time,  case; when' - which may be loanwords from the same source (in different  periods of history). For *g- cf. Xiamen ki\H2\h (Chaozhou khi\H2\h and modern Pek. qÅ are irregular).","0952 k, r-s",2375
2587,"dhraw","to go/come to court, come for an audience","´Â","ª½»»","chao 2","dÜew","deu","teu","chÒ+;asa+","","","","chaÛo",1414,"51.2, 57.3_, 58.5_","","For *dh- cf. Chaozhou chiôu\H2\h, Longdu chiaw\H2\h.  Viet. chaÛo is colloquial, and has another colloquial variant cha^Ûu; the  regular Sino-Viet. form is trie^Ûu. Also used for zh°o, MC Þew [FQ ÔF»»), OC *traw 'morning' (Sino-Viet. trie^u). The character also has a graphic variant ®Ð - which is a late Han-time graphic distortion of [], that was used since Late Zhou parallelly with ´Â.","1143 a-c",   0
2588,"k÷°n","coffin [L.Zhou]","´Ã","","guan 1","kwa^n","","","","","","","quan",   0,"","","Also read *k÷°n-s, MC kwa^Ûn, Mand. aÛn 'to put into a coffin' (whence a colloquial Viet. loan: quaÛn 'to leave the corpse in temporary shelter prior to burial').","0157 e",   0
2589,"","","´Ä","","zong","","","","","","","","",1415,"","","","",   0
2590,"d(h)°Ñ","pear (pirus betulaefolia)","´Å","®{­¦","tang","da^Ñ","","","","","","","",   0," 16.1, 16.2, 16.3","","","0725 t",   0
2591,"kôk","wild jujube tree (Ziziphus spinosus); thorns; to needle, harass","´Æ","¬ö¤O","ji 2","kik","","","","","","","",   0," 32.1, 32.2","","","0911 a-b",2243
2592,"cñý ( Ú c±-)","Chinese jujube (Ziziphus jujuba)","´Ç","","zao 3","ca^±w","","","","","","","ta±o",1416,"","","Standard Sino-Viet. is ta`o.","1050 a",1179
2593,"ýaj","Catalpa (Schòssler: Idesia polycarpa)","´È","","yi 1","ýe","","","","","","","",1417,"50.1","","","0001 |g ±",   0
2594,"tÒÑ-s","ridge-pole, ridge of roof","´É","","dong 4","tuÛÑ","","","","","","","",   0,"","","","1174 f",1004
2595,"","","´Ê","","ke","","","","","","","","",1418,"","","","",   0
2596,"","","´Ë","","sen","","","","","","","","",1419,"","","","0664 a-b",   0
2597,"ú±(h)r°ný","carriage box made of lath or bamboo","´Ì","","zhan 4","úÜaÜ±n","","","","","","","saÛn",1420,"","","Also read *ú±(h)r°n-s, MC úÜaÜÛn id. (MC also has an irregular variant úÜ²Ü±n). A somewhat later meaning is 'flooring (on a mountain pass)', whence probably Viet. saÛn 'floor, flooring'. Standard Sino-Viet. is saÜn.","0155 d",   0
2598,"Ð(h)¹k÷s","oar, to paddle","´Í","","zhao 4","dÜaÛÜw","","","","","","","cheÛo",   0,"","","The word was originally [L.Zhou] written as Âg, which allows to  reconstruct *Ð(h)¹k÷-s. After Han the reading changed to *dÜ(h)i¹Ûw (with  dialectal retroflexity, sometimes occurring in former lateral hsieh-sheng  series), which enabled its writing as ´Í (attested only since Tsin). The  character Âg has also a late (Han) reading *Ð(h)¹k÷, MC dÜaÜuk, Mand. zhuo±  'a k. of bowl, vessel'.     Viet. cheÛo is colloquial; regular Sino-Viet. is traÜo. A similar word is rather widely spread in Austric: Thai ýc½:w.A 'to row', Khmer ce:w 'row, oar', Mon tasu 'paddle': phonology suggests a very late (post-MC) borrowing from Chinese for all these forms.","",   0
2599,"brÒÑý","stick, cane, pole [Han]","´Î","¨B¶µ","bang 4","baÜ±uÑ","","","","","","","",1421,"","","For *b- cf. Min forms: Xiamen paÑ\H6\h, Fuzhou pauÑ\H6\h, Jianou pÕÑ\H6\h.","",   0
2600,"shõj","to roost, rest; bird's nest","´Ï","","xi 1","siej","","","","","","","",   0,"","","For *sh cf. Fuzhou ch²\H1\h, Jianou chai\H5\h (the latter reflecting a variant *shõj-s).","",1216
2601,"lhõts (Ú-js,-ps)","wild plum","´Ð","¯S­p","di 4","diÛej","","","","","","","",   0," 24.1","","Also used in the die-sheng ­ð´Ð *lh°Ñ-*lhõTs (which allows us to reconstruct *lh-). Sometimes used as a loan for ¶e *l(h)õps 'to reach, be perfect' q.v. (thus in Shi 26.3).","0509 f",   0
2602,"gô","chess [LZ]","´Ñ","","qi 2","gÆ","","","","","","","coÛ'",1422,"","","Viet. coÛ' is archaic; regular Sino-Viet. is kyÛ.","0952 t-u",2180
2603,"kñns","club, stick, cudgel [Tang]","´Ò","","gun 4","koÛn","","","","","","","co^n",1423,"","","A somewhat earlier (Han) reading is OC *g(h)ñný, MC Áo±n, Mand. huÛn 'to  bind, make a bundle'.","",   0
2604,"","","´Ó","","zhi","","","","","","","","",1424,"","","","0919 e",   0
2605,"cew","Chinese prickly ash, also called Szechuan or Japanese pepper (Xanthoxylum simulans), used as condiment","´Ô","§Y®ø","jiao 1","cjew","","","","-ci1","-ci7","-ce7","tie^u",1425,"","","Also read *c¹w, MC ciew id.; used as well in a die-sheng ´Ô²á *c¹w-r¹w 'pepper plant'.","1031 q",   0
2606,"","","´Õ","","chui","","","","","","","","",   0,"","","","0575 r",   0
2607,"men","see ºø","´Ö","","mian 2","mjen","","","","","","","",1426,"","","","",   0
2608,"bõÑ","bamboo and wooden tent [Sui]","´×","","peng 2","bÿÑ","","","","","","","",1427,"","","Also read *brõÑ, MC baÜiÑ, b²ÜiÑ id. For *b cf. Xiamen pi~\H2\h (lit. piÑ\H2\h), Chaozhou pe~\H2\h, Fuzhou paÑ\H2\h.","",   0
2609,"thraý","paper tree, Broussonetia kasinoki [Han]","´Ø","","chu 3","ÞhÓ±","","","","","","","do±",   0,"","","Also read *t°ý, MC to± id. Regular Sino-Viet. is chu`'.","0045 i",   0
2610,"kh÷°rý","an item","´Ú","","kuan 3","khwa^±n","","","","","","","khoa`n",1428,"","","Late Zhou meanings are "sincere, staunch"; "empty" ( = í·, thus probably *kh÷°rý); "to knock, rap"","0162 a",   0
2611,"khô","to deceive [L.Zhou]","´Û","¥h¨ä","qi 1","khÆ","ko","ki","gi+;azamuku+","","","","",1429,"","","","0952 q",   0
2612,"kh(r)ôm","intense, attentive, reverent","´Ü","","qin 1","khim","","","","","","","",   0,"","","","0652 f",2334
2613,"ú±h°n","to hurt","´Ý","","can 2","úa^n","","","","","","","taÛn",1430,"","","Later meanings are also 'decline, fade, etc.' For *ú±h cf. Xiamen, chan\H2\h, Chaozhou chaÑ\H2\h, Longdu ch°n\H2\h.","0155 c",   0
2614,"","to plant, cultivate; be level","´Þ","","zhi 2","","","","","","","","",   0,"","","","0919 d",   0
2615,"khrÒk","hard shell [Han]","´ß","","que 4","khaÜuk","","","","","","","",1431,"","","","1226 d-f",2347
2616,"sl(h)°mý","carpet, tapestry [Jin]","´à","","tan 3","tha^±m","","","","","","","tha`m",1432,"","","","",   0
2617,"","","´á","","dan","","","","","","","","",   0,"","","","",   0
2618,"","","´â","","l}","","","","","","","","",   0,"","","","",   0
2619,"","","´ã","","ya","","","","","","","","",   0,"","","","",   0
2620,"krÒÑý","harbour, port [Tang]","´ä","","gang 3","ka±ÜuÑ","","","","","","","ca`ng",1433,"","","","",   0
2621,"lu","to float, swim; to wander about, ramble","´å","¥H©P","you 2","jôw","yu","iu","","","","","du",1434," 9.1, 26.1_, 35.4_, 39.4_","","With the meaning 'wander about, ramble, divert oneself' usually written as ¹C. For OC *l- cf. Xiamen, Chaozhou, Fuzhou iu2.","1080 f",1458
2622,"c±en","throw water on, wash [LZ]","´æ","","jian 1","cjen","","","","","","","",   0,"","","","0245 f",1313
2623,"d°(k)s","to cross (a river), ford [Han]","´ç","®{¬G","du 4","doÛ","do","to","to;wataru;watasu","","","","d_oÛ",1435,"","","Hsieh-sheng suggests *d°k-s, but the word is rather late attested, and  may go back to *d°-s; the old Vietnamese loanword d_oÛ 'ferry, ferry-boat'  may go back to an unattested ¥­Án *d°. The regular Sino-Vietnamese reflex  of ´ç is d_o^Ü. For *d cf. Fuzhou to\H6\h; Siam. dh°± (*d°).","0801 b",1095
2624,"","","´è","","xuan","","","","","","","","",   0,"","","","",   0
2625,"","","´é","","","","","","","","","","",   0,"","","","1185 u-v",   0
2626,"shÒ-s","come together, unite","´ê","","cou 4","chÿÛw","","","","","","","",1436,"","","","1229 b",1253
2627,"ga","be great, grand","´ë","","qu 2","gÓ","","","","","","","cuÛ'",1437,"","","The character is also used for homonymous words: 'outer rim of a wheel'; 'gutter' (since LZ). For *g- cf. Xiamen ku\H2\h, Fuzhou kò\H2\h (Chaozhou khÆ\H2\h is secondary).","0095 g",2127
2628,"ýrÒk","to moisten, smear, paint","´ì","©ó¨¤","wo 4","ýaÜuk","aku","aku","aku;uruou;atsui","","","","",   0," 38.3","","","1204 g",2001
2629,"","","´í","","zha","","","","","","","","",1438,"","","","",   0
2630,"krÅmý","to abridge, moderate","´î","","jian 3","k²Ü±m","","","","","","","gia`m",1439,"","","Also read *grÅmý, MC Á²Ü±m. In Viet. cf. also a colloquial loan: ke±m  'less; weak, feeble'.","0671 g-h",   0
2631,"","be soaking; also dan 1 "be sunk in, steeped in, rejoicing"","´ï","","zhan 4","","","","","","","","",   0,"","","","0658 l-m",   0
2632,"saÑ","to boil","´ð","®§¨}","xiang 1","sjaÑ","","","","","","","",   0," 15.2","","","0731 e",1642
2633,"bhõt","foam, foamy [Han]","´ñ","","bo 2","bot","","","","","","","boÜt",   0,"","","For *bh cf. Fuzhou phuok\H8\h.","",   0
2634,"gh°","lake","´ò","¤á§d","hu 2","Áo","","","","ko7","ko7","-qo7-","ho^Û",1440,"","","For *gh- cf. Min forms: Xiamen Õ\H2\h, Chaozhou ou\H2\h.","0049 |j ±",   0
2635,"","","´ó","","yan","","","","","","","","",   0,"","","","0483 e",   0
2636,"w(h)ôts","river name","´ô","¤_¶Q","wei 4","wÆÛj","","","","","","","",   0," 35.3","","","",   0
2637,"","","´õ","","wo","","","","","","","","",   0,"","","","",   0
2638,"Ì°Ñ","reckless","´ö","¦R­¦","tang 1","tha^Ñ","","","","x½~4","xer4","xa~4","",1441,"58.4_","","Also read *ÌaÑ, MC s±aÑ (FQ ¦¡¦Ï), Pek. sh°ng 'be swelling, swollen (of water)'. Since Late Zhou widely used for *Ì°Ñ, MC tha^Ñ 'hot (boiling) water'.","0720 |z-b ±",1896
2639,"kh°t","be thirsty","´÷","","ke 3","kha^t","","","","kha6","kha6","qhò6","kha±t",1442,"","","During LZ also used for *g(h)rat, MC get, Pek. jie 'dried up'.","0313 j,z",2320
2640,"g(h)rat","dried up","´÷","","jie","get","","","","","","","",   0,"","","See ´÷ 'thirsty'.","",2426
2641,"thÒr","rushing water [LZ]","´ø","","tuan 1","thwa^n","","","","","","","",   0,"","","","0168 i",   0
2642,"","","´ù","","miao","","","","","","","","",   0,"","","","1158 e",   0
2643,"c±hrôk","to fathom, measure","´ú","","ce 4","cÜhik","","","","","","","",1443,"","","","0906 f",   0
2644,"","","´û","","pai","","","","","","","","",   0,"","","","",   0
2645,"lo","to change","´ü","","yu 2","jò","","","","","","","",   0,"","","","0125 h",   0
2646,"","","´ý","","hun","","","","","","","","",1444,"","","","0458 b",   0
2647,"","","´þ","","","","","","","","","","",   0,"","","","0966 h",   0
2648,"","","µ?","","zi","","","","","","","","",1445,"","","","",   0
2649,"","to rinse, wash","µ@","","gai 4","","","","","","","","",   0,"","","","0515 l",   0
2650,"sw°n-s","disperse; be ample","µA","","huan 4","xwa^Ûn","","","","","","","",   0,"","","Also attested within the compound ......pan-huan "relaxed, slack".","0167 b",   0
2651,"m(h)ený","to steep in (e.g. wine)","µB","","mian 3","mje±n","","","","","","","",   0,"","","","0223 c",   0
2652,"","","µD","","mei","","","","","","","","",   0,"","","","0567 g-h",   0
2653,"w(h)ran","to flow [LZ]","µE","","yuan 2","wen","","","","","","","",   0,"","","","0255 h",   0
2654,"troÑ-s","sound of drums [LZ]","µF","","zhong 4","ÞÓÛuÑ","","","","","","","",   0,"","","Also read *tÒÑ-s, MC tuÛÑ id. The meaning 'milk' is attested only since Han, and according to Pulleyblank [CSOC] is a Xiongnu loanword.","1188 c", 487
2655,"","","µG","","huang","","","","","","","","",   0,"","","","0708 f",   0
2656,"bõ(ý)-s","to dry on fire [Tang/Qing]","µH","»Z¬N","bei 4","boÛj","","","","","","","",   0,"","","For *b- cf. Min forms: Chaozhou pue\H6\h, Fuzhou puoi\H6\h, Jianou po\H6\h. The fanqie is taken from Jiyun.","",   0
2657,"","to burn","µI","","fen 2","","","","","","","","",   0,"","","","0474 a-b",   0
2658,"c±ew","to burn, char [LZ]","µJ","§Y®ø","jiao 1","cjew","seu","seu","","","","","",1446,"","","Shuowen says phonetic is ¶° *ú(h)ôp; it is possible only if the latter graph was taken with the alternative reading *c±ip (see under ¶°). The µJ series clearly has a *c±- initial (see RDFS 247); as  for  *-ew  (not  -aw), see the rhyme for Ã× (ibid., 556). A later attested  meaning  is  'dark yellow color'.","1148 a",   0
2659,"","","µK","","yan","","","","","","","","",   0,"","","","",   0
2660,"ma","there is no, have no; don't!","µL","ªZ§ß","wu 2","mò","","","","-mo1","mu1","-mu1","",1447," 2.2, 17.2, 17.3, 23.3, 26.1, 27.3, 29.3, 32.2, 35.1, 49.1, 49.2, 51.3, 52.1, 52.2, 52.3, 54.4, 57.3, 58.1, 58.2","¤`¤].±q¤`.###Án. [634]","Prohibitive usage of *ma is attested only since Shijing (see Schòssler 646); earlier it was only expressed by ¤ð *mô. For initial *m- cf. Min forms: Xiamen bÕ\H2\h, Chaozhou bo\H2\h, Fuzhou mo\H2\h, Jianou mau\H9\h. Related negations in Chinese include ²ö *m°k, ¤ð *mô, ¤` *maÑ, ¤Å *môt and some others.","0103 a-f",  58
2661,"nan","be like that, be like it, be so; consider to be so, to be true","µM","¦p©µ","ran 2","n±en","","","","","","","",1448," 30.2, 47.2, 50.2","","For *n- cf. Min forms: Xiamen úien\H2\h, lien\H2\h, Chaozhou zieÑ\H2\h, Fuzhou ioÑ\H2\h.  A suffixed form of *na, see ¦p.","0217 a",   0
2662,"taý","to boil [L.Zhou]","µN","³¹»P","zhu 3","c±Ó±","","","","cò1","cò1","c±ò1","",1449,"","","","0045 l-m",   0
2663,"","","µO","","","","","","","","","","",   0,"","","","0417 l",   0
2664,"br¹","tablet, card, dice [Song]","µP","","pai 2","b²Ü","","","","","","","ba±Ûi",1450,"","","For *b- cf. Xiamen, Chaozhou pai\H2\h, Jianou pai\H9\h, Fuzhou p²\H2\h.","",   0
2665,"","","µQ","","ji","","","","","","","","",   0,"","","","",   0
2666,"slhõj","rhinoceros","µR","","xi 1","siej","","","","","","","",1451,"57.2_","","Also used for the homonymous *slhõj 'melon seed' (thus in Shi 57.2).","0596 a-b",   0
2667,"lu","be like, equal","µS","","you 2","jôw","","","","","","","",1452," 21.2_, 58.3","","Also used for *lu 'plan' (also written as ·ß), which may be the same word ('planning' as 'levelling, equalling'?), and adverbially as 'still, yet' (also probably the same word < *'likewise'). In Shi 196 Schòssler takes µS as a loan for ¥Ñ (*Ðu) which is rather unlikely. The original usage of the graph must have been for a homonymous *lu 'a k. of monkey', but this is  attested only since Han.","1096 r-s",1779
2668,"lu","a k. of monkey [Han]","µS","","you 2","jôw","","","","","","","",   0,"","","See µS 'be like'.","",1748
2669,"","","µT","","wei","","","","","","","","",   0,"","","","0573 g",   0
2670,"gÒ","monkey [LZ]","µU","¤á¹_","hou 2","Áÿw","","","","Áo7-","ou7-","Ño7-","ha^Ûu",1453,"","","For *g- cf. Min forms: Xiamen, Chaozhou, Fuzhou kau\H2\h, Jianou ke\H2\h, ke\H9\h.","0113 g",   0
2671,"","","µV","","xing","","","","","","","","",   0,"","","","0812 z",   0
2672,"","","µW","","fa","","","","","","","","",   0,"","","","",   0
2673,"","","µX","","qi","","","","","","","","",   0,"","","","0952 x",   0
2674,"","a kind of precious stone","µY","","lin 2","","","","","","","","",   0,"","","","0655 h",   0
2675,"trÒk","to carve, chisel","µZ","","zhuo 2","ÞaÜuk","","","","","","","",   0,"55.1","","","1218 f",   0
2676,"xl°ý","tiger-shaped jade object [LZ]","µ[","","hu 3","xo±","","","","","","","",   0,"","","= ªê q.v.","0057 f",   0
2677,"","","µ\","","pi","","","","","","","","",   0,"","","","",   0
2678,"br°","Used in the diesheng µ\µ] MC bji-baÜ 'a 4-stringed musical instrument' [Han]","µ]","","pa 2","baÜ","","","","","","","",   0,"","","For *b- cf. Xiamen, Fuzhou, Jianou pi\H2\h-pa\H2\h, Chaozhou pi\H2\h-pe\H2\h.","",   0
