"NUMBER","PROTO","PRNUM","MEANING","SUN","TUL","KAL","LIM","LIMNUM","DUM","DUMNUM","KUL","KULNUM","YAM","YAMNUM","NOTES"
  11,"*ʔè-",1990,"he","\Ie-ko\i","","","\Ihen\i he, that",   0,"",   0,"",   0,"\Ii-\i in i-go 'this'", 407,""
  12,"*ʔòŋ (//*g-òŋ)",2471,"I","\Igo\i","\Igo\i","\Iuŋ\i","\Iaŋgā,\i \Iiŋgā\i; ani 'we, us'",  45,"\Iaŋ\i",  23,"\Ikɔŋ\i", 557,"\Ika,\i erg. käʔ; kani(ŋ) 'we'", 460,"Toba 91 *ko."
  13,"*ʔä̀n-nV",   0,"now","","\Ianep\i today","\Iän\i  now, \Iänöl\i  today","\Iaina\i  today", 255,"",   0,"\Ihənna\i", 428,"",   0,"Toba 98 *anöC."
  14,"*ʔòm",   0,"ripen","","\Iom-\i  ripen (fruit, grain)","\Iwɔmnä\i (\Iwɔmdu\i) to ripen (grain)","",   0,"",   0,"",   0,"",   0,""
  15,"*ʔóp",   0,"rise (sun)","","\Iop-\i","\I'wɔmnä\i (\I'wɔptu\i)","",   0,"",   0,"",   0,"",   0,""
  16,"*ʔip(s) (//*ʔim)",1443,"sleep","'ip-ca sleep, lie down","\Iəms-,ums-\i  sleep (cf. also \Iam-\i put to sleep (children))","\Iamsinä\i  sleep,lie down, \Iamdone\i sleep, \Iapsike\i bed","\Iipmā\i (\Iipsu\i) make sleep, \Iimmā\i (\Iipsu\i) to sleep", 451,"\Iim\i sleep (n.), \Iīpnɨ\i put to sleep", 348,"\Iimma\i", 475,"\Iimma\i", 426,"Toba 96 *a̲msi-."
  17,"*ʔə́p",2319,"strike, shoot","\I'ap-ca\i","\Iop-\i  strike,hit (with jectile),fire (gun)","\I'wɔmnä\i (\I'obu\i)","\Iāpmā\i (\Iābu\i) shoot arrow",  46,"\Iopnɨ\i", 843,"\Iamma\i",   6,"\Iapma\i",  47,"Toba 95 *ap-."
  18,"*ʔə́k",   0,"to tear","","\Iɛk-\i","\I'enä\i (\I'egu\i)","",   0,"",   0,"\Iēma\i", 329,"",   0,""
  19,"*(ʔì)nä // *gìnä", 520,"thou","\Ige,goj\i","\Ina\i, \Igana\i","\Iin\i","\Ihene, khene\i",2138,"\Ian\i",  16,"\Iana\i",   0,"\Ihäŋ,\i erg. hänäʔ", 299,"*nä only in Т. Toba 97 *ganu."
  20,"*ʔə̀t",   0,"thought","","\Iodi, wodi\i  thought, supposition","\Iödi\i  thought, opinion","\Iitmā\i (\Iittu\i) think (?)", 480,"\Ihodɨ\i", 324,"",   0,"",   0,"Toba 97 \I*odi.\i"
  21,"*[w]èm (/-p)", 454,"warm (-s)","","\Iem-\i  to warm,roast","\Iemnä\i (\Iemŋɔ\i) become hot (from fire or sun), north","\Iemmā\i (\Iepsu\i)  bake", 251,"\Iwəm\i",1473,"",   0,"",   0,""
  22,"*her",   0,"avoid","\I'her-ca\i","","\Ihesinä\i","",   0,"",   0,"",   0,"",   0,""
  23,"*hu / *huk(s)",2708,"bark","\Ihōk-ca\i","\Ihuk-\i","\I'hunä\i (\I'huŋɔ\i)","\Ihomā\i (\Ihorā\i)  to bark, \Iho\i (n.) the bark of a dog, \Ihukmā\i (\Ihukkhu\i) to roar", 404,"\Ihūknɨ\i", 345,"\Ihūma\i", 469,"\Ihuʔwa\i 'dog'", 387,"Toba *'huk-."
  24,"*hì",2017,"blood","\Ihu-\i in husi 'jit-ca 'to bleed'","\Isisi\i (< \I<*se-si\i \I<*seŋ-hi\i "liver+blood"?)","\Ihi\i","\Imakkhī\i (\Imāk\i- "black")", 767,"\Ihī\i", 303,"\Ihi\i", 431,"\Iha-ri\i", 285,"Toba 87 *hi."
  25,"*xōt",   0,"boil (n.)","","","\Ihwɔsmö\i","\Iho\i",   0,"",   0,"\Ikhɔ\i", 656,"",   0,""
  26,"*hēk",   0,"cut (grain)","","\Ihək-\i cut grain harvest","\I'henä\i (\I'hegu\i) cut (grain at the top)","\Ihekmā\i (\Ihegu\i) cut", 334,"",   0,"\Ihēma\i", 424,"\Ihäkma\i", 295,""
  27,"*hīp",   0,"cut","","\Ihip\i cut, cut down (tree), harvest (rise or grass with toothed  sikle)","\I'hamnä\i (\I'hibu\i) cut(a plant near the ground)","\Ihepmā\i (\Iheptu\i) break (?)", 346,"\Ihipnɨ\i", 302,"\Ihimma\i", 438,"",   0,""
  28,"*hè[r] ( ~ x-)",2629,"dry","","","\Ihejnä\i (\Ihendu\i) to dry","\Ihemā\i (\Iheru\i) dry", 324,"",   0,"\Iharma\i", 408,"\Ihe:ma\i", 314,""
  29,"*hép (~χ-)",   0,"embrace","","","\I'hemnä\i (\I'heptu\i)","\Ihepmā\i (\Iheptu\i) embrace, wrap up",   0,"",   0,"\Ihemma\i", 419,"\Ihepma\i", 308,""
  30,"*hóp",   0,"empty","","\Ihopto\i","\I'hwɔpto\i","\Ihopmā\i void, nothing, empty", 388,"",   0,"\Ihɔptɔ\i", 448,"\Ihoppräk\i", 359,""
  31,"*hùm(-s)",   0,"fall","\Ihem-ca\i fall off","\Ihum-\i drop, \Ihumsi-\i fall","\Ihamnā\i (\Ihamŋɔ\i) fall of, drop","\Ihammā\i (\Ihamsu\i) to drown", 426,"",   0,"\Ihumma\i", 462,"\Ihumma\i", 375,"For the irregular final in S cf. K \Ihem-nä, hemdu\i disappear."
  32,"*hìdim",   0,"hiccup","","\Ihidimu\i, \I-mo\i (also \Ihikima\i)","\Ihidimä\i","he:kmaʔ", 321,"",   0,"\Ihudimma\i", 456,"",   0,"Toba *hidim ̲-. Perhaps *hek-dim, cf. Limbu hēkmaʔ 'hiccough', Yamphu heʔluʔwa 'hiccup' (but cf. also he:ʔma, he:t- 'cough')."
  33,"*hán // *háŋ",   0,"hot","\I'hojsso\i hot","","\I'hahpä\i (EKg \Ihajhpä\i) hot, warm(of air, weather)","\Ihāŋhā\i hot, \Ihāŋhāŋwā\i warm", 300,"\Ihaŋnɨ\i", 283,"\Ihɔ̄ma\i 'be warm, cosy', \Ihɔkuhɔku\i 'lukewarm' (?)", 452,"",   0,"Toba 91 *h(a)hpä."
  34,"*hèl (?-ä̀-)",   0,"-in-law","","\Ihəlbo\i  child's parent-in-law, \Ihəlin\i, \Ihəllin\i  wife's brother","\Ihelmö\i mother of son-in-law or daughter-in-law, \Ihelpö\i  father of son-in-law or daughter-in-law","",   0,"",   0,"\Ihelma\i f., \Ihelpa\i m.", 417,"",   0,""
  35,"*[w]àt-c\L1\lə̀", 434,"man","\I'woj-ś-mur\i man","\Ihoscö,\i \Iwoscö\i male, man","\Ihas\i man, person","",   0,"",   0,"\Iwatcha\i",1399,"\Ijaʔmi\i 'man, person' (?)",1853,""
  36,"*hä̀pV",   0,"much","","\Ihapa\i very, very well","\Ihäpi\i","",   0,"",   0,"",   0,"",   0,"Cf. Kulung \Ihayam\i 'very'?"
  37,"*hák (//*háŋ)",2092,"open","","\Ihɔk\i  open (tr.) (door, container, mouth)","\I'hɔnä\i (\I'hɔgu\i) to open","\Ihoŋ\i empty space, aperture, \Ihoŋmā\i (\Ihɔŋkhu\i) to bore", 400,"\Ihāknɨ\i", 286,"",   0,"\Ihakma\i 'keep legs apart'; hoŋ 'empty, gaping'; hoŋma 'go through'", 266,"Cf. also Yam. hoho 'open'. Perhaps 2 roots."
  38,"*hòl",   0,"open","","\Ihol-\i open, end (of ritual prohibition)","\Ihwɔlnä\i (\Iholu\i) break open, open","",   0,"",   0,"\Ihəlma\i", 425,"",   0,""
  39,"*hòr",   0,"peel","","\Ihor-\i uncover, hatch, strip (maize cob)","\Ihwɔrnä\i (\Ihoru\i) to husk horn, to peel","",   0,"",   0,"\Ihərma\i", 430,"",   0,""
  40,"*hàŋ",   0,"pungent","","\Ihɔ(t\i)- sting (as insect), be pungent","\Ihonä\i (\Ihɔŋ\i) taste pungent","\Ihāŋ\i hot (in taste), \Ikehāŋbā\i pungent", 315,"",   0,"\Ihɔ̄ma\i", 451,"",   0,""
  41,"*hát / *hán (~χ-)",2609,"roast, burn","","","\I'hannä\i (\I'hattu\i) burn, roast, bake","\Ihāmmā\i (\Ihāndu\i) to kindle", 312,"\Ihɨtnɨ\i", 320,"",   0,"\Ihiʔma\i (?)", 332,""
  42,"*hə̀ŋ (~χ-)",   0,"send","","","\Ihonä\i (\Ihoŋu\i) send off (letters, things)","\Ihāŋmā\i (\Ihāŋu\i)  to send", 295,"",   0,"",   0,"\Ihaŋma\i", 277,""
  43,"*hèn",   0,"sharp edged","heś-śo (<*hẽ-śo)","\Ihən-be\i sharp (of blade)","\Ihehpä\i sharp (knife)","",   0,"",   0,"",   0,"\Ijemma\i 'to be sharp'",1874,""
  44,"*hék(s)",   0,"sift","\I'hēk-ca\i","","","\Iekmā\i (\Iekkhu\i) winnow, (\Iektu\i) remove off from rice", 253,"",   0,"",   0,"",   0,""
  45,"*hóp(-s)",2632,"sip","","\Ihop-\i","\I'hwɔmnä\i (\I'hwɔptu\i)","\Ihōpmaʔ, -hōpt-/-hōp- \i\I\i", 389,"",   0,"\Ihəmma\i", 427,"\Ihomma\i", 343,""
  46,"*hòm",   0,"to swell","\Ihom-ca\i","\Ihom-\i","\Ihwɔmnä\i (\Ihwɔmŋɔ\i)","",   0,"",   0,"\Ihəmma\i", 426,"\Ihomma\i", 345,"Toba 97 *hom-."
  47,"*h[ù]ŋ",   0,"wait","","","\Ihunä\i","\Ihāŋkhāŋmā\i", 296,"\Ihɨŋnɨ\i", 317,"\Ihūma\i", 470,"\Ihuŋma\i", 378,"Toba 98 *hu-."
  48,"*he",2561,"what","","\Ihe\i what, \Iheka\i how, why, \Ihem\i who, which, \Iham\i  what etc.","\Ihe\i  how, \Iheke\i  why, \Ihene\i  when etc.","\Ihā\i who, [hɛn what] (V.Dr.: ēn nom., e:lle erg. 'who')", 338,"\Ihem\i", 289,"\Ihādem\i 'when', \Ihākə\i 'which', \Ihāpi\i 'where'", 411,"\Ihambeʔ\i 'where', hambaŋä 'which'", 267,"Cf. Toba 98 *khäpi 'where' (also listing Tul. ba and Kal. 'khäbi)."
  49,"*hV́p",   0,"winnow (by flapping)","","","\I'ham-nä\i (CSDP)","\Iāmmā\i (\Iāpsu\i)  winnow",  22,"",   0,"",   0,"\Ijepma\i",1879,""
  50,"*hàkam[ä]",2091,"yawn","\Iham-ś\i \I'pa-ca\i","\Ihakama\i","\Ihɔkɔme\i \Ilünä\i","\Ihāmāju\i, khām-",2161,"",   0,"\Ihakamma\i", 393,"",   0,"Toba 99 *hakame."
  51,"*xlä̀m",1730,"bewitch","","\Ikhlam-\i","\Ikhlämnä\i (\Ikhlämu\i)","\Ihāmmā\i adv. deceiving",   0,"",   0,"",   0,"\Ije:pma\i 'to perform the work of the witch doctor' (?)",   0,"1890"
  52,"*xlì",1934,"faeces","\Ikhrī\i","\Ikhli\i","\Ikhli\i","\Ihi\i", 349,"\Ikhil\i", 491,"\Ikhil\i", 639,"\Ihi\i 'faeces', hi:ma 'defecate'", 320,"Toba 90 *khli. Cf. *khli 'intestines'."
  53,"*xäl",   0,"grind","\Ih́il-ca\i","\Ikhal\i- express (oil), churn (to make buttermilk)","\Ikhälmä\i (\Ikhälu\i) grind (for making oil)","",   0,"",   0,"",   0,"\Ijīʔma\i (?)",1919,""
  54,"*xìr(-s)",2558,"turn round","\Ihir-ca\i go round","\Ikhir-\i turn round, twist together","\Ikharnä\i (\Ikhardu\i) turn,spin","\Ihimā\i (\Ihisu\i) turn round, \Ikehibā\i revolving; khɛ:maʔ 'make circles, whirl'", 377,"",   0,"\Ikhikhirpa\i 'round', \Ikhirma\i 'make a circle'", 638,"\Ikhe:ma\i 'wind around'", 611,""
  55,"*xìjok",   0,"rust","","","\Ikhĳo\i","\Ihĳok\i",   0,"",   0,"",   0,"",   0,""
  56,"*xäl ( ~ h-)",   0,"pair","\I'hāl\i pair","","","",   0,"",   0,"",   0,"",   0,""
  57,"*xräp",2336,"weep","","\Ikhrap-\i lament, weep","","\Ihāp-mā-siŋmā\i moan, \Ihāpmā\i \Iphik-mā\i  wail", 316,"",   0,"\Ikhamma\i", 592,"\Iha:pma\i", 291,"Toba 88 *khrap-."
  58,"*ʔkák",2069,"bark, to peel","\I'khe-ca\i  peel","\Ikokte\i skin,bark,peel, \Ikoksa,\i \Ikoksoro\i skin (on heated milk crust on cooked food), \Ikok-\i  strip, peel","\I'kɔ\i  skin, bark, \I'kɔnä\i (\I'kɔgu\i)  peel fruits","",   0,"\I-kə\i in \Isəkkə\i",1095,"-kɔ- in sɔkɔ-war",1200,"",   0,"Cf. *hok (with possible confusion). Toba *'kakte."
  59,"*Kòl",2040,"chase","\Ikhul-ca\i","\Ikol-\i drive off, drive away","\Ikwɔlnä\i (\Ikwɔldu\i)","",   0,"",   0,"\Ikəlma\i", 534,"",   0,""
  60,"*ʔkìm (/*g-)",2541,"house","\Ikhī̃\i","","\Ikam\i","\Ikhim,\i \Ihim\i", 366,"\Ikīm\i", 419,"\Ikhim\i", 640,"\Ikhim\i", 619,"Toba 91 *ka̲m."
  61,"*ʔkäl (/g-)",   0,"mix","\I'khal-ca\i  be mixed, \I'khal-so\i  mixed","\Ikal-\i  mix (flour in boiling water)","\Ikälnä\i (\Ikälu\i) mix","", 852,"\Ihɨlnɨ\i ?", 316,"",   0,"\Ikhaʔmi\i 'flour'", 577,""
  62,"*ʔkə̀n",2574,"vegetable","\Ikhaj\i","","\I'kwɔj\i (CSDP \Ikwɔj\i) cooked vegetable","",   0,"\Ikö\i", 451,"\Ikhai\i", 606,"",   0,""
  63,"*ʔkä",2597,"earth","\Ikha-pi\i","\Ikɔ\i","","\Ikhām\i; \Ikhā-pu\I 'ash, mud'",2165,"",   0,"\Ikha\i 'irrigated field'", 579,"\Ikham\i", 558,"Cf. also *ʔpó-ʔkä."
  64,"*go(n) ( ~ -ə-)",2259,"clothing","","","\Igö\i","",   0,"\Igu\i", 270,"\Ikhūma\i (?)", 697,"",   0,""
  65,"*[kr]ä́t", 698,"bite","\I'krajk-ca\i","\Ikhret-bite\i  rend, nibble","\I'kännä\i (\I'kädu\i)","",   0,"\Ikātnɨ\i", 398,"",   0,"\Ihä:ʔma;\i cf. also khemma (khen-) 'bite' (?)", 304,"Toba 87 *krät."
  66,"*[g]òrok, *[g]òrok-tup",   0,"wild cat","","\Ikorotüp\i","\Ikorotap\i","\Iojokpā\i",   0,"\Ikartɨkpu\i", 393,"",   0,"",   0,""
  67,"*ʔkä̀m (-s)",2240,"chew","","\Ikam-\i","\Ikämnä\i (\Ikämu\i)","\Ikhāmmā\i (\Ikhāmsu\i)",2160,"",   0,"\Ikhamma\i", 596,"\Ikomma\i (?)", 523,"Toba 88 *käm-."
  68,"*ʔkə́p (-s)",2076,"cover","","\Ikəp-thatu\i","\I'kwomnä\i (\I'kwɔptu\i) cover, wear, thatch","\Ikhāpmā\i (\Ikhāpsu\i) wrap over body, make roof, \Ikhāmbu\i  roof",2159,"\Ikopmitnɨ;\i \Ikaḿsinɨ;\i \Ikopnɨ\i", 447,"\Ikhamma\i 'thatch; cover'", 594,"\Ikhamma\i 'blanket, shawl; (v.) to cover', khapma 'to thatch'", 564,""
  69,"*ʔkák-",   0,"dig, peck; prick","","\Ikək-\i dig, peck","\I'kɔnä\i (\I'kɔhtu\i) dig, hoe; (EKg) bite (of snake)","",   0,"\Ikoknɨ\i", 440,"\Ikhɔma\i", 661,"\Ikhakma\i 'to prick, to stab'", 556,""
  70,"*gə̀ (/ʔk-)",   0,"light","","\Ikh-\i in \Ikhle\i, \Ikhlömu\i moon, moon-light","\Ikö\i","\Ikhā\i",2167,"\Igāʔnɨ\i", 253,"\Ikɔ\i", 549,"\Iha:ma\i", 290,""
  71,"*kom (/-ŋ)",2062,"pillow (in comp.)","","\Ikom-si\i","\I'dɔŋ-ku\i  ( = L \Itākkhoŋ\i)","\Itākkhoŋ\i", 572,"",   0,"\Itɔŋkɔ\i",1282,"\Ikoŋma\i 'to use smth. as a pillow', täkkoŋ 'pillow'", 527,"Most languages reflect a compound with an element \I*dáŋ\i, perhaps = *dhə̀ŋ 'head'."
  72,"*ʔkè",2272,"yam, potato","","\Ike\i vegetable or meat eatenwith rice or other grain usually from separate plate","\Iki\i","\Ikhe\i yam",2163,"\Ikī\i", 417,"\Ikhe\i", 607,"\Ikhi-daŋ,\i naŋ-khi 'sp. of edible roots'", 614,"Toba 94 *ki, 99 *ke-."
  73,"*ʔkəŋ (/-k)",2296,"see, look at","\Ikō-ca\i  see, look at","","\I'konä\i (\I'kogu\i) know how to do smth.","\Ikhomā\i (\Ikhosu\i)  to find",   0,"\Ikoknɨ\i", 442,"\Ikhɔ̄ma\i", 674,"\Ikhaŋma\i", 566,""
  74,"*ʔkùn",2052,"smoke","\Ikun\i","\Ikujku\i (reduplication)","\I'mikmö\i ( < \I*mi-qun-mə\i?)","\Imi-khōʔ\i", 851,"",   0,"\Imikma\i", 818,"\Imäkkhu\i", 788,"Toba 96 *mikma."
  75,"*[k]ok- (?)",   0,"snail","","\Ikɔkciŋel\i","\Ikokciŋger\i snail, slug","\Inekhokriŋ\i (?)",   0,"",   0,"\Ikɔkɔrɔŋma\i", 554,"",   0,"Toba 96 *kokciŋel."
  76,"*gèpsi ~ *gèsip (/ʔk-)",   0,"soya bean","","\Ikɛksi\i","\Igipsi\i","\Ikhesippā\i bean",   0,"\Igjāksi\i", 275,"",   0,"\Ikäkkräŋma\i (?)", 480,""
  77,"*ʔkèl",   0,"split","","","\Ikelnä\i (\Ikelu\i) split, cut lengthwise","\Ikhemmā\i (\Ikheru\i) split",2253,"",   0,"",   0,"",   0,""
  78,"*ʔkar",2565,"star","","","\I-gɔr\i in \Isɔŋgɔr\i 'star'","\Ikhe-\i in \Ikhese\i",2140,"",   0,"\I-ger\i in \Isɔŋger\i 'star'",   0,"\I-ge\i in saŋge 'star'",   0,"Toba 96 *sVkar (cf. *saŋ)."
  79,"*[g]ep(s)",   0,"sticky","\Ikepcok\i greasy","","(EKg) \I'kehpä,\i (CSDP) \I'kehpä\i sticky","\Ikhipmā\i (\Ikhipsu\i) to paste (cf. also \Ikhimma,\i \Ikhisu\i) adhere",2173,"",   0,"\Ihamma\i", 404,"\Ikepma\i", 488,""
  80,"*ʔkoru(sit)",   0,"walnut","","\I'kosi\i","\Ikursi\i","\Ikhājuse\i (cf. also \Ikhājū-siŋ\i walnut tree)",2168,"\Ikursi-bhu\i", 457,"\Ikharsi\i 'walnut', \Ikharpɔwa\i 'walnut tree'", 604,"",   0,"\I-*sit\i  fruit."
  81,"*[ʔk]ek",2025,"tie, bind","","\Ikik-\i tie, knot","","\Ikhekmā\i (\Ikheksu\i) bind, \Ikheŋmā\i (\Ikhekkhu\i) fasten",2155,"",   0,"",   0,"\Ihi:kma\i", 334,""
  82,"*ŋīn (/*ŋīm-)",   0,"fear","","\Iŋim-(t)\i fear","\Iŋajnä\i (\Iŋandu\i) fear, \Iŋajpä\i fearful","",   0,"",   0,"",   0,"",   0,"Toba 90 *ŋi(m)-."
  83,"*ŋə̀",2501,"fish","","\Iŋō\i","\Iŋö\i","\Iŋā,\i \Inā\i", 895,"\Iŋɨ\i", 827,"\Iŋa\i", 929,"\Ina,\i ŋa", 866,"Toba 90 *ngo(y)."
  84,"*ŋə (~-a)",2475,"five","","\Iŋo\i","","\Iŋā-si\i (dial. na-si)", 949,"\Iŋo\i", 830,"\Iŋaci\i", 930,"\Inaʔum\i", 907,"Toba 90 *bh-ŋVk (?? comparing Kal. bhöm)."
  85,"*ŋä̀n",2493,"front, in front of, face","\Iŋõj-ti\i  in front of, before","\Iŋaddo\i (AS \Iŋaddo\i) before (of time, space), \Iŋali\i face, appearance","\Iŋali\i appearance, form","\Inā\i face, \Inārā\i countenance", 896,"\Iŋājɨ\i", 818,"\Iŋə\i 'mouth', \Iŋali\i 'beauty', \Iŋɔbɔ\i 'face'", 944,"\Ina-ǯik\i 'face'", 870,"Toba 93 *Ca (for some reason also adding Kal. kwam)."
  86,"*ŋar",2530,"growl, snore","\I'ŋor-ca\i snore","\Iŋor-\i roar (of tiger)","\Iŋarnä\i (\Iŋar\i) growl, roar (of animals)","",   0,"",   0,"\Iŋurma\i 'grunt'", 959,"",   0,""
  87,"*ŋòl",   0,"mix","","\Iŋol-\i knead, mix","\Iŋwɔlnä\i (\Iŋolu\i) mix, beat","",   0,"",   0,"\Iŋəlma\i", 948,"",   0,"Toba 92 *ŋal- (confused with *ʔkäl-)."
  88,"*ŋòp-c\L1\lə̀",2525,"neighbour","","\Iŋopcö,\i \Iŋopso\i neighbor, assistant","\Iŋwɔpsu\i bond friend","na:pmi 'someone else, other'", 976,"",   0,"\Iŋappa\i 'wife's elder brother'", 938,"\Inap-ma\i 'son or daughter's mother-in-law', nap-pa 'son or daughter's father-in-law'", 902,""
  89,"*ŋV̀m",2486,"think","","\Iŋomsi-\i awaken","\Iŋamnä\i (\Iŋimu\i) deliberate, think by oneself","",   0,"",   0,"",   0,"\Inamnam\i 'fondness, compassion'", 891,""
  90,"*ŋok",2527,"weep","\Iŋāk-ca\i","","\I'ŋonä\i (\I'ŋoŋɔ\i) cry, weep, \Iŋokpä\i (CSDP) weeping","",   0,"\Iŋoknɨ\i", 831,"",   0,"",   0,""
  91,"*ghä̀m(-s)",2665,"join, add","","","\Ighämnä\i (\Ighämu\i) add, join, connect","\Ikāmmā\i (\Ikāmsu\i) join, \Ikāp\i couple", 489,"",   0,"\Ikamma;\i \Ikemma\i", 517,"",   0,""
  92,"*ghrèm",   0,"branch","","\Igrem\i (but also \Igrɔŋ,\i \Igrɛŋ\i)","\Ighrem\i","",   0,"",   0,"\Igem\i", 351,"",   0,"Toba 88 *ghrem."
  93,"*ghrV̀", 699,"burn","\Igra-ca\i burn, light (itr.)","\Ighrü\i- (AS \Ighru-\i) burn (itr) (of wood or flesh)","\Ighränä\i (\Ighrä\i) burn, flash, shine; \I'ghrännä\i (\I'ghrättu\i) light,burn (tr.) (\I<*ghrV́t-\i)","",   0,"",   0,"\Ikhuima\i (?); \Ihuima\i", 694,"",   0,"Toba 88 *ghray-."
  94,"*ghràt",   0,"k. of plant (?cane, nettle)","\Igrā\i cane, rattan","\Igrenem,\i \Ighrenem\i (in the 2d part - \I*näm\i  "jungle, forest")","\Ighrenä\i nettle, rattan","",   0,"",   0,"\Igānam\i", 348,"",   0,"Toba 93 *grenä."
  95,"*ghrä̀",2544,"crab","","\Igrawa,\i \Igrajwa\i","\Ighrä\i","khɛ-bɔk crab",2225,"",   0,"\Igawa\i", 346,"\Ikhäʔäk\i 'a sp. of crab'", 594,""
  96,"*ghl[ù]m",1966,"deep","","","\Ighlɔmpä\i deep (of water)","\Ipāklum\i",   0,"",   0,"\Igumpa\i", 386,"",   0,"Cf. *plùm / *blùm 'sink'."
  97,"*ghrù(s)",   0,"eat, take food","","\Igrūsikpa\i \Iʒāsikpa\i one who cooks and eats selfishly by himself, \Igrūla\i cooking, meal","\Ighrunsinä\i take food, eat, \Ighrulɔ\i food","",   0,"",   0,"",   0,"",   0,""
  98,"*ghrùm (/*ʔkr-)",   0,"meet","\Igrum-ca\i","\Ighröm-\i, \Ikröm-\i","","",   0,"",   0,"",   0,"",   0,""
  99,"*ghú",2269,"nine","","\Igu\i","\I'ghu\i","",   0,"",   0,"",   0,"",   0,"Toba 93 *khuw."
 100,"*[gh]Vr",   0,"run, drive","\I'kher-ca\i  drive away","","\Igharnä\i (\Igharŋɔ\i) run, hurry","khɛpmaʔ",2244,"",   0,"",   0,"",   0,""
 101,"*ghàl",2138,"sweat","","\Igɔl\i  sweat","\Ighɔl\i sweat, steam","",   0,"",   0,"",   0,"",   0,""
 102,"*ghònduru",   0,"throat","","\Igundürü\i (AS \Igondüjü\i)","\Ighwandürü\i","",   0,"\Ighokta\i (?)", 278,"\Igāndiri\i", 347,"",   0,"Toba 97 *ghöndürü."
 103,"*ghrók",   0,"throw","","\Ighrok-\i throw","\I'ghronä\i (\I'ghroktu\i)  throw, diseard","",   0,"",   0,"",   0,"\Iruŋma\i (?)",1289,"Toba 99 *ghrok-."
 104,"*ghä̀m",   0,"tight","","\Igam-\i be tight (of stopper)","\Ighämpä\i tight (of box)","",   0,"",   0,"",   0,"",   0,""
 105,"*ghrùm",   0,"to tire","","\Ighrüm-\i be tired and/or hungry.","\Ighramnä\i (\Ighramŋɔ\i)","",   0,"",   0,"\Igumma\i", 384,"",   0,"Toba 98 *grim-. Cf. also T \Ikrüm\i- hunger."
 106,"*ghòŋ",   0,"to warm","","\Igo(t\i)- warm","\Ighonä\i (\Ighöŋu\i) to heat, to warm","\Iko\i, \Ikekobā\i warm [*kaŋ-]", 492,"",   0,"\Igɔ̄ma\i", 379,"\Ihuŋma\i", 379,""
 107,"*ghlà(-s) (~-ŋs)",   0,"win","\Igrā-ca\i","\Ighlɔs-,\i \Ighlɛs-\i (AS \Iglɔ̄s-\i) win","\Ighlɔ-nä\i (\Ighjɔnɔ\i) win, defeat; \Ighlɔŋpä\i superior","",   0,"",   0,"\Ikɔ̄ma\i", 565,"\Ihe:-ǯama\i", 313,"Toba 99 *ghla(s)-."
 108,"*gràkmə", 822,"ant","","\Igrakmu\i very small variety of ant","\Igrɔkmö\i ant which eats potatoes","",   0,"",   0,"",   0,"",   0,"Toba *grakmö."
 109,"*gìgi-",   0,"blue, green","\Igig(i\i)","\Igigi-m\i","\Igigi-m\i","\Ikuhik-la\i", 627,"",   0,"\Igigippa\i", 364,"",   0,"Toba 91 *gigim."
