"NUMBER","PROTO","PRNUM","PSPEECH","MEANING","NEPALI","DERCOMM","COMMENTS"
  68,"ba:tnɨ",   0,"vt-2a ba:t-ba:ts/ba:s","1) say 2) inceptive pseudo-aspectivizer 'to start, to begin, to commence'"," bhannu","","1) \IAniʔa\i \Imwo:\i \Iaba:stinim?\i What are you guys talking about? 2) vide  6.3.12."
  69,"bele",   0,"n.","loitering, idleness","","","in the lexicalized combination \Ibele\i \Ilɨnɨ,\i vide  \X0lɨnɨ\x \X0vi-4\x (3a)."
  70,"belo",   0,"n.","sickle, scythe"," hãsiyā.","",""
  71,"beluwa",   0,"n.","vide \X0belo.\x","","[attested in Sasarkā only]",""
  72,"berɨspɨ",   0,"n.","bat"," camerā, camero","[ber < byernɨ 'fly' + ɨspɨ 'mouse']"," cf.  \X0bhu-ɨspɨ.\x"
  73,"be:la",   0,"n.","period of time, time.","","[< Nep. belā 'period']",""
  74,"be:tnɨ",   0,"vi-3 bi:ts/bi:s-be:t","tear, wear through, break do to wear and tear"," chednu, phāṭnu, makinu",""," cf.  \X0tha:pnɨ\x \X0vt-1,\x \X0tha:tnɨ\x \X0vi-3,\x \X0tse:tnɨ\x \X0vi-3;\x \X0tse:tnɨ\x \X0vt-4.\x"
  75,"bəllə",   0,"n.","1) haste, hurry; 2) early, quickly","","[< Nep. balla 'at last, finally']","1) - cf.  mɨnɨ \X0vt-6a\x \X0(4)\x"
  76,"bəĺsinɨ",   0,"vr.non-erg.","relax, take a breather, take a rest"," bisāunu.","",""
  77,"bənnɨ", 824,"vt-5b bənd/bən-bənts/bəs-bən-bot","feel, touch"," chunu.","[dir. < botnɨ vi-3 'get riled up'] [?]",""
  78,"-bi",   0,"loc.postp.","in, at, to"," mā.","","e.g. \IkaNkɨ-bi\i in the water"
  79,"birma, birme",   0,"n.","younger sister","","","cf.  \X0tsa:ri,\x wa, \X0wa-birma.\x"
  80,"birma",   0,"n.","cat.","","[? < Nep. birālo ]",""
  81,"birmelu",   0,"n.","(also called danilu ) one of the three stones comprising the sɨptɨlu (q.v.), the stone situated nearest to the wall"," chorī-celi ḍhun%gā","[birme 'younger sister' + lu 'stone']"," cf.  \X0payadanilu.\x"
  82,"bislɨm", 677,"n.","lightning","","","\IKɨ́hɨm-sádzɨm-ləkə\i \Ibislɨm\i \Iləntsa\i The lightning emerged from the thunderhead; \IBislɨm\i \Io:pta\i (Nep. \Ibĳulī\i \Iuchiṭṭincha\i \I)\i Lightning will strike."
  83,"bi:de:nɨ",   0,"vt-6b bi:y/bi:-be: + vt-4 dit-dits/dis-det","(patient agreement with recipient, not object given) give, hand over, proffer"," dii hālnu.","[colligatively aspectivized bi:nɨ 'to give']",""
  84,"bi:lnɨ",   0,"vi-1 bi:l","spoil, go bad, go off"," bigranu.","","\IMəbi:lɨnə\i It hasn't gone bad"
  85,"bi:nɨ", 675,"vt-6b bi:y/bi:-be:","give something to someone, endow (patient agreement with recipient, not object given)"," dinu.","",""
  86,"bi:nnɨ", 654,"vt-2b bi:nd/bi:n-bi:nts/bi:s","fill"," bharāunu.","",""
  87,"bi:sunɨ",   0,"vt-6b bi:y/bi:-be: + vt-6a sa-suy/su-sɨ-so","(patient agreement with recipient, not object given) give away, give"," dii paṭhāunu.","[dimittively aspectivized bi:nɨ 'give']",""
  88,"bi:tunɨ",   0,"vt-6b bi:y/bi:-be: + vt-6a ta-tuy/tu-tɨ-to","(patient agreement with recipient, not object given) hand over, proffer"," dii rākhnu.","[ponently aspectivized bi:nɨ 'give']",""
  89,"bi:tsi", 676,"n.","dagger, knife"," karda",""," cf.  \X0bi:tsi-ba:tsi\x"
  90,"bi:tsi-ba:tsi",   0,"n.","hunting equipment, hunting gear.","","[bi:tsi 'dagger']",""
  91,"bɨkna",   0,"n.adv.","morning"," bihān","[< bɨknɨ 'bear young']","\Ibəllə\i \Ibəllə\i \Ibɨkna\i early early in the morning; cf.  \X0nulɨ,\x \X0si:na,\x \X0so:mna.\x"
  92,"bɨknɨ", 880,"vi-1 bɨkh/bɨk","bear young (of non-humans)","","","\IMom\i \Inaksɨm-nɨ\i \Ibɨkti\i Those two sheep yeaned; \IBhiʔi-mɨl\i \Ihambɨkha\i The cows have calved."
  93,"bɨlɨ",   0,"n.","rupee, money"," rupaiyāʔ, paisā",""," cf.  \X0so:ʔdzɨ.\x"
  94,"bɨlɨdam",   0,"n.","a sacrifice of money made during a pūjā or a small pūjā consisting of a sacrifice of money","","[bɨlɨ 'money' + -dam 'prayer, sacrifice']","cf.  \X0pahudam,\x \X0tsuwamdam.\x"
  95,"bɨlnɨ", 784,"vi-1 bɨl","run.","","",""
  96,"bɨlɨ-so:sel",   0,"n.","paper money, paper currency, bank notes","","[bɨlɨ 'money' + so:sel 'paper']","cf.  \X0tsəpnɨ-so:sel.\x"
  97,"bɨkɨmbhu",   0,"n.","the tree Melia azedarach"," bakaino.","[? < Nep. bakaino + -bhu 'tree']",""
  98,"bɨpm",   0,"adj.","1) short; 2) near, nearby","","[< bɨpnɨ vi-1 'be short']","2) - cf.  \X0ta:na:m.\x"
  99,"bɨpnɨ",   0,"vi-1 bɨph/bɨp","be short, become short","","","\IBɨptö\i \Ikhutsa\i It got shorter."
 100,"bɨ́rös, bɨ́rösi",   0,"n.","chilli pepper, spicy condiment"," acār.","",""
 101,"Bɨ́rösmi:",   0,"n.","a prominent Dumi clan","","[bɨ́rös 'chilli pepper' + -mi: 'man']","cf.  \X0sa:me.\x"
 102,"bɨsimbɨ",   0,"n.","eldest brother","","","cf.  \X0da:dze,\x \X0dɨspɨbɨ,\x \X0nana,\x \X0tɨmsibɨ,\x \X0to:dɨ,\x \X0to:dɨse,\x \X0wa.\x"
 103,"bɨtsɨlɨ",   0,"n.","small earthenware pot"," syāno han5ḍā, han5ḍī, syāno māṭoko bhāʔḍā.","",""
 104,"boʔi",   0,"n.","comb"," kãgī.","",""
 105,"boʔo", 774,"n.","word, language, matter, issue, conversation"," kurā.","",""
 106,"boknɨ", 665,"vi-1 bokh/bok","1) perseverative aspectivizer with intransitive verbs, e.g. khɨlboknɨ, repboknɨ, q.v.; 2) be arranged, be placed or positioned","","","cf.  \X0bhoknɨ\x \X0vt-2a.\x"
 107,"boknɨ", 647,"vi-3 bukh/buk-bok","be smashed, break, be or become broken, burst"," phuṭnu.","",""
 108,"boknɨ",   0,"vt-3 bukh/buk-bok","split bamboo (pa:bɨ ) along the grain, i.e. lengthwise"," phuṭāunu.","","cause to burst"
 109,"bokto", 639,"n.","shoulder (as seen from behind), shoulder blades","","","cf.  \X0khɨrnɨ.\x"
 110,"boktsam",   0,"n.","large locust or grasshopper species"," ṭhūlo phaṭyān%gro, ṭhūlo phaṭen%gro",""," cf.  \X0suppu.\x"
 111,"botnɨ",   0,"vi-3 buts/bus-bot","shout, cry; crow (of a cockerel)"," karāunu","","cf.  \X0u:knɨ.\x"
 112,"botnɨ",   0,"vi-3 buts/bus-bot","get riled up, be aroused (in the expression: -tsili botnɨ 'be angered, get angry', e.g. o:tsili butsa I got angry)"," rīs uṭhnu",""," cf.  \X0mɨnɨ\x \X0vt-6a\x \X0(6).\x"
 113,"bo:əri",   0,"n.","a species of large tree with white flowers and small leaves known in Nepali, at least in Khoṭān% district, by the name boharī","","","its tannish brown berries which grow in large bunches on high branches are dried in the sun as \Iyəkkam\i  (Nep. \Ibiskun\i \I)\i and pressed for cooking oil. The Nepalese botanist K.K. Regmi identifies the \Iboharī\i  as \ICordia\i \Idichomata\i or 'clammy cherry' of the \IEhretaceae\i family, also known in Nepali as \Ilasuḍā,\i the mucilagenous fruits of which are used to make a sweet, although the oil yield of \ICordia\i \Idichomata\i is exceedingly low."
 114,"-bö",   0,"postp.","individualizing postposition: 'as for...'","","[perhaps etymologically related to the numeral classifier suffix -bo, vide 3.5]","cf.  Nep. \X0-cāhĩ.\x"
 115,"Brasmi:",   0,"n.","vide \X0Bɨ́rösmi:.\x","","[in Sasarkā only]",""
 116,"bubu",   0,"n.","husband's elder brother","","[? < Nep. bubu 'father, father-in-law']","cf.  \X0da:dze,\x \X0dumbo;\x A woman refers to and addresses her husband's younger brother by the appropriate ordinal kinship term."
 117,"bulɨ",   0,"n.","vide \X0bɨlɨ.\x","","[attested in Sasarkā only]",""
 118,"bulɨdam",   0,"n.","vide \X0bɨlɨdam.\x","","[attested in Sasarkā only]",""
 119,"búrasi",   0,"n.","vide \X0bɨrösi.\x","","[attested in Sasarkā only]",""
 120,"Burasmi:",   0,"n.","vide \X0Bɨ́rösmi:.\x","","[in Sasarkā only]",""
 121,"buŕsi", 591,"n.","cucumber"," kāʔkrā.","[also attested in Sasarkā ]",""
 122,"busu", 724,"n.","cheek"," gālā.","",""
 123,"byerkhotɨ",   0,"n.","flood.","","",""
 124,"byernɨ", 649,"vi-3 byir-byer","fly"," uḍnu.","",""
 125,"bha", 680,"n.","anus"," mujī",""," cf.  \X0li:,\x \X0i:gdəm,\x \X0ka:diʔ,\x \X0tsirdəm,\x \X0wa:l.\x"
 126,"bhandzim",   0,"n.","cross niece, i.e. 1) sister's daughter (male speaking), 2) brother's daughter (female speaking).","","[< Nep. bhānjī 'sister's daughter' + -m nom.sf.]",""
 127,"bhanim",   0,"n.","+ -m nom.sf.] cross nephew, i.e. 1) sister's son (male speaking), 2) brother's son (female speaking).","","[bhani < Nep. bhānĳa 'sister's son'",""
 128,"bha:l", 634,"postp.","around, in the vicinity of, within and about.","","",""
 129,"bhenəm",   0,"n.","1) elder sister's husband; 2) elder sister's husband's elder brother; 3) elder brother's wife's elder brother; 4) husband's elder sister's husband; 5) wife's elder sister's husband.","","","1) cf.  \X0nana;\x \X03)\x elder brother's wife's elder brother; cf. \X0baudzɨm\x"
 130,"bhiʔi", 672,"n.","cow"," gāī","[also attested in Sasarkā ]"," e.g. \Ibhiʔi-po\i \Isu\i beef; cf.  \X0gorum.\x"
 131,"bhi:", 640,"n.","snake, serpent"," sarpa.","",""
 132,"bhoknɨ",   0,"vt-2a bhokt/bhok-bhokh/bhok","1) put, gather together, put together, arrange; 2) toʔo bhoknɨ weave, run the weft or woof through the warp; 3) transitive perseverative aspectivizer","1) lāunu, lagnu; 2) tān bunnu, tān lāunu","[dir. < boknɨ vi-1 'be arranged, be placed or positioned']","1) \IPɨkhɨ\i \Ibhokta\i \Ibhokta!\i Put clay there!  2) cf.  \X0pənnɨ\x \X0vt-2a,\x \X0pɨnɨ\x \X0vt-6a,\x \X0toʔo,\x \X0thɨri;\x \X03)\x vide  6.3.7."
 133,"bhoNsunɨ",   0,"vt-6a bhoksa-bhoksuy/bhoksu-bhoksɨ-bhokso","put, apply"," lagāi paṭhāunu.","[dimittively aspectivized bhoknɨ 'put']",""
 134,"bhoNtunɨ",   0,"vt-6a bhokta-bhoktuy/bhoktu-bhoktɨ-bhokto","put, place, position, apply"," lagāi rākhnu.","[ponently aspectivized bhoknɨ 'put']",""
 135,"bhorə", 652,"n.","frog, toad"," bhyāgutā",""," cf.  \X0loʔo.\x"
 136,"bhöri:",   0,"n.","barking deer, Muntiacus muntjak"," mṟga.","",""
 137,"bhu", 956,"n.","tree"," rukh.","",""
 138,"bhu-ɨspɨ",   0,"n.","tree squirrel","","[bhu 'tree' + ɨspɨ 'mouse']","cf.  \X0berɨspɨ.\x"
 139,"bhuskam", 753,"n.","fly, midge"," pipsā (which according to Rabinovic et al. (1968: 685) applies especially to midges flying around open cesspools)",""," cf.  \X0bhusuN,\x \X0bhusum,\x \X0bhutsaʔa,\x \X0gotsu.\x"
 140,"bhusum", 753,"n.","mosquito"," lāmkhuṭṭe",""," cf.  \X0bhuskam,\x \X0bhusuN,\x \X0bhutsaʔa,\x \X0gotsu.\x"
 141,"bhusuN", 753,"n.","houseflies, Musca domestica"," jhīʔgā",""," cf.  \X0bhuskam,\x \X0bhusum,\x \X0bhutsaʔa,\x \X0gotsu.\x"
 142,"bhutsaʔa", 753,"n.","bug"," kirā",""," cf.  \X0bhusuN,\x \X0bhuskam,\x \X0bhusum,\x \X0gotsu.\x"
 143,"daʔlo:", 794,"n.","fireplace, hearth in its entirety, consisting of the ba:kkuli and, situated therein, the sɨptɨlu, q.v."," aghenu.","",""
 144,"dabe",   0,"n.","sheath.","","[< Nep. dāp ]","[attested in Sasarkā only]"
 145,"Dakhɨli-Surita",   0,"n.myth.","the mother of the original human family, one of the parents of Khopsi-Lɨkpa","","","cf.  \X0Mukuli-Ya:rita.\x"
 146,"dakhö́ri:lɨ",   0,"n.","incantation or prophecy, uttered by a shaman"," mundhum.","[< ri:lɨ 'myth handed down by word of mouth']",""
 147,"dani",   0,"n.","girl.","","[bound morpheme: in the word danilu, payadanilu ]",""
 148,"danilu",   0,"n.","(also called birmelu ) one of the three stones comprising the sɨptɨlu (q.v.), the stone situated nearest to the wall"," chorī-celi ḍhun%gā","[dani 'girl' + lu 'stone']"," cf.  \X0payadanilu.\x"
 149,"da:dze",   0,"n.","1) elder brother; 2) husband's elder brother","","[< Nep. dāje, dājū, dājyu ]","1) cf.  \X0bɨsimbɨ;\x \X02)\x cf. \X0bubu,\x \X0dumbo.\x"
 150,"da:li",   0,"n.","chin","","[< Nep. dāhrī 'beard']","[attested in Sasarkā only] cf.  \X0da:lisəm,\x \X0dɨkhɨm,\x \X0dɨkhɨmsəm.\x"
 151,"da:lisəm",   0,"n.","beard","","[dali < Nep. dāhrī 'beard' + səm 'body hair']","cf.  \X0dɨkhɨm,\x \X0dɨkhɨmsəm.\x"
 152,"da:pḿsinɨ",   0,"vr.erg.","be stricken, be unpleasantly overwhelmed by a sensation, esp. the cold (dzuʔu ) or too much salt or chilly in food"," cākhnu","[da:pnɨ 'feel, taste']"," as opposed to \Ida:pnɨ\i \Ivt-2a\i 'experience, taste', reflexive \Ida:pmsinɨ\i  conveys the idea of an internal, durative or intense sensation, e.g. \IDzuʔu\i \Ida:pmstɨ\i (Nep. \IJāḍo\i \Icākhi\i \Irahanchu;\i \Imero\i \Iaŋ-mā\i \Ijāḍo\i \Icha;\i \Ibhitra\i \Iajhai\i \Ijāḍo\i \Ibhai\i \Irahancha\i\I)\i I am cold (persistent internal cold) vs. ANa \Idzuʔu\i \Ida:ptə\i I feel the cold, I feel cold; \Idzuʔu\i lɨnɨ \Ivi-4\i (2g), \Idzuʔu\i \Imɨtnɨ\i \Ivt-2a\i \I(4).\i"
 153,"da:pnɨ", 390,"vt-2a da:pt/da:p-da:ph/da:p","beat, pound (gu, sikiri clothes, clothing against rocks or with a stick at the riverside whilst washing).","","",""
 154,"da:pnɨ", 762,"vt-2a da:pt/da:p-da:ph/da:p","experience, taste, feel (esp. an unpleasant sensation, e.g. dzuʔu 'the cold')"," cākhnu","","\IRɨm\i \Ikö-yi\i \Ilo:\i \Iye\i \Iməlo:nə\i \Iye\i \IaNa\i \Ida:ptə\i I'll taste whether there's any salt in the \Itihun\i or not; cf.  \X0dzuʔu\x \X0lɨnɨ\x \X0vi-4\x (2g), \X0dzuʔu\x \X0mɨtnɨ\x \X0vt-2a\x \X0(4),\x \X0da:pmsinɨ.\x"
 155,"da:ppa:nɨ",   0,"vt-4 da:ppad/da:ppət-da:ppəts/da:ppəs-da:ppə","give a beating, pound systematically, esp. clothes, clothing (gu, sikiri ) against rocks or with a stick at the riverside whilst washing).","","[allatively aspectivized da:pnɨ 'beat, pound']",""
 156,"delme", 527,"n.","1) younger brother's wife; 2) younger sister's husband's younger sister","","","1 - cf.  \X0wa\x"
 157,"deltsu",   0,"n.","vide \X0moktsu.\x","","[del- 'in-law (younger than speaker)', cf. delme; tsu < tsuʔu 'child']",""
 158,"depnɨ", 795,"vt-2a dept/dep-di:ph/di:p","cover, cover up, shut off, seal"," chopnu, ḍhāknu",""," cf.  \X0khopnɨ.\x"
 159,"de:ʔe",   0,"adv.","lexicalized adverbial complement of the verb photnɨ vt-2a, q.v.","","",""
 160,"de:l", 381,"n.","village"," gāũ.","",""
 161,"de:lbɨ",   0,"n.","a collection of villages, a cluster of settlements.","","[< de:l 'village']",""
 162,"de:lkɨ",   0,"n.","village water source, village well.","","[de:l 'village' + kɨ 'water']",""
 163,"de:lme",   0,"n.","large village, bazar.","","",""
 164,"de:nɨ",   0,"vt-4 dit-dits/dis-det","colligative aspectivizer with transitive verbs","","","vide  6.3.8."
 165,"de:rnɨ",   0,"vt-1 di:r-de:r","suit someone"," suhāunu.","",""
 166,"de:sinɨ",   0,"vr.non-erg","colligative aspectivizer with reflexive verbs","","","vide  6.3.8."
 167,"-de:y",   0,"postp.","1) about, around, near; 2) by way of."," nera, nira","",""
 168,"dəbe:lbhu",   0,"n.","the tree Garuga pinnata"," dabdabe.","[< -bhu 'tree']",""
 169,"dəklo",   0,"n.","vide \X0dəkhlö.\x","","[attested in Sasarkā only]",""
 170,"dəkhlö", 510,"n.","head"," ṭāuko.","",""
 171,"dəkhlö-sa:lu",   0,"n.","skull (in its entirety)","","[dəkhlö 'head' + sa:lu 'bone']","cf.  \X0khoplɨ.\x"
 172,"dətnɨ", 526,"vt-2a dət-duts/dus","1) fetch (e.g. water); 2) set (a trap, e.g. pha:r 'a snare').","1 - tāpnu","","1 - (with \Imi\i 'fire') warm up by the fire"
 173,"Dibudam",   0,"n. [< -dam 'prayer ritual']","ritual'] three-day ceremony which constitutes the third festival in the four-year festival cycle of the Na:ghɨ","","","cf.  \X0Moʔo,\x \X0Na:ghɨ,\x \X0nɨ\x \X0wa:tnsinɨ,\x \X0nukhil\x \X0dhyəknɨ,\x \X0Ti:dam,\x \X0Tsi:dam,\x \X0Tsomdam.\x"
 174,"dibusɨ",   0,"n.","the tree Castanopsis hystrix","","[< sɨ 'wood']","\Iṭhulo\i \Ikaṭus;\i cf.  \X0isilimbhu,\x \X0pi:sibhu.\x"
 175,"Dikmi:",   0,"n.","the most numerous Dumi clan in the Mākpā area","","[< -mi: 'man']","cf.  \X0Dikpa,\x \X0sa:me.\x"
 176,"Dikpa",   0,"n.","clan name in Mākpā, same as Dikmi:.","","",""
