"NUMBER","PROTO","PRNUM","MEANING","CHIN","CHINNUM","TIB","BURM","KACH","LUSH","LEPCHA","KIR","KIRNUM","STLSNUM","COMMENTS"
  55,"*mă",   0,"advise","譕 \I*m̲a\i induce, advise.",8011,"","\Ihma\i instruct, ask to do.","","","","",   0,   0,""
  56,"*mā (-t)",   0,"lower part, end","末 \I*māt\i tip, end.", 255,"\Ima\i a root signifying below, \Idma,\i \Isma\i be low, \Ismad\i the lower part.","","","","","",   0,   0,"Kham \Ime-kə\i down below, \Ime\i \Idà\i downward, \Ime-lə\i down below. Gong 71."
  57,"*măH (-k)",   0,"war, army","武 \I*m(r\i)\Iaʔ\i martial, military.", 969,"\Idmag\i army, host, war.","\Imak\i soldier, war, LB \I*makx\i martial.","\Idəmyaʔ\i\I\H2\h\i bandit.","","","",   0,   0,"Miri \Imi-māk\i be at war. Sh. 204; Luce 67."
  58,"*mă(H)", 425,"not","無 \I*ma\i not have, not.",2660,"\Ima\i not.","\Imaʔ\i a verbal negative.","\Imaʔ\H3\h\i be exhausted, ended, \Išəmat\H2\h\i be lost; (H) \Ima\i nothing (cf. also \Imje\i be lost, gone).","KC\I *maʔ ~ māk'\i (cf. Lush.\I ma\i (\Imāk\i) to give up, to divorce (one's wife)).","\Ima\i 1 for \Imat\i used in negative; \Ima\i 2 i.q. \Imă\i part.neg.","\I*mV\i", 618,1270,"Cf. also Tib. \Imin\i (\I < ma-gin\i) is not; Burm. \Imajʔ\i have not; OCh. 勿 \I*mət\i don't, 未 \I*məts\i not yet, 亡 \I*maŋ\i have not. Moshang \Imu\i; Namsangia \Ima\i; Kanauri \Ima\i; Kham \Ima\i negative affix; PG \I*ma'\HL\h\i be lost; BG: Bodo \Iga-ma\i disappear, \Ika-ma\i to lose, Dimasa \Igama,\i \Ikama\i lose, disappear, perish, \Ikhama\i destroy, Garo \Imat\i be spent,\I gimat\i destroy; Kham \Ima\HL\h\i become lost; Magari \Ihma,\i \Ihmat\i be lost. Ben. 101, Sh. 134, 430."
  59,"*măH",   0,"a k. of bird (parrot, peacock)","鵡 \I*m̲aʔ\i parrot.",4961,"\Irma-bja\i  peacock.","","","","","",   0,   0,"Bodo \Iməy-ra\i peacock."
  60,"*mə̄H",  11,"mother; woman","母 \I*mə̄ʔ\i mother.", 259,"\Ima\i mother (cf. also \Irmo\i grandmother).","(?) \Imaj\i mother, LB \I*ma\i (Ben.) (cf. Burm.\I -ma\i female suffix), \Iə-maʔ\i female, woman.","","","\Imo,\i \Ia-mo\i mother","\I*mä́\i", 616,1182,"PG \I*ama\i mother; BG: Garo \Iama\i, Bodo \Imá\i mother, \Ibi-ma\i female; Kham \I-ma\i the female of a species; Kanauri \Iama\i; Lepcha \Iamo\i; Bahing \Iəmo\i (but \Iwəma\i my mother), Vayu \Iumu\i; Digaro \Ina-ma\i, Dhimal \Iama;\i Chepang \Ima\i. Ben. 148."
  61,"*miə̆ŋ",   0,"name","名 \I*mheŋ\i name.", 341,"\Imiŋ,\i \Imjiŋ\i name.","\Imań\i name, to be called, \Ihmań́\i to name, call, LB \I*(s\i)\Imiŋ\i.","\Imjiŋ\H1\h\i a name, \Išəmjiŋ\i\I\H3\h\i to name.","\Ihmiŋ\i name, reputation, KC \I*r-hmiŋ\i.","\Imiŋ,\i \Ia-miŋ\i a word","\I*mìŋ\i // \I*nìŋ\i", 617,1261,"PG \I*min\i; BG: Garo \Imiŋ,\i Dimasa \Imu\i, Bodo \Imuŋ\i; Moshang \Imiŋ\i; Namsangia \Imin\i; Kham \ImìN\i; Mantshati \Imin\i; Thebor \Imin\i; Dhimal \Imiŋ\i. Simon 16; Sh. 38, 124, 134, 407, 430; Ben. 31."
  62,"*mĕjH (~-ia-)",   0,"forget","",   0,"","\Imĳʔ\i to forget, lose conscience, LB \I*mĳʔ\i.","","\Ihmaiʔ\i (Sh.).","","",   0,   0,"? PG \I*ml[è]\i to forget; Bodo \Igə-mə\í to forget, lose; Kham \Imē\HL\h\i to forget; Rgyarung \Iko-si-mis\i. Sh. 76."
  63,"*majH (~-ejH)", 722,"spot, birth-mark","",   0,"\Irme\i spot, speck, mark, a natural mark on a cane; mole, mother-spot.","\Ihmaj\i birth-mark.","","","","",   0,   0,""
  64,"*mājH",   0,"small","麼 \I*m̲ājʔ\i small.",3714,"","\Ihmwah\i be tiny.","\Ima\H2\h\i child; (H) \Iləma\i some, few.","","","\I*(ʔi)mi-\i", 625, 696,"Bodo \Imén\i little; Kanauri\I mi\i; Vayu \Imĭ\i; Hrusso B \Imī́\i. Sh. 171. Cf. also OCh. 微 \I*məj\i minute, small, ? Jnp. \Iəmun\i small dust-like particles. There apparently also existed a synonymous root *mar - reflected in Bodo *mər, Magar mar-khe, Ersu mar.55 mar.55 'small', but in most languages it is difficult to distinguish from *mājH."
  65,"*māk", 277,"son-in-law","",   0,"\Imag,\i \Idmag\i son-in-law.","\Isa-mak\i son-in-law, LB \I*smakx\i.","\Idəmaʔ\H3\h\i son-in-law.","\Imāk-pa\i a sister's or daughter's husband (LS), KC \I*māk\i.","\Imyók\i a bridegroom, a son-in-law","\I*mak\i ( ~ -o-,-ə-)", 815,   0,"PG \I*maC\HL\h \iyounger sister's husband; Thankur \Imak-cinaw\i two clans closely related due to a number of marriages; Pwo, Sgaw \Imaʔ\i son-in-law; Miri \Imak-bo\i; Dhimal \Ihma-wa;\i. Sh. 38, 409; Ben. 71, 136; Mat 201."
  66,"*māk", 857,"want, love","慕 \I*māks\i love, think longingly of, 莫 \I*m̲āk\i to plan, deliberate.",3786,"","\Imak\i be greedy, lustful.","","","","",   0,   0,"Luce 67; Coblin 105."
  67,"[*mal]",   0,"squirrel","",   0,"","","(H) \Imai\i a squirrel.","","","",   0,   0,"Bodo \Iman-dar\i squirrel."
  68,"*măm",   0,"paddy; food","",   0,"","","\Imam\H1\h\i paddy.","\Imam\i food, rice.","","",   0,   0,""
  69,"*măn",   0,"empty, vacant","",   0,"","","\Iman\H2\h\i be empty, vacant.","\Ihman\i have leisure, have time.","","",   0,   0,"Kham \ImiN-si\i lazy."
  70,"*mā̆n",   0,"a k. of fish","饅\I *m̲ā̆n\i eel.",4951,"","","(H) \Iman\i a shark.","","","",   0,   0,"Another possibility is OCh. 鮸 \I*m̲arʔ\i a k. of fish."
  71,"*mə̆ŋ (/ *mə̆k)", 608,"dream","夢 \I*mhəŋs\i dream.",3381,"\Irmaŋ-lam\i dream.","\Imak\i to dream, LB \I*mak\i; (Ben.) \Ihmaŋ-ća-saŋ\i walk in sleep, \Ihmaŋ-tak-miʔ\i to be possessed (applied to somnambulism).","\Imaŋ\i\H1\h to dream.","\Imaŋ\i (\Iman\i) to dream, KC \I*maŋ\i.","\Imoŋ\i a dream","\I*mə̀k\i // \I*mə̀ŋ\i", 611,   0,"PG \I*maŋ\HL\h\i dream; Thankur \Iməŋ\i dream; Miri \Iim-maŋ\i; BG: Garo \Idźu-maŋ\i, Bodo \Isi-máŋ\i dream; Kham \IməN\i; Kanauri \Imaŋ\i; Rawang \Iip-maŋ\i; Trung \Imlaŋ\H1\h\i. Sh. 38, 139, 410, 444; Ben. 31; Mat. 169. ?Cf. Khmer srəmaəŋ 'half asleep'."
  72,"[*mVŋ]",   0,"body","",   0,"","","","","","",   0, 624,"Mikir miŋ 'heart'; Dhimal himuŋ, Konyak: Phom vom-moŋ, Chang ši-muŋ 'belly'."
  73,"*māŋ",   0,"great, much","芒, 茫 \I*māŋ\i, 荒 \I*smāŋ\i great, extensive.",1848,"\Imaŋ\i much.","\Imaŋh\i king, LB \I*maŋx\i elder.","","","\Imón\i much, many; a number, a flock, a crowd","",   0,  18,"Trung \Idəmaŋ\i big (of persons). Sh. 72. Cf. Ao-Chungli temaŋ 'all', Pumi *mV ( < *mVŋ) id."
  74,"*mə̄ŋ",1206,"die","薨 \I*smə̄ŋ\i to die (of king).",4558,"","LB \I*mhaŋ\i corpse.","\Imaŋ\H1\h\i a corpse, carcass.","\Imaŋ\i to die.","\Imak\i to die, said of man, animal, tree, fire, dispute; dying","",   0, 909,"Possibly related to \X0*mă(H)\x not, disappear (cf. the suffixed form: OCh. 亡 *maŋ). BG: Garo \Imaŋ-gi-si\i, Dimasa \Imaŋ-\i corpse; Rawang \Iă-māŋ\i id. Sh. 405, 444."
  75,"*mə̄ŋ / *mə̄k (s-)", 361,"ink","墨 \I*mə̄k\i ink.",4097,"\Isnag\i ink, Indian ink.","\Ihmaŋ\i ink.","(H) \Imak\i dye, colouring, used in tattooing.","","","",   0,   0,"Tibetan \Isnag\i is probably due to influence of \Inag\i 'black'; Luce 75."
  76,"*mar",   0,"oil, lard","",   0,"\Imar\i butter, oil.","","(H) \Isəman\i leaf-lard.","","","\I*mer\i", 765, 143,"PG \I*mar\HL\h\i; Kham \Imas\i; Melam \Ite-mar\i. Sh. 405. Cf. also Ao Naga *sə-mo, Tamang mar id. Cf. PAN *SimaR 'grease, oil, fat'."
  77,"*lVm",   0,"fly, wing","",   0,"","","","","\Ilám\i to fly","\I*phlə̀m\i", 735,  20,"Cf. also Naga *LVm 'fly'."
  78,"*mărH ( / *mrăjH)",   0,"busy, insistent","勉 \I*marʔ\i make an effort; vigorous.",1136,"","\Imrajh\i be insistent, obstinate.","","\Ihman\i-\Ihlel\i be busy.","","",   0,   0,""
  79,"[*mat]",  47,"nettle","",   0,"","","\Icəmat\H3\h\i, \Imat\H2\h-tuŋ\H1\h\i a nettle.","","","",   0, 207,"BG: Garo \Igilmat,\i Dimasa \Igerma\i; Rawang \Irəmat\i. Ben. 110. Here perhaps Chepang mat 'leaf'."
  80,"*māw",   0,"water weed","芼 \I*m̲āw\i vegetable plants (esp. used in soup).",5651,"","\Ihmaw\i seaweed.","","","","",   0,   0,""
  81,"*māw(H)", 258,"hair","毛 \I*mhāw\i hair.", 148,"","LB \I*məw\i\Iʔ\i hair.","","","","*mù body hair", 619,1232,"Cf. also Magar mi-mha, Sichuan *mu 'hair'."
  82,"[*mej]",   0,"a k. of deer","麛 \I*m̲ēj\i fawn, 麋 \I*m̲rĳ\i a k. of deer.",8164,"","","","","","",   0, 922,"Bodo \Iməy\i deer. Here perhaps the word for 'meat' in some TB languages: Konyak *mei, Kabui *kə-mV, Chepang mayʔ, (?) Lepcha mán."
  83,"*mĕjH (-t)",   0,"wash","渳 \I*m̲ejʔ\i wash.",6440,"? mi-ma 'tear'","","\Imjit\H1\h\i to wash the face.","","","",   0,   0,""
  84,"*mējH",   0,"fire","火 \I*sm[ē]jʔ\i fire.", 151,"\Ime\i fire.","\Imih\i, LB \I*m[e]jh\i fire.","\Imji\H2\h\i fire (only in compounds).","\Imei\i fire, KC \I*mèi\i.","\Imí\i fire","\I*mì\i", 613,1224,"PG \I*m[e];\i Kanauri \Imĕ\i; Kham \Imḕ\i \I\HL\h\i; Rgyarung \Itimi\i. Simon 19; Sh. 38, 124, 139. Ben. 65."
