"NUMBER","PROTO","PRNUM","MEANING","CHE","ING","BCB","COMMENT"
33,"*foʔ",428,"1 grain 2 egg 3 grain forage","hoʔa 2, hoʔ 3","fuʔ 1,3","oʔ 1","    The two words in Chech. are hard to separate, although words meaning "egg" belong to the 3d class, and words meaning "grain" - to the 6th class in Chech. and Ing. (in Ing. \Ifuʔ\i "grain forage" vacillates between 5th and 6th classes, and in Bacb. \Ioʔ\i "grain" belongs to the 5th class). The original meaning is pro- bably "grain, grain forage" (cf. the external evidence) with a secondary de- velopment of meaning "grain > egg". The Chech. form \Ihoʔa\i is obviously a result of a secondary analogy with the obl. stem \Ihoʔa-\i (Ing. \Ifuʔo\i).    The vowel -u- (instead of -o-) in Ing. (cf. also Chech. Cheb. \Ihuʔa,\i Pharch. \Ihuʔ\i "egg") is due to the strong labializing influence of initial *f-."
34,"*gagan",33,"egg","","","gaga~","    Isolated in Bacb., but with rather reliable external parallels."
35,"*bʡa",34,"eye","bʕrg","bʕarg","bʕarḳ","    The PN paradigm was \I*bʡa,\i \I*bʡare-,\i with a diminutive form \I*bʡare-ḳ,\i which was preserved in all languages. The form \I*bʡa\i survives as \Ibʕa\i (somewhat archaic) in Chech. and Ing. The word vacillates between 5th and 6th classes in all languages (bj in Bacb.)."
36,"*mo“",130,"fat (n.)","mo“","mu“","","    Obl. base \I*ma“ar-,\i cf. Chech. \Ima“ara-,\i Ing. \Ima“aro.\i 4th class in Chech., but 6th class in Ing. -u- in Ing. is due to labialization after m-."
37,"*pla-ḳ",430,"feather","plag","","","    Isolated in Chech., but with reliable external parallels."
38,"*e",38,"fire","e","i","e","    PN paradigm: \I*e,\i \I*ari-\i (Chech. \Iera-,\i Ing. \Iero,\i Bacb. \Iari-\i); 4th class."
39,"*ʕre",431,"fish","ra","ra","are","    6th class in all languages. Cf. also Shar. \Iri,\i It. \Ira.\i"
40,"*--",135,"walk, roam; fly","ll-","lel-","lel-","    Initial *l- in most forms is either a prefix or the result of an old reduplication (without it cf. Bacb. imper. \I-ol\i "come (here)!"). Cf. also \I*--b--\i in Chech. \I-l-\i "to walk across, walk out". Since Chech. and Ing. have preserved only the durative stem, it is hard to establish vowel  length in the PN terminative form \I*l-a-\i ( > Bacb. \Ilal-\i). The affricate *-- is reconstructed on basis of Bacb. (Matsiyev) \Ile-,\i (Kadagidze) \Ilel-.\i"
41,"*kḳ",267,"foot, leg","kog","kog","koḳ","    Obl. base \I*kḳa-\i (Chech. \Ikga-,\i Ing. \Ikoga-\i). 6th class in all languages."
42,"*=u-i(na)",44,"full","=z-na","=iza","=u-ino","    A participle form from PN \I*=u-\i "to be filled, satiated" (Chech. \I=uz-,\i Bacb. \I=u-\i). It is rather probable, that PN \I*=a-i(n)\i 'heavy' (Chech., Ing. \I=eza,\i Bacb. \I=ai~,\i Cheb. \I=azi~,\i Khild. \I=eʒi\i etc; the pure root is preserved in Chech. \I=az-dan\i "make expensive", Bacb. \I=a-dar\i "make heavy") is an Ablaut variant of the same stem."
43,"*=a-",45,"give","=al-","=al-","=a-","    Pres./fut. \I*lo\i (Chech., Bacb. \Ilo,\i Ing. \Ilu\i). Cf. also the Ablaut stem (with a preverb) \I*t--\i in Chech. \Itl-\i 'to pay', Bacb. \Ite-\i 'to give'."
44,"*dik-/*dak-",432,"good","dika","dika","daki~","    Vocalism unclear: \I*dik-i(n)\i in Chech., Ing. (cf. also Chech. Usl. \Idiki\i), but \I*dak-i(n)\i in Bacb."
45,"*bc",433,"grass","buc","buc","buc","    Obl. base \I*bci-\i (Chech. \Ibca-,\i Ing. \Ibco\i). 4th class in all languages. Cf. also Chech. \Ibccara\i (Usl. \Ibcciri\i), Ing. \Ibccara\i 'green' ( < \I*bcci-ri(n\i) with expressive gemination)."
46,"*ʔap- ?",434,"green","","","ape~","    Isolated in Bacb. with no obvious etymology."
47,"*‰o",340,"hair","‰o","‰o","‰o","    6th class in all languages."
48,"*ko",268,"hand","kg","kulg","ko","    The PN paradigm should be probably reconstructed as \I*ko\i (Bacb. \Iko,\i Chech., Ing. \Ika\i with vowel levelling - but cf. also Ing. \Iko\i 'handle', perhaps preserving the old direct stem), \I*kar-\i (cf. Chech. \Ikara,\i Ing. \Ikara\i "into one's hands", Bacb. obl. base with vowel levelling \Ikor-\i). The stem \Ika\i is now preserved in Chech.-Ing. only in compounds, being replaced by a former diminutive \I*ku-leḳ\i (Ing. \Ikulg\i) / \I*ku-ʔiḳ\i (Chech. \Ikg,\i \Ikga-\i). 3d class in Chech., Ing.     Nakh *kuʔiḳ > Osset. \Iḳx\i / \Iḳox\i 'hand', see Abayev 1958, 644."
49,"*krta",256,"head","korta","korta","korto","    Obl. base \I*krti-\i (Chech. \Ikrta-,\i Ing. \Ikerto\i). 6th class in all languages."
50,"*ʯa-",435,"hear","ʯaza","ʯaza","ʯaar",""
51,"*doḳ",55,"heart","dog","dog","doḳ","    Obl. base \I*daḳi-\i (Chech. \Idega-,\i Usl. \Idegi-,\i Ing. \Idego\i). 3d class in all languages."
52,"*kur",436,"1 horn 2 arc","kur 1","kur 2","","    Obl. base \I*kure-\i (Chech. \Ikra-,\i Ing. \Ikuro\i). The word means specifically "horn of wild animals" (as opposed to \Imaʕa\i) in Chech. 6th class in Chech., 5th class in Ing."
53,"*mɦaʔo",205,"horn","maʕa","muʕa","mʕaʔo","    Chech. -ʕ- instead of -ʔ- under influence of the original *-ɦ- in the initial cluster. Cf. also Shar., Khild. \Imʕaʔa.\i 4th class in all languages."
54,"*s",2283,"I","so","so","so","    The PN paradigm is \I*s\i (nom.), \I*sa-\i (gen., cf. Chech. \Isa-n,\i Bacb. \Isa-ji~\i), \I*ʔas\i (erg., cf. Chech. \Ias,\i Ing. \Iaz\i). The length in \I*s\i is regularly shortened, but has been preserved in derivate forms like \I*s-nu\i (dat.) > Chech. \Is-na.\i"
55,"*-ɦw-",437,"kill","--","-e","-ʕev-","    PN term. *-ɦw-, dur. *ɦw- (preserved only in Bacb. ʕav-)."
56,"*gagu (--)",438,"knee","gla","go","gawgu","    The Chech. form goes back to \I*gagu-la\i ( = Ing. \Igola\i "elbow; curve") and means also "elbow, curve"."
57,"*ʯ-aʔ-",408,"know","ʯaʔa","ʯa","ʯeʔar","    PN term. \I*ʯaʔ-,\i dur. \I*ʯʔ-\i (Bacb. \Iʯeʔ-\i). The *ʯ- is an historical preverb."
58,"*=ab-",160,"1 to know 2 to get to know","=ovz- 2","=ovz- 2","=ab- 1, 2",""
59,"*ʁa",439,"leaf","ʁa","ʁa","","    3d class in Chech., Ing. Obl. base \I*ʁa-na-\i (Chech. \Iʁana-,\i Ing. \Iʁano\i)."
60,"*=ill-",133,"1 to lie 2 to put","ʕ-ill- 1,=ill 2","all- 1, =ill- 2","=ill- 2","    A very productive PN root with rich Ablaut. It forms two vowel grade pairs:     1) PN term. \I*-ill-\i (also with a *ʕ- preverb) > Chech. \Iʕill-\i "lie", \I-ill-\i "put upon (smth.)", Ing. \I-ill-\i "put", Bacb. \I-ill-\i id. / dur. \I*--b-l\i > Bacb. \I-ebl-\i "put upon, inside". The root is also used with a t- prefix ( \I*t-ill-\i 'to put (from above)' > Chech., Ing., Bacb. \Itill-,\i dur. \I*t-bl-\i > Bacb. \Itebl-.\i     2) PN intr. \I*-ll-\i > Chech. \I-all-\i (\I-ll-ira\i) "be (put) inside", Ing. \I-all-\i (\I-oall-\i) "to be inside", \Iall-\i "lie" / tr. \I*-ll-\i > Chech., Ing., Bacb. \I-oll-\i "to put inside, put in".     There are also some common Nakh forms with a single *-l- (geminated *-ll- in the forms listed above is either expressive, or reflects old suffixation). Besides \I*-bl-\i 'to put upon, inside' cf. also PN \I*=l-\i / \I*=bl-\i 'to begin' (Chech. \I=l-,\i Ing. \I=ol-,\i Bacb. \I=ol-\i / \I=ebl-\i), \I=l-\i / \I*=bl-\i 'to finish' (Chech. \I=l-/=l-/=owl-,\i Ing. \I=al-\i). The semantic change 'to put > to begin/finish' ('*to put a beginning/end') is widely spread in Caucasian languages.     An old nominal derivate is PN \I*lol\i ( < \I*r-ol\i = PC \I*rɨLə,\i PA \I*riV-\i) "leathern loop on belt for hanging up the dagger" (= "receptacle, place to put smth. in"), reflected in Chech. \Ilol\i (\Ilala-ra-\i), Ing. \Ilol\i (\Ilala-ro\i).     [The productiveness of this root in PN may be explained by the fact that it probably reflects a merger of two EC roots: \I*-Ew\i and \I*-iV\i 'to put'.]"
61,"*-i-",440,"1 lie  2 go to bed, go to sleep","-- 2","","-i- 1","    The Chech. form goes back to the PN Ablaut grade *-e-b--."
62,"*daHVʯ",441,"liver","doʕaʯ","dijʯk","dʕeʔ","    The PN reconstruction presents some difficulties. Chech. points to *-u- in the 2d syllable (\Idoʕaʯ\i < \I*daHuʯ\i), Ing. - to *-i- (\Idʯk\i < \I*daHiʯ-iḳ\i with a diminutive suffix) and Bacb. - to *-e-. Final -ʔ in Bacb. is probably a re- sult of assimilation (spirant -ʯ > laryngeal); anyway, it is impossible to separate the Bacb. form from Chech. and Ing. The word belongs to the 3d class in all languages."
63,"*=ʕʯ-(in)",66,"long","=ʯ-a","=ʕʯ-a","=aʯʯ-e~","    Cf. also Shar. \I=ʕʯi~,\i Cheb. \I=ʯe~,\i Khild. \I=ʕʯe\i etc. The geminated -ʯʯ- in Bacb. is obviously expressive. The pure root \I*ʕʯ-\i is present in Chech. \I=aʯ-dan\i "to lengthen", Bacb. \I=aʯ-dar\i id."
64,"*mae",67,"louse","meza","maza","ma","    6th class in all languages.. Cf. also Cheb. \Imaze,\i Khild. \Imeʒe\i etc."
65,"*bor",328,"1 bull-calf  2 male","bor 1, bra 2","bora 1,2","bor 1","    PN \I*bor,\i obl. \I*bara-\i (cf. Chech. \Ibara-n;\i short vowel reconstructed on basis of Chech. plur. \Iberaloj\i). Chech. \Ibra,\i Ing. \Ibora\i go back to a suffixed form \I*bor-e(n).\i The noun belongs to the 4th class in Chech., Ing., but to the 5th in Bacb."
66,"*maʡa ?",442,"man, male","","maʕa","","    Isolated in Ing., with no obvious parallels."
67,"*psṭu",124,"bull","stu","ust","psṭu","    Ing. has a secondary prothesis (\Iust\i < \I*u-sṭu\i). Obl. base \I*psṭare-\i (cf. Chech. \Istera-,\i Ing. \Iistar-o,\i Bacb. \Ipsṭari-\i). 6th class in all languages. The same historical root (with loss of *p-) is present in the compound \I*sṭ-aḳ\i "man, person" q.v."
101,"*sṭ-aḳ",370,"person, man","stag","sag","sṭaḳ","    Obl. base \I*sṭaḳe-,\i cf. Chech. \Istega-,\i Ing. \Isago,\i Bacb. \Isṭaḳi-.\i Historically a compound (for the first part cf. PN \I*psṭu\i "bull")."
68,"*duqa",443,"many","duqa","duqa","duq",""
69,"*i-iḳ",444,"meat","iig","","","    An isolated Chech. word, but with some external parallels."
70,"*dilʯu",69,"1 meat 2 fleshy part of body","dilʯa 2","dulʯ 1","ditʯi 1","    3d class in all languages."
71,"*butt",70,"moon, month","butt","butt","butt","    Obl. base \I*batti-\i (Chech. \Ibetta-,\i Ing. \Ibetto\i). 6th class in all languages."
72,"*lm",295,"mountain","lam","lɔm","lam","    Obl. base \I*lmu-\i (cf. Ing. \Ilɔmo,\i whence with vowel levelling the direct base \Ilɔm;\i in Chech. the old obl. stem is preserved in /Uslar/ \Ilmu\i "up the mountain", being replaced by the more common levelled obl. base \Ilma-na-\i). 6th class in all languages."
73,"*baḳa",445,"mouth","baga","bage","baḳ","    Ing. \Ibage\i reflects a suffixed form. 4th class in Chech., Ing., bj in Bacb."
74,"*e",72,"name","e","i","e","    Obl. base \I*ari-\i (Chech. \Iera-,\i Ing. \Iero,\i Bacb. \Iari-\i). 4th class in all languages."
75,"*in-",73,"new","ina","ena","ini","    For the pure stem cf. Chech. \Iin-dan\i "to renew". The full form in PN shows vacillation between \I*in-a(n)\i (Ing. \Iena\i) and \I*in-e(n)\i (Bacb. \Iini\i); Chech. \Iina\i may go back to either."
76,"*bus-",446,"night","bjsa","bijsa","bujsa","    The original root is well preserved in PN \I*bus-u\i "at night" (Chech. \Ibusa,\i Ing. \Ibus,\i Bacb. \Ibujs\i). The noun "night" is a derivate \I*busu-ja\i ( > \I*bujsa\i)."
77,"*maro",52,"nose","mara","mera","maro","    Obl. base \I*mari-\i (cf. Chech. \Imera-,\i Ing. \Imera-\i - originally a suffixed form; cf. also Bacb. \Imajra\i < \I*mari-ja\i "face"). 6th class in chech, Bacb., but 4th class in Ing. Cf. also Shar., Itumk. \Imarho\i "nose"."
78,"*ca",2273,"not (negative particle)","ca","ca","ca","Cf. also Chech. -za 'negative participle'."
79,"*c“a",2314,"one","c“aʔ","caʕ","c“a","    The final glottal stop is probably secondary (like in other numerals), but it led to an assimilatory development \I*c“aʔ\i > \Icaʕ\i in Ing. (cf.  without it forms like \Ic“\i "single", \Ic“a-nne\i /obl. base of \Icaʕ/\i etc.)."
80,"*daʁu",77,"rain","doʁa","doʁa","","    3d class in Chech. and Ing. Note that the verbal present stem \I*-ʁ-\i ( > Chech. \I-ʁu\i) "to come" has also the meaning "to rain, to snow"; thus the form \I*daʁu\i may have been deverbal in PN."
81,"*ar ?",447,"rain","","","ar","    An isolated Bacb. root with obscure etymology."
82,"*n",80,"road","ne","ni","ni","    Obl. base \I*ni-\i (Chech. \Ina-,\i whence with vowel levelling the direct base \Ine;\i Ing. \Ino,\i Bacb. \Inai-\i). 6th class in Chech., Ing., bd in Bacb."
83,"*rum ?",448,"root","ram","","","    An isolated Chech. word of obscure origin."
84,"*ʔablV (~--,--)",82,"1 root 2 village","evla 2","ovla 1","","    Vowel differences in Chech. and Ing. can be explained by different analogical levellings of a paradigm like \I*ʔabla,\i \I*ʔabli-.\i The semantic difference can be explained if we look at external evidence (this root reveals meanings like "root" and "kin, family > village" in many languages). Thus the resemb- lance of the Chech. word to Turkish (e.g. Tat. \Iaul\i "village" etc.) is probably accidental (at the most the Turk. word could have influenced the meaning of the Chech. word - but there are not enough reasons to speak of a loan)."
85,"*gga",84,"circle","g","g","gogo","    6th class in all languages. A wide-spread derivative is PN \I*gg-rV-\i "round" : Chech. \Igorga,\i Usl. \Igorga-\i (\I*gg-ra-n\i), Ing. \Igerga,\i Bacb. \Igogri~\i (\I*gg-ri-n\i)."
86,"*l-w- / *ʔ-",449,"to say","l-, l-","le-, al-","lev-, a-","    The PN paradigm is \I*ʔ-\i (term.) vs. \I*l-w-\i (with loss of initial vowel) (dur.). In Bacb. there also exists a secondary Ablaut stem \Ilaw-\i "to talk to someone"."
87,"*gu- / *=ag-",86,"see","g-","g-","gu-,=ag-","    The PN paradigm (term. \I*=ag-,\i dur. \I*gu-\i) has been preserved in Bacb.; Chech. and Ing. lost the terminative stem (because of the development *-g- > -0-)."
88,"*ʡa-/*ʡ-",194,"1 sit 2 stay 3 be in a quiet state","ʕ-/ʕ- 1,3","ʕe- 2","ʕe-/ʕa- 1","    PN dur. \I*ʕa-,\i term. \I*ʕ-;\i in Bacb. the stem is preserved only in the compound \Iʕe-aʁ-\i / \Iʕa-aʁ-\i "sit"."
89,"*iw ( / *uj)",1528,"1 ramrod 2 knitting needle 3 shuttle, spool"," 1,3","ij 1,3","uj 2","    6th class in all languages. The meaning 'sharp thing, sharp stick' is also present in anatomic compounds: Chech. \I-nosta\i 'tibial bone, fibula', Ing. \Iij-nosta\i id., Chech. \I-p“ars\i 'funny-bone, ulna'. The PN form was borrowed in Cham. \Iiwa\i (Gig. \Iiwa\i) 'sabre'."
90,"*ka",451,"skin","ka","oka","","    4th class in Chech.; 3d or 4th class in Ing. (3d class - generally, 4th class - "skin of a wolf, dog, hare etc."). Cf. also Pharch. \Ika,\i Lev. \Iwka.\i"
91,"*qaqan",182,"1 sheep-skin 2 skin","qaqa 1","qaqa 1","qaqa~ 2","    6th class in all languages."
92,"*nɦṗ",337,"sleep (n.)","nab","nab","nʕaṗ","    For long *-- cf. Chech. obl. stem \Inbara-;\i cf. also Chech. dial. \Inʕb.\i 4th class in all languages."
93,"*t“-",453,"sleep","t“-","t“-","to“-","    The Bacb. stem is probably corresponding to t“- in Chech. t“-ows-, Ing. t“-ajs-  'fall asleep' q.v."
94,"*fuw",251,"seed","hu","fu","huv","    Obl. base \I*fune-\i (Chech. \Ihna-,\i Ing. \Ifuno\i). 3d class in all languages."
95,"*ʕVm-",454,"small","ima","zʕam-iga","ome~","    The root reveals some irregularities (due to its expressive nature): unclear is the vocalism and the correlation between hushing and whistling consonants."
96,"*ʔi",2309,"demonstrative pronoun","i(-za)","i-z","e, i","    The stem \I*ʔi\i (with vacillation between i and e in Bacb.) is the normal pronoun for near deixis in Bacb.; in Chech./Ing. it designates the second degree of nearness and is also the standard 3d person pronoun."
97,"*ḳur",455,"smoke","ḳur","ḳur","ḳur","    Obl. base \I*ḳure-,\i cf. Chech. \Iḳra-,\i Ing. \Iḳuro,\i Bacb. \Iḳuri-.\i 5th class in Chech., 6th class in Ing. and Bacb."
98,"*-tt-",95,"stand","latt-","latt-","latt-","    For long *-- cf. Chech. pres. \Iltta,\i Ing. pret. \Ilttad.\i The root reveals a complicated Ablaut pattern:     a) PN \I*-itt-\i > Chech. \Ih-itt-\i to stand upon , \Iʁ-itt-\i to stand up (dur.);     b) PN \I*-ott-\i > Chech. \Ih-ott-\i to stand upon, \Iʁ-ott-\i to stand up (term.), Ing. \Iott-\i to become, Bacb. \Iott-\i to stand up, stop;      c) PN \I*-tt-\i > Chech., Ing., Bacb. \Ilatt-\i to stand."
99,"*sṭHo",456,"star","sda","seda","","    6th class in Chech. and Ing. Cf. also Cheb. sjdo, Shar. sjṭo, Khild. sjdo etc."
100,"*ṭɦari (--,--,-e)",357,"star","","","ṭʕejri","    The root is preserved only in Bacbi, but is no doubt archaic."
102,"*qra",360,"stone","qra","qera","qer","    6th class in all languages."
103,"*mlʯ",457,"sun","malʯ","malʯ","matʯ","    Obl. base \I*mlʯe-,\i cf. Chech. \Imlʯa-,\i Ing. \Imalʯo.\i 5th/6th class in all languages. Cf. also Akk. \Imarʯ\i id."
104,"*nki",458,"swimming","nka","nk","","    3d class in Chech. and Ing. Cf. also Cheb. \Inki,\i Khild. \Inki.\i Perhaps one should relate here also Bacb. \Inak-ar\i (3d class) "avalanche" (?)."
105,"*aḳu",459,"1 tail 2 short tail","oga 1","og 1","awḳu 2","    3d class in all languages. Cf. also Khild. \Iogu,\i Cheb. \Iagu\i etc."
106,"*muʁ (--)",333,"1 tail 2 part of harness (put under the tail)","mulʁa 2","mulʁa 2","muʁ 1","    The simple root has been preserved only in Bacb. (4th class); Chech. and Ing. forms reflect the PN derivate \I*muʁ-lV\i ( = Bacb. \Imujʁli\i)."
107,"*da-",2304,"demonstrative pronoun stem","dʕ","dʕa","da-“","    The actual stem \Ida-\i is clearly seen in Bacb. \Ida-ʯeʔ\i "because of that", \Ida-“,\i \Ida-“a\i "there". The Chech.-Ing. form \Idʕ\i is a contraction from \I*da-“a;\i it served as a basis for the now common demonstrative pronoun \Idʕ-ra\i "that"."
108,"*ha",2313,"demonstrative pronoun","ha-ra","ja, je-r","e-h, o-h","    In Ing. there has probably occurred a contamination of \I*ha\i and \I*ʔi\i (q.v.), and thus appeared the form \Ija.\i The root is used for near deixis ('this'); in Bacbi it is combined with other deictic stems: \Ie-,\i \Io-.\i"
109,"*“",2286,"thou (2d p.pr.)","“o","“o","“o","    PN paradigm: nom. \I*“\i (shortened already in PN; length is preserved in forms like Chech. dat. \I“-na\i < \I*“-nu\i), obl. \I*“a-\i (Chech., Ing., Bacb. \I“a-\i), erg. \I*ʔa“\i (Chech. \Ia“,\i Ing. \Iʕa\i < \I*aʕ\i with secondary voicing, Bacb. a“)."
110,"*moṭṭ",102,"tongue","mott","mott","moṭṭ","    Obl. base \I*maṭṭi-\i (cf. Chech. \Imetta-,\i Ing. \Imetto\i). 6th class in all languages."
111,"*ca",104,"tooth","cerg","carg","carḳ","    The simple form \I*ca\i is preserved in Ing. \Ica\i "tooth" (besides the more common \Icerg\i) and Chech. \Ice\i "horse's tooth" (vocalism levelled by analogy with the obl. base \Icena-\i). More widely spread is the original diminutive \I*car-iḳ\i (4th class in all languages). Cf. also Cheb. \Icarig,\i Shar. \Icerig\i etc."
112,"*ditt (  --,-ṭṭ)",460,"1 mulberry tree 2 tree","ditt 1,2","ditt 2","","    Obl. base \I*ditte-\i (-ṭṭ-), cf. Chech. \Iditta-,\i Ing. \Iditto.\i 3d class in both languages."
