"NUMBER","PROTO","PRNUM","MEANING","ABK","ABA","ADG","KAB","UBK","COMMENT"
11,"*gəʒa ?",688,"big","","","","","gəʒa","    Isolated in Ub. with obscure etymology."
12,"*bəA (?-s-)",617,"1 bird 2 wing 3 fly","a-ps(ṭʷ) 1","pssʕa- 3","bzəwə 1","bzuw 1","bz-pa 2","    PAT \I*pəsə-ʕa-\i (cf. also Bz. \Ia-ps,\i \Ia-ps-ṭʷ\i 'bird', Abaz. \Ipssʕa-ʷə\i id.); -ʕa is obviously a suffix. PAK \I*bzə-wə\i (where -wə is an archaic diminutive suffix).     Reconstruction of PAT *s (and, therefore, PWC *) is based on Abkh. Bzyb. evidence quoted in Marr's dictionary; since Bghazhba has not included the word in his book, it may well be Marr's misspelling - in that case we must reconstruct simply PAT \I*pəsə-ʕa-\i and PWC \I*bəsA.\i"
13,"*ʁʷəndʷA",689,"1 gadfly 2 small bird, bird","","","ʁʷədə 1","ʁʷəda 1","ʁʷə(n)dʷə 2","    Deriving Ub. \Iʁʷə(n)dʷə \ifrom \Iʁʷənə\i 'tree' (see Dirr 77) is obviously a folk etymology. Kab. \Iʁʷəda\i > Abaz. \Iʕʷəda\i (see Шагиров 1, 137)."
14,"*IA",277,"to bite","a-c-“a-ra","c-“a-ra","ja-ca-q:a-n","(ja)-ʒa-q:a-n","Iə-","    Cf. also Abkh. Bz. \I-c-“a-,\i Ub. 1st p. \Isə-Iə-n.\i In PAT and PAK present is a compound with 'tooth' as a first component: PAT \I*cə-“a-,\i PAK \I*c:a-q:a-.\i     PAT *“ reflects rather PWC *I (with palatalization due to Ablaut?); the normal reflex  is present in the reduplicated form PAT \I*aA\i (Abkh. \Ia-aa-ra,\i Abaz. \Ia-ra\i) = Ub. \IIaIə-\i 'to chew'."
15,"*ʷa",690,"black","a-jkʷa-a","kʷa-jʷa","s.ə-a","fə-a","a","    The PAT form is a compound \I*jəkʷa-ʷa\i (for the first part cf. Abkh. \Ia-jkʷa\i dark'). \I-ʷa\i can not be treated here as the same root as PAT \I*jaʷa\i 'blue, green' (q.v.) for accentological reasons: \Ia-jkʷa(j)a\i would be expected in Abkh.).         The PAK word \I*ʷəa\i 'black' goes back (as proposed by Шагиров 2, 103) to \I*ʷə\i 'black' + \I*ṗa-\i 'thick, dense' with secondary elision of -ṗ-; the root \I*ʷA\i 'black' is used also in a number of other compounds.         Since exactly the same correspondence is present in the word for 'fire' (q.v.) one can not separate the Ub. form from the rest, but problems remain: we have to account for deglottalisation and delabialisation of the root consonant. We can, however, suppose that the original form is still preserved in the word for 'coal': Ub. \Iga(n)-ʷa,\i cf. PAK \I*ʷa-məə\i id."
16,"*A",1445,"blood","a-a","a","ə","ə","a","    PAT \I*a,\i PAK \I*ə.\i Ub. def. \Ia-a.\i"
17,"*bəq:Iʷə (p:-,-ə~-)",902,"1 bone 2 carcass, skeleton","a-baʕʷ 1","bʕʷə 1","p:q:ə 2","p:q:ə 2","","    PAT \I*bAʕʷə,\i PAK \I*p:q:ə\i (with dissimilatory delabialisation). Ub. \Ipqə\i (\Ia-pq\i) 'bone' is considered (see Шагиров 2,48) an Adygh loan (as also Abaz. \Iṗə\i 'carcass, skeleton'), which must be true (otherwise we should expect pharyngealised -qI(ʷ)- in Ub.)."
18,"*ḳəḳa",791,"female breast, teat","a-ḳəḳa","ḳəḳa","","","","   PAT \I*ḳəḳa.\i"
19,"*bəʒə (--)",273,"female breast, teat","","","bəʒə","bəʒ","bəʒ","    PAK \I*bəʒə.\i There are no special reasons to treat Ub. \Ibəʒ\i as an Adygh loanword (the correspondences are all right). An expressive stem (with parallels only in Agul)."
20,"*Iʷa",26,"dog","a-la","la","“a","“a","wIa","    PAT \I*la,\i PAK \I*“a;\i Ub. def. \Ia-wIa.\i The Ub. pharyngealization suggests the PAT form \I*IʷaI;\i since, however, in PAT only uvulars and labials could have been pharyngealized, this probably means that we have in fact to reconstruct an early form with a cluster like \I*l-ʯIʷa\i or \I*ʯIʷla.\i It is possible that such a PAT cluster can reflect an earlier combination \I*ʯIʷr-\i (cf. another example of the same kind, PAT \I*ʷa-\i 'to grind')."
21,"*bəlA",693,"1 burn 2 burn, shine (intr.)","a-bəl-ra 1","bəl-ra 1","bLa- 2","bLa- 2","","    PAT \I*bələ-,\i PAK \I*bəLa-.\i"
22,"*cA",694,"1 burn 2 hot","a-ca 2","","stə-n 1","sə-n 1","ca- 1,2","    Cf. also Abkh. Bzyb. \Ia-ca\i id. PAK \I*sə\i / \I*stə.\i The AK intransitive verb is rarely used; more frequent is the derivate Ad. \Iʁa-stə-n,\i Kab. \Iʁa-sə-n\i 'to burn'. Origins of Ad. -t- are not very clear (perhaps a contamination with \Ipta-\i 'to boil' - cf. Kab. \Ipstə-r\i 'hot' /derived from \Ipstə-n\i 'boil'/ along with \Isər\i 'burning, scorching' = Ad. \Istə-r\i 'hot; burning, scorching')."
23,"*məə",18,"nail, claw","-ṗʯə-c","-ṗʯə/-mʯə","","","","    For PAT two compounds may be reconstructed: a) \I*naṗə-məxə\i 'fingernail' (\I*naṗə\i 'hand'), whence Abaz. \Inaṗʯə,\i Abkh. \Ia-naṗʯə-c,\i Bz. \Ia-naṗxə-c/a-napxə-s\i (with an additional suffixed -c); b) \I*aṗə-məxə\i 'toenail' \I(*aṗə\i 'foot'), whence Abaz. \Iamʯə,\i Abkh. \Ia-aṗʯə-c,\i Bz. \Ia-aṗxə-c/a-apxə-s/a-amxə-s.\i     Initial *m- is clearly visible in the second compound, while in the first it had been lost completely because of dissimilation with the initial n-.     PAT *x goes back to several PWC consonants (*,*,*(*:),*x); *-- is  chosen here because of EC counterparts. Abdokov (1983, 77) compares the AA form with PAK \I*(p)ʯʷa-mba\i 'finger' which is semantically dubious and phonetically impossible.      "
24,"*bə~zʷa",695,"1 horn 2 hoof 3 nail, claw","","a-mza 2","bza 1","bza 1","-ʷa 3","    PAK \I*bza\i (nowadays used mainly in the meaning 'horn for drinking'; 'horn of animals' is rendered by a compound \I*bza-q:ʷa\i q.v.). It is also used in compounds \I*a-bza\i 'hoof' > Ad. \Ibz,\i Kab. \Ibza\i (\I*a\i 'foot') = Abaz. \Ia-mza\i (but despite Шагиров 1, 89 this root has nothing to do with Abaz. \Imsa,\i Abkh. \Ia-msa\i 'horn matter' q.v.) and \I*ʡa-bza-na\i 'fingernail', \I*a-bza-na\i 'toenail' > Ad. \Iʡabzn,\i \Iabzn,\i Kab. \Iʡabzna,\i \Iabzna\i (\I*ʡa\i 'hand, \I*a\i 'foot', \I*na\i 'eye' - see Шагиров 1, 249; 2, 156).     Despite Abdokov (1983, 106-107) PAK \I*a-bza\i with the meaning 'root' is  hard to separate from the homonymous \I*a-bza\i 'hoof'. That is why Abaz.  \Iajʒa\i 'root' (having no Abkhaz counterpart) should rather be regarded as an  old Adygh loanword (although -j- instead of -b- is rather hard to explain).     Ub. \I-ʷa\i (probably with a late dissimilative loss of initial labial) is present in compounds \Ia(n)cʷa-ʷa \i 'fingernail' (\Iancʷa\i 'finger') and \Ia(n)cʷa-ʷa \i'toenail' (\Ia(n)cʷa\i 'toe'). Abdokov (1983, 82) cites Ub. \Iba\i  'horn' which is probably non-existant (while Abkh. \Ia-msa\i 'horn', also cited  ibid., goes back to PWC \I*pə~a\i q.v.)."
25,"*pəsətA (?)",696,"cloud","a-pst“ʷa","pst“wa","","","","    In Abkh. there coexist variants a-pta and a-pst“ʷa (bz. a-pst“ʷa). The variant a-pta may be explained by a secondary elision of -s- to avoid contamination with a-psta 'ravine' (see Шагиров 2, 28); we may also accept Shagirov's explanation (ibid.) of -“ʷa as an unvoiced variant of *ʕʷa 'smoke' (q.v.). We are thus left with the PAT root *pəsətA 'cloud' whose further etymology is unclear.     Shagirov's attempt (ibid.) to explain *pəsətA from *pəsə 'water, liquid' + *tA 'to give' must be rejected on accent grounds: the root *pəsA 'to wet, liquid' (q.v.) belongs to the dominant accent class in PAT and we should expect the accentuation *a-psəta (*a-psata) in Abkh. Abdokov's (1973, 27, 64) comparison with PAK *p‰a 'cloud', *p‰aʁʷa 'fog' must be rejected on phonetic grounds."
26,"*pəa",78,"cloud","","","pa","pa","","    PAK \I*p‰a.\i Shagirov's etymology (2,28) from \I*psə-‰a\i 'bringing water' is not enough grounded phonetically. Since PAK *‰ regularly goes back to PAT * we prefer to compare the AK root directly with the EC material."
27,"*ʷawəda ?",697,"cloud","","","","","awəda","    An isolated Ub. word with obscure etymology."
28,"*xə",698,"1 cold 2 to get cold, freeze","a-ʯ-aa 1","ʯ-ʷaʷa 1","-tə- 2","s-tə- 2","","    PAT \I*xə\i is attested both separately (Abaz. \Iʯ-ra\i 'get cold, cool down') and within compounds (PAT \I*ʯə-ta\i 'cold (n.)' > Abkh. \Ia-ʯta,\i Abaz. \Iʯta,\i \I*ʯə-sʷasʷa\i 'cold (adj.)' (with an unclear second component), \I*ʒə-ʯə\i 'cold water, spring' (Abkh. \Ia-ʒəʯ,\i Abaz. \Iʒəʯ\i).     PAK \I*ətə-\i = PAT \I*xə-ta.\i Abdokov (1983, 104) attempts to relate the PAT root (separated from PAK)  to Arch. \IʯIe-\i 'cold'; this is obviously impossible (the Archi form, along  with a number of other EC reflexes, goes back to PEC and PNC \I*=HiGA\i q.v.)."
29,"*ʷə (/*‰ʷə)",331,"cold","","","‰əʡa","səʡa","‰ə","    PAK \I*ə-ʡa\i (in Ad. a secondary dissimilative deglottalisation). It is harder to account for deglottalisation in Ub.; in any case, the PAK and Ub. forms are obviously related. Cf. also Ub. impers. \Ia-‰ə\i 'it is cold'.     Despite Shagirov (2, 154) PAK \I*ə\i 'winter' .and. \I*ṗəa-\i 'to freeze' should be strictly kept apart from this root (they have a different root consonant); PAT \I*əʕa\i / \I*ə“a\i 'ice' also should be separated (the PAT * : PAK * correspondence does not exist)."
30,"*jə",161,"come","a-ne-jra","ʕa-jra","","","","    PAT \I*jə,\i used only with locative preverbs (\I*na-jə-\i 'come there', \I*ʕa-jə-\i 'come here'). There are no known parallels in other WC languages, but there exist possible EC correspondences."
31,"*ḳʷa",405,"go, walk","","","ḳʷa-","ḳʷa-","ḳa-","    PAK \I*ḳʷa.\i With preverbs the same root is used in AK and Ub. for the meaning 'to come'. Shagirov (1, 216) compares also PAT \I*nə-ʷa-\i 'walk, move', which is impossible phonetically."
32,"*pə-sʷA",700,"1 get tired 2 breathe 3 die","a-ps-ra 3","ps-ra 3","psə-n 1","psə-n 1","psa-ʯʷə- 2","    PAT \I*pəsə-\i 'to die', \I*ʕa-pəsa-\i 'to get tired' (Abkh. \Ipsa-ra,\i Abaz. \Iʕapsa-ra\i). PAK \I*psə-.\i In Ub. - a compound whose second component (-ʯʷə-) is not quite clear.     The semantic developments 'to breathe' > 'get tired' and 'get tired' > 'die' are quite usual (cf. also the meanings of the corresponding root in EC)."
33,"*ə-/*a-",24,"1 kill 2 die","a--ra 1","-ra 1","a-n 2","a-n 2","","    PWC *ə- 'kill' > PAT *ə-, PAK *ə- (Ad. ə-n 'slaughter', Kab. ə-n 'kill'); *a- 'die' > PAK *a- id."
34,"*dV",701,"1 grow numb 2 die 3 dead body","","qʷa-di 3","də-jə-n 1","di-ji-n 1","də-wa- 2","    In AT the root has survived only within the Abaz. compound \Iqʷa-di\i ( < \I*qʷa-də-jə;\i for the first part see PWC \I*qIʷa\i 'dead body').     The AK languages have preserved the root within three compounds: PAK \I*də-jə-\i 'grow numb', \I*də-q:ə-\i id. (Ad., Kab. \Idəq:ə-n\i) and \I*“a-da\i 'dead body'  ( = Abaz. \Iqʷa-di\i id.) > Ad. \I“da,\i Kab. \I“ada.\i Both AK verbs have been borrowed by Abaz. (Abaz. \Idəj-ra,\i \Idə-ra\i). There are absolutely no reasons to suppose that the PAK \I*“ada\i had been borrowed from Ub. \Ia-dəja\i 'dead body' (despite Шагиров 2, 116-117).     Ubykh preserves the root in the reduplicated form (\Idədə-\i 'grow numb') and in a number of derivates: \Idə-wa-\i 'to die', \Idə-wa\i 'death'; \Idə-ja\i (def. \Ia-dəja\i) 'dead body', \Iwa-dəja-\i 'to perish'. On the possible etymology of the component wa see under \I*qIʷa.\i"
35,"*zʷA",702,"to drink","a--ra","ʷ-ra","ja-sa-n","ja-fa-n","ʒwa-","    PAT \I*zʷə-\i (cf. Bz. \Ia-z-ra\i); PAK \I*ja-sʷa-\i (intr.), \I*jə-sʷə-\i (tr. > Ad. \Ijəsə-n,\i Kab. \Ijəfə-n\i); Ub. 1 sg. \Ia-z-ʒʷa-n.\i The PAK form has an irregular unvoiced stop (*-zʷ- should be expected). This is probably due to the influence of \I*psə\i 'water' (very frequent in combination with the verb 'to drink').     The original meaning of the root - as it is clearly seen on external evidence - was 'to milk, (to drink milk)'. Derivates from this root mean 'milch cow, cow' in many EC languages. Hence it is natural to relate to this root also PWC \I*zʷə\i / \I*mə-zʷə\i 'cow' (with *mə- as a probable deverbative prefix): PAT \I*zʷə\i (Abkh. \Ia-,\i Bzyb. \Ia-z,\i Abaz. \Iʷə\i) 'cow', Ub. \Iməzʷ-ʁə\i 'heifer'."
36,"*ʁʷV",29,"to dry out, get dry","a-ʕʷa-ra","ʕʷa-ra","ʁʷə-n","ʁʷə-n","ʁə-","    PAT \I*ʕʷa-,\i PAK \I*ʁʷə-.\i Not quite clear is the loss of labialization in Ub. The root serves also as a basis for the adjective 'dry' in all languages: Abkh. \Ia-ʕʷa,\i Abaz. \Ijə-r-ʕʷu,\i Ad. \Iʁʷə-ʁa,\i Kab. \Iʁʷə-r,\i Ub. \Iʁ-a.\i"
37,"*A- / *lA-",425,"ear","a-ləm“a","ləm“a","t“ḳʷəm","t“aḳʷəma","Laḳʷəma","    There are two PWC roots, which are probably later differentiated variants of one original root for 'ear':     a) \I*A-\i in compounds meaning 'ear': PAT \I*lə-mə“a\i (where -“a must be the same root as PAT \I*“a\i 'to hear' q.v.; see Ломтатидзе 1955, 824); PAK \I*t“a-ḳʷəma\i and Ub. \ILa-ḳʷəma\i (etymology of the second component obscure);     b) \I*lA-\i in compounds meaning 'to listen': PAT \I*-ʒə-rə-ʕʷə-\i (Abkh. \Ia-ʒrəʕʷ-ra,\i Bz. \Ia-ʒʕʷər-ra\i /with metathesis/, Abaz. \Iʒərʕʷ-ra\i); PAK \I*da-ʡʷa-\i (Ad., Kab. \Idaʡʷa-n\i); Ub. \ILa-ʷə-.\i Here Shagirov (1, 150) thinks that PAT *ʒ corresponds to PAK *d - this is certainly wrong, because in this case (PWC *bʷ) we should expect dʷ, and not L in Ubykh. PAT \I*ʒə-\i in this verb is probably a modification of the reciprocal version prefix *-zə- (which is semantically rather plausible). The element corresponding to PAK *d and Ub. L here must be PAT *r (*-rəʕʷə-) which (despite Shagirov ibid.), of course, can not be considered a causative prefix (the verb has no causative semantics at all). For the second part of this PWC compound see \I*q:Iʷə-.\i The root \I*da-\i ( < \I*la-\i) is present in another PAK compound \I*da-gʷə\i 'deaf' (where -gʷə is a privative suffix: "earless"), see Шагиров 1, 145. Judging from the external evidence, the variant with the resonant \I*lA\i is original; reasons for its transformation into a lateral affricate in the word for "ear" are yet to be investigated."
38,"*ʷA",514,"earth","","","ə","sə","jə-cʷa","    PAK *ə. Its regular Ub. correspondence is present in Ub. jə-ʷa- 'on the earth' (preverb); reasons for deglottalisation of -ʷ- in the Ub. noun (which is certainly representing the same root) are not yet clear.      This root is to be strictly kept apart from PAK *a 'bottom' which has quite different external parallels."
39,"*fV",191,"to eat","a-fa-ra","fa-ra","xə-n","xə-n","fə-","    PAT \I*fa,\i PAK \I*‰-xa-\i (intr.), \I*‰-xə-\i (tr. > Ad., Kab. \Ixə-n\i), Ub. 1 sg.  \Ia-s-fə-n\i (cf. also \Ifə\i 'forage, food'). A rare case of PWC *f. In PAK obviously a compound, but its first component is not yet clear etymologically."
40,"*A",35,"1 male 2 testiculus","a-ʁa 1","-ʁ 1","ɣa 2","ɣa 2","-za","    PAT \I*ɣa\i / \I*ɣə\i (the latter form is used in compounds, cf. Abkh. \Ia-tə-ʁ,\i Abaz. \Itə-ʁ\i 'ram', Abkh., Abaz. \Iabə-ʁ\i 'he-goat'; also in the meaning "seed, egg", e.g. Abkh. \Ia-ḳʷṭa-ʁ,\i Abaz. \Iḳʷṭaʁ\i '(hen's) egg'). PAK \I*ɣa.\i     Ub. has also a word \Iɣa\i 'testiculus', but it is obviously an AK loanword. The genuine reflex of PWC \I*A\i is Ub. \I-za\i in \Itʷa-za\i 'he-goat' ( = Abkh. \Iabəʁ\i), \Iṭə-za\i 'ram' ( = Abkh. \Ia-təʁ\i) and \Iba-za\i 'penis'."
41,"*ḳanəḳa / *ḳaḳanə",507,"1 egg 2 nut","a-ḳaḳan 2","ḳaḳan 2","ana 1","","","    Cf. also Shaps. \Iḳḳa\i 'egg'. PAT \I*ḳaḳanə.\i An expressive word (semantical development is usual: *seed, *fruit-stone > a) nut; b) egg)."
42,"*ḳa ( *ḳ-)",703,"1 seed, fruit-stone  2 egg","","","a","adə-a","","    PAK \I*ḳa\i (in Kab. preserved only within the compound "hen's seed" = "hen's egg"). Comparison with Ub. \Iə-\i (present in several compounds) proposed by Shagirov (1,160; 2,132) is impossible phonetically."
43,"*ə ?",704,"egg","","","","","dəma-","    The first component is dəma- 'hen'. The second component has no reliable etymology (cf., perhaps, PAT *ʒə 'seed' in several compounds?); comparison with PAK *ḳa 'egg, seed' (Шагиров 1, 160-161) is of course untenable."
44,"*b-la",34,"eye","a-la","la","na","na","bLa","    PAT \I*(bə)la\i (in Abkh. dialect variations: \Ia-bla\i and \Ia-la\i). Certain problems are connected with the PAK form \I*na\i : it is certainly related to PAT and Ub. forms (even several identical compounds with the component 'eye' may be observed in AK and other languages), but reasons for nasalisation are not clear (regularly \I*da\i would be expected; note that in this case the root would be homonymous with \I*da\i < \I*lA\i 'ear' q.v.)."
45,"*:ʷV",705,"1 fat 2 oil","a-a","a","a","sa","sʷə-a 2","    PAT \I*a\i (a reduplicated root); PAK \I*:a\i (cf. Bzhed. \I:a\i)."
46,"*rəʯʷə (t-, d-)",508,"1 butter (melted) 2 fat","","","tʯʷə 1","tʯʷə 1","tʯʷə 2","    PAK \I*tʯʷə.\i Ub. \Itʯʷə\i is hardly a loan from AK because of semantic difference. Despite Abdokov 1973, 68 and Shagirov 1,78 PAT \I*xʷə-a\i 'melted butter' can not be related (the correspondence PAT *xʷ : PAK *ʯʷ does not exist).     Judging from PAK t- and Ub. t- in Anlaut *r-, *t- or *d- can be reconstructed; *r- is most probable because of external correspondences."
47,"*xəʒə ?",706,"feather","a-ʯʒə","","","","","    An isolated Abkh. word (cf. also Bz. a-xʒə) with unclear etymology."
48,"*Iʷə",707,"1 hair 2 feather, wool 3 hairless, bald","a-ʯʷə 1","qwə 1,2","q:ʷəjə 3","q:ʷij 3","Iʷə 1,2","    PAT \I*qʷə\i (cf. also Bz. \Ia-ʯʷə;\i in Abaz. the meaning 'a hair' is expressed by a derivate form \Iqʷə-c\i). PAK \I*q:ʷə-jə\i (where -jə is a privative suffix) - this comparison seems irreproachable to us, whereas the comparison of AA and Ub. forms with PAK \I*xʷə-a-\i 'to wash (head)', proposed by Shagirov (2, 77) is worse semantically and impossible phonetically.     The old derivate \I*Iʷə-cə\i ( > Abaz. \Iqʷəc\i) with some irregular processes (loss or metathesis of labialisation) is also reflected in PAT \I*qəcʷə\i > Abkh. \Ia-ʯcə\i (Bzyb. \Ia-ʯcə\i) 'braid, plait', Abaz. \Iqə‰ʷ\i "bird's comb", PAK \I*a-q:əca\i (\I*a\i 'foot') 'shaggy fetlocks'."
49,"*Pə~zV",708,"1 candle 2 lamp 3 light 4 ray","a-‰ə-mza 1","mza 2","bzəj 4","bzij 4","məʒa 2,3","    PAT *məza (cf. also Bz. \Ia-mza\i 'candle, splinter'; -cə- in Abkh. goes back to \Ia-ca\i "wax"). PAK \I*bzə-jə.\i Ub. def. \Ia-mʒa.\i     Shagirov (1, 94 - 95) relates PAK \I*bzəjə\i to \I*bza\i "tongue"; the two roots may indeed have contaminated within some compounds, but originally have been, of course, quite different. The form \I*bzəjə\i is also used in Kab. to denote "maize stalk" and both in Ad. and Kab. within the form Ad. \Iq:-mzəj,\i Kab. \Iq:-bzij\i "bird's feather" which Shagirov (1, 679) plausibly explains as a distortion of \Iq:az-bzəj(ə\i) "goose feather" (\Iq:az\i < Turk. \Iqaz\i 'goose')."
50,"*mAʷa",38,"fire","a-mca","mca","ms.a","mfa","məa","    PAT \I*məca\i (cf. also Bzyb. \Ia-mca\i). PAK \I*maʷa.\i Ub. def. \Ia-ma.\i     The root presents some irregularities. The PAT and Ub. forms reveal a secondary delabialisation (PAT \I*məca\i < \I*məcʷa;\i Lomtatidze (1942, 862, 865) is probably right in assuming that the original labialized form is preserved in PAT \I*macʷə-sə\i 'lightning' ("fire"+"beat"); Ub. \Iməa\i < \I*məʒʷa\i). The same languages also have lost glottalisation. The most archaic form (judging from the external evidence) is PAK \I*maʷa.\i     Cf. also PAT \I*cʷə-\i in \I*cʷə-məsa\i 'tinder' ( = PL \I*ojɨ-ms,\i see under \I*msA\i); this is probably the only trace of the prefixless stem in WC languages."
51,"*p:əA",344,"fish","a-psəʒ","psla‰wa","pca","bʒa","psa","    PAT \I*pəsə-\i (cf. also Bz. \Ia-psəʒ,\i Ashkh. \Ipsəz\i). Both in Abkh. and Abaz. the root is present in compounds with unclear second components (-ʒ in Abkh., -la‰ʷa in Abaz.).         PAK \I*p:c:a\i : the pure root has meant 'big fish'; most common is the diminutive derivate \I*p:c:a-zajə\i (Ad. \Ipcazəj,\i Kab. \Ibʒazej\i).        We have to reconstruct initial *p: to account for the AK progressive assimilation (\I*p:c:a\i < \I*p:sa\i); both in PAT and Ub. the assimilation had been regressive. Numerous attempts to analise the word on WC ground and to explain it as an IE loan (see Shagirov 1, 82 with literature) seem to us unsuccessful."
52,"*pərə",281,"fly (v.)","a-pər-ra","pər-ra (Ashkh.)","","","pər-","    PAT \I*pərə;\i Ub. 1 p. \Isə-pərə-n.\i"
53,"*ʁʷV",746,"1 person 2 self","a-wa-ʕʷə 1","ʕʷə 1","","","ʁʷa 2","    PAT \I*ʕʷə\i (in Abkh. - only within a compound with \I*wa-\i q.v.); Ub. def. \Ia-ʁʷa.\i It is not quite clear how this morpheme in PAT correlates with its plural counterpart - *-ʕa in \I*wa-ʕa\i 'people' (Abkh. \Ia-w,\i Abaz. \Iwaʕa\i)."
54,"*bəbə",709,"1 fly 2 put on airs","","","bəbə-n 1","zəʁa-bəbə-n 2","","    PAK *bəbə-: an expressive root with obscure etymology."
55,"*a-",710,"jump","","","a-n","a-n","","    PAK *a-; the root with a suffix *-ta- is used also for 'to fly' in Kab., 'to fly up' in Ad. Further etymology is unclear (Shagirov 1, 250 relates it to *a 'foot' which is dubious)."
