NUMBER|PROTO|MEANING|PRNUM|GOT|ONORD|NORW|OSWED|SWED|ODAN|DAN|OENGL|MENGL|ENGL|OFRIS|EASTFRIS|OSAX|MDUTCH|DUTCH|OLFRANK|MLG|LG|OHG|MHG|HG|NOTES
11|*ajjá-n, *ajjá-z|egg|2968|CrimGot ada `ovum' (= Got nom. sg. *ad(d)i? nom. pl. *addja?)|egg n.|||ägg||eg|äg (äig), -es, pl. ru n. `Egg'||egg|||ei|ei|ei n.||ey||ei (8. Jh.)|ei (gen. eies, eiges) st. n. 'ei'|Ei n.|
12|*úfna-z|oven|3098||ofn m.||ofn, omn|dial. umn||(ovn)|ofen (ofn), -es m. `an oven, a furnace'|||oven|||ōven m.|oven m.||ōven||ovan, ofan (8. Jh.) `Feuerstätte, Backpfanne, Ofen'|oven st. m. 'ofen (zum backen, schmelzen, brennen, heizen'|Ofen m.|
13|*iulēn; *aul=; *ulēn|hollow stalk|20||{ hvann-jōli m. `Stengel der Engelwurz (A. archangelica)' }, NIsl heim-ula `Rumex domesticus';|aul, aule `hohler Pflanzenstengel'|||||||||||||||||||
14|*austra-n; *austan=; *aust=|east|21||austr n. `Osten; nach Osten'; austan `von Osten her'||oster|öster; östan adv.|ostär|öst(er); 2) östen adv.|ēast adv. `to the east', ēast, -es m.; ēastan, -an m. `the east', ēast adj. `east, easterly', ēaster (ēastor), gen. ēastres, pl. -o n., ēastre, -an n. `Easter, the fest of E.' etc.||east|āst adv.; āster adv.; fon-āsta||ōstar `oostelĳk'; ōstan(a) `im, von Osten'|ooster `östlich',  oost `oostelĳk, naar of in het oosten', ōsten(e) m.|adv. oost; oosten n.; ooster-|ōster-|ōst `im Osten', ōster `östlich';||ōst (um 800) `im Osten', ōst(a)ra `Osten', ōstarūn `Ostern', ōstana (9. Jh.) `von Osten', ōstar (9. Jh.) `im, nach Osten'|ōsten, ōst st. n., m. 'osten'; ōsten(e) adv. 'nach, im osten', ōster adv. `im osten', adj. 'im osten befindlich, östlich'|Ost, Osten|
15|*agjō, *agja-n; *agi=; *ug=|edge|22||egg f. `Ecke, Shneide'; Nerm > Finn agja;|dial. agge `Zacke, Zahn, Spitze'; dial. ugg `Dorn, Stachel, Pike, Ängstigung', ugge `Flosse' (плавник)||egg||egg, eg|ecg, -e f. `an edge, a sharpness, blade, sword'||edge|egge, eg `scherpe kant, zwaard, hoek, partĳ'||eggia `Schneide, Kante'|egghe `Schneide, Kante'|eg, egge f.||||egga (um 1000), { ekka } `Spitze, Kante, Schwertschneide'|ɛcke, ɛgge st./wk. f., st. n. 'schneide einer waffe; spitze; ecke, kante,  winkel'|Ecke f., Eck n. `Spitze, Kante, Winkel'|
16|*áxwala-z|awl|23||soδ-āl-l m. `Fleischgabel'||||||awel `an awl' (точно ӑ- !)||awl||||||||||||
17|*xama-ra-z-; *xama-l=; *xumVl=|stone, rock, hammer|24||hamar-r m. `Stein, Fels, Klippe; Hammer; Haienart';  hɔmul-grǖti n. `steiniger Boden, Absammlung von kleinen runden Steinen unter der Erde', hemlu-grǖti `id.'|dial. humul `kleine, runde Steine'||hammare `abgehauener Stein, Klippe'; dial. hummel `stumpfer Bergabsatz'||hammer|hamer, homer, hamor, -es m. `a hammer'||hammer|homer||hamar, hamur|hamer|hamer m.||hāmer||hamar (9. Jh.)|hamer st. m. 'hammer'; hamel st. m. 'hammel; abgehauener stein, klotz, stange; schroff abgebrochene anhöhe, klippe, berg'|Hammer m., Hammel m.|
18|*áxanō/*agánō; *áxl=/*agl=; *axsa-n, *áxuz; *áxiz; *úxa-n; *agṓ (?)|chaff, ear (of cereals)|25|ahana f. (ō) `chaff'; ahs n. (a) `ear (of grain)'|ɔgn f. `Spreu'; ax n. `Ähre'|||ax `Ähre'||aks `Ähre'|egenu, -e f. `a husk, chaff'; egl, -e f. `a mote, festūca', egle, -an f. `an ail, awn, beard of barley; ear, -es n. `an ear of corn', north. ähher (eher) `id.'||pl. ails `Bärte der Kornähre'; ear `Ähre'|ār `Ähre'||ehir n.; ahar `Ähre'|aer n., f.; age `Spreu'|aar f.; fläm. echel `angel aan het kaf van enige grasgewassen'||agen `Spreu'; ār `Ähr'||agana, ahana `Spreu'; achil `Spreu'; ehir (9.Jh.), ahir (8.Jh.) `Ähre'; oh n. `Ähre'|agene st. f., agen st. m. 'spreu', āne st. f. 'dass.'; ɛher, äher st. n. 'ähre'|{ Agen, Ahne; Achel } Ähre f.|
19|*agíϑō, *agjan- vb.|rake, harrow|26||||||||egeϑe, egϑe `a rake, harrow', ecgan, prt. egede `to harrow'|||||egitha `Egge', eggian `eggen'|eghe; eghede|eg, egge, eegde; eggen vb.||ēgede, eyde; egen wk.||egida (8.Jh.) `Ege'; eggen (10. Jh.) `eggen'|ɛgede, eide wk. f. 'egge'; ɛggen, ɛgen wk. `eggen'|Egge f. (seit 15.Jh. < Verb), eggen schw. v.|
20|*agú-z; *augu-z; *augVra-z; *ugVra-z; *agila-z|a fish|27||ɔg-r m. `Flussbarsch', NIsl ögur m. `Rotbarsch'; aug-r m.; augur-r m. `Rotbarsch'|auger; uver, uer|agh-borre||||||||||||||||{ ag `Barsch' }; { egle, eglinc }|schweiz. egel, demin. egli|
21|*akra-z, *akrōn|field|30|akr-s m. (a) `field'|akr m. `Acker; Korn, Ackerfrucht', ekra f. `Ackerland'|äkra `Brachhland, Weide'|ɔ̄ker, āker, akker|ɔker, dial. ekrta, äkra `Brachhland, Weide'||ager|äcer (äcyr), -es m. `a field, land, sown land'||acre `Feldmass'|ekker||akkar|acker|akker m.||acker||ackar (8.Jh.), ahhar|acker st. m., n. 'ackerfeld; ein längen- und flächenmass'|Acker m.|
22|*axsula-z; *axsō|axis|31||ɔxul-l m. `Achse'|||axel||aksel|eax (ex, äx), -e f. `an axis, axle-tree'||[ axle < NGerm ]|axe||ahsa|asse|as f., m.||asse||ahsa (um 800)|ahse st. f. 'achse'|Achse f.|
23|*axsl=; *ōxsl=; *ōxst=; *ōxsVn=; *ōxs=; *oxstVr=|arm-pit|32||ɔxl f. `Achsel'; ōst f., ōst-r m. `Halsgrube'|dial. ōster f. `Halsgrube'||axel `Achsel'||aksel `Achsel'|eaxel (eaxl, exl), -e f.; eaxle, -an f. `shoulder'; ōcusta, ōhsta, -an m. `arm-pit, oxter'; ōxn, -e f. `id.'||shotl. oxter `Achselhöhle'|ax(e)le `oksel, schouder'||ahsla `Achsel'|assel(e); ocsel(e), oecsel(e) `schouder, vleugeholte'|oksel m. `Achsel'||asle, assel `Achsel'||ahsla (8.Jh.) `Achsel'; uochisa (um 900); uohsana (9.Jh.) `Achselhöhle'; uohsala (11. Jh.) `Achsel'|ahsel at./wk. f. 'achsel, schulter', uohse, üehse wk. f. 'achselhöhle'|Achsel f.|
24|*akan- vb., *aki-z, *akla-z|bad, evil|33||||||||{ acan `pĳn doen', eke m. }||ache|akelig, aeklig `horridus, miser, vehemens'|||akel m. `leed, verdriet, nadeel'|akelig|||äken `pĳn doen'||||
25|*akwizjō; *akúsjō; *akwís=; *akús=|ax|35|akʷizi f. (jō) `ax'|öx f., ax f.|||üxa||öxe|äx (äsc, acas), -e f., acase (axe), -an f. `axe'||axe|||akus|aex f.|aaks, aks, aakst m.|acus|axe, ēxe, 5) ē̆xte; 3) akes||ackis, ackus (um 800)|ackes, aks, ax, axt st. f. 'axt'|Axt f.|
26|*agli-, *aglu-|troublesome, hateful, offend|1280|agl-s `aiskhrós, schimpflich', aglō `Drangsal', us-agljan `bedrängen, plagen', aglus, adv. agluba `dǘskolos, düskólōs, schwierig'||egla wk. `molest, offend'|||||egle `troublesome, hateful, loathsome, horrid', eglian (eglan, elan), prt. -ode, -ade, ptc. -od, -ad `to trouble, pain, grieve'||ail `schmerzlich empfunden werden'|||||||egelen `Gram verursachen'|||||
27|*áϑna-|year|37|*aϑn ( ~ *aϑn-s) (a) `year', *aϑ-aϑni `year'|||||||||||||||||||||
28|*ēdra-|quick, early|2887||||||||ǟdre adv. `quickly, promptly, at once, forthwith'|||ēdre `zeitig, früh'||ādro `zeitig, früh',||||||ātar `acer, sagax, celer'|||
29|*áϑV-l=; *ṓϑV-l=; *ōdṓ; *attēn|inheritance, heir; noble|2796|{ aϑala- in PN (Athalaricus etc.) }; *haim-ōϑli n. (ja) `homestead, landed property inherited in the family'; atta m. (n) `father'|aδal n. `Art, Begabung; Hof, Erbgut, Eigentum; aδili m. `der Führer eines Prozesses'; ōδal n. `(väterliches) Erbgut, Eigentum; Heimat'||aϑal-|odal|athäl-; odel `Erbgut'||äϑele, eϑele `noble, eminent; famous, singular; noble, vigorous, young'', äϑelo, pl. äϑelu, -o n. `nobility, pre-eminence, origin, family, race, nature, talents, genius'; ēϑel (ǟϑel), gen. ēϑles m., n. `one's own residence or property, inheritance, country, realm, land, dwelling, home', äϑel, -ϑles  m., n. `id.'|||ēdila `Urgrossvater'; ethel-;  ēthel, ēdel `Erbgut'||athal-; athali `edle Abkunft'; ethili `adelig, edel'; ōthil `Erbgut, Eigentum, Heimat'|adel m.; adel `edel geboren; wettig, echt'|adel m.||ādel m., n. `Art, Begabung, Hof, Erbgut, Eigentum'||adal n. (8.Jh.) `edles Geschlecht'; edili `adelig, edel'; uodil `Erbgut, Eigentum, Heimat'; uota eig. "Urgrossmutter"; atto `Vater'|adel st. n., m. 'geschlecht, edlesw geschlecht, edler stand'; atte wk. m. 'vater; der alte'|Adel m.; dial. ätte `Vater'|
30|*a(g)wṓ; *áxwō; *ō(g)wjá-z; *a(g)wjṓ|river, waters|40|ahʷa f. (ō) `river, waters'|ō f. Name eines Gehöftes, ON; ā f. `Fluss'; ǟgir `Meer, Gott des Meeres'; ey, gen. eyjar f. `Insel'||ā `Fluss'; (run.) auiu `Insel'|ö `Insel'|ā `Fluss'|ɔ `Fluss'; ö `Insel'|ēa (ǟ) f. `running water, a stream, river, water'; ǟg-weard `sea-ward, sea-guard or guardianship'; eagor `Meer, Flut'; ēg, -e f. `water, sea', īg, -e f. `Insel'|||ā, ē `Flus'||aha `Fluss'; oi-land `Insel'|ei-land `Insel'|a, aa f., m. naam voor kleine riviertjes en beekjes||ō, ōge, ōch, ouwe, ou `Waaser(lauf), Insel (im Fluss), feuchtes Wiesenland' , LFrank ei-land; oog `Insel'||aha f. `Fluss'; ouwa (10.Jh.), -awa `Wasser, Strom'; `Halbinsel im Flusse, wesserriches Wieseland'|ahe st. f. 'fluss, wasser'; ouwe, owe st. f. 'wasser, strom; von wasser umflossenes land, insel od. halbinsel'|{ Ache }; Aue, Au f.|Far ǟgi `Meer'
31|*ōfVr=|bank, shore|1264||||||||ōfer (ōfor), -es m. `edge, border, margis; the land bordering on water, river-bank, sea-shore, over'|||ōver, ōvera m. `oever'||ōfer|oever m., n., f.|oever m.||ōver m., n. `oever, buitendĳks land'|||uover, md. ūber st. n. 'ufer'|Ufer n.|
32|*anēn, *anō|ancestor, forefather|43||||||||||||||aen-hete `(Ur)grossvater'|||āne `Vorfahr, Grossvater, Urgrossvater';||ano (9.Jh.) `Vorfahr, Grossvater, Urgrossvater'; ana (9/10.Jh.) `(Ur)grossmutter'; eninchil nkel|ane, an, ene wk. m. 'grossvater, urgrossvater'; ane wk. f. 'grossmutter'; eninkel, enenkel, enikel st. m. 'onkel'|Ahn m. `Vorfahr', Ahne f. `(Ur)grossmutter'; bair. enl, änl, österr. ǟnl, ānl Grossväterchen; nkel|
33|*andṓ|entrance|44||ɔnd f. `Vorhaus, Gang'||||||||||||||||||||
34|*anxtō|fate, destiny, fear|45||||||||ōht, -e f. `fear, terror; hostile pursuit, persecution, active enmity'|||||||||||āhta (um 1000) `(durch Rechtsspruch angeordnet) verfolgung, Friedlosigkeit'|āhte, ǟhte st. f. 'verfolgung, acht'|Acht f. (опала, изгнание)|
35|*angḗn m, *angṓ f.; *angVlō|hook, angle|46||angi m. `Spitze, Zacken'|||dial. ang `Wurzelfaser'|||anga (onga), -an m. `sting'; angel, -gles m. `hook, fishing-hook'||angle `Angel'|||angul `haak, visangel', ango m. `stekel, deurhengsel'|anghe m. `prikkel', anghel `haak, visangel'|angel m.||angel `Angel'||ango (8.Jh.) `Spitze, Stachel'|ange wk. f. 'stachel, fischangel, türangel; schoss'; angel st. m., f. 'stachel; türangel; stift im messerhefte'|Angel f.|
36|*ánxul=; *ang=|pointed end|47|{ āla }|ōl-l, āl-l m. `Sprössling, Keimblatt, Keim'|dial. ange Keim, Spitze||dial. ɔl|||||||||||||||||
37|*angjō; *angja-n; *angra-z; *ankja-z|meadow|48||eng f. `Wiese'; engi n.; -ang-r m. (in ON: Harδangr, Stafangr) `Bucht'|||äng `Wiese';  Harmɔnger|||{ ing `akkerland' }|eng, ing `Wiese'|dial. ing `Wiese'|||angar `ongeploegd grasland', ungepflügter `Grasland'|enc, eng `bebouwd veld, bouwland'; anger `Anger'|eng m., dial. enk m.||anger||angar (8.Jh.) `Anger', ungepflügter `Grasland'|anger st. m. 'gras-, ackerland'|Anger m.|
38|*wánxō; *wánxa- adj.|edge, bent, wrong|49|*un-wāh-s (a) `blameless'|vā f. `Ecke, Winkel'||||||wōh `not straight, bent, crooked, twisted, oblique; rugged, uneven, rough; not right, perverse, froward, wrong, unfair'; wōh, gen. woges/wōs n. `wrong, perversity, injustice, error'|||||wōh `Böses, Schlechtheit'|||||||||
39|*ánxulō|belt|50||ōl f., āl f. `Riemen, Band'||öl `Riemen'|||ɔl `Weidenhaspe'|ōl-ϑwang, -es m. `strap'||||||||||||||
40|*ankiōn; *ankila-z, *ankala-z; *ankulan-, *ankulan-; *ankōn|ankle, hip|51||akka f. `Pfeil'; ɔkla n., ɔkli m. `Fussknöchel'|okla n., okkel m.||ankel||ankel|anclēow, -es n., anclēowe f. `ankle'||ankle|OWFris anckel|||ankel, Kiliaen enckel|enkel m.||||ancha, enka f. `Schenkel, Beinröhre'; anchul, enchil; anchula, anchila|anke wk. m. 'gelenk am fuss'|{ Enkel m. }|
41|*angēn, *angōn|neck|2685|*hals-aŋga m. (n) `neck'||||||||||||||||||ancha, enka f. `Genick'; ancho `Nacken'|anke wk. m. 'genick'||
42|*angVsVt=|carbuncle, pimple|54||||||||angset, -es m.?, angseta, -an m. `a disease with eruptions, a carbuncle, pimple, pustule, an eruption, St. Antony's fire'|||||angseta `pustula'||||||{ angesezo `furunculus' }|||
43|*ánϑjan; *and=; *und=; *únϑ=; *andi-; *andia-z, -n|forehead; end|55|and prp. `along, through, over'; anda-, and- prf.; und prp. `up to, for'; andiz-uh conj. `either'; andī-s m. (ja/i) `end', *andi-laus `endless'|enni n. `Stirn; and-; und-, unn-; adv. endr `wieder, zum 2. Mal, früher'; endi m., endir m.|ender `wieder'||änne `Stirn'; ända, ände|||and-; oϑ; end `formerly, of old'; ende, -es m. `end; cornert, part, sort'||end|ande, and, ende, end; ende||and-; endi `früher, vormals'; endi|einde, ende|einde m.|ende, endi, einde|||andi, endi n. `Stirn'; ant-, int-; enti, inti `früher, vormals'; anti, enti m., n. (8.Jh.) `Ende, Endpunkt, Zielpunkt'|ɛnt-; ɛnde st. n., m. 'ende, ziel; richtung, seite'|ent-; Ende n.|
44|*skarpa-, *skurp=|emacated, thursty|149||skorpinn , skorpr 'eingeschrumpft, eingetrocknet', skarpr 'eingeschrumpft, mager'||||||||||||||||||||
45|*ánsiō|hole (for passing smth. through)|56||ǟs f. `Loch am obern Rande des Schuhleders zum Durchziehen der Riemen, Schnurloch'|äs `Loch, in welches etwas eingefügt wird'||||||||||||||ȫse f. `ringförmige Handhabe, Schlinge zum Festhalten'|||||
46|*armi-z, *arma-z|arm|57|arm-s m. (i) `arm'|arm-r m. `Arm'||armber|arm||arm|earm, -es m. `arm, the limb extending from the shoulder to the hand; foreleg of an animal; anything projecting from a main body, as inlet of the sea or ocean'||arm|erm||arm|arm, aerm, arem|arm m.|arm|arm||ar(a)m (8.Jh.)|arm, arn st. m. 'arm (von menschen u. tieren); ranken, zweige; wasserarm; meerbusen, -enge'|Arm m.|
47|*árxwō/*ar(g)wṓn; *árxwaznō|arrow|62|*arhʷazna f. f. (ō) `arrow'|ɔr, gen. ɔrvar f.||||||earh, -e f.; arewe, -an f. `arrow'||arrow||||||||||||
48|*artian- vb.|tease, excite|64||erta wk. `aufreizen, necken'|erta `reizen'||ärta `necken'|||||||||||||||||
49|*alúnϑa-z, *alunda-z|a fish|67||ɔlun-n m. `Makrele'; NIsl ala `Forelle'|||||||||||alund `Weissfisch (Squalius cephalus ~ Leuciscus)'||||||alant, alunt `Leuciscus idus'|alant st. m., f. 'ein fisch'||
50|*alx-s|temple|68|alh-s f. (cons) `temple'|Run. alh `Amulet'||||||alh (ealh, alhn), -es `a sheltering-placee, temple, fane'; cf. hearh (hearch, herh), -es m., pl. hearge f. `temple, idol'||||| alah `Tempel'|||||||||
51|*alúϑ;  *alwa-; *alúϑra-n|ale, beer|70||ɔl n. `Bier, Trinkgelage'; ɔl-r `betrunken'; ɔldr n. `Rauschtrank; Trinkgelage'|||öl||öl|ealu (ealo, -a), gen. ealoϑ (-aϑ, -eϑ) / alϑes, dat. ealoϑ (-aϑ, -eϑ) n. `ale; an intoxicating drink'||ale|||alo-fat `biervat'|ale, ael n. `Bier'||||||{ al-schaf Trinkgefäss }||
52|*algja-z|snowstorm|71||elgjar (in der Kenning alϑjōd elgjar galga (Egill. lv. 15) gen.: `von Schnee' ?; NIsl elgur m. `Schneestöber, das von einer Seute herlange fortdauert und von starkem Frost begleitet ist, halbgeschmolzener Schnee, deep pools of half-melted ice'||||||||||||||||||||
53|*aldōn, *uldō(n); *ald[u]ϑ=|trough|72||alda f. `Talsohle, durch welche ein Bach fliesst'|alda; dial. olda f. Trog||dial. ɔlla `längliche Vertiefung'|aldä; ɔlde, olde `Gefäss, Trog'||ealdoϑ (?) `trough ?, channel ?: aldaht, aldot `alviolum' Txts. 39, 124|||||||||||||bair. alden `Furche, Vertiefung im Ackerfelde'|
54|*amilōn ?||73||Emla, Embla f. `Name des ersten Weibe', eig. `Baumname'||||||||||||||||||||
55|*alba-z, *albi-z|elf|74||alf-r m. `Albe, Elf'|alv|älf `Albe, Elf'||elv `Albe, Elf'||älf, -es m., ilf, -e f. `elf'||elf|||alf|alf m. `boze geest, die de mensen zoekt te bedriegen'|alf m.||alf `Mare, Alp'||alb (11.Jh.)|alp (-b-) st. m., n. 'gespenstisches wesen, gehilfe des teufels;   alp, das alpdrücken'; md. alf 'tor, narr'|Alb m.|
56|*alb=, *alft=|something white|75|||||dial. alf `alkhaltiges Sand unter der Fruchterde'||||||||58||{ alft, elft `Weissfisch' }; alver (visnaam)|||alf, albe `Weissfisch'||albel `Weissfisch' st. m. 'weissfisch'; alber st. m. 'pappelbaum'|{ Albe `Weissfisch'; dial. Alben `alkhaltiges Sand unter der Fruchterde' }|
57|*flaux; *fláuxa-z, -n|flea|76||flō, pl. flȫr f.|flo|||||flēah `flea'; flēa, -an m. `id.', flēo `id.'||flea||||vlō f.|vlo f.||vlō f.||flōh (9.Jh.)|vlōch, vlō st. m. 'floh'|Floh m.|
58|*paidō|coat, clock, shirt|77|paida f. (ō) `tunic, shirt'|||||||pād, -e f. `an outer garment, coat, cloak'|||||pēda `Rock'||||||pfeit `Hemd, hemdartiges Kleidungsstück'|pheit st. n., f. 'hemd, hemdähnliches kleidungsstück'||
59|*pig=|pin, peg|78|||||||||pegge `Pinne, Pflock'|peg|||||||pegel `Zeichen an einem Gefäss für Flüssigkeiten (aus einem Ring oder kleinen Zapfen bestehend)'|pegel `Pfahl'||||
60|*pap=|nipple|83||||||||| pappe `Brustwarze'| pap||||||||||||
61|*pampian- vb.; *pampōn- vb., *pampō(n) etc.|swell|84|||dial. pempa seg `sich mit Trank füllen', pampa `sich stopfen'||dial. pampen `aufgedunsen'||dial. pampe `sich brüsten, prahlen'|||pamp, pamper|||||pampelen, zuidnl. pamperen `volstoppen, opproppen; opkweken; kwakzalveren; kreukelen'||pampen `sich stopfen'|pampe `dicker Brei'|||dial. pampfen; pfampf `dikke persoon'|
62|*fímfVla-n, *fímfVlōn; *fimbō; *fimbán- vb., *fambḗn, *fumb=; *famp=|heap, swell|85||fīfl n. `Narr, Tölpel', fīfla f. `Närrin', fimbul- (fimbul-fambi `tor', fimbul-ljōδ `Zauberlied', -tǖr `mächtiger Gott' usw.); fimbul-fambi m. `Tropf'|famp `dicker Lümmel', fɔme, fume `Dumkopf'||||dial. fjambe `Dumkopf'|fīfel, -es n.? m.? `a sea-monster, monster, giant', fīfel- `monstruous'||dial. famp `schwerfällig gehen'|||fimba `haufen'||||vimme f. `haufen'|||||
63|*patt=|little piece|86||NIsl patti `kleines Kind'||||||||pat `kleines Klümpchen (von Butter)'||||||||||||
