"NUMBER","PROTO","MEANING","PRNUM","OLITH","LITH","LETT","OPRUS","NOTES"
    38,"*balb-ē̂-, *blab-ē̂-, *blab-ē̂- vb.","chatter",    82,"","balbḗti 'sprechen, plappern, plaudern', blabḗti, blebḗti, blebénti, blerbḗti 'ds.' usw.","","",""
    39,"*pap-a- c., *pā̂p-ā̂ (2) f., *pāp-ia- (1?) c., pā̂p-ul-ia- (2) c.","swelling",    83,"","pãpa-s `Brustwarzwe, Zitze'; pōpà, pṓpa `schmerzhaftes Geschwür, Schmerz'","pâpa (Kr.), pâpe `jede Wunde (in der Kindersprache)', pāpis, pâpulis `eine Blatter auf der Haut', pāpis `die weiblische Scham', pâpul̨a, pâpul̨e, pâpula `eine Hitzblatter'","",""
    40,"*bam̂b-ā̂ (1) f., *bam̃b-al-a- c., *bumb-ā f., *bum̃b-ul-a-, -ur-a- c., *bum̂b-ul-ia- c.,*bum̃b-ul-ia- c., *bumb-ā̂l-a- c.","swelling",    84,"","bámba `Nabel', bam̃bala-s `Dickbauch, Fettwanst', bum̃bula-s, bum̃bura-s `Knospe, knotenartige Verdickung, Kugel', bumbulī̃s `Steckrübe, Waserblase, Kalbsauge', bùmbuli-s `Pupille', bumbṓla-s, bumbō̃la-s `grosser Knoten in einem Strick, Anschwellung'","bam̃ba 'die Kugel; ein Schlägel', bum̃ba 'Kugel, Ball, Bombe, Billard-, Kegel-, Geschütz-, Spreng-, Erdkugel', bum̃bulis, bumbuls 'eine Knolle, Wurzelknolle; die Kartoffel; Dotterblume (Caltha palustris); der Knorr, ein knotiger Auswuchs am Baume; die Blase; sonstige Hervorragungen, Knöllchen, Knötchen, etwas Rundes, Aufgeblasenes überhaupt; (von Menschen) der Knirps'","",""
    41,"*pem̃p-ia- c., *pim̂p-ia- (1) c., *pemp-, *pam̃p-, *pum̃p- vb. itr., *pam̂p-ā (1) f., *pam̃p-s-a- c., *pump-ul-ia- c., *pump-ur-a- c.","swelling",    85,"","pampstù, pam̃pti `aufschwellen, sich (auf)blähen, sich aufdunsen' = pum̃pti; caus. pam̃pinti, -īti; pámpa `Wulst, Puff, Ausbauchung, Bausch, Beule, Knorr̃̃en', pam̃psa-s `Pampssattel; pumpùli-s `rundliches, dickbauchiges Ding, Pummel', pum̃pura-s `Knospe, kleiner Knirps'","pàmpt (pàmpstu, pàmpu) intr. `schwellen, aufdunsen', pum̂pt\H2\h (-s tu/-pju, -pu) `schwellen', pam̃pa `Anschwellung', pampulis `etwas Dickes, Aufgedunsenes, dicke Person'; pùmpulis `Beule', pum̃purs `Erhöhung, Buckel, Beule' pum̃purs, pum̃puris 'Knospe', pùmpurs\H2\h, pumpuris 'etwas Kleines, nicht Ausgewachsenes'; pèmpt `schwellen, aufdunsen', pèmpis `Bauch, Schmerbauch', pim̃pis, pimpulis `männliches Glied',\H\h\H\h̀ pìmpuris\H2\h 'runder Auswuchs an einem Baum; etwas Rundes, aus Holz Angefertigtess'', pl. t. pl. pimpul̨i`Kartoffeln', pam̃pāl̨is 'die Kartoffel'","papimpis [überl. papinipis] `Polster (des Sattels)' V. 444 ?",""
    42,"*bul-i- c., *bul-iā̃ f.","buttocks",    94,"","bulì-s f. `Hinterer, Gesäss', bùlē, bulē̃ `id.'","","",""
    95,"*bū̂-r-ia- (1) c., *bū̂-r-ā (1) f.","crowd, heap",    95,"","būrī̃-s `Schar, Trupp, Haufen, Zug'","bũra 'Haufe', bũris `Menge, Haufe'","",""
    44,"*bud-iā̃ f., *bud-i-s f., *bud-ēl-iā̃ f.","a mushroom",    98,"","budē̃, budì-s `eine Pilzart', budē̃̃lē `Pilzart (Pfefferling)'","","",""
    45,"*ber̂ǯ-a- (1) c., *ber̂ǯ-ā̂ (1) f., *berǯ-iā̃ (1) f., *bir̃ǯ-iā̃ f., *bir̃ǯ-ia- c., *bir̂ǯ-tw-ā̂ (1), *ber̃ǯ-l-ia-, *bir̃ǯ-l-ia- c.","birch",    99,"","béržas 3 < 1 `Birke'; bìržē, bìrži-s, bìržtva `Birkenhain', ber̃žli-s, bir̃žli-s `herabhängender, langer Birkenzweig'","bę̃rzs, bęr̂zs\H2\h, bę̃rza, bẽrze `Birke', bir̃zs (gen.-s), bir̂ze\H2\h, birzis `Birkenhain, Birkengehege, Hain, Laubwäldchen überhaupt'","berse `Birke' V. 600",""
    46,"*bi-t-i- c., *bi-t-iā̃ (2) f.","bee",   103,"","bìtē 2, bitì-s 4 `Biene'","bite, bitis `Biene'","bitte `Biene' V. 787",""
    47,"*bam̂b-al-a- (1) c., *bamb-al-ā̂, -iā̃ f., *bamb-ul-a- c., *bim̂b-al-a- (1) / bim̃b-, -il-a- c.","a k. of insect",   105,"","bim̃bala-s, bim̃bila-s `Bremse'; bam̃bala-s `Hummel, Maikäfer'","bam̃bals, bàmbal̨a, bam̃balis, bam̃bāle, bambuls, bam̃bule, bam̃bulis `Käfer', bim̃bals, bimbars `Bremse'","",""
    48,"*pel-iā̃ f.","mouse",   106,"","pelē̃ `Maus'","pele `Maus'","pele `Weihe' V. 710, pelemygis `Rötelweihe, Tuermfalke' V. 712, peles `Mus ( = Armmuskel)' V. 111",""
    49,"*bruzd-utl-ia- m., *branzd-(d)l-a- c.","wedge, point",   111,"","bruzdùkli-s `Bolzen, Pflock, Knebel, Zaum, Spänchen, das bei der Unterwächse an Stelle eines Knopfes gebraucht wird, Holzscheit auf dem Nacken eines Schweines' (Juškevič); ostlith. pl. brūzlaĩ = westaukšt. branzlaĩ `Mundstück des Zaumes'","","",""
    50,"*bar̃d-ā̂ f., ? *bar̃d-u-s","beard, chin",   112,"","barzdà `Bart, Kinn'","bā̀rda, bârzda\H2\h, bā̀rzda\H2\h, bârzde\H2\h `Bart'","bordus `Bart' (u-St.?) V.101",""
    51,"*beñǯ-a- adj.","thick",   116,"","","bìezs `dicht, gutschliessend, gedrängt, eng aneinander liegend; dick', dial. bìežs = biezs","",""
    52,"*ber-n-a- c. (Lith AC / Lett CIRC)","child",   117,"","bérna-s `Bursche, Knabe, (Bauern)knecht'","bę̄̀rns `Kind (von Menschen); Junge von allen Tieren; (von keimenden, wachsenden Pflanzen) Schössling'","",""
    53,"*bran̂d-a- c., *bron̂d-in-ja- (2?) c.","ridge of a roof",   119,"","","bruôds, bruôdenis `kleine dreieckige Öffnung an jedem der beiden Dachfirst-Enden über dem Giebeldache; Rücken, First des Daches'","",""
    54,"*birg-ā̂ f., *bir̃g-el-a-, -al-a- c.","home-brewed beer",   121,"","bir̃gela-s, bir̃gala-s `nicht starkes, nicht geglücktes Hausbier, Maisch, Dünnbier'","","aubirgo `Garkoch', birgokarkis `ein grösserer Schöpflöffel'",""
    55,"*bē̂r-a- (1) adj.","brown",   122,"","bḗra-s `braun'","bę̃rs `braun (meist von Pferden)'","",""
    56,"*bebr-a-, *bebr-u- m.","beaver",   123,"","bẽbra-s, dial. bebrù-s, babrù-s, bãbra-s `Biber'","bębrs, bebris `Biber'","bebrus `Biber' V. 668",""
    57,"*bur̂n-ā̂ f., *pur̂n-[a]- (2) c.","mouth, muzzle",   126,"","burnà `Mund(voll), Schluck'; dial. (Miežinis) purnis `Schnauze, Rüssel'","pur̂ns (/ pur̃ns), pur̂nis, pur̂na\H2\h `Schnauze, Rüssel; Spitze des Fusses und des Schuhwerks'","",""
    58,"*breiǯ-l-iā̃ f., -ia- c., *brīǯ-ēl-iā̃","a k. of bird",   127,"","briežlē̃, -lī̃-s, brīžēlē̃, brīzgēlē̃ 'Schnarrwachtel'","","",""
    59,"*bal-a- adj., *bal̂- vb. itr., *bal̂-t-a- (1) adj., *bāl-a- (2) adj.","white",   129,"","báltas `weiss, blank, sauber', { bálnas `weiss (von Ochsen, Pferden)'; balà `weisse Anemone' }; dial. (Juškevič) bãla- `weiss', bãla-s `Schneeglöckchen, weisse Betonie, Schlüsselblume, Primel'; bálti `weiss, bleich werden, verblassen'","bal̃ts `weiss; sauber, rein; hell, heiter', bal̃gans `weisslich',  bâls `blass, bleich', bals `Bleiche'","ballo [überl. batto] `Stirn' V.77",""
    60,"*smil̂g-ā̂ f. (1/2)","a k. of herbaceous plant",   131,"","smìlga, dial. smilgà 'Straussgras (Agrostis), Windhalm', dial. 'blaues Perlgras (Melica caerulea); Schmiele (Aira flexuosa)'","smil̂ga (?/ smil̃ga): balta sm. 'Agrostisalba stolonifera', cin̨u sm. 'Aira caespitosa', vēršu sm. 'Briza media', pumpuru sm. 'Perlgras (Melica nutans L.)', rudzu sm. 'Agrostis', purvu sm. 'Carex arenaria L.'","",""
    61,"*bel̂ǯ- vb. tr., *bal̃ǯ-eîn-ā̂ f., -a- c., *bal̃ǯ-ī̂- vb., *bal̃ǯ-s-t-a- c.","pole, beam, prop",   139,"","balžíena, balžíena-s `biegsame Querstange zur Verbindung des Aufsatzes auf dem Schlitten, Prügel, Knebel'","bàlziêns, bàlzienis\H2\h `Gebinde, welches die gegenüberstehenden Stützen (\Imietnes\i) auf den Schlittensohlen verbindet; Stützverband am Pfluge', bàlzît -u, -īju) `Schlitten mit den \Ibalzieni\i versehen; stützen, einwickeln'; bàlsts, dial. balksts `Stütze, Unterstützung; Griff, Handhabe am Pfluge, Pflugsterze; der ganze Teil des Pfluges, in welchem die beiden Femerstangen stecken; hölzerner Pflock unter den Pflugscharen'; bel̂zt (-žu, -zu) (/ bèlzt) 'stützen'; bal̂stît (/ bàlstît) (-u, -īju) `stützen'; pabàlsts, pabal̂sts 'Stütze; Schemel; Unterstützung; Helfer'; balgzds m. 'Gebinde, das die beiden Enden der Biegung an den Schlittensohlen mit den Stützen verbindet'","",""
    62,"*pa=bal̃ǯ-sta- c., *balǯ-in-[a]-s m., *pā=balǯ-ā̂ f.","pillow",   140,"","","pabàlsts, pabal̂sts `Kopfkissen'","balsinis `Kissen' V. 490, pobalso `Pfühl' V. 489",""
    63,"*paus-ti-","animal hair",   928,"","paustìs","","",""
    64,"*bar̂g-a- (2) adj.","strong, hard",   147,"","","bar̂gs, dial. bęr̂gs 'streng, barsch, hart, heftlich, unfreundlich, zornig'","",""
    65,"*skurb-/*skurb- vb. intr. (1), *skurb-[a]- adj. (Lett AC, 1 + CIRC/ Lith CIRC)","arm, sad",   149,"","skur̃bti (-bsta, -bō) 'armselig sein; in Armut, in Not, armselig, kümmerlich leben; darben, Not leiden, im Wachstum zurückbleiben (von Pflanzen), mager werden, abmagern', dial. 'sich grämen, kränken; (vom Bier) schal werden', skurbē 'Kummer, Gram'","skùrbt, skur̃bt (-bstu, -bu) 'schwindlig, ohnmächtig werden, bedüselt werden', skùrbs (/ skur̃bs) 'beduselt, berauscht'","",""
    66,"*bas-a- adj.","bare, barefooted",   150,"","bãsa- `barfuss'","bass `barfüssig, barfuss'","",""
    67,"*brā̂tē̃ (-er-es) (1), *brāt-ia-s m., *brāt-iā̃ f., *brā̂-l-ia-s (1) m.","brother",   155,"","brṓterautis `sich verbrüdern', brōterī̃stē `Brüderschaft', dial. (Memel) brōti-s `Bruder̃'; brōtùži-s `Vetter', dial. (Bretkun) brōtē `Mume, Tante'; Kurzf. brṓlis `Bruder'","brãlis 'Bruder; alle, die durch Bande der Verwandtschaft Bekanntschaft od. durch sonstige Beziehungen miteinander verbunden sind'; brātarītis 'Brüderchen'","brāti, brote `Bruder', brātrīkai `Brüder'",""
    68,"*breîd-ia-s (2), *braid-[a]-s m.","deer",   158,"","bríedi-s `Hirsch'","briêdis `Elen (Cervus alces); Rothirsch (C. elaphus)'","braydis `Elen' V.650",""
    69,"1) *bruw-i-s f., *bru-n-a- c., *bru-n-ia- c.; 2) *breun-ā̂","eyebrow; rim",   159,"","brùvē, bruvìs `Braue', júod-bruvas, -is, júod-burvas, -is `schwarzbrauig'; dial. (Nesselmann aus Brodowski) brunas, -is `Braue, Augenbraue', (Šlap.) júodbrunis `mit schwarzen Augenbrauen'; briaunà `Kante, Rücken eines Messers, Rand (eines Kessels etc.), Kiel des Schiffes, Gesims' || briaunà `Kante, Rücken eines Messers, Rand (eines Kessels etc.), Kiel des Schiffes, Gesims'","","wubri Wimper",""
    70,"*blī̂-w-a-, *blai-w-a- adj. adj.","lilac, violet",   164,"","{ blī́va- 'lila, veilchenblau'; blaiva- }","","",""
    71,"*un-(k)sm-iā̃ f. *un-(k)sn-ā̂, -iā̃ f. (1)","shadow",   835,"","unksmē̃, paùnksmē 'Schatten; die der Sonne nicht zugängliche Stelle in der Nähe von Häusern usw.', dial. uñksnē, paùnksnē, ùnksna 'ds.'","ūksme (Wessen) 'Ort, wo etwas versteckt ist, Versteck'","",""
    72,"*bal-ā̂ f., *bel-ut-iā̃ f.","marsh",   169,"","balà `Sumpf, Morast, Pfuhl'","bala `lehmiges, baumloses Tal', pl. balas `schlechter, feuchter Boden (von Äckern)'; bęl[u]te `Wasserloch, Pfütze', {Balates kalns ` Sumpfberg' (bei Kudum)}","",""
    73,"*deîwē̃ (-er-es) (1) m., *deîwer-iā̃ (1) f.","husband's brother",   174,"","dieverì-s, gen. diever̃s `Schwager (der Bruder des Gattes), díeverē `Schwägerin, Mannes Schwester'","diẽveris, dievelis `Schwager, Bruder des Gatten'","",""
    74,"*ačar-ā̂ f.","tear(s)",   175,"","ašarà, ãšara `Träne'","asara `Träne, Tränchen'","",""
    75,"*dirw-ā̂ f.","field",   176,"","dirvà 'Acker, Feld, Flur'","dìrva\H2\h (infl.) 'Saatfeld, Getreidefeld'","",""
    76,"*dal-i-s f., *dal-jā̂ f.","part",   178,"","dalìs, dial. dalià `Teil, Anteil, Erbteil, Mitgift, Los, Schicksal'","dal̨a, dial. dalis `Teil; Teil, Anteil'","",""
    77,"*dañg-u- c.","sky",   180,"","dangù-s `Himmel'","","",""
    78,"*daǯ-a- c., *daǯ-al-a- c., *daǯ-ī̂- vb.","liquid paint",   182,"","dažaĩ pl. `flüssiger Farbstoff, Färbmittel', dãžala-s 'Tunke, Sauce', dažī́ti `färben, anstreichen'","","",""
    79,"*deĩw-a- m., *deĩw-iā̃ f.","god, heaven",   183,"","diẽva-s `Gott', deivē̃, deĩvē `Göttin, Gespenst, hässliches Weib'","dìevs (voc. diev, dievu) `Himmel; Gott', dìeve `Göttin'","deiws, deywis `Gott' V. 1",""
    80,"*deĩ-n-ā̂ f.","day",   184,"","dienà `Tag'","dìena `Tag'","deinan acc. f. `Tag'",""
    81,"*deč-in-a- adj., *deč-in-iā̃ f.","right",   185,"","dẽšina-, -ī̃-s `rechts', dešinē̃ `rechte Hand'","","",""
    82,"*il̂g-a- (1) adj.","long",   186,"","ìlga- `lang'","il̃gs `lang (temporal)'","ilgi, ilga adv. `lange, diu'",""
    83,"*der̃w-ā̂ f., *dar̃w-ā̂ f., *derw-iā̃, *drew-iā̃, *draw-iā̃, *draw-ia- c., *drā̂w-ā̂ (1), -iā f.","resinous wood; hollow (of a tree)",   188,"","dervà, darvà `harziges Kieferholz, Kienholz, Harz, Pech, Teer'; dervē̃, drẽvē, dravē̃, -ìs, drōvē̃ `Höhlung in einem Baumstamm', drevēti `ausfaulen (von Bäumen)'","dreve 'Baum, in welchem ein Bienenstock ist', drava, dreve, drave, dravs `Waldbienenstock', drāva `innere Höhlung des \Iaulis\i (Bienenstocks)'; [ dùore, duora, duoris, pl. acc. duoris 'ein von Natur hohler Waldbaum, in welchem Bienen hausen können; ein von Menschen für Bienen ausgehöhlter Waldbaum; Loch; kleine Vertiefung in der Dickgrütze, in welche geschmolzene Butter od. Fett als Z ukost gegosen wird; ein aus einem Stücke Holz verfertigetstes Gefäss, dergleic hen man zu Hognig, Butter gebraucht' -- this word is better to Slav *dēr(j)a, *dɨ̄r(j)a ?]","drawine `улей' (Топоров)",""
