"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","REFERNUM","HITT","IND","AVEST","IRAN","ARM","GREEK","SLAV","SLAVNUM","BALT","BALTNUM","GERM","GERMNUM","LAT","ITAL","CELT","ALB","TOKH","REFER","COMMENT"
  21,"*aus-",1207,"dawn, sunrise, east","рассвет, восход солнца; восток", 141,"","uṣā́ḥ, acc. uṣásam / uṣā́sam, gen. uṣásaḥ f. `morning light, dawn'; gen. sg., acc. pl. uṣáḥ; usrá- id.; uṣar-, usr-  f. id.; vasar-hán `striking in the dawn',  vāsará-   `relating to or appearing in the morning', m. `day';  uccháti, pf. uvāsa, arr. avasran 'to dawn'","ušɔ̄, acc. ušɔ̄ŋhəm, gen. ušaŋhō 'Morgenröte', ušastara- 'östlich'; usaiti 'leuchtet auf (vom Morgen)'","","","ion. ēṓs, -ọ̄̂s, ǟọ̄́s, att. héōs, -ō, dor. awṓs, awṓr, gen. awō̂, aeol. áu̯ōs `Morgenröte, Tagesanbruch', {aeol. áu̯ā f. }, { locr. kat-āweos }; { heas-phóro-s утренняя звезда }; { áŋkh-au̯ro-s dem Morgen nahe }; adv. áu̯rion `morgen', ai̯rinó- (Gloss.) `morgend'; *hǟi-kanó-s: ēikanós `петух' (Hes.)","*ūstrъ- aestivus: OChSl za ustra `tò prōí'",     0,"*aũš-r-ā̂ f., *aũš- vb. intr., *aũš-mā̂ f.",     0,"*aus-tr-a- n.; aust-an=; aust=",    14,"aurōra, -ae f. `Morgenröte', auster, -trī m. `Südwind'","","MIr fair `Sonnenaufgang'; Cymr gwawr `Morgenröte', Bret gwere laouen `Morgenstern'","","","WP I 26 f",""
  22,"*ak'-", 242,"sharp; peak","острый; острая вершина",  48,"","áśri-ḥ `the sharp side of anything, edge, corner', catur-aśra- `four-cornered'; OInd aśáni-ḥ `tip of a missile'","","NPers ās 'Mühlstein'","asełn `Nadel'","ákro-  `äusserst, oberst, höchst, an der Spitze befindlich', ákro-n n. , ákrā f. `das äusserste Ende, Spitze, Höhe, Vorgebirge', ákri-s, -ios f. `Berggipfel'; ákai̯na f. `Spitze, Stachel; Längen-, Flachenmass von 10 (100) Fuss'; ákōn, gen. -ontos m. `Wurfspiess, Wurflanze'; { ákato-s Nachen }; akmǟ́ f. `Spitze, Schärfe, Schneide, Höhepunkt, rechter Zeitpunkt'; akónǟ f. `Wetzstein'; aktǟ́ f. `Vorgebirge, Felsküste, schroffes Ufer, Landzunge, Kante'; ion., att. akís, -ídos f. `Bez. allerhand spitzer Gegenstände wie Nadel, Pfeil, Widerhaken, Meissel'; akǟ́ f. `острие (железного) оружия' (Suid., Hes.), akōkǟ́ f. `Spitze (einer Lanze, Eines Schwertes usw.)'; ǟkés = oksǘ Hes., { püri-ǟ́kēs mit feuriger Spitze }, amph-ǟ́kēs `mit beidseitiger Schneide', tanü-ǟ́kēs `mit dünner Schneide'; *ǟkǟ́: ēkḗ `острие (копья и т. п.), острая вершина' (Hes.), `острие (железного) оружия' (EM); ákano-s m. `Distelart (Atractylis gummifera); dorniger Fruchtkopf', ákan, -nos `id.', ákantho-s `Bärenklau (Acanthus mollis)', ákantha `Distel, Dorn; Rückgrat', ákorna `Distelart' (Theophr.)","*ostrъ; *ostьnъ `Stachel'; *osъtъ, *osьlā, *osьlъkъ",  9441,"*ač-r-u- adj., *ač-mō̃ (*ač-men-es), *ač-ak-ā̂ f., *ač-[a]- adj., etc.",    11,"*ag-jō f., *agj-a- n.; *agi=; *ug=",    15,"ācer, -cris (OLat ācer), -e, OLat ācer, -cra, -crum `scharf'; acerbus, -a `scharf, schneidend, herb, unreif, unangenehm, schmerzlich'; aciēs, -ēī f. `Schärfe, Schneide'; acēre `sauer sein', acidus, -a `sauer', acor m. `Säure', acētum `Essig', acus, -ūs f. (Pl in., Gramm. m.) `Nadel', acuō, -uī, -ūtum, -uere `schärfe, wetze, spitze', acia f. `Faden zum Nähen und Heften', aquifolium, -ī n. / aquifolia f. `Stechpalme, Stecheiche, krataigṓn', aquifolius, -a `von Stechenpalmenholz'; aculeus, -ī m. `Stachel von Tieren, Pflanzen'","Osk akrid `acri' od. `acriter'; Umbr peracri `opimus'","Gaul Akrotalus "mit hoher Stirn"; OIr ēr `hoch' (*akro-s); Ir aittenn `Stechginster' (*aktīnā); Cymr eithiw `voll Stacheln' (*aktīu̯o-), eithin `Stechginster' (*aktīnā), NBret ek `Spitze'; *ākulēnā; *aku̯īli̯o-s: Cymr ebill `Bohrer' (*aku̯īli̯o-s), OCymr ocoluin `cos', NCymr agalen, hogalen (*hākulēnā), Corn epill hoern `clavus', MBret ebil `Pflock, Stift, Nagel', NBret higolen `Wetzstein'","","B akwatse a. 'sharp', akwam-pere n. 'sprout and stalk' (Adams 4); A āk, B āke 'end' (37)","WP I 28 f",""
  23,"*ok(')-", 242,"sharp","острый",   0,"","","","","","ókri-s m. `Spitze, scharfe Kante, Ecke', okrí-bās `erhöhter Platz, Gerust, Tribüne'; oksǘ- `scharf, stechend', óksos n. `Weinessig'","",     0,"",     0,"*áxw-al-a- m.",    16,"ocris, -is m. `steiniger Berg'; mediocris, -e `mittelmässig, nicht sehr gross; unbedeutend; gemassigt, genügsam', medioximus `der mittelste'; ?? ocrea f. `Beinschiene'","Umbr ukar, ocar `arx, mōns'","MIr ochar `Ecke, Rand', Cymr ochr, ochyr `Rand'; *okulēnā: OCymr ocoluin `cos',  NCymr agalen, hogalen; *hākulēnā: NBret higolen `Wetzstein'","","","WP I 28 f",""
  24,"*ak-m- <PIH *a->, *kām- (Indoir -k'-)", 570,"stone, rock","камень, скала",   0,"aku- c. 'stone', akuwant- 'stony' (Tischler 10-11 to *aḱ-)","áśman-, gen. áśnaḥ, instr. áśnā m. `stone, rock; firmament, cloud'","asman-, gen. ašnō, abl. ašnäaṯ 'Stein', asmana- 'steinern'; asəngō-gav-mi 'Händen aus Stein'; aϑangaina- 'steinern'","OPers sang 'stone'","","ep., ion., poet. ákmōn, -onos m. `Amboss'","*kāmɨ̄, gen. -ene",  4955,"*ak-mō̃ (*ak-men-es) (1)",    12,"*xam-ar-a- m.; *xam-al=; *xum-Vl=",    17,"","","Gaul acaunum `saxum'","","","WP I 28 f","Cf. *k(')em-er/n- 'sky, cloud', often united with "stone" by folk etymology (Hitt. forms show that "heaven" was *k(')em- while "stone" was *ak'm-)."
  25,"*ak-",   0,"ear (of cereals); awn, chaff","колос; ости колоса, мякина",   0,"","","","","","akostǟ́ `Gerste'","",     0,"*ak-ō̂t-a- c., *ak-[ō]n-a- m.",    13,"*áx-an-ō/*ag-an-ō f.; *áx-l=/*ag-l=; *ax-s-a- n., *áx-uz; *áx-iz n.; *úx-a- n.; *ag-ṓ f. (?)",    18,"agna f. `Ähre'; acus, -eris n. `Granne, Spreu'","","","","B āk 'ear of grain?' (Adams 35-36)","WP I 26 f",""
  26,"*oket-", 497,"harrow","борона",   0,"","","","","","oksínǟ f. <oksínē> (Hes.)","",     0,"*ak-ē̂t-iā̃ f., *ak-ē̂t-ia- c., *ak-ē̂- vb.",    14,"*ag-íϑ-ō f., *ag-ja- vb.",    19,"occa f. `Egge'","","OCymr ocet, NCymr oged `Egge', Corn ocet `Egge', Bret ogued `Egge'","","","WP I 26 f",""
  27,"*ak-",   0,"a k. of fish","рыба sp.",   0,"","","","","","","*okūnь",  9215,"*ač-er-ia-, *ač-er-[a]- sb.",    15,"*ag-ú- c.; *aug-u- c.; *aug-Vr-a- m.; *ug-Vr-a- m.; *ag-il-a- m.",    20,"acus, -ūs f. `Fischname (belónē)'; acipēnser, -eris m., (älter) acupēnser, acipēnsis `ein seltener Fisch mit rotem Fleisch, Stör(?)'","","","","","WP I 26 f",""
  28,"*k(')ul- (CI)",   0,"gnat, fly","насекомое (комар, муха)",1057,"","","","","","","",     0,"",     0,"",     0,"culex, -icis m. `Mücke, Schnake, Gallwespe'","","OIr cuil `culex'; Cymr cylionen `culex, musca', Corn kelionen `musca', Bret quelyenenn `musca'","","","WP I 33, 436, 465",""
  29,"*ak-",   0,"dark, blind","темный, слепой",  52,"","","","","","<ákaro-> `blind' (Hes.)","",     0,"*ak-la- adj., *ak- vb. intr.",    16,"",     0,"aquilus, -a `dunkel', aquilō, -ōnis m. `Norddrittelostwind, Nordwind'","","","","","WP I 34",""
  30,"*ag'r-o-",   0,"field","поле (пригодный для обработки участок земли)",  11,"","ájra- m. `field, plain'","","","art `Acker'","agró-s m.  `Feld, Acker'","",     0,"",     0,"*akr-a- m., *akr-ōn- f.",    21,"ager, -rī m. `Acker, Feld'","Umbr ager `ager'","","","","WP I 37",""
  31,"*ak's-",   0,"axle","ось",   0,"","ákṣa- m. `axle, axis'","","","","áksōn, -onos m. `Radachse, Achse', hám-aksa f. `(vierrädriger Last)wagen'","*osь",  9444,"*aš-i- f.",    17,"*axs-ul-a- m., *axs-ō f.",    22,"axis, -is m. `Achse am Wagen, Wagen, Erdachse, Pol, Himmel'","","*aksi- > Ir ais `Karren, Wagen'; *aksilā > Cymr echel f., Bret ahel `Achse'","","","WP I 37",""
  32,"*ak(')s-",1332,"armpit","подмышка",   0,"","","du. gen. ašayɔ̄ 'der beiden Achseln'","","anuth (< *asnuth)  `Achselgrube'","","",     0,"",     0,"*axs-l=; *ōxs-l=; *ōxs-t=; *ōxs-Vn=; *ōxs=; *oxs-tVr=",    23,"āla f. `Achsel; Flügel'; axilla f. `Achselhöhle'","","","","","WP I 37",""
  33,"*ag-", 668,"sin, crime","грех, преступление",  18,"","ā́gas- n. `offence, injury, sin, fault'","","","","ágos n. `Fluch, (Blut)schuld; Sühne'","",     0,"",     0,"*ak-a- vb., *ak-i- c., *akl-a- m.",    24,"","","","","","WP I 38",""
  34,"*Agʷer- <? PIH *H->",   0,"upper, first, early","верхний, первый, ранний",  19,"? hekur n. 'Fels, Felsgipfel' (Tischler 235-236)","ágra- n. `foremost point or part, tip, front', loc. agre `in front, ahead of'; an Anfang, zuerst, agrimá- `preceding, foremost'","oɣra- 'der erste, oberste nach Zeit, Raum etc.', n. 'Anfang; das oberste, Spitze'","","","","",     0,"*ag-r-a- adv.",    18,"",     0,"","","","","","WP I 38 f",""
  35,"*agʷes-i-",   0,"axe","топор",  21,"","","","","","aksī́nǟ f. `Axt, Beil'","",     0,"",     0,"*akwiz-jō f.; *akús-jō f.; *akwís=; *akús=",    25,"ascia f. `Axt der Zimmerleute, Steinmetze und beim Feldbau, Maurerkelle'","","","","","WP I 39",""
  36,"*aghl-",1145,"fog, drizzle","туман, изморось",  17,"","","","","ałǯałǯ, ałǯamułǯkh `Dunkel'","akhlǖ́-s, -ǘos f. `Nebel, Finsternis, Dunkel'","",     0,"*agl-u n.",    19,"",     0,"","","? *glaw- > Cymr., Corn. glaw, Bret glav 'rain'","","","WP I 41",""
  37,"*atn-o-",   0,"year","год", 123,"","","","","","","",     0,"",     0,"*áϑn-a- n.~m.",    27,"annus, -ī `Jahr'","","","","","WP I 41",""
  38,"*āt- (-th-) <PIH *H->", 303,"fire (open)","огонь (открытый)", 124,"hat- (II,I) 'vertrocknen' (Tischler 213)","átharvan- `a priest who has to do with fire and Soma' (< Iran?)","ātar-š, gen. āϑrō m. `Feuer'","NPers āteš `Feuer'; Rushan aϑēr `ashes', Jagnob āl; Osset art","? airem `verbrenne, zünde an'","","? *vā́trā `костер, открытый огонь' (карпатск., ср. Alb)",  1755,"",     0,"",     0,"","","*āti-: Ir āith, gen. ātho f., Cymr odyn f. `Ofen'","? tosk. votər, geg. votrə `Feuer' - cf. Slav","","WP I 42","? Ital: Lat āter, ātra `(tief)schwarz, dunkel, finster, unheilvoll';  Umbr pl. n. atru, adro `atra'"
  39,"*at-/*et-",1215,"a k. of freshwater fish","рыба (пресноводная)", 125,"","","","","","ételis / etelís m. (f.) `eine Art Meerfisch (Goldbrasse?)'","",     0,"*at-i- f., *ō̃t-a- c., *ōt-iā̃ f.",    20,"",     0,"attilus, -ī m. `ein störähnlicher grosser Fisch im Po'","","","","","WP I 44",""
  40,"*akʷ- <PIH *a->",  61,"water (flowing)","вода (проточная)",   0,"? akukal(la?)- or akutal(la?)- 'Waschbecken' (Tischler 11-12)","? ka- (Brahm.) 'water'","","","","","",     0,"",     0,"*a(g)w-ṓ f., *áxw-ō f.; *ō(g)w-já- m.; *a(g)w-jṓ f.",    30,"aqua f. `Wasser, Wasserleitung'","","","","","WP I 34 f, Buck 29, 35, 42.",""
  41,"*abh-",2069,"right away","сразу же",   4,"","ahnāya `instantly, speedily'","","","","áphar `sofort, sogleich', áphnō `jählings, plötzlich'","*ābьje",    15,"",     0,"",     0,"","","","","","WP I 52",""
  42,"*ām-er-", 591,"day","день",  72,"","","","","aur `Tag'","hǟ̂mar, gen. hǟ́mat-os, att. hǟmérā `Tag'","",     0,"",     0,"",     0,"","","","","","WP I 53",""
  43,"*an- <PIH *H->",1011,"grandmother","бабушка",  76,"hanna-s `Grossmutter', (but also anna- c. 'Mutter', Tischler 24) Lyk χñna `Großmutter' (Tischler 145)","","","","han `Grossmutter'","acc. anōn (Larissa, inschr.); <annís> `mother of father or mother' (Hes. und Inschr.)","",     0,"*an-iā̃ f., *an-ī̂t-ā̂ f.",    21,"*an-en- m., *an-ō f.",    32,"anus, -ūs (OLat -uis) f. `altes Weib'","","","","","WP I 55 f",""
  44,"*anət-ā-",1147,"jamb","косяк",  84,"","ā́tā, pl. ā́tāḥ `the frame of a door'","pl. acc. ąiϑyɔ̄ 'Türpfosten'","","dr-and `Türpfosten'","","",     0,"",     0,"*and-ṓ f.",    33,"antae pl. `die frei endigenden und vorn etwas verstärkten Wände, die den Pronaos eines Tempels oder die Prostas eines Hauses einschliessen; Türlaibung, vor die die Antepagemente gesetzt werden'","","","","","WP I 59",""
  45,"*ank(')- <PIH *H->",   0,"fate, destiny","фатальный рок судьбы",  88,"henkan- n.  `Tod, Seuche, Pest' (Tischler 249)","","","","","anáŋkǟ `Notwendigkeit, Zwang'","",     0,"",     0,"*anx-t-ō f.",    34,"","","OIr ēcen `Not, Notwendigkeit'; Cymr angen `Not, Notwendigkeit', Bret anken `Not, Notwendigkeit'","","","WP I 60",""
  46,"*ank- <PIH *H->",   0,"hook, smth bent","крюк; нечто изогнутоe",  89,"hink- (I) 'sich verneigen' (Tischler 250)","aṅká- m. `hook, curve'; áṅkas- n. `curve, bend',  aṅkuśá- m. `hook, esp. an elephant-driver's hook';  áñcati `to bend, curve, incline'","aŋku-pəsəmna- 'mit Haken, Spangen sich schmückend', aka- m. 'Haken, Zapfen', ąxnah 'Zügel'","MPers ančītan 'biegen, krümmen'","","aŋkṓn, -ō̂nos, pl. dat. aŋkási `Ellbogen'; pl. áŋkoi̯nai̯ `Arme'; áŋkistro-n `(Angel)haken; áŋkǖra `Anker'; aŋkálǟ f. `gekrümmter Arm, Armvoll', aŋkǘlo- `gebogen, krumm', aŋkǘlǟ `Haken, Türangel'","*ǭkotь (см. Фасмер) крюк", 14954,"*an̂k-ā̂ (1) f.",    22,"*ang-en- m., *ang-ṓ f.; *ang-Vl-ō f.",    35,"ancus `qui aduncum brachium habet'; Rom *ancu `Ellbogen; Wegkrümmung', Lat pl. ancrae `convalles vel arborum intervalla'","","MIr ēcath `Fischhaken'","","","WP I 60 f",""
  47,"*Ank-",   0,"sprout","росток",   0,"","aṅkura- m. `sprout, shoot, blade'","","","","","",     0,"",     0,"*ánx-ul=; *ang=",    36,"","","","","","WP I 60 f",""
  48,"*ank(')-",   0,"meadow, valley","луг, долина",   0,"","","","","","áŋkos n. `Bergschlucht, Felsental'","",     0,"",     0,"*ang-iō f.; *ang-ia- n.; *ang-r-a- m.; *ank-ia- m.",    37,"","","","","","WP I 60 f, Buck 28.P I 60 f",""
  49,"*wonk'-",  90,"bent, curved; corner; hook","кривой; угол, крюк",2121,"","vaṁśya- `belonging or attached to a main beam'; a-vaṁśá- `that which has no pillars or support'; vaṁśá- `bamboo cane, cane; upper timbers or beams of a house' (cf. also a root with *k(ʷ): OInd váñcati `to go crookedly, stagger', vacyáte `to move or rock to and fro', vakrá- `crooked, curved'); vakṣás- 'breast, bosom, chest', vakṣáṇā 'stomach, abdomen'","-vašta- 'gekrümmt'","","","óŋko-s m. `Widerhaken des Pfeils, Klampe', óŋkǟ f. `угол' (Hes.)","",     0,"*wañč-a- c.",    23,"*wánx-ō f., *wánxa- adj.",    38,"uncus, -ī m. `Haken'; uncus, -a `gekrümmt'","","","","","WP I 60 f",""
  50,"*ank(')u-l-",   0,"belt","ремень",   0,"","","","","","aŋkǘlǟ `Riemen, Schlinge (am Wurfspiess)'","",     0,"",     0,"*ánx-ul-ō f.",    39,"","","","","","WP I 60 f",""
  51,"*Ang-",   0,"small bones of extremities","мелкая кость конечностей",   0,"","áṅga- `limb of the body', aṅgúri-, aṅgúli- f. `finger, toe, thumb', aṅgúṣṭha- m.  `thumb, great toe'","angušta- m. 'Zehe'","","","","",     0,"",     0,"*ank-iōn- f.; *ank-il-a- m., *ank-al-a- m.; *ank-ul=; *ank-ōn- f.",    40,"","","","","","WP I 60 f",""
  52,"*ang-",1304,"corner","угол",   0,"","","","","ankiun, angiun `Winkel'","","*ǭgъlъ", 14886,"*añg-ā̂ f.",    24,"*ank-ō(n) f., *ank-en- m.",  1927,"angulus, -ī m. `Winkel, Ecke, entlegene Gegend'","Umbr anglom-e `ad angulum'","","","","WP I 60 f",""
  53,"*weng'h-", 774,"neck, cheek","шея, щека",  85,"","","","","viz `Hals'","","*vę̄zъ `шейная мышца', pl. `затылок'",     0,"*winǯ-u- c.",    25,"*wang-en- m., n., *wang-ō f.",  1846,"","","","","","WP I 60 f, 218",""
